,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.profile_banner_url,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
1,Sat Jan 25 22:08:12 +0000 2020,1221193074627489792,1221193074627489792,@foeroyingur @wojciechkopec3 @VILLUMFONDEN @AarhusUni CONGRATULATIONS!,False,"[54, 70]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2211695956015636e+18,1221169595601563649,2228378938.0,2228378938,foeroyingur,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'foeroyingur', 'name': 'Jógvan Magnus Haugaard Olsen', 'id': 2228378938, 'id_str': '2228378938', 'indices': [0, 12]}, {'screen_name': 'wojciechkopec3', 'name': 'wojciech_kopec', 'id': 1028896059475587072, 'id_str': '1028896059475587072', 'indices': [13, 28]}, {'screen_name': 'VILLUMFONDEN', 'name': 'VILLUM FONDEN', 'id': 803171312063643648, 'id_str': '803171312063643648', 'indices': [29, 42]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [43, 53]}]",[],en,recent,938157276476723200,938157276476723200,Kasia Waniolka,TheWanKasia,"St Louis, MO","student/mom/PhageHunter/Biotech at STLCC-BRDG Park/Research/interested in autoimmune diseases,gut,all about microbes/MightyPhages[she/her]",https://t.co/tNCLJw9qpK,"[{'url': 'https://t.co/tNCLJw9qpK', 'expanded_url': 'http://www.brdgpark.com', 'display_url': 'brdgpark.com', 'indices': [0, 23]}]",[],False,1001,1590,1,Tue Dec 05 21:24:59 +0000 2017,13487,,,False,False,6580,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/940882954875801600/oMwpay83_normal.jpg,https://pbs.twimg.com/profile_images/940882954875801600/oMwpay83_normal.jpg,https://pbs.twimg.com/profile_banners/938157276476723200/1513158951,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 20:36:13 +0000 2020,1221169927069085697,1221169927069085697,@foeroyingur @VILLUMFONDEN @AarhusUni Congratulations! Well deserved! And good luck!,False,"[38, 84]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2211695956015636e+18,1221169595601563649,2228378938.0,2228378938,foeroyingur,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'foeroyingur', 'name': 'Jógvan Magnus Haugaard Olsen', 'id': 2228378938, 'id_str': '2228378938', 'indices': [0, 12]}, {'screen_name': 'VILLUMFONDEN', 'name': 'VILLUM FONDEN', 'id': 803171312063643648, 'id_str': '803171312063643648', 'indices': [13, 26]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [27, 37]}]",[],en,recent,1120350168,1120350168,Kenneth Ruud,KennethRuud,,Prorector for Research at UiT-The Arctic University of Norway.  Professor in theoretical chemistry. Twitters largely about science and science policy.,,,[],False,2158,2457,45,Fri Jan 25 22:03:48 +0000 2013,4018,,,True,False,7447,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3162653940/375507b3af586f5758b8fbc08c10352a_normal.jpeg,https://pbs.twimg.com/profile_images/3162653940/375507b3af586f5758b8fbc08c10352a_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Jan 25 14:27:46 +0000 2020,1221077202147647489,1221077202147647489,"@DevilleSy At @AarhusUni, they don't know @Sci_Hub.

Once you're connected to Eduroam or via ethernet, you have access to most journals without having to connect to any portal. So convenient 👍👏",False,"[11, 193]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210158172671713e+18,1221015817267171328,331228486.0,331228486,DevilleSy,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'DevilleSy', 'name': 'Sylvain ❄️👨🏻\u200d🎓', 'id': 331228486, 'id_str': '331228486', 'indices': [0, 10]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [14, 24]}, {'screen_name': 'Sci_Hub', 'name': 'Sci Hub', 'id': 381187236, 'id_str': '381187236', 'indices': [42, 50]}]",[],en,recent,770943875968098305,770943875968098305,Florian Privé (🇫🇷 in 🇩🇰),privefl,"Aarhus, Denmark","Data scientist postdoc in predictive human genetics @AarhusUni. 
#rstats user, developer and blogger. 
#rusersgrenoble founder and former organizer.",https://t.co/QEiG3eLdXj,"[{'url': 'https://t.co/QEiG3eLdXj', 'expanded_url': 'http://privefl.github.io', 'display_url': 'privefl.github.io', 'indices': [0, 23]}]",[],False,517,120,18,Wed Aug 31 11:18:38 +0000 2016,1866,,,False,False,878,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/904613229569212416/10VUs7et_normal.jpg,https://pbs.twimg.com/profile_images/904613229569212416/10VUs7et_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 13:19:48 +0000 2020,1221060097230680064,1221060097230680064,@DrBradBrad @deepbiosphere @deepcarb @AarhusUni Thank you for a great talk!,False,"[48, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2206533341782712e+18,1220653334178271232,953681678.0,953681678,DrBradBrad,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'DrBradBrad', 'name': 'James Bradley', 'id': 953681678, 'id_str': '953681678', 'indices': [0, 11]}, {'screen_name': 'deepbiosphere', 'name': 'C-DEBI', 'id': 2275115868, 'id_str': '2275115868', 'indices': [12, 26]}, {'screen_name': 'deepcarb', 'name': 'Deep Carbon Obsrvtry', 'id': 932779740, 'id_str': '932779740', 'indices': [27, 36]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [37, 47]}]",[],en,recent,1148141928543924224,1148141928543924224,Eva Doting,EvaDoting,"Copenhagen, Denmark","PhD Fellow in Arctic Biogeochemistry at Aarhus University w. @AlexAnesio | Into glaciers, ice cream, mountains, equality & environmentalism ♡",,,[],False,70,172,0,Mon Jul 08 08:09:01 +0000 2019,272,,,True,False,74,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1171808622495653889/9wMW2Spu_normal.jpg,https://pbs.twimg.com/profile_images/1171808622495653889/9wMW2Spu_normal.jpg,https://pbs.twimg.com/profile_banners/1148141928543924224/1568215885,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Jan 25 10:27:10 +0000 2020,1221016655721005056,1221016655721005056,@GaryBrowning15 @IrisMurdoch @chiuni @AarhusUni Thanks Gary! Just read your ‘Why Iris Murdoch Matters’ - very illuminating!,False,"[48, 123]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221016164744278e+18,1221016164744278017,7.663894737646715e+17,766389473764671488,GaryBrowning15,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GaryBrowning15', 'name': 'Gary Browning', 'id': 766389473764671488, 'id_str': '766389473764671488', 'indices': [0, 15]}, {'screen_name': 'IrisMurdoch', 'name': 'Iris Murdoch', 'id': 63415272, 'id_str': '63415272', 'indices': [16, 28]}, {'screen_name': 'chiuni', 'name': 'University of Chichester', 'id': 36918762, 'id_str': '36918762', 'indices': [29, 36]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [37, 47]}]",[],en,recent,1168083117590155264,1168083117590155264,Anne Eggert Stevns,StevnsAnne,,I am a PhD student in philosophy at Aarhus University in Denmark - mainly interested in phenomenology and ethics.,https://t.co/pu47xeB4sB,"[{'url': 'https://t.co/pu47xeB4sB', 'expanded_url': 'https://pure.au.dk/portal/da/persons/anne-eggert-stevns(b00d68f9-ab0e-4972-889c-e7059eecad1e).html', 'display_url': 'pure.au.dk/portal/da/pers…', 'indices': [0, 23]}]",[],False,6,15,0,Sun Sep 01 08:48:25 +0000 2019,1,,,False,False,4,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,https://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 10:24:40 +0000 2020,1221016025048723457,1221016025048723457,@miles_leeson @IrisMurdoch @chiuni @AarhusUni You too Miles! Keep in touch :),False,"[46, 77]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210041036246016e+18,1221004103624601600,8.370938468319232e+17,837093846831923200,miles_leeson,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'miles_leeson', 'name': 'Miles Leeson', 'id': 837093846831923200, 'id_str': '837093846831923200', 'indices': [0, 13]}, {'screen_name': 'IrisMurdoch', 'name': 'Iris Murdoch', 'id': 63415272, 'id_str': '63415272', 'indices': [14, 26]}, {'screen_name': 'chiuni', 'name': 'University of Chichester', 'id': 36918762, 'id_str': '36918762', 'indices': [27, 34]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [35, 45]}]",[],en,recent,1168083117590155264,1168083117590155264,Anne Eggert Stevns,StevnsAnne,,I am a PhD student in philosophy at Aarhus University in Denmark - mainly interested in phenomenology and ethics.,https://t.co/pu47xeB4sB,"[{'url': 'https://t.co/pu47xeB4sB', 'expanded_url': 'https://pure.au.dk/portal/da/persons/anne-eggert-stevns(b00d68f9-ab0e-4972-889c-e7059eecad1e).html', 'display_url': 'pure.au.dk/portal/da/pers…', 'indices': [0, 23]}]",[],False,6,15,0,Sun Sep 01 08:48:25 +0000 2019,1,,,False,False,4,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,https://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 10:23:00 +0000 2020,1221015606700531712,1221015606700531712,@LucyOulton @IrisMurdoch @chiuni @AarhusUni Great to meet you too Lucy! ☺️,False,"[44, 74]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221015217527718e+18,1221015217527717888,215989172.0,215989172,LucyOulton,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LucyOulton', 'name': 'Lucy Hunter Oulton', 'id': 215989172, 'id_str': '215989172', 'indices': [0, 11]}, {'screen_name': 'IrisMurdoch', 'name': 'Iris Murdoch', 'id': 63415272, 'id_str': '63415272', 'indices': [12, 24]}, {'screen_name': 'chiuni', 'name': 'University of Chichester', 'id': 36918762, 'id_str': '36918762', 'indices': [25, 32]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [33, 43]}]",[],en,recent,1168083117590155264,1168083117590155264,Anne Eggert Stevns,StevnsAnne,,I am a PhD student in philosophy at Aarhus University in Denmark - mainly interested in phenomenology and ethics.,https://t.co/pu47xeB4sB,"[{'url': 'https://t.co/pu47xeB4sB', 'expanded_url': 'https://pure.au.dk/portal/da/persons/anne-eggert-stevns(b00d68f9-ab0e-4972-889c-e7059eecad1e).html', 'display_url': 'pure.au.dk/portal/da/pers…', 'indices': [0, 23]}]",[],False,6,15,0,Sun Sep 01 08:48:25 +0000 2019,1,,,False,False,4,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,https://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 10:21:27 +0000 2020,1221015217527717888,1221015217527717888,@StevnsAnne @IrisMurdoch @chiuni @AarhusUni Great to meet you Anne! Good luck with your project.,False,"[44, 96]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210039103972762e+18,1221003910397276160,1.1680831175901553e+18,1168083117590155264,StevnsAnne,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'StevnsAnne', 'name': 'Anne Eggert Stevns', 'id': 1168083117590155264, 'id_str': '1168083117590155264', 'indices': [0, 11]}, {'screen_name': 'IrisMurdoch', 'name': 'Iris Murdoch', 'id': 63415272, 'id_str': '63415272', 'indices': [12, 24]}, {'screen_name': 'chiuni', 'name': 'University of Chichester', 'id': 36918762, 'id_str': '36918762', 'indices': [25, 32]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [33, 43]}]",[],en,recent,215989172,215989172,Lucy Hunter Oulton,LucyOulton,EU,"PhD student @chiuni | Wild Iris: Sensing Iris Murdoch's Environmental Imagination | @IrisMurdoch, affect theory, ecocriticism.",,,[],False,522,1487,9,Mon Nov 15 14:01:36 +0000 2010,7093,,,False,False,2538,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1186687019235397634/w6h4xbkX_normal.jpg,https://pbs.twimg.com/profile_images/1186687019235397634/w6h4xbkX_normal.jpg,https://pbs.twimg.com/profile_banners/215989172/1564470229,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sat Jan 25 09:51:53 +0000 2020,1221007773414109184,1221007773414109184,@boztdk @dceaarhus @AarhusUni Excellent news @boztdk  Congratulations.,False,"[30, 70]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207530505806807e+18,1220753050580680704,9.254265298527068e+17,925426529852706816,boztdk,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'boztdk', 'name': 'Buket Öztürk', 'id': 925426529852706816, 'id_str': '925426529852706816', 'indices': [0, 7]}, {'screen_name': 'dceaarhus', 'name': 'Department of Clinical Epidemiology, Aarhus', 'id': 768170525290094592, 'id_str': '768170525290094592', 'indices': [8, 18]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [19, 29]}, {'screen_name': 'boztdk', 'name': 'Buket Öztürk', 'id': 925426529852706816, 'id_str': '925426529852706816', 'indices': [45, 52]}]",[],en,recent,769449835795718144,769449835795718144,Dee Cronin Fenton,DeeCroninFenton,"Aarhus, Danmark","Associate Professor, Cancer Epidemiologist, Department of Clinical Epidemiology, Aarhus University.",https://t.co/MgJkOVRebA,"[{'url': 'https://t.co/MgJkOVRebA', 'expanded_url': 'http://kea.au.dk', 'display_url': 'kea.au.dk', 'indices': [0, 23]}]",[],False,241,319,1,Sat Aug 27 08:21:51 +0000 2016,1304,,,False,False,263,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/919882644703399938/Y6CvRemq_normal.jpg,https://pbs.twimg.com/profile_images/919882644703399938/Y6CvRemq_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sat Jan 25 09:36:32 +0000 2020,1221003910397276160,1221003910397276160,Had a great time looking at the @IrisMurdoch Heidegger manuscript   in Kingston and presenting my PhD project on Iris Murdoch and freedom at the @IrisMurdoch Symposium yesterday at @chiuni! Met so many lovely people in the IM Society. Now heading back to Aarhus @AarhusUni.,False,"[0, 273]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,19,False,False,en,[],[],"[{'screen_name': 'IrisMurdoch', 'name': 'Iris Murdoch', 'id': 63415272, 'id_str': '63415272', 'indices': [32, 44]}, {'screen_name': 'IrisMurdoch', 'name': 'Iris Murdoch', 'id': 63415272, 'id_str': '63415272', 'indices': [145, 157]}, {'screen_name': 'chiuni', 'name': 'University of Chichester', 'id': 36918762, 'id_str': '36918762', 'indices': [181, 188]}, {'screen_name': 'AarhusUni', 'name': 'Aarhus Universitet', 'id': 224283051, 'id_str': '224283051', 'indices': [262, 272]}]",[],en,recent,1168083117590155264,1168083117590155264,Anne Eggert Stevns,StevnsAnne,,I am a PhD student in philosophy at Aarhus University in Denmark - mainly interested in phenomenology and ethics.,https://t.co/pu47xeB4sB,"[{'url': 'https://t.co/pu47xeB4sB', 'expanded_url': 'https://pure.au.dk/portal/da/persons/anne-eggert-stevns(b00d68f9-ab0e-4972-889c-e7059eecad1e).html', 'display_url': 'pure.au.dk/portal/da/pers…', 'indices': [0, 23]}]",[],False,6,15,0,Sun Sep 01 08:48:25 +0000 2019,1,,,False,False,4,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,https://pbs.twimg.com/profile_images/1168083368791220224/oCRBrX___normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
