,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,possibly_sensitive
0,Sun Jan 26 03:24:15 +0000 2020,1221272611558215680,1221272611558215680,@jimhumd @daviesbj @bcmhouston Fondly remember Peter Scardino coming in at 7 am on a freezing winter Saturday morning @UrologyMSK to revise my prostate cancer manuscript and provide real-time feedback. Much respect.  🙏,False,"[31, 218]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221118662658216e+18,1221118662658215937,1950532026.0,1950532026,jimhumd,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'jimhumd', 'name': 'Jim Hu', 'id': 1950532026, 'id_str': '1950532026', 'indices': [0, 8]}, {'screen_name': 'daviesbj', 'name': 'Ben Davies MD (UroLuddite)', 'id': 16700029, 'id_str': '16700029', 'indices': [9, 18]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [19, 30]}, {'screen_name': 'UrologyMSK', 'name': 'UrologyMSK', 'id': 1126887285167931392, 'id_str': '1126887285167931392', 'indices': [118, 129]}]",[],en,recent,938459144801210378,938459144801210378,Thomas Jang,TomJangUroOnc,"New Jersey, USA",Urologic Oncologist @RutgersCancer. @NM_Urology @UrologyMSK Alum. Testicular & Kidney Cancer. Program Director-Rutgers RWJ Urology Residency @rwjurology,https://t.co/8dmoQIPcQ9,"[{'url': 'https://t.co/8dmoQIPcQ9', 'expanded_url': 'https://www.cinj.org/thomas-jang-md-mph-facs', 'display_url': 'cinj.org/thomas-jang-md…', 'indices': [0, 23]}]",[],False,184,388,0,Wed Dec 06 17:24:30 +0000 2017,917,,,True,False,88,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1045831183802732544/TaRAgMWJ_normal.jpg,https://pbs.twimg.com/profile_images/1045831183802732544/TaRAgMWJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 17:10:55 +0000 2020,1221118262068547588,1221118262068547588,@RavenscroftTA @bcmhouston Congrats on best talk!!,False,"[27, 50]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220734922224259e+18,1220734922224259073,1.1192634304169615e+18,1119263430416961536,RavenscroftTA,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RavenscroftTA', 'name': 'ThomasRavenscroft', 'id': 1119263430416961536, 'id_str': '1119263430416961536', 'indices': [0, 14]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [15, 26]}]",[],en,recent,221256604,221256604,"Julia Wang, PhD",julawang,Houston,MD-PhD Candidate at Baylor College of Medicine🌟 fly and human genetics⭐️ Check out what https://t.co/JTKBRBxlxB can provide on your gene/variants of interest!,,,"[{'url': 'https://t.co/JTKBRBxlxB', 'expanded_url': 'http://www.MARRVEL.org', 'display_url': 'MARRVEL.org', 'indices': [88, 111]}]",False,960,2719,6,Tue Nov 30 04:41:02 +0000 2010,4686,,,True,False,1758,,False,False,False,07090B,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,True,http://pbs.twimg.com/profile_images/1085706483788988416/yB2NIQ_y_normal.jpg,https://pbs.twimg.com/profile_images/1085706483788988416/yB2NIQ_y_normal.jpg,E81C4F,BFBFBF,C9C9C9,1C1F23,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/221256604/1557884247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 01:04:08 +0000 2020,1220874963151925250,1220874963151925250,@MelanieGoebelMD @bwtrautner @Payal_Patel @DocWoc71 @AxellHouse @SuperBugDoc @bcmhouston @IQuEStHouston Awesome!!,False,"[104, 113]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205102497335747e+18,1220510249733574663,1.1729230618400317e+18,1172923061840031745,MelanieGoebelMD,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MelanieGoebelMD', 'name': 'Melanie Goebel', 'id': 1172923061840031745, 'id_str': '1172923061840031745', 'indices': [0, 16]}, {'screen_name': 'bwtrautner', 'name': 'Barbara Trautner', 'id': 214500164, 'id_str': '214500164', 'indices': [17, 28]}, {'screen_name': 'Payal_Patel', 'name': 'Payal Patel', 'id': 60153731, 'id_str': '60153731', 'indices': [29, 41]}, {'screen_name': 'DocWoc71', 'name': 'DocWoc71', 'id': 624216351, 'id_str': '624216351', 'indices': [42, 51]}, {'screen_name': 'AxellHouse', 'name': 'Dierdre Axell-House, MD', 'id': 1088880215185608704, 'id_str': '1088880215185608704', 'indices': [52, 63]}, {'screen_name': 'SuperBugDoc', 'name': 'Cesar Arias', 'id': 1143989995696513025, 'id_str': '1143989995696513025', 'indices': [64, 76]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [77, 88]}, {'screen_name': 'IQuEStHouston', 'name': 'IQuESt', 'id': 774322470425923584, 'id_str': '774322470425923584', 'indices': [89, 103]}]",[],en,recent,1085750857654824960,1085750857654824960,Teena Xu,teena_xu,"Houston, TX","Infectious Diseases fellow @BCMhouston | Alum: @OHSUIMRes @UTexasMcCombs | Interests: Stewardship, OPAT, Trop Med | Views = Mine | She/Her | 🐶",,,[],False,227,401,3,Thu Jan 17 04:09:11 +0000 2019,996,,,False,False,278,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179701162578083840/N3kfnRVp_normal.png,https://pbs.twimg.com/profile_images/1179701162578083840/N3kfnRVp_normal.png,7FDBB6,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1085750857654824960/1549771524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fri Jan 24 15:38:53 +0000 2020,1220732714577469441,1220732714577469441,"Are you allergic to penicillin? Maybe not.
It's quite possible you were never truly allergic to it, or if you were, are no longer allergic. The @bcmhouston Allergy Clinic is now testing to determine if patients are still truly allergic to penicillins.",False,"[0, 251]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [144, 155]}]",[],en,recent,971072018480328705,971072018480328705,BCM Department of Medicine,BCMDeptMedicine,"Houston, TX","The official Twitter account of @BCMHouston Department of Medicine, where we advance future medicine, educate future doctors and provide compassionate care.",https://t.co/tLIsJ3LKK8,"[{'url': 'https://t.co/tLIsJ3LKK8', 'expanded_url': 'https://www.bcm.edu/departments/medicine', 'display_url': 'bcm.edu/departments/me…', 'indices': [0, 23]}]",[],False,745,282,4,Tue Mar 06 17:16:25 +0000 2018,806,,,False,False,1387,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/971073105308221440/rLOGgxIC_normal.jpg,https://pbs.twimg.com/profile_images/971073105308221440/rLOGgxIC_normal.jpg,003399,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/971072018480328705/1520357529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 15:26:14 +0000 2020,1220729529246928901,1220729529246928901,@christinebeeton @bcmhouston We look forward to meeting them as well!,False,"[29, 69]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205473524963492e+18,1220547352496349192,2799348346.0,2799348346,christinebeeton,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'christinebeeton', 'name': 'Christine Beeton', 'id': 2799348346, 'id_str': '2799348346', 'indices': [0, 16]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [17, 28]}]",[],en,recent,707550421997346816,707550421997346816,BCM_CareerDev,bcm_careerdev,"Houston, TX","Providing @BCMHouston students the necessary training, resources and connections to achieve their professional goals and develop meaningful careers.",https://t.co/y9ZyFGHj9Z,"[{'url': 'https://t.co/y9ZyFGHj9Z', 'expanded_url': 'https://www.bcm.edu/careerdevelopment', 'display_url': 'bcm.edu/careerdevelopm…', 'indices': [0, 23]}]",[],False,439,308,7,Wed Mar 09 12:55:41 +0000 2016,460,,,True,False,509,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/707557211229192193/oYrx4mv8_normal.jpg,https://pbs.twimg.com/profile_images/707557211229192193/oYrx4mv8_normal.jpg,192857,000000,000000,000000,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/707550421997346816/1534282892,1c69a67ad480e1b1,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,city,Houston,"Houston, TX",US,United States,[],Polygon,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 03:46:28 +0000 2020,1220553426163130368,1220553426163130368,@Katy_Patras @bcmhouston Ouch,False,"[25, 29]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205026419288105e+18,1220502641928810498,1.1049652548809769e+18,1104965254880976896,Katy_Patras,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Katy_Patras', 'name': 'Katy Patras', 'id': 1104965254880976896, 'id_str': '1104965254880976896', 'indices': [0, 12]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [13, 24]}]",[],en,recent,189406922,189406922,Victor Nizet,victornizet,La Jolla,"Physician/Scientist, Bacteria Wrassler, Collaborative to Halt Antibiotic-Resistant Microbes @CHARM_UCSD",https://t.co/JRotuA7ntP,"[{'url': 'https://t.co/JRotuA7ntP', 'expanded_url': 'http://nizetlab.ucsd.edu', 'display_url': 'nizetlab.ucsd.edu', 'indices': [0, 23]}]",[],False,1103,494,13,Sat Sep 11 04:52:20 +0000 2010,788,,,True,False,553,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1048775935279824897/FhRu_sEd_normal.jpg,https://pbs.twimg.com/profile_images/1048775935279824897/FhRu_sEd_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/189406922/1409421251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Fri Jan 24 03:16:40 +0000 2020,1220545929272614912,1220545929272614912,@ACaticBCM @EmpoweringPts @JenniferFreytag @bcmhouston @Geriatrics Congrats @JenniferFreytag!,False,"[67, 93]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220105616829698e+18,1220105616829698049,3906059593.0,3906059593,ACaticBCM,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ACaticBCM', 'name': 'Angela Catic', 'id': 3906059593, 'id_str': '3906059593', 'indices': [0, 10]}, {'screen_name': 'EmpoweringPts', 'name': 'Empowering Patients', 'id': 299366877, 'id_str': '299366877', 'indices': [11, 25]}, {'screen_name': 'JenniferFreytag', 'name': 'Jennifer Freytag, JD, PhD', 'id': 1118947508900761600, 'id_str': '1118947508900761600', 'indices': [26, 42]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [43, 54]}, {'screen_name': 'Geriatrics', 'name': 'Placement Counselors', 'id': 16850919, 'id_str': '16850919', 'indices': [55, 66]}, {'screen_name': 'JenniferFreytag', 'name': 'Jennifer Freytag, JD, PhD', 'id': 1118947508900761600, 'id_str': '1118947508900761600', 'indices': [76, 92]}]",[],en,recent,304098643,304098643,"Whitney L Mills, PhD",WhitneyLMills,"Providence, RI","Gerontologist, implementation scientist, & LTC researcher. Also, catlady, boardgamer, Hoosier, & MCR zealot. All opinions my own.",https://t.co/q5KJndB5jP,"[{'url': 'https://t.co/q5KJndB5jP', 'expanded_url': 'https://vivo.brown.edu/display/wmills1', 'display_url': 'vivo.brown.edu/display/wmills1', 'indices': [0, 23]}]",[],False,406,534,9,Mon May 23 22:53:42 +0000 2011,1084,,,False,False,704,,False,False,False,F5C295,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1220601974393114624/LAuXXY3m_normal.jpg,https://pbs.twimg.com/profile_images/1220601974393114624/LAuXXY3m_normal.jpg,5C4059,2B1E32,87515A,EEA795,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/304098643/1567859308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Wed Jan 22 19:13:49 +0000 2020,1220062028238409729,1220062028238409729,@christinebeeton @bcmhouston @Storm_Brewing Congratulations!,False,"[44, 60]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2200237363189883e+18,1220023736318988288,2799348346.0,2799348346,christinebeeton,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'christinebeeton', 'name': 'Christine Beeton', 'id': 2799348346, 'id_str': '2799348346', 'indices': [0, 16]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [17, 28]}, {'screen_name': 'Storm_Brewing', 'name': 'Joel Sederstrom', 'id': 2314601736, 'id_str': '2314601736', 'indices': [29, 43]}]",[],en,recent,2778405014,2778405014,Evelin Young,Evelin_Y_,"Texas Medical Center, Houston",Educator | Scientist | Program Manager - Office of Postdoctoral Affairs | TFA and IRACDA alum,,,[],False,134,634,0,Fri Aug 29 12:43:13 +0000 2014,1610,,,False,False,335,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220423615382020098/YTiW7jgO_normal.jpg,https://pbs.twimg.com/profile_images/1220423615382020098/YTiW7jgO_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2778405014/1579806748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Wed Jan 22 18:08:26 +0000 2020,1220045571475505155,1220045571475505155,@AllenInstitute @bcmhouston @PrincetonNeuro @IARPAnews Amazingly beautiful!,False,"[55, 75]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2199729851020288e+18,1219972985102028800,209309794.0,209309794,AllenInstitute,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AllenInstitute', 'name': 'Allen Institute', 'id': 209309794, 'id_str': '209309794', 'indices': [0, 15]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [16, 27]}, {'screen_name': 'PrincetonNeuro', 'name': 'Princeton Neuroscience', 'id': 1431341414, 'id_str': '1431341414', 'indices': [28, 43]}, {'screen_name': 'IARPAnews', 'name': 'IARPA', 'id': 546007186, 'id_str': '546007186', 'indices': [44, 54]}]",[],en,recent,821740272694546438,821740272694546438,Marita Castelló,MariaCa611113,Uruguay,"Assoc Prof @IIBCE, Scientist @PEDECIBA & @SNI, #IBRO Fellow @IBE_UNESCO. #BrainDevelopment & #BrainEvolution #ScienceEducation #DIY #Mindfulness&Neuroscience",,,[],False,311,926,1,Wed Jan 18 15:25:23 +0000 2017,2291,,,True,False,1348,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221259195074449408/9RqpKBPJ_normal.jpg,https://pbs.twimg.com/profile_images/1221259195074449408/9RqpKBPJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/821740272694546438/1574605174,01a9dbb9232f0fac,https://api.twitter.com/1.1/geo/id/01a9dbb9232f0fac.json,admin,Montevideo,"Montevideo, Uruguay",UY,Uruguay,[],Polygon,"[[[-56.430439, -34.937896], [-56.029341, -34.937896], [-56.029341, -34.701599], [-56.430439, -34.701599]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wed Jan 22 02:44:44 +0000 2020,1219813117758181378,1219813117758181378,@BCMNeurosurgery @bcmhouston @drashwinv Congratulations again Dr. V and Lizbeth!,False,"[40, 80]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197433409058038e+18,1219743340905803777,1.1142647972757217e+18,1114264797275721728,BCMNeurosurgery,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'BCMNeurosurgery', 'name': 'BCM Neurosurgery', 'id': 1114264797275721728, 'id_str': '1114264797275721728', 'indices': [0, 16]}, {'screen_name': 'bcmhouston', 'name': 'BCMHouston', 'id': 34299110, 'id_str': '34299110', 'indices': [17, 28]}, {'screen_name': 'drashwinv', 'name': 'Ashwin Viswanathan', 'id': 1113466304269144064, 'id_str': '1113466304269144064', 'indices': [29, 39]}]",[],en,recent,1023726625467322369,1023726625467322369,Peter Kan,PeterKa80460001,United States,"Cerebrovasular Neurosurgeon, Baylor College of Medicine",https://t.co/8eLkVX28mq,"[{'url': 'https://t.co/8eLkVX28mq', 'expanded_url': 'https://www.bcm.edu/people/view/peter-kan', 'display_url': 'bcm.edu/people/view/pe…', 'indices': [0, 23]}]",[],False,319,469,2,Mon Jul 30 00:27:02 +0000 2018,487,,,False,False,35,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1162497488223383552/thgtReu4_normal.jpg,https://pbs.twimg.com/profile_images/1162497488223383552/thgtReu4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
