,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,possibly_sensitive,entities.media,extended_entities.media,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
4,Sun Jan 26 03:24:29 +0000 2020,1221272669166940160,1221272669166940160,@BaylorProud @BaylorBookstore @Baylor @Nike @nikebasketball I have the one from last year that the bookstore sold but I haven’t seen any of the updated designs.,False,"[60, 160]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212721061991424e+18,1221272106199142400,28168942.0,28168942,BaylorProud,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'BaylorProud', 'name': 'BaylorProud', 'id': 28168942, 'id_str': '28168942', 'indices': [0, 12]}, {'screen_name': 'BaylorBookstore', 'name': 'Baylor Bookstore', 'id': 1240061275, 'id_str': '1240061275', 'indices': [13, 29]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [30, 37]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [38, 43]}, {'screen_name': 'nikebasketball', 'name': 'Nike Basketball', 'id': 5885732, 'id_str': '5885732', 'indices': [44, 59]}]",[],en,recent,200004533,200004533,Byars Holland,byars_holland,703➡️254➡️🤷🏻‍♂️,"Baylor Bear #SicEm Dad of the AKC Registered Shibas Yura (B&T) & Bean (RS). Lover of Space, WX, Baylor, DC Sports, Burnley F.C. & Special Olympics",,[],False,164,658,3,Fri Oct 08 06:37:47 +0000 2010,1614,,,True,False,4887,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1034222606403207169/CMoniFeG_normal.jpg,https://pbs.twimg.com/profile_images/1034222606403207169/CMoniFeG_normal.jpg,https://pbs.twimg.com/profile_banners/200004533/1515469404,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sun Jan 26 03:22:14 +0000 2020,1221272106199142400,1221272106199142400,"@byars_holland @BaylorBookstore @Baylor @Nike @nikebasketball I really thought I saw some the last time I was in the bookstore, but maybe I'm thinking of something else. I definitely don't see them online.

@BaylorBookstore -- can you help?",False,"[62, 240]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2212710467598868e+18,1221271046759886849,200004533.0,200004533,byars_holland,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'byars_holland', 'name': 'Byars Holland', 'id': 200004533, 'id_str': '200004533', 'indices': [0, 14]}, {'screen_name': 'BaylorBookstore', 'name': 'Baylor Bookstore', 'id': 1240061275, 'id_str': '1240061275', 'indices': [15, 31]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [32, 39]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [40, 45]}, {'screen_name': 'nikebasketball', 'name': 'Nike Basketball', 'id': 5885732, 'id_str': '5885732', 'indices': [46, 61]}, {'screen_name': 'BaylorBookstore', 'name': 'Baylor Bookstore', 'id': 1240061275, 'id_str': '1240061275', 'indices': [207, 223]}]",[],en,recent,28168942,28168942,BaylorProud,BaylorProud,"Waco, Texas","The #BaylorFamily refrigerator door, sharing unbridled enthusiasm for all things green and gold! #SicEm, @Baylor University!",http://t.co/P2tr8x8Njf,[],False,38178,12191,292,Wed Apr 01 19:05:05 +0000 2009,3931,,,False,False,32231,,False,False,False,003300,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/875408369070125057/sn3Q5nPJ_normal.jpg,https://pbs.twimg.com/profile_images/875408369070125057/sn3Q5nPJ_normal.jpg,https://pbs.twimg.com/profile_banners/28168942/1447564923,003300,003300,FFCC44,333333,True,False,False,False,False,False,False,none,"[{'url': 'http://t.co/P2tr8x8Njf', 'expanded_url': 'http://www.baylor.edu/baylorproud', 'display_url': 'baylor.edu/baylorproud', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sun Jan 26 03:18:02 +0000 2020,1221271046759886849,1221271046759886849,"@BaylorBookstore @BaylorProud @Baylor @Nike @nikebasketball Seeing as we have the #1 MBB &amp; #2 WBB teams is there any chance that you will sell the new BBall jerseys on campus or online?
I just can’t see why y’all aren’t capitalizing on this.

I can’t be the only one who wants one",False,"[0, 284]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,1240061275.0,1240061275,BaylorBookstore,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'BaylorBookstore', 'name': 'Baylor Bookstore', 'id': 1240061275, 'id_str': '1240061275', 'indices': [0, 16]}, {'screen_name': 'BaylorProud', 'name': 'BaylorProud', 'id': 28168942, 'id_str': '28168942', 'indices': [17, 29]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [30, 37]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [38, 43]}, {'screen_name': 'nikebasketball', 'name': 'Nike Basketball', 'id': 5885732, 'id_str': '5885732', 'indices': [44, 59]}]",[],en,recent,200004533,200004533,Byars Holland,byars_holland,703➡️254➡️🤷🏻‍♂️,"Baylor Bear #SicEm Dad of the AKC Registered Shibas Yura (B&T) & Bean (RS). Lover of Space, WX, Baylor, DC Sports, Burnley F.C. & Special Olympics",,[],False,164,658,3,Fri Oct 08 06:37:47 +0000 2010,1614,,,True,False,4887,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1034222606403207169/CMoniFeG_normal.jpg,https://pbs.twimg.com/profile_images/1034222606403207169/CMoniFeG_normal.jpg,https://pbs.twimg.com/profile_banners/200004533/1515469404,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun Jan 26 03:15:20 +0000 2020,1221270369023164417,1221270369023164417,@maestroP17 @WhitBaylor @BaylorMBB @Baylor Do you care now?,False,"[43, 59]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212436054587924e+18,1221243605458792450,45381220.0,45381220,maestroP17,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'maestroP17', 'name': 'Ⓜ️🅿️1️⃣7️⃣🏴\u200d☠️', 'id': 45381220, 'id_str': '45381220', 'indices': [0, 11]}, {'screen_name': 'WhitBaylor', 'name': 'Whitney Evans', 'id': 2426516341, 'id_str': '2426516341', 'indices': [12, 23]}, {'screen_name': 'BaylorMBB', 'name': 'Baylor Basketball', 'id': 21461392, 'id_str': '21461392', 'indices': [24, 34]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [35, 42]}]",[],en,recent,829539595402440704,829539595402440704,Cameron,ComeAndTakeEm97,,Christian First. American Second. Texan Third. Proudly blocked by AOC. ΜΟΛΩΝ ΛΑΒΕ. @BaylorYAF,,[],False,26,48,0,Thu Feb 09 03:57:06 +0000 2017,119,,,False,False,2751,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_banners/829539595402440704/1554923277,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sun Jan 26 02:00:15 +0000 2020,1221251472131837955,1221251472131837955,@MiniMuseologist @Baylor So Awesome! #SicEm💚🐻💛,False,"[25, 46]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221111095236141e+18,1221111095236141058,3345448415.0,3345448415,MiniMuseologist,,,,,False,0,1,False,False,en,"[{'text': 'SicEm', 'indices': [37, 43]}]",[],"[{'screen_name': 'MiniMuseologist', 'name': 'Brandice Nelson', 'id': 3345448415, 'id_str': '3345448415', 'indices': [0, 16]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [17, 24]}]",[],en,recent,45650817,45650817,Tiffany Holmes White,TiffHolmesWhite,Texas Girl!,"Committee Director, Texas Senate
Proud Baylor Bear Alum",,[],False,610,1127,9,Mon Jun 08 19:44:33 +0000 2009,3984,,,True,False,3655,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/844200409799577601/tUCOOLBX_normal.jpg,https://pbs.twimg.com/profile_images/844200409799577601/tUCOOLBX_normal.jpg,https://pbs.twimg.com/profile_banners/45650817/1377186495,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sun Jan 26 01:32:38 +0000 2020,1221244521251573760,1221244521251573760,@maestroP17 @WhitBaylor @BaylorMBB @Baylor I invite you to read my last comment again. Sic ‘Em Bears.,False,"[43, 101]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212436054587924e+18,1221243605458792450,45381220.0,45381220,maestroP17,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'maestroP17', 'name': 'Ⓜ️🅿️1️⃣7️⃣🏴\u200d☠️', 'id': 45381220, 'id_str': '45381220', 'indices': [0, 11]}, {'screen_name': 'WhitBaylor', 'name': 'Whitney Evans', 'id': 2426516341, 'id_str': '2426516341', 'indices': [12, 23]}, {'screen_name': 'BaylorMBB', 'name': 'Baylor Basketball', 'id': 21461392, 'id_str': '21461392', 'indices': [24, 34]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [35, 42]}]",[],en,recent,829539595402440704,829539595402440704,Cameron,ComeAndTakeEm97,,Christian First. American Second. Texan Third. Proudly blocked by AOC. ΜΟΛΩΝ ΛΑΒΕ. @BaylorYAF,,[],False,26,48,0,Thu Feb 09 03:57:06 +0000 2017,119,,,False,False,2751,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_banners/829539595402440704/1554923277,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sun Jan 26 01:26:49 +0000 2020,1221243059465326594,1221243059465326594,@maestroP17 @WhitBaylor @BaylorMBB @Baylor Living in the past I see. That’s cute.,False,"[43, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212359432414085e+18,1221235943241408513,45381220.0,45381220,maestroP17,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'maestroP17', 'name': 'Ⓜ️🅿️1️⃣7️⃣🏴\u200d☠️', 'id': 45381220, 'id_str': '45381220', 'indices': [0, 11]}, {'screen_name': 'WhitBaylor', 'name': 'Whitney Evans', 'id': 2426516341, 'id_str': '2426516341', 'indices': [12, 23]}, {'screen_name': 'BaylorMBB', 'name': 'Baylor Basketball', 'id': 21461392, 'id_str': '21461392', 'indices': [24, 34]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [35, 42]}]",[],en,recent,829539595402440704,829539595402440704,Cameron,ComeAndTakeEm97,,Christian First. American Second. Texan Third. Proudly blocked by AOC. ΜΟΛΩΝ ΛΑΒΕ. @BaylorYAF,,[],False,26,48,0,Thu Feb 09 03:57:06 +0000 2017,119,,,False,False,2751,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_banners/829539595402440704/1554923277,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sun Jan 26 00:17:14 +0000 2020,1221225547549806592,1221225547549806592,@WhitBaylor @BaylorMBB @Baylor We don’t camp out for unranked teams. Sic ‘Em.,False,"[31, 77]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212076257124884e+18,1221207625712488449,2426516341.0,2426516341,WhitBaylor,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'WhitBaylor', 'name': 'Whitney Evans', 'id': 2426516341, 'id_str': '2426516341', 'indices': [0, 11]}, {'screen_name': 'BaylorMBB', 'name': 'Baylor Basketball', 'id': 21461392, 'id_str': '21461392', 'indices': [12, 22]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [23, 30]}]",[],en,recent,829539595402440704,829539595402440704,Cameron,ComeAndTakeEm97,,Christian First. American Second. Texan Third. Proudly blocked by AOC. ΜΟΛΩΝ ΛΑΒΕ. @BaylorYAF,,[],False,26,48,0,Thu Feb 09 03:57:06 +0000 2017,119,,,False,False,2751,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_images/1115821413905182721/KDt5YdMn_normal.jpg,https://pbs.twimg.com/profile_banners/829539595402440704/1554923277,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sun Jan 26 00:10:28 +0000 2020,1221223843387363329,1221223843387363329,@RandPaul @realDonaldTrump @DukeU and @Baylor called. They want your degrees back.,False,"[27, 82]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209049177260032e+18,1220904917726003202,216881337.0,216881337,RandPaul,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RandPaul', 'name': 'Senator Rand Paul', 'id': 216881337, 'id_str': '216881337', 'indices': [0, 9]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [10, 26]}, {'screen_name': 'DukeU', 'name': 'Duke University', 'id': 23450421, 'id_str': '23450421', 'indices': [27, 33]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [38, 45]}]",[],en,recent,12034602,12034602,Steve Whiteley,whiteley,"York, PA USA","HS Geoscience teacher, Dartmouth, U of New Mexico, Anaconda, Billiton, married 36 yrs, golfer",,[],False,601,326,52,Wed Jan 09 17:15:14 +0000 2008,1674,,,True,False,30888,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1210592291372568582/aHgGgcFl_normal.jpg,https://pbs.twimg.com/profile_images/1210592291372568582/aHgGgcFl_normal.jpg,https://pbs.twimg.com/profile_banners/12034602/1398257115,0000FF,87BC44,E0FF92,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sat Jan 25 23:28:00 +0000 2020,1221213157252911104,1221213157252911104,@MiniMuseologist @Baylor Family tradition awesome,False,"[25, 49]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221111095236141e+18,1221111095236141058,3345448415.0,3345448415,MiniMuseologist,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MiniMuseologist', 'name': 'Brandice Nelson', 'id': 3345448415, 'id_str': '3345448415', 'indices': [0, 16]}, {'screen_name': 'Baylor', 'name': 'Baylor University', 'id': 21039814, 'id_str': '21039814', 'indices': [17, 24]}]",[],en,recent,986789489929605120,986789489929605120,Eric Gipson,EricGipson10,United States,"Proud Dad of Eric,Javon & Erika Gipson Married to Misty Gipson

TSU Alumni BS Human Performance Exercises Science. 13 year Veteran Teacher Alief ISD",,[],False,101,516,0,Thu Apr 19 02:12:02 +0000 2018,3377,,,False,False,446,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1200500134783733761/a_HRKB3-_normal.jpg,https://pbs.twimg.com/profile_images/1200500134783733761/a_HRKB3-_normal.jpg,https://pbs.twimg.com/profile_banners/986789489929605120/1546877263,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
