,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls
1,Sat Jan 25 13:18:59 +0000 2020,1221059893190369282,1221059893190369282,RT @binghamtonu: Planning a Super Bowl party. Who has the best pizza and wings in Binghamton? 🍕🍗,False,"[0, 96]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [3, 15]}]",[],en,recent,365024022,365024022,Binghamton Transfers,BingTransfers,CIW Library Rm 109,"Binghamton's Transfer Student Services is a place where transfer students can go for mentoring, advice, advocacy, and fun!",http://t.co/lpxCZanmwj,"[{'url': 'http://t.co/lpxCZanmwj', 'expanded_url': 'http://www2.binghamton.edu/transfer-services/', 'display_url': 'www2.binghamton.edu/transfer-servi…', 'indices': [0, 22]}]",[],False,536,132,10,Tue Aug 30 18:48:20 +0000 2011,111,,,True,False,1039,,False,False,False,6D7D75,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/1000157084120477696/cOSiFntB_normal.jpg,https://pbs.twimg.com/profile_images/1000157084120477696/cOSiFntB_normal.jpg,19CF86,FFFFFF,159F79,333333,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/365024022/1424124293,Thu Jan 23 19:15:22 +0000 2020,1.2204248027097907e+18,1220424802709790721,Planning a Super Bowl party. Who has the best pizza and wings in Binghamton? 🍕🍗,False,"[0, 79]",[],[],[],[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,23790666.0,23790666,Binghamton University,binghamtonu,"Binghamton, NY","Founded in 1946, Binghamton University is the premier public university in the Northeast.",,[],False,33043.0,677.0,335.0,Wed Mar 11 16:58:33 +0000 2009,4508.0,,,False,False,29466.0,,False,False,False,004333,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_banners/23790666/1575386231,005A43,FFFFFF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,False,1.0,14.0,False,False,en,,,,,,,,,,,
23,Thu Jan 23 22:35:01 +0000 2020,1220475048068308993,1220475048068308993,@pmarshwx Out of @binghamtonu 38 plus years. I still have those dreams. I have a friend a bit older than me and he is still having them 50 plus years on.,False,"[10, 153]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2202294681423626e+18,1220229468142362624,28343270.0,28343270,pmarshwx,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'pmarshwx', 'name': 'Patrick Marsh', 'id': 28343270, 'id_str': '28343270', 'indices': [0, 9]}, {'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [17, 29]}]",[],en,recent,966458701,966458701,Barry Grodenchik,BarryGrodenchik,"Queens, NY",Queens lifer representing Eastern Queens in the NYC Council. Blessed w Debra & David. Major @Mets fan. Never believe your own press. Weather too!,,,[],False,4113,407,100,Fri Nov 23 16:51:09 +0000 2012,26394,,,True,False,8046,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/610886188841308160/2r9kDT4d_normal.jpg,https://pbs.twimg.com/profile_images/610886188841308160/2r9kDT4d_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/966458701/1464377276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Thu Jan 23 22:13:25 +0000 2020,1220469613441449985,1220469613441449985,@binghamtonu Paul and Sons.  Best pizza by far.,False,"[13, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204248027097907e+18,1220424802709790721,23790666.0,23790666,binghamtonu,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [0, 12]}]",[],en,recent,43520941,43520941,Patrick H Madden,PatrickHMadden,Upstate New York,"Computer scientist, crowbar owner, mediocre guitarist. he/him/his #UnitedWeStand #KHive #LFG #Warren",https://t.co/2AJzK0cOZc,"[{'url': 'https://t.co/2AJzK0cOZc', 'expanded_url': 'https://www.cs.binghamton.edu/~pmadden', 'display_url': 'cs.binghamton.edu/~pmadden', 'indices': [0, 23]}]",[],False,495,464,10,Sat May 30 12:25:32 +0000 2009,18928,,,False,False,6021,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1220887662627782656/rNCimBB2_normal.jpg,https://pbs.twimg.com/profile_images/1220887662627782656/rNCimBB2_normal.jpg,2FC2EF,181A1E,252429,666666,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/43520941/1579916794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Thu Jan 23 21:48:23 +0000 2020,1220463312359522304,1220463312359522304,"@binghamtonu Pasquale's, but only at around 4am",False,"[13, 47]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204248027097907e+18,1220424802709790721,23790666.0,23790666,binghamtonu,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [0, 12]}]",[],en,recent,714843366,714843366,JC,TheLessFamousJC,Brooklyn,"Brooklyn teacher, Bing Alumni '16,
Isles, Arsenal, ND, Yanks, Raptors, Rugby ☘️🔴 
| 🇸🇪  🇫🇮  🇮🇪  🇩🇪 |",,,[],False,90,454,1,Tue Jul 24 19:59:49 +0000 2012,4501,,,False,False,208,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1137405122651332610/yqIx1PwW_normal.jpg,https://pbs.twimg.com/profile_images/1137405122651332610/yqIx1PwW_normal.jpg,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/714843366/1578278342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thu Jan 23 21:19:28 +0000 2020,1220456036227788800,1220456036227788800,"As part of National #EngineersWeek, #WatsonSchool @BinghamtonU is proud to host our annual Community Day!

From 10:30 a.m. to 3 p.m. Feb. 22, youths ages 6 to 16 and their families can engage in hands-on activities illustrating science, technology, engineering &amp; math (STEM). 
1/3",False,"[0, 284]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,8,False,False,en,"[{'text': 'EngineersWeek', 'indices': [20, 34]}, {'text': 'WatsonSchool', 'indices': [36, 49]}]",[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [50, 62]}]",[],en,recent,1016662955528769536,1016662955528769536,Binghamton University Watson School,bing_watson,"Binghamton, NY",The Thomas J. Watson School of Engineering and Applied Science at Binghamton University.,https://t.co/nnPc6YIXAO,"[{'url': 'https://t.co/nnPc6YIXAO', 'expanded_url': 'https://www.binghamton.edu/watson/', 'display_url': 'binghamton.edu/watson/', 'indices': [0, 23]}]",[],False,245,184,1,Tue Jul 10 12:38:32 +0000 2018,190,,,True,False,813,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1016665896163651586/9E5XihN5_normal.jpg,https://pbs.twimg.com/profile_images/1016665896163651586/9E5XihN5_normal.jpg,005A43,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1016662955528769536/1540384436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thu Jan 23 21:04:41 +0000 2020,1220452313296515073,1220452313296515073,RT @binghamtonu: Students be up watching Chandler on FRIENDS til 3 a.m. instead of studying. You worried about the wrong Bing.,False,"[0, 126]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,32,0,False,False,en,[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [3, 15]}]",[],en,recent,1149349939,1149349939,Brittany,brittanyariel24,"Staten Island, NY","25. Happy, free, confused and lonely in the best way. Binghamton University '16. Hunter College '18.",https://t.co/ym0LXu7MJ2,"[{'url': 'https://t.co/ym0LXu7MJ2', 'expanded_url': 'http://Instagram.com/brittany_ariel', 'display_url': 'Instagram.com/brittany_ariel', 'indices': [0, 23]}]",[],False,224,325,2,Mon Feb 04 23:25:08 +0000 2013,14830,,,True,False,19521,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217253271032729600/NgTdcdP3_normal.jpg,https://pbs.twimg.com/profile_images/1217253271032729600/NgTdcdP3_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1149349939/1528763558,Thu Jan 23 15:56:29 +0000 2020,1.2203747535774433e+18,1220374753577443333,Students be up watching Chandler on FRIENDS til 3 a.m. instead of studying. You worried about the wrong Bing.,False,"[0, 109]",[],[],[],[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,23790666.0,23790666,Binghamton University,binghamtonu,"Binghamton, NY","Founded in 1946, Binghamton University is the premier public university in the Northeast.",,[],False,33043.0,677.0,335.0,Wed Mar 11 16:58:33 +0000 2009,4508.0,,,False,False,29466.0,,False,False,False,004333,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_banners/23790666/1575386231,005A43,FFFFFF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,False,32.0,223.0,False,False,en,,,,,,,,,,,
31,Thu Jan 23 20:23:28 +0000 2020,1220441943425146891,1220441943425146891,RT @binghamtonu: Students be up watching Chandler on FRIENDS til 3 a.m. instead of studying. You worried about the wrong Bing.,False,"[0, 126]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,32,0,False,False,en,[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [3, 15]}]",[],en,recent,1337982282,1337982282,Jules 🍊,Juleslosc,,Binghamton University 🐾 Hot Chelle Rae | Jonas Brothers |One Direction | Panic! at the Disco,,,[],False,150,453,6,Tue Apr 09 01:05:50 +0000 2013,11034,,,True,False,5099,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1041380740011880448/XGCiUQIR_normal.jpg,https://pbs.twimg.com/profile_images/1041380740011880448/XGCiUQIR_normal.jpg,7100B3,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1337982282/1567351869,Thu Jan 23 15:56:29 +0000 2020,1.2203747535774433e+18,1220374753577443333,Students be up watching Chandler on FRIENDS til 3 a.m. instead of studying. You worried about the wrong Bing.,False,"[0, 109]",[],[],[],[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,23790666.0,23790666,Binghamton University,binghamtonu,"Binghamton, NY","Founded in 1946, Binghamton University is the premier public university in the Northeast.",,[],False,33043.0,677.0,335.0,Wed Mar 11 16:58:33 +0000 2009,4508.0,,,False,False,29466.0,,False,False,False,004333,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_banners/23790666/1575386231,005A43,FFFFFF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,False,32.0,223.0,False,False,en,,,,,,,,,,,
37,Thu Jan 23 19:52:05 +0000 2020,1220434045835907072,1220434045835907072,RT @binghamtonu: Students be up watching Chandler on FRIENDS til 3 a.m. instead of studying. You worried about the wrong Bing.,False,"[0, 126]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,32,0,False,False,en,[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [3, 15]}]",[],en,recent,4890876052,4890876052,Stefanie,_stefnotsteph,"Brooklyn, NY",Binghamton University Alumna || ΛΘΑ🌙,,,[],False,583,505,0,Tue Feb 09 05:13:17 +0000 2016,15275,,,True,False,5198,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1123468641998180355/-hxhWitK_normal.jpg,https://pbs.twimg.com/profile_images/1123468641998180355/-hxhWitK_normal.jpg,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/4890876052/1545884195,Thu Jan 23 15:56:29 +0000 2020,1.2203747535774433e+18,1220374753577443333,Students be up watching Chandler on FRIENDS til 3 a.m. instead of studying. You worried about the wrong Bing.,False,"[0, 109]",[],[],[],[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,23790666.0,23790666,Binghamton University,binghamtonu,"Binghamton, NY","Founded in 1946, Binghamton University is the premier public university in the Northeast.",,[],False,33043.0,677.0,335.0,Wed Mar 11 16:58:33 +0000 2009,4508.0,,,False,False,29466.0,,False,False,False,004333,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_images/601475591918002177/qeftl81n_normal.png,https://pbs.twimg.com/profile_banners/23790666/1575386231,005A43,FFFFFF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,False,32.0,223.0,False,False,en,,,,,,,,,,,
68,Wed Jan 22 01:23:22 +0000 2020,1219792639240941573,1219792639240941573,RT @JeffPlatsky: .@binghamtonu grad @RepJeffries now making a case before the Senate to call Chief of Staff Mulvaney and others in the Trum…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'JeffPlatsky', 'name': 'Jeffrey Platsky', 'id': 124282407, 'id_str': '124282407', 'indices': [3, 15]}, {'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [18, 30]}, {'screen_name': 'RepJeffries', 'name': 'Hakeem Jeffries', 'id': 467823431, 'id_str': '467823431', 'indices': [36, 48]}]",[],en,recent,116565019,116565019,Chris Kocher,RealChrisKocher,"Binghamton, N.Y.","Editor, writer, and all-around gentleman and scholar. Communications manager @binghamtonu @bing_watson & host of The Signal @whrwradio (10 a.m. Saturdays)",,,[],False,2533,3198,96,Mon Feb 22 22:53:34 +0000 2010,13117,,,True,True,41827,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/588849996671225856/0E6_772i_normal.jpg,https://pbs.twimg.com/profile_images/588849996671225856/0E6_772i_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/116565019/1567196505,Wed Jan 22 01:18:56 +0000 2020,1.2197915225745408e+18,1219791522574540800,.@binghamtonu grad @RepJeffries now making a case before the Senate to call Chief of Staff Mulvaney and others in the Trump impeachment proceedings.,False,"[0, 148]",[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [1, 13]}, {'screen_name': 'RepJeffries', 'name': 'Hakeem Jeffries', 'id': 467823431, 'id_str': '467823431', 'indices': [19, 31]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,124282407.0,124282407,Jeffrey Platsky,JeffPlatsky,"Binghamton, NY","Investigations - USAToday NY Network. You can take the kid out of Queens, but you can't take the Queens out of the kid. Lifelong Mets fan. Yankees? No so much.",http://t.co/ClJO9FGevn,[],False,1807.0,1141.0,79.0,Thu Mar 18 22:04:25 +0000 2010,454.0,,,False,True,12693.0,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://pbs.twimg.com/profile_images/760861943/platsky3_normal.jpg,https://pbs.twimg.com/profile_images/760861943/platsky3_normal.jpg,https://pbs.twimg.com/profile_banners/124282407/1550865772,0084B4,FFFFFF,C0DFEC,333333,True,False,False,False,False,False,False,none,,,,,False,2.0,4.0,False,False,en,,,,,,,,,,,"[{'url': 'http://t.co/ClJO9FGevn', 'expanded_url': 'http://www.pressconnects.com', 'display_url': 'pressconnects.com', 'indices': [0, 22]}]"
72,Tue Jan 21 16:58:29 +0000 2020,1219665582121017346,1219665582121017346,RT @JBD1: It's the first day of classes at @binghamtonu and @bingulibraries are already hopping! Great to see so many students using the li…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'JBD1', 'name': 'Jeremy Dibbell', 'id': 19045177, 'id_str': '19045177', 'indices': [3, 8]}, {'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [43, 55]}, {'screen_name': 'bingulibraries', 'name': 'Binghamton University Libraries', 'id': 18807112, 'id_str': '18807112', 'indices': [60, 75]}]",[],en,recent,18807112,18807112,Binghamton University Libraries,bingulibraries,"Binghamton, NY",Official Twitter feed of the Binghamton University Libraries where we encourage patrons to Connect. Discover. Create,https://t.co/KN7cII6xO5,"[{'url': 'https://t.co/KN7cII6xO5', 'expanded_url': 'http://binghamton.edu/libraries', 'display_url': 'binghamton.edu/libraries', 'indices': [0, 23]}]",[],False,1552,519,94,Fri Jan 09 17:11:33 +0000 2009,13205,,,False,False,1565,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/865240277153349632/Tu9HUi91_normal.jpg,https://pbs.twimg.com/profile_images/865240277153349632/Tu9HUi91_normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/18807112/1490281917,Tue Jan 21 16:19:20 +0000 2020,1.2196557281405542e+18,1219655728140554241,It's the first day of classes at @binghamtonu and @bingulibraries are already hopping! Great to see so many students using the library's spaces and resources!,False,"[0, 158]",[],[],"[{'screen_name': 'binghamtonu', 'name': 'Binghamton University', 'id': 23790666, 'id_str': '23790666', 'indices': [33, 45]}, {'screen_name': 'bingulibraries', 'name': 'Binghamton University Libraries', 'id': 18807112, 'id_str': '18807112', 'indices': [50, 65]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,19045177.0,19045177,Jeremy Dibbell,JBD1,"Vestal, NY","Librarian, bibliophile, &c. Upstate NY. Opinions here are my own.",https://t.co/UdLfg9ngvU,[],False,2152.0,822.0,133.0,Thu Jan 15 23:31:17 +0000 2009,1060.0,,,False,False,13791.0,,False,False,False,93B7B8,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/288943339/bloemaert_owl_normal.JPG,https://pbs.twimg.com/profile_images/288943339/bloemaert_owl_normal.JPG,https://pbs.twimg.com/profile_banners/19045177/1522766167,0084B4,BDDCAD,AAE28D,333333,False,False,False,False,False,False,False,none,,,,,False,2.0,23.0,False,False,en,,,,,,,,,,,"[{'url': 'https://t.co/UdLfg9ngvU', 'expanded_url': 'http://philobiblos.blogspot.com', 'display_url': 'philobiblos.blogspot.com', 'indices': [0, 23]}]"
