,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
3,Sat Jan 25 22:52:04 +0000 2020,1221204114131968001,1221204114131968001,@ebutorac @Yalemenstennis @BostonCollege Lol ouch rough call out Booty 🤕😂,False,"[41, 73]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212012868608082e+18,1221201286860808192,48826297.0,48826297,ebutorac,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ebutorac', 'name': 'Eric Butorac', 'id': 48826297, 'id_str': '48826297', 'indices': [0, 9]}, {'screen_name': 'Yalemenstennis', 'name': ""Yale Men's Tennis"", 'id': 3153935369, 'id_str': '3153935369', 'indices': [10, 25]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [26, 40]}]",[],en,recent,44071013,44071013,marc lucero,marclucero,manhattan beach / everywhere ,coach. consultant. commentator. burrito critic. waterman. always learning. Boston College Eagle 🦅,,[],False,971,440,22,Tue Jun 02 06:07:35 +0000 2009,5596,,,True,False,7712,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1447203712/SES_tennis-1577_normal.jpg,https://pbs.twimg.com/profile_images/1447203712/SES_tennis-1577_normal.jpg,https://pbs.twimg.com/profile_banners/44071013/1360114566,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sat Jan 25 19:06:21 +0000 2020,1221147309758652416,1221147309758652416,@pehota @BCMBB @HokiesMBB @BostonCollege Good luck!,False,"[41, 51]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211464036002898e+18,1221146403600289802,527031610.0,527031610,pehota,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'pehota', 'name': 'Elizabeth Pehota', 'id': 527031610, 'id_str': '527031610', 'indices': [0, 7]}, {'screen_name': 'BCMBB', 'name': ""Boston College Men's Basketball"", 'id': 347308962, 'id_str': '347308962', 'indices': [8, 14]}, {'screen_name': 'HokiesMBB', 'name': ""Virginia Tech Men's Basketball"", 'id': 243791036, 'id_str': '243791036', 'indices': [15, 25]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [26, 40]}]",[],en,recent,35045485,35045485,Kurt Shank,kms167,Boston,Boston via Palmyra. Nittany Lion Alum; Philly sports fan. Sarcasm unlimited. Former Part-time Wizard.,,[],False,230,1598,9,Fri Apr 24 21:24:56 +0000 2009,45316,,,False,False,52382,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1067204630373908481/Tt0pKTI9_normal.jpg,https://pbs.twimg.com/profile_images/1067204630373908481/Tt0pKTI9_normal.jpg,https://pbs.twimg.com/profile_banners/35045485/1543276387,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sat Jan 25 17:21:15 +0000 2020,1221120863325519872,1221120863325519872,@coachgallup @BCEagles @BostonCollege The rehab remediation effort really made it shine (10-15 yrs ago?).  Was virtually black weather/charred in the 80s.  Returned it to grande dame stature...gorgeous...,False,"[38, 204]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211196885849661e+18,1221119688584966146,9.015753651304202e+17,901575365130420224,coachgallup,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'coachgallup', 'name': 'Barry Gallup', 'id': 901575365130420224, 'id_str': '901575365130420224', 'indices': [0, 12]}, {'screen_name': 'BCEagles', 'name': 'BC Eagles 🦅', 'id': 69620366, 'id_str': '69620366', 'indices': [13, 22]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [23, 37]}]",[],en,recent,422673498,422673498,Mark Arduino,MarkArduino,"Mahwah, NJ",Boston College 85',,[],False,315,788,8,Sun Nov 27 15:02:55 +0000 2011,27874,,,True,False,3542,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1054150260958871553/5wpmL87n_normal.jpg,https://pbs.twimg.com/profile_images/1054150260958871553/5wpmL87n_normal.jpg,https://pbs.twimg.com/profile_banners/422673498/1386336016,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fri Jan 24 23:02:52 +0000 2020,1220844446885072897,1220844446885072897,@BostonCollege @BCCarrollSchool @bcstm @BCSSW Can we get MCAS a twitter🥴,False,"[46, 72]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.22084322793225e+18,1220843227932250112,16582975.0,16582975,BostonCollege,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [0, 14]}, {'screen_name': 'BCCarrollSchool', 'name': 'BC Carroll School', 'id': 3040937949, 'id_str': '3040937949', 'indices': [15, 31]}, {'screen_name': 'bcstm', 'name': 'BC STM', 'id': 51251930, 'id_str': '51251930', 'indices': [32, 38]}, {'screen_name': 'BCSSW', 'name': 'BC School of Social Work', 'id': 21864078, 'id_str': '21864078', 'indices': [39, 45]}]",[],en,recent,803346819233234945,803346819233234945,Scotty Frank,scotty_frank22,,Boston College '22,,[],False,195,581,1,Mon Nov 28 21:16:21 +0000 2016,14704,,,False,False,1060,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1080701266316140545/dwaPd6T4_normal.jpg,https://pbs.twimg.com/profile_images/1080701266316140545/dwaPd6T4_normal.jpg,https://pbs.twimg.com/profile_banners/803346819233234945/1484286338,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fri Jan 24 21:27:19 +0000 2020,1220820398327115784,1220820398327115784,@jeffswin @akjorgenson @SF_Journal @BostonCollege @ASAnews @EnviroSocASA @SocDevelopment @Env_Pol Thanks @jeffswin  and @akjorgenson,False,"[98, 132]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208187778366218e+18,1220818777836621824,54958940.0,54958940,jeffswin,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jeffswin', 'name': 'Jeffrey Swindle', 'id': 54958940, 'id_str': '54958940', 'indices': [0, 9]}, {'screen_name': 'akjorgenson', 'name': 'Andrew Jorgenson', 'id': 2377255436, 'id_str': '2377255436', 'indices': [10, 22]}, {'screen_name': 'SF_Journal', 'name': 'Social Forces', 'id': 2766583633, 'id_str': '2766583633', 'indices': [23, 34]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [35, 49]}, {'screen_name': 'ASAnews', 'name': 'ASA Sociology', 'id': 18250336, 'id_str': '18250336', 'indices': [50, 58]}, {'screen_name': 'EnviroSocASA', 'name': 'ETS', 'id': 3837791172, 'id_str': '3837791172', 'indices': [59, 72]}, {'screen_name': 'SocDevelopment', 'name': 'Sociology of Development', 'id': 951160420051628032, 'id_str': '951160420051628032', 'indices': [73, 88]}, {'screen_name': 'Env_Pol', 'name': 'Environmental Politics', 'id': 966041229459849222, 'id_str': '966041229459849222', 'indices': [89, 97]}, {'screen_name': 'jeffswin', 'name': 'Jeffrey Swindle', 'id': 54958940, 'id_str': '54958940', 'indices': [105, 114]}, {'screen_name': 'akjorgenson', 'name': 'Andrew Jorgenson', 'id': 2377255436, 'id_str': '2377255436', 'indices': [120, 132]}]",[],en,recent,523550584,523550584,Orla Kelly,OrlamKelly,,"Ph.D Candidate at Boston College studying environmental sociology, sustainability, education, gender and development.",,[],False,75,156,0,Tue Mar 13 18:49:47 +0000 2012,172,,,False,False,56,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2846835445/9a0ef849358b5510aaffe6c7e948521b_normal.jpeg,https://pbs.twimg.com/profile_images/2846835445/9a0ef849358b5510aaffe6c7e948521b_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fri Jan 24 21:20:53 +0000 2020,1220818777836621824,1220818777836621824,@akjorgenson @SF_Journal @OrlamKelly @BostonCollege @ASAnews @EnviroSocASA @SocDevelopment @Env_Pol Looking forward to reading this @OrlamKelly!,False,"[100, 144]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207969352603648e+18,1220796935260364800,2377255436.0,2377255436,akjorgenson,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'akjorgenson', 'name': 'Andrew Jorgenson', 'id': 2377255436, 'id_str': '2377255436', 'indices': [0, 12]}, {'screen_name': 'SF_Journal', 'name': 'Social Forces', 'id': 2766583633, 'id_str': '2766583633', 'indices': [13, 24]}, {'screen_name': 'OrlamKelly', 'name': 'Orla Kelly', 'id': 523550584, 'id_str': '523550584', 'indices': [25, 36]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [37, 51]}, {'screen_name': 'ASAnews', 'name': 'ASA Sociology', 'id': 18250336, 'id_str': '18250336', 'indices': [52, 60]}, {'screen_name': 'EnviroSocASA', 'name': 'ETS', 'id': 3837791172, 'id_str': '3837791172', 'indices': [61, 74]}, {'screen_name': 'SocDevelopment', 'name': 'Sociology of Development', 'id': 951160420051628032, 'id_str': '951160420051628032', 'indices': [75, 90]}, {'screen_name': 'Env_Pol', 'name': 'Environmental Politics', 'id': 966041229459849222, 'id_str': '966041229459849222', 'indices': [91, 99]}, {'screen_name': 'OrlamKelly', 'name': 'Orla Kelly', 'id': 523550584, 'id_str': '523550584', 'indices': [132, 143]}]",[],en,recent,54958940,54958940,Jeffrey Swindle,jeffswin,"Ann Arbor, MI","Sociology PhD candidate @UMSociology. Culture, globalization, violence, demography.",https://t.co/WXbVhMSKox,[],False,542,368,12,Wed Jul 08 17:12:28 +0000 2009,1107,,,False,False,226,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1097749754916810752/PfEko4MR_normal.png,https://pbs.twimg.com/profile_images/1097749754916810752/PfEko4MR_normal.png,https://pbs.twimg.com/profile_banners/54958940/1550560189,4A913C,86A4A6,A0C5C7,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/WXbVhMSKox', 'expanded_url': 'https://lsa.umich.edu/soc/people/current-graduate-students/jswindle.html', 'display_url': 'lsa.umich.edu/soc/people/cur…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Fri Jan 24 17:23:32 +0000 2020,1220759050268434432,1220759050268434432,"@BostonCollege @amazon I made my first @amazon purchase in 1999, while a student at @BostonCollege #earlyadopter #aheadofmytime",False,"[23, 127]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220752127368274e+18,1220752127368273922,16582975.0,16582975,BostonCollege,,,,,False,0,1,False,False,en,"[{'text': 'earlyadopter', 'indices': [99, 112]}, {'text': 'aheadofmytime', 'indices': [113, 127]}]",[],"[{'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [0, 14]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [15, 22]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [39, 46]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [84, 98]}]",[],en,recent,21793167,21793167,JeniHansen,jenihansen,"Washington, DC",Founding Principal JH|SP • COO of @NWCnews • Board Member @BostonCollege Alumni Association • Fan of only one team @RedSox,https://t.co/k72w9qcHHS,[],False,420,803,8,Tue Feb 24 20:27:47 +0000 2009,422,,,False,False,2027,,False,False,False,FFF04D,http://abs.twimg.com/images/themes/theme19/bg.gif,https://abs.twimg.com/images/themes/theme19/bg.gif,False,http://pbs.twimg.com/profile_images/1082409219331158016/AkD2sMTo_normal.jpg,https://pbs.twimg.com/profile_images/1082409219331158016/AkD2sMTo_normal.jpg,https://pbs.twimg.com/profile_banners/21793167/1410392367,0099CC,FFF8AD,F6FFD1,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/k72w9qcHHS', 'expanded_url': 'http://www.jenihansen.com', 'display_url': 'jenihansen.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Wed Jan 22 22:52:00 +0000 2020,1220116936270532609,1220116936270532609,@Bird33Brady12 @BostonCollege Orange you clever...we missed this great caption opportunity! 😂😂🙌🙌,False,"[30, 96]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201072512407142e+18,1220107251240714240,1.2116872527969034e+18,1211687252796903424,Bird33Brady12,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Bird33Brady12', 'name': 'David Pearce', 'id': 1211687252796903424, 'id_str': '1211687252796903424', 'indices': [0, 14]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [15, 29]}]",[],en,recent,43089674,43089674,BC Alumni,BCAlumni,"The Heights! Chestnut Hill, MA","Once an Eagle, Always an Eagle.  Keeping Boston College alumni, parents, and friends connected.",https://t.co/UmmQlvwLDT,[],False,15112,4397,234,Thu May 28 11:13:21 +0000 2009,19633,,,True,True,20890,,False,False,False,FFC621,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1100082133425623041/zzsxe0Q6_normal.png,https://pbs.twimg.com/profile_images/1100082133425623041/zzsxe0Q6_normal.png,https://pbs.twimg.com/profile_banners/43089674/1578340511,660000,000000,DFD4BC,050505,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/UmmQlvwLDT', 'expanded_url': 'http://www.bc.edu/alumni', 'display_url': 'bc.edu/alumni', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Wed Jan 22 13:59:56 +0000 2020,1219983034562183168,1219983034562183168,"@SheriWalker72 @BostonCollege @BCAlumni Thank you. These days most of them aren’t happy w me, so probably not 😜",False,"[40, 111]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219966218981073e+18,1219966218981072896,931051507.0,931051507,SheriWalker72,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SheriWalker72', 'name': 'Sheri Walker', 'id': 931051507, 'id_str': '931051507', 'indices': [0, 14]}, {'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [15, 29]}, {'screen_name': 'BCAlumni', 'name': 'BC Alumni', 'id': 43089674, 'id_str': '43089674', 'indices': [30, 39]}]",[],en,recent,631496968,631496968,Casey McTeach,cmmteach,California,"My Loves: #MTBOS, my students, #Patriots, #RedSox, #BCEagles, seeing new places, teaching math, going to math conferences. Dream of a future on #DWTS",,[],False,4308,922,84,Mon Jul 09 23:05:55 +0000 2012,29229,,,True,False,43256,,False,False,False,3B94D9,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/880252878576730113/GkVTLMsR_normal.jpg,https://pbs.twimg.com/profile_images/880252878576730113/GkVTLMsR_normal.jpg,https://pbs.twimg.com/profile_banners/631496968/1480975222,89C9FA,CC3366,E5507E,362720,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Wed Jan 22 02:45:48 +0000 2020,1219813385413386240,1219813385413386240,"Nothing in life makes me feel quite as worthless as reading my @BostonCollege @BCAlumni magazine 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ #WhoLetHerIn? But hey, you know... #evertoexcel and #alwaysaneagle and all that 🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅🦅",False,"[0, 205]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,"[{'text': 'WhoLetHerIn', 'indices': [113, 125]}, {'text': 'evertoexcel', 'indices': [148, 160]}, {'text': 'alwaysaneagle', 'indices': [165, 179]}]",[],"[{'screen_name': 'BostonCollege', 'name': 'Boston College', 'id': 16582975, 'id_str': '16582975', 'indices': [63, 77]}, {'screen_name': 'BCAlumni', 'name': 'BC Alumni', 'id': 43089674, 'id_str': '43089674', 'indices': [78, 87]}]",[],en,recent,631496968,631496968,Casey McTeach,cmmteach,California,"My Loves: #MTBOS, my students, #Patriots, #RedSox, #BCEagles, seeing new places, teaching math, going to math conferences. Dream of a future on #DWTS",,[],False,4308,922,84,Mon Jul 09 23:05:55 +0000 2012,29229,,,True,False,43256,,False,False,False,3B94D9,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/880252878576730113/GkVTLMsR_normal.jpg,https://pbs.twimg.com/profile_images/880252878576730113/GkVTLMsR_normal.jpg,https://pbs.twimg.com/profile_banners/631496968/1480975222,89C9FA,CC3366,E5507E,362720,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
