,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
14,Sat Jan 25 14:22:00 +0000 2020,1221075750964645894,1221075750964645894,Wishing health and happiness to all who are celebrating #ChineseNewYear today. @BUSPH @BU_Tweets @bualumni @BUSPHAdmissions @ApplyToBU,False,"[0, 134]","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,,,,,,,False,1,12,False,False,en,"[{'text': 'ChineseNewYear', 'indices': [56, 71]}]",[],"[{'screen_name': 'BUSPH', 'name': 'BU Public Health', 'id': 34708125, 'id_str': '34708125', 'indices': [79, 85]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [86, 96]}, {'screen_name': 'bualumni', 'name': 'Boston University Alumni Association', 'id': 15723976, 'id_str': '15723976', 'indices': [97, 106]}, {'screen_name': 'BUSPHAdmissions', 'name': 'BUSPH Admissions', 'id': 2831836130, 'id_str': '2831836130', 'indices': [107, 123]}, {'screen_name': 'ApplyToBU', 'name': 'BU Admissions', 'id': 82121508, 'id_str': '82121508', 'indices': [124, 134]}]",[],en,recent,29328876,29328876,Sandro Galea,sandrogalea,,"Doctor, scientist, dad, husband. Dean, professor @BUSPH. Immigrant.",https://t.co/23RW2tLLv8,"[{'url': 'https://t.co/23RW2tLLv8', 'expanded_url': 'https://www.sandrogalea.org/', 'display_url': 'sandrogalea.org', 'indices': [0, 23]}]",[],False,19565,441,268,Mon Apr 06 23:44:41 +0000 2009,1770,,,False,True,11748,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1010260886890532864/hicqwGQl_normal.jpg,https://pbs.twimg.com/profile_images/1010260886890532864/hicqwGQl_normal.jpg,https://pbs.twimg.com/profile_banners/29328876/1564842912,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sat Jan 25 12:53:40 +0000 2020,1221053520893423616,1221053520893423616,RT @JDM_Physiology: So excited and honored to say that I was selected for the @APSPhysiology Caroline tum Suden/Frances Hellebrandt profess…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'JDM_Physiology', 'name': 'Jesse Moreira, MS', 'id': 1179386120343187456, 'id_str': '1179386120343187456', 'indices': [3, 18]}, {'screen_name': 'APSPhysiology', 'name': 'APS', 'id': 2420778740, 'id_str': '2420778740', 'indices': [78, 92]}]",[],en,recent,405960066,405960066,Susan Kandarian,susan_mecfs,"Boston, MA",Professor & scientist disabled by #MECFS. Donate to Ron Davis & Stanford colleagues at https://t.co/DOObedGMnC bc NIH won’t fund research until the hard work is done,,,"[{'url': 'https://t.co/DOObedGMnC', 'expanded_url': 'http://OMF.ngo', 'display_url': 'OMF.ngo', 'indices': [87, 110]}]",False,430,287,4,Sun Nov 06 01:58:29 +0000 2011,4064,,,False,False,1061,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1110257731036999680/iwRAq-LX_normal.jpg,https://pbs.twimg.com/profile_images/1110257731036999680/iwRAq-LX_normal.jpg,https://pbs.twimg.com/profile_banners/405960066/1553541046,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sat Jan 25 12:20:37 +0000 2020,1.2210452046036132e+18,1221045204603613186,So excited and honored to say that I was selected for the @APSPhysiology Caroline tum Suden/Frances Hellebrandt professional opportunity award to attend and present my recent work on microglia @expbio #expbio2020 #neuro #physiology #inflammation #lgbtqSTEM @BUSargent @BU_Tweets,False,"[0, 278]","[{'text': 'expbio2020', 'indices': [201, 212]}, {'text': 'neuro', 'indices': [213, 219]}, {'text': 'physiology', 'indices': [220, 231]}, {'text': 'inflammation', 'indices': [232, 245]}, {'text': 'lgbtqSTEM', 'indices': [246, 256]}]",[],"[{'screen_name': 'APSPhysiology', 'name': 'APS', 'id': 2420778740, 'id_str': '2420778740', 'indices': [58, 72]}, {'screen_name': 'expbio', 'name': 'Experimental Biology', 'id': 71023545, 'id_str': '71023545', 'indices': [193, 200]}, {'screen_name': 'BUSargent', 'name': 'Sargent College, Boston University', 'id': 286228656, 'id_str': '286228656', 'indices': [257, 267]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [268, 278]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.1793861203431875e+18,1179386120343187456,"Jesse Moreira, MS",JDM_Physiology,,@BUSargent PhD Candidate in Lab of Cardio-Renal Research | Neuroimmunology-Cardiovascular Physiology | LGBTQ advocate | he/him/his | views are my own,,,[],False,24.0,73.0,0.0,Wed Oct 02 13:22:25 +0000 2019,80.0,,,False,False,42.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1179386351793385472/Wxh3ZXjO_normal.jpg,https://pbs.twimg.com/profile_images/1179386351793385472/Wxh3ZXjO_normal.jpg,https://pbs.twimg.com/profile_banners/1179386120343187456/1570022852,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,5.0,False,False,en,,,,,,,,,,,,,,,,,,,,
18,Sat Jan 25 12:20:37 +0000 2020,1221045204603613186,1221045204603613186,So excited and honored to say that I was selected for the @APSPhysiology Caroline tum Suden/Frances Hellebrandt professional opportunity award to attend and present my recent work on microglia @expbio #expbio2020 #neuro #physiology #inflammation #lgbtqSTEM @BUSargent @BU_Tweets,False,"[0, 278]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,5,False,False,en,"[{'text': 'expbio2020', 'indices': [201, 212]}, {'text': 'neuro', 'indices': [213, 219]}, {'text': 'physiology', 'indices': [220, 231]}, {'text': 'inflammation', 'indices': [232, 245]}, {'text': 'lgbtqSTEM', 'indices': [246, 256]}]",[],"[{'screen_name': 'APSPhysiology', 'name': 'APS', 'id': 2420778740, 'id_str': '2420778740', 'indices': [58, 72]}, {'screen_name': 'expbio', 'name': 'Experimental Biology', 'id': 71023545, 'id_str': '71023545', 'indices': [193, 200]}, {'screen_name': 'BUSargent', 'name': 'Sargent College, Boston University', 'id': 286228656, 'id_str': '286228656', 'indices': [257, 267]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [268, 278]}]",[],en,recent,1179386120343187456,1179386120343187456,"Jesse Moreira, MS",JDM_Physiology,,@BUSargent PhD Candidate in Lab of Cardio-Renal Research | Neuroimmunology-Cardiovascular Physiology | LGBTQ advocate | he/him/his | views are my own,,,[],False,24,73,0,Wed Oct 02 13:22:25 +0000 2019,80,,,False,False,42,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1179386351793385472/Wxh3ZXjO_normal.jpg,https://pbs.twimg.com/profile_images/1179386351793385472/Wxh3ZXjO_normal.jpg,https://pbs.twimg.com/profile_banners/1179386120343187456/1570022852,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fri Jan 24 15:37:47 +0000 2020,1220732437388394502,1220732437388394502,"RT @pjless69: @tsgmiami @SKYRIDER4538 @BU_Tweets She is not batshit crazy, she was just indoctrinated in a American college with a liberal…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'pjless69', 'name': 'PJL', 'id': 832201035829608448, 'id_str': '832201035829608448', 'indices': [3, 12]}, {'screen_name': 'tsgmiami', 'name': 'TSGMIAMI', 'id': 1136106446054203392, 'id_str': '1136106446054203392', 'indices': [14, 23]}, {'screen_name': 'SKYRIDER4538', 'name': '𝕊𝕜𝕪', 'id': 2985335882, 'id_str': '2985335882', 'indices': [24, 37]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [38, 48]}]",[],en,recent,1016482548065562624,1016482548065562624,Psalmster023,psalmster023,United States,"History, Philosophy, A student in search of Truth, Christ follower, USMC Vet, Husband and Father. Follow those whom I find interesting and provoke thought.",,,[],False,910,1000,2,Tue Jul 10 00:41:39 +0000 2018,30473,,,True,False,34607,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1056570357535014912/Ib2zLH68_normal.jpg,https://pbs.twimg.com/profile_images/1056570357535014912/Ib2zLH68_normal.jpg,https://pbs.twimg.com/profile_banners/1016482548065562624/1557209167,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Fri Jan 24 04:46:29 +0000 2020,1.2205685292226314e+18,1220568529222631425,"@tsgmiami @SKYRIDER4538 @BU_Tweets She is not batshit crazy, she was just indoctrinated in a American college with a liberal arts degree!😀😆😀😅😁
Turns out a Heating &amp; Air Conditioning Certificate at a community college is worth more &amp; in most instances more lucrative! Let's start putting HVAC people in office!",False,"[35, 317]",[],[],"[{'screen_name': 'tsgmiami', 'name': 'TSGMIAMI', 'id': 1136106446054203392, 'id_str': '1136106446054203392', 'indices': [0, 9]}, {'screen_name': 'SKYRIDER4538', 'name': '𝕊𝕜𝕪', 'id': 2985335882, 'id_str': '2985335882', 'indices': [10, 23]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [24, 34]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220512747974267e+18,1220512747974266880,1.1361064460542034e+18,1136106446054203392,tsgmiami,8.322010358296084e+17,832201035829608448,PJL,pjless69,United States,"If it's not broken, don't fix it! Marxism doesn't work, stop try to progress to that shit!  #LiberalismIsAMentalDisorder #MAGA Just say No to #MS13DEMOCRATS",,,[],False,1177.0,1232.0,4.0,Thu Feb 16 12:12:43 +0000 2017,42349.0,,,False,False,24883.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/982982617841664002/62OqPrer_normal.jpg,https://pbs.twimg.com/profile_images/982982617841664002/62OqPrer_normal.jpg,https://pbs.twimg.com/profile_banners/832201035829608448/1500678894,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,3.0,6.0,False,False,en,,,,,,,,,,,,,,,,,,,,
70,Fri Jan 24 01:21:58 +0000 2020,1220517062042320896,1220517062042320896,"@jadewuphd @BU_Tweets I’ll push it before we go to @INSneuro! So far I (and others) have been able to get @EmmaWeizenbaum onto Twitter, though she said the other day she needs to get twitter fired up again for INS. 😅",False,"[22, 216]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205166042382787e+18,1220516604238278656,1.1733436011553505e+18,1173343601155350530,jadewuphd,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'jadewuphd', 'name': 'Dr. Jade Wu', 'id': 1173343601155350530, 'id_str': '1173343601155350530', 'indices': [0, 10]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [11, 21]}, {'screen_name': 'INSneuro', 'name': 'INS', 'id': 883440791896674304, 'id_str': '883440791896674304', 'indices': [51, 60]}, {'screen_name': 'EmmaWeizenbaum', 'name': 'Emma Weizenbaum', 'id': 1131733000960528389, 'id_str': '1131733000960528389', 'indices': [106, 121]}]",[],en,recent,895665407280992256,895665407280992256,Joshua T. Fox-Fuller,joshfoxfuller,"Boston, MA",Clinical Psych Ph.D. Student @ Boston University / MGH; Aspiring Neuropsychologist/Researcher; Dog Lover; Texas A&M Sports Fan. Opinions are my own.,,,[],False,377,461,2,Thu Aug 10 15:17:28 +0000 2017,3360,,,True,False,360,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1121830403348631552/F0ynyyZj_normal.jpg,https://pbs.twimg.com/profile_images/1121830403348631552/F0ynyyZj_normal.jpg,https://pbs.twimg.com/profile_banners/895665407280992256/1547696011,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Fri Jan 24 00:02:25 +0000 2020,1220497042683895808,1220497042683895808,Great time at lunch today hearing from #phdstudents in grad orgs from across @BU_Tweets and talking about ways to improve #professionaldevelopment for PhDs looking for TT and #altac positions. #AcademicTwitter #AcademicChatter,False,"[0, 226]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,"[{'text': 'phdstudents', 'indices': [39, 51]}, {'text': 'professionaldevelopment', 'indices': [122, 146]}, {'text': 'altac', 'indices': [175, 181]}, {'text': 'AcademicTwitter', 'indices': [193, 209]}, {'text': 'AcademicChatter', 'indices': [210, 226]}]",[],"[{'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [77, 87]}]",[],en,recent,1161740770300157952,1161740770300157952,Sasha B. Goldman,sashabgold,Boston,Art History PhD Candidate. Dissertation on banana/duct tape artist #mauriziocattelan. In my day job I help other @bu_tweets PhD students w professional devel.,,,[],False,58,459,2,Wed Aug 14 20:45:58 +0000 2019,1566,,,False,False,229,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1207592149396709378/KKUpkY5f_normal.jpg,https://pbs.twimg.com/profile_images/1207592149396709378/KKUpkY5f_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Thu Jan 23 19:48:46 +0000 2020,1220433209017667584,1220433209017667584,@SKYRIDER4538 @BU_Tweets did she lie?,False,"[25, 37]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204242098574377e+18,1220424209857437697,2985335882.0,2985335882,SKYRIDER4538,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'SKYRIDER4538', 'name': '𝕊𝕜𝕪', 'id': 2985335882, 'id_str': '2985335882', 'indices': [0, 13]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [14, 24]}]",[],en,recent,1177579059221532673,1177579059221532673,❌LynnFynn❌,LynnFynn3,,Rebirth after losing 10k+ Followers and a lifetime ban- citing Scientific fact to “Feelings”. XY/XX Starting over to defend our Republic! #MAGA 🇺🇸🥼🚴‍♀️,,,[],False,1263,1057,0,Fri Sep 27 13:41:53 +0000 2019,16873,,,False,False,8278,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203488300415229954/KVs9qYP1_normal.jpg,https://pbs.twimg.com/profile_images/1203488300415229954/KVs9qYP1_normal.jpg,https://pbs.twimg.com/profile_banners/1177579059221532673/1579499563,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Thu Jan 23 16:25:17 +0000 2020,1220382002811146240,1220382002811146240,@SomilBTrivedi @espn @latimes @NPR @meridak @Kimbriell @BU_Law @BU_Tweets @shirleyhenrydc Looking great up there! Wish I could’ve attended.,False,"[90, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220371412285821e+18,1220371412285820934,24711009.0,24711009,SomilBTrivedi,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SomilBTrivedi', 'name': 'Somil Trivedi', 'id': 24711009, 'id_str': '24711009', 'indices': [0, 14]}, {'screen_name': 'espn', 'name': 'ESPN', 'id': 2557521, 'id_str': '2557521', 'indices': [15, 20]}, {'screen_name': 'latimes', 'name': 'Los Angeles Times', 'id': 16664681, 'id_str': '16664681', 'indices': [21, 29]}, {'screen_name': 'NPR', 'name': 'NPR', 'id': 5392522, 'id_str': '5392522', 'indices': [30, 34]}, {'screen_name': 'meridak', 'name': 'Kevin Merida', 'id': 139478204, 'id_str': '139478204', 'indices': [35, 43]}, {'screen_name': 'Kimbriell', 'name': 'Kimbriell Kelly', 'id': 149307309, 'id_str': '149307309', 'indices': [44, 54]}, {'screen_name': 'BU_Law', 'name': 'Boston University School of Law', 'id': 60617941, 'id_str': '60617941', 'indices': [55, 62]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [63, 73]}, {'screen_name': 'shirleyhenrydc', 'name': 'Shirley Henry', 'id': 41196210, 'id_str': '41196210', 'indices': [74, 89]}]",[],en,recent,926922811091931136,926922811091931136,"Carlton J. Miller, Esq.",CarltonJMiller,In the Trenches ,Always Believe! Alum: @LouisianaGov @lsu @SouthernULaw. @apa1906NETwork. My tweets & not legal advice.#lawyerleader,,,[],False,595,863,11,Sat Nov 04 21:23:14 +0000 2017,10779,,,True,False,1649,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1167977313163571206/e15wN7qc_normal.jpg,https://pbs.twimg.com/profile_images/1167977313163571206/e15wN7qc_normal.jpg,https://pbs.twimg.com/profile_banners/926922811091931136/1574697043,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tue Jan 21 20:22:09 +0000 2020,1219716833630138368,1219716833630138368,"“The movement to declare pornography a public health crisis is rooted in an ideology that is antithetical to many core values of public health promotion and is a political stunt, not reflective of best available evidence.” @BU_Tweets @AMJPublicHealth",False,"[0, 250]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197160154850058e+18,1219716015485005828,9.602484811547853e+17,960248481154785280,AJPHThinkTank,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [223, 233]}, {'screen_name': 'AMJPublicHealth', 'name': 'AJPH', 'id': 1304287518, 'id_str': '1304287518', 'indices': [234, 250]}]",[],en,recent,960248481154785280,960248481154785280,AJPHThinkTank,AJPHThinkTank,"Washington, DC",2020 AJPH Think Tank; 6 students across U.S. working to bring science & history to the conversation for Public Health leaders of today & tomorrow  #SoonInAJPH,https://t.co/jdvyIoKp4B,"[{'url': 'https://t.co/jdvyIoKp4B', 'expanded_url': 'https://tt.ajph.link/subscribe', 'display_url': 'tt.ajph.link/subscribe', 'indices': [0, 23]}]",[],False,1104,996,24,Sun Feb 04 20:27:33 +0000 2018,1507,,,False,False,2886,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1127832948420558849/x4UUam5K_normal.png,https://pbs.twimg.com/profile_images/1127832948420558849/x4UUam5K_normal.png,https://pbs.twimg.com/profile_banners/960248481154785280/1579018509,000000,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Tue Jan 21 16:14:10 +0000 2020,1219654429378408448,1219654429378408448,RT @sandrogalea: Martin Luther King Jr. knew that a society cannot be fully well without social and economic justice. The more we make our…,False,"[0, 139]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,4,0,False,False,en,[],[],"[{'screen_name': 'sandrogalea', 'name': 'Sandro Galea', 'id': 29328876, 'id_str': '29328876', 'indices': [3, 15]}]",[],en,recent,34708125,34708125,BU Public Health,BUSPH,BU School of Public Health,The official Twitter of Boston University School of Public Health. #ThinkTeachDo,http://t.co/Y2djHy8Vc1,"[{'url': 'http://t.co/Y2djHy8Vc1', 'expanded_url': 'http://sph.bu.edu', 'display_url': 'sph.bu.edu', 'indices': [0, 22]}]",[],False,27836,2224,500,Thu Apr 23 19:45:52 +0000 2009,9652,,,True,False,16009,,False,False,False,C5C7C7,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1089958066441908230/T-zE4BmG_normal.jpg,https://pbs.twimg.com/profile_images/1089958066441908230/T-zE4BmG_normal.jpg,https://pbs.twimg.com/profile_banners/34708125/1556804030,89C9FA,B5B1B2,B00D0A,050000,True,False,False,False,False,False,False,none,Mon Jan 20 14:39:58 +0000 2020,1.2192683358520484e+18,1219268335852048385,"Martin Luther King Jr. knew that a society cannot be fully well without social and economic justice. The more we make our world like the one he envisioned, the healthier we will be. @BUHTC @bualumni @BU_tweets @BUSPH @TheKingCenter",False,"[0, 231]",[],[],"[{'screen_name': 'BUHTC', 'name': 'HowardThurmanCenter', 'id': 52072652, 'id_str': '52072652', 'indices': [182, 188]}, {'screen_name': 'bualumni', 'name': 'Boston University Alumni Association', 'id': 15723976, 'id_str': '15723976', 'indices': [189, 198]}, {'screen_name': 'BU_Tweets', 'name': 'Boston University', 'id': 104561488, 'id_str': '104561488', 'indices': [199, 209]}, {'screen_name': 'BUSPH', 'name': 'BU Public Health', 'id': 34708125, 'id_str': '34708125', 'indices': [210, 216]}, {'screen_name': 'TheKingCenter', 'name': 'The King Center', 'id': 39547629, 'id_str': '39547629', 'indices': [217, 231]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,29328876.0,29328876,Sandro Galea,sandrogalea,,"Doctor, scientist, dad, husband. Dean, professor @BUSPH. Immigrant.",https://t.co/23RW2tLLv8,"[{'url': 'https://t.co/23RW2tLLv8', 'expanded_url': 'https://www.sandrogalea.org/', 'display_url': 'sandrogalea.org', 'indices': [0, 23]}]",[],False,19565.0,441.0,268.0,Mon Apr 06 23:44:41 +0000 2009,1770.0,,,False,True,11748.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1010260886890532864/hicqwGQl_normal.jpg,https://pbs.twimg.com/profile_images/1010260886890532864/hicqwGQl_normal.jpg,https://pbs.twimg.com/profile_banners/29328876/1564842912,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,4.0,43.0,False,False,en,,,,,,,,,,,,,,,,,,,,
