,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.possibly_sensitive
5,Fri Jan 24 03:37:59 +0000 2020,1220551290855424001,1220551290855424001,So thankful that @CurtinUni teaches us a lot about how to reflect on our practice. It’s all about perspective #napsacongress,False,"[0, 124]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,,False,1,3,False,False,en,"[{'text': 'napsacongress', 'indices': [110, 124]}]",[],"[{'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [17, 27]}]",[],en,recent,1100726016970940421,1100726016970940421,Ella Crust,EllaCrust,,"@NAPSA_Rx Executive Director ✨ 4th Year Pharmacy Student ✨ tweets own opinions, RTs are not endorsements",,,[],False,71,75,1,Wed Feb 27 11:55:07 +0000 2019,423,,,False,False,423,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1102747463499177984/5ZO1gXMU_normal.jpg,https://pbs.twimg.com/profile_images/1102747463499177984/5ZO1gXMU_normal.jpg,https://pbs.twimg.com/profile_banners/1100726016970940421/1551751256,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Thu Jan 23 12:08:04 +0000 2020,1220317272192909312,1220317272192909312,@DanielaCeccare8 @ZoeR_Coral @lirrf @CurtinUni So good your team got your repeated counts back through there!,False,"[47, 109]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220202743014445e+18,1220202743014445056,1.2195115380184474e+18,1219511538018447360,DanielaCeccare8,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'DanielaCeccare8', 'name': 'Daniela Ceccarelli', 'id': 1219511538018447360, 'id_str': '1219511538018447360', 'indices': [0, 16]}, {'screen_name': 'ZoeR_Coral', 'name': 'Zoe Richards', 'id': 1062585685276643328, 'id_str': '1062585685276643328', 'indices': [17, 28]}, {'screen_name': 'lirrf', 'name': 'LIRRF', 'id': 2473215966, 'id_str': '2473215966', 'indices': [29, 35]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [36, 46]}]",[],en,recent,1116867882908917760,1116867882908917760,Dr Andy Lewis,DrAndyLewis1,"Authorised by Jim Tait, Indepe","Senate candidate for QLD. Marine Scientist, small business owner, family man with 4 kids, lived in North Queensland since 1987. Coral Sea Foundation CEO.",https://t.co/Avt0PYkCzm,"[{'url': 'https://t.co/Avt0PYkCzm', 'expanded_url': 'https://i-c-a-n.com.au/andy-lewis/', 'display_url': 'i-c-a-n.com.au/andy-lewis/', 'indices': [0, 23]}]",[],False,364,207,4,Sat Apr 13 00:57:08 +0000 2019,866,,,False,False,816,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1120629554152820736/Qt9NWt6H_normal.jpg,https://pbs.twimg.com/profile_images/1120629554152820736/Qt9NWt6H_normal.jpg,https://pbs.twimg.com/profile_banners/1116867882908917760/1555373026,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thu Jan 23 05:28:45 +0000 2020,1220216781005918208,1220216781005918208,@DanielaCeccare8 @ZoeR_Coral @lirrf @CurtinUni Great news!!,False,"[47, 59]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220202743014445e+18,1220202743014445056,1.2195115380184474e+18,1219511538018447360,DanielaCeccare8,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'DanielaCeccare8', 'name': 'Daniela Ceccarelli', 'id': 1219511538018447360, 'id_str': '1219511538018447360', 'indices': [0, 16]}, {'screen_name': 'ZoeR_Coral', 'name': 'Zoe Richards', 'id': 1062585685276643328, 'id_str': '1062585685276643328', 'indices': [17, 28]}, {'screen_name': 'lirrf', 'name': 'LIRRF', 'id': 2473215966, 'id_str': '2473215966', 'indices': [29, 35]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [36, 46]}]",[],en,recent,944464891762548736,944464891762548736,Valerio Tettamanti,vtettama,"Brisbane, Queensland","PhD candidate @ University of Queensland & SCUBA Instructor. Interested in the visual ecology of coral reef fishes, evolution and genetics of opsin genes.",,,[],False,98,206,0,Sat Dec 23 07:09:12 +0000 2017,396,,,False,False,116,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1018315168973873152/7VcJd7Zu_normal.jpg,https://pbs.twimg.com/profile_images/1018315168973873152/7VcJd7Zu_normal.jpg,https://pbs.twimg.com/profile_banners/944464891762548736/1574631253,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Thu Jan 23 05:23:44 +0000 2020,1220215515840299008,1220215515840299008,"@DanielaCeccare8 @ZoeR_Coral @lirrf @CurtinUni Wow! Beautiful! I remember it as the left photo, so nice to see",False,"[47, 110]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220202743014445e+18,1220202743014445056,1.2195115380184474e+18,1219511538018447360,DanielaCeccare8,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'DanielaCeccare8', 'name': 'Daniela Ceccarelli', 'id': 1219511538018447360, 'id_str': '1219511538018447360', 'indices': [0, 16]}, {'screen_name': 'ZoeR_Coral', 'name': 'Zoe Richards', 'id': 1062585685276643328, 'id_str': '1062585685276643328', 'indices': [17, 28]}, {'screen_name': 'lirrf', 'name': 'LIRRF', 'id': 2473215966, 'id_str': '2473215966', 'indices': [29, 35]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [36, 46]}]",[],en,recent,716783871807725570,716783871807725570,Tania Kenyon,TaniaKenyon,"Brisbane, Queensland",UQ PhD candidate: coral rubble + reef recovery 🇲🇻 fieldwork | sugar addict 🍰 | vegan wannabe 🌿 | @CoralCoE,,,[],False,1170,2369,13,Mon Apr 04 00:26:07 +0000 2016,7649,,,True,False,1713,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1110396418936602625/o01p1OmH_normal.jpg,https://pbs.twimg.com/profile_images/1110396418936602625/o01p1OmH_normal.jpg,https://pbs.twimg.com/profile_banners/716783871807725570/1553574700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,004ec16c62325149,https://api.twitter.com/1.1/geo/id/004ec16c62325149.json,city,Brisbane,"Brisbane, Queensland",AU,Australia,[],Polygon,"[[[152.668522848, -27.767440994], [153.31787024, -27.767440994], [153.31787024, -26.996844991], [152.668522848, -26.996844991]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Wed Jan 22 14:32:26 +0000 2020,1219991215904415744,1219991215904415744,"@abc730 @CurtinUni @tomrjoyner An incredible program that deserves all our support. As a former mentor I could see first hand how many mentees gained many skills and improved their confidence by joining the program. Congratulations to Jasmine, Elaine, all mentors and mentees, #CARG and #AASQA @CurtinUni",False,"[31, 304]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194394699142308e+18,1219439469914230789,132731802.0,132731802,abc730,,,,,False,0,0,False,False,en,"[{'text': 'CARG', 'indices': [277, 282]}, {'text': 'AASQA', 'indices': [287, 293]}]",[],"[{'screen_name': 'abc730', 'name': 'abc730', 'id': 132731802, 'id_str': '132731802', 'indices': [0, 7]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [8, 18]}, {'screen_name': 'tomrjoyner', 'name': 'Tom Joyner', 'id': 277684774, 'id_str': '277684774', 'indices': [19, 30]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [294, 304]}]",[],en,recent,2926435434,2926435434,Claudia De Los Rios Perez,cladep1,"Perth, Australia","PhD Candidate @CurtinUni 
Personal account @clau1228",,,[],False,145,474,11,Thu Dec 11 06:29:24 +0000 2014,951,,,True,False,415,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/842587748548587520/jhtwY7f4_normal.jpg,https://pbs.twimg.com/profile_images/842587748548587520/jhtwY7f4_normal.jpg,https://pbs.twimg.com/profile_banners/2926435434/1549248831,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Wed Jan 22 06:57:06 +0000 2020,1219876624419573760,1219876624419573760,@JoshFrydenberg @SteveIronsMP @CurtinUni @CitySouthPerth @JoshFrydenberg  #JailTimeJoshy can’t see you surviving mate! Upto your entitled eyeballs in #sportsrorts #SportsGate #FraudenBerg #ScottyfromMarketing #auspol,False,"[57, 216]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.1183798520532746e+18,1118379852053274626,63942152.0,63942152,JoshFrydenberg,,,,,False,2,4,False,False,en,"[{'text': 'JailTimeJoshy', 'indices': [74, 88]}, {'text': 'sportsrorts', 'indices': [150, 162]}, {'text': 'SportsGate', 'indices': [163, 174]}, {'text': 'FraudenBerg', 'indices': [175, 187]}, {'text': 'ScottyfromMarketing', 'indices': [188, 208]}, {'text': 'auspol', 'indices': [209, 216]}]",[],"[{'screen_name': 'JoshFrydenberg', 'name': 'Josh Frydenberg', 'id': 63942152, 'id_str': '63942152', 'indices': [0, 15]}, {'screen_name': 'SteveIronsMP', 'name': 'Steve Irons MP', 'id': 22147650, 'id_str': '22147650', 'indices': [16, 29]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [30, 40]}, {'screen_name': 'CitySouthPerth', 'name': 'City of South Perth', 'id': 1859681072, 'id_str': '1859681072', 'indices': [41, 56]}, {'screen_name': 'JoshFrydenberg', 'name': 'Josh Frydenberg', 'id': 63942152, 'id_str': '63942152', 'indices': [57, 72]}]",[],en,recent,827800041066622979,827800041066622979,Migrant Nation Party,MigrantPartyAu,Australia,"We are the party of inclusion, fairness and justice for Australians. We represent the majority of Australians tired of xenophobic and regressive politics.",,,[],False,139,197,5,Sat Feb 04 08:44:44 +0000 2017,1873,,,False,False,2969,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/827808789453639680/bPZ36Ka__normal.jpg,https://pbs.twimg.com/profile_images/827808789453639680/bPZ36Ka__normal.jpg,https://pbs.twimg.com/profile_banners/827800041066622979/1486261155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Wed Jan 22 04:01:28 +0000 2020,1219832428073668614,1219832428073668614,@natesturcke @RSM_au @CurtinUni Glad to hear it’s going well!,False,"[32, 61]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2195009962686833e+18,1219500996268683267,16200915.0,16200915,natesturcke,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'natesturcke', 'name': 'Nate Sturcke', 'id': 16200915, 'id_str': '16200915', 'indices': [0, 12]}, {'screen_name': 'RSM_au', 'name': 'RSM Australia', 'id': 2829278155, 'id_str': '2829278155', 'indices': [13, 20]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [21, 31]}]",[],en,recent,495457471,495457471,Rohan,RohanMcD,"Perth, Perth (WA)",Director @CurtinUni #Commercialisation #TechnologyTransfer #StartUps #Entrepreneurship @ICetana #Renergi @KCAIncorprated @WestTechFest prev @HiSeis @Painchek,https://t.co/U7NYgnmGOp,"[{'url': 'https://t.co/U7NYgnmGOp', 'expanded_url': 'https://www.linkedin.com/in/rohanmcdougall/', 'display_url': 'linkedin.com/in/rohanmcdoug…', 'indices': [0, 23]}]",[],False,419,265,35,Sat Feb 18 00:18:34 +0000 2012,2261,,,True,False,984,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/958931069662711808/hpt990d5_normal.jpg,https://pbs.twimg.com/profile_images/958931069662711808/hpt990d5_normal.jpg,https://pbs.twimg.com/profile_banners/495457471/1517458656,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,490bdb082950484f,https://api.twitter.com/1.1/geo/id/490bdb082950484f.json,city,Menlo Park,"Menlo Park, CA",US,United States,[],Polygon,"[[[-122.228922, 37.416515], [-122.120415, 37.416515], [-122.120415, 37.507328], [-122.228922, 37.507328]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tue Jan 21 01:20:01 +0000 2020,1219429407711993856,1219429407711993856,"It's Drop In Tuesday! Join us today from 3-4 pm @ICentral_Au (Building 216, level 2) to chat about projects, #rstats #Python #ML #HPC 

@CurtinUni @curtinmakers @CUHackyHour",False,"[0, 173]","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,,,,,,,False,3,4,False,False,en,"[{'text': 'rstats', 'indices': [109, 116]}, {'text': 'Python', 'indices': [117, 124]}, {'text': 'ML', 'indices': [125, 128]}, {'text': 'HPC', 'indices': [129, 133]}]",[],"[{'screen_name': 'ICentral_Au', 'name': 'Innovation Central', 'id': 745851926575726592, 'id_str': '745851926575726592', 'indices': [48, 60]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [136, 146]}, {'screen_name': 'curtinmakers', 'name': 'Curtin Makers', 'id': 3679410138, 'id_str': '3679410138', 'indices': [147, 160]}, {'screen_name': 'CUHackyHour', 'name': 'CU Hacky Hour', 'id': 316459860, 'id_str': '316459860', 'indices': [161, 173]}]",[],en,recent,3004235786,3004235786,InstituteComputation,CurtinIC,"Perth, Western Australia","Cross-disciplinary institute at Curtin University that fosters the use of computation, data analytics and visualisation in all research endeavours",http://t.co/78jauc8XHG,"[{'url': 'http://t.co/78jauc8XHG', 'expanded_url': 'http://computation.curtin.edu.au', 'display_url': 'computation.curtin.edu.au', 'indices': [0, 22]}]",[],False,425,151,23,Sat Jan 31 03:16:56 +0000 2015,351,,,False,False,1116,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/716829637494484992/k5I2iIQQ_normal.jpg,https://pbs.twimg.com/profile_images/716829637494484992/k5I2iIQQ_normal.jpg,https://pbs.twimg.com/profile_banners/3004235786/1459827795,166990,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Mon Jan 20 14:45:47 +0000 2020,1219269799630389252,1219269799630389252,@mygenderation @theFoxFisher @vicparsons_ I have been to some talks from him at my uni (@CurtinUni). Great person and #LGBTI advocate,False,"[42, 133]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2188251844440596e+18,1218825184444059649,1455273656.0,1455273656,mygenderation,,,,,False,0,1,False,False,en,"[{'text': 'LGBTI', 'indices': [118, 124]}]",[],"[{'screen_name': 'mygenderation', 'name': 'My Genderation', 'id': 1455273656, 'id_str': '1455273656', 'indices': [0, 14]}, {'screen_name': 'theFoxFisher', 'name': 'Fox Fisher', 'id': 151565039, 'id_str': '151565039', 'indices': [15, 28]}, {'screen_name': 'vicparsons_', 'name': 'Vic Parsons', 'id': 476858872, 'id_str': '476858872', 'indices': [29, 41]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [88, 98]}]",[],en,recent,138772345,138772345,Stevie Lane,StevieMLane,Wadjuk Noongar land (Perth),Writer & filmmaker. Trans & Non-binary. They/them. LGBTI Champion @RW_Wellbeing. Educator @LivingProudWA. Peer @TFolkWA. Masters student. Views my own 🏳️‍🌈,https://t.co/Qu9idQ7Yqs,"[{'url': 'https://t.co/Qu9idQ7Yqs', 'expanded_url': 'http://gf.me/u/v458qg', 'display_url': 'gf.me/u/v458qg', 'indices': [0, 23]}]",[],False,257,818,9,Fri Apr 30 14:57:49 +0000 2010,4497,,,True,False,2073,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1217961869190656002/hdMThWKR_normal.jpg,https://pbs.twimg.com/profile_images/1217961869190656002/hdMThWKR_normal.jpg,https://pbs.twimg.com/profile_banners/138772345/1571049020,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mon Jan 20 08:41:54 +0000 2020,1219178224774610944,1219178224774610944,RT @IPS_sg: @wishcrys @CurtinUni @syclimateaction @RSIS_NTU Dr Crystal Abidin @wishcrys took the audience through various types of social m…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'IPS_sg', 'name': 'Institute of Policy Studies - IPS', 'id': 3249659623, 'id_str': '3249659623', 'indices': [3, 10]}, {'screen_name': 'wishcrys', 'name': 'wishcrys', 'id': 10492052, 'id_str': '10492052', 'indices': [12, 21]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [22, 32]}, {'screen_name': 'syclimateaction', 'name': 'Singapore Youth for Climate Action', 'id': 4812764796, 'id_str': '4812764796', 'indices': [33, 49]}, {'screen_name': 'RSIS_NTU', 'name': 'RSIS', 'id': 236231683, 'id_str': '236231683', 'indices': [50, 59]}, {'screen_name': 'wishcrys', 'name': 'wishcrys', 'id': 10492052, 'id_str': '10492052', 'indices': [78, 87]}]",[],en,recent,10492052,10492052,wishcrys,wishcrys,🇦🇺🇸🇬🇸🇪🌈,"anthropologist of internet cultures, phd. senior research fellow & arc decra @netstudies @ccat_curtin @aoir_org. forbes 30u30 asia, pacific standard 30u30.",https://t.co/gWQLGYO0lA,"[{'url': 'https://t.co/gWQLGYO0lA', 'expanded_url': 'https://wishcrys.com/about-me/', 'display_url': 'wishcrys.com/about-me/', 'indices': [0, 23]}]",[],False,7846,117,93,Fri Nov 23 13:21:33 +0000 2007,3633,,,False,False,24160,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/860087441469743106/WXtJ9vmT_normal.jpg,https://pbs.twimg.com/profile_images/860087441469743106/WXtJ9vmT_normal.jpg,https://pbs.twimg.com/profile_banners/10492052/1493895974,038543,EEEEEE,F6F6F6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,Mon Jan 20 08:36:13 +0000 2020,1.219176793736794e+18,1219176793736794113,"@wishcrys @CurtinUni @syclimateaction @RSIS_NTU Dr Crystal Abidin @wishcrys took the audience through various types of social media posts &amp; how they can be creative ways to talk about important yet taboo topics, &amp; not to belittle the format or underestimate their power. #SP2020Politics",False,"[48, 294]","[{'text': 'SP2020Politics', 'indices': [279, 294]}]",[],"[{'screen_name': 'wishcrys', 'name': 'wishcrys', 'id': 10492052, 'id_str': '10492052', 'indices': [0, 9]}, {'screen_name': 'CurtinUni', 'name': 'Curtin University', 'id': 41359753, 'id_str': '41359753', 'indices': [10, 20]}, {'screen_name': 'syclimateaction', 'name': 'Singapore Youth for Climate Action', 'id': 4812764796, 'id_str': '4812764796', 'indices': [21, 37]}, {'screen_name': 'RSIS_NTU', 'name': 'RSIS', 'id': 236231683, 'id_str': '236231683', 'indices': [38, 47]}, {'screen_name': 'wishcrys', 'name': 'wishcrys', 'id': 10492052, 'id_str': '10492052', 'indices': [66, 75]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2191582428754575e+18,1219158242875457537,3249659623.0,3249659623,IPS_sg,3249659623.0,3249659623,Institute of Policy Studies - IPS,IPS_sg,Singapore,"The Institute of Policy Studies (IPS) is an autonomous research centre of @LKYSch examining issues of critical national interest in Singapore.
RTs ≠ endorsement",http://t.co/NFibAmaiCf,"[{'url': 'http://t.co/NFibAmaiCf', 'expanded_url': 'http://lkyspp.nus.edu.sg/ips/', 'display_url': 'lkyspp.nus.edu.sg/ips/', 'indices': [0, 22]}]",[],False,1552.0,214.0,29.0,Fri Jun 19 08:30:51 +0000 2015,235.0,,,True,True,2209.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/854970142643544064/CIobwUry_normal.jpg,https://pbs.twimg.com/profile_images/854970142643544064/CIobwUry_normal.jpg,https://pbs.twimg.com/profile_banners/3249659623/1492675725,214198,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,False,1.0,3.0,False,False,en,
