,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
12,Sat Jan 25 18:03:34 +0000 2020,1221131512109850625,1221131512109850625,"@FossilLocator 1980. The “Stretch” at @Dartmouth. NH/VT (igneous, metamorphic terrain, glacial deposits), Utah/Lake Powell (limnology, sedimentary), then to Guatemala/Nicaragua for volcanology.",False,"[15, 193]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2208577759720653e+18,1220857775972065281,31977140.0,31977140,FossilLocator,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'FossilLocator', 'name': 'Fossil Locator', 'id': 31977140, 'id_str': '31977140', 'indices': [0, 14]}, {'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [38, 48]}]",[],en,recent,12034602,12034602,Steve Whiteley,whiteley,"York, PA USA","HS Geoscience teacher, Dartmouth, U of New Mexico, Anaconda, Billiton, married 36 yrs, golfer",,[],False,601,326,52,Wed Jan 09 17:15:14 +0000 2008,1674,,,True,False,30888,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1210592291372568582/aHgGgcFl_normal.jpg,https://pbs.twimg.com/profile_images/1210592291372568582/aHgGgcFl_normal.jpg,https://pbs.twimg.com/profile_banners/12034602/1398257115,0000FF,87BC44,E0FF92,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fri Jan 24 19:38:45 +0000 2020,1220793078950301697,1220793078950301697,"RT @ehPECS: Have you heard this term before: ""Arctic Science Diplomacy""? 

Science + Policy + International Relations = Science Diplomacy,…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'ehPECS', 'name': 'APECS Canada', 'id': 2220412280, 'id_str': '2220412280', 'indices': [3, 10]}]",[],en,recent,28157738,28157738,Melody Brown Burkins PhD,mbbvt,"Thetford, Vermont","AssocDirector @DartmouthDickey ENVSProf @Dartmouth GovBoard @ISC Chair @NASEM_BISO SrFellow IAP @UArctic 
 #sciencediplomacy #inclusion #equality #SDGs She/Her",https://t.co/1YbyHyLz4B,[],False,1330,2264,73,Wed Apr 01 18:09:36 +0000 2009,16177,,,True,False,8122,,False,False,False,000000,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/739866445987885056/VlGHj_8n_normal.jpg,https://pbs.twimg.com/profile_images/739866445987885056/VlGHj_8n_normal.jpg,https://pbs.twimg.com/profile_banners/28157738/1468335298,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,Fri Jan 24 18:54:21 +0000 2020,1.220781904598831e+18,1220781904598831104,"Have you heard this term before: ""Arctic Science Diplomacy""? 

Science + Policy + International Relations = Science Diplomacy, i.e. using the best evidence to decide the future of our planet

Melody Burkins @dartmouth college @uarctic #McGillNorth Research Day",False,"[0, 260]","[{'text': 'McGillNorth', 'indices': [235, 247]}]",[],"[{'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [207, 217]}, {'screen_name': 'uarctic', 'name': 'UArctic', 'id': 63087520, 'id_str': '63087520', 'indices': [226, 234]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,2220412280.0,2220412280,APECS Canada,ehPECS,"Canada, eh?",Association of Polar Early Career Scientists. Creating a network for #Arctic & #Antarctic researchers. Promoting education and outreach to inspire future minds.,https://t.co/379Sq68eV4,"[{'url': 'https://t.co/379Sq68eV4', 'expanded_url': 'https://apecscanada.wixsite.com/ehpecs', 'display_url': 'apecscanada.wixsite.com/ehpecs', 'indices': [0, 23]}]",[],False,1088.0,424.0,20.0,Thu Nov 28 22:03:40 +0000 2013,280.0,,,False,False,978.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/977552012932886528/4AyYCApa_normal.jpg,https://pbs.twimg.com/profile_images/977552012932886528/4AyYCApa_normal.jpg,https://pbs.twimg.com/profile_banners/2220412280/1509581607,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,12.0,False,False,en,"[{'url': 'https://t.co/1YbyHyLz4B', 'expanded_url': 'https://home.dartmouth.edu/faculty-directory/melody-brown-burkins', 'display_url': 'home.dartmouth.edu/faculty-direct…', 'indices': [0, 23]}]",,,,,,,,,,
33,Fri Jan 24 18:54:21 +0000 2020,1220781904598831104,1220781904598831104,"Have you heard this term before: ""Arctic Science Diplomacy""? 

Science + Policy + International Relations = Science Diplomacy, i.e. using the best evidence to decide the future of our planet

Melody Burkins @dartmouth college @uarctic #McGillNorth Research Day",False,"[0, 260]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,1,12,False,False,en,"[{'text': 'McGillNorth', 'indices': [235, 247]}]",[],"[{'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [207, 217]}, {'screen_name': 'uarctic', 'name': 'UArctic', 'id': 63087520, 'id_str': '63087520', 'indices': [226, 234]}]",[],en,recent,2220412280,2220412280,APECS Canada,ehPECS,"Canada, eh?",Association of Polar Early Career Scientists. Creating a network for #Arctic & #Antarctic researchers. Promoting education and outreach to inspire future minds.,https://t.co/379Sq68eV4,[],False,1088,424,20,Thu Nov 28 22:03:40 +0000 2013,280,,,False,False,978,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/977552012932886528/4AyYCApa_normal.jpg,https://pbs.twimg.com/profile_images/977552012932886528/4AyYCApa_normal.jpg,https://pbs.twimg.com/profile_banners/2220412280/1509581607,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/379Sq68eV4', 'expanded_url': 'https://apecscanada.wixsite.com/ehpecs', 'display_url': 'apecscanada.wixsite.com/ehpecs', 'indices': [0, 23]}]",,,,,,,,,,
36,Fri Jan 24 16:17:38 +0000 2020,1220742462710349825,1220742462710349825,@NAChristakis @nytopinion @dartmouth Thank you!,False,"[37, 47]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2184461878728663e+18,1218446187872866305,788363167.0,788363167,NAChristakis,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'NAChristakis', 'name': 'Nicholas A. Christakis', 'id': 788363167, 'id_str': '788363167', 'indices': [0, 13]}, {'screen_name': 'nytopinion', 'name': 'New York Times Opinion', 'id': 16686144, 'id_str': '16686144', 'indices': [14, 25]}, {'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [26, 36]}]",[],en,recent,13202482,13202482,EBHarrington,EBHarrington,"New Hampshire, USA","Professor of Sociology, Dartmouth--Author of Capital without Borders https://t.co/Ck8HYkCAro",http://t.co/Nz8DNwzWRN,"[{'url': 'https://t.co/Ck8HYkCAro', 'expanded_url': 'http://www.hup.harvard.edu/catalog.php?isbn=9780674743809', 'display_url': 'hup.harvard.edu/catalog.php?is…', 'indices': [69, 92]}]",False,368,59,3,Thu Feb 07 12:42:01 +0000 2008,13208,,,False,False,5920,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/48058822/portrait--windowsill_at_fatipur_sikri_normal.JPG,https://pbs.twimg.com/profile_images/48058822/portrait--windowsill_at_fatipur_sikri_normal.JPG,https://pbs.twimg.com/profile_banners/13202482/1549669139,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/Nz8DNwzWRN', 'expanded_url': 'http://www.brookeharrington.com', 'display_url': 'brookeharrington.com', 'indices': [0, 22]}]",,,,,,,,,,
38,Fri Jan 24 12:04:41 +0000 2020,1220678807490846720,1220678807490846720,"@GeiselMDPhD @sciencemagazine @Tcellguy @dartmouth @DartmouthHitch @CancerDartmouth Congrats, Mo!",False,"[84, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220390641957507e+18,1220390641957507078,1.0689851144562196e+18,1068985114456219648,GeiselMDPhD,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GeiselMDPhD', 'name': 'Geisel School of Medicine MD-PhD Program', 'id': 1068985114456219648, 'id_str': '1068985114456219648', 'indices': [0, 12]}, {'screen_name': 'sciencemagazine', 'name': 'Science Magazine', 'id': 32372834, 'id_str': '32372834', 'indices': [13, 29]}, {'screen_name': 'Tcellguy', 'name': 'Mohamed ElTanbouly', 'id': 251164712, 'id_str': '251164712', 'indices': [30, 39]}, {'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [40, 50]}, {'screen_name': 'DartmouthHitch', 'name': 'Dartmouth-Hitchcock', 'id': 211985056, 'id_str': '211985056', 'indices': [51, 66]}, {'screen_name': 'CancerDartmouth', 'name': 'CancerDartmouth', 'id': 399675772, 'id_str': '399675772', 'indices': [67, 83]}]",[],en,recent,859885856752107520,859885856752107520,Dr. Arielle Baker,ArielleLBaker,"Washington, DC","Associate Program Officer @theNASEM making science a more equitable place. @Dartmouth | @CUBoulder. Cats, #ALLCAPS, ephys + L5PNs. they/them",https://t.co/Eo0PhWTv0g,[],False,2120,1351,16,Wed May 03 21:42:18 +0000 2017,22134,,,True,False,6141,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1216504716588392454/Kgdtbifd_normal.jpg,https://pbs.twimg.com/profile_images/1216504716588392454/Kgdtbifd_normal.jpg,https://pbs.twimg.com/profile_banners/859885856752107520/1565829954,000066,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/Eo0PhWTv0g', 'expanded_url': 'http://sites.nationalacademies.org/sites/sexualharassmentcollaborative/', 'display_url': 'sites.nationalacademies.org/sites/sexualha…', 'indices': [0, 23]}]",,,,,,,,,,
48,Thu Jan 23 17:10:26 +0000 2020,1220393362299076614,1220393362299076614,@GeiselMDPhD @Tcellguy @sciencemagazine @dartmouth @DartmouthHitch @CancerDartmouth Congrats on your great work @Tcellguy,False,"[84, 121]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220390641957507e+18,1220390641957507078,1.0689851144562196e+18,1068985114456219648,GeiselMDPhD,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'GeiselMDPhD', 'name': 'Geisel School of Medicine MD-PhD Program', 'id': 1068985114456219648, 'id_str': '1068985114456219648', 'indices': [0, 12]}, {'screen_name': 'Tcellguy', 'name': 'Mohamed ElTanbouly', 'id': 251164712, 'id_str': '251164712', 'indices': [13, 22]}, {'screen_name': 'sciencemagazine', 'name': 'Science Magazine', 'id': 32372834, 'id_str': '32372834', 'indices': [23, 39]}, {'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [40, 50]}, {'screen_name': 'DartmouthHitch', 'name': 'Dartmouth-Hitchcock', 'id': 211985056, 'id_str': '211985056', 'indices': [51, 66]}, {'screen_name': 'CancerDartmouth', 'name': 'CancerDartmouth', 'id': 399675772, 'id_str': '399675772', 'indices': [67, 83]}, {'screen_name': 'Tcellguy', 'name': 'Mohamed ElTanbouly', 'id': 251164712, 'id_str': '251164712', 'indices': [112, 121]}]",[],en,recent,1076591420092235777,1076591420092235777,"Jie Deng, MD PhD",JieDengMDPhD,"Los Angeles, CA",#Radiationoncology resident at @UCLAHealth || MDPhD in immunology @Dartmouth || Views are my own.,,[],False,291,412,4,Sat Dec 22 21:32:51 +0000 2018,1233,,,True,False,91,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1079249407210483718/g6VdgXYU_normal.jpg,https://pbs.twimg.com/profile_images/1079249407210483718/g6VdgXYU_normal.jpg,,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Thu Jan 23 13:45:36 +0000 2020,1220341817742200832,1220341817742200832,@lia_michaels @dartmouth You’ve got this! They’d be lucky to get you!,False,"[25, 69]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203394289437123e+18,1220339428943712258,3248065584.0,3248065584,lia_michaels,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'lia_michaels', 'name': 'Lia Michaels', 'id': 3248065584, 'id_str': '3248065584', 'indices': [0, 13]}, {'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [14, 24]}]",[],en,recent,400926140,400926140,Kari Debbink,KariDebbink,"Bowie, MD","Assistant Professor at Bowie State University, virologist, general science nerd, educator, cake artist, feminist. (she/her)",https://t.co/pIWP4Jmqdv,[],False,623,619,6,Sat Oct 29 19:49:19 +0000 2011,5969,,,False,False,1082,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/624360260862640128/UlLhnaaY_normal.jpg,https://pbs.twimg.com/profile_images/624360260862640128/UlLhnaaY_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/pIWP4Jmqdv', 'expanded_url': 'http://debbinklab.weebly.com/', 'display_url': 'debbinklab.weebly.com', 'indices': [0, 23]}]",,,,,,,,,,
108,Mon Jan 20 13:11:56 +0000 2020,1219246179818536961,1219246179818536961,"@KateNautiyal @dartmouth @emmalesko23 Very exciting, congratulations!!",False,"[38, 70]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2190434180699628e+18,1219043418069962752,51215897.0,51215897,KateNautiyal,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'KateNautiyal', 'name': 'Kate Nautiyal', 'id': 51215897, 'id_str': '51215897', 'indices': [0, 13]}, {'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [14, 24]}, {'screen_name': 'emmalesko23', 'name': 'Emma Lesko', 'id': 940295424, 'id_str': '940295424', 'indices': [25, 37]}]",[],en,recent,4190915129,4190915129,Heidi Meyer,heidithmeyer,,"Behavioral neuroscientist, postdoc at Weill Cornell Medicine, adolescent learning and neurobiology! 🌮",https://t.co/VsKQ2QMjNI,[],False,687,587,10,Sun Nov 15 02:58:18 +0000 2015,5637,,,False,False,1448,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1204606618215862272/DBr1b2wl_normal.jpg,https://pbs.twimg.com/profile_images/1204606618215862272/DBr1b2wl_normal.jpg,https://pbs.twimg.com/profile_banners/4190915129/1524271048,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/VsKQ2QMjNI', 'expanded_url': 'https://heidithmeyer.wordpress.com/', 'display_url': 'heidithmeyer.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,
109,Mon Jan 20 04:47:30 +0000 2020,1219119233629589510,1219119233629589510,@KateNautiyal @dartmouth @emmalesko23 Congrats! This looks great!,False,"[38, 65]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2190434180699628e+18,1219043418069962752,51215897.0,51215897,KateNautiyal,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'KateNautiyal', 'name': 'Kate Nautiyal', 'id': 51215897, 'id_str': '51215897', 'indices': [0, 13]}, {'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [14, 24]}, {'screen_name': 'emmalesko23', 'name': 'Emma Lesko', 'id': 940295424, 'id_str': '940295424', 'indices': [25, 37]}]",[],en,recent,3152186729,3152186729,Jibran Khokhar,DrJKhokhar,"Guelph, Ontario",Neuropsychopharmacology; co-occurring addiction/mental illness. @queensu/@UofT/@Dartmouth product. Assistant Professor @UofG @OntVetCollege. PI: @JKhokharLab,https://t.co/LDnbZzEIdC,[],False,3600,2582,61,Thu Apr 09 16:54:06 +0000 2015,100110,,,True,False,23057,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1012078768012210176/rMTurRwL_normal.jpg,https://pbs.twimg.com/profile_images/1012078768012210176/rMTurRwL_normal.jpg,https://pbs.twimg.com/profile_banners/3152186729/1529601245,94D487,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/LDnbZzEIdC', 'expanded_url': 'http://www.khokharlab.com', 'display_url': 'khokharlab.com', 'indices': [0, 23]}]",,,,,,,,,,
111,Sun Jan 19 23:46:14 +0000 2020,1219043418069962752,1219043418069962752,Awesome work by amazing PBS @dartmouth grad student Stephanie Desrochers and hardworking undergrad @emmalesko23 and the rest of the team!,False,"[0, 137]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2190406758969303e+18,1219040675896930309,51215897.0,51215897,KateNautiyal,,,,,False,1,4,False,False,en,[],[],"[{'screen_name': 'dartmouth', 'name': 'Dartmouth', 'id': 21226678, 'id_str': '21226678', 'indices': [28, 38]}, {'screen_name': 'emmalesko23', 'name': 'Emma Lesko', 'id': 940295424, 'id_str': '940295424', 'indices': [99, 111]}]",[],en,recent,51215897,51215897,Kate Nautiyal,KateNautiyal,"Hanover, NH",Assistant Professor of Psychological and Brain Sciences at Dartmouth College. Behavioral Neuroscientist studying neural basis of impulsivity.,https://t.co/UnHFO2ozT9,[],False,311,272,3,Fri Jun 26 20:39:14 +0000 2009,823,,,False,False,199,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1072596613871403008/FKNnP4cF_normal.jpg,https://pbs.twimg.com/profile_images/1072596613871403008/FKNnP4cF_normal.jpg,https://pbs.twimg.com/profile_banners/51215897/1484707097,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/UnHFO2ozT9', 'expanded_url': 'http://www.nautiyal-lab.com', 'display_url': 'nautiyal-lab.com', 'indices': [0, 23]}]",,,,,,,,,,
