,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
0,Sat Jan 25 20:27:29 +0000 2020,1221167728712658945,1221167728712658945,@PaulitaPappel @jfkinstitutefub @saskiavogel @FU_Berlin was lovely to have you there 😘,False,"[56, 86]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221022034030973e+18,1221022034030972928,3342511757.0,3342511757,PaulitaPappel,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'PaulitaPappel', 'name': 'Paulita Pappel', 'id': 3342511757, 'id_str': '3342511757', 'indices': [0, 14]}, {'screen_name': 'jfkinstitutefub', 'name': 'JFK Institute Berlin', 'id': 2459859505, 'id_str': '2459859505', 'indices': [15, 31]}, {'screen_name': 'saskiavogel', 'name': 'Saskia Vogel', 'id': 47147386, 'id_str': '47147386', 'indices': [32, 44]}, {'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [45, 55]}]",[],en,recent,1187682452,1187682452,Madita Oeming,MsOeming,"Göttingen, Deutschland",public porn scholar | sex-work-inclusive feminist | vulvasplainer | university teacher | speakerin | PhD-ing | she/her,https://t.co/tYWTLZSh1W,"[{'url': 'https://t.co/tYWTLZSh1W', 'expanded_url': 'https://uni-paderborn.academia.edu/MaditaOemingMA', 'display_url': 'uni-paderborn.academia.edu/MaditaOemingMA', 'indices': [0, 23]}]",[],False,7862,447,84,Sat Feb 16 22:39:42 +0000 2013,18368,,,False,False,9654,,False,False,True,94D487,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/1149276151619215360/tAWijuPG_normal.png,https://pbs.twimg.com/profile_images/1149276151619215360/tAWijuPG_normal.png,https://pbs.twimg.com/profile_banners/1187682452/1562843240,91D2FA,000000,000000,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fri Jan 24 23:15:47 +0000 2020,1220847694249369600,1220847694249369600,@fkelleter @jfkinstitutefub @saskiavogel @FU_Berlin Thanks for coming out 🙏,False,"[52, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208347491089326e+18,1220834749108932617,603943621.0,603943621,fkelleter,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'fkelleter', 'name': 'candy box candy', 'id': 603943621, 'id_str': '603943621', 'indices': [0, 10]}, {'screen_name': 'jfkinstitutefub', 'name': 'JFK Institute Berlin', 'id': 2459859505, 'id_str': '2459859505', 'indices': [11, 27]}, {'screen_name': 'saskiavogel', 'name': 'Saskia Vogel', 'id': 47147386, 'id_str': '47147386', 'indices': [28, 40]}, {'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [41, 51]}]",[],en,recent,1187682452,1187682452,Madita Oeming,MsOeming,"Göttingen, Deutschland",public porn scholar | sex-work-inclusive feminist | vulvasplainer | university teacher | speakerin | PhD-ing | she/her,https://t.co/tYWTLZSh1W,"[{'url': 'https://t.co/tYWTLZSh1W', 'expanded_url': 'https://uni-paderborn.academia.edu/MaditaOemingMA', 'display_url': 'uni-paderborn.academia.edu/MaditaOemingMA', 'indices': [0, 23]}]",[],False,7862,447,84,Sat Feb 16 22:39:42 +0000 2013,18368,,,False,False,9654,,False,False,True,94D487,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/1149276151619215360/tAWijuPG_normal.png,https://pbs.twimg.com/profile_images/1149276151619215360/tAWijuPG_normal.png,https://pbs.twimg.com/profile_banners/1187682452/1562843240,91D2FA,000000,000000,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Fri Jan 24 17:21:39 +0000 2020,1220758572797190144,1220758572797190144,@eyecantina @saskiavogel @FU_Berlin Yass please 💕,False,"[36, 49]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204909179261952e+18,1220490917926195200,90351802.0,90351802,eyecantina,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'eyecantina', 'name': 'Gustavo Turner', 'id': 90351802, 'id_str': '90351802', 'indices': [0, 11]}, {'screen_name': 'saskiavogel', 'name': 'Saskia Vogel', 'id': 47147386, 'id_str': '47147386', 'indices': [12, 24]}, {'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [25, 35]}]",[],en,recent,1187682452,1187682452,Madita Oeming,MsOeming,"Göttingen, Deutschland",public porn scholar | sex-work-inclusive feminist | vulvasplainer | university teacher | speakerin | PhD-ing | she/her,https://t.co/tYWTLZSh1W,"[{'url': 'https://t.co/tYWTLZSh1W', 'expanded_url': 'https://uni-paderborn.academia.edu/MaditaOemingMA', 'display_url': 'uni-paderborn.academia.edu/MaditaOemingMA', 'indices': [0, 23]}]",[],False,7862,447,84,Sat Feb 16 22:39:42 +0000 2013,18368,,,False,False,9654,,False,False,True,94D487,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/1149276151619215360/tAWijuPG_normal.png,https://pbs.twimg.com/profile_images/1149276151619215360/tAWijuPG_normal.png,https://pbs.twimg.com/profile_banners/1187682452/1562843240,91D2FA,000000,000000,000000,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Thu Jan 23 21:12:20 +0000 2020,1220454242374377472,1220454242374377472,@Denis_from_MD @KU_Leuven @UNA_Europa @JagiellonskiUni @helsinkiuni @SorbonneParis1 @FU_Berlin @unicomplutense We aim at BA while College offers postgraduate degrees ;-),False,"[111, 169]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220441541820539e+18,1220441541820538884,1.1338321207434117e+18,1133832120743411719,Denis_from_MD,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Denis_from_MD', 'name': 'Denis Ivanov', 'id': 1133832120743411719, 'id_str': '1133832120743411719', 'indices': [0, 14]}, {'screen_name': 'KU_Leuven', 'name': 'KU Leuven', 'id': 130828533, 'id_str': '130828533', 'indices': [15, 25]}, {'screen_name': 'UNA_Europa', 'name': 'UNA_Europa', 'id': 1013383675462012928, 'id_str': '1013383675462012928', 'indices': [26, 37]}, {'screen_name': 'JagiellonskiUni', 'name': 'Jagielloński UJ', 'id': 2238275479, 'id_str': '2238275479', 'indices': [38, 54]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [55, 67]}, {'screen_name': 'SorbonneParis1', 'name': 'Université Paris 1', 'id': 115711568, 'id_str': '115711568', 'indices': [68, 83]}, {'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [84, 94]}, {'screen_name': 'unicomplutense', 'name': 'Complutense', 'id': 85343435, 'id_str': '85343435', 'indices': [95, 110]}]",[],en,recent,754068985264611328,754068985264611328,Natasza Styczyńska,nat_styczynska,,"political scientist working on #Euroscepticism & EU/CEE politics
@EU3Dh2020 & @popeurope.
Hooked on the #Balkans, old maps and travels off the beaten track.",,,[],False,315,955,4,Fri Jul 15 21:43:51 +0000 2016,905,,,False,False,447,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/941290577408249857/I5e6u4UP_normal.jpg,https://pbs.twimg.com/profile_images/941290577408249857/I5e6u4UP_normal.jpg,https://pbs.twimg.com/profile_banners/754068985264611328/1513256598,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Thu Jan 23 20:21:52 +0000 2020,1220441541820538884,1220441541820538884,@nat_styczynska @KU_Leuven @UNA_Europa @JagiellonskiUni @helsinkiuni @SorbonneParis1 @FU_Berlin @unicomplutense An alternative to the College of Europe? :),False,"[112, 155]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220299715411153e+18,1220299715411152896,7.540689852646113e+17,754068985264611328,nat_styczynska,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'nat_styczynska', 'name': 'Natasza Styczyńska', 'id': 754068985264611328, 'id_str': '754068985264611328', 'indices': [0, 15]}, {'screen_name': 'KU_Leuven', 'name': 'KU Leuven', 'id': 130828533, 'id_str': '130828533', 'indices': [16, 26]}, {'screen_name': 'UNA_Europa', 'name': 'UNA_Europa', 'id': 1013383675462012928, 'id_str': '1013383675462012928', 'indices': [27, 38]}, {'screen_name': 'JagiellonskiUni', 'name': 'Jagielloński UJ', 'id': 2238275479, 'id_str': '2238275479', 'indices': [39, 55]}, {'screen_name': 'helsinkiuni', 'name': 'University of Helsinki', 'id': 168607383, 'id_str': '168607383', 'indices': [56, 68]}, {'screen_name': 'SorbonneParis1', 'name': 'Université Paris 1', 'id': 115711568, 'id_str': '115711568', 'indices': [69, 84]}, {'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [85, 95]}, {'screen_name': 'unicomplutense', 'name': 'Complutense', 'id': 85343435, 'id_str': '85343435', 'indices': [96, 111]}]",[],en,recent,1133832120743411719,1133832120743411719,Denis Ivanov,Denis_from_MD,Budapest,PhD Student/Early Stage Researcher CorvinusUni @UCLSSEES #FATIGUE @popeurope Researching economic inequality and the rise of populism in Central Eastern Europe,https://t.co/YQ1ekuIIrm,"[{'url': 'https://t.co/YQ1ekuIIrm', 'expanded_url': 'https://populism-europe.com/', 'display_url': 'populism-europe.com', 'indices': [0, 23]}]",[],False,54,126,0,Wed May 29 20:26:57 +0000 2019,82,,,False,False,21,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1133942192853213187/sQckndp__normal.jpg,https://pbs.twimg.com/profile_images/1133942192853213187/sQckndp__normal.jpg,,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thu Jan 23 14:29:44 +0000 2020,1220352924410359809,1220352924410359809,"Thank you for the warm welcome at @FU_Berlin today! I'll be back in March to teach!
#saferspaces #safecampus #sachunterricht #4genderstudies",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,3,False,False,en,"[{'text': 'saferspaces', 'indices': [84, 96]}, {'text': 'safecampus', 'indices': [97, 108]}, {'text': 'sachunterricht', 'indices': [109, 124]}, {'text': '4genderstudies', 'indices': [125, 140]}]",[],"[{'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [34, 44]}]",[],en,recent,1108483313453416450,1108483313453416450,Lotte Hiller,ChrisH_iller,,PhD student @geographieup // #geographiesofsexualities // #saferspaces for #LGBT  // @queer_rostock + @schreibendeschueler // pronoun: they // 📖👀📝,,,[],False,62,212,0,Wed Mar 20 21:39:51 +0000 2019,1100,,,False,False,171,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1137415419051032577/WK0ofn-y_normal.jpg,https://pbs.twimg.com/profile_images/1137415419051032577/WK0ofn-y_normal.jpg,https://pbs.twimg.com/profile_banners/1108483313453416450/1553728096,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Wed Jan 22 18:00:04 +0000 2020,1220043466014633985,1220043466014633985,"RT @peterseeberger: Congratulations to the Parasitology Graduate School @FU_Berlin for being named a ""Einstein Doctoral Program"" by the Ein…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'peterseeberger', 'name': 'Peter Seeberger', 'id': 206857293, 'id_str': '206857293', 'indices': [3, 18]}, {'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [72, 82]}]",[],en,recent,3831936268,3831936268,pagelgroup,pagelgroup,"Berlin, Deutschland",Structural analysis of biomacromolecules in the gas phase at @FU_Berlin and Fritz Haber Institute of the Max Planck Society,http://t.co/3yRWAkMdBO,"[{'url': 'http://t.co/3yRWAkMdBO', 'expanded_url': 'http://www.bcp.fu-berlin.de/chemie/pagel', 'display_url': 'bcp.fu-berlin.de/chemie/pagel', 'indices': [0, 22]}]",[],False,404,276,1,Thu Oct 01 08:27:48 +0000 2015,283,,,True,False,329,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/649615441619501056/gazjVy_0_normal.png,https://pbs.twimg.com/profile_images/649615441619501056/gazjVy_0_normal.png,https://pbs.twimg.com/profile_banners/3831936268/1443688450,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,Wed Jan 22 08:26:12 +0000 2020,1.2198990495093596e+18,1219899049509359616,"Congratulations to the Parasitology Graduate School @FU_Berlin for being named a ""Einstein Doctoral Program"" by the Einstein Foundation and for receiving extra funds. Great opportunity for excellent training at several institutions including @MpiciPotsdam",False,"[0, 255]",[],[],"[{'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [52, 62]}, {'screen_name': 'MpiciPotsdam', 'name': 'MPICI_Potsdam', 'id': 1049268572210548738, 'id_str': '1049268572210548738', 'indices': [242, 255]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,206857293.0,206857293,Peter Seeberger,peterseeberger,Berlin,"Scientist - Entrepreneur - Philantrophist  Director Max-Planck Institute Potsdam, Professor, FU Berlin",https://t.co/f9bxM01cX2,"[{'url': 'https://t.co/f9bxM01cX2', 'expanded_url': 'http://www.peter-seeberger.de', 'display_url': 'peter-seeberger.de', 'indices': [0, 23]}]",[],False,1440.0,7.0,14.0,Sat Oct 23 22:17:32 +0000 2010,115.0,,,False,False,416.0,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/864463953203572738/PJ-zhEws_normal.jpg,https://pbs.twimg.com/profile_images/864463953203572738/PJ-zhEws_normal.jpg,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,,,,,False,3.0,16.0,False,False,en,,,,,,,,,,,
16,Wed Jan 22 08:26:12 +0000 2020,1219899049509359616,1219899049509359616,"Congratulations to the Parasitology Graduate School @FU_Berlin for being named a ""Einstein Doctoral Program"" by the Einstein Foundation and for receiving extra funds. Great opportunity for excellent training at several institutions including @MpiciPotsdam",False,"[0, 255]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,16,False,False,en,[],[],"[{'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [52, 62]}, {'screen_name': 'MpiciPotsdam', 'name': 'MPICI_Potsdam', 'id': 1049268572210548738, 'id_str': '1049268572210548738', 'indices': [242, 255]}]",[],en,recent,206857293,206857293,Peter Seeberger,peterseeberger,Berlin,"Scientist - Entrepreneur - Philantrophist  Director Max-Planck Institute Potsdam, Professor, FU Berlin",https://t.co/f9bxM01cX2,"[{'url': 'https://t.co/f9bxM01cX2', 'expanded_url': 'http://www.peter-seeberger.de', 'display_url': 'peter-seeberger.de', 'indices': [0, 23]}]",[],False,1440,7,14,Sat Oct 23 22:17:32 +0000 2010,115,,,False,False,416,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/864463953203572738/PJ-zhEws_normal.jpg,https://pbs.twimg.com/profile_images/864463953203572738/PJ-zhEws_normal.jpg,,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mon Jan 20 11:52:27 +0000 2020,1219226177946247168,1219226177946247168,Just saw students being kicked out of @FU_Berlin Mensa by the @StuWeBerlin worker for discussing their assignment after lunch with their laptops open. The mensa is only half-full and there are plenty of spaces. But they are told that it is not the place for study.,False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [38, 48]}, {'screen_name': 'StuWeBerlin', 'name': 'studierendenWERK', 'id': 179455629, 'id_str': '179455629', 'indices': [62, 74]}]",[],en,recent,283462551,283462551,Ragıp Zık,ragipako,Berlin - Istanbul - Athens,"PhD Candidate at @socFUB Visual sociology, digitality, affect, and social movements. Interdisciplinary cooking experimenter. Also posts for @isa_visual",https://t.co/eRaGjKR4xD,"[{'url': 'https://t.co/eRaGjKR4xD', 'expanded_url': 'https://bit.ly/2TY77Kf', 'display_url': 'bit.ly/2TY77Kf', 'indices': [0, 23]}]",[],False,299,629,3,Sun Apr 17 10:17:25 +0000 2011,359,,,True,False,2261,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/808883044358590464/1_6Q4EBj_normal.jpg,https://pbs.twimg.com/profile_images/808883044358590464/1_6Q4EBj_normal.jpg,https://pbs.twimg.com/profile_banners/283462551/1481687850,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mon Jan 20 09:36:02 +0000 2020,1219191849161760768,1219191849161760768,RT @SoqotraHeritage: Thanks to the work of the @SoqotraHeritage Project team we are learning about the #cultural #treasures of Soqotra. @Br…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,5,0,False,False,en,"[{'text': 'cultural', 'indices': [103, 112]}, {'text': 'treasures', 'indices': [113, 123]}]",[],"[{'screen_name': 'SoqotraHeritage', 'name': 'Soqotra Heritage Project', 'id': 1167146163549741056, 'id_str': '1167146163549741056', 'indices': [3, 19]}, {'screen_name': 'SoqotraHeritage', 'name': 'Soqotra Heritage Project', 'id': 1167146163549741056, 'id_str': '1167146163549741056', 'indices': [47, 63]}]",[],en,recent,1029654455116091393,1029654455116091393,Dr Alex Davey,adavey_RBGE,"Edinburgh, Scotland","Science Policy & Impact Officer @RBGE_Science: Exploring, Conserving & Explaining the World of Plants for a Better Future. #biodiversity. Views my own. She/her",https://t.co/lWDZjMZwxJ,"[{'url': 'https://t.co/lWDZjMZwxJ', 'expanded_url': 'https://www.rbge.org.uk/', 'display_url': 'rbge.org.uk', 'indices': [0, 23]}]",[],False,392,968,5,Wed Aug 15 09:02:06 +0000 2018,1882,,,False,False,1449,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1111250571191816197/qSYZBgcP_normal.jpg,https://pbs.twimg.com/profile_images/1111250571191816197/qSYZBgcP_normal.jpg,https://pbs.twimg.com/profile_banners/1029654455116091393/1572802158,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,Mon Jan 20 08:41:33 +0000 2020,1.2191781356205957e+18,1219178135620595712,Thanks to the work of the @SoqotraHeritage Project team we are learning about the #cultural #treasures of Soqotra. @BritishCouncil #culturalprotectionfund @CMEPorg @TheBotanics @FU_Berlin @ARCWH,False,"[0, 194]","[{'text': 'cultural', 'indices': [82, 91]}, {'text': 'treasures', 'indices': [92, 102]}, {'text': 'culturalprotectionfund', 'indices': [131, 154]}]",[],"[{'screen_name': 'SoqotraHeritage', 'name': 'Soqotra Heritage Project', 'id': 1167146163549741056, 'id_str': '1167146163549741056', 'indices': [26, 42]}, {'screen_name': 'BritishCouncil', 'name': 'British Council', 'id': 14732889, 'id_str': '14732889', 'indices': [115, 130]}, {'screen_name': 'CMEPorg', 'name': 'CMEP', 'id': 191080470, 'id_str': '191080470', 'indices': [155, 163]}, {'screen_name': 'TheBotanics', 'name': 'RBGE', 'id': 44948952, 'id_str': '44948952', 'indices': [164, 176]}, {'screen_name': 'FU_Berlin', 'name': 'Freie Universität', 'id': 2152668890, 'id_str': '2152668890', 'indices': [177, 187]}, {'screen_name': 'ARCWH', 'name': 'ARC-WH', 'id': 611675940, 'id_str': '611675940', 'indices': [188, 194]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2191781330536366e+18,1219178133053636608,1.167146163549741e+18,1167146163549741056,SoqotraHeritage,1.167146163549741e+18,1167146163549741056,Soqotra Heritage Project,SoqotraHeritage,United Kingdom,All things to do with the protection and conservation of Soqotra's tangible and intangible cultural heritage. Follow our Instagram @soqotraheritage,https://t.co/rQOuKNFNC8,"[{'url': 'https://t.co/rQOuKNFNC8', 'expanded_url': 'http://www.soqotraculturalheritage.org/', 'display_url': 'soqotraculturalheritage.org', 'indices': [0, 23]}]",[],False,103.0,36.0,0.0,Thu Aug 29 18:45:14 +0000 2019,28.0,,,False,False,81.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199662420182089728/m-4eTdb4_normal.jpg,https://pbs.twimg.com/profile_images/1199662420182089728/m-4eTdb4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,5.0,6.0,False,False,en,https://pbs.twimg.com/profile_banners/1167146163549741056/1573555899,,,,,,,,,,
