,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
10,Fri Jan 24 21:33:34 +0000 2020,1220821972931809282,1220821972931809282,"4:30. The end of an era. The beginning of another. 

Thanks for the memories, @washcoll, and look out @GeorgeMasonU, here I come!!",False,"[0, 130]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,5,False,False,en,[],[],"[{'screen_name': 'washcoll', 'name': 'Washington College', 'id': 54622807, 'id_str': '54622807', 'indices': [78, 87]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [102, 115]}]",[],en,recent,1883864294,1883864294,Greg Farley,Sustain_GFarley,"Fairfax, VA",Dir of Sustainability @GeorgeMasonU. Climate Science/Duke/#Model3/#ALLCAPS/Parrothead. Born at 324.8 ppm CO2.,https://t.co/wxzoJl13vA,[],False,513,1551,32,Thu Sep 19 17:41:45 +0000 2013,3933,,,True,False,6061,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_banners/1883864294/1579827652,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/wxzoJl13vA', 'expanded_url': 'http://green.gmu.edu', 'display_url': 'green.gmu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 15:15:27 +0000 2020,1220726816211685377,1220726816211685377,@P_Stapleton1 @GeorgeMasonU Soooooooooo sorry I missed this!,False,"[28, 60]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.22072340279484e+18,1220723402794840067,3647780202.0,3647780202,P_Stapleton1,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'P_Stapleton1', 'name': 'Dr. Peter J. Stapleton', 'id': 3647780202, 'id_str': '3647780202', 'indices': [0, 13]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [14, 27]}]",[],en,recent,962449567,962449567,Paul Hanstedt,curriculargeek,Washington and Lee University,"Author of CREATING WICKED STUDENTS and GEN ED ESSENTIALS. 2nd generation master popcorn chef; won some teaching stuff, but now I can't find my tiara.",,[],False,1720,1389,27,Wed Nov 21 13:53:57 +0000 2012,19899,,,False,False,6924,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1104395874413826050/hY8eRPQJ_normal.png,https://pbs.twimg.com/profile_images/1104395874413826050/hY8eRPQJ_normal.png,https://pbs.twimg.com/profile_banners/962449567/1554078723,1B95E0,FFFFFF,A0C5C7,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 11:45:56 +0000 2020,1220674088865271811,1220674088865271811,"@DonBoesch @washcoll @GeorgeMasonU @MaibachEd @demutsertlab Don, thanks for this, and for your help and guidance here on the Shore. I'll miss it here - but I'm looking forward to the new adventure!",False,"[60, 197]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2205694341606195e+18,1220569434160619520,277553942.0,277553942,DonBoesch,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'DonBoesch', 'name': 'Don Boesch', 'id': 277553942, 'id_str': '277553942', 'indices': [0, 10]}, {'screen_name': 'washcoll', 'name': 'Washington College', 'id': 54622807, 'id_str': '54622807', 'indices': [11, 20]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [21, 34]}, {'screen_name': 'MaibachEd', 'name': 'Ed Maibach', 'id': 1617731504, 'id_str': '1617731504', 'indices': [35, 45]}, {'screen_name': 'demutsertlab', 'name': 'The De Mutsert Lab', 'id': 4860725172, 'id_str': '4860725172', 'indices': [46, 59]}]",[],en,recent,1883864294,1883864294,Greg Farley,Sustain_GFarley,"Fairfax, VA",Dir of Sustainability @GeorgeMasonU. Climate Science/Duke/#Model3/#ALLCAPS/Parrothead. Born at 324.8 ppm CO2.,https://t.co/wxzoJl13vA,[],False,513,1551,32,Thu Sep 19 17:41:45 +0000 2013,3933,,,True,False,6061,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_banners/1883864294/1579827652,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/wxzoJl13vA', 'expanded_url': 'http://green.gmu.edu', 'display_url': 'green.gmu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fri Jan 24 11:44:21 +0000 2020,1220673690947461120,1220673690947461120,@LenaDoesScience @washcoll @GeorgeMasonU Thanks!,False,"[41, 48]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220554193720746e+18,1220554193720745984,8.871749601327022e+17,887174960132702208,LenaDoesScience,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'LenaDoesScience', 'name': 'Selina Cole', 'id': 887174960132702208, 'id_str': '887174960132702208', 'indices': [0, 16]}, {'screen_name': 'washcoll', 'name': 'Washington College', 'id': 54622807, 'id_str': '54622807', 'indices': [17, 26]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [27, 40]}]",[],en,recent,1883864294,1883864294,Greg Farley,Sustain_GFarley,"Fairfax, VA",Dir of Sustainability @GeorgeMasonU. Climate Science/Duke/#Model3/#ALLCAPS/Parrothead. Born at 324.8 ppm CO2.,https://t.co/wxzoJl13vA,[],False,513,1551,32,Thu Sep 19 17:41:45 +0000 2013,3933,,,True,False,6061,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_banners/1883864294/1579827652,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/wxzoJl13vA', 'expanded_url': 'http://green.gmu.edu', 'display_url': 'green.gmu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fri Jan 24 04:50:04 +0000 2020,1220569434160619520,1220569434160619520,"@Sustain_GFarley @washcoll @GeorgeMasonU Congratulations on this wonderful opportunity, Greg. @GeorgeMasonU is very fortunate to have you. You’ll be sorely missed on the Shore, though. @MaibachEd @demutsertlab",False,"[41, 209]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2205108143413002e+18,1220510814341300224,1883864294.0,1883864294,Sustain_GFarley,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Sustain_GFarley', 'name': 'Greg Farley', 'id': 1883864294, 'id_str': '1883864294', 'indices': [0, 16]}, {'screen_name': 'washcoll', 'name': 'Washington College', 'id': 54622807, 'id_str': '54622807', 'indices': [17, 26]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [27, 40]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [94, 107]}, {'screen_name': 'MaibachEd', 'name': 'Ed Maibach', 'id': 1617731504, 'id_str': '1617731504', 'indices': [185, 195]}, {'screen_name': 'demutsertlab', 'name': 'The De Mutsert Lab', 'id': 4860725172, 'id_str': '4860725172', 'indices': [196, 209]}]",[],en,recent,277553942,277553942,Don Boesch,DonBoesch,"Annapolis, MD","Ocean scientist, President Emeritus @UMCES, Walton Environmental Fellow, works on climate change and Chesapeake & Gulf restoration. 
Maryland warming stripes👆🏻",https://t.co/RG2DHjDOwo,[],False,2602,841,158,Tue Apr 05 16:09:02 +0000 2011,3046,,,False,False,14685,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/841257358177243136/6KZebRLR_normal.jpg,https://pbs.twimg.com/profile_images/841257358177243136/6KZebRLR_normal.jpg,https://pbs.twimg.com/profile_banners/277553942/1560828975,135180,FFFFFF,A0C5C7,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/RG2DHjDOwo', 'expanded_url': 'http://www.umces.edu/don-boesch', 'display_url': 'umces.edu/don-boesch', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 03:49:31 +0000 2020,1220554193720745984,1220554193720745984,"@Sustain_GFarley @washcoll @GeorgeMasonU Woah I didn't know you were heading to George Mason! That's awesome, congrats!",False,"[41, 119]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205108143413002e+18,1220510814341300224,1883864294.0,1883864294,Sustain_GFarley,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Sustain_GFarley', 'name': 'Greg Farley', 'id': 1883864294, 'id_str': '1883864294', 'indices': [0, 16]}, {'screen_name': 'washcoll', 'name': 'Washington College', 'id': 54622807, 'id_str': '54622807', 'indices': [17, 26]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [27, 40]}]",[],en,recent,887174960132702208,887174960132702208,Selina Cole,LenaDoesScience,"New York, NY","Museum scientist @AMNH stydying fossil crinoids, phylogeny, macroevoution, & paleoecology. Also birds, beer, squirrels, & strat sections.
Views=mine, she/her",https://t.co/j3ZpJOVKam,[],False,842,256,15,Tue Jul 18 04:59:28 +0000 2017,2374,,,False,False,1182,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085920579230810113/4poYbgrl_normal.jpg,https://pbs.twimg.com/profile_images/1085920579230810113/4poYbgrl_normal.jpg,https://pbs.twimg.com/profile_banners/887174960132702208/1535387780,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/j3ZpJOVKam', 'expanded_url': 'https://cole678.wixsite.com/macroevo', 'display_url': 'cole678.wixsite.com/macroevo', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fri Jan 24 02:31:45 +0000 2020,1220534625962991616,1220534625962991616,"@DrMicroChem @washcoll @GeorgeMasonU Er, yeah...what you said!😆

I'm going to Fairfax - not the moon. I'll stay in touch!! 📬",False,"[37, 124]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2205125378731336e+18,1220512537873133576,3796542976.0,3796542976,DrMicroChem,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DrMicroChem', 'name': ""Liz O'Connor"", 'id': 3796542976, 'id_str': '3796542976', 'indices': [0, 12]}, {'screen_name': 'washcoll', 'name': 'Washington College', 'id': 54622807, 'id_str': '54622807', 'indices': [13, 22]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [23, 36]}]",[],en,recent,1883864294,1883864294,Greg Farley,Sustain_GFarley,"Fairfax, VA",Dir of Sustainability @GeorgeMasonU. Climate Science/Duke/#Model3/#ALLCAPS/Parrothead. Born at 324.8 ppm CO2.,https://t.co/wxzoJl13vA,[],False,513,1551,32,Thu Sep 19 17:41:45 +0000 2013,3933,,,True,False,6061,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_banners/1883864294/1579827652,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/wxzoJl13vA', 'expanded_url': 'http://green.gmu.edu', 'display_url': 'green.gmu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fri Jan 24 00:57:08 +0000 2020,1220510814341300224,1220510814341300224,"Tomorrow is my last day @washcoll. It's been a great 2 years, and so much work remains to be done - but when @GeorgeMasonU offered me the chance to be their Director of University #Sustainability, I jumped at the chance. I'll start there on Feb. 3. Thanks for the memories, WAC!🌎",False,"[0, 279]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,3,False,False,en,"[{'text': 'Sustainability', 'indices': [180, 195]}]",[],"[{'screen_name': 'washcoll', 'name': 'Washington College', 'id': 54622807, 'id_str': '54622807', 'indices': [24, 33]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [109, 122]}]",[],en,recent,1883864294,1883864294,Greg Farley,Sustain_GFarley,"Fairfax, VA",Dir of Sustainability @GeorgeMasonU. Climate Science/Duke/#Model3/#ALLCAPS/Parrothead. Born at 324.8 ppm CO2.,https://t.co/wxzoJl13vA,[],False,513,1551,32,Thu Sep 19 17:41:45 +0000 2013,3933,,,True,False,6061,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_images/1178292858366955524/CvOV9aTR_normal.jpg,https://pbs.twimg.com/profile_banners/1883864294/1579827652,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/wxzoJl13vA', 'expanded_url': 'http://green.gmu.edu', 'display_url': 'green.gmu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fri Jan 24 00:43:50 +0000 2020,1220507465462243330,1220507465462243330,"@bawaldrup @GeorgeMason Oh no, it’s a joke. There’s a @GeorgeMasonU that he gets confused with all the time. It is really funny, but a progressive Baptist preacher confused with a far-right university can get people talking. Your assessment of him is spot on though. He doesn’t leave me hanging. He’s the",False,"[24, 304]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.22050688296994e+18,1220506882969939970,67742945.0,67742945,bawaldrup,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'bawaldrup', 'name': 'Beth Waldrup', 'id': 67742945, 'id_str': '67742945', 'indices': [0, 10]}, {'screen_name': 'GeorgeMason', 'name': 'George Mason', 'id': 17565176, 'id_str': '17565176', 'indices': [11, 23]}, {'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [54, 67]}]",[],en,recent,3282888074,3282888074,Lindsay Bruehl❄️,LindsayBruehl,,Christian who believes there is room for Everybody. Perkins School of Theology seminary student. Baptist (not that kind) pastor in training. Love wins.,https://t.co/scC9gObmuY,[],False,572,741,8,Sat Jul 18 01:38:02 +0000 2015,12915,,,True,False,16316,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1190461140960194560/pPM49OHi_normal.jpg,https://pbs.twimg.com/profile_images/1190461140960194560/pPM49OHi_normal.jpg,https://pbs.twimg.com/profile_banners/3282888074/1572663031,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/scC9gObmuY', 'expanded_url': 'https://lindsaybruehl.wordpress.com/', 'display_url': 'lindsaybruehl.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Thu Jan 23 18:37:15 +0000 2020,1220415213788368896,1220415213788368896,"Finally, @GeorgeMasonU is currently under investigation for TWO #OCR complaints in regards to #TitleIX. I checked, and that’s unusual for a #Virginia university. Not to mention the claim(s) that #OCR haven’t started investigating (cases aren’t listed until OCR agrees to take it)",False,"[0, 279]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204152124546294e+18,1220415212454629381,2571313595.0,2571313595,DivingWSharks,,,,,False,0,3,False,False,en,"[{'text': 'OCR', 'indices': [64, 68]}, {'text': 'TitleIX', 'indices': [94, 102]}, {'text': 'Virginia', 'indices': [140, 149]}, {'text': 'OCR', 'indices': [195, 199]}]",[],"[{'screen_name': 'GeorgeMasonU', 'name': 'George Mason University', 'id': 40297689, 'id_str': '40297689', 'indices': [9, 22]}]",[],en,recent,2571313595,2571313595,Chelsea Gray,DivingWSharks,,"Chelsea of House Gray, first of her name, queen of the oceans & fish, cutter of nets 🐟Tá Gaeilge agam ☘️ PhD student of basking sharks 🦈 VP @scbconsmark",https://t.co/7skbkjroz7,[],False,369,1710,5,Fri May 30 00:00:33 +0000 2014,3140,,,True,False,4894,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162051701488197632/4CorA4zw_normal.jpg,https://pbs.twimg.com/profile_images/1162051701488197632/4CorA4zw_normal.jpg,https://pbs.twimg.com/profile_banners/2571313595/1419222258,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/7skbkjroz7', 'expanded_url': 'https://divingwithsharks.wordpress.com', 'display_url': 'divingwithsharks.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
