,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
4,Sat Jan 25 04:02:13 +0000 2020,1220919777599733760,1220919777599733760,@rundlesr @Griffith_Uni Watcha selling?,False,"[24, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208891481578824e+18,1220889148157882368,34858107.0,34858107,rundlesr,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'rundlesr', 'name': 'Sharyn Rundle-Thiele', 'id': 34858107, 'id_str': '34858107', 'indices': [0, 9]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [10, 23]}]",[],en,recent,2923534723,2923534723,Lauren Ball,LaurenBall01,"Brisbane, Queensland","Associate Professor @Griffith_Uni. Lead, Healthy Primary Care research team. @NHMRC Investigator. AdvAPD @DAA_feed. Passionate #PhD supervisor and #ECR mentor.",https://t.co/Fqtxif3M4U,"[{'url': 'https://t.co/Fqtxif3M4U', 'expanded_url': 'http://www.drlaurenball.com', 'display_url': 'drlaurenball.com', 'indices': [0, 23]}]",[],False,1729,1883,33,Tue Dec 09 06:19:37 +0000 2014,4710,,,True,False,3123,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1173574039035465728/Jdr86FZ9_normal.jpg,https://pbs.twimg.com/profile_images/1173574039035465728/Jdr86FZ9_normal.jpg,https://pbs.twimg.com/profile_banners/2923534723/1575835914,CC0000,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004ec16c62325149,https://api.twitter.com/1.1/geo/id/004ec16c62325149.json,city,Brisbane,"Brisbane, Queensland",AU,Australia,[],Polygon,"[[[152.668522848, -27.767440994], [153.31787024, -27.767440994], [153.31787024, -26.996844991], [152.668522848, -26.996844991]]]"
5,Sat Jan 25 01:25:10 +0000 2020,1220880255277129728,1220880255277129728,@Griffith_Uni Nice one @Gronkaus,False,"[14, 32]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2205752862379172e+18,1220575286237917185,58389760.0,58389760,Griffith_Uni,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [0, 13]}, {'screen_name': 'Gronkaus', 'name': 'Kevin Larkin', 'id': 2926401769, 'id_str': '2926401769', 'indices': [23, 32]}]",[],en,recent,1853959992,1853959992,Dr Catherine Attard,attard_c,"Blue Mountains, Australia.","Associate Professor, primary mathematics education. Research interests: student/teacher engagement; mobile technologies, mathematics, financial literacy.",https://t.co/KVV31LJR5x,"[{'url': 'https://t.co/KVV31LJR5x', 'expanded_url': 'http://engagingmaths.com', 'display_url': 'engagingmaths.com', 'indices': [0, 23]}]",[],False,3562,743,47,Wed Sep 11 10:48:39 +0000 2013,2522,,,True,False,2234,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1213630535613894656/jpJQKE8v_normal.jpg,https://pbs.twimg.com/profile_images/1213630535613894656/jpJQKE8v_normal.jpg,https://pbs.twimg.com/profile_banners/1853959992/1559724724,3000B3,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fri Jan 24 11:30:01 +0000 2020,1220670083640348672,1220670083640348672,.@DrEdMorgan from @citiesres @Griffith_Uni live right now on @abcsydney now talking about #sustainable #consumerism. Tune in!,False,"[0, 125]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,"[{'text': 'sustainable', 'indices': [90, 102]}, {'text': 'consumerism', 'indices': [103, 115]}]",[],"[{'screen_name': 'DrEdMorgan', 'name': 'Edward Morgan', 'id': 3259529347, 'id_str': '3259529347', 'indices': [1, 12]}, {'screen_name': 'citiesres', 'name': 'CitiesRI Griffith', 'id': 737088320761528321, 'id_str': '737088320761528321', 'indices': [18, 28]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [29, 42]}, {'screen_name': 'abcsydney', 'name': 'ABC Sydney', 'id': 16198940, 'id_str': '16198940', 'indices': [61, 71]}]",[],en,recent,717934335391768576,717934335391768576,Tony Matthews,drtonymatthews,,"Snr Lecturer, Urban & Environmental Planning, @Griffith_Uni. Strategist, commentator, problem solver. Brisbane via Cork. Views my own; RT etc ≠ endorsement.",https://t.co/nBHCzvKrW2,"[{'url': 'https://t.co/nBHCzvKrW2', 'expanded_url': 'https://www.linkedin.com/in/dr-tony-matthews/', 'display_url': 'linkedin.com/in/dr-tony-mat…', 'indices': [0, 23]}]",[],False,730,610,31,Thu Apr 07 04:37:38 +0000 2016,846,,,False,False,1565,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1100587537729372160/56BKY0M9_normal.png,https://pbs.twimg.com/profile_images/1100587537729372160/56BKY0M9_normal.png,https://pbs.twimg.com/profile_banners/717934335391768576/1460006897,1B95E0,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 09:16:00 +0000 2020,1220636358386966529,1220636358386966529,@Gronkaus @Griffith_Uni Great stuff Kev! 👌👌👌,False,"[24, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2206078598486671e+18,1220607859848667136,2926401769.0,2926401769,Gronkaus,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Gronkaus', 'name': 'Kevin Larkin', 'id': 2926401769, 'id_str': '2926401769', 'indices': [0, 9]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [10, 23]}]",[],en,recent,335632225,335632225,Aylie Davidson,ayliedavidson,"Deakin Uni, Warrnambool, Vic","PhD primary maths ed. Interested in teacher (collaborative) planning, student-centred learning, middle leadership, reasoning, & engagement.",,,[],False,321,668,6,Fri Jul 15 00:24:09 +0000 2011,1678,,,True,False,758,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/930221293282004992/0TpTnU49_normal.jpg,https://pbs.twimg.com/profile_images/930221293282004992/0TpTnU49_normal.jpg,https://pbs.twimg.com/profile_banners/335632225/1562657888,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fri Jan 24 07:22:46 +0000 2020,1220607859848667136,1220607859848667136,@Griffith_Uni A privilege to be able to talk about the importance of education - on International Day of Education - and on the other 365 days of the year.,False,"[14, 155]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205752862379172e+18,1220575286237917185,58389760.0,58389760,Griffith_Uni,,,,,False,0,8,False,False,en,[],[],"[{'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [0, 13]}]",[],en,recent,2926401769,2926401769,Kevin Larkin,Gronkaus,Gold Coast,"Associate Professo in Mathematics education @Griffith_Uni. Research includes STEM, student attitudes, digital technologies, apps. Auch ein deutscher Schüler.",https://t.co/YPVmJn171L,"[{'url': 'https://t.co/YPVmJn171L', 'expanded_url': 'https://experts.griffith.edu.au/8637-kevin-larkin/about', 'display_url': 'experts.griffith.edu.au/8637-kevin-lar…', 'indices': [0, 23]}]",[],False,355,80,6,Thu Dec 11 04:30:47 +0000 2014,1561,,,False,False,657,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/929261956942278656/Iac7BTeN_normal.jpg,https://pbs.twimg.com/profile_images/929261956942278656/Iac7BTeN_normal.jpg,https://pbs.twimg.com/profile_banners/2926401769/1510353714,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Thu Jan 23 21:28:32 +0000 2020,1220458318705188867,1220458318705188867,"@DrCassCross @QldPolice @Griffith_Uni @GriffCrimInst @EliseSargeant @Mikenew1 @anzsebp @DivExpCrim Sounds good, will do! @DrCassCross",False,"[99, 133]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201822786318787e+18,1220182278631878656,2927250794.0,2927250794,DrCassCross,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DrCassCross', 'name': 'Cassandra Cross', 'id': 2927250794, 'id_str': '2927250794', 'indices': [0, 12]}, {'screen_name': 'QldPolice', 'name': 'Queensland Police', 'id': 59338142, 'id_str': '59338142', 'indices': [13, 23]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [24, 37]}, {'screen_name': 'GriffCrimInst', 'name': 'Griffith Criminology', 'id': 3579524773, 'id_str': '3579524773', 'indices': [38, 52]}, {'screen_name': 'EliseSargeant', 'name': 'Elise Sargeant', 'id': 768673376533553156, 'id_str': '768673376533553156', 'indices': [53, 67]}, {'screen_name': 'Mikenew1', 'name': 'Michael Newman', 'id': 316057592, 'id_str': '316057592', 'indices': [68, 77]}, {'screen_name': 'anzsebp', 'name': 'ANZSEBP', 'id': 718971145244921856, 'id_str': '718971145244921856', 'indices': [78, 86]}, {'screen_name': 'DivExpCrim', 'name': 'DEC', 'id': 2282999642, 'id_str': '2282999642', 'indices': [87, 98]}, {'screen_name': 'DrCassCross', 'name': 'Cassandra Cross', 'id': 2927250794, 'id_str': '2927250794', 'indices': [121, 133]}]",[],en,recent,720853077545209856,720853077545209856,Rylan Simpson,rylan_simpson,"Vancouver, BC","Criminologist, Police Researcher & Assistant Professor at @SFU @sfucriminology • Advocate for evidence-based policy and practice • PhD from @UCIrvine",https://t.co/NQzzVk3SVI,"[{'url': 'https://t.co/NQzzVk3SVI', 'expanded_url': 'http://RylanSIMPSON.COM', 'display_url': 'RylanSIMPSON.COM', 'indices': [0, 23]}]",[],False,1162,999,13,Fri Apr 15 05:55:41 +0000 2016,424,,,False,False,587,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1110229782619258880/oBNmUwC2_normal.png,https://pbs.twimg.com/profile_images/1110229782619258880/oBNmUwC2_normal.png,https://pbs.twimg.com/profile_banners/720853077545209856/1552335093,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Thu Jan 23 16:19:32 +0000 2020,1220380554052411393,1220380554052411393,RT @perfectednurse: @WendyMoyle2 @JennyMurfield @cindyjones_81 @GriffithNursing @MenziesHealth @Griffith_Uni Currently have an RCT happenin…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'perfectednurse', 'name': 'Dr James Hughes', 'id': 2200575493, 'id_str': '2200575493', 'indices': [3, 18]}, {'screen_name': 'WendyMoyle2', 'name': 'Wendy Moyle', 'id': 455363304, 'id_str': '455363304', 'indices': [20, 32]}, {'screen_name': 'JennyMurfield', 'name': 'Jenny Murfield', 'id': 43281360, 'id_str': '43281360', 'indices': [33, 47]}, {'screen_name': 'cindyjones_81', 'name': 'Dr. Cindy Jones', 'id': 267527663, 'id_str': '267527663', 'indices': [48, 62]}, {'screen_name': 'GriffithNursing', 'name': 'Griffith University Nursing & Midwifery', 'id': 1083139436605366272, 'id_str': '1083139436605366272', 'indices': [63, 79]}, {'screen_name': 'MenziesHealth', 'name': 'MenziesHealth', 'id': 2432840912, 'id_str': '2432840912', 'indices': [80, 94]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [95, 108]}]",[],en,recent,3208534395,3208534395,Thomas Fischer,ProfessorPflege,"Berlin, Germany","Prof Aged Care Nursing @ehs_pflege, Endeavour Alumnus @UTS_IMPACCT @AusGlobalAlumni, Editor @AdvContNurs; Research in #pain #dementia #delirium @PainandDementia",,,[],False,691,257,20,Sun Apr 26 17:18:28 +0000 2015,7103,,,True,False,4754,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/973707276509888512/k3oS8hp4_normal.jpg,https://pbs.twimg.com/profile_images/973707276509888512/k3oS8hp4_normal.jpg,https://pbs.twimg.com/profile_banners/3208534395/1471564817,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,Thu Jan 23 10:55:35 +0000 2020,1.220299028941828e+18,1220299028941828097,@WendyMoyle2 @JennyMurfield @cindyjones_81 @GriffithNursing @MenziesHealth @Griffith_Uni Currently have an RCT happening in an ED where one of the interventions in our bundle includes a doll ( and music and a whole lot of other stuff) trying to prevent responsive behaviours.,False,"[89, 275]",[],[],"[{'screen_name': 'WendyMoyle2', 'name': 'Wendy Moyle', 'id': 455363304, 'id_str': '455363304', 'indices': [0, 12]}, {'screen_name': 'JennyMurfield', 'name': 'Jenny Murfield', 'id': 43281360, 'id_str': '43281360', 'indices': [13, 27]}, {'screen_name': 'cindyjones_81', 'name': 'Dr. Cindy Jones', 'id': 267527663, 'id_str': '267527663', 'indices': [28, 42]}, {'screen_name': 'GriffithNursing', 'name': 'Griffith University Nursing & Midwifery', 'id': 1083139436605366272, 'id_str': '1083139436605366272', 'indices': [43, 59]}, {'screen_name': 'MenziesHealth', 'name': 'MenziesHealth', 'id': 2432840912, 'id_str': '2432840912', 'indices': [60, 74]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [75, 88]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220293123567276e+18,1220293123567276034,455363304.0,455363304,WendyMoyle2,2200575493.0,2200575493,Dr James Hughes,perfectednurse,"Brisbane, Australia",Emergency Nursing academic who specializes in pain care in the adult ED. Conjoint Senior Research Fellow at School of Nursing QUT and RBWH.,,,[],False,333.0,667.0,5.0,Mon Nov 18 03:19:15 +0000 2013,262.0,,,False,False,559.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1044939065005551618/EfpVANt7_normal.jpg,https://pbs.twimg.com/profile_images/1044939065005551618/EfpVANt7_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,,,,,,,,,,
26,Thu Jan 23 05:06:50 +0000 2020,1220211266213404673,1220211266213404673,"Paul Tacon at @Griffith_Uni, fears for 100s of important art sites in the  Greater Blue Mountains WHA, 80% of which has burnt. These include Eagles Reach, a rock shelter with 100 drawings/hand stencils, and Gallery Rock, which has engravings of ancestral beings and animals. (5/9)",False,"[0, 280]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2202112637849313e+18,1220211263784931329,1078595977.0,1078595977,john_pickrell,,,,,False,9,12,False,False,en,[],[],"[{'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [14, 27]}]",[],en,recent,1078595977,1078595977,John Pickrell 🌈,john_pickrell,Sydney,Science writer. Words for @NatGeo @nature @sciencemagazine @newscientist @sciencenews @ausgeo. Author Flying Dinosaurs/Weird Dinosaurs @ColumbiaUP @newsouthbook,https://t.co/o7ZZvZuOxI,"[{'url': 'https://t.co/o7ZZvZuOxI', 'expanded_url': 'http://www.flyingdinosaurs.net', 'display_url': 'flyingdinosaurs.net', 'indices': [0, 23]}]",[],False,3967,1588,155,Fri Jan 11 05:32:08 +0000 2013,7185,,,True,True,8316,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/957820076836573185/Fd3KbfzH_normal.jpg,https://pbs.twimg.com/profile_images/957820076836573185/Fd3KbfzH_normal.jpg,https://pbs.twimg.com/profile_banners/1078595977/1517197249,750617,000000,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Wed Jan 22 23:41:45 +0000 2020,1220129453205934081,1220129453205934081,"@usceduau @ki_sekiya @Griffith_Uni This has been on USC's agenda for I'd have thought over 12 months - sustainability &amp; carbon neutrality are *proudly* a core part of our DNA. 
#USCSSE",False,"[35, 188]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2199508638227866e+18,1219950863822786560,221620566.0,221620566,usceduau,,,,,False,0,0,False,False,en,"[{'text': 'USCSSE', 'indices': [181, 188]}]",[],"[{'screen_name': 'usceduau', 'name': 'USC: University of the Sunshine Coast', 'id': 221620566, 'id_str': '221620566', 'indices': [0, 9]}, {'screen_name': 'ki_sekiya', 'name': 'Ken Sekiya', 'id': 287626790, 'id_str': '287626790', 'indices': [10, 20]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [21, 34]}]",[],en,recent,3589354938,3589354938,Erica Mealy,emmealy,,"Technology & Design Evangelist;
USC Lecturer in Computer Science",,,[],False,71,119,6,Thu Sep 17 03:01:10 +0000 2015,233,,,False,False,82,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/644351137508802560/G1qYPLS7_normal.jpg,https://pbs.twimg.com/profile_images/644351137508802560/G1qYPLS7_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Wed Jan 22 11:13:35 +0000 2020,1219941172619046917,1219941172619046917,"@DrTanyaMSmith @Science_Academy @SciGenderEquity @Griffith_Uni @WomeninSTEMM_GU @WomenInSTEMAu Really great Tanya @DrTanyaMSmith, you’ll have some important perspectives to offer! @Science_Academy @GU_SocialCultur @Griffith_Uni",False,"[95, 227]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194992203500667e+18,1219499220350066688,3156531065.0,3156531065,DrTanyaMSmith,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'DrTanyaMSmith', 'name': 'Tanya Smith', 'id': 3156531065, 'id_str': '3156531065', 'indices': [0, 14]}, {'screen_name': 'Science_Academy', 'name': 'Australian Academy of Science', 'id': 346400805, 'id_str': '346400805', 'indices': [15, 31]}, {'screen_name': 'SciGenderEquity', 'name': 'SAGE', 'id': 3425143394, 'id_str': '3425143394', 'indices': [32, 48]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [49, 62]}, {'screen_name': 'WomeninSTEMM_GU', 'name': 'Women in STEMM at Griffith', 'id': 734963916934025217, 'id_str': '734963916934025217', 'indices': [63, 79]}, {'screen_name': 'WomenInSTEMAu', 'name': 'Women in STEM Ambassador', 'id': 1175934443090894848, 'id_str': '1175934443090894848', 'indices': [80, 94]}, {'screen_name': 'DrTanyaMSmith', 'name': 'Tanya Smith', 'id': 3156531065, 'id_str': '3156531065', 'indices': [114, 128]}, {'screen_name': 'Science_Academy', 'name': 'Australian Academy of Science', 'id': 346400805, 'id_str': '346400805', 'indices': [180, 196]}, {'screen_name': 'GU_SocialCultur', 'name': 'GU_SocialCultural', 'id': 455526099, 'id_str': '455526099', 'indices': [197, 213]}, {'screen_name': 'Griffith_Uni', 'name': 'Griffith University', 'id': 58389760, 'id_str': '58389760', 'indices': [214, 227]}]",[],en,recent,558168709,558168709,Susan Forde,FordeSusan,"Brisbane, Australia","Professor of Journalism, Griffith University",,,[],False,518,413,6,Fri Apr 20 00:02:38 +0000 2012,2565,,,False,False,847,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/961136994498826241/FJlVd2eJ_normal.jpg,https://pbs.twimg.com/profile_images/961136994498826241/FJlVd2eJ_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
