,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url
2,Fri Jan 24 07:36:28 +0000 2020,1220611308422422529,1220611308422422529,@AndreaPhillott I received it.  Thanks. Now I'm officially @jcu  #alumni... because I have no more access to my library account. It's hard to get a pdf from here... anyway. Thanks!,False,"[16, 180]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1220608730548457473,1220608730548457473,2612963857,2612963857,AndreaPhillott,,,,,False,0,0,False,False,en,"[{'text': 'alumni', 'indices': [65, 72]}]",[],"[{'screen_name': 'AndreaPhillott', 'name': 'Andrea Phillott', 'id': 2612963857, 'id_str': '2612963857', 'indices': [0, 15]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [59, 63]}]",[],en,recent,80872988,80872988,"Hector Barrios-Garrido, PhD",hectortuguero,"Maracaibo, Venezuela",🇻🇪 |#PhD @jcu | #ProfesorAsociado @LUZadn #UniVE | #Conservation #Venezuela | #AlumniOfTheYear #StudyQldAward 2018,https://t.co/vhrdVFXQ0S,[],False,1374,875,29,Thu Oct 08 15:29:51 +0000 2009,8206,,,True,False,10380,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/838948196676075520/fbm8aMJs_normal.jpg,https://pbs.twimg.com/profile_images/838948196676075520/fbm8aMJs_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/vhrdVFXQ0S', 'expanded_url': 'https://www.researchgate.net/profile/Hector_Barrios-Garrido', 'display_url': 'researchgate.net/profile/Hector…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/80872988/1488865938
4,Thu Jan 23 20:41:50 +0000 2020,1220446566248517632,1220446566248517632,"Did you know QLD doesn’t actually have a population policy? What if we did look at a more@cohesive approach to labour, immigration and workforce planning? @usqedu @jcu @UQ_Business @EconomicsUQ @CQUni collaborative research on #regional #QLD",False,"[0, 241]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1220445929926549508,1220445929926549508,1088252074846912513,1088252074846912513,ResearchRural,,,,,False,0,4,False,False,en,"[{'text': 'regional', 'indices': [227, 236]}, {'text': 'QLD', 'indices': [237, 241]}]",[],"[{'screen_name': 'usqedu', 'name': 'USQ', 'id': 26899383, 'id_str': '26899383', 'indices': [155, 162]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [163, 167]}, {'screen_name': 'UQ_Business', 'name': 'UQ Business School', 'id': 94299698, 'id_str': '94299698', 'indices': [168, 180]}, {'screen_name': 'EconomicsUQ', 'name': 'UQ Economics', 'id': 1260553314, 'id_str': '1260553314', 'indices': [181, 193]}, {'screen_name': 'CQUni', 'name': 'CQUniversity', 'id': 592813680, 'id_str': '592813680', 'indices': [194, 200]}]",[],en,recent,1088252074846912513,1088252074846912513,Rural_Economies_Research,ResearchRural,"Toowoomba, Australia","A critical look at rural economies, 4-way research collaboration @CQUni, @UQ_Business, @JCU @USQedu Led by @Ben_Lyons_ #Policy #Valuechains #Innovation #Impact",https://t.co/ctMCzrutiI,[],False,278,729,2,Thu Jan 24 01:48:08 +0000 2019,1065,,,False,False,234,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1088252299678343168/5C_Peloy_normal.jpg,https://pbs.twimg.com/profile_images/1088252299678343168/5C_Peloy_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/ctMCzrutiI', 'expanded_url': 'http://www.ruraleconomies.org.au', 'display_url': 'ruraleconomies.org.au', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1088252074846912513/1549255505
7,Thu Jan 23 04:15:41 +0000 2020,1220198394024452096,1220198394024452096,@MizrahiMeira @OceaniaSharks @SharkColin @jcu @PassionsReef Thanks Meira!,False,"[60, 73]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1220197596670488578,1220197596670488578,758065118,758065118,MizrahiMeira,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MizrahiMeira', 'name': 'Meira Mizrahi', 'id': 758065118, 'id_str': '758065118', 'indices': [0, 13]}, {'screen_name': 'OceaniaSharks', 'name': 'OceaniaSharks', 'id': 3421821193, 'id_str': '3421821193', 'indices': [14, 28]}, {'screen_name': 'SharkColin', 'name': 'Colin Simpfendorfer', 'id': 1226458368, 'id_str': '1226458368', 'indices': [29, 40]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [41, 45]}, {'screen_name': 'PassionsReef', 'name': 'Passions Of Paradise', 'id': 89398034, 'id_str': '89398034', 'indices': [46, 59]}]",[],en,recent,708192312472395776,708192312472395776,Madie Cooper,MadieKCooper,"Townsville, Queensland",PhD researcher at @JCU @CSTFA_JCU working with #GlobalSawfishSearch on #elasmobranchs and #sawfish #eDNA. Views are my own.,https://t.co/MtdNbIRfh7,[],False,677,822,13,Fri Mar 11 07:26:19 +0000 2016,2741,,,False,False,652,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1105352223934996480/a1rsq1TT_normal.png,https://pbs.twimg.com/profile_images/1105352223934996480/a1rsq1TT_normal.png,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/MtdNbIRfh7', 'expanded_url': 'http://globalsawfishsearch.org', 'display_url': 'globalsawfishsearch.org', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/708192312472395776/1552371501
8,Thu Jan 23 04:12:31 +0000 2020,1220197596670488578,1220197596670488578,@OceaniaSharks @SharkColin @MadieKCooper @jcu @PassionsReef Congrats @MadieKCooper 🙌🏽!!!,False,"[60, 88]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1220145613934718976,1220145613934718976,3421821193,3421821193,OceaniaSharks,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'OceaniaSharks', 'name': 'OceaniaSharks', 'id': 3421821193, 'id_str': '3421821193', 'indices': [0, 14]}, {'screen_name': 'SharkColin', 'name': 'Colin Simpfendorfer', 'id': 1226458368, 'id_str': '1226458368', 'indices': [15, 26]}, {'screen_name': 'MadieKCooper', 'name': 'Madie Cooper', 'id': 708192312472395776, 'id_str': '708192312472395776', 'indices': [27, 40]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [41, 45]}, {'screen_name': 'PassionsReef', 'name': 'Passions Of Paradise', 'id': 89398034, 'id_str': '89398034', 'indices': [46, 59]}, {'screen_name': 'MadieKCooper', 'name': 'Madie Cooper', 'id': 708192312472395776, 'id_str': '708192312472395776', 'indices': [69, 82]}]",[],en,recent,758065118,758065118,Meira Mizrahi,MizrahiMeira,Myanmar,"Marine Technical Advisor, @WCSMyanmar @TheWCS | PhD Candidate, @JCU | Researching the human dimensions of Marine Protected Area planning",,[],False,356,503,3,Tue Aug 14 23:06:20 +0000 2012,1360,,,True,False,213,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1119127444319952896/PB_cV329_normal.png,https://pbs.twimg.com/profile_images/1119127444319952896/PB_cV329_normal.png,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/758065118/1555655702
11,Wed Jan 22 06:56:34 +0000 2020,1219876490336067587,1219876490336067587,@claireghansen @NeenyGee @TheresaPetray @jcu Hrm I have no idea!,False,"[45, 64]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1219874665465671689,1219874665465671689,82506463,82506463,claireghansen,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'claireghansen', 'name': 'Claire', 'id': 82506463, 'id_str': '82506463', 'indices': [0, 14]}, {'screen_name': 'NeenyGee', 'name': 'Janine Gertz', 'id': 98290176, 'id_str': '98290176', 'indices': [15, 24]}, {'screen_name': 'TheresaPetray', 'name': 'Theresa Petray', 'id': 471721342, 'id_str': '471721342', 'indices': [25, 39]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [40, 44]}]",[],en,recent,21531315,21531315,Lilith Burridge,LilithBurridge,Australia,"Lianda Burrows. Was Born. Etc.
(Research: gender & landscape in Aust culture. Lit crit @ JCU 🌴. She/her.)",,[],False,258,1055,2,Sun Feb 22 00:30:36 +0000 2009,3311,,,False,False,694,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1065160735771156480/15_P-ZoN_normal.jpg,https://pbs.twimg.com/profile_images/1065160735771156480/15_P-ZoN_normal.jpg,1B95E0,181A1E,252429,666666,True,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/21531315/1568033967
13,Wed Jan 22 06:49:19 +0000 2020,1219874665465671689,1219874665465671689,@LilithBurridge @NeenyGee @TheresaPetray @jcu Gorgeous little guys! Do you know why they've chopped down all the trees in the parking lot opposite building 4? A curlew family have raised their little ones there for 2 years. Not sure why they've razed it all?,False,"[46, 258]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1219874431712890880,1219874431712890880,21531315,21531315,LilithBurridge,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'LilithBurridge', 'name': 'Lilith Burridge', 'id': 21531315, 'id_str': '21531315', 'indices': [0, 15]}, {'screen_name': 'NeenyGee', 'name': 'Janine Gertz', 'id': 98290176, 'id_str': '98290176', 'indices': [16, 25]}, {'screen_name': 'TheresaPetray', 'name': 'Theresa Petray', 'id': 471721342, 'id_str': '471721342', 'indices': [26, 40]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [41, 45]}]",[],en,recent,82506463,82506463,Claire,claireghansen,"Townsville, Queensland","Lecturer in English @jcu. Researcher for @Shakes_Reloaded. Author of Shakespeare & Complexity Theory. Interests: Shakespeare and place, pedagogy, ecocrit.",,[],False,311,668,7,Thu Oct 15 01:18:46 +0000 2009,963,,,True,False,936,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,True,http://pbs.twimg.com/profile_images/1186810387586404352/0vIZWUvv_normal.jpg,https://pbs.twimg.com/profile_images/1186810387586404352/0vIZWUvv_normal.jpg,1F98C7,FFFFFF,95E8EC,3C3940,True,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/82506463/1398228850
14,Wed Jan 22 06:08:38 +0000 2020,1219864427710705664,1219864427710705664,@ClaireOvaska @jcu @JCULibrary Beautiful colouring,False,"[31, 50]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1219736863121928192,1219736863121928192,407339273,407339273,ClaireOvaska,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ClaireOvaska', 'name': 'Claire Ovaska', 'id': 407339273, 'id_str': '407339273', 'indices': [0, 13]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [14, 18]}, {'screen_name': 'JCULibrary', 'name': 'JCU Library', 'id': 1690142642, 'id_str': '1690142642', 'indices': [19, 30]}]",[],en,recent,2337781680,2337781680,Narelle Biedermann,n_biedermann,"Townsville, Queensland","Nurse, PhD, Senior Lecturer @JCU, writer, military & nursing historian, mother, wife, metalhead, huge NQ Cowboys & KC Chiefs supporter, refuses to fold socks.",https://t.co/3jxmN5GXUH,[],False,476,613,10,Tue Feb 11 05:09:33 +0000 2014,1864,,,True,False,1776,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1068368407555268609/dfU5S2aj_normal.jpg,https://pbs.twimg.com/profile_images/1068368407555268609/dfU5S2aj_normal.jpg,F58EA8,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/3jxmN5GXUH', 'expanded_url': 'https://www.echobooks.com.au/military/modern-military-heroes/', 'display_url': 'echobooks.com.au/military/moder…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2337781680/1392527119
16,Wed Jan 22 03:20:25 +0000 2020,1219822093816066048,1219822093816066048,@SwampThingPaul @jcu @TropWATER @BlueCarbonLab @UNSWScience @PeterMacreadie @DrWillGlamore Grab a jar of vegemite and let's talk restoration @SwampThingPaul 😎,False,"[91, 158]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1219597699902775296,1219597699902775296,862314906544218114,862314906544218114,SwampThingPaul,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SwampThingPaul', 'name': 'Paul Julian PhD', 'id': 862314906544218114, 'id_str': '862314906544218114', 'indices': [0, 15]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [16, 20]}, {'screen_name': 'TropWATER', 'name': 'TropWATER', 'id': 1373712176, 'id_str': '1373712176', 'indices': [21, 31]}, {'screen_name': 'BlueCarbonLab', 'name': 'Blue Carbon Lab', 'id': 2873081420, 'id_str': '2873081420', 'indices': [32, 46]}, {'screen_name': 'UNSWScience', 'name': 'UNSW Science', 'id': 468825843, 'id_str': '468825843', 'indices': [47, 59]}, {'screen_name': 'PeterMacreadie', 'name': 'Dr Peter Macreadie', 'id': 1191974420, 'id_str': '1191974420', 'indices': [60, 75]}, {'screen_name': 'DrWillGlamore', 'name': 'Dr William Glamore', 'id': 822670835903143936, 'id_str': '822670835903143936', 'indices': [76, 90]}, {'screen_name': 'SwampThingPaul', 'name': 'Paul Julian PhD', 'id': 862314906544218114, 'id_str': '862314906544218114', 'indices': [141, 156]}]",[],en,recent,1030089975788789760,1030089975788789760,Dr Nathan Waltham,WalthamNathan,"Townsville, Australia","Coastal science, wetlands, ecology, urban seascapes, restoration, outdoors, learning new things, global ecosystem change. Loves coffee",,[],False,595,897,2,Thu Aug 16 13:52:43 +0000 2018,954,,,False,False,449,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1030096039917715456/U1LoiCEx_normal.jpg,https://pbs.twimg.com/profile_images/1030096039917715456/U1LoiCEx_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1030089975788789760/1534656964
17,Tue Jan 21 22:36:08 +0000 2020,1219750552440954880,1219750552440954880,@ClaireOvaska @jcu @JCULibrary How beautiful Claire! Lucky day 🐍,False,"[31, 64]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1219736863121928192,1219736863121928192,407339273,407339273,ClaireOvaska,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ClaireOvaska', 'name': 'Claire Ovaska', 'id': 407339273, 'id_str': '407339273', 'indices': [0, 13]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [14, 18]}, {'screen_name': 'JCULibrary', 'name': 'JCU Library', 'id': 1690142642, 'id_str': '1690142642', 'indices': [19, 30]}]",[],en,recent,216571356,216571356,Bron Mathiesen,librarian_bro,Townsville,"I'm a librarian, bro At Eddie Koiki Mabo Library #blendedlearning #highered #libraries #usx #reconciliation #architecture #spaces #science #scicom #trees #art",,[],False,685,1281,63,Wed Nov 17 03:34:24 +0000 2010,16694,,,True,False,4655,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181088829895131143/5_G9bbcT_normal.jpg,https://pbs.twimg.com/profile_images/1181088829895131143/5_G9bbcT_normal.jpg,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/216571356/1562836347
21,Tue Jan 21 01:10:49 +0000 2020,1219427092497981443,1219427092497981443,"@jcu @LynoreGeia 136 #Aboriginal and #TorresStraitIslander students graduated from 
@jcu
 in 2019, up from 54 in 2016. 

Great work #JCU, #IERC, Prof Martin Nakata, 
@LynoreGeia
 and many others for supporting First Nations people to excel in their studies and careers!",False,"[17, 269]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1219425205421924353,1219425205421924353,2536758404,2536758404,SeaSnakeBlanche,,,,,False,0,1,False,False,en,"[{'text': 'Aboriginal', 'indices': [21, 32]}, {'text': 'TorresStraitIslander', 'indices': [37, 58]}, {'text': 'JCU', 'indices': [132, 136]}, {'text': 'IERC', 'indices': [138, 143]}]",[],"[{'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [0, 4]}, {'screen_name': 'LynoreGeia', 'name': 'Lynore  K. Geia', 'id': 1514971266, 'id_str': '1514971266', 'indices': [5, 16]}, {'screen_name': 'jcu', 'name': 'James Cook Uni', 'id': 16661704, 'id_str': '16661704', 'indices': [84, 88]}, {'screen_name': 'LynoreGeia', 'name': 'Lynore  K. Geia', 'id': 1514971266, 'id_str': '1514971266', 'indices': [166, 177]}]",[],en,recent,2536758404,2536758404,Blanche d'Anastasi,SeaSnakeBlanche,"Townsville, Queensland","Scientist | Director #DeadlyScienceGetaway 
@deadly_science JCU | Conservation genomics of sea snakes/sawfish | Indigenous Women in STEM | Science in policy",https://t.co/bECg18kMsB,[],False,1425,1542,29,Sat May 31 06:33:33 +0000 2014,4278,,,False,False,8977,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/720170771226595328/2_is5Qww_normal.jpg,https://pbs.twimg.com/profile_images/720170771226595328/2_is5Qww_normal.jpg,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/bECg18kMsB', 'expanded_url': 'https://www.facebook.com/deadlyscience/', 'display_url': 'facebook.com/deadlyscience/', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2536758404/1540212583
