,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.user.entities.url.urls
1,Sat Jan 25 16:16:04 +0000 2020,1221104456554745856,1221104456554745856,@ssmethers @KSNTNews @KState @KSFarmBureau Thank you!,False,"[43, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221076395994026e+18,1221076395994025984,46390581.0,46390581,ssmethers,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ssmethers', 'name': 'Steve Smethers', 'id': 46390581, 'id_str': '46390581', 'indices': [0, 10]}, {'screen_name': 'KSNTNews', 'name': 'KSNT News', 'id': 351669463, 'id_str': '351669463', 'indices': [11, 20]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [21, 28]}, {'screen_name': 'KSFarmBureau', 'name': 'Kansas Farm Bureau', 'id': 21206042, 'id_str': '21206042', 'indices': [29, 42]}]",[],en,recent,2849476440,2849476440,Noah Ochsner,noahoxnr,"Manhattan, KS","ΔΣΦ | @KSFarmBureau | @KState Ag Comm ‘22 | western Kansas kid | opinions are mine, rt/follow ≠ endorsement |",https://t.co/xHdqTUxlUt,[],False,1381,1106,2,Fri Oct 10 02:37:26 +0000 2014,19563,,,True,False,6862,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1168531107182272512/uEWQZAqs_normal.jpg,https://pbs.twimg.com/profile_images/1168531107182272512/uEWQZAqs_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/xHdqTUxlUt', 'expanded_url': 'https://kansaslivingmagazine.com/articles/2019/11/05/the-economics-of-exports', 'display_url': 'kansaslivingmagazine.com/articles/2019/…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2849476440/1577861049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fri Jan 24 21:23:21 +0000 2020,1220819400837693441,1220819400837693441,@steagles1 @KState 655 unopened emails is giving me anxiety.,False,"[19, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208155699157115e+18,1220815569915711495,374299328.0,374299328,steagles1,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'steagles1', 'name': 'Jason', 'id': 374299328, 'id_str': '374299328', 'indices': [0, 10]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [11, 18]}]",[],en,recent,1587257581,1587257581,Beach,DatBeachBoy,Dirty South,Probably driving. Louisville alumnus. #L1C4 #BTF,,[],False,629,1187,3,Fri Jul 12 01:19:05 +0000 2013,8999,,,False,False,4511,,False,False,False,002244,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211677895007055872/5BFSSua1_normal.jpg,https://pbs.twimg.com/profile_images/1211677895007055872/5BFSSua1_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1587257581/1577454941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 18:16:01 +0000 2020,1220772255099162625,1220772255099162625,RT @Shximoney_: I’m thinking about making a support group on campus @kstate just for the people that need it to talk along with myself I fe…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'Shximoney_', 'name': '𝙼𝚘𝚗 𝚊𝚖𝚘𝚛 🥰', 'id': 4640879909, 'id_str': '4640879909', 'indices': [3, 14]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [68, 75]}]",[],en,recent,1120855199738925058,1120855199738925058,Danielle ❣️,daniellamarie92,"Frankfort, KY","My daughter is my world. KYSU alumna, grad student, & staff member. 🐎 My tweets are my own and do not reflect the views/values of my institution 💙🕊#1920",https://t.co/iRTatc9VFZ,[],False,188,323,0,Wed Apr 24 01:01:18 +0000 2019,1689,,,True,False,1709,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1216775340799991808/t11R6hEu_normal.jpg,https://pbs.twimg.com/profile_images/1216775340799991808/t11R6hEu_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/iRTatc9VFZ', 'expanded_url': 'http://www.kysu.edu', 'display_url': 'kysu.edu', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1120855199738925058/1572704111,Fri Jan 24 18:05:50 +0000 2020,1.2207696957349478e+18,1220769695734947840,I’m thinking about making a support group on campus @kstate just for the people that need it to talk along with myself I feel like it’s important ! MENTAL HEALTH IS EVERYTHING . And I wanna help! retweet all my Kstate students,False,"[0, 226]",[],[],"[{'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [52, 59]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,4640879909.0,4640879909,𝙼𝚘𝚗 𝚊𝚖𝚘𝚛 🥰,Shximoney_,United States,kentucky state univ. cheer ✰,,[],False,646.0,695.0,0.0,Tue Dec 29 07:47:58 +0000 2015,6192.0,,,True,False,2920.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1193615975536635906/EmhvPjov_normal.jpg,https://pbs.twimg.com/profile_images/1193615975536635906/EmhvPjov_normal.jpg,https://pbs.twimg.com/profile_banners/4640879909/1543183043,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,3.0,2.0,False,False,en,,,,,,,,,,,,,,,,,,,,,
17,Fri Jan 24 17:00:15 +0000 2020,1220753190993436673,1220753190993436673,@KSU_Foundation @KState As long as their political views do not influence the day-to-day decisions at K-State then this is a positive.,False,"[24, 134]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220481047135228e+18,1220481047135227905,153876763.0,153876763,KSU_Foundation,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'KSU_Foundation', 'name': 'KSU Foundation', 'id': 153876763, 'id_str': '153876763', 'indices': [0, 15]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [16, 23]}]",[],en,recent,2992256769,2992256769,Scot Tanner von Buchholz,BScotTanner,Planet Earth,"Reporter/Journalist, social media geek, traveler, ❤ pets, sun lover, @deltaupsilon alumni, @KState college sports fan, & @googlemaps guide",,[],False,703,389,194,Thu Jan 22 15:12:31 +0000 2015,34282,,,True,True,43885,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1041794238068011008/LE_HVUjz_normal.jpg,https://pbs.twimg.com/profile_images/1041794238068011008/LE_HVUjz_normal.jpg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/2992256769/1429907536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7dde0febc9ef245b,https://api.twitter.com/1.1/geo/id/7dde0febc9ef245b.json,city,Dublin City,"Dublin City, Ireland",IE,Ireland,[],Polygon,"[[[-6.387438, 53.2987449], [-6.1078047, 53.2987449], [-6.1078047, 53.4110598], [-6.387438, 53.4110598]]]",,,,,,,,,,,
20,Thu Jan 23 18:48:29 +0000 2020,1220418037704220672,1220418037704220672,@KStateVPR @chronicle It's a great time to be @kstate as we transform our efforts under new leadership with a strategic vision for #studentsuccess,False,"[22, 146]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220176395596419e+18,1220176395596419073,4725660103.0,4725660103,KStateVPR,,,,,False,0,2,False,False,en,"[{'text': 'studentsuccess', 'indices': [131, 146]}]",[],"[{'screen_name': 'KStateVPR', 'name': 'Peter K. Dorhout', 'id': 4725660103, 'id_str': '4725660103', 'indices': [0, 10]}, {'screen_name': 'chronicle', 'name': 'The Chronicle of Higher Education', 'id': 12413032, 'id_str': '12413032', 'indices': [11, 21]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [46, 53]}]",[],en,recent,45853923,45853923,Stephanie Bannister,drsbann,"Manhattan,Kansas","K-State Assistant Vice Provost of Student Success. Mama to 3. Grateful alumni of FHSU/KU/KState easily amused, always hopeful, constantly striving to be present",https://t.co/a59OSXFFYB,[],False,1444,1275,56,Tue Jun 09 14:56:44 +0000 2009,14347,,,True,False,10795,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/907303829145899009/a3EISsmU_normal.jpg,https://pbs.twimg.com/profile_images/907303829145899009/a3EISsmU_normal.jpg,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/a59OSXFFYB', 'expanded_url': 'http://about.me/bannister.stephanie', 'display_url': 'about.me/bannister.step…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/45853923/1515507826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Thu Jan 23 03:52:24 +0000 2020,1220192534359658496,1220192534359658496,@carlammm @KState Whaaaat ?? Oh well. Enjoy sabbatical!,False,"[18, 55]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201882156399698e+18,1220188215639969792,19026226.0,19026226,carlammm,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'carlammm', 'name': 'Carla Mtz Machain', 'id': 19026226, 'id_str': '19026226', 'indices': [0, 9]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [10, 17]}]",[],en,recent,885674205278228484,885674205278228484,Paola FajardoHeyward,PFajardoheyward,"New York, USA","political science professor, fluent Spanglish speaker, mom. views are my own",https://t.co/liHcpk7mvj,[],False,226,257,3,Fri Jul 14 01:36:00 +0000 2017,15729,,,False,False,2774,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1055605155176112128/vIppj7Mm_normal.jpg,https://pbs.twimg.com/profile_images/1055605155176112128/vIppj7Mm_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/liHcpk7mvj', 'expanded_url': 'https://www.canisius.edu/academics/our-schools/college-arts-sciences/directory/paola-fajardo-heyward', 'display_url': 'canisius.edu/academics/our-…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/885674205278228484/1563323319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Thu Jan 23 03:35:15 +0000 2020,1220188215639969792,1220188215639969792,"@PFajardoheyward @KState I know, right??? I'm jealous too, actually: It's literally happening three days after I move to Chicago for sabbatical! 🤦‍♀️",False,"[25, 149]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.22017321305079e+18,1220173213050789890,8.856742052782285e+17,885674205278228484,PFajardoheyward,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'PFajardoheyward', 'name': 'Paola FajardoHeyward', 'id': 885674205278228484, 'id_str': '885674205278228484', 'indices': [0, 16]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [17, 24]}]",[],en,recent,19026226,19026226,Carla Mtz Machain,carlammm,"Manhattan, KS",Associate Professor Political Science @KStatePoliSci; @RiceUniversity PhD; @ii_journal co-editor; international conflict & foreign policy ; foodie;  mexicanita,https://t.co/wH6GgiIQce,[],False,1067,874,11,Thu Jan 15 15:54:42 +0000 2009,5465,,,True,False,2078,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000821430365/fd7b2f173698a9c340b696ed57c5b0a9_normal.jpeg,https://pbs.twimg.com/profile_images/378800000821430365/fd7b2f173698a9c340b696ed57c5b0a9_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/wH6GgiIQce', 'expanded_url': 'https://sites.google.com/site/carlamartinezmachain/', 'display_url': 'sites.google.com/site/carlamart…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/19026226/1536158115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thu Jan 23 02:35:38 +0000 2020,1220173213050789890,1220173213050789890,@carlammm @KState What a great opportunity. Jealous!,False,"[18, 52]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219997856045654e+18,1219997856045654017,19026226.0,19026226,carlammm,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'carlammm', 'name': 'Carla Mtz Machain', 'id': 19026226, 'id_str': '19026226', 'indices': [0, 9]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [10, 17]}]",[],en,recent,885674205278228484,885674205278228484,Paola FajardoHeyward,PFajardoheyward,"New York, USA","political science professor, fluent Spanglish speaker, mom. views are my own",https://t.co/liHcpk7mvj,[],False,226,257,3,Fri Jul 14 01:36:00 +0000 2017,15729,,,False,False,2774,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1055605155176112128/vIppj7Mm_normal.jpg,https://pbs.twimg.com/profile_images/1055605155176112128/vIppj7Mm_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/liHcpk7mvj', 'expanded_url': 'https://www.canisius.edu/academics/our-schools/college-arts-sciences/directory/paola-fajardo-heyward', 'display_url': 'canisius.edu/academics/our-…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/885674205278228484/1563323319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thu Jan 23 02:32:14 +0000 2020,1220172356607533061,1220172356607533061,@sarahewhitley @KState @FirstScholars @KStateOFGS @kcmoody @FirstgenCenter We cherish our partnership with the @FirstgenCenter and our #firstforward colleagues across the country - #StudentSuccess is made better together,False,"[75, 220]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2193093237231985e+18,1219309323723198466,196898073.0,196898073,sarahewhitley,,,,,False,0,4,False,False,en,"[{'text': 'firstforward', 'indices': [135, 148]}, {'text': 'StudentSuccess', 'indices': [181, 196]}]",[],"[{'screen_name': 'sarahewhitley', 'name': 'Sarah E. Whitley', 'id': 196898073, 'id_str': '196898073', 'indices': [0, 14]}, {'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [15, 22]}, {'screen_name': 'FirstScholars', 'name': 'First Scholars Natnl', 'id': 1344443640, 'id_str': '1344443640', 'indices': [23, 37]}, {'screen_name': 'KStateOFGS', 'name': 'Office of First Generation Students', 'id': 2370729536, 'id_str': '2370729536', 'indices': [38, 49]}, {'screen_name': 'kcmoody', 'name': 'Kiley Moody', 'id': 23816208, 'id_str': '23816208', 'indices': [50, 58]}, {'screen_name': 'FirstgenCenter', 'name': 'Center for First-generation Student Success', 'id': 874685311657414661, 'id_str': '874685311657414661', 'indices': [59, 74]}, {'screen_name': 'FirstgenCenter', 'name': 'Center for First-generation Student Success', 'id': 874685311657414661, 'id_str': '874685311657414661', 'indices': [111, 126]}]",[],en,recent,45853923,45853923,Stephanie Bannister,drsbann,"Manhattan,Kansas","K-State Assistant Vice Provost of Student Success. Mama to 3. Grateful alumni of FHSU/KU/KState easily amused, always hopeful, constantly striving to be present",https://t.co/a59OSXFFYB,[],False,1444,1275,56,Tue Jun 09 14:56:44 +0000 2009,14347,,,True,False,10795,,False,False,False,642D8B,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,True,http://pbs.twimg.com/profile_images/907303829145899009/a3EISsmU_normal.jpg,https://pbs.twimg.com/profile_images/907303829145899009/a3EISsmU_normal.jpg,9266CC,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/a59OSXFFYB', 'expanded_url': 'http://about.me/bannister.stephanie', 'display_url': 'about.me/bannister.step…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/45853923/1515507826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276a44d783a529d,https://api.twitter.com/1.1/geo/id/1276a44d783a529d.json,city,Manhattan,"Manhattan, KS",US,United States,[],Polygon,"[[[-96.649744, 39.159985], [-96.499443, 39.159985], [-96.499443, 39.259872], [-96.649744, 39.259872]]]",,,,,,,,,,,
107,Tue Jan 21 17:39:41 +0000 2020,1219675947487711232,1219675947487711232,"RT @ParkingKState: WELCOME BACK STUDENTS!  If you are a new student this semester, please stop by office, for assistance ordering a parking…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,7,0,False,False,en,[],[],"[{'screen_name': 'ParkingKState', 'name': 'K-State Parking Services', 'id': 1040315641054588928, 'id_str': '1040315641054588928', 'indices': [3, 17]}]",[],en,recent,501917170,501917170,KSU Chapman Center,ChapmanCenter1,Kansas State University,Rural Kansas is more than wheat fields and dusty combines; Chapman undergrad researchers & our growing digital archive will show you how KS people #MakeHistory.,https://t.co/uirmcpqWa8,[],False,855,1253,132,Fri Feb 24 16:22:51 +0000 2012,4662,,,True,False,10623,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://pbs.twimg.com/profile_images/1217926301291552769/PHakBSEZ_normal.jpg,https://pbs.twimg.com/profile_images/1217926301291552769/PHakBSEZ_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/uirmcpqWa8', 'expanded_url': 'http://www.k-state.edu/history/chapman/', 'display_url': 'k-state.edu/history/chapma…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/501917170/1487611550,Tue Jan 21 16:24:32 +0000 2020,1.2196570387180216e+18,1219657038718021632,"WELCOME BACK STUDENTS!  If you are a new student this semester, please stop by office, for assistance ordering a parking permit.  We are open 7:30am - 5:00pm Mon-Fri and located in the SW corner of the Parking Garage by the Union. @kstate @KStateHDS",False,"[0, 249]",[],[],"[{'screen_name': 'KState', 'name': 'K-State', 'id': 48808600, 'id_str': '48808600', 'indices': [231, 238]}, {'screen_name': 'KStateHDS', 'name': 'KStateHDS', 'id': 214151514, 'id_str': '214151514', 'indices': [239, 249]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.0403156410545889e+18,1040315641054588928,K-State Parking Services,ParkingKState,706 N 17th Street,"Kansas State University, Manhattan, Kansas",https://t.co/c3ndfC2GQz,[],False,150.0,128.0,3.0,Thu Sep 13 19:05:51 +0000 2018,556.0,,,False,False,209.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1042164272711651329/Ok8YQGC2_normal.jpg,https://pbs.twimg.com/profile_images/1042164272711651329/Ok8YQGC2_normal.jpg,https://pbs.twimg.com/profile_banners/1040315641054588928/1537200224,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,7.0,11.0,False,False,en,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/c3ndfC2GQz', 'expanded_url': 'http://www.k-state.edu/parking', 'display_url': 'k-state.edu/parking', 'indices': [0, 23]}]"
