,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
3,Sun Jan 26 04:38:20 +0000 2020,1221291254903795712,1221291254903795712,@vcdgf555 @HayekAndKeynes @twpiggott @ChinaBeigeBook @picardonhealth @juliaoftoronto @HelenBranswell @LSHTM @richardhorton1 @AntheaKatelaris Would be very interested in 2000 to 2020.,False,"[141, 182]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221290761271931e+18,1221290761271930880,1.10026633228356e+18,1100266332283559936,vcdgf555,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'vcdgf555', 'name': 'Evergreen Intel', 'id': 1100266332283559936, 'id_str': '1100266332283559936', 'indices': [0, 9]}, {'screen_name': 'HayekAndKeynes', 'name': 'THE LONG VIEW  ⚫️', 'id': 2939007435, 'id_str': '2939007435', 'indices': [10, 25]}, {'screen_name': 'twpiggott', 'name': 'Thomas Piggott', 'id': 138451153, 'id_str': '138451153', 'indices': [26, 36]}, {'screen_name': 'ChinaBeigeBook', 'name': 'China Beige Book', 'id': 497231011, 'id_str': '497231011', 'indices': [37, 52]}, {'screen_name': 'picardonhealth', 'name': 'André Picard', 'id': 252794509, 'id_str': '252794509', 'indices': [53, 68]}, {'screen_name': 'juliaoftoronto', 'name': 'Julia Belluz', 'id': 75890868, 'id_str': '75890868', 'indices': [69, 84]}, {'screen_name': 'HelenBranswell', 'name': 'Helen Branswell', 'id': 28838219, 'id_str': '28838219', 'indices': [85, 100]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [101, 107]}, {'screen_name': 'richardhorton1', 'name': 'richard horton', 'id': 53898393, 'id_str': '53898393', 'indices': [108, 123]}, {'screen_name': 'AntheaKatelaris', 'name': 'Anthea Katelaris', 'id': 26225035, 'id_str': '26225035', 'indices': [124, 140]}]",[],en,recent,1352962327,1352962327,"ɪᴀɴ ᴍ ᴍᴀᴄᴋᴀʏ, ᴘʜᴅ 🦠🤧🧬🥼🦟",MackayIM,"Brisbane, Australia",virologist. scientist. husband. dad. reader. writer. fixer. bad typist. in no order. facts referenced. opinions mine alone. not medical advice or endorsement.,https://t.co/C9HOVIjnIn,[],False,17153,4377,677,Sun Apr 14 22:49:08 +0000 2013,65103,,,False,True,117306,,False,False,False,F0D695,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1210795039330226177/Qu1CP6fv_normal.jpg,https://pbs.twimg.com/profile_images/1210795039330226177/Qu1CP6fv_normal.jpg,https://pbs.twimg.com/profile_banners/1352962327/1566298427,FF691F,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/C9HOVIjnIn', 'expanded_url': 'http://virologydownunder.com/', 'display_url': 'virologydownunder.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sun Jan 26 04:31:42 +0000 2020,1221289585327529990,1221289585327529990,@HayekAndKeynes @twpiggott @ChinaBeigeBook @picardonhealth @juliaoftoronto @HelenBranswell @LSHTM @richardhorton1 @AntheaKatelaris And population growth and density?,False,"[131, 165]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221284664981295e+18,1221284664981295104,2939007435.0,2939007435,HayekAndKeynes,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'HayekAndKeynes', 'name': 'THE LONG VIEW  ⚫️', 'id': 2939007435, 'id_str': '2939007435', 'indices': [0, 15]}, {'screen_name': 'twpiggott', 'name': 'Thomas Piggott', 'id': 138451153, 'id_str': '138451153', 'indices': [16, 26]}, {'screen_name': 'ChinaBeigeBook', 'name': 'China Beige Book', 'id': 497231011, 'id_str': '497231011', 'indices': [27, 42]}, {'screen_name': 'picardonhealth', 'name': 'André Picard', 'id': 252794509, 'id_str': '252794509', 'indices': [43, 58]}, {'screen_name': 'juliaoftoronto', 'name': 'Julia Belluz', 'id': 75890868, 'id_str': '75890868', 'indices': [59, 74]}, {'screen_name': 'HelenBranswell', 'name': 'Helen Branswell', 'id': 28838219, 'id_str': '28838219', 'indices': [75, 90]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [91, 97]}, {'screen_name': 'richardhorton1', 'name': 'richard horton', 'id': 53898393, 'id_str': '53898393', 'indices': [98, 113]}, {'screen_name': 'AntheaKatelaris', 'name': 'Anthea Katelaris', 'id': 26225035, 'id_str': '26225035', 'indices': [114, 130]}]",[],en,recent,1352962327,1352962327,"ɪᴀɴ ᴍ ᴍᴀᴄᴋᴀʏ, ᴘʜᴅ 🦠🤧🧬🥼🦟",MackayIM,"Brisbane, Australia",virologist. scientist. husband. dad. reader. writer. fixer. bad typist. in no order. facts referenced. opinions mine alone. not medical advice or endorsement.,https://t.co/C9HOVIjnIn,[],False,17153,4377,677,Sun Apr 14 22:49:08 +0000 2013,65103,,,False,True,117306,,False,False,False,F0D695,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1210795039330226177/Qu1CP6fv_normal.jpg,https://pbs.twimg.com/profile_images/1210795039330226177/Qu1CP6fv_normal.jpg,https://pbs.twimg.com/profile_banners/1352962327/1566298427,FF691F,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/C9HOVIjnIn', 'expanded_url': 'http://virologydownunder.com/', 'display_url': 'virologydownunder.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 21:30:32 +0000 2020,1221183596414685185,1221183596414685185,"RT @michaelwhite_36: Good to see an open, collaborative  culture in the outbreak modelling community in response to Wuhan #coronavirus with…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,0,False,False,en,"[{'text': 'coronavirus', 'indices': [122, 134]}]",[],"[{'screen_name': 'michaelwhite_36', 'name': 'Michael White', 'id': 553781794, 'id_str': '553781794', 'indices': [3, 19]}]",[],en,recent,1061446276456374272,1061446276456374272,"Carola J. Salas, PhD",CJSalasDr1,Peru,"Medical laboratory scientist: expert malaria microscopist 
 and molecular biologist Working in Peru. 
Volunteer for
@RSTMH @ASTMH
Opinions are my own",,[],False,87,62,1,Sun Nov 11 02:31:27 +0000 2018,706,,,True,False,727,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1184067920562970624/QMyzK9f1_normal.jpg,https://pbs.twimg.com/profile_images/1184067920562970624/QMyzK9f1_normal.jpg,https://pbs.twimg.com/profile_banners/1061446276456374272/1565582680,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,Wed Jan 22 09:03:31 +0000 2020,1.2199084415038833e+18,1219908441503883265,"Good to see an open, collaborative  culture in the outbreak modelling community in response to Wuhan #coronavirus with work shared by @MRC_Outbreak, @lshtm, @CIDIDteam &amp; more. Will be curious to see who publishes without first publicly sharing important results &amp; data",False,"[0, 276]","[{'text': 'coronavirus', 'indices': [101, 113]}]",[],"[{'screen_name': 'MRC_Outbreak', 'name': 'MRC Centre for Global Infectious Disease Analysis', 'id': 187503462, 'id_str': '187503462', 'indices': [134, 147]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [149, 155]}, {'screen_name': 'CIDIDteam', 'name': 'CIDID', 'id': 3000719200, 'id_str': '3000719200', 'indices': [157, 167]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,553781794.0,553781794,Michael White,michaelwhite_36,"Paris, France",Epidemiology and mathematical modelling of malaria at Institut Pasteur,https://t.co/oJvafD8VC4,"[{'url': 'https://t.co/oJvafD8VC4', 'expanded_url': 'https://research.pasteur.fr/en/member/fr-michael-white/', 'display_url': 'research.pasteur.fr/en/member/fr-m…', 'indices': [0, 23]}]",[],False,489.0,383.0,2.0,Sat Apr 14 19:34:57 +0000 2012,1109.0,,,False,False,196.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/980147064616161280/70W7evqA_normal.jpg,https://pbs.twimg.com/profile_images/980147064616161280/70W7evqA_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,2.0,5.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 15:36:35 +0000 2020,1221094523822100481,1221094523822100481,@JHenryC @LSHTM @mrcunitgambia Congrats!,False,"[31, 40]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220267228047782e+18,1220267228047781889,85320834.0,85320834,JHenryC,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JHenryC', 'name': 'James Henry Cross', 'id': 85320834, 'id_str': '85320834', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}, {'screen_name': 'mrcunitgambia', 'name': 'MRC Unit The Gambia at LSHTM', 'id': 617943922, 'id_str': '617943922', 'indices': [16, 30]}]",[],en,recent,4425346697,4425346697,Olubukola (Bukky) Idoko,bukkyidoko,Medical Research Council Unit The Gambia at London School of Hygiene and Tropical Medicine,"Pediatrician and Clinical Scientist.
Wife, Mother, Duaghter, Sister.....",https://t.co/OUcE2zv2yq,[],False,84,107,0,Wed Dec 09 09:50:54 +0000 2015,511,,,False,False,167,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1067068847138713600/arYfJvgG_normal.jpg,https://pbs.twimg.com/profile_images/1067068847138713600/arYfJvgG_normal.jpg,,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/OUcE2zv2yq', 'expanded_url': 'http://www.mrc.gm/olubukola-idoko/', 'display_url': 'mrc.gm/olubukola-idok…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sat Jan 25 13:40:58 +0000 2020,1221065424856473600,1221065424856473600,"@peripatetical @DataStace @LSHTM Oh so I'm not a complete idiot here then.
Any guess as to where the WHO description might have fallen?",False,"[33, 135]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2210524248461066e+18,1221052424846106627,88175494.0,88175494,peripatetical,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'peripatetical', 'name': 'Allen Cheng', 'id': 88175494, 'id_str': '88175494', 'indices': [0, 14]}, {'screen_name': 'DataStace', 'name': 'Stacey Rowe', 'id': 926372113551785985, 'id_str': '926372113551785985', 'indices': [15, 25]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [26, 32]}]",[],en,recent,1352962327,1352962327,"ɪᴀɴ ᴍ ᴍᴀᴄᴋᴀʏ, ᴘʜᴅ 🦠🤧🧬🥼🦟",MackayIM,"Brisbane, Australia",virologist. scientist. husband. dad. reader. writer. fixer. bad typist. in no order. facts referenced. opinions mine alone. not medical advice or endorsement.,https://t.co/C9HOVIjnIn,[],False,17153,4377,677,Sun Apr 14 22:49:08 +0000 2013,65103,,,False,True,117306,,False,False,False,F0D695,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1210795039330226177/Qu1CP6fv_normal.jpg,https://pbs.twimg.com/profile_images/1210795039330226177/Qu1CP6fv_normal.jpg,https://pbs.twimg.com/profile_banners/1352962327/1566298427,FF691F,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/C9HOVIjnIn', 'expanded_url': 'http://virologydownunder.com/', 'display_url': 'virologydownunder.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Thu Jan 23 20:06:58 +0000 2020,1220437789935796224,1220437789935796224,"@TheJasonDomino I know the @LSHTM research has some stats but I don’t think it’s broken down by gender, just sex workers.",False,"[16, 121]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204166553496822e+18,1220416655349682182,2909436269.0,2909436269,TheJasonDomino,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'TheJasonDomino', 'name': 'Jason Domino [SFW account]', 'id': 2909436269, 'id_str': '2909436269', 'indices': [0, 15]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [27, 33]}]",[],en,recent,3084813327,3084813327,"Lou Cahill, RN",Cahill_Lou,🇨🇦 in 🇬🇧,Nurse Specialist Sexual Health • DFSRH • #PublicHealth approaches to #HumanTrafficking • Studying MSc #CrimeScience • #Decrim #SexWork • #NurseTwitter • She/her,,[],False,3138,987,41,Tue Mar 10 20:59:10 +0000 2015,28658,,,False,False,6720,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1208381794887884802/VLAXRiAW_normal.jpg,https://pbs.twimg.com/profile_images/1208381794887884802/VLAXRiAW_normal.jpg,https://pbs.twimg.com/profile_banners/3084813327/1576231076,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Thu Jan 23 16:00:11 +0000 2020,1220375686931779584,1220375686931779584,@WASH_emergency @WaterAidUK @imperialcollege @LSHTM Grateful for virtual attendance and upgraded tech- much better than joining EHG meetings remotely in the past!,False,"[52, 162]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203660093386465e+18,1220366009338646531,1.2015032966341427e+18,1201503296634142725,WASH_emergency,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'WASH_emergency', 'name': 'Emergency Environmental Health Forum', 'id': 1201503296634142725, 'id_str': '1201503296634142725', 'indices': [0, 15]}, {'screen_name': 'WaterAidUK', 'name': 'WaterAid UK 💦', 'id': 14227045, 'id_str': '14227045', 'indices': [16, 27]}, {'screen_name': 'imperialcollege', 'name': 'Imperial College', 'id': 15353955, 'id_str': '15353955', 'indices': [28, 44]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [45, 51]}]",[],en,recent,592943844,592943844,Ben Tidwell,_bentidwell,"Baltimore, MD",WASH Behavioral Sci Lead & Researcher @WorldVision / Res Fellow @Kennedy_School / Designing behavioral interventions in orgs/communities / Behavioral typologies,https://t.co/T8RUtacMJR,[],False,486,412,8,Mon May 28 16:26:56 +0000 2012,3786,,,False,False,2865,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1044984190029221888/qXsfy8nO_normal.jpg,https://pbs.twimg.com/profile_images/1044984190029221888/qXsfy8nO_normal.jpg,https://pbs.twimg.com/profile_banners/592943844/1557854959,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/T8RUtacMJR', 'expanded_url': 'http://bentidwell.com', 'display_url': 'bentidwell.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Thu Jan 23 15:15:00 +0000 2020,1220364315544444929,1220364315544444929,@JHenryC @LSHTM @mrcunitgambia congrats Dr James. Best wishes.,False,"[31, 62]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220267228047782e+18,1220267228047781889,85320834.0,85320834,JHenryC,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JHenryC', 'name': 'James Henry Cross', 'id': 85320834, 'id_str': '85320834', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}, {'screen_name': 'mrcunitgambia', 'name': 'MRC Unit The Gambia at LSHTM', 'id': 617943922, 'id_str': '617943922', 'indices': [16, 30]}]",[],en,recent,1068055639,1068055639,modupeh Betts,modupehBetts,"London, England",@NIHR_MPRU PhD candidate in bacterial transcriptomics | Interest in bioinformatics & data science | Formerly of @mrcunitgambia | Alumni @QMUL & @KingstonUni,,[],False,94,261,0,Mon Jan 07 11:09:17 +0000 2013,327,,,False,False,71,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/861738571551711232/Wofr4m8w_normal.jpg,https://pbs.twimg.com/profile_images/861738571551711232/Wofr4m8w_normal.jpg,https://pbs.twimg.com/profile_banners/1068055639/1494289648,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Thu Jan 23 13:30:48 +0000 2020,1220338092000849920,1220338092000849920,@JHenryC @LSHTM @mrcunitgambia Massive congratulations from the AMR Centre!! 🎉🎉,False,"[31, 79]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220267228047782e+18,1220267228047781889,85320834.0,85320834,JHenryC,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JHenryC', 'name': 'James Henry Cross', 'id': 85320834, 'id_str': '85320834', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}, {'screen_name': 'mrcunitgambia', 'name': 'MRC Unit The Gambia at LSHTM', 'id': 617943922, 'id_str': '617943922', 'indices': [16, 30]}]",[],en,recent,777852421863251968,777852421863251968,LSHTM AMR Centre,LSHTM_AMR,"London, UK","Inspiring innovation in antimicrobial resistance research through interdisciplinary and international engagements #AMR
#AntibioticResistance",https://t.co/j8SSckuUA3,[],False,1845,419,28,Mon Sep 19 12:50:44 +0000 2016,913,,,False,False,931,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/789071940652851200/axSEOM_z_normal.jpg,https://pbs.twimg.com/profile_images/789071940652851200/axSEOM_z_normal.jpg,https://pbs.twimg.com/profile_banners/777852421863251968/1481775087,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/j8SSckuUA3', 'expanded_url': 'http://amr.lshtm.ac.uk', 'display_url': 'amr.lshtm.ac.uk', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Thu Jan 23 13:27:10 +0000 2020,1220337178028519425,1220337178028519425,@JHenryC @LSHTM @mrcunitgambia Congrats,False,"[31, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220267228047782e+18,1220267228047781889,85320834.0,85320834,JHenryC,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JHenryC', 'name': 'James Henry Cross', 'id': 85320834, 'id_str': '85320834', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}, {'screen_name': 'mrcunitgambia', 'name': 'MRC Unit The Gambia at LSHTM', 'id': 617943922, 'id_str': '617943922', 'indices': [16, 30]}]",[],en,recent,925443807902076928,925443807902076928,Chipi,chipiePayesa91,Londoner currently,"Research Enthusiast, Aspiring Global Health Leader, Commonwealth Scholar, LSHTM alumna💖",https://t.co/WyVH4JwyCG,[],False,215,246,0,Tue Oct 31 19:26:12 +0000 2017,1197,,,True,False,661,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/925459227665158144/yRY_j6-z_normal.jpg,https://pbs.twimg.com/profile_images/925459227665158144/yRY_j6-z_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/WyVH4JwyCG', 'expanded_url': 'https://millennialwomenweb.wordpress.com', 'display_url': 'millennialwomenweb.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
