,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
5,Sat Jan 25 07:28:26 +0000 2020,1220971673110958080,1220971673110958080,"RT @barstooltiger: It has been 2,494 days since #mubb last won an NCAA tournament game. That’s 6 years, 9 months and 28 days. The mind bogg…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,8,0,False,False,en,"[{'text': 'mubb', 'indices': [48, 53]}]",[],"[{'screen_name': 'barstooltiger', 'name': 'Wojo 6 Years 0 Tournament Wins', 'id': 3196509472, 'id_str': '3196509472', 'indices': [3, 17]}]",[],en,recent,853381014,853381014,Patrick Kaple,DFluckesFans,"Cincinnati, OH",Xavier Alumni. Cleveland Sports Fanatic. Pokemon TCG Master 7th overall in Turkey Bowl #XavierNation #RollTribe #RallyTogether #DefendTheLand,,,[],False,846,1671,18,Sat Sep 29 18:38:20 +0000 2012,221362,,,True,False,96390,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1191567746103939074/UUpbQK-l_normal.jpg,https://pbs.twimg.com/profile_images/1191567746103939074/UUpbQK-l_normal.jpg,https://pbs.twimg.com/profile_banners/853381014/1572209976,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sat Jan 25 04:50:41 +0000 2020,1.2209319758480425e+18,1220931975848042496,"It has been 2,494 days since #mubb last won an NCAA tournament game. That’s 6 years, 9 months and 28 days. The mind boggling decisions by Wojo continue at @MarquetteU where there is an acceptance of mediocrity and a nose dive in standards. No accountability. #mubb #firewojo",False,"[0, 274]","[{'text': 'mubb', 'indices': [29, 34]}, {'text': 'mubb', 'indices': [259, 264]}, {'text': 'firewojo', 'indices': [265, 274]}]",[],"[{'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [155, 166]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3196509472.0,3196509472,Wojo 6 Years 0 Tournament Wins,tscottmarq,,Wojo didn’t know the score in a tie game with under a minute left. All you need to know.,,,[],False,65.0,106.0,0.0,Thu Apr 23 01:24:59 +0000 2015,12.0,,,False,False,27.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1212570725762191360/Ty8vTSPB_normal.jpg,https://pbs.twimg.com/profile_images/1212570725762191360/Ty8vTSPB_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,8.0,43.0,False,False,en,,,,,,,,,,
38,Sat Jan 25 04:52:23 +0000 2020,1220932405386776577,1220932405386776577,@MarquetteMBB @MarquetteU @PresLovell how much longer are we going to tolerate mediocrity and choking away games we should win??? Absolutely unacceptable. #FireWojo,False,"[0, 164]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,849973644.0,849973644,MarquetteMBB,,,,,False,0,4,False,False,en,"[{'text': 'FireWojo', 'indices': [155, 164]}]",[],"[{'screen_name': 'MarquetteMBB', 'name': 'Marquette Basketball', 'id': 849973644, 'id_str': '849973644', 'indices': [0, 13]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [14, 25]}, {'screen_name': 'PresLovell', 'name': 'Michael Lovell', 'id': 2803569679, 'id_str': '2803569679', 'indices': [26, 37]}]",[],en,recent,283558296,283558296,David Westrich,D_Westrich9,"Milwaukee, WI","Washed Up Athlete. Marquette University. ΔΣΠ
#FireWojo",,,[],False,347,231,2,Sun Apr 17 14:46:01 +0000 2011,7561,,,False,False,3884,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1160962274959527936/-wYfJsQ1_normal.jpg,https://pbs.twimg.com/profile_images/1160962274959527936/-wYfJsQ1_normal.jpg,https://pbs.twimg.com/profile_banners/283558296/1545923386,0084B4,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fri Jan 24 22:12:27 +0000 2020,1220831758620471296,1220831758620471296,"@MarquetteU @TheButlerBlue As a lifelong @butleru fan and a very proud double @MarquetteU alumna, I’m so excited for this. #mubb #bubb",False,"[27, 134]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207468650141204e+18,1220746865014120450,16743256.0,16743256,MarquetteU,,,,,False,0,1,False,False,en,"[{'text': 'mubb', 'indices': [123, 128]}, {'text': 'bubb', 'indices': [129, 134]}]",[],"[{'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [0, 11]}, {'screen_name': 'TheButlerBlue', 'name': 'Butler Blue IV', 'id': 939746712, 'id_str': '939746712', 'indices': [12, 26]}, {'screen_name': 'butleru', 'name': 'Butler University', 'id': 11442512, 'id_str': '11442512', 'indices': [41, 49]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [78, 89]}]",[],en,recent,179244553,179244553,Vickie Lehman,DrSnaxAbout2Nap,,ΑΧΩ alum. AMDG. MU alum x2. DPT/ATC. Proud to be Hoosier born and Midwest nice. Views are mine and do not reflect my employer.,,,[],False,187,243,1,Mon Aug 16 21:31:23 +0000 2010,1951,,,False,False,3264,,False,False,False,FCEBB6,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,True,http://pbs.twimg.com/profile_images/1051640670274904064/DypB6cti_normal.jpg,https://pbs.twimg.com/profile_images/1051640670274904064/DypB6cti_normal.jpg,https://pbs.twimg.com/profile_banners/179244553/1367809004,CE7834,F0A830,78C0A8,5E412F,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fri Jan 24 21:24:09 +0000 2020,1220819600247545856,1220819600247545856,@rosskaren7 @MarquetteTheo @MarquetteU The best!,False,"[39, 48]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220813531966333e+18,1220813531966332935,311751122.0,311751122,rosskaren7,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'rosskaren7', 'name': 'Dr. Karen Ross', 'id': 311751122, 'id_str': '311751122', 'indices': [0, 11]}, {'screen_name': 'MarquetteTheo', 'name': 'MU Theology Dept', 'id': 2981803834, 'id_str': '2981803834', 'indices': [12, 26]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [27, 38]}]",[],en,recent,105618618,105618618,Dr. Christine E. McCarthy,CEMcCarthyPhD,"Boston, MA","Religion, Gender, Peace & Global Health | @FordhamTheology PhD and @BosColTheology alumna | Organizer for @ewarren | she/her",,,[],False,1018,2157,20,Sat Jan 16 23:08:32 +0000 2010,6082,,,True,False,2096,,False,False,False,DBE9ED,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/943602521624498176/QFqczTm3_normal.jpg,https://pbs.twimg.com/profile_images/943602521624498176/QFqczTm3_normal.jpg,https://pbs.twimg.com/profile_banners/105618618/1472221769,CC3366,DBE9ED,E6F6F9,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Fri Jan 24 19:54:26 +0000 2020,1220797022422339587,1220797022422339587,RT @Linneaa24: I stand in solidarity with @mu_empowerment and all students as they protest @MarquetteU pro life week + using school money t…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,7,0,False,False,en,[],[],"[{'screen_name': 'Linneaa24', 'name': 'linnea', 'id': 1297389355, 'id_str': '1297389355', 'indices': [3, 13]}, {'screen_name': 'mu_empowerment', 'name': 'MU Empowerment', 'id': 3013361872, 'id_str': '3013361872', 'indices': [42, 57]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [91, 102]}]",[],en,recent,942905458150576128,942905458150576128,madame conway,_Conway__,"Champaign, IL","🦋 Marquette University Anthro ‘19 💛 UIUC Law 2022 ⚖️ @jtsmizzle’s identical twin💫 “if you need a hero, just look in the mirror” 🌟",,,[],False,135,292,0,Mon Dec 18 23:52:34 +0000 2017,1526,,,True,False,5962,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1214328775401447426/Y46iA0hz_normal.jpg,https://pbs.twimg.com/profile_images/1214328775401447426/Y46iA0hz_normal.jpg,https://pbs.twimg.com/profile_banners/942905458150576128/1571716548,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Fri Jan 24 19:01:13 +0000 2020,1.2207836304459407e+18,1220783630445940737,I stand in solidarity with @mu_empowerment and all students as they protest @MarquetteU pro life week + using school money to send students to the March For Life. Restricting reproductive rights is not being men and women for all.,False,"[0, 230]",[],[],"[{'screen_name': 'mu_empowerment', 'name': 'MU Empowerment', 'id': 3013361872, 'id_str': '3013361872', 'indices': [27, 42]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [76, 87]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1297389355.0,1297389355,linnea,Linneaa24,,watch the queen conquer | she/her | @amarch4ourlives Regional Organizing Director,,,[],False,753.0,297.0,3.0,Mon Mar 25 02:32:26 +0000 2013,34371.0,,,False,False,6271.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1212521883746234368/dySDM1Nw_normal.jpg,https://pbs.twimg.com/profile_images/1212521883746234368/dySDM1Nw_normal.jpg,https://pbs.twimg.com/profile_banners/1297389355/1550530888,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,7.0,30.0,False,False,en,,,,,,,,,,
63,Thu Jan 23 19:12:47 +0000 2020,1220424152777142285,1220424152777142285,@SetonSchoolsMKE @MarquetteU 😊 We hope you all had a great time on your visit!,False,"[29, 78]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204122734554563e+18,1220412273455456256,7.688237169605345e+17,768823716960534528,SetonSchoolsMKE,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SetonSchoolsMKE', 'name': 'SetonCatholicSchools', 'id': 768823716960534528, 'id_str': '768823716960534528', 'indices': [0, 16]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [17, 28]}]",[],en,recent,954467431828873218,954467431828873218,Marquette University College of Arts & Sciences,MUArtsSciences,"Milwaukee, WI",The Klingler College of Arts & Sciences is the Heart and Soul of @MarquetteU. We prepare our students for careers—and for life. #MUArtsSciences,https://t.co/zHnm62pEVT,"[{'url': 'https://t.co/zHnm62pEVT', 'expanded_url': 'http://www.marquette.edu/as', 'display_url': 'marquette.edu/as', 'indices': [0, 23]}]",[],False,552,132,7,Fri Jan 19 21:35:43 +0000 2018,2957,,,False,False,2412,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1091427136139870208/CcRBpVUW_normal.jpg,https://pbs.twimg.com/profile_images/1091427136139870208/CcRBpVUW_normal.jpg,https://pbs.twimg.com/profile_banners/954467431828873218/1554749967,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Thu Jan 23 01:54:52 +0000 2020,1220162956039741443,1220162956039741443,@julia_azari @MarquetteU @UWM Really excited for your feedback. Results slides all have varying levels of “WARNING VERY PRELIMINARY” on them,False,"[30, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200997277080822e+18,1220099727708082177,1924414555.0,1924414555,julia_azari,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'julia_azari', 'name': 'Julia Azari', 'id': 1924414555, 'id_str': '1924414555', 'indices': [0, 12]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [13, 24]}, {'screen_name': 'UWM', 'name': 'UW-Milwaukee', 'id': 15680246, 'id_str': '15680246', 'indices': [25, 29]}]",[],en,recent,402448143,402448143,Philip Rocco,PhilipRocco,"Milwaukee, WI",Assistant Professor of Political Science at @MarquetteU // co-author of Obamacare Wars: https://t.co/8v7dignea0 // Blog @ahousedivided2 // Yinzer,https://t.co/2RRGusaWBP,"[{'url': 'https://t.co/2RRGusaWBP', 'expanded_url': 'https://www.marquette.edu/political-science/directory/philip-rocco.php', 'display_url': 'marquette.edu/political-scie…', 'indices': [0, 23]}]","[{'url': 'https://t.co/8v7dignea0', 'expanded_url': 'http://tinyurl.com/hnuqe2n', 'display_url': 'tinyurl.com/hnuqe2n', 'indices': [88, 111]}]",False,2267,1939,59,Tue Nov 01 02:45:47 +0000 2011,26448,,,True,False,8968,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/875544788275261442/YeMZG-rx_normal.jpg,https://pbs.twimg.com/profile_images/875544788275261442/YeMZG-rx_normal.jpg,https://pbs.twimg.com/profile_banners/402448143/1540775884,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Wed Jan 22 21:43:38 +0000 2020,1220099727708082177,1220099727708082177,@PhilipRocco @MarquetteU @UWM very cool- excited for your upcoming talk!,False,"[30, 72]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200994485183816e+18,1220099448518381568,402448143.0,402448143,PhilipRocco,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PhilipRocco', 'name': 'Philip Rocco', 'id': 402448143, 'id_str': '402448143', 'indices': [0, 12]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [13, 24]}, {'screen_name': 'UWM', 'name': 'UW-Milwaukee', 'id': 15680246, 'id_str': '15680246', 'indices': [25, 29]}]",[],en,recent,1924414555,1924414555,Julia Azari,julia_azari,,"@MarquetteU polsci prof. Blogger. Elections, coffee, sharp sticks. She/her. Pod: https://t.co/3C2yy5cZIW 
Write: @misoffact, @fivethirtyeight, etc.",https://t.co/DkWOumJLai,"[{'url': 'https://t.co/DkWOumJLai', 'expanded_url': 'http://www.mischiefsoffaction.com', 'display_url': 'mischiefsoffaction.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/3C2yy5cZIW', 'expanded_url': 'http://politicsinquestion.com', 'display_url': 'politicsinquestion.com', 'indices': [81, 104]}]",False,20740,4347,501,Tue Oct 01 19:26:03 +0000 2013,44179,,,True,True,26980,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217505371092410378/c1fOMyGF_normal.jpg,https://pbs.twimg.com/profile_images/1217505371092410378/c1fOMyGF_normal.jpg,https://pbs.twimg.com/profile_banners/1924414555/1394993462,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Wed Jan 22 16:09:44 +0000 2020,1220015699940331522,1220015699940331522,RT @MarquetteU: @JayBilas Agreed,False,"[0, 32]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [3, 14]}, {'screen_name': 'JayBilas', 'name': 'Jay Bilas', 'id': 40892016, 'id_str': '40892016', 'indices': [16, 25]}]",[],en,recent,48047418,48047418,Tim Rostan.,mrtgr,Chicago.,"Chicagoan, ex–S.F., Prague. No. 6 on @MarketWatch seniority list, but views mine, or attributed. Alumnus @SaintPatrickHS, @marquetteu, @loyolachicago. 🚲🚆🚶‍♂️",https://t.co/hzJHKqZmh2,"[{'url': 'https://t.co/hzJHKqZmh2', 'expanded_url': 'http://www.marketwatch.com/', 'display_url': 'marketwatch.com', 'indices': [0, 23]}]",[],False,3987,5997,141,Wed Jun 17 17:52:28 +0000 2009,20456,,,True,True,69697,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/516681627179552770/PZDKnyKS_normal.jpeg,https://pbs.twimg.com/profile_images/516681627179552770/PZDKnyKS_normal.jpeg,https://pbs.twimg.com/profile_banners/48047418/1577974131,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Wed Jan 22 14:58:30 +0000 2020,1.2199977740847432e+18,1219997774084743175,@JayBilas Agreed,False,"[10, 16]",[],[],"[{'screen_name': 'JayBilas', 'name': 'Jay Bilas', 'id': 40892016, 'id_str': '40892016', 'indices': [0, 9]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219972813047718e+18,1219972813047717889,40892016.0,40892016,JayBilas,16743256.0,16743256,Marquette University,MarquetteU,"Milwaukee, WI 53201-1881",#WeAreMarquette #BeTheDifference,https://t.co/vSrGOoPA0u,"[{'url': 'https://t.co/vSrGOoPA0u', 'expanded_url': 'http://bit.ly/MUSocial', 'display_url': 'bit.ly/MUSocial', 'indices': [0, 23]}]",[],False,49820.0,8623.0,955.0,Tue Oct 14 18:35:55 +0000 2008,33023.0,,,True,True,46605.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1057990205695770624/ZGOBssUi_normal.jpg,https://pbs.twimg.com/profile_images/1057990205695770624/ZGOBssUi_normal.jpg,https://pbs.twimg.com/profile_banners/16743256/1553620780,003366,FFFFFF,FFF9CC,333333,False,False,False,False,False,False,False,none,,,,,False,1.0,35.0,False,False,en,,,,,,,,,,
78,Tue Jan 21 17:08:50 +0000 2020,1219668184040722432,1219668184040722432,RT @MUHealthEquity: Want to learn more about housing and food insecurity in our community?  @MUHealthEquity is hosting a session on Wed 1/2…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'MUHealthEquity', 'name': 'Marquette Health Equity', 'id': 1216923863327608832, 'id_str': '1216923863327608832', 'indices': [3, 18]}, {'screen_name': 'MUHealthEquity', 'name': 'Marquette Health Equity', 'id': 1216923863327608832, 'id_str': '1216923863327608832', 'indices': [92, 107]}]",[],en,recent,1135928145146777601,1135928145146777601,MU Biomedical Sciences Department,MU_BISC,"Milwaukee, WI","Marquette University's neuroscience research program, neuroscience PhD, pre-dental post-bacc program, and human-oriented & medical science undergraduate major.",https://t.co/evWdc5ud2c,"[{'url': 'https://t.co/evWdc5ud2c', 'expanded_url': 'https://www.marquette.edu/biomedical-sciences/', 'display_url': 'marquette.edu/biomedical-sci…', 'indices': [0, 23]}]",[],False,74,114,0,Tue Jun 04 15:15:49 +0000 2019,165,,,False,False,81,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1135928564929454080/m9NVFcTG_normal.jpg,https://pbs.twimg.com/profile_images/1135928564929454080/m9NVFcTG_normal.jpg,https://pbs.twimg.com/profile_banners/1135928145146777601/1559745866,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sat Jan 18 23:58:21 +0000 2020,1.21868408219802e+18,1218684082198020097,Want to learn more about housing and food insecurity in our community?  @MUHealthEquity is hosting a session on Wed 1/22 at noon in the @MarquetteU Physician Assistant building moderated by PA faculty member Josh Knox with panelists from @FriedensPantry Meta House and @MKEHousing,False,"[0, 280]",[],[],"[{'screen_name': 'MUHealthEquity', 'name': 'Marquette Health Equity', 'id': 1216923863327608832, 'id_str': '1216923863327608832', 'indices': [72, 87]}, {'screen_name': 'MarquetteU', 'name': 'Marquette University', 'id': 16743256, 'id_str': '16743256', 'indices': [136, 147]}, {'screen_name': 'FriedensPantry', 'name': 'Friedens Pantry', 'id': 199819887, 'id_str': '199819887', 'indices': [238, 253]}, {'screen_name': 'MKEHousing', 'name': 'MKEHousingAuthority', 'id': 42795031, 'id_str': '42795031', 'indices': [269, 280]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.2169238633276088e+18,1216923863327608832,Marquette Health Equity,MUHealthEquity,"Milwaukee, WI",Twitter account for public health equity research and education at Marquette University,,,[],False,13.0,19.0,0.0,Tue Jan 14 03:24:09 +0000 2020,1.0,,,False,False,2.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1216927939561959425/xbwB207K_normal.jpg,https://pbs.twimg.com/profile_images/1216927939561959425/xbwB207K_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,2.0,5.0,False,False,en,,,,,,,,,,
