,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,possibly_sensitive,entities.media,extended_entities.media
0,Sat Jan 25 22:46:52 +0000 2020,1221202807119929345,1221202807119929345,@PresGreg @MiamiRegionals @miamiuniversity What a great program. I’ll have to check this out for my son! Thanks for sharing.,False,"[43, 124]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211983526935634e+18,1221198352693563392,7.565915351232102e+17,756591535123210240,PresGreg,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'PresGreg', 'name': 'Greg Crawford', 'id': 756591535123210240, 'id_str': '756591535123210240', 'indices': [0, 9]}, {'screen_name': 'MiamiRegionals', 'name': 'MiamiOHRegionals', 'id': 763742062709731328, 'id_str': '763742062709731328', 'indices': [10, 25]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [26, 42]}]",[],en,recent,1070098961732722690,1070098961732722690,Kevin Miley,kevin_m_miley,"Oxford, OH",Believer • @miamiuniversity alumni • @Reds and @ChicagoBears fan • Grateful for this journey called life,,[],False,53,100,0,Tue Dec 04 23:34:08 +0000 2018,2190,,,True,False,1008,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1209279455354638339/oXraZh8e_normal.jpg,https://pbs.twimg.com/profile_images/1209279455354638339/oXraZh8e_normal.jpg,https://pbs.twimg.com/profile_banners/1070098961732722690/1546481972,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 15:47:52 +0000 2020,1221097362057236481,1221097362057236481,@jacque_rioja @MiamiOH_Global @miamiuniversity Thank you for sharing! 🙂,False,"[47, 71]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2210923084494193e+18,1221092308449419264,295857726.0,295857726,jacque_rioja,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'jacque_rioja', 'name': 'Jacqueline Rioja', 'id': 295857726, 'id_str': '295857726', 'indices': [0, 13]}, {'screen_name': 'MiamiOH_Global', 'name': 'MiamiOH Global', 'id': 864492818538127360, 'id_str': '864492818538127360', 'indices': [14, 29]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [30, 46]}]",[],en,recent,6691762,6691762,Annarita Ruberto,Nereide,Italy,Physics Masters Degree #Science #Maths |teacher trainer| Teaching| Education| Space| Astrophysics| #WomenInStem|Tech| ICT| ClassicCulture. https://t.co/PcnCxPcNHA,https://t.co/P7J9uOptKZ,"[{'url': 'https://t.co/PcnCxPcNHA', 'expanded_url': 'http://tutto-scienze.org', 'display_url': 'tutto-scienze.org', 'indices': [139, 162]}]",False,2116,778,59,Sat Jun 09 08:17:25 +0000 2007,26104,,,False,False,12428,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1204748944284225537/CXjkdEAG_normal.jpg,https://pbs.twimg.com/profile_images/1204748944284225537/CXjkdEAG_normal.jpg,https://pbs.twimg.com/profile_banners/6691762/1555084401,0000FF,87BC44,E0FF92,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/P7J9uOptKZ', 'expanded_url': 'https://www.lanostra-matematica.org/', 'display_url': 'lanostra-matematica.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,
13,Fri Jan 24 21:20:59 +0000 2020,1220818803824766981,1220818803824766981,"@IHHSChoirs @miamiuniversity An amazing experience for your students, we love Dr. Acord!",False,"[29, 88]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207966305400914e+18,1220796630540091392,7.360015006825513e+17,736001500682551296,IHHSChoirs,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'IHHSChoirs', 'name': 'Indian Hill Choirs', 'id': 736001500682551296, 'id_str': '736001500682551296', 'indices': [0, 11]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [12, 28]}]",[],en,recent,1172304966247170053,1172304966247170053,Miami University Voice,miamiohvoice,,The official Twitter of the Miami University voice program.,,[],False,27,109,0,Fri Sep 13 00:24:29 +0000 2019,3,,,False,False,18,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1172305288990470144/fix8cHZD_normal.jpg,https://pbs.twimg.com/profile_images/1172305288990470144/fix8cHZD_normal.jpg,https://pbs.twimg.com/profile_banners/1172304966247170053/1568822133,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Fri Jan 24 18:15:19 +0000 2020,1220772082398715905,1220772082398715905,Nice spending quality time w/ our partners @EnjoyOxfordOH at McCullough-Hyde Memorial Hospital @MHMHOxford. Thank you to Pres Michael Everett &amp; VP Pam Collins for your time and all you do for @MiamiUniversity. Grateful for your partnership keeping our community healthy &amp; fit!,False,"[0, 284]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,10,False,False,en,[],[],"[{'screen_name': 'EnjoyOxfordOH', 'name': 'Enjoy Oxford', 'id': 1537665320, 'id_str': '1537665320', 'indices': [43, 57]}, {'screen_name': 'MHMHOxford', 'name': 'McCullough Hyde Hosp', 'id': 545328848, 'id_str': '545328848', 'indices': [95, 106]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [196, 212]}]",[],en,recent,756591535123210240,756591535123210240,Greg Crawford,PresGreg,"Oxford, OH",@MiamiUniversity's 22nd president #MiamiOH #LoveandHonor,https://t.co/yYbJZm7nf2,[],False,8143,6633,43,Fri Jul 22 20:47:33 +0000 2016,8720,,,False,False,4598,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/756592950394679297/GDba2sVk_normal.jpg,https://pbs.twimg.com/profile_images/756592950394679297/GDba2sVk_normal.jpg,https://pbs.twimg.com/profile_banners/756591535123210240/1469220861,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/yYbJZm7nf2', 'expanded_url': 'http://miamioh.edu/about-miami/leadership/president/index.html', 'display_url': 'miamioh.edu/about-miami/le…', 'indices': [0, 23]}]",,,,,,,,,,,,,,
16,Fri Jan 24 18:13:31 +0000 2020,1220771627236982790,1220771627236982790,RT @BankUnited: @ubeme @miamiuniversity Awesome! Thanks for entering. Stay tuned during The Big Game to see which team goes for more! #GoFo…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'BankUnited', 'name': 'BankUnited', 'id': 193697939, 'id_str': '193697939', 'indices': [3, 14]}, {'screen_name': 'ubeme', 'name': 'Tina Kovach', 'id': 25001895, 'id_str': '25001895', 'indices': [16, 22]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [23, 39]}]",[],en,recent,25001895,25001895,Tina Kovach,ubeme,"Tremont, a CLE Neighborhood",Computer Science CLEMetroSchools https://t.co/0K7IpD7p2Y Determined to close the digital divide. MiamiOH '90 https://t.co/VfUBKI1o5P,https://t.co/seN1pnHFph,"[{'url': 'https://t.co/0K7IpD7p2Y', 'expanded_url': 'http://mrskovachcs.weebly.com/', 'display_url': 'mrskovachcs.weebly.com', 'indices': [33, 56]}, {'url': 'https://t.co/VfUBKI1o5P', 'expanded_url': 'http://DonorsChoose.org/MrsKovach', 'display_url': 'DonorsChoose.org/MrsKovach', 'indices': [109, 132]}]",False,843,1204,62,Wed Mar 18 01:37:25 +0000 2009,10954,,,True,False,11289,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1141436274831740928/OW4inC6W_normal.jpg,https://pbs.twimg.com/profile_images/1141436274831740928/OW4inC6W_normal.jpg,https://pbs.twimg.com/profile_banners/25001895/1508462098,0030B3,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,Fri Jan 24 18:11:55 +0000 2020,1.2207712264880538e+18,1220771226488053762,@ubeme @miamiuniversity Awesome! Thanks for entering. Stay tuned during The Big Game to see which team goes for more! #GoForMore54,False,"[24, 130]","[{'text': 'GoForMore54', 'indices': [118, 130]}]",[],"[{'screen_name': 'ubeme', 'name': 'Tina Kovach', 'id': 25001895, 'id_str': '25001895', 'indices': [0, 6]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [7, 23]}]",[],en,recent,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",1.2207693602576548e+18,1220769360257654784,25001895.0,25001895,ubeme,193697939.0,193697939,BankUnited,BankUnited,,"Go For More! https://t.co/E1zlXQF36y
Member FDIC",http://t.co/RJuKZ7yBU1,"[{'url': 'https://t.co/E1zlXQF36y', 'expanded_url': 'http://goformore54.com', 'display_url': 'goformore54.com', 'indices': [13, 36]}]",False,3332.0,305.0,25.0,Wed Sep 22 13:42:11 +0000 2010,2573.0,,,False,False,3780.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1187381086491480065/mlUIMpQo_normal.jpg,https://pbs.twimg.com/profile_images/1187381086491480065/mlUIMpQo_normal.jpg,https://pbs.twimg.com/profile_banners/193697939/1579191816,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,"[{'url': 'https://t.co/seN1pnHFph', 'expanded_url': 'https://www.amazon.com/hz/wishlist/ls/2X7T50LODDVN4?ref_=wl_share', 'display_url': 'amazon.com/hz/wishlist/ls…', 'indices': [0, 23]}]",,,,,,,,,,,"[{'url': 'http://t.co/RJuKZ7yBU1', 'expanded_url': 'http://www.bankunited.com', 'display_url': 'bankunited.com', 'indices': [0, 22]}]",,,
27,Thu Jan 23 17:30:55 +0000 2020,1220398517618978817,1220398517618978817,@Colin_Sebastian @AdamSinger @miamiuniversity best 4 years of my life!,False,"[46, 70]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220392747535913e+18,1220392747535912962,2864841.0,2864841,Colin_Sebastian,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Colin_Sebastian', 'name': 'Wall Street West Coast', 'id': 2864841, 'id_str': '2864841', 'indices': [0, 16]}, {'screen_name': 'AdamSinger', 'name': 'Adam Singer', 'id': 14031032, 'id_str': '14031032', 'indices': [17, 28]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [29, 45]}]",[],en,recent,160983113,160983113,Courtney Reagan,CourtReagan,New York City,"@CNBC reporter, alum @NYUStern @MiamiUniversity, marathons, country music & OSU football. Livin' the NYC dream but forever a proud Ohioan. Tips? retail@cnbc.com",https://t.co/OPub4UDJuD,[],False,49701,1597,807,Tue Jun 29 17:25:21 +0000 2010,7173,,,False,True,10866,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/553346805774434304/tVajfhpi_normal.jpeg,https://pbs.twimg.com/profile_images/553346805774434304/tVajfhpi_normal.jpeg,https://pbs.twimg.com/profile_banners/160983113/1467243840,009999,FFFFFF,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/OPub4UDJuD', 'expanded_url': 'http://www.cnbc.com', 'display_url': 'cnbc.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,
28,Thu Jan 23 17:30:46 +0000 2020,1220398481354973185,1220398481354973185,"I am disappointed to hear that my school thinks this is in any way acceptable.
@miamiuniversity
@PresGreg 
#MiamiMustdoMore",False,"[0, 123]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220397965883388e+18,1220397965883387904,95518163.0,95518163,FatherPlant,,,,,False,0,1,False,False,en,"[{'text': 'MiamiMustdoMore', 'indices': [107, 123]}]",[],"[{'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [79, 95]}, {'screen_name': 'PresGreg', 'name': 'Greg Crawford', 'id': 756591535123210240, 'id_str': '756591535123210240', 'indices': [96, 105]}]",[],en,recent,95518163,95518163,Joshua Ferneding,FatherPlant,Ohio,Political Science and Data Analytics. I'm going to put people in office. | Kathy for Ohio Intern (Ohio SD 4) | Tweets/retweets reflect my own opinions.,https://t.co/CpZvGaquXi,[],False,158,136,1,Tue Dec 08 22:38:44 +0000 2009,9241,,,True,False,1241,,False,False,False,FF0000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1191843233640390656/UW92wLF1_normal.jpg,https://pbs.twimg.com/profile_images/1191843233640390656/UW92wLF1_normal.jpg,https://pbs.twimg.com/profile_banners/95518163/1484270318,000000,EEEEEE,EFEFEF,09FF00,True,False,False,False,False,False,False,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/CpZvGaquXi', 'expanded_url': 'https://www.kathyforohio.com/', 'display_url': 'kathyforohio.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,
32,Thu Jan 23 00:47:19 +0000 2020,1220145953983860736,1220145953983860736,Nice to see a @miamiuniversity alum @ChadPergram covering our nation's news. Keep up the great work.,False,"[0, 100]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [14, 30]}, {'screen_name': 'ChadPergram', 'name': 'Chad Pergram', 'id': 16187637, 'id_str': '16187637', 'indices': [36, 48]}]",[],en,recent,3033434134,3033434134,Zachary Haines,hainesforohio,"Cincinnati, Ohio",Husband & Father | CEO @DPABuyingGroup | Trustee @MiamiUniversity | National Historian & Archivist @BetaThetaPi | God Bless America -- Opinions are my own.,https://t.co/GIdrkdGluJ,[],False,547,531,22,Thu Feb 12 20:39:10 +0000 2015,713,,,True,False,776,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/885681382319632384/Cs_O6kDG_normal.jpg,https://pbs.twimg.com/profile_images/885681382319632384/Cs_O6kDG_normal.jpg,https://pbs.twimg.com/profile_banners/3033434134/1565401564,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/GIdrkdGluJ', 'expanded_url': 'http://www.Facebook.com/HainesforOhio', 'display_url': 'Facebook.com/HainesforOhio', 'indices': [0, 23]}]",0160fe6c59b9f2a9,https://api.twitter.com/1.1/geo/id/0160fe6c59b9f2a9.json,city,Sixteen Mile Stand,"Sixteen Mile Stand, OH",US,United States,[],Polygon,"[[[-84.336852, 39.2638082], [-84.3126496, 39.2638082], [-84.3126496, 39.286729], [-84.336852, 39.286729]]]",,,,
38,Wed Jan 22 16:05:38 +0000 2020,1220014668800053253,1220014668800053253,"@mattsledge Oh come on! You of all people should appreciate this one! Squirrels are part of the magic that is @miamiuniversity! Some of them even talked to me when I was there (allegedly, on the Slant... after some late nights... I don’t want to talk about. 😁)",False,"[12, 260]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197445324865905e+18,1219744532486590466,1386831.0,1386831,mattsledge,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'mattsledge', 'name': 'Sledge', 'id': 1386831, 'id_str': '1386831', 'indices': [0, 11]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [110, 126]}]",[],en,recent,17998249,17998249,Brian Hoyt,OhioBrian,Central Ohio,"Proud father, husband, son, brother, @USNavy Vet, @Bengals, @MiamiUniversity fan and PR pro. I help tell the @JobsOhio story for work but opinions here are mine",https://t.co/eLjykfUH7q,[],False,2344,3204,76,Tue Dec 09 18:39:41 +0000 2008,21806,,,True,False,38363,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/928826574111150080/KTDlP73z_normal.jpg,https://pbs.twimg.com/profile_images/928826574111150080/KTDlP73z_normal.jpg,https://pbs.twimg.com/profile_banners/17998249/1542075525,18165F,000000,DDDFE0,3C3940,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/eLjykfUH7q', 'expanded_url': 'http://www.linkedin.com/in/ohiobrian/', 'display_url': 'linkedin.com/in/ohiobrian/', 'indices': [0, 23]}]",ce66852c89aa6582,https://api.twitter.com/1.1/geo/id/ce66852c89aa6582.json,city,Reynoldsburg,"Reynoldsburg, OH",US,United States,[],Polygon,"[[[-82.835601, 39.931348], [-82.693943, 39.931348], [-82.693943, 40.018293], [-82.835601, 40.018293]]]",,,,
41,Wed Jan 22 02:34:18 +0000 2020,1219810490467213313,1219810490467213313,"@SouthernKeeks @miamiuniversity School was great. Hours transferable, great environment for inner city kids and great instructors. Would recommend it to anyone.",False,"[32, 160]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219810111650259e+18,1219810111650258944,3335679053.0,3335679053,susanmreif,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SouthernKeeks', 'name': 'Kimberly Ross', 'id': 790805545, 'id_str': '790805545', 'indices': [0, 14]}, {'screen_name': 'miamiuniversity', 'name': 'Miami University', 'id': 42790918, 'id_str': '42790918', 'indices': [15, 31]}]",[],en,recent,3335679053,3335679053,Susan Reif,susanmreif,"Southwest, Ohio","Catholic, Blessed to be born in the U.S.A., Family, @miamiuniversity, Seeking the truth, @ledzeppelin fan, Retweets not always endorsements. ✌🏻out!",,[],False,3466,4436,13,Fri Jun 19 22:40:34 +0000 2015,116165,,,True,False,43390,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/878801673866629124/0yUqgvn9_normal.jpg,https://pbs.twimg.com/profile_images/878801673866629124/0yUqgvn9_normal.jpg,https://pbs.twimg.com/profile_banners/3335679053/1530677322,4A913C,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
