,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
2,Thu Jan 23 12:46:59 +0000 2020,1220327062981898240,1220327062981898240,@DrMazzucchelli @MurdochUni @ProfPaulGilbert @AustPsych Oh this is brilliant!!!!!,False,"[56, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220323973457531e+18,1220323973457530884,8.699030983485809e+17,869903098348580864,DrMazzucchelli,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'DrMazzucchelli', 'name': 'Trevor Mazzucchelli', 'id': 869903098348580864, 'id_str': '869903098348580864', 'indices': [0, 15]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [16, 27]}, {'screen_name': 'ProfPaulGilbert', 'name': 'Paul Gilbert OBE', 'id': 994871390, 'id_str': '994871390', 'indices': [28, 44]}, {'screen_name': 'AustPsych', 'name': 'Australian Psychological Society', 'id': 493664279, 'id_str': '493664279', 'indices': [45, 55]}]",[],en,recent,1266976189,1266976189,James N. Kirby,JamesNKirby,"Brisbane, Australia",Clinical Psychologist | PhD | Senior Lecturer @UQPsych | Co-Director Compassionate Mind Research Group | Visiting Scholar Stanford University @CCARE.,https://t.co/wwdY4fyIr5,"[{'url': 'https://t.co/wwdY4fyIr5', 'expanded_url': 'https://psychology.uq.edu.au/research/labs-groups/compassionate-mind', 'display_url': 'psychology.uq.edu.au/research/labs-…', 'indices': [0, 23]}]",[],False,3332,2403,91,Thu Mar 14 12:35:09 +0000 2013,11079,,,False,False,14337,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203856927077236736/tYyEkmHK_normal.jpg,https://pbs.twimg.com/profile_images/1203856927077236736/tYyEkmHK_normal.jpg,https://pbs.twimg.com/profile_banners/1266976189/1439301110,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Wed Jan 22 06:35:58 +0000 2020,1219871305631059969,1219871305631059969,RT @dr_njarmstrong: Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is h…,False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,13,0,False,False,en,[],[],"[{'screen_name': 'dr_njarmstrong', 'name': 'Nicola Armstrong', 'id': 3164762335, 'id_str': '3164762335', 'indices': [3, 18]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [107, 118]}]",[],en,recent,707740885,707740885,Craig Stevens,wavygk,,science*guitars=me plus past-President NZ Association of Scientists - joint CRI/Uni appointment. working mainly on ocean mixing. 🤸‍♂️,,,[],False,722,1140,20,Fri Jul 20 20:21:15 +0000 2012,14282,,,False,False,3418,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/792519545311285248/GEiXV6AN_normal.jpg,https://pbs.twimg.com/profile_images/792519545311285248/GEiXV6AN_normal.jpg,https://pbs.twimg.com/profile_banners/707740885/1499463638,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Tue Jan 21 04:31:28 +0000 2020,1.2194775877322301e+18,1219477587732230144,Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is having a better week than me!,False,"[0, 151]",[],[],"[{'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [87, 98]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,3164762335.0,3164762335,Nicola Armstrong,dr_njarmstrong,"Perth, Western Australia","Statistics, bioinformatics, genetics. Football mum. Views are my own.",http://t.co/Jajx6WYhE8,"[{'url': 'http://t.co/Jajx6WYhE8', 'expanded_url': 'http://murdoch.edu.au', 'display_url': 'murdoch.edu.au', 'indices': [0, 22]}]",[],False,575.0,209.0,17.0,Mon Apr 20 03:26:43 +0000 2015,1142.0,,,False,False,809.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_banners/3164762335/1579608353,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,13.0,13.0,False,False,en,,,,,,,,,,
8,Wed Jan 22 01:06:10 +0000 2020,1219788312728068096,1219788312728068096,RT @dr_njarmstrong: Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is h…,False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,13,0,False,False,en,[],[],"[{'screen_name': 'dr_njarmstrong', 'name': 'Nicola Armstrong', 'id': 3164762335, 'id_str': '3164762335', 'indices': [3, 18]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [107, 118]}]",[],en,recent,56066371,56066371,Barry Kissane,BarryKissane,Perth,"Mathematics teacher, keen on maths and technology. Father.  Sort-of retired from Murdoch University. Traveller. Tweets are my opinions. RTs not endorsements.",https://t.co/SmnnGOkgRi,"[{'url': 'https://t.co/SmnnGOkgRi', 'expanded_url': 'http://wwwstaff.murdoch.edu.au/~kissane', 'display_url': 'wwwstaff.murdoch.edu.au/~kissane', 'indices': [0, 23]}]",[],False,420,326,7,Sun Jul 12 10:37:30 +0000 2009,6864,,,True,False,12752,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/309714166/s1018532221_30122548_9920_normal.jpg,https://pbs.twimg.com/profile_images/309714166/s1018532221_30122548_9920_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Tue Jan 21 04:31:28 +0000 2020,1.2194775877322301e+18,1219477587732230144,Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is having a better week than me!,False,"[0, 151]",[],[],"[{'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [87, 98]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,3164762335.0,3164762335,Nicola Armstrong,dr_njarmstrong,"Perth, Western Australia","Statistics, bioinformatics, genetics. Football mum. Views are my own.",http://t.co/Jajx6WYhE8,"[{'url': 'http://t.co/Jajx6WYhE8', 'expanded_url': 'http://murdoch.edu.au', 'display_url': 'murdoch.edu.au', 'indices': [0, 22]}]",[],False,575.0,209.0,17.0,Mon Apr 20 03:26:43 +0000 2015,1142.0,,,False,False,809.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_banners/3164762335/1579608353,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,13.0,13.0,False,False,en,,,,,,,,,,
14,Tue Jan 21 14:31:06 +0000 2020,1219628488896012288,1219628488896012288,@camjpatrick @MurdochUni Alternative admission pathway by doing a year long certificate through @Perth_Anglican (largely taught by Murdoch affiliated lectures) :),False,"[25, 162]","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",1.2195504067846062e+18,1219550406784606208,1.179330047120773e+18,1179330047120773120,camjpatrick,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'camjpatrick', 'name': 'Cameron Patrick', 'id': 1179330047120773120, 'id_str': '1179330047120773120', 'indices': [0, 12]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [13, 24]}, {'screen_name': 'Perth_Anglican', 'name': 'Diocese of Perth', 'id': 1696484648, 'id_str': '1696484648', 'indices': [96, 111]}]",[],en,recent,14828053,14828053,Grahame,GrahameBowland,"Perth, Western Australia","“Perth based data wonk.” I’m a fan of peace, nonviolence, gardening, and the excellent frogs who live by my pond. Theological student.🕊️☧☘️⚓💾🔬",https://t.co/SSXyZJRZin,"[{'url': 'https://t.co/SSXyZJRZin', 'expanded_url': 'https://oreamnos.com.au', 'display_url': 'oreamnos.com.au', 'indices': [0, 23]}]",[],False,2034,1631,111,Mon May 19 03:38:39 +0000 2008,11192,,,True,False,5045,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1064373845233029122/qsggP3mS_normal.jpg,https://pbs.twimg.com/profile_images/1064373845233029122/qsggP3mS_normal.jpg,https://pbs.twimg.com/profile_banners/14828053/1535280289,4A913C,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tue Jan 21 10:28:54 +0000 2020,1219567539446923264,1219567539446923264,RT @dr_njarmstrong: Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is h…,False,"[0, 144]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,13,0,False,False,en,[],[],"[{'screen_name': 'dr_njarmstrong', 'name': 'Nicola Armstrong', 'id': 3164762335, 'id_str': '3164762335', 'indices': [3, 18]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [107, 118]}]",[],en,recent,126730564,126730564,Yali Jiménez,yalimayjimenez,"Perth, Western Australia",🇻🇪 🇦🇺 PhD Candidate / Mineral Exploration + Geochemical/Geological Mapping + Org Geochemist + Microbiology + Coding in R @GeoLatinas @homewardbound16,,,[],False,376,1672,5,Fri Mar 26 20:25:09 +0000 2010,3173,,,False,False,1193,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1076515286595977216/UmC2WIj8_normal.jpg,https://pbs.twimg.com/profile_images/1076515286595977216/UmC2WIj8_normal.jpg,https://pbs.twimg.com/profile_banners/126730564/1549214000,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,Tue Jan 21 04:31:28 +0000 2020,1.2194775877322301e+18,1219477587732230144,Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is having a better week than me!,False,"[0, 151]",[],[],"[{'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [87, 98]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,3164762335.0,3164762335,Nicola Armstrong,dr_njarmstrong,"Perth, Western Australia","Statistics, bioinformatics, genetics. Football mum. Views are my own.",http://t.co/Jajx6WYhE8,"[{'url': 'http://t.co/Jajx6WYhE8', 'expanded_url': 'http://murdoch.edu.au', 'display_url': 'murdoch.edu.au', 'indices': [0, 22]}]",[],False,575.0,209.0,17.0,Mon Apr 20 03:26:43 +0000 2015,1142.0,,,False,False,809.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_banners/3164762335/1579608353,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,13.0,13.0,False,False,en,,,,,,,,,,
20,Tue Jan 21 10:11:24 +0000 2020,1219563135792627713,1219563135792627713,RT @dr_njarmstrong: Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is h…,False,"[0, 144]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,13,0,False,False,en,[],[],"[{'screen_name': 'dr_njarmstrong', 'name': 'Nicola Armstrong', 'id': 3164762335, 'id_str': '3164762335', 'indices': [3, 18]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [107, 118]}]",[],en,recent,786048823340576768,786048823340576768,Mathew Ling,lingtax,"Wurundjeri country,  Australia","Psych lecturer, Agnotologist, & scientist at https://t.co/Q00bVyRN7c & @MelbOpenRes 
Advocates #rstats, #OpenResearch, & #inclusion
Views my own.",https://t.co/vdXwgxNGzZ,"[{'url': 'https://t.co/vdXwgxNGzZ', 'expanded_url': 'http://mathewling.com', 'display_url': 'mathewling.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/Q00bVyRN7c', 'expanded_url': 'http://misinformationlab.com', 'display_url': 'misinformationlab.com', 'indices': [45, 68]}]",False,1255,1472,24,Wed Oct 12 03:40:18 +0000 2016,49665,,,True,False,10286,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/786362900868804608/4UU5f_w6_normal.jpg,https://pbs.twimg.com/profile_images/786362900868804608/4UU5f_w6_normal.jpg,https://pbs.twimg.com/profile_banners/786048823340576768/1522647311,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,Tue Jan 21 04:31:28 +0000 2020,1.2194775877322301e+18,1219477587732230144,Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is having a better week than me!,False,"[0, 151]",[],[],"[{'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [87, 98]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,3164762335.0,3164762335,Nicola Armstrong,dr_njarmstrong,"Perth, Western Australia","Statistics, bioinformatics, genetics. Football mum. Views are my own.",http://t.co/Jajx6WYhE8,"[{'url': 'http://t.co/Jajx6WYhE8', 'expanded_url': 'http://murdoch.edu.au', 'display_url': 'murdoch.edu.au', 'indices': [0, 22]}]",[],False,575.0,209.0,17.0,Mon Apr 20 03:26:43 +0000 2015,1142.0,,,False,False,809.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_banners/3164762335/1579608353,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,13.0,13.0,False,False,en,,,,,,,,,,
27,Tue Jan 21 08:47:47 +0000 2020,1219542091287556097,1219542091287556097,RT @dr_njarmstrong: Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is h…,False,"[0, 144]","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",,,,,,,,,,False,13,0,False,False,en,[],[],"[{'screen_name': 'dr_njarmstrong', 'name': 'Nicola Armstrong', 'id': 3164762335, 'id_str': '3164762335', 'indices': [3, 18]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [107, 118]}]",[],en,recent,71225573,71225573,Amie Albrecht,nomad_penguin,"Kaurna land (UniSA, Adelaide)",Assoc Professor. Mathematician and educator. PhD Math. MTeach underway. Procaffeinator. Tsundoku master. Uses fewer exclamation marks IRL. She/They. #read2020,https://t.co/5uCL3Hxubn,"[{'url': 'https://t.co/5uCL3Hxubn', 'expanded_url': 'http://amiealbrecht.com', 'display_url': 'amiealbrecht.com', 'indices': [0, 23]}]",[],False,3805,536,108,Thu Sep 03 10:55:00 +0000 2009,32326,,,True,False,33677,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1208322230393786368/BiyN0C9z_normal.jpg,https://pbs.twimg.com/profile_images/1208322230393786368/BiyN0C9z_normal.jpg,https://pbs.twimg.com/profile_banners/71225573/1513813928,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,Tue Jan 21 04:31:28 +0000 2020,1.2194775877322301e+18,1219477587732230144,Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is having a better week than me!,False,"[0, 151]",[],[],"[{'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [87, 98]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,3164762335.0,3164762335,Nicola Armstrong,dr_njarmstrong,"Perth, Western Australia","Statistics, bioinformatics, genetics. Football mum. Views are my own.",http://t.co/Jajx6WYhE8,"[{'url': 'http://t.co/Jajx6WYhE8', 'expanded_url': 'http://murdoch.edu.au', 'display_url': 'murdoch.edu.au', 'indices': [0, 22]}]",[],False,575.0,209.0,17.0,Mon Apr 20 03:26:43 +0000 2015,1142.0,,,False,False,809.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_banners/3164762335/1579608353,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,13.0,13.0,False,False,en,,,,,,,,,,
29,Tue Jan 21 08:28:20 +0000 2020,1219537198988447744,1219537198988447744,"My application to enrol in a Masters of Theological Studies at @MurdochUni  (upgrading from the Grad Dip) was just approved! Theology and Biblical Studies at Murdoch is really excellent, glad to be keeping going with it 😌",False,"[0, 221]","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",,,,,,,,,,False,0,14,False,False,en,[],[],"[{'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [63, 74]}]",[],en,recent,14828053,14828053,Grahame,GrahameBowland,"Perth, Western Australia","“Perth based data wonk.” I’m a fan of peace, nonviolence, gardening, and the excellent frogs who live by my pond. Theological student.🕊️☧☘️⚓💾🔬",https://t.co/SSXyZJRZin,"[{'url': 'https://t.co/SSXyZJRZin', 'expanded_url': 'https://oreamnos.com.au', 'display_url': 'oreamnos.com.au', 'indices': [0, 23]}]",[],False,2034,1631,111,Mon May 19 03:38:39 +0000 2008,11192,,,True,False,5045,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1064373845233029122/qsggP3mS_normal.jpg,https://pbs.twimg.com/profile_images/1064373845233029122/qsggP3mS_normal.jpg,https://pbs.twimg.com/profile_banners/14828053/1535280289,4A913C,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Tue Jan 21 05:33:26 +0000 2020,1219493180682293248,1219493180682293248,RT @dr_njarmstrong: Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is h…,False,"[0, 144]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,13,0,False,False,en,[],[],"[{'screen_name': 'dr_njarmstrong', 'name': 'Nicola Armstrong', 'id': 3164762335, 'id_str': '3164762335', 'indices': [3, 18]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [107, 118]}]",[],en,recent,2507262852,2507262852,Dale Maschette 🐟🧗‍♂️,Dale_Masch,"Hobart, Tasmania","Marine Scientist/ Fisheries Researcher! Interested in all things science. Based at IMAS and AAD All opinions expressed are my own, or someone else’s. They/Them",,,[],False,995,1252,15,Mon May 19 12:14:10 +0000 2014,26293,,,True,False,6860,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1029667348951617537/XHneW8ok_normal.jpg,https://pbs.twimg.com/profile_images/1029667348951617537/XHneW8ok_normal.jpg,https://pbs.twimg.com/profile_banners/2507262852/1551151036,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,Tue Jan 21 04:31:28 +0000 2020,1.2194775877322301e+18,1219477587732230144,Just got told that the maths &amp; stats course will cease to exist from semester 2 at @MurdochUni. Hope everyone else is having a better week than me!,False,"[0, 151]",[],[],"[{'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [87, 98]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,3164762335.0,3164762335,Nicola Armstrong,dr_njarmstrong,"Perth, Western Australia","Statistics, bioinformatics, genetics. Football mum. Views are my own.",http://t.co/Jajx6WYhE8,"[{'url': 'http://t.co/Jajx6WYhE8', 'expanded_url': 'http://murdoch.edu.au', 'display_url': 'murdoch.edu.au', 'indices': [0, 22]}]",[],False,575.0,209.0,17.0,Mon Apr 20 03:26:43 +0000 2015,1142.0,,,False,False,809.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_images/653171323162640384/BwtJ-HWS_normal.jpg,https://pbs.twimg.com/profile_banners/3164762335/1579608353,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,13.0,13.0,False,False,en,,,,,,,,,,
33,Tue Jan 21 05:32:47 +0000 2020,1219493020845760512,1219493020845760512,"@dr_njarmstrong @MurdochUni Wtf @MurdochUni I already tell people that when I graduated Murdoch the biggest weakness I had was not enough stats, so now there is going to be none?",False,"[28, 178]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2194775877322301e+18,1219477587732230144,3164762335.0,3164762335,dr_njarmstrong,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'dr_njarmstrong', 'name': 'Nicola Armstrong', 'id': 3164762335, 'id_str': '3164762335', 'indices': [0, 15]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [16, 27]}, {'screen_name': 'MurdochUni', 'name': 'Murdoch University', 'id': 40178908, 'id_str': '40178908', 'indices': [32, 43]}]",[],en,recent,2507262852,2507262852,Dale Maschette 🐟🧗‍♂️,Dale_Masch,"Hobart, Tasmania","Marine Scientist/ Fisheries Researcher! Interested in all things science. Based at IMAS and AAD All opinions expressed are my own, or someone else’s. They/Them",,,[],False,995,1252,15,Mon May 19 12:14:10 +0000 2014,26293,,,True,False,6860,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1029667348951617537/XHneW8ok_normal.jpg,https://pbs.twimg.com/profile_images/1029667348951617537/XHneW8ok_normal.jpg,https://pbs.twimg.com/profile_banners/2507262852/1551151036,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
