,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
4,Sat Jan 25 21:49:40 +0000 2020,1221188409647095808,1221188409647095808,"@eayers0 @nyuniversity @PublicDomainRev @NewYorker @aAcciavatti_sc Oh goodness, that's so nice to hear - thank you Elaine!",False,"[67, 122]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221116181513474e+18,1221116181513474050,3988062023.0,3988062023,eayers0,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'eayers0', 'name': 'Elaine Ayers', 'id': 3988062023, 'id_str': '3988062023', 'indices': [0, 8]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [9, 22]}, {'screen_name': 'PublicDomainRev', 'name': 'Public Domain Review', 'id': 203307838, 'id_str': '203307838', 'indices': [23, 39]}, {'screen_name': 'NewYorker', 'name': 'The New Yorker', 'id': 14677919, 'id_str': '14677919', 'indices': [40, 50]}, {'screen_name': 'aAcciavatti_sc', 'name': 'Anthony Acciavatti', 'id': 3207132527, 'id_str': '3207132527', 'indices': [51, 66]}]",[],en,recent,2316224708,2316224708,Philip Ball,philipcball,"London, UK","Author, writer and broadcaster, mostly about science. Books include The Music Instinct, Curiosity, Critical Mass. Obsessed by (too) many things.",http://t.co/3OlsUhiGPS,[],False,11051,165,358,Tue Jan 28 23:56:29 +0000 2014,7134,,,False,False,17013,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/721792442555637761/FrRLh7cg_normal.jpg,https://pbs.twimg.com/profile_images/721792442555637761/FrRLh7cg_normal.jpg,https://pbs.twimg.com/profile_banners/2316224708/1560988817,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'http://t.co/3OlsUhiGPS', 'expanded_url': 'http://www.philipball.co.uk', 'display_url': 'philipball.co.uk', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 21:42:08 +0000 2020,1221186515163926528,1221186515163926528,"@philipcball @eayers0 @nyuniversity @PublicDomainRev @NewYorker @aAcciavatti_sc Finally ordered and received this work. Looking forward to devouring it.  I hope it explains some of the ‘things I see’ that other people don’t.   I know, I should give up on having ‘special powers’ by now.",False,"[80, 286]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211136742466314e+18,1221113674246631424,2316224708.0,2316224708,philipcball,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'philipcball', 'name': 'Philip Ball', 'id': 2316224708, 'id_str': '2316224708', 'indices': [0, 12]}, {'screen_name': 'eayers0', 'name': 'Elaine Ayers', 'id': 3988062023, 'id_str': '3988062023', 'indices': [13, 21]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [22, 35]}, {'screen_name': 'PublicDomainRev', 'name': 'Public Domain Review', 'id': 203307838, 'id_str': '203307838', 'indices': [36, 52]}, {'screen_name': 'NewYorker', 'name': 'The New Yorker', 'id': 14677919, 'id_str': '14677919', 'indices': [53, 63]}, {'screen_name': 'aAcciavatti_sc', 'name': 'Anthony Acciavatti', 'id': 3207132527, 'id_str': '3207132527', 'indices': [64, 79]}]",[],en,recent,3109380527,3109380527,Ms. Lourdes Marrero,Galileasun,"Miami,Fl","Fascinated by solar activity, plate tectonics, meteorology, physics, general geekdom. Climate Change believer. Please no politics or conspiracy theories.",,[],False,238,1422,42,Tue Mar 24 03:43:17 +0000 2015,10503,,,True,False,12651,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/580961841691656192/OLFmb7H8_normal.jpg,https://pbs.twimg.com/profile_images/580961841691656192/OLFmb7H8_normal.jpg,https://pbs.twimg.com/profile_banners/3109380527/1427347071,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 18:04:09 +0000 2020,1221131660277751808,1221131660277751808,@ferenjamin @eayers0 @nyuniversity Thanks!!,False,"[35, 43]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221127561956221e+18,1221127561956220932,2874771314.0,2874771314,ferenjamin,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'ferenjamin', 'name': 'ben rearick', 'id': 2874771314, 'id_str': '2874771314', 'indices': [0, 11]}, {'screen_name': 'eayers0', 'name': 'Elaine Ayers', 'id': 3988062023, 'id_str': '3988062023', 'indices': [12, 20]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [21, 34]}]",[],en,recent,15465094,15465094,andrea thomer,an_dre_a_,"Ann Arbor, MI","assistant professor, @UMSI. Data curation, data practices, science of museum/earth/biodiversity science. deep time.",https://t.co/cRsFzCM5by,[],False,907,900,62,Thu Jul 17 06:36:03 +0000 2008,2229,,,True,False,4579,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1046871237450977280/cIf-vLKO_normal.jpg,https://pbs.twimg.com/profile_images/1046871237450977280/cIf-vLKO_normal.jpg,https://pbs.twimg.com/profile_banners/15465094/1400105452,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/cRsFzCM5by', 'expanded_url': 'http://www.akthomer.com', 'display_url': 'akthomer.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sat Jan 25 17:47:52 +0000 2020,1221127561956220932,1221127561956220932,"@eayers0 @nyuniversity Might be of interest to you, @an_dre_a_!",False,"[23, 63]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207952388910408e+18,1220795238891040768,3988062023.0,3988062023,eayers0,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'eayers0', 'name': 'Elaine Ayers', 'id': 3988062023, 'id_str': '3988062023', 'indices': [0, 8]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [9, 22]}, {'screen_name': 'an_dre_a_', 'name': 'andrea thomer', 'id': 15465094, 'id_str': '15465094', 'indices': [52, 62]}]",[],en,recent,2874771314,2874771314,ben rearick,ferenjamin,"Pullman, WA","Web Librarian #LibUX | Alum: Peace Corps Ethiopia 🇪🇹, @umsi| bud to @fourfooters | he/him",,[],False,1252,765,40,Fri Oct 24 07:46:23 +0000 2014,29255,,,True,False,349,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1005193427984662528/_zHLehsj_normal.jpg,https://pbs.twimg.com/profile_images/1005193427984662528/_zHLehsj_normal.jpg,https://pbs.twimg.com/profile_banners/2874771314/1576209934,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 17:46:37 +0000 2020,1221127246712320002,1221127246712320002,@MattJohnsonTX @nyuniversity @lubar @harvartmuseums I'll send some stuff your way! I have a standard history + theory of museums syllabus that our 1st year grad students are required to take every year--it's a broad survey but a good starting point. Just DM me your email?,False,"[52, 272]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221126373990916e+18,1221126373990916096,715186909.0,715186909,MattJohnsonTX,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MattJohnsonTX', 'name': 'MattJohnson', 'id': 715186909, 'id_str': '715186909', 'indices': [0, 14]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [15, 28]}, {'screen_name': 'lubar', 'name': 'Steven Lubar', 'id': 19814678, 'id_str': '19814678', 'indices': [29, 35]}, {'screen_name': 'harvartmuseums', 'name': 'Harvard Art Museums', 'id': 132291445, 'id_str': '132291445', 'indices': [36, 51]}]",[],en,recent,3988062023,3988062023,Elaine Ayers,eayers0,"Philadelphia, PA / NYC",Historian of art + science // Professor of Museum Studies at @NYuniversity // PhD in History of Science from Princeton.,https://t.co/GoKwYcUHe9,[],False,1333,1061,45,Sun Oct 18 16:02:11 +0000 2015,5440,,,False,False,4221,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_banners/3988062023/1531408621,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/GoKwYcUHe9', 'expanded_url': 'http://elaineayers.com/', 'display_url': 'elaineayers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sat Jan 25 17:45:08 +0000 2020,1221126873788428290,1221126873788428290,"@MattJohnsonTX @nyuniversity @lubar @harvartmuseums For sure--there's a lot to that ""cathedral of science"" narrative. I'm working on herbaria right now but started this all interested in the divide between botanical gardens (esp. glasshouses) + nat hist museums.",False,"[52, 262]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211256063157862e+18,1221125606315786243,715186909.0,715186909,MattJohnsonTX,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MattJohnsonTX', 'name': 'MattJohnson', 'id': 715186909, 'id_str': '715186909', 'indices': [0, 14]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [15, 28]}, {'screen_name': 'lubar', 'name': 'Steven Lubar', 'id': 19814678, 'id_str': '19814678', 'indices': [29, 35]}, {'screen_name': 'harvartmuseums', 'name': 'Harvard Art Museums', 'id': 132291445, 'id_str': '132291445', 'indices': [36, 51]}]",[],en,recent,3988062023,3988062023,Elaine Ayers,eayers0,"Philadelphia, PA / NYC",Historian of art + science // Professor of Museum Studies at @NYuniversity // PhD in History of Science from Princeton.,https://t.co/GoKwYcUHe9,[],False,1333,1061,45,Sun Oct 18 16:02:11 +0000 2015,5440,,,False,False,4221,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_banners/3988062023/1531408621,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/GoKwYcUHe9', 'expanded_url': 'http://elaineayers.com/', 'display_url': 'elaineayers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat Jan 25 17:33:32 +0000 2020,1221123953374236679,1221123953374236679,@MattJohnsonTX @nyuniversity Oh AMAZING--I'd love to see any materials you have on this. I love @lubar's work on the Lost Museum + the Philosophy Chamber project at @harvartmuseums on this. This sounds so awesome.,False,"[29, 213]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211233648713974e+18,1221123364871397376,715186909.0,715186909,MattJohnsonTX,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'MattJohnsonTX', 'name': 'MattJohnson', 'id': 715186909, 'id_str': '715186909', 'indices': [0, 14]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [15, 28]}, {'screen_name': 'lubar', 'name': 'Steven Lubar', 'id': 19814678, 'id_str': '19814678', 'indices': [96, 102]}, {'screen_name': 'harvartmuseums', 'name': 'Harvard Art Museums', 'id': 132291445, 'id_str': '132291445', 'indices': [165, 180]}]",[],en,recent,3988062023,3988062023,Elaine Ayers,eayers0,"Philadelphia, PA / NYC",Historian of art + science // Professor of Museum Studies at @NYuniversity // PhD in History of Science from Princeton.,https://t.co/GoKwYcUHe9,[],False,1333,1061,45,Sun Oct 18 16:02:11 +0000 2015,5440,,,False,False,4221,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_banners/3988062023/1531408621,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/GoKwYcUHe9', 'expanded_url': 'http://elaineayers.com/', 'display_url': 'elaineayers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sat Jan 25 17:20:01 +0000 2020,1221120552393498624,1221120552393498624,@resuitener @shannonmattern @nyuniversity Thanks! I'll be tweeting about it this semester (we've got some GREAT images to work with).,False,"[42, 133]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211190796810772e+18,1221119079681077249,340559759.0,340559759,resuitener,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'resuitener', 'name': 'Yvonne Caruthers 🔥', 'id': 340559759, 'id_str': '340559759', 'indices': [0, 11]}, {'screen_name': 'shannonmattern', 'name': 'Shannon Mattern', 'id': 357916553, 'id_str': '357916553', 'indices': [12, 27]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [28, 41]}]",[],en,recent,3988062023,3988062023,Elaine Ayers,eayers0,"Philadelphia, PA / NYC",Historian of art + science // Professor of Museum Studies at @NYuniversity // PhD in History of Science from Princeton.,https://t.co/GoKwYcUHe9,[],False,1333,1061,45,Sun Oct 18 16:02:11 +0000 2015,5440,,,False,False,4221,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_banners/3988062023/1531408621,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/GoKwYcUHe9', 'expanded_url': 'http://elaineayers.com/', 'display_url': 'elaineayers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sat Jan 25 17:13:11 +0000 2020,1221118830543548420,1221118830543548420,@shannonmattern @nyuniversity Thank you! Very excited that it's my only class this semester (besides an independent study) and that it overlaps so heavily with my work--hoping I can get some serious writing done alongside it.,False,"[30, 225]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211181805606584e+18,1221118180560658435,357916553.0,357916553,shannonmattern,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'shannonmattern', 'name': 'Shannon Mattern', 'id': 357916553, 'id_str': '357916553', 'indices': [0, 15]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [16, 29]}]",[],en,recent,3988062023,3988062023,Elaine Ayers,eayers0,"Philadelphia, PA / NYC",Historian of art + science // Professor of Museum Studies at @NYuniversity // PhD in History of Science from Princeton.,https://t.co/GoKwYcUHe9,[],False,1333,1061,45,Sun Oct 18 16:02:11 +0000 2015,5440,,,False,False,4221,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_banners/3988062023/1531408621,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/GoKwYcUHe9', 'expanded_url': 'http://elaineayers.com/', 'display_url': 'elaineayers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sat Jan 25 17:12:15 +0000 2020,1221118597864591360,1221118597864591360,"@brcohen95 @nyuniversity @MPoltonSimon (By the way, I'm sure my friend @julias_tone already knows your work, but here's a virtual intro! She's working on artificial sweeteners at @Princeton.)",False,"[39, 191]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211172529777992e+18,1221117252977799169,2979728506.0,2979728506,brcohen95,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'brcohen95', 'name': 'B.R. Cohen', 'id': 2979728506, 'id_str': '2979728506', 'indices': [0, 10]}, {'screen_name': 'nyuniversity', 'name': 'New York University', 'id': 28421825, 'id_str': '28421825', 'indices': [11, 24]}, {'screen_name': 'MPoltonSimon', 'name': 'Michelle Polton-Simon', 'id': 1655839400, 'id_str': '1655839400', 'indices': [25, 38]}, {'screen_name': 'julias_tone', 'name': 'Julia Stone', 'id': 1090259858190974976, 'id_str': '1090259858190974976', 'indices': [71, 83]}, {'screen_name': 'Princeton', 'name': 'Princeton University', 'id': 5694822, 'id_str': '5694822', 'indices': [179, 189]}]",[],en,recent,3988062023,3988062023,Elaine Ayers,eayers0,"Philadelphia, PA / NYC",Historian of art + science // Professor of Museum Studies at @NYuniversity // PhD in History of Science from Princeton.,https://t.co/GoKwYcUHe9,[],False,1333,1061,45,Sun Oct 18 16:02:11 +0000 2015,5440,,,False,False,4221,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_images/1085539986974429185/nr1Z7dkR_normal.jpg,https://pbs.twimg.com/profile_banners/3988062023/1531408621,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/GoKwYcUHe9', 'expanded_url': 'http://elaineayers.com/', 'display_url': 'elaineayers.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
