,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.scopes.followers,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
0,Sat Jan 25 22:13:52 +0000 2020,1221194502800625664,1221194502800625664,Should I DM my college crush? He’s a basketball player in Europe now 😂 talking to my friends on snap about him makes me feel like I’m back in my @NIUlive days 😂,False,"[0, 160]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [145, 153]}]",[],en,recent,1059892379002511362,1059892379002511362,Pennsy Dreamin’,PennsyDreamin,The Keystone State,25. Dog Mom. Greek Alum. Sports Fan. LSUE’22 #PAanon,,[],False,396,571,2,Tue Nov 06 19:36:49 +0000 2018,17830,,,False,False,8423,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1218002877182103552/5Cs43gL0_normal.jpg,https://pbs.twimg.com/profile_images/1218002877182103552/5Cs43gL0_normal.jpg,https://pbs.twimg.com/profile_banners/1059892379002511362/1579245467,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 16:02:31 +0000 2020,1221101047567015936,1221101047567015936,RT @husk_experience: HUSKIE STUDENT VOTER DRIVE THIS MONDAY 1/27 in SAASS from 7-9pm!! Please spread the word &amp; come register to vote! #Hus…,False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'husk_experience', 'name': 'Huskie Experience', 'id': 3309557159, 'id_str': '3309557159', 'indices': [3, 19]}]",[],en,recent,375621233,375621233,Dr. Marlo Barnett,marlobarnett,"Chicago, IL","Running for State Representative in the 27th District, VP @CSForIL, Board Director @Niu_alumni, SiteSupervsr @GCU Retweets R not Endorsements",https://t.co/6eZT3QDy7a,[],False,1809,3610,67,Sun Sep 18 13:08:41 +0000 2011,21910,,,True,False,28537,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/467721386396753922/04aD31_l_normal.jpeg,https://pbs.twimg.com/profile_images/467721386396753922/04aD31_l_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/6eZT3QDy7a', 'expanded_url': 'http://www.MarloBarnettt2020.com', 'display_url': 'MarloBarnettt2020.com', 'indices': [0, 23]}]",Fri Jan 24 21:57:32 +0000 2020,1.2208280026841539e+18,1220828002684153868,HUSKIE STUDENT VOTER DRIVE THIS MONDAY 1/27 in SAASS from 7-9pm!! Please spread the word &amp; come register to vote! #HuskiesVote2020 #GOTV #GoVote @NIUlive @NIUAthletics,False,"[0, 171]","[{'text': 'HuskiesVote2020', 'indices': [118, 134]}, {'text': 'GOTV', 'indices': [135, 140]}, {'text': 'GoVote', 'indices': [141, 148]}]",[],"[{'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [149, 157]}, {'screen_name': 'NIUAthletics', 'name': 'NIU Huskie Athletics', 'id': 55640423, 'id_str': '55640423', 'indices': [158, 171]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3309557159.0,3309557159,Huskie Experience,husk_experience,"DeKalb, IL",Northern Illinois University Athletics Student-Athlete Development Program huskie-experience@niu.edu,http://t.co/jZY6ORI52R,"[{'url': 'http://t.co/jZY6ORI52R', 'expanded_url': 'http://www.niuhuskies.com/ot/niu-lifeskills-home.html', 'display_url': 'niuhuskies.com/ot/niu-lifeski…', 'indices': [0, 22]}]",[],False,536.0,177.0,2.0,Fri Jun 05 18:00:15 +0000 2015,1240.0,,,True,False,1769.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_banners/3309557159/1449595105,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,6.0,8.0,False,False,en,,,,,,,,,,,
3,Sat Jan 25 13:31:33 +0000 2020,1221063057650176001,1221063057650176001,RT @husk_experience: HUSKIE STUDENT VOTER DRIVE THIS MONDAY 1/27 in SAASS from 7-9pm!! Please spread the word &amp; come register to vote! #Hus…,False,"[0, 144]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'husk_experience', 'name': 'Huskie Experience', 'id': 3309557159, 'id_str': '3309557159', 'indices': [3, 19]}]",[],en,recent,14608802,14608802,Jason Klein,jasonklein,"Chicago, USA","Current-Director of P-20 Initiatives at @P20Network @NIULive & Learner - Previous-Teacher, Principal, Assistant Superintendent - Also family-bikes-photos",,[],False,2585,3117,233,Thu May 01 01:33:17 +0000 2008,23885,,,True,False,28028,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1543111989/JasonRedWallStanding_normal.jpg,https://pbs.twimg.com/profile_images/1543111989/JasonRedWallStanding_normal.jpg,https://pbs.twimg.com/profile_banners/14608802/1438520853,0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none,,Fri Jan 24 21:57:32 +0000 2020,1.2208280026841539e+18,1220828002684153868,HUSKIE STUDENT VOTER DRIVE THIS MONDAY 1/27 in SAASS from 7-9pm!! Please spread the word &amp; come register to vote! #HuskiesVote2020 #GOTV #GoVote @NIUlive @NIUAthletics,False,"[0, 171]","[{'text': 'HuskiesVote2020', 'indices': [118, 134]}, {'text': 'GOTV', 'indices': [135, 140]}, {'text': 'GoVote', 'indices': [141, 148]}]",[],"[{'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [149, 157]}, {'screen_name': 'NIUAthletics', 'name': 'NIU Huskie Athletics', 'id': 55640423, 'id_str': '55640423', 'indices': [158, 171]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3309557159.0,3309557159,Huskie Experience,husk_experience,"DeKalb, IL",Northern Illinois University Athletics Student-Athlete Development Program huskie-experience@niu.edu,http://t.co/jZY6ORI52R,"[{'url': 'http://t.co/jZY6ORI52R', 'expanded_url': 'http://www.niuhuskies.com/ot/niu-lifeskills-home.html', 'display_url': 'niuhuskies.com/ot/niu-lifeski…', 'indices': [0, 22]}]",[],False,536.0,177.0,2.0,Fri Jun 05 18:00:15 +0000 2015,1240.0,,,True,False,1769.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_banners/3309557159/1449595105,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,6.0,8.0,False,False,en,,,,,,,,,,,
4,Sat Jan 25 02:48:21 +0000 2020,1220901188696203265,1220901188696203265,RT @husk_experience: HUSKIE STUDENT VOTER DRIVE THIS MONDAY 1/27 in SAASS from 7-9pm!! Please spread the word &amp; come register to vote! #Hus…,False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'husk_experience', 'name': 'Huskie Experience', 'id': 3309557159, 'id_str': '3309557159', 'indices': [3, 19]}]",[],en,recent,1051664311,1051664311,Matt Streb,NIUChiefofStaff,"DeKalb, IL",Chief of Staff and Professor of Political Science at Northern Illinois University.,https://t.co/WegLYQolcC,[],False,1110,493,19,Tue Jan 01 02:36:51 +0000 2013,5809,,,True,False,4205,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3056758999/37fea8a628e92205baaa9d5daa361154_normal.jpeg,https://pbs.twimg.com/profile_images/3056758999/37fea8a628e92205baaa9d5daa361154_normal.jpeg,https://pbs.twimg.com/profile_banners/1051664311/1450895071,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/WegLYQolcC', 'expanded_url': 'http://polisci.niu.edu/polisci/faculty/profiles/streb.shtml', 'display_url': 'polisci.niu.edu/polisci/facult…', 'indices': [0, 23]}]",Fri Jan 24 21:57:32 +0000 2020,1.2208280026841539e+18,1220828002684153868,HUSKIE STUDENT VOTER DRIVE THIS MONDAY 1/27 in SAASS from 7-9pm!! Please spread the word &amp; come register to vote! #HuskiesVote2020 #GOTV #GoVote @NIUlive @NIUAthletics,False,"[0, 171]","[{'text': 'HuskiesVote2020', 'indices': [118, 134]}, {'text': 'GOTV', 'indices': [135, 140]}, {'text': 'GoVote', 'indices': [141, 148]}]",[],"[{'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [149, 157]}, {'screen_name': 'NIUAthletics', 'name': 'NIU Huskie Athletics', 'id': 55640423, 'id_str': '55640423', 'indices': [158, 171]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3309557159.0,3309557159,Huskie Experience,husk_experience,"DeKalb, IL",Northern Illinois University Athletics Student-Athlete Development Program huskie-experience@niu.edu,http://t.co/jZY6ORI52R,"[{'url': 'http://t.co/jZY6ORI52R', 'expanded_url': 'http://www.niuhuskies.com/ot/niu-lifeskills-home.html', 'display_url': 'niuhuskies.com/ot/niu-lifeski…', 'indices': [0, 22]}]",[],False,536.0,177.0,2.0,Fri Jun 05 18:00:15 +0000 2015,1240.0,,,True,False,1769.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_banners/3309557159/1449595105,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,6.0,8.0,False,False,en,,,,,,,,,,,
10,Fri Jan 24 21:57:32 +0000 2020,1220828002684153868,1220828002684153868,HUSKIE STUDENT VOTER DRIVE THIS MONDAY 1/27 in SAASS from 7-9pm!! Please spread the word &amp; come register to vote! #HuskiesVote2020 #GOTV #GoVote @NIUlive @NIUAthletics,False,"[0, 171]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,8,False,False,en,"[{'text': 'HuskiesVote2020', 'indices': [118, 134]}, {'text': 'GOTV', 'indices': [135, 140]}, {'text': 'GoVote', 'indices': [141, 148]}]",[],"[{'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [149, 157]}, {'screen_name': 'NIUAthletics', 'name': 'NIU Huskie Athletics', 'id': 55640423, 'id_str': '55640423', 'indices': [158, 171]}]",[],en,recent,3309557159,3309557159,Huskie Experience,husk_experience,"DeKalb, IL",Northern Illinois University Athletics Student-Athlete Development Program huskie-experience@niu.edu,http://t.co/jZY6ORI52R,[],False,536,177,2,Fri Jun 05 18:00:15 +0000 2015,1240,,,True,False,1769,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_images/608293346365210624/7kxDcHs__normal.jpg,https://pbs.twimg.com/profile_banners/3309557159/1449595105,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'http://t.co/jZY6ORI52R', 'expanded_url': 'http://www.niuhuskies.com/ot/niu-lifeskills-home.html', 'display_url': 'niuhuskies.com/ot/niu-lifeski…', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Thu Jan 23 14:54:23 +0000 2020,1220359125449814017,1220359125449814017,"@NIUlive @NIU_DeptofComm @tomparisiatniu @politybooks @edwardschad and @autumnedwards...notice shout out to @WesternMichU You guys were the ""early adopters.""",False,"[54, 157]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203581442131722e+18,1220358144213172224,1222769455.0,1222769455,David_Gunkel,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [0, 8]}, {'screen_name': 'NIU_DeptofComm', 'name': 'NIU Dept of Comm', 'id': 69395235, 'id_str': '69395235', 'indices': [9, 24]}, {'screen_name': 'tomparisiatniu', 'name': 'Tom Parisi', 'id': 92575900, 'id_str': '92575900', 'indices': [25, 40]}, {'screen_name': 'politybooks', 'name': 'Polity', 'id': 22032403, 'id_str': '22032403', 'indices': [41, 53]}, {'screen_name': 'edwardschad', 'name': 'Chad Edwards', 'id': 18905584, 'id_str': '18905584', 'indices': [54, 66]}, {'screen_name': 'autumnedwards', 'name': 'autumn edwards', 'id': 23982362, 'id_str': '23982362', 'indices': [71, 85]}, {'screen_name': 'WesternMichU', 'name': 'Western Michigan U', 'id': 41123435, 'id_str': '41123435', 'indices': [108, 121]}]",[],en,recent,1222769455,1222769455,David J. Gunkel,David_Gunkel,Chicago USA,"Professor - Northern Illinois University (USA). Author of Thinking Otherwise, The Machine Question, Of Remixology, Gaming the System, and Robot Rights.",http://t.co/m31Wd8wztC,[],False,4034,3719,130,Tue Feb 26 19:15:16 +0000 2013,19516,,,False,False,10742,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1033747931336269824/mbi_lGgs_normal.jpg,https://pbs.twimg.com/profile_images/1033747931336269824/mbi_lGgs_normal.jpg,https://pbs.twimg.com/profile_banners/1222769455/1576270072,9C7350,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'http://t.co/m31Wd8wztC', 'expanded_url': 'http://gunkelweb.com', 'display_url': 'gunkelweb.com', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Wed Jan 22 19:35:19 +0000 2020,1220067436566847488,1220067436566847488,@NIUChiefofStaff @NIUlive Heard you on the way in. Great message to the community about getting involved in the festivities!,False,"[26, 124]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2200338097412055e+18,1220033809741205510,1051664311.0,1051664311,NIUChiefofStaff,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'NIUChiefofStaff', 'name': 'Matt Streb', 'id': 1051664311, 'id_str': '1051664311', 'indices': [0, 16]}, {'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [17, 25]}]",[],en,recent,143501790,143501790,Chad Glover,chadglover01,"DeKalb, IL",Founder of JobsPLUS @NIUlive,https://t.co/e6TjQjiFLz,[],False,261,561,18,Thu May 13 16:58:17 +0000 2010,1850,,,False,False,1244,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/888494544425279492/O5VVyt8i_normal.jpg,https://pbs.twimg.com/profile_images/888494544425279492/O5VVyt8i_normal.jpg,https://pbs.twimg.com/profile_banners/143501790/1527963874,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/e6TjQjiFLz', 'expanded_url': 'https://go.niu.edu/jobsplus', 'display_url': 'go.niu.edu/jobsplus', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Wed Jan 22 13:12:56 +0000 2020,1219971205958074369,1219971205958074369,"@LeBuveurdeLune I got you beat, Johan. Peter Webb was my PhD advisor at @OhioState. My office at Northern Illinois U @NIUlive was his from 1972-1980 when he was chair here, and his name is still on the 1970s orange door  #DeferredMaintenance",False,"[16, 241]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.219968387457147e+18,1219968387457146881,72494721.0,72494721,LeBuveurdeLune,,,,,False,0,1,False,False,en,"[{'text': 'DeferredMaintenance', 'indices': [221, 241]}]",[],"[{'screen_name': 'LeBuveurdeLune', 'name': 'Johan Renaudie', 'id': 72494721, 'id_str': '72494721', 'indices': [0, 15]}, {'screen_name': 'OhioState', 'name': 'Ohio State', 'id': 18846918, 'id_str': '18846918', 'indices': [72, 82]}, {'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [117, 125]}]",[],en,recent,1188085801785217025,1188085801785217025,DiatomDiatribes: Embracing Rational Analysis,SchererReed,Northern Illinois,"Reed Scherer, Board of Trustees Professor, Distinguished Research Professor, Department of Geology & Environmental Geosciences, Northern Illinois University",,[],False,36,46,0,Sat Oct 26 13:32:08 +0000 2019,14,,,False,False,56,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1188086104819458048/sTOhDCdd_normal.jpg,https://pbs.twimg.com/profile_images/1188086104819458048/sTOhDCdd_normal.jpg,https://pbs.twimg.com/profile_banners/1188085801785217025/1577566428,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tue Jan 21 22:58:01 +0000 2020,1219756059423920128,1219756059423920128,@NatureNerdMay @Nachusa @Nature_IL @NIUlive It's eating a leopard spermophilus!,False,"[44, 79]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2197504261716623e+18,1219750426171662339,81233428.0,81233428,NatureNerdMay,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'NatureNerdMay', 'name': 'Carissa May 🐻 🦇', 'id': 81233428, 'id_str': '81233428', 'indices': [0, 14]}, {'screen_name': 'Nachusa', 'name': 'Nachusa Grasslands', 'id': 2280022937, 'id_str': '2280022937', 'indices': [15, 23]}, {'screen_name': 'Nature_IL', 'name': 'TNC in Illinois', 'id': 455052840, 'id_str': '455052840', 'indices': [24, 34]}, {'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [35, 43]}]",[],en,recent,1388496048,1388496048,John P. Vanek,wild_ecology,"DeKalb, IL","PhD Candidate at Northern Illinois University Associate Wildlife Biologist®, Urban Ecologist, Conservation Biologist. #herpetology #mammalogy #scicomm",https://t.co/TQE7ypVZV2,[],False,3297,3794,35,Mon Apr 29 03:10:20 +0000 2013,16952,,,True,False,7661,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1118566240887431169/DhEPJGFb_normal.jpg,https://pbs.twimg.com/profile_images/1118566240887431169/DhEPJGFb_normal.jpg,https://pbs.twimg.com/profile_banners/1388496048/1494471066,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/TQE7ypVZV2', 'expanded_url': 'http://johnpvanek.weebly.com', 'display_url': 'johnpvanek.weebly.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tue Jan 21 22:53:02 +0000 2020,1219754805163450372,1219754805163450372,"@wild_ecology @Nachusa @Nature_IL @NIUlive It is not fair that they would be so hug-shaped, as I presume they do not in fact want hugs.",False,"[43, 135]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2196551342983741e+18,1219655134298374144,1388496048.0,1388496048,wild_ecology,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'wild_ecology', 'name': 'John P. Vanek', 'id': 1388496048, 'id_str': '1388496048', 'indices': [0, 13]}, {'screen_name': 'Nachusa', 'name': 'Nachusa Grasslands', 'id': 2280022937, 'id_str': '2280022937', 'indices': [14, 22]}, {'screen_name': 'Nature_IL', 'name': 'TNC in Illinois', 'id': 455052840, 'id_str': '455052840', 'indices': [23, 33]}, {'screen_name': 'NIUlive', 'name': 'NIU', 'id': 28390663, 'id_str': '28390663', 'indices': [34, 42]}]",[],en,recent,1445020782,1445020782,Corrie Navis,CorrieJN,"Athens, GA","#WomenInSTEM, #PhDlife, #HERper, mom of #PotokCat & #NewtCat. Salamander scientist. She/her.",,[],False,2761,2419,37,Mon May 20 23:49:21 +0000 2013,68148,,,False,False,16943,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1124883074720960513/rLS3GEaQ_normal.jpg,https://pbs.twimg.com/profile_images/1124883074720960513/rLS3GEaQ_normal.jpg,https://pbs.twimg.com/profile_banners/1445020782/1567552586,94D487,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
