,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
2,Fri Jan 24 22:48:58 +0000 2020,1220840945979019265,1220840945979019265,So grateful for funding from The Sunshine Lady Foundation to support @Portland_State’s Higher Education in Prison Program! This is a solid foundation from which we can grow! SO grateful and excited!!! #highered #gratitude,False,"[0, 221]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,8,False,False,en,"[{'text': 'highered', 'indices': [201, 210]}, {'text': 'gratitude', 'indices': [211, 221]}]",[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [69, 84]}]",[],en,recent,1135705080647233536,1135705080647233536,Reverse the Pipeline,rtppsu,,Reverse the Pipeline (RTP) offers formerly and currently incarcerated people a future at Portland State University,,,[],False,69,115,1,Tue Jun 04 00:29:26 +0000 2019,196,,,False,False,84,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1135705155393863682/hf6Qkswg_normal.jpg,https://pbs.twimg.com/profile_images/1135705155393863682/hf6Qkswg_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Wed Jan 22 04:28:00 +0000 2020,1219839104998723584,1219839104998723584,@Portland_State CALLING ALL STUDENTS WE’RE TRYING TO FAKE THAT WE HAVE A DIVERSE STUDENT BODY - WHEN WE DON’T - SO PEOPLE STOP THINKING WE’RE RACIST 🤗,False,"[16, 150]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219695688801575e+18,1219695688801574912,22589282.0,22589282,Portland_State,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [0, 15]}]",[],en,recent,1139495290958798849,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18,32,1,Fri Jun 14 11:30:22 +0000 2019,11,,,False,False,65,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tue Jan 21 04:37:01 +0000 2020,1219478984292876289,1219478984292876289,@BarbChamberlain @Portland_State @OregonState @NASEMTRB @dshurwitz @CMonsere @sirishak @tooledesign @Gwennieshaw @boudartj Basically this shuts the door on any debate and makes it clear that agencies have moved to use @NACTO guidance #fullstop,False,"[123, 243]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194774277069865e+18,1219477427706986496,18156537.0,18156537,pkoonce,,,,,False,0,5,False,False,en,"[{'text': 'fullstop', 'indices': [234, 243]}]",[],"[{'screen_name': 'BarbChamberlain', 'name': 'Barb Chamberlain', 'id': 14565808, 'id_str': '14565808', 'indices': [0, 16]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [17, 32]}, {'screen_name': 'OregonState', 'name': 'Oregon State University', 'id': 18178876, 'id_str': '18178876', 'indices': [33, 45]}, {'screen_name': 'NASEMTRB', 'name': 'TRB', 'id': 82162775, 'id_str': '82162775', 'indices': [46, 55]}, {'screen_name': 'dshurwitz', 'name': 'David Hurwitz', 'id': 822853160, 'id_str': '822853160', 'indices': [56, 66]}, {'screen_name': 'CMonsere', 'name': 'Chris Monsere', 'id': 709782266, 'id_str': '709782266', 'indices': [67, 76]}, {'screen_name': 'sirishak', 'name': 'Sirisha Kothuri', 'id': 34547120, 'id_str': '34547120', 'indices': [77, 86]}, {'screen_name': 'tooledesign', 'name': 'Toole Design', 'id': 205282929, 'id_str': '205282929', 'indices': [87, 99]}, {'screen_name': 'Gwennieshaw', 'name': 'Gwen Shaw', 'id': 428420157, 'id_str': '428420157', 'indices': [100, 112]}, {'screen_name': 'boudartj', 'name': 'Jesse Boudart', 'id': 56287546, 'id_str': '56287546', 'indices': [113, 122]}, {'screen_name': 'NACTO', 'name': 'NACTO', 'id': 366690534, 'id_str': '366690534', 'indices': [218, 224]}]",[],en,recent,18156537,18156537,Peter Koonce,pkoonce,"Portland, OR","Transportation Engineer @Portland_State adjunct, @NCUTCD Exec, @thestreettrust Board, @apbp @ITEhq Member #PDX Tweets are my personal opinion",https://t.co/3gSn25kZTl,"[{'url': 'https://t.co/3gSn25kZTl', 'expanded_url': 'http://koonceportland.blogspot.com/', 'display_url': 'koonceportland.blogspot.com', 'indices': [0, 23]}]",[],False,3160,275,164,Tue Dec 16 05:02:34 +0000 2008,7838,,,True,False,9518,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1111463353619087360/KdKUquFb_normal.jpg,https://pbs.twimg.com/profile_images/1111463353619087360/KdKUquFb_normal.jpg,https://pbs.twimg.com/profile_banners/18156537/1401300027,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ac88a4f17a51c7fc,https://api.twitter.com/1.1/geo/id/ac88a4f17a51c7fc.json,city,Portland,"Portland, OR",US,United States,[],Polygon,"[[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]]"
14,Mon Jan 20 23:10:07 +0000 2020,1219396719873413120,1219396719873413120,"@KristyDactyl @Portland_State @OregonState @NASEMTRB @dshurwitz @CMonsere @apbp @DrTaraGoddard It’s a really good idea, I know a few @apbp Board members were there, they/we should pull something like this together @ConorSemler @jessicaroberts @JeremyChrzan #TRBAM",False,"[95, 263]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218234170826281e+18,1218234170826280962,410694076.0,410694076,KristyDactyl,,,,,False,0,4,False,False,en,"[{'text': 'TRBAM', 'indices': [257, 263]}]",[],"[{'screen_name': 'KristyDactyl', 'name': 'Kristy Dactyl', 'id': 410694076, 'id_str': '410694076', 'indices': [0, 13]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [14, 29]}, {'screen_name': 'OregonState', 'name': 'Oregon State University', 'id': 18178876, 'id_str': '18178876', 'indices': [30, 42]}, {'screen_name': 'NASEMTRB', 'name': 'TRB', 'id': 82162775, 'id_str': '82162775', 'indices': [43, 52]}, {'screen_name': 'dshurwitz', 'name': 'David Hurwitz', 'id': 822853160, 'id_str': '822853160', 'indices': [53, 63]}, {'screen_name': 'CMonsere', 'name': 'Chris Monsere', 'id': 709782266, 'id_str': '709782266', 'indices': [64, 73]}, {'screen_name': 'apbp', 'name': 'APBP', 'id': 23575263, 'id_str': '23575263', 'indices': [74, 79]}, {'screen_name': 'DrTaraGoddard', 'name': 'Tara Goddard 🚸', 'id': 788936389, 'id_str': '788936389', 'indices': [80, 94]}, {'screen_name': 'apbp', 'name': 'APBP', 'id': 23575263, 'id_str': '23575263', 'indices': [133, 138]}, {'screen_name': 'ConorSemler', 'name': 'Conor Semler', 'id': 22740828, 'id_str': '22740828', 'indices': [214, 226]}, {'screen_name': 'jessicaroberts', 'name': 'Jessica Roberts', 'id': 10685202, 'id_str': '10685202', 'indices': [227, 242]}, {'screen_name': 'JeremyChrzan', 'name': 'Jeremy Chrzan', 'id': 553931890, 'id_str': '553931890', 'indices': [243, 256]}]",[],en,recent,18156537,18156537,Peter Koonce,pkoonce,"Portland, OR","Transportation Engineer @Portland_State adjunct, @NCUTCD Exec, @thestreettrust Board, @apbp @ITEhq Member #PDX Tweets are my personal opinion",https://t.co/3gSn25kZTl,"[{'url': 'https://t.co/3gSn25kZTl', 'expanded_url': 'http://koonceportland.blogspot.com/', 'display_url': 'koonceportland.blogspot.com', 'indices': [0, 23]}]",[],False,3160,275,164,Tue Dec 16 05:02:34 +0000 2008,7838,,,True,False,9518,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1111463353619087360/KdKUquFb_normal.jpg,https://pbs.twimg.com/profile_images/1111463353619087360/KdKUquFb_normal.jpg,https://pbs.twimg.com/profile_banners/18156537/1401300027,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ac88a4f17a51c7fc,https://api.twitter.com/1.1/geo/id/ac88a4f17a51c7fc.json,city,Portland,"Portland, OR",US,United States,[],Polygon,"[[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]]"
16,Mon Jan 20 06:05:14 +0000 2020,1219138797004152833,1219138797004152833,RT @pdxupdates: @Portland_State Fun aside - Shirley Jackson is happy to sell out her own people or this university wouldn’t promote her. If…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'pdxupdates', 'name': 'PSUupdates', 'id': 1139495290958798849, 'id_str': '1139495290958798849', 'indices': [3, 14]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [16, 31]}]",[],en,recent,1139495290958798849,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18,32,1,Fri Jun 14 11:30:22 +0000 2019,11,,,False,False,65,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Mon Jan 20 06:02:08 +0000 2020,1.2191380159031132e+18,1219138015903113216,@Portland_State Fun aside - Shirley Jackson is happy to sell out her own people or this university wouldn’t promote her. If not for her the Black Studies faculty wouldn’t have left this year. She accepts her program being severely cut while sullying the words of folks who fought for their people,False,"[16, 296]",[],[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [0, 15]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218961327789613e+18,1218961327789613056,22589282.0,22589282,Portland_State,1.1394952909587988e+18,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18.0,32.0,1.0,Fri Jun 14 11:30:22 +0000 2019,11.0,,,False,False,65.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,
17,Mon Jan 20 06:05:12 +0000 2020,1219138790012248065,1219138790012248065,RT @pdxupdates: @Portland_State Their is no doubt who is amongst the oppressors of our people in downtown Portland - it is the same people…,False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'pdxupdates', 'name': 'PSUupdates', 'id': 1139495290958798849, 'id_str': '1139495290958798849', 'indices': [3, 14]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [16, 31]}]",[],en,recent,1139495290958798849,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18,32,1,Fri Jun 14 11:30:22 +0000 2019,11,,,False,False,65,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Mon Jan 20 06:00:08 +0000 2020,1.2191375125153096e+18,1219137512515309568,@Portland_State Their is no doubt who is amongst the oppressors of our people in downtown Portland - it is the same people and institutions who use MLK’s legacy to shield their own complicity in white supremacy,False,"[16, 210]",[],[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [0, 15]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218961327789613e+18,1218961327789613056,22589282.0,22589282,Portland_State,1.1394952909587988e+18,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18.0,32.0,1.0,Fri Jun 14 11:30:22 +0000 2019,11.0,,,False,False,65.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,,,,,,,,,,
18,Mon Jan 20 06:05:10 +0000 2020,1219138779585241088,1219138779585241088,RT @pdxupdates: @Portland_State PSU is a school where they are happy to keep trigger happy cops on campus - to acquiesce wealthy out of sta…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'pdxupdates', 'name': 'PSUupdates', 'id': 1139495290958798849, 'id_str': '1139495290958798849', 'indices': [3, 14]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [16, 31]}]",[],en,recent,1139495290958798849,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18,32,1,Fri Jun 14 11:30:22 +0000 2019,11,,,False,False,65,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Mon Jan 20 05:58:11 +0000 2020,1.2191370248058962e+18,1219137024805896197,@Portland_State PSU is a school where they are happy to keep trigger happy cops on campus - to acquiesce wealthy out of state white people - who are otherwise “scared of being near homeless people”,False,"[16, 197]",[],[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [0, 15]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218961327789613e+18,1218961327789613056,22589282.0,22589282,Portland_State,1.1394952909587988e+18,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18.0,32.0,1.0,Fri Jun 14 11:30:22 +0000 2019,11.0,,,False,False,65.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,
19,Mon Jan 20 06:05:07 +0000 2020,1219138769892208645,1219138769892208645,RT @pdxupdates: @Portland_State This MLK day refuse to pat on the back those who say one thing while doing the opposite. PSU is happy to en…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'pdxupdates', 'name': 'PSUupdates', 'id': 1139495290958798849, 'id_str': '1139495290958798849', 'indices': [3, 14]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [16, 31]}]",[],en,recent,1139495290958798849,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18,32,1,Fri Jun 14 11:30:22 +0000 2019,11,,,False,False,65,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Mon Jan 20 06:04:33 +0000 2020,1.2191386240017572e+18,1219138624001757184,"@Portland_State This MLK day refuse to pat on the back those who say one thing while doing the opposite. PSU is happy to endorse killer cops, gentrify neighborhoods, disenfranchise the poorest of this city, all in the name of capital. This university has blood, and lots of it, on its hands",False,"[16, 290]",[],[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [0, 15]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218961327789613e+18,1218961327789613056,22589282.0,22589282,Portland_State,1.1394952909587988e+18,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18.0,32.0,1.0,Fri Jun 14 11:30:22 +0000 2019,11.0,,,False,False,65.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,
20,Mon Jan 20 06:05:05 +0000 2020,1219138760325025792,1219138760325025792,RT @pdxupdates: @Portland_State PSU is a school that tokenizes those who stood for everything this institution is willing to trample on for…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'pdxupdates', 'name': 'PSUupdates', 'id': 1139495290958798849, 'id_str': '1139495290958798849', 'indices': [3, 14]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [16, 31]}]",[],en,recent,1139495290958798849,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18,32,1,Fri Jun 14 11:30:22 +0000 2019,11,,,False,False,65,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Mon Jan 20 05:57:02 +0000 2020,1.2191367329494671e+18,1219136732949467137,@Portland_State PSU is a school that tokenizes those who stood for everything this institution is willing to trample on for the sake of wealthy developers in Portland,False,"[16, 166]",[],[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [0, 15]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218961327789613e+18,1218961327789613056,22589282.0,22589282,Portland_State,1.1394952909587988e+18,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18.0,32.0,1.0,Fri Jun 14 11:30:22 +0000 2019,11.0,,,False,False,65.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,
21,Mon Jan 20 06:05:03 +0000 2020,1219138751357579264,1219138751357579264,RT @pdxupdates: @Portland_State PSU pays $1 million dollar settlement for ignoring the anti-racist leaders of their school and promoting po…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'pdxupdates', 'name': 'PSUupdates', 'id': 1139495290958798849, 'id_str': '1139495290958798849', 'indices': [3, 14]}, {'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [16, 31]}]",[],en,recent,1139495290958798849,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18,32,1,Fri Jun 14 11:30:22 +0000 2019,11,,,False,False,65,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Mon Jan 20 05:56:18 +0000 2020,1.2191365499938898e+18,1219136549993889792,@Portland_State PSU pays $1 million dollar settlement for ignoring the anti-racist leaders of their school and promoting policies that murder people of color,False,"[16, 157]",[],[],"[{'screen_name': 'Portland_State', 'name': 'Portland State University', 'id': 22589282, 'id_str': '22589282', 'indices': [0, 15]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218961327789613e+18,1218961327789613056,22589282.0,22589282,Portland_State,1.1394952909587988e+18,1139495290958798849,PSUupdates,pdxupdates,"Portland, OR",Uncensored Updates about Portland State University - Unaffiliated parody/commentary with real stats,,,[],False,18.0,32.0,1.0,Fri Jun 14 11:30:22 +0000 2019,11.0,,,False,False,65.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_images/1139496129035300864/NoAYpEhZ_normal.jpg,https://pbs.twimg.com/profile_banners/1139495290958798849/1570403339,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,0.0,False,False,en,,,,,,,,,,
