,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
3,Sat Jan 25 18:38:21 +0000 2020,1221140264217202689,1221140264217202689,@LifeAtPurdue Can he deliver to the Southside of Lafayette?,False,"[14, 59]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221136138485801e+18,1221136138485800963,16134525.0,16134525,LifeAtPurdue,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [0, 13]}]",[],en,recent,472201804,472201804,Lisa Newman,whitloli28,Indiana,"Wanderer 🌊 
🌏trotter 
#Purdue Alum ♡☆
#BoilerUp 💛🖤
#hoops 🏀 
                        MBA 2021 🎓 
#EverybodyIn  ❤⚾💙🐻 
                  Music calms me 🎵",,,[],False,784,3751,40,Mon Jan 23 18:14:03 +0000 2012,107890,,,True,False,36485,,False,False,False,B2DFDA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1210306064144633856/h4YmOuca_normal.jpg,https://pbs.twimg.com/profile_images/1210306064144633856/h4YmOuca_normal.jpg,https://pbs.twimg.com/profile_banners/472201804/1569114993,ABB8C2,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 13:10:09 +0000 2020,1221057672423841793,1221057672423841793,@zeke_little75 @bronchobizneb @BoilerBall @BoilerStov @LifeAtPurdue A bronco party!,False,"[68, 83]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209113148785009e+18,1220911314878500865,9.764559097392456e+17,976455909739245569,zeke_little75,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'zeke_little75', 'name': 'Ezekiel', 'id': 976455909739245569, 'id_str': '976455909739245569', 'indices': [0, 14]}, {'screen_name': 'bronchobizneb', 'name': 'Coach Neblett', 'id': 895239343400288256, 'id_str': '895239343400288256', 'indices': [15, 29]}, {'screen_name': 'BoilerBall', 'name': 'Purdue Mens Basketball', 'id': 454122399, 'id_str': '454122399', 'indices': [30, 41]}, {'screen_name': 'BoilerStov', 'name': 'Peyton Stovall', 'id': 1682187140, 'id_str': '1682187140', 'indices': [42, 53]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [54, 67]}]",[],en,recent,53122644,53122644,Melissa,BoilerMelissa,"West Lafayette, IN",Christian•Purdue Alumna• Teacher•Coach•ENFJ•Sports Enthusiast,,,[],False,554,879,14,Thu Jul 02 17:11:02 +0000 2009,40269,,,True,False,45087,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/919737363856846849/ffTFmnC9_normal.jpg,https://pbs.twimg.com/profile_images/919737363856846849/ffTFmnC9_normal.jpg,https://pbs.twimg.com/profile_banners/53122644/1566437969,CFB53B,000000,000000,D9C123,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sat Jan 25 00:27:27 +0000 2020,1220865729735557120,1220865729735557120,@bronchobizneb @BoilerBall @BoilerStov @LifeAtPurdue Hey you’re close to me! I’m in 102!,False,"[53, 88]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208617212728648e+18,1220861721272864769,8.952393434002883e+17,895239343400288256,bronchobizneb,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'bronchobizneb', 'name': 'Coach Neblett', 'id': 895239343400288256, 'id_str': '895239343400288256', 'indices': [0, 14]}, {'screen_name': 'BoilerBall', 'name': 'Purdue Mens Basketball', 'id': 454122399, 'id_str': '454122399', 'indices': [15, 26]}, {'screen_name': 'BoilerStov', 'name': 'Peyton Stovall', 'id': 1682187140, 'id_str': '1682187140', 'indices': [27, 38]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [39, 52]}]",[],en,recent,53122644,53122644,Melissa,BoilerMelissa,"West Lafayette, IN",Christian•Purdue Alumna• Teacher•Coach•ENFJ•Sports Enthusiast,,,[],False,554,879,14,Thu Jul 02 17:11:02 +0000 2009,40269,,,True,False,45087,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/919737363856846849/ffTFmnC9_normal.jpg,https://pbs.twimg.com/profile_images/919737363856846849/ffTFmnC9_normal.jpg,https://pbs.twimg.com/profile_banners/53122644/1566437969,CFB53B,000000,000000,D9C123,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat Jan 25 00:12:12 +0000 2020,1220861894132674561,1220861894132674561,@bronchobizneb @BoilerBall @LifeAtPurdue BOILER UP!,False,"[41, 51]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208617212728648e+18,1220861721272864769,8.952393434002883e+17,895239343400288256,bronchobizneb,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'bronchobizneb', 'name': 'Coach Neblett', 'id': 895239343400288256, 'id_str': '895239343400288256', 'indices': [0, 14]}, {'screen_name': 'BoilerBall', 'name': 'Purdue Mens Basketball', 'id': 454122399, 'id_str': '454122399', 'indices': [15, 26]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [27, 40]}]",[],en,recent,1682187140,1682187140,Peyton Stovall,BoilerStov,"West Lafayette, IN",Assistant Athletic Director - Student Athlete Development at Purdue University #BoilerUp,,,[],False,2121,1196,12,Mon Aug 19 02:48:21 +0000 2013,3946,,,True,False,2739,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1157382564077850630/N4AtTLYF_normal.jpg,https://pbs.twimg.com/profile_images/1157382564077850630/N4AtTLYF_normal.jpg,https://pbs.twimg.com/profile_banners/1682187140/1559183854,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 20:53:49 +0000 2020,1220811968405278721,1220811968405278721,@audreyruple @Ron_Wasserstein @PurdueHHS @LifeAtPurdue Had a faculty meeting I couldn't miss - look forward to hearing more about this!,False,"[55, 135]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.22081151027823e+18,1220811510278230017,28360632.0,28360632,audreyruple,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'audreyruple', 'name': 'Dr. Audrey Ruple', 'id': 28360632, 'id_str': '28360632', 'indices': [0, 12]}, {'screen_name': 'Ron_Wasserstein', 'name': 'Ron Wasserstein', 'id': 32496040, 'id_str': '32496040', 'indices': [13, 29]}, {'screen_name': 'PurdueHHS', 'name': 'Purdue College of Health & Human Sciences', 'id': 2748130901, 'id_str': '2748130901', 'indices': [30, 40]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [41, 54]}]",[],en,recent,34671581,34671581,Linda Prokopy🌎,lprokopy,Purdue University,"Prof & social scientist focusing on adoption of environmentally friendly behaviors w/ emphasis on watersheds, climate change, & ag in Midwest. she/her/hers",https://t.co/YhLsJpATsw,"[{'url': 'https://t.co/YhLsJpATsw', 'expanded_url': 'http://web.ics.purdue.edu/~lprokopy/', 'display_url': 'web.ics.purdue.edu/~lprokopy/', 'indices': [0, 23]}]",[],False,1976,1696,42,Thu Apr 23 17:28:07 +0000 2009,20815,,,True,False,3531,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/596772894023094272/-suG_SMS_normal.jpg,https://pbs.twimg.com/profile_images/596772894023094272/-suG_SMS_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 14:57:43 +0000 2020,1220722352566218752,1220722352566218752,@juliettekayyem @LifeAtPurdue Thank you,False,"[30, 39]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2206928681148457e+18,1220692868114845697,21461359.0,21461359,juliettekayyem,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'juliettekayyem', 'name': 'Juliette Kayyem', 'id': 21461359, 'id_str': '21461359', 'indices': [0, 15]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [16, 29]}]",[],en,recent,15768289,15768289,ScɪᴇɴᴄᴇWʀɪᴛᴇʀ,Sciencewriter,"West Lafayette, Indiana",Senior Strategist & Sciencewriter for #Purdue Strategic Communications | #scicomm  | 2x author 📚 |  🚴commuter | @stevetally,,,[],False,6514,6126,245,Thu Aug 07 19:35:43 +0000 2008,1033,,,True,False,8692,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/982257676766691329/Rv4XcPv9_normal.jpg,https://pbs.twimg.com/profile_images/982257676766691329/Rv4XcPv9_normal.jpg,https://pbs.twimg.com/profile_banners/15768289/1543441685,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thu Jan 23 21:23:50 +0000 2020,1220457132933505043,1220457132933505043,"@jbee193 @PurdueUnivNews @LifeAtPurdue @JeffFlake Yes, agreed, two liberals. Liberalism is the philosophy of centrism, while socialism is the philosophy of the true left. Without a socialist on stage, there is no balance.",False,"[50, 221]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201685418501734e+18,1220168541850173441,14981520.0,14981520,jbee193,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jbee193', 'name': 'John B', 'id': 14981520, 'id_str': '14981520', 'indices': [0, 8]}, {'screen_name': 'PurdueUnivNews', 'name': 'Purdue U. News', 'id': 312050513, 'id_str': '312050513', 'indices': [9, 24]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [25, 38]}, {'screen_name': 'JeffFlake', 'name': 'Jeff Flake', 'id': 16056306, 'id_str': '16056306', 'indices': [39, 49]}]",[],en,recent,43896517,43896517,Sam Buck,samnuva,"Lafayette, IN",Neuroscience lab tech (@pacerlab) and future Psychiatrist. Non-Ironically thinks Chicken Run is the best movie ever made. He/Him. Butt is Legs.,,,[],False,43,130,0,Mon Jun 01 14:50:12 +0000 2009,1642,,,True,False,1014,,False,False,False,8B542B,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/3711231270/fe399fb76f655805b41619dd131b2732_normal.jpeg,https://pbs.twimg.com/profile_images/3711231270/fe399fb76f655805b41619dd131b2732_normal.jpeg,,9D582E,D9B17E,EADEAA,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Thu Jan 23 15:25:56 +0000 2020,1220367065753632768,1220367065753632768,@willsondgerath @LifeAtPurdue How great is that!,False,"[30, 48]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203215559070556e+18,1220321555907055616,50147553.0,50147553,willsondgerath,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'willsondgerath', 'name': 'Will Sondgerath', 'id': 50147553, 'id_str': '50147553', 'indices': [0, 15]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [16, 29]}]",[],en,recent,175168211,175168211,TeamNerdTechShow,TerrapinDotTech,"Traverse City, Michigan USA",The most scintillating 30 mins of small biz tech info on the Internet! Join Tim Gillen & Ruthy Kirwan of Terrapin Networks -  wherever you get your podcasts,https://t.co/9jluw1CrVw,"[{'url': 'https://t.co/9jluw1CrVw', 'expanded_url': 'http://www.teamnerdtechshow.com', 'display_url': 'teamnerdtechshow.com', 'indices': [0, 23]}]",[],False,301,701,17,Thu Aug 05 20:28:13 +0000 2010,103,,,False,False,996,,False,False,False,114085,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1161227034535845888/jVtQaHat_normal.jpg,https://pbs.twimg.com/profile_images/1161227034535845888/jVtQaHat_normal.jpg,https://pbs.twimg.com/profile_banners/175168211/1565693074,0099CC,FFFFFF,EBEBEB,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Thu Jan 23 08:05:11 +0000 2020,1220256147162181632,1220256147162181632,@JeffFlake @LifeAtPurdue You’re a wonderful example of what your former colleagues could be doing if they want to save their souls. Just curious: After the mob hit on Ambassador Yavonovitch in Ukraine are any if you’re former friends under similar circumstances? Just saying! Apples and trees.,False,"[25, 293]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201748095371756e+18,1220174809537175553,16056306.0,16056306,JeffFlake,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'JeffFlake', 'name': 'Jeff Flake', 'id': 16056306, 'id_str': '16056306', 'indices': [0, 10]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [11, 24]}]",[],en,recent,1098786166332186624,1098786166332186624,Don’t get distracted!,KimHorwitz1,,Journalist. Life sciences educated. Troublemaker Snarkism running amok no DMs!Proud Mom/G’mom. Racism unwelcome,,,[],False,1996,4446,3,Fri Feb 22 03:26:51 +0000 2019,5443,,,False,False,6222,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Thu Jan 23 02:43:23 +0000 2020,1220175164731584512,1220175164731584512,@JeffFlake @LifeAtPurdue Lynch is easily one of the worst AG's our country has ever had.,False,"[25, 88]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2201748095371756e+18,1220174809537175553,16056306.0,16056306,JeffFlake,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'JeffFlake', 'name': 'Jeff Flake', 'id': 16056306, 'id_str': '16056306', 'indices': [0, 10]}, {'screen_name': 'LifeAtPurdue', 'name': 'Purdue University', 'id': 16134525, 'id_str': '16134525', 'indices': [11, 24]}]",[],en,recent,1024882676551933953,1024882676551933953,TrevorCook20,Cook20Trevor,"Gilbert, AZ",Native Arizonan currently a student (opinions our my own and this is my political account not personal),,,[],False,53,94,0,Thu Aug 02 05:00:46 +0000 2018,10149,,,False,False,4568,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1128912947839766528/BUMqt_vx_normal.png,https://pbs.twimg.com/profile_images/1128912947839766528/BUMqt_vx_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
