,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
0,Sun Jan 26 04:14:06 +0000 2020,1221285158264942593,1221285158264942593,Excellent presentation by @EunJungEJEJ today at the #macintoshconference2020. Great timing to hear her analysis/reflections of the #metoo movement in South Korean sport.  #intersectionality @queensu,False,"[0, 198]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,"[{'text': 'macintoshconference2020', 'indices': [52, 76]}, {'text': 'metoo', 'indices': [131, 137]}, {'text': 'intersectionality', 'indices': [171, 189]}]",[],"[{'screen_name': 'EunJungEJEJ', 'name': 'Eun Jung', 'id': 1201540093284167681, 'id_str': '1201540093284167681', 'indices': [26, 38]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [190, 198]}]",[],en,recent,25915711,25915711,Kaitlyn Patterson,SKaitB,"Kingston, Ontario","Mattawa/North Bay Algonquin First Nation woman (she/her), PhD student, dietitian, and food eater.",,[],False,145,391,0,Mon Mar 23 00:28:17 +0000 2009,802,,,False,False,1108,,False,False,False,000000,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1212859513096802304/c2RrFeW7_normal.jpg,https://pbs.twimg.com/profile_images/1212859513096802304/c2RrFeW7_normal.jpg,https://pbs.twimg.com/profile_banners/25915711/1574776463,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Jan 25 19:23:18 +0000 2020,1221151575198044161,1221151575198044161,@LiyingCheng @QueensEduc @AegQueens @queensu @BanRighCentre Happy Chinese New Year to you too!,False,"[60, 94]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221044929285296e+18,1221044929285296130,334605373.0,334605373,LiyingCheng,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'LiyingCheng', 'name': 'Liying Cheng', 'id': 334605373, 'id_str': '334605373', 'indices': [0, 12]}, {'screen_name': 'QueensEduc', 'name': 'Faculty of Education', 'id': 488711274, 'id_str': '488711274', 'indices': [13, 24]}, {'screen_name': 'AegQueens', 'name': 'AEGQueens', 'id': 911224677967843328, 'id_str': '911224677967843328', 'indices': [25, 35]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [36, 44]}, {'screen_name': 'BanRighCentre', 'name': 'Ban Righ Centre', 'id': 463118499, 'id_str': '463118499', 'indices': [45, 59]}]",[],en,recent,311826280,311826280,Jenny Lee Northey,jlnorthey,"Kingston, Ontario",adventurer & community connector • career counsellor @queensu • let's chat all things #highered #SACdn #SApro,,[],False,1219,1984,75,Mon Jun 06 03:49:10 +0000 2011,3075,,,True,False,11812,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/3329572866/85097a341689deb6c85c6dffc243c5b7_normal.jpeg,https://pbs.twimg.com/profile_images/3329572866/85097a341689deb6c85c6dffc243c5b7_normal.jpeg,https://pbs.twimg.com/profile_banners/311826280/1452778583,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fri Jan 24 20:56:44 +0000 2020,1220812701871550466,1220812701871550466,@queensu @QueensAMS Hi!  this is from the 2017 page!  The voting days are January 28th and 29th! there are also critical referenda questions for students to make decisions about too :),False,"[20, 184]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",8.247022010084557e+17,824702201008455682,19429847.0,19429847,queensu,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [0, 8]}, {'screen_name': 'QueensAMS', 'name': 'Alma Mater Society', 'id': 39818157, 'id_str': '39818157', 'indices': [9, 19]}]",[],en,recent,31315082,31315082,CFRC RADIO,CFRC,"Kingston, Ontario","Proudly broadcasting into Queen's University & Kingston communities since 1922. 101.9FM, online and a new mobile app!
#cfrc1019 #radioygk #ygkarts #ygkmusic",https://t.co/AElhkGgWsk,[],False,7200,3941,302,Wed Apr 15 02:43:07 +0000 2009,11658,,,True,False,15109,,False,False,False,999999,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/789226917039923200/cZs4eVSL_normal.jpg,https://pbs.twimg.com/profile_images/789226917039923200/cZs4eVSL_normal.jpg,https://pbs.twimg.com/profile_banners/31315082/1526006908,FF0000,000000,E66363,333333,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/AElhkGgWsk', 'expanded_url': 'http://cfrc.ca', 'display_url': 'cfrc.ca', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 03:28:24 +0000 2020,1220548879722209280,1220548879722209280,@CarolCampbell4 @fordnation @OCT_OEEO @esatrentu Yes. I trained a @queensu candidate this fall. She's terrified. Already pursuing overseas options for Sept. The brain drain begins.,False,"[49, 180]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220540712275579e+18,1220540712275578880,300645437.0,300645437,CarolCampbell4,,,,,False,1,7,False,False,en,[],[],"[{'screen_name': 'CarolCampbell4', 'name': 'Dr Carol Campbell', 'id': 300645437, 'id_str': '300645437', 'indices': [0, 15]}, {'screen_name': 'fordnation', 'name': 'Doug Ford', 'id': 2809959174, 'id_str': '2809959174', 'indices': [16, 27]}, {'screen_name': 'OCT_OEEO', 'name': 'OCT_OEEO', 'id': 1344460190, 'id_str': '1344460190', 'indices': [28, 37]}, {'screen_name': 'esatrentu', 'name': 'Trent Education Student Assocation', 'id': 1178833781098209280, 'id_str': '1178833781098209280', 'indices': [38, 48]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [66, 74]}]",[],en,recent,265154042,265154042,Mike J.,MikeJToronto,"Richmond Hill, Ontario","Proud father, teacher, husband. @Discogs seller. Information junkie. Animal lover. Pop culture addict. Sci-Fi fanatic. Drummer. INFJ/HSP.",https://t.co/033WmT4rQ8,[],False,664,1057,31,Sun Mar 13 03:15:49 +0000 2011,10681,,,False,False,25094,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220415000415821824/FYrfLhs__normal.jpg,https://pbs.twimg.com/profile_images/1220415000415821824/FYrfLhs__normal.jpg,https://pbs.twimg.com/profile_banners/265154042/1579803785,5D747D,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/033WmT4rQ8', 'expanded_url': 'https://www.discogs.com/seller/mondogreen/profile', 'display_url': 'discogs.com/seller/mondogr…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Thu Jan 23 19:45:25 +0000 2020,1220432368961511426,1220432368961511426,"Tomorrow I'll be presenting my most recent research on @IrisMurdoch 's aesthetic writings at the @queensu philosophy grad colloquium; while Murdoch is critical of Marxism, I've enjoyed exploring the commonalities between her work and Lukacs' critique of modernism for this paper!",False,"[0, 279]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'IrisMurdoch', 'name': 'Iris Murdoch', 'id': 63415272, 'id_str': '63415272', 'indices': [55, 67]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [97, 105]}]",[],en,recent,933050924595138560,933050924595138560,Lesley Jamieson,Lesley4Labour,"Kingston, ON","President of the Kingston District Labour Council, #15andfairness mobilizer, Philosophy PHD-candidate writing on Iris Murdoch. 
KingstonLabourCouncil@gmail.com",,[],False,320,445,1,Tue Nov 21 19:14:10 +0000 2017,1050,,,False,False,553,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1118235238445010949/Ur_eTAQT_normal.png,https://pbs.twimg.com/profile_images/1118235238445010949/Ur_eTAQT_normal.png,https://pbs.twimg.com/profile_banners/933050924595138560/1548625959,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Thu Jan 23 16:37:40 +0000 2020,1220385117396439042,1220385117396439042,RT @Deadline2020: #NBCC is thrilled to host Dr. Bishal Gyawali @oncology_bg (@BrighamWomens and @queensu) today in a webinar about improvin…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,"[{'text': 'NBCC', 'indices': [18, 23]}]",[],"[{'screen_name': 'Deadline2020', 'name': 'NBCC', 'id': 76403083, 'id_str': '76403083', 'indices': [3, 16]}, {'screen_name': 'oncology_bg', 'name': 'Bishal Gyawali', 'id': 3511138520, 'id_str': '3511138520', 'indices': [63, 75]}, {'screen_name': 'BrighamWomens', 'name': ""Brigham and Women's"", 'id': 3355281, 'id_str': '3355281', 'indices': [77, 91]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [96, 104]}]",[],en,recent,3511138520,3511138520,Bishal Gyawali,oncology_bg,"Kingston, Ontario",Clinical Fellow in Med Onc @queensu. Asst. Prof.@QueensuPHS. Scientist @QueensCRI. Affiliated faculty @portal_research. #cancergroundshot. No FCOI. Tweets mine.,https://t.co/iX7Aqem1fO,[],False,7986,480,157,Thu Sep 10 03:23:26 +0000 2015,22293,,,True,False,25302,,False,False,False,981CEB,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1196978023452557313/Qq2fOMS6_normal.jpg,https://pbs.twimg.com/profile_images/1196978023452557313/Qq2fOMS6_normal.jpg,https://pbs.twimg.com/profile_banners/3511138520/1570349569,FF691F,000000,000000,000000,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/iX7Aqem1fO', 'expanded_url': 'https://kathmandupost.ekantipur.com/news/2017-12-31/tremendous-growth.html', 'display_url': 'kathmandupost.ekantipur.com/news/2017-12-3…', 'indices': [0, 23]}]",Thu Jan 23 15:59:55 +0000 2020,1.2203756191810847e+18,1220375619181084675,#NBCC is thrilled to host Dr. Bishal Gyawali @oncology_bg (@BrighamWomens and @queensu) today in a webinar about improving patient outcomes in oncology clinical trials. Look for key highlights from #NBCC after the event. #CancerClinicalTrials #StopBreastCancer,False,"[0, 260]","[{'text': 'NBCC', 'indices': [0, 5]}, {'text': 'NBCC', 'indices': [198, 203]}, {'text': 'CancerClinicalTrials', 'indices': [221, 242]}, {'text': 'StopBreastCancer', 'indices': [243, 260]}]",[],"[{'screen_name': 'oncology_bg', 'name': 'Bishal Gyawali', 'id': 3511138520, 'id_str': '3511138520', 'indices': [45, 57]}, {'screen_name': 'BrighamWomens', 'name': ""Brigham and Women's"", 'id': 3355281, 'id_str': '3355281', 'indices': [59, 73]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [78, 86]}]",[],en,recent,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,76403083.0,76403083,NBCC,Deadline2020,"Washington, DC",The National Breast Cancer Coalition (NBCC) is dedicated to ending breast cancer through action and advocacy. For more info: https://t.co/fMILLNyKkq,https://t.co/5f11PU7yPE,"[{'url': 'https://t.co/5f11PU7yPE', 'expanded_url': 'http://www.StopBreastCancer.org', 'display_url': 'StopBreastCancer.org', 'indices': [0, 23]}]","[{'url': 'https://t.co/fMILLNyKkq', 'expanded_url': 'http://StopBreastCancer.org', 'display_url': 'StopBreastCancer.org', 'indices': [125, 148]}]",False,5021.0,788.0,158.0,Tue Sep 22 18:08:26 +0000 2009,710.0,,,False,False,6230.0,,False,False,False,84003B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1196545574390190080/P9hGeh7l_normal.jpg,https://pbs.twimg.com/profile_images/1196545574390190080/P9hGeh7l_normal.jpg,https://pbs.twimg.com/profile_banners/76403083/1462463172,84003B,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,False,2.0,6.0,False,False,en,,,,,,,,,,,,,,,,,,,,
25,Thu Jan 23 12:07:45 +0000 2020,1220317193054904321,1220317193054904321,@skywaywriter @queensu @QueensCTL Have a great first session! I have no doubt it'll be wonderful. ☺️,False,"[34, 100]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2201296352136765e+18,1220129635213676544,723879295.0,723879295,skywaywriter,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'skywaywriter', 'name': 'Lindsay Brant', 'id': 723879295, 'id_str': '723879295', 'indices': [0, 13]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [14, 22]}, {'screen_name': 'QueensCTL', 'name': 'QueensCTL', 'id': 2798029108, 'id_str': '2798029108', 'indices': [23, 33]}]",[],en,recent,1011050626636238849,1011050626636238849,Liv Rondeau,MissORondeau,Katarokwi ,Métis M.Ed Student @queenseduc | @ATEPQueens Graduate | Advocate For Language Revitalization & Land-Based Ed | Kanien'kéha Kateweiénhstha | She/They,,[],False,948,4427,3,Mon Jun 25 00:57:08 +0000 2018,4275,,,True,False,1505,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1195129325793796096/2FI2ragE_normal.jpg,https://pbs.twimg.com/profile_images/1195129325793796096/2FI2ragE_normal.jpg,https://pbs.twimg.com/profile_banners/1011050626636238849/1573613456,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thu Jan 23 01:22:24 +0000 2020,1220154785468313600,1220154785468313600,RT @DavidMaslove: Newly-minted @CIHR_IRSC researcher @jgordonboyd celebrating with the @queensu team on the heels of amazing news today - 5…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'DavidMaslove', 'name': 'David Maslove', 'id': 951267291722932226, 'id_str': '951267291722932226', 'indices': [3, 16]}, {'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [31, 41]}, {'screen_name': 'jgordonboyd', 'name': 'J Gordon Boyd', 'id': 2610172631, 'id_str': '2610172631', 'indices': [53, 65]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [87, 95]}]",[],en,recent,702671001482457089,702671001482457089,Kevin Lee,kevinfhlee,"Kingston, Ontario",🇨🇦 Father. Medical Student. Scientist. Athlete.,https://t.co/fJ4bPgRzTw,[],False,152,554,3,Thu Feb 25 01:46:36 +0000 2016,951,,,False,False,124,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/884600718677741568/7Mak6YOe_normal.jpg,https://pbs.twimg.com/profile_images/884600718677741568/7Mak6YOe_normal.jpg,https://pbs.twimg.com/profile_banners/702671001482457089/1499740223,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/fJ4bPgRzTw', 'expanded_url': 'https://sites.google.com/site/kevinfhlee/', 'display_url': 'sites.google.com/site/kevinfhle…', 'indices': [0, 23]}]",Wed Jan 22 18:36:51 +0000 2020,1.2200527243074314e+18,1220052724307431430,Newly-minted @CIHR_IRSC researcher @jgordonboyd celebrating with the @queensu team on the heels of amazing news today - 5 years of CONFOCAL funding! @QueensuDOM @KingstonHSC,False,"[0, 173]",[],[],"[{'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [13, 23]}, {'screen_name': 'jgordonboyd', 'name': 'J Gordon Boyd', 'id': 2610172631, 'id_str': '2610172631', 'indices': [35, 47]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [69, 77]}, {'screen_name': 'QueensuDOM', 'name': 'Queensu DOM', 'id': 760501956184080385, 'id_str': '760501956184080385', 'indices': [149, 160]}, {'screen_name': 'KingstonHSC', 'name': 'KingstonHSC', 'id': 355581570, 'id_str': '355581570', 'indices': [161, 173]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,9.512672917229322e+17,951267291722932226,David Maslove,DavidMaslove,"Kingston, Ontario","Intensivist, Internist, Informatician. Associate Editor for Data Science @CritCareMed.",https://t.co/S1Jaw1RxT2,"[{'url': 'https://t.co/S1Jaw1RxT2', 'expanded_url': 'http://www.conduitlab.org', 'display_url': 'conduitlab.org', 'indices': [0, 23]}]",[],False,252.0,54.0,0.0,Thu Jan 11 01:39:30 +0000 2018,84.0,,,True,False,150.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/955811667463626753/YmLHg-q2_normal.jpg,https://pbs.twimg.com/profile_images/955811667463626753/YmLHg-q2_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,6.0,71.0,False,False,en,,,,,,,,,,,,,,,,,,,,
31,Wed Jan 22 20:49:53 +0000 2020,1220086202432442370,1220086202432442370,@DavidMaslove @CIHR_IRSC @jgordonboyd @queensu @QueensuDOM @KingstonHSC Congratulations to Gord and his research team ! This is fantastic news !,False,"[72, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200527243074314e+18,1220052724307431430,9.512672917229322e+17,951267291722932226,DavidMaslove,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'DavidMaslove', 'name': 'David Maslove', 'id': 951267291722932226, 'id_str': '951267291722932226', 'indices': [0, 13]}, {'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [14, 24]}, {'screen_name': 'jgordonboyd', 'name': 'J Gordon Boyd', 'id': 2610172631, 'id_str': '2610172631', 'indices': [25, 37]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [38, 46]}, {'screen_name': 'QueensuDOM', 'name': 'Queensu DOM', 'id': 760501956184080385, 'id_str': '760501956184080385', 'indices': [47, 58]}, {'screen_name': 'KingstonHSC', 'name': 'KingstonHSC', 'id': 355581570, 'id_str': '355581570', 'indices': [59, 71]}]",[],en,recent,423338299,423338299,Michael Fitzpatrick,KHSCcos,"Kingston, Ontario","Respirologist, Sleep Medicine specialist, Chief of Staff & Vice President Medical Affairs, Kingston Health Sciences Centre.",,[],False,319,155,2,Mon Nov 28 11:23:25 +0000 2011,1032,,,True,False,348,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/564634802109054976/LP0JobTd_normal.jpeg,https://pbs.twimg.com/profile_images/564634802109054976/LP0JobTd_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48ad377ff2ff9e51,https://api.twitter.com/1.1/geo/id/48ad377ff2ff9e51.json,city,Kingston,"Kingston, Ontario",CA,Canada,[],Polygon,"[[[-76.712759, 44.16054], [-76.233463, 44.16054], [-76.233463, 44.481126], [-76.712759, 44.481126]]]",,,,,,,,,,
33,Wed Jan 22 19:27:47 +0000 2020,1220065541437698049,1220065541437698049,RT @DavidMaslove: Newly-minted @CIHR_IRSC researcher @jgordonboyd celebrating with the @queensu team on the heels of amazing news today - 5…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'DavidMaslove', 'name': 'David Maslove', 'id': 951267291722932226, 'id_str': '951267291722932226', 'indices': [3, 16]}, {'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [31, 41]}, {'screen_name': 'jgordonboyd', 'name': 'J Gordon Boyd', 'id': 2610172631, 'id_str': '2610172631', 'indices': [53, 65]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [87, 95]}]",[],en,recent,193520653,193520653,Matthew Jefkins,m_jefkins,"Sudbury, Ontario","Queen's University Alumnus '09, U of T 1T3, NOSM 2018, Queen’s IM PGY2",,[],False,161,749,1,Wed Sep 22 01:04:48 +0000 2010,1110,,,False,False,351,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/830084189072482304/5R9TtOL9_normal.jpg,https://pbs.twimg.com/profile_images/830084189072482304/5R9TtOL9_normal.jpg,https://pbs.twimg.com/profile_banners/193520653/1353162584,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,Wed Jan 22 18:36:51 +0000 2020,1.2200527243074314e+18,1220052724307431430,Newly-minted @CIHR_IRSC researcher @jgordonboyd celebrating with the @queensu team on the heels of amazing news today - 5 years of CONFOCAL funding! @QueensuDOM @KingstonHSC,False,"[0, 173]",[],[],"[{'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [13, 23]}, {'screen_name': 'jgordonboyd', 'name': 'J Gordon Boyd', 'id': 2610172631, 'id_str': '2610172631', 'indices': [35, 47]}, {'screen_name': 'queensu', 'name': ""Queen's University"", 'id': 19429847, 'id_str': '19429847', 'indices': [69, 77]}, {'screen_name': 'QueensuDOM', 'name': 'Queensu DOM', 'id': 760501956184080385, 'id_str': '760501956184080385', 'indices': [149, 160]}, {'screen_name': 'KingstonHSC', 'name': 'KingstonHSC', 'id': 355581570, 'id_str': '355581570', 'indices': [161, 173]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,9.512672917229322e+17,951267291722932226,David Maslove,DavidMaslove,"Kingston, Ontario","Intensivist, Internist, Informatician. Associate Editor for Data Science @CritCareMed.",https://t.co/S1Jaw1RxT2,"[{'url': 'https://t.co/S1Jaw1RxT2', 'expanded_url': 'http://www.conduitlab.org', 'display_url': 'conduitlab.org', 'indices': [0, 23]}]",[],False,252.0,54.0,0.0,Thu Jan 11 01:39:30 +0000 2018,84.0,,,True,False,150.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/955811667463626753/YmLHg-q2_normal.jpg,https://pbs.twimg.com/profile_images/955811667463626753/YmLHg-q2_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,6.0,71.0,False,False,en,,,,,,,,,,,,,,,,,,,,
