,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
7,Thu Jan 23 17:16:06 +0000 2020,1220394789054509056,1220394789054509056,@RockefellerUniv @pollyp1 @theNASciences Congratulations! 🎉 🎈 🎊,False,"[41, 63]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220013437620818e+18,1220013437620817922,27024872.0,27024872,RockefellerUniv,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [0, 16]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [17, 25]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [26, 40]}]",[],en,recent,91455335,91455335,The Kavli Foundation,KavliFoundation,"Los Angeles, CA","Dedicated to advancing science for the benefit of humanity, promoting public understanding of scientific research, and supporting scientists and their work.",http://t.co/406PA3cQcs,"[{'url': 'http://t.co/406PA3cQcs', 'expanded_url': 'http://www.kavlifoundation.org', 'display_url': 'kavlifoundation.org', 'indices': [0, 22]}]",[],False,9662,498,347,Fri Nov 20 23:51:55 +0000 2009,1441,,,False,False,6454,,False,False,False,A5CBEC,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1101272169789575168/VPhI76-D_normal.png,https://pbs.twimg.com/profile_images/1101272169789575168/VPhI76-D_normal.png,https://pbs.twimg.com/profile_banners/91455335/1551398880,1E4994,A5CBEC,1D3075,95C2E8,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Thu Jan 23 06:18:33 +0000 2020,1220229314366464002,1220229314366464002,@ardemp @RockefellerUniv @HHMINEWS @theNASciences @pollyp1 Congratulations,False,"[59, 74]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220016949054169e+18,1220016949054169088,123122671.0,123122671,ardemp,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ardemp', 'name': 'Ardem Patapoutian', 'id': 123122671, 'id_str': '123122671', 'indices': [0, 7]}, {'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [8, 24]}, {'screen_name': 'HHMINEWS', 'name': 'HHMI NEWS', 'id': 43199901, 'id_str': '43199901', 'indices': [25, 34]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [35, 49]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [50, 58]}]",[],en,recent,205332121,205332121,Rex D A B,rexprem,,"Graduate student
                                       Area of interest- Proteomics and infectious disease",,,[],False,206,2359,14,Wed Oct 20 16:49:54 +0000 2010,2554,,,False,False,1913,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1148616450392768513/0QinFOSp_normal.jpg,https://pbs.twimg.com/profile_images/1148616450392768513/0QinFOSp_normal.jpg,https://pbs.twimg.com/profile_banners/205332121/1555394697,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thu Jan 23 03:30:31 +0000 2020,1220187025371910144,1220187025371910144,@RockefellerUniv @pollyp1 @theNASciences Congrats @pollyp1 ! Well deserved!!,False,"[41, 76]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220013437620818e+18,1220013437620817922,27024872.0,27024872,RockefellerUniv,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [0, 16]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [17, 25]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [26, 40]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [50, 58]}]",[],en,recent,3072541911,3072541911,Stephanie Albin,flygirlPhD,,Drosophila neurobiologist and Science Program Officer at the Kavli Foundation. All opinions expressed are my own.,,,[],False,387,470,7,Thu Mar 05 15:07:38 +0000 2015,716,,,True,False,482,,False,False,False,000000,http://abs.twimg.com/images/themes/theme10/bg.gif,https://abs.twimg.com/images/themes/theme10/bg.gif,False,http://pbs.twimg.com/profile_images/655108431578288128/LTGuZrfF_normal.jpg,https://pbs.twimg.com/profile_images/655108431578288128/LTGuZrfF_normal.jpg,https://pbs.twimg.com/profile_banners/3072541911/1445024930,008080,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Thu Jan 23 03:27:27 +0000 2020,1220186254400114689,1220186254400114689,@Constantinatheo @rockedu_ @RockefellerUniv It’s times like these I really miss Rockefeller...,False,"[44, 94]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201617611832238e+18,1220161761183223809,3837324801.0,3837324801,Constantinatheo,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Constantinatheo', 'name': 'Constantina Theofanopoulou', 'id': 3837324801, 'id_str': '3837324801', 'indices': [0, 16]}, {'screen_name': 'rockedu_', 'name': 'RockEDU', 'id': 2885216957, 'id_str': '2885216957', 'indices': [17, 26]}, {'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [27, 43]}]",[],en,recent,879244261,879244261,Heidi Moss Erickson,heidi_moss,,"soprano, scientist, pedagogue, Mom, Facial Paralysis advocate, composer's wife, lover of polka dots. claim to fame=t-loops & singing with a damaged cVII nerve.",,,[],False,719,806,51,Sun Oct 14 03:37:46 +0000 2012,64720,,,True,False,23361,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/876693169563353088/xmQF-yTa_normal.jpg,https://pbs.twimg.com/profile_images/876693169563353088/xmQF-yTa_normal.jpg,https://pbs.twimg.com/profile_banners/879244261/1496208157,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Thu Jan 23 02:08:29 +0000 2020,1220166382861606912,1220166382861606912,@RockefellerUniv @pollyp1 @theNASciences Congratulations @pollyp1 !!,False,"[41, 68]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220013437620818e+18,1220013437620817922,27024872.0,27024872,RockefellerUniv,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [0, 16]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [17, 25]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [26, 40]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [57, 65]}]",[],en,recent,263747020,263747020,Adriana Heguy,AdrianaHeguy,New York,"Genomics scientist, vegetarian, animal lover, atheist, mom. ❤️Biking, kayaking and running. Tweets are my own opinion. Do not contact me at work. She/her",,,[],False,1042,1592,49,Thu Mar 10 17:21:15 +0000 2011,87523,,,True,False,48005,,False,False,False,C0DCF1,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1038123749814546432/14DAVyrF_normal.jpg,https://pbs.twimg.com/profile_images/1038123749814546432/14DAVyrF_normal.jpg,https://pbs.twimg.com/profile_banners/263747020/1498432218,5C91B9,C0DCF1,1C1C1C,C0DCF1,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Thu Jan 23 01:02:20 +0000 2020,1220149735962693632,1220149735962693632,@RockefellerUniv @pollyp1 @theNASciences Congratulations @pollyp1 well deserved,False,"[41, 79]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220013437620818e+18,1220013437620817922,27024872.0,27024872,RockefellerUniv,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [0, 16]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [17, 25]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [26, 40]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [57, 65]}]",[],en,recent,301506975,301506975,Boyana Konforti,BoyanaKonforti,NYC,"scientist, passionate about engaging the public with science in the most inclusive way -my views are my own",,,[],False,254,376,5,Thu May 19 15:52:39 +0000 2011,509,,,False,False,604,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1431250662/bk_as_budding_editor_normal.jpg,https://pbs.twimg.com/profile_images/1431250662/bk_as_budding_editor_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Wed Jan 22 21:38:21 +0000 2020,1220098401703870464,1220098401703870464,@RockefellerUniv @pollyp1 @theNASciences Wonderful news!  Congrats Leslie!,False,"[41, 74]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220013437620818e+18,1220013437620817922,27024872.0,27024872,RockefellerUniv,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [0, 16]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [17, 25]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [26, 40]}]",[],en,recent,1043667150,1043667150,Chris Potter,flyknows,"Baltimore, Maryland",Drosophila and mosquito olfaction neuroscientist in Baltimore; Likes combining neuroscience and genetics. Co-Director of Neuroscience Training Program.,https://t.co/FhCVUB4MTD,"[{'url': 'https://t.co/FhCVUB4MTD', 'expanded_url': 'http://potterlab.johnshopkins.edu', 'display_url': 'potterlab.johnshopkins.edu', 'indices': [0, 23]}]",[],False,1230,354,13,Sat Dec 29 02:55:47 +0000 2012,8567,,,True,False,1261,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1015306606131712000/6bC7UoyG_normal.jpg,https://pbs.twimg.com/profile_images/1015306606131712000/6bC7UoyG_normal.jpg,https://pbs.twimg.com/profile_banners/1043667150/1517517393,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Wed Jan 22 20:56:35 +0000 2020,1220087888219713537,1220087888219713537,@RockefellerUniv @pollyp1 @theNASciences Congratulations Leslie!!,False,"[41, 65]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220013437620818e+18,1220013437620817922,27024872.0,27024872,RockefellerUniv,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [0, 16]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [17, 25]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [26, 40]}]",[],en,recent,932382617336508416,932382617336508416,Monica Bettencourt-Dias,IGCcentrioles,"Oeiras, Portugal","Scientist & communicator:#cellbiology in #development, #evolution and #disease. My motto “Science from all for all”. @IGCiencia Director, @FCGulbenkian @CCR_lab",https://t.co/W6AbOfxr2k,"[{'url': 'https://t.co/W6AbOfxr2k', 'expanded_url': 'http://igc.gulbenkian.pt/', 'display_url': 'igc.gulbenkian.pt', 'indices': [0, 23]}]",[],False,2329,602,20,Sun Nov 19 22:58:33 +0000 2017,3134,,,False,False,1489,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/935855980767834112/37Aj4Tes_normal.jpg,https://pbs.twimg.com/profile_images/935855980767834112/37Aj4Tes_normal.jpg,https://pbs.twimg.com/profile_banners/932382617336508416/1511961456,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Wed Jan 22 18:42:15 +0000 2020,1220054081152176128,1220054081152176128,@theNASciences @SenguptaLab @RockefellerUniv @HHMINEWS Congrats Leslie!,False,"[55, 71]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200472717163807e+18,1220047271716380679,2293415520.0,2293415520,theNASciences,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [0, 14]}, {'screen_name': 'SenguptaLab', 'name': 'Piali Sengupta', 'id': 180317990, 'id_str': '180317990', 'indices': [15, 27]}, {'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [28, 44]}, {'screen_name': 'HHMINEWS', 'name': 'HHMI NEWS', 'id': 43199901, 'id_str': '43199901', 'indices': [45, 54]}]",[],en,recent,1168646503533023232,1168646503533023232,David Solecki Lab,SoleckiLab,"Memphis, TN",Posting Solecki lab life and our science studying neurons with cool microscopes. Proud part of #GenX #firstgen college @stjuderesearch #workfamily #fightcancer,,,[],False,1043,992,3,Mon Sep 02 22:07:05 +0000 2019,7610,,,False,False,735,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1171960162283864064/CgXpmL0v_normal.jpg,https://pbs.twimg.com/profile_images/1171960162283864064/CgXpmL0v_normal.jpg,https://pbs.twimg.com/profile_banners/1168646503533023232/1567462350,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Wed Jan 22 16:21:28 +0000 2020,1220018653384642560,1220018653384642560,"@RockefellerUniv @pollyp1 @theNASciences Congratulations, @pollyp1!",False,"[41, 67]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220013437620818e+18,1220013437620817922,27024872.0,27024872,RockefellerUniv,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'RockefellerUniv', 'name': 'Rockefeller University', 'id': 27024872, 'id_str': '27024872', 'indices': [0, 16]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [17, 25]}, {'screen_name': 'theNASciences', 'name': 'NatlAcad of Sciences', 'id': 2293415520, 'id_str': '2293415520', 'indices': [26, 40]}, {'screen_name': 'pollyp1', 'name': 'Leslie Vosshall PhD', 'id': 28912478, 'id_str': '28912478', 'indices': [58, 66]}]",[],en,recent,382419425,382419425,Jessica Castner,DrCastner,"Buffalo, NY","Journal of Emergency Nursing Editor-in-Chief, Scientist/Faculty. Environments for health, respiratory outcomes, preventing/mitigating emergencies. Views my own.",,,[],False,611,720,14,Fri Sep 30 01:30:35 +0000 2011,6336,,,False,False,5319,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1022253781399027717/qhLxMdy9_normal.jpg,https://pbs.twimg.com/profile_images/1022253781399027717/qhLxMdy9_normal.jpg,https://pbs.twimg.com/profile_banners/382419425/1561991989,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
