,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,user.profile_banner_url,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
7,Sat Jan 25 00:45:17 +0000 2020,1220870220077768704,1220870220077768704,"@vanderbrooke @SLU_Official I also want to thank you, @vanderbrooke. Brooke &amp; others have been helping us translate Latin &amp; French docs about the lives of the enslaved people who belonged to the Jesuits. Brooke’s translations have shed more light on Charles’ life, which @SHMRJesuits will be featuring soon.",False,"[28, 315]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208633263910625e+18,1220863326391062529,1.1610212508918456e+18,1161021250891845633,vanderbrooke,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'vanderbrooke', 'name': 'Brooke Vandervelde', 'id': 1161021250891845633, 'id_str': '1161021250891845633', 'indices': [0, 13]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [14, 27]}, {'screen_name': 'vanderbrooke', 'name': 'Brooke Vandervelde', 'id': 1161021250891845633, 'id_str': '1161021250891845633', 'indices': [54, 67]}, {'screen_name': 'SHMRJesuits', 'name': 'Slavery, History, Memory, & Reconciliation Project', 'id': 1146524381016989702, 'id_str': '1146524381016989702', 'indices': [279, 291]}]",[],en,recent,4861411210,4861411210,Kelly L. Schmidt,CyberspaceClio,"St Louis, MO","@SHMRJesuits Research Coordinator | Public History and US History PhD Candidate @LoyolaChicago | Historian of slavery, race, abolition | Digital humanist",https://t.co/I40S5WbhBg,[],False,135,301,1,Fri Jan 29 19:53:36 +0000 2016,791,,,False,False,436,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/693161078461698048/y-gN0m8x_normal.jpg,https://pbs.twimg.com/profile_images/693161078461698048/y-gN0m8x_normal.jpg,89C9FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/I40S5WbhBg', 'expanded_url': 'https://w.taskstream.com/ts/schmidt140/KellySchmidt', 'display_url': 'w.taskstream.com/ts/schmidt140/…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/4861411210/1454795380,,,,,,,,,,,,,
9,Sat Jan 25 00:27:12 +0000 2020,1220865668008071169,1220865668008071169,"@BlkNunHistorian @SLU_Official Wow...this means the world to me, because I’m a huge admirer of your work and everything you’re doing to bring more attention to Black Catholic history! I’m honored to take part in the effort.",False,"[31, 223]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208614224789504e+18,1220861422478950401,1.1576511333069865e+18,1157651133306986496,BlkNunHistorian,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'BlkNunHistorian', 'name': 'Shannen Dee Williams, Ph.D.', 'id': 1157651133306986496, 'id_str': '1157651133306986496', 'indices': [0, 16]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [17, 30]}]",[],en,recent,4861411210,4861411210,Kelly L. Schmidt,CyberspaceClio,"St Louis, MO","@SHMRJesuits Research Coordinator | Public History and US History PhD Candidate @LoyolaChicago | Historian of slavery, race, abolition | Digital humanist",https://t.co/I40S5WbhBg,[],False,135,301,1,Fri Jan 29 19:53:36 +0000 2016,791,,,False,False,436,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/693161078461698048/y-gN0m8x_normal.jpg,https://pbs.twimg.com/profile_images/693161078461698048/y-gN0m8x_normal.jpg,89C9FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/I40S5WbhBg', 'expanded_url': 'https://w.taskstream.com/ts/schmidt140/KellySchmidt', 'display_url': 'w.taskstream.com/ts/schmidt140/…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/4861411210/1454795380,,,,,,,,,,,,,
12,Sat Jan 25 00:02:31 +0000 2020,1220859454217957376,1220859454217957376,Mannn we setting up for this amazing show right now at @SLU_Official with @Say_Dre and More! Pull up!,False,"[0, 101]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [55, 68]}, {'screen_name': 'Say_Dre', 'name': ""Dre'Co™"", 'id': 230855240, 'id_str': '230855240', 'indices': [74, 82]}]",[],en,recent,51694071,51694071,#1 Sophisti-Rachet DJ,DjClimate24,The Dj Booth,@Streetz1051 Radio | @ADDICT_DOPENESS I #24Scientist I SMA ‘14DJofTheYear I ‘16 Midwest DJ I ‘18 DeluxMag Dj |DjClimateBooking@gmail.com I #ΦΒΣ | FERGUSON Mo,https://t.co/d67ZNEYgIz,[],False,3277,1367,36,Sun Jun 28 09:46:59 +0000 2009,1219,,,True,False,116565,,False,False,False,181A21,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1118010113686634496/4iagKx7v_normal.jpg,https://pbs.twimg.com/profile_images/1118010113686634496/4iagKx7v_normal.jpg,660000,FFFFFF,2874F7,080A1F,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/d67ZNEYgIz', 'expanded_url': 'http://www.addictedDopeness.com', 'display_url': 'addictedDopeness.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/51694071/1480053287,,,,,,,,,,,,,
20,Fri Jan 24 19:35:41 +0000 2020,1220792306246262784,1220792306246262784,"Few will have the opportunity to make such an exciting (and pivotal) life decision as SLU DPT Student, Alli Klug (Class of 2022) choosing between SLU Program of Physical Therapy or a professional career in soccer. #dchslife #Billikens @sludchs @SLU_Official @SLU_Billikens",False,"[0, 272]","<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,4,35,False,False,en,"[{'text': 'dchslife', 'indices': [214, 223]}, {'text': 'Billikens', 'indices': [224, 234]}]",[],"[{'screen_name': 'sludchs', 'name': 'SLU Doisy College', 'id': 355751495, 'id_str': '355751495', 'indices': [235, 243]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [244, 257]}, {'screen_name': 'SLU_Billikens', 'name': 'Billiken Athletics', 'id': 39342103, 'id_str': '39342103', 'indices': [258, 272]}]",[],en,recent,2205635474,2205635474,SLU Program in PT,SLU_PT,"Saint Louis, MO","Doctor of Physical Therapy Program at Saint Louis University, accredited since 1936. Tweets by Ruth Reese (sluptat@health.slu.edu)",https://t.co/wLr58AdHov,[],False,711,316,15,Wed Nov 20 21:32:21 +0000 2013,637,,,True,False,2594,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/842015497201709056/peYEw2c0_normal.jpg,https://pbs.twimg.com/profile_images/842015497201709056/peYEw2c0_normal.jpg,003D85,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/wLr58AdHov', 'expanded_url': 'http://www.slu.edu/programs/undergraduate/physical-therapy.php', 'display_url': 'slu.edu/programs/under…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2205635474/1571070063,,,,,,,,,,,,,
21,Fri Jan 24 18:03:07 +0000 2020,1220769008372342785,1220769008372342785,"Welcome to our first speaker of the semester, @SLU_Official alum, Dr. Doug Hammerstroem!",False,"[0, 88]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [46, 59]}]",[],en,recent,2973929531,2973929531,SLUChemDept,SLUChemDept,"St. Louis, MO, USA",Twitter account for the Department of Chemistry at Saint Louis University,http://t.co/Z1LLSmU4AL,[],False,198,208,4,Mon Jan 12 01:01:08 +0000 2015,73,,,True,False,420,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/554444526882803712/so_K37eT_normal.jpeg,https://pbs.twimg.com/profile_images/554444526882803712/so_K37eT_normal.jpeg,0000FF,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/Z1LLSmU4AL', 'expanded_url': 'http://www.slu.edu/department-of-chemistry-home', 'display_url': 'slu.edu/department-of-…', 'indices': [0, 22]}]",,,,,,,,,,,,,,
22,Fri Jan 24 13:12:36 +0000 2020,1220695897400541184,1220695897400541184,@producer_peggy @AngWxGrl @FOX2now @RandiNaughton @MollyRoseTV I know I felt that way so many times when I went to @SLU_Official...,False,"[63, 131]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2206910110740644e+18,1220691011074064386,8.042690491779318e+17,804269049177931776,producer_peggy,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'producer_peggy', 'name': 'Producer Peggy', 'id': 804269049177931776, 'id_str': '804269049177931776', 'indices': [0, 15]}, {'screen_name': 'AngWxGrl', 'name': 'Angela Hutti', 'id': 19244137, 'id_str': '19244137', 'indices': [16, 25]}, {'screen_name': 'FOX2now', 'name': 'FOX2now', 'id': 11265832, 'id_str': '11265832', 'indices': [26, 34]}, {'screen_name': 'RandiNaughton', 'name': 'Randi Naughton', 'id': 326843436, 'id_str': '326843436', 'indices': [35, 49]}, {'screen_name': 'MollyRoseTV', 'name': 'Molly Rose', 'id': 361596728, 'id_str': '361596728', 'indices': [50, 62]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [115, 128]}]",[],en,recent,794755290,794755290,Bobby Stilwell,stilwellwhnt,"Huntsville, AL",#amnewsers Digital Producer/Reporter @whnt | @slu_official grad | FAA Certified Drone Pilot | Part of #NexstarNation | https://t.co/Tqkn8UUP1Z,https://t.co/sEVLZzHPLc,"[{'url': 'https://t.co/Tqkn8UUP1Z', 'expanded_url': 'http://SeeDisclaimer.com', 'display_url': 'SeeDisclaimer.com', 'indices': [119, 142]}]",False,1289,1579,28,Fri Aug 31 21:59:06 +0000 2012,43097,,,True,True,27328,,False,False,False,3B94D9,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1186679289191817222/FzZSI214_normal.jpg,https://pbs.twimg.com/profile_images/1186679289191817222/FzZSI214_normal.jpg,3B94D9,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/sEVLZzHPLc', 'expanded_url': 'https://whnt.com/author/whntbobbystilwell/', 'display_url': 'whnt.com/author/whntbob…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/794755290/1553132017,,,,,,,,,,,,,
37,Wed Jan 22 18:27:02 +0000 2020,1220050254688608257,1220050254688608257,RT @SLU_PT: How do you build confidence while making your way through a rigorous curriculum like SLU's Program in Physical Therapy? SLU DPT…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'SLU_PT', 'name': 'SLU Program in PT', 'id': 2205635474, 'id_str': '2205635474', 'indices': [3, 10]}]",[],en,recent,1201696804737298433,1201696804737298433,"John Schaefer, SPT",SchaeferHealth,,Saint Louis University Doctorate of Physical Therapy Candidate 2022 || Co-President SLU Physical Therapy Student Association,https://t.co/mE0M3OTnB2,[],False,8,29,0,Tue Dec 03 02:57:14 +0000 2019,5,,,False,False,4,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1203709261651550211/fbIUyAcW_normal.jpg,https://pbs.twimg.com/profile_images/1203709261651550211/fbIUyAcW_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Wed Jan 22 17:15:55 +0000 2020,1.220032356704301e+18,1220032356704301056,"How do you build confidence while making your way through a rigorous curriculum like SLU's Program in Physical Therapy? SLU DPT Student, John Schaefer (Class of 2022), has some great ideas about this and more in our blog. To read click below. @sludchs @SLU_Official #wellness",False,"[0, 275]","[{'text': 'wellness', 'indices': [266, 275]}]",[],"[{'screen_name': 'sludchs', 'name': 'SLU Doisy College', 'id': 355751495, 'id_str': '355751495', 'indices': [243, 251]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [252, 265]}]",[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,2205635474.0,2205635474,SLU Program in PT,SLU_PT,"Saint Louis, MO","Doctor of Physical Therapy Program at Saint Louis University, accredited since 1936. Tweets by Ruth Reese (sluptat@health.slu.edu)",https://t.co/wLr58AdHov,"[{'url': 'https://t.co/wLr58AdHov', 'expanded_url': 'http://www.slu.edu/programs/undergraduate/physical-therapy.php', 'display_url': 'slu.edu/programs/under…', 'indices': [0, 23]}]",[],False,711.0,316.0,15.0,Wed Nov 20 21:32:21 +0000 2013,637.0,,,True,False,2594.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/842015497201709056/peYEw2c0_normal.jpg,https://pbs.twimg.com/profile_images/842015497201709056/peYEw2c0_normal.jpg,https://pbs.twimg.com/profile_banners/2205635474/1571070063,003D85,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,1.0,6.0,False,False,en,"[{'url': 'https://t.co/mE0M3OTnB2', 'expanded_url': 'https://www.linkedin.com/in/john-schaefer-spt-265902150/', 'display_url': 'linkedin.com/in/john-schaef…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1201696804737298433/1575821674,,,,,,,,,,,,,
38,Wed Jan 22 17:15:55 +0000 2020,1220032356704301056,1220032356704301056,"How do you build confidence while making your way through a rigorous curriculum like SLU's Program in Physical Therapy? SLU DPT Student, John Schaefer (Class of 2022), has some great ideas about this and more in our blog. To read click below. @sludchs @SLU_Official #wellness",False,"[0, 275]","<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,,,,,False,1,6,False,False,en,"[{'text': 'wellness', 'indices': [266, 275]}]",[],"[{'screen_name': 'sludchs', 'name': 'SLU Doisy College', 'id': 355751495, 'id_str': '355751495', 'indices': [243, 251]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [252, 265]}]",[],en,recent,2205635474,2205635474,SLU Program in PT,SLU_PT,"Saint Louis, MO","Doctor of Physical Therapy Program at Saint Louis University, accredited since 1936. Tweets by Ruth Reese (sluptat@health.slu.edu)",https://t.co/wLr58AdHov,[],False,711,316,15,Wed Nov 20 21:32:21 +0000 2013,637,,,True,False,2594,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/842015497201709056/peYEw2c0_normal.jpg,https://pbs.twimg.com/profile_images/842015497201709056/peYEw2c0_normal.jpg,003D85,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/wLr58AdHov', 'expanded_url': 'http://www.slu.edu/programs/undergraduate/physical-therapy.php', 'display_url': 'slu.edu/programs/under…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2205635474/1571070063,,,,,,,,,,,,,
41,Tue Jan 21 18:25:50 +0000 2020,1219687563255930880,1219687563255930880,RT @CougRstats: One more thing!! If anyone is thinking about attending #useR2020 - giving a presentation would be excellent practice before…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,0,False,False,en,"[{'text': 'useR2020', 'indices': [71, 80]}]",[],"[{'screen_name': 'CougRstats', 'name': 'cougR', 'id': 900817312135077888, 'id_str': '900817312135077888', 'indices': [3, 14]}]",[],en,recent,368648739,368648739,Dowen Jocson,DowenJocson,"Pullman, WA",life-long-student| 26| Saipan | STL | SLU | WSU @CrowderLabWSU | entomologist | keeper of board games,,[],False,222,340,5,Tue Sep 06 00:25:03 +0000 2011,885,,,True,False,1803,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1121652198205575175/pOWbYImE_normal.jpg,https://pbs.twimg.com/profile_images/1121652198205575175/pOWbYImE_normal.jpg,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,Tue Jan 21 17:51:01 +0000 2020,1.2196788025544172e+18,1219678802554417152,One more thing!! If anyone is thinking about attending #useR2020 - giving a presentation would be excellent practice before #primetime Abstracts are due 03 Feb! And btw @useR2020stl any way you could help boost our #rstats signal? 1 of our co-leads is a @SLU_Official alum 😁,False,"[0, 274]","[{'text': 'useR2020', 'indices': [55, 64]}, {'text': 'primetime', 'indices': [124, 134]}, {'text': 'rstats', 'indices': [215, 222]}]",[],"[{'screen_name': 'useR2020stl', 'name': 'useR! 2020', 'id': 1102763906714554368, 'id_str': '1102763906714554368', 'indices': [169, 181]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [254, 267]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196740697227837e+18,1219674069722783744,9.008173121350779e+17,900817312135077888,CougRstats,9.008173121350779e+17,900817312135077888,cougR,CougRstats,"Pullman, WA",We're a WSU-based #rstats working group. Join us!! Stats | Modeling | Data Science | Team Science,https://t.co/fDHuHLOtkN,"[{'url': 'https://t.co/fDHuHLOtkN', 'expanded_url': 'https://cereo.wsu.edu/r-working-group/', 'display_url': 'cereo.wsu.edu/r-working-grou…', 'indices': [0, 23]}]",[],False,221.0,182.0,6.0,Thu Aug 24 20:29:18 +0000 2017,210.0,,,False,False,538.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/925119240243363840/IuZoS5zd_normal.jpg,https://pbs.twimg.com/profile_images/925119240243363840/IuZoS5zd_normal.jpg,https://pbs.twimg.com/profile_banners/900817312135077888/1572998560,981E32,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,3.0,5.0,False,False,en,,https://pbs.twimg.com/profile_banners/368648739/1559853523,,,,,,,,,,,,,
43,Tue Jan 21 17:51:01 +0000 2020,1219678802554417152,1219678802554417152,One more thing!! If anyone is thinking about attending #useR2020 - giving a presentation would be excellent practice before #primetime Abstracts are due 03 Feb! And btw @useR2020stl any way you could help boost our #rstats signal? 1 of our co-leads is a @SLU_Official alum 😁,False,"[0, 274]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196740697227837e+18,1219674069722783744,9.008173121350779e+17,900817312135077888,CougRstats,,,,,False,3,5,False,False,en,"[{'text': 'useR2020', 'indices': [55, 64]}, {'text': 'primetime', 'indices': [124, 134]}, {'text': 'rstats', 'indices': [215, 222]}]",[],"[{'screen_name': 'useR2020stl', 'name': 'useR! 2020', 'id': 1102763906714554368, 'id_str': '1102763906714554368', 'indices': [169, 181]}, {'screen_name': 'SLU_Official', 'name': 'Saint Louis University', 'id': 102423027, 'id_str': '102423027', 'indices': [254, 267]}]",[],en,recent,900817312135077888,900817312135077888,cougR,CougRstats,"Pullman, WA",We're a WSU-based #rstats working group. Join us!! Stats | Modeling | Data Science | Team Science,https://t.co/fDHuHLOtkN,[],False,221,182,6,Thu Aug 24 20:29:18 +0000 2017,210,,,False,False,538,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/925119240243363840/IuZoS5zd_normal.jpg,https://pbs.twimg.com/profile_images/925119240243363840/IuZoS5zd_normal.jpg,981E32,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/fDHuHLOtkN', 'expanded_url': 'https://cereo.wsu.edu/r-working-group/', 'display_url': 'cereo.wsu.edu/r-working-grou…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/900817312135077888/1572998560,,,,,,,,,,,,,
