,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place
6,Sat Jan 25 02:27:17 +0000 2020,1220895889637568513,1220895889637568513,@SFSU @GoldsmithsUoL What a find! We in the Graduate College of Education at San Francisco State would love to hear more.,False,"[21, 121]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208663811446415e+18,1220866381144641544,22694478.0,22694478,SFSU,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [0, 5]}, {'screen_name': 'GoldsmithsUoL', 'name': 'Goldsmiths', 'id': 20682165, 'id_str': '20682165', 'indices': [6, 20]}]",[],en,recent,1033736182406897664,1033736182406897664,@DeanGrutzik,deangrutzik,"San Francisco, CA","Dean, Graduate College of Education
San Francisco State University",,[],False,103,73,1,Sun Aug 26 15:21:26 +0000 2018,1029,,,False,False,249,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1033741124513325058/GivlSn1V_normal.jpg,https://pbs.twimg.com/profile_images/1033741124513325058/GivlSn1V_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fri Jan 24 18:08:19 +0000 2020,1220770317095714816,1220770317095714816,@Lurch_53 @SFSU @DennisKPIX @49ers @Chiefs It was originally the Golden Gaters with a Gator standing next to the bridge but at some point was changed to Gators.,False,"[43, 160]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220750278225322e+18,1220750278225321985,162053073.0,162053073,Lurch_53,,,,,False,1,5,False,False,en,[],[],"[{'screen_name': 'Lurch_53', 'name': 'Lurch', 'id': 162053073, 'id_str': '162053073', 'indices': [0, 9]}, {'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [10, 15]}, {'screen_name': 'DennisKPIX', 'name': ""Dennis O'Donnell"", 'id': 191325456, 'id_str': '191325456', 'indices': [16, 27]}, {'screen_name': '49ers', 'name': 'San Francisco 49ers', 'id': 43403778, 'id_str': '43403778', 'indices': [28, 34]}, {'screen_name': 'Chiefs', 'name': 'Kansas City Chiefs', 'id': 33583496, 'id_str': '33583496', 'indices': [35, 42]}]",[],en,recent,267306559,267306559,San Francisco State Athletics,SFState_Gators,"San Francisco, CA",The official Twitter account of San Francisco State Gators Athletics.  🏐⚽️🏀👟🤼‍♂️⚾️🥎 @ncaadii @goccaa @sfsu #chompcity,https://t.co/yQSFpYderl,[],False,3302,332,62,Wed Mar 16 17:58:56 +0000 2011,3375,,,True,False,18539,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1146140040956796929/q6uyELxe_normal.jpg,https://pbs.twimg.com/profile_images/1146140040956796929/q6uyELxe_normal.jpg,https://pbs.twimg.com/profile_banners/267306559/1517633311,7100B3,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/yQSFpYderl', 'expanded_url': 'http://www.sfstategators.com', 'display_url': 'sfstategators.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a110d312052166f,https://api.twitter.com/1.1/geo/id/5a110d312052166f.json,city,San Francisco,"San Francisco, CA",US,United States,[],Polygon,"[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]",
11,Fri Jan 24 17:05:41 +0000 2020,1220754555496828928,1220754555496828928,RT @KarinaJNielsen: faculty retreat @sfsu yesterday: We worked w/ colleagues from many departments on 2 new interdisciplinary programs w/ e…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'KarinaJNielsen', 'name': 'Dr. Karina J. Nielsen', 'id': 572939731, 'id_str': '572939731', 'indices': [3, 18]}, {'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [36, 41]}]",[],en,recent,1601760702,1601760702,Sustainable SF State,sustainsfstate,"San Francisco, CA",Office of Sustainability at San Francisco State University. #SFSU #GreenSFSU,http://t.co/guWVMp52hf,[],False,1215,1150,56,Wed Jul 17 20:36:01 +0000 2013,2145,,,True,False,1686,,False,False,False,62D679,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/627256431725514752/ova8T0Lz_normal.jpg,https://pbs.twimg.com/profile_images/627256431725514752/ova8T0Lz_normal.jpg,https://pbs.twimg.com/profile_banners/1601760702/1438384612,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'http://t.co/guWVMp52hf', 'expanded_url': 'http://sustain.sfsu.edu', 'display_url': 'sustain.sfsu.edu', 'indices': [0, 22]}]",Fri Jan 24 15:47:16 +0000 2020,1.2207348238047273e+18,1220734823804727296,faculty retreat @sfsu yesterday: We worked w/ colleagues from many departments on 2 new interdisciplinary programs w/ emphases on #ClimateChange impacts + solutions: new undergrad climate change certificate + grad data science certificate. #ClimateFriday #AcademicLife,False,"[0, 268]","[{'text': 'ClimateChange', 'indices': [130, 144]}, {'text': 'ClimateFriday', 'indices': [240, 254]}, {'text': 'AcademicLife', 'indices': [255, 268]}]",[],"[{'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [16, 21]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,572939731.0,572939731,Dr. Karina J. Nielsen,KarinaJNielsen,Ancestral Coast Miwok Land,"coastal ecology, climate crisis, conservation, science education, inclusion, policy. she/her/hers. biology professor & ED @EOS_Center @SFSU. tweets are mine.",,,[],False,1059.0,842.0,40.0,Sun May 06 19:20:59 +0000 2012,5543.0,,,True,False,1823.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/527715732369334272/KVG0tra9_normal.jpeg,https://pbs.twimg.com/profile_images/527715732369334272/KVG0tra9_normal.jpeg,https://pbs.twimg.com/profile_banners/572939731/1414652509,89C9FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,fbd6d2f5a4e4a15e,https://api.twitter.com/1.1/geo/id/fbd6d2f5a4e4a15e.json,admin,California,"California, USA",US,United States,[],Polygon,"[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",,False,3.0,15.0,False,False,en,,,,,,,,,,,
15,Fri Jan 24 15:47:16 +0000 2020,1220734823804727296,1220734823804727296,faculty retreat @sfsu yesterday: We worked w/ colleagues from many departments on 2 new interdisciplinary programs w/ emphases on #ClimateChange impacts + solutions: new undergrad climate change certificate + grad data science certificate. #ClimateFriday #AcademicLife,False,"[0, 268]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,15,False,False,en,"[{'text': 'ClimateChange', 'indices': [130, 144]}, {'text': 'ClimateFriday', 'indices': [240, 254]}, {'text': 'AcademicLife', 'indices': [255, 268]}]",[],"[{'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [16, 21]}]",[],en,recent,572939731,572939731,Dr. Karina J. Nielsen,KarinaJNielsen,Ancestral Coast Miwok Land,"coastal ecology, climate crisis, conservation, science education, inclusion, policy. she/her/hers. biology professor & ED @EOS_Center @SFSU. tweets are mine.",,[],False,1059,842,40,Sun May 06 19:20:59 +0000 2012,5543,,,True,False,1823,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/527715732369334272/KVG0tra9_normal.jpeg,https://pbs.twimg.com/profile_images/527715732369334272/KVG0tra9_normal.jpeg,https://pbs.twimg.com/profile_banners/572939731/1414652509,89C9FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fbd6d2f5a4e4a15e,https://api.twitter.com/1.1/geo/id/fbd6d2f5a4e4a15e.json,admin,California,"California, USA",US,United States,[],Polygon,"[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",
18,Fri Jan 24 04:41:56 +0000 2020,1220567386815750144,1220567386815750144,@MrOrlandoH @SFSU @SFSU_CSLD @SFSUAlumni Whew! Thick up there!!,False,"[41, 63]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220388620093182e+18,1220388620093181952,331180935.0,331180935,MrOrlandoH,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MrOrlandoH', 'name': 'Orlando Harris', 'id': 331180935, 'id_str': '331180935', 'indices': [0, 11]}, {'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [12, 17]}, {'screen_name': 'SFSU_CSLD', 'name': 'SFSU_CSLD', 'id': 3598857319, 'id_str': '3598857319', 'indices': [18, 28]}, {'screen_name': 'SFSUAlumni', 'name': 'SF State Alumni Association', 'id': 44478419, 'id_str': '44478419', 'indices': [29, 40]}]",[],en,recent,42934125,42934125,Pam Su,PamSu,"San Francisco, CA","Interim Associate Dean of Students, formerly Director of Campus Recreation, at SF State.",https://t.co/KAC5GLTcuo,[],False,388,515,9,Wed May 27 17:44:37 +0000 2009,6142,,,False,False,2195,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/966864452019658752/54dMZ2xV_normal.jpg,https://pbs.twimg.com/profile_images/966864452019658752/54dMZ2xV_normal.jpg,https://pbs.twimg.com/profile_banners/42934125/1525654756,D02B55,829D5E,99CC33,3E4415,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/KAC5GLTcuo', 'expanded_url': 'http://dos.sfsu.edu', 'display_url': 'dos.sfsu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 02:28:57 +0000 2020,1220533919373639680,1220533919373639680,"@SFSU @BontaHill @DennisKPIX @SFState_Gators @49ers @Chiefs Nice! I didn’t know #SFSU had a football team. Interesting how there were a bunch of college football teams in NorCal that went defunct (St. Mary’s, Santa Clara). I guess it’s probably too expensive to maintain. 🏈 #bayarea",False,"[60, 282]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220470022428078e+18,1220470022428078080,22694478.0,22694478,SFSU,,,,,False,0,0,False,False,en,"[{'text': 'SFSU', 'indices': [80, 85]}, {'text': 'bayarea', 'indices': [274, 282]}]",[],"[{'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [0, 5]}, {'screen_name': 'BontaHill', 'name': 'Bonta Hill', 'id': 274369740, 'id_str': '274369740', 'indices': [6, 16]}, {'screen_name': 'DennisKPIX', 'name': ""Dennis O'Donnell"", 'id': 191325456, 'id_str': '191325456', 'indices': [17, 28]}, {'screen_name': 'SFState_Gators', 'name': 'San Francisco State Athletics', 'id': 267306559, 'id_str': '267306559', 'indices': [29, 44]}, {'screen_name': '49ers', 'name': 'San Francisco 49ers', 'id': 43403778, 'id_str': '43403778', 'indices': [45, 51]}, {'screen_name': 'Chiefs', 'name': 'Kansas City Chiefs', 'id': 33583496, 'id_str': '33583496', 'indices': [52, 59]}]",[],en,recent,816557983186358274,816557983186358274,Burke,BAMunleashed,"Bay Area, California, USA","Bay Area tech marketer! 😁Into tech 👨🏼‍💻💻, biz💰📊, 🏛, science🔬🔭, travel🌎, news📻, 🎧🥁🎸+🍺🍷🎥📸🏞+ sports/NFL🏈🏟🏀⛹🏽⚽️⛳️🏌🏻🏂⚾️🏒🎾🏋🏻🚵",,[],False,374,4995,8,Wed Jan 04 08:12:48 +0000 2017,25153,,,False,False,1673,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/838499464545357824/2MIQfsCK_normal.jpg,https://pbs.twimg.com/profile_images/838499464545357824/2MIQfsCK_normal.jpg,https://pbs.twimg.com/profile_banners/816557983186358274/1485588806,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Thu Jan 23 23:38:50 +0000 2020,1220491106879602688,1220491106879602688,"@Joe_Stiglich @SFSU Yes, Joe.  Andy Reid left, the legendary Vic Rowen in the middle, and Dirk Koetter, who was the head coach of Tampa, now o-coordinator in Atlanta.",False,"[20, 166]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204900135503176e+18,1220490013550317568,109027681.0,109027681,Joe_Stiglich,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Joe_Stiglich', 'name': 'Joe Stiglich', 'id': 109027681, 'id_str': '109027681', 'indices': [0, 13]}, {'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [14, 19]}]",[],en,recent,191325456,191325456,Dennis O'Donnell,DennisKPIX,,"Sports Director, https://t.co/xpy0Sl5fuB, San Francisco. 4-time Emmy Award Winner, 5-time APTRA Winner for Best Sports Cast, SFSU Hall of Fame",https://t.co/uIAHlWC0ek,"[{'url': 'https://t.co/xpy0Sl5fuB', 'expanded_url': 'http://CBSSF.COM', 'display_url': 'CBSSF.COM', 'indices': [17, 40]}]",False,2744,226,89,Thu Sep 16 04:44:53 +0000 2010,2051,,,True,False,9374,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/692859515918643203/uIyiKkcn_normal.jpg,https://pbs.twimg.com/profile_images/692859515918643203/uIyiKkcn_normal.jpg,https://pbs.twimg.com/profile_banners/191325456/1524802197,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/uIAHlWC0ek', 'expanded_url': 'http://www.cbssf.com', 'display_url': 'cbssf.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thu Jan 23 22:15:31 +0000 2020,1220470139612647424,1220470139612647424,@ChantalBevard @SFSU Right?!? I didn’t know we had one in the first place,False,"[21, 73]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204576237844275e+18,1220457623784427520,42845965.0,42845965,ChantalBevard,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ChantalBevard', 'name': 'Chantal Bevard', 'id': 42845965, 'id_str': '42845965', 'indices': [0, 14]}, {'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [15, 20]}]",[],en,recent,2894096018,2894096018,Victoria Elizabeth,Victoriaaa_E,"Columbia, MO",LA ➡️ SF ➡️ COMO ▪️Master’s student @mujschool 🎓,,[],False,67,439,1,Sat Nov 08 20:40:32 +0000 2014,5485,,,True,False,491,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1139929790104793088/3V0K-QAe_normal.jpg,https://pbs.twimg.com/profile_images/1139929790104793088/3V0K-QAe_normal.jpg,https://pbs.twimg.com/profile_banners/2894096018/1563323446,FFCC4D,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Thu Jan 23 21:09:10 +0000 2020,1220453444298989568,1220453444298989568,"@DennisKPIX @AHoshidaSports @KPIXtv @SFSU @SFState_Gators Holy Cow. Down that rabbit hole I went...

I was in the city a few months ago, and went on campus to see how things have changed in 20+ years. Went to the bookstore to buy a hoodie...didn't. A #chompcity one? Probably. Such a good name.

Thanks for the info.",False,"[58, 316]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203836674925158e+18,1220383667492515840,191325456.0,191325456,DennisKPIX,,,,,False,0,1,False,False,en,"[{'text': 'chompcity', 'indices': [251, 261]}]",[],"[{'screen_name': 'DennisKPIX', 'name': ""Dennis O'Donnell"", 'id': 191325456, 'id_str': '191325456', 'indices': [0, 11]}, {'screen_name': 'AHoshidaSports', 'name': 'Alan Hoshida', 'id': 161575908, 'id_str': '161575908', 'indices': [12, 27]}, {'screen_name': 'KPIXtv', 'name': 'KPIX 5', 'id': 16657699, 'id_str': '16657699', 'indices': [28, 35]}, {'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [36, 41]}, {'screen_name': 'SFState_Gators', 'name': 'San Francisco State Athletics', 'id': 267306559, 'id_str': '267306559', 'indices': [42, 57]}]",[],en,recent,23039953,23039953,Greg Baker,gmbakes,"Moorpark, CA ","@MHSMonsoons 94 and #ChompCity @SFSU 98 alum. Father. Husband.

- @LAFC
- @Angels
- @LARams
- @Eagles_sc",,[],False,124,205,1,Fri Mar 06 06:47:31 +0000 2009,462,,,True,False,401,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,True,http://pbs.twimg.com/profile_images/88978913/n508660585_2554020_3344_normal.jpg,https://pbs.twimg.com/profile_images/88978913/n508660585_2554020_3344_normal.jpg,https://pbs.twimg.com/profile_banners/23039953/1398316806,FF0000,F2E195,FFF7CC,0C3E53,True,False,False,False,False,False,False,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Thu Jan 23 17:14:40 +0000 2020,1220394430600888320,1220394430600888320,@jkoslov @AHoshidaSports @DennisKPIX @KPIXtv @SFSU @SFState_Gators Where is my XXL basketball jersey? Or at least a hoodie. Right?,False,"[67, 130]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.22038930772412e+18,1220389307724120065,415651551.0,415651551,jkoslov,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jkoslov', 'name': 'J K', 'id': 415651551, 'id_str': '415651551', 'indices': [0, 8]}, {'screen_name': 'AHoshidaSports', 'name': 'Alan Hoshida', 'id': 161575908, 'id_str': '161575908', 'indices': [9, 24]}, {'screen_name': 'DennisKPIX', 'name': ""Dennis O'Donnell"", 'id': 191325456, 'id_str': '191325456', 'indices': [25, 36]}, {'screen_name': 'KPIXtv', 'name': 'KPIX 5', 'id': 16657699, 'id_str': '16657699', 'indices': [37, 44]}, {'screen_name': 'SFSU', 'name': 'SF State', 'id': 22694478, 'id_str': '22694478', 'indices': [45, 50]}, {'screen_name': 'SFState_Gators', 'name': 'San Francisco State Athletics', 'id': 267306559, 'id_str': '267306559', 'indices': [51, 66]}]",[],en,recent,23039953,23039953,Greg Baker,gmbakes,"Moorpark, CA ","@MHSMonsoons 94 and #ChompCity @SFSU 98 alum. Father. Husband.

- @LAFC
- @Angels
- @LARams
- @Eagles_sc",,[],False,124,205,1,Fri Mar 06 06:47:31 +0000 2009,462,,,True,False,401,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,True,http://pbs.twimg.com/profile_images/88978913/n508660585_2554020_3344_normal.jpg,https://pbs.twimg.com/profile_images/88978913/n508660585_2554020_3344_normal.jpg,https://pbs.twimg.com/profile_banners/23039953/1398316806,FF0000,F2E195,FFF7CC,0C3E53,True,False,False,False,False,False,False,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
