,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
4,Fri Jan 24 13:05:55 +0000 2020,1220694219368603648,1220694219368603648,"Had a really enjoyable time today at a workshop on how to publish in The Conversation @ConversationUK led by editor Michael Parker @yourangmlady. Very engaging and informative, and a great way to learn about fascinating research going on elsewhere at the University @Stockholm_Uni",False,"[0, 280]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ConversationUK', 'name': 'The Conversation', 'id': 1241258612, 'id_str': '1241258612', 'indices': [86, 101]}, {'screen_name': 'yourangmlady', 'name': 'Michael Parker', 'id': 617065471, 'id_str': '617065471', 'indices': [131, 144]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [266, 280]}]",[],en,recent,1144617356594962432,1144617356594962432,John Hader,John_D_Hader,"Stockholm, Sweden",PhD student and Marie Curie Fellow at Stockholm University. Focus is on numerical modelling of environmental contaminants within the #ECORISK2050 project.,https://t.co/H0DhV1w7TJ,[],False,78,164,0,Fri Jun 28 14:43:38 +0000 2019,193,,,False,False,30,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1144617754160435200/Onzf6VNk_normal.jpg,https://pbs.twimg.com/profile_images/1144617754160435200/Onzf6VNk_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/H0DhV1w7TJ', 'expanded_url': 'https://scholar.google.com/citations?user=kC5e0l4AAAAJ&hl=en', 'display_url': 'scholar.google.com/citations?user…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1144617356594962432/1565540998,,,,,,,,,,
5,Thu Jan 23 21:42:05 +0000 2020,1220461727101456390,1220461727101456390,@BioDataJournal @naturhistoriska @Stockholm_Uni @StationLinne @SvenskaArtproje @Natursidan Lookin' at that 1% Lepidoptera and wondering if any are butterflies....? Or all moths?,False,"[91, 177]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2199001479682376e+18,1219900147968237568,978152190.0,978152190,BioDataJournal,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'BioDataJournal', 'name': 'BDJournal', 'id': 978152190, 'id_str': '978152190', 'indices': [0, 15]}, {'screen_name': 'naturhistoriska', 'name': 'Naturhist.riksmuseet', 'id': 239777919, 'id_str': '239777919', 'indices': [16, 32]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [33, 47]}, {'screen_name': 'StationLinne', 'name': 'Station Linné', 'id': 3147603407, 'id_str': '3147603407', 'indices': [48, 61]}, {'screen_name': 'SvenskaArtproje', 'name': 'Svenska artprojektet', 'id': 589052505, 'id_str': '589052505', 'indices': [62, 78]}, {'screen_name': 'Natursidan', 'name': 'Natursidan.se', 'id': 1086588858, 'id_str': '1086588858', 'indices': [79, 90]}]",[],en,recent,842796232011628548,842796232011628548,Jesse ⚾🧢🦋,TheTownJester,"Oakland, CA","Oakland A's baseball, fitted caps, pins, pennants, butterflies and science",,[],False,174,128,1,Fri Mar 17 17:54:14 +0000 2017,6322,,,False,False,3141,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1129113786126782464/H3dBMOeC_normal.jpg,https://pbs.twimg.com/profile_images/1129113786126782464/H3dBMOeC_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/842796232011628548/1543795119,,,,,,,,,,
6,Thu Jan 23 18:42:01 +0000 2020,1220416412025544704,1220416412025544704,@jcarocd @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal Thank you Juan!!! Yes! Come visit soon! :),False,"[60, 102]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204153384599101e+18,1220415338459910144,1078018328.0,1078018328,jcarocd,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jcarocd', 'name': 'J. Caro', 'id': 1078018328, 'id_str': '1078018328', 'indices': [0, 8]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [9, 22]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [23, 37]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [38, 47]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [48, 59]}]",[],en,recent,3152015050,3152015050,Prado Domercq,PradoDN,,"Chemist with a PhD in Environmental Sciences. Interested in modelling, ecotoxicology, urban pollution and emerging contaminants.",,[],False,216,372,2,Thu Apr 09 15:29:15 +0000 2015,726,,,True,False,275,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,https://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/3152015050/1447507817,,,,,,,,,,
12,Wed Jan 22 14:35:13 +0000 2020,1219991915392831488,1219991915392831488,@Jamal_Hallam @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal Thanks Jamal :),False,"[65, 80]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2197321180346819e+18,1219732118034681866,9.717020004664975e+17,971702000466497544,Jamal_Hallam,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Jamal_Hallam', 'name': 'Jamal Hallam', 'id': 971702000466497544, 'id_str': '971702000466497544', 'indices': [0, 13]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [14, 27]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [28, 42]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [43, 52]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [53, 64]}]",[],en,recent,3152015050,3152015050,Prado Domercq,PradoDN,,"Chemist with a PhD in Environmental Sciences. Interested in modelling, ecotoxicology, urban pollution and emerging contaminants.",,[],False,216,372,2,Thu Apr 09 15:29:15 +0000 2015,726,,,True,False,275,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,https://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/3152015050/1447507817,,,,,,,,,,
15,Tue Jan 21 18:12:34 +0000 2020,1219684225336651776,1219684225336651776,@PradoDN @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal Congratulations prado.🥳🎆 wish all the best,False,"[60, 102]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2192925394062336e+18,1219292539406233602,3152015050.0,3152015050,PradoDN,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PradoDN', 'name': 'Prado Domercq', 'id': 3152015050, 'id_str': '3152015050', 'indices': [0, 8]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [9, 22]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [23, 37]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [38, 47]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [48, 59]}]",[],en,recent,2557922868,2557922868,Mohamed A. Ghorab,Ghorab84Mohamed,"East Lansing, MI","Wildlife Toxicology Laboratory, Animal Science Department, Institute for Integrative Toxicology, Michigan State University.",https://t.co/JsOj1gLO6F,[],False,354,1582,2,Tue Jun 10 01:48:02 +0000 2014,1443,,,False,False,348,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/476180998049128449/h64eaZMT_normal.jpeg,https://pbs.twimg.com/profile_images/476180998049128449/h64eaZMT_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/JsOj1gLO6F', 'expanded_url': 'https://create4stem.msu.edu/people/mohamed-ghorab', 'display_url': 'create4stem.msu.edu/people/mohamed…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2557922868/1510243298,,,,,,,,,,
16,Tue Jan 21 15:34:30 +0000 2020,1219644447136329728,1219644447136329728,@mafaldacastro_ @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal Thank you!! :),False,"[67, 81]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2196380320197222e+18,1219638032019722240,107451454.0,107451454,mafaldacastro_,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'mafaldacastro_', 'name': 'Mafalda Castro', 'id': 107451454, 'id_str': '107451454', 'indices': [0, 15]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [16, 29]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [30, 44]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [45, 54]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [55, 66]}]",[],en,recent,3152015050,3152015050,Prado Domercq,PradoDN,,"Chemist with a PhD in Environmental Sciences. Interested in modelling, ecotoxicology, urban pollution and emerging contaminants.",,[],False,216,372,2,Thu Apr 09 15:29:15 +0000 2015,726,,,True,False,275,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,https://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/3152015050/1447507817,,,,,,,,,,
17,Tue Jan 21 15:09:01 +0000 2020,1219638032019722240,1219638032019722240,@PradoDN @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal Welcome to ACES! 🙂,False,"[60, 78]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2192925394062336e+18,1219292539406233602,3152015050.0,3152015050,PradoDN,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PradoDN', 'name': 'Prado Domercq', 'id': 3152015050, 'id_str': '3152015050', 'indices': [0, 8]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [9, 22]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [23, 37]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [38, 47]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [48, 59]}]",[],en,recent,107451454,107451454,Mafalda Castro,mafaldacastro_,"Stockholm, Sweden","PhD student at ACES, Stockholm University. Student Advisory Council of SETAC Europe. Environmental consciousness.",https://t.co/6fDPjhU2MI,[],False,61,121,0,Fri Jan 22 16:10:56 +0000 2010,109,,,True,False,42,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1184426332228378624/1IQFbZYI_normal.jpg,https://pbs.twimg.com/profile_images/1184426332228378624/1IQFbZYI_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/6fDPjhU2MI', 'expanded_url': 'http://researchgate.net/profile/mafalda_castro', 'display_url': 'researchgate.net/profile/mafald…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/107451454/1549718075,99cdab25eddd6bce,https://api.twitter.com/1.1/geo/id/99cdab25eddd6bce.json,city,Amsterdam,"Amsterdam, The Netherlands",NL,The Netherlands,[],Polygon,"[[[4.7288999, 52.2782266], [5.0792072, 52.2782266], [5.0792072, 52.4312289], [4.7288999, 52.4312289]]]"
18,Tue Jan 21 11:49:06 +0000 2020,1219587722190434304,1219587722190434304,"@PradoDN @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal Amazing, well done Prado!",False,"[60, 85]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2192925394062336e+18,1219292539406233602,3152015050.0,3152015050,PradoDN,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PradoDN', 'name': 'Prado Domercq', 'id': 3152015050, 'id_str': '3152015050', 'indices': [0, 8]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [9, 22]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [23, 37]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [38, 47]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [48, 59]}]",[],en,recent,936635828,936635828,Dr Francesca Falcini,FranFalcini,York,"Recently vivaed PhD researcher studying roughness underneath ice sheets. Currently job hunting. Glaciology, sports and photography enthusiast.",,[],False,458,465,14,Fri Nov 09 11:03:55 +0000 2012,1714,,,True,False,2139,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/601294427294978048/IZ5ADn4W_normal.jpg,https://pbs.twimg.com/profile_images/601294427294978048/IZ5ADn4W_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/936635828/1355911478,,,,,,,,,,
19,Mon Jan 20 21:40:27 +0000 2020,1219374152907481088,1219374152907481088,@JennyKPollard @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal Thanks Jenny! ♥️,False,"[66, 82]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.219373592330363e+18,1219373592330362881,9.895632190973256e+17,989563219097325569,JennyKPollard,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JennyKPollard', 'name': 'Jennifer Pollard', 'id': 989563219097325569, 'id_str': '989563219097325569', 'indices': [0, 14]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [15, 28]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [29, 43]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [44, 53]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [54, 65]}]",[],en,recent,3152015050,3152015050,Prado Domercq,PradoDN,,"Chemist with a PhD in Environmental Sciences. Interested in modelling, ecotoxicology, urban pollution and emerging contaminants.",,[],False,216,372,2,Thu Apr 09 15:29:15 +0000 2015,726,,,True,False,275,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,https://pbs.twimg.com/profile_images/1185135895923609600/kwwCUSYp_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/3152015050/1447507817,,,,,,,,,,
20,Mon Jan 20 21:38:13 +0000 2020,1219373592330362881,1219373592330362881,@PradoDN @AcesSthlmUni @Stockholm_Uni @MattMacL @inesr_leal So happy to see this news @PradoDN,False,"[60, 94]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2192925394062336e+18,1219292539406233602,3152015050.0,3152015050,PradoDN,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'PradoDN', 'name': 'Prado Domercq', 'id': 3152015050, 'id_str': '3152015050', 'indices': [0, 8]}, {'screen_name': 'AcesSthlmUni', 'name': 'Department of Environmental Science at Sthlm Uni', 'id': 985790766034444289, 'id_str': '985790766034444289', 'indices': [9, 22]}, {'screen_name': 'Stockholm_Uni', 'name': 'Stockholm University', 'id': 24183388, 'id_str': '24183388', 'indices': [23, 37]}, {'screen_name': 'MattMacL', 'name': 'Matthew MacLeod', 'id': 3333020591, 'id_str': '3333020591', 'indices': [38, 47]}, {'screen_name': 'inesr_leal', 'name': 'Inés Rodríguez Leal', 'id': 747189122, 'id_str': '747189122', 'indices': [48, 59]}, {'screen_name': 'PradoDN', 'name': 'Prado Domercq', 'id': 3152015050, 'id_str': '3152015050', 'indices': [86, 94]}]",[],en,recent,989563219097325569,989563219097325569,Jennifer Pollard,JennyKPollard,,"Mummy, scientist, career guide & lover of lichen",,[],False,58,104,0,Thu Apr 26 17:53:51 +0000 2018,479,,,False,False,64,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1016034476596563969/8Danoi57_normal.jpg,https://pbs.twimg.com/profile_images/1016034476596563969/8Danoi57_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/989563219097325569/1531076469,,,,,,,,,,
