,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.possibly_sensitive,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
8,Sat Jan 25 04:44:30 +0000 2020,1220930418226212865,1220930418226212865,@PixScienceCo Plant physiology taught entirely using active learning before active learning was a thing @SyracuseU,False,"[14, 114]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220704892647592e+18,1220704892647591936,495343686.0,495343686,PixScienceCo,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PixScienceCo', 'name': 'Syd 🔬🎨🧬', 'id': 495343686, 'id_str': '495343686', 'indices': [0, 13]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [104, 114]}]",[],en,recent,21166230,21166230,Dr. Ahna Skop,foodskop,"Madison, WI","👩‍🔬 🧬 🧫 Cell biologist, @aaasorg @ifthenshecan Ambassador, 👩‍🔬 👩‍🎨 scientist artist, 🧪🎂👩‍🍳 scientific cake baker, 🧳, @sacnas, STEAM Advocate",https://t.co/KH0GnquZhw,[],False,3718,1956,143,Wed Feb 18 03:48:36 +0000 2009,13925,,,True,False,8095,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1167269043704881152/cCN6pTq4_normal.jpg,https://pbs.twimg.com/profile_images/1167269043704881152/cCN6pTq4_normal.jpg,https://pbs.twimg.com/profile_banners/21166230/1575586567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/KH0GnquZhw', 'expanded_url': 'http://foodskop.com', 'display_url': 'foodskop.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 02:35:38 +0000 2020,1220897990157787136,1220897990157787136,@nittiaj @OrlandoMagic @SyracuseU @MagenBaumann Thanks Tony!,False,"[48, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208946085545247e+18,1220894608554524672,887406697.0,887406697,nittiaj,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'nittiaj', 'name': 'Tony Nitti', 'id': 887406697, 'id_str': '887406697', 'indices': [0, 8]}, {'screen_name': 'OrlandoMagic', 'name': 'Orlando Magic', 'id': 19537303, 'id_str': '19537303', 'indices': [9, 22]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [23, 33]}, {'screen_name': 'MagenBaumann', 'name': 'Magen Baumann', 'id': 875072664951558144, 'id_str': '875072664951558144', 'indices': [34, 47]}]",[],en,recent,16577004,16577004,David Baumann🎙,DavidBaumannORL,"Orlando, FL","📺@SpecSports360 panelist Thu, Sat, 10:30pm, 📻 @969TheGame #EKSports Tue 7-9pm @OrlandoMagic coverage since '04 
Alum: @NewhouseSU @SyracuseU @CrummerBusiness",https://t.co/j5iTSFeTGr,[],False,4859,3721,169,Fri Oct 03 12:23:00 +0000 2008,36562,,,True,False,25147,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1114626416996384768/KHm4RO3s_normal.jpg,https://pbs.twimg.com/profile_images/1114626416996384768/KHm4RO3s_normal.jpg,https://pbs.twimg.com/profile_banners/16577004/1578659798,0048B3,FFFFFF,C0DFEC,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/j5iTSFeTGr', 'expanded_url': 'https://www.407area.com/sports/', 'display_url': '407area.com/sports/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fri Jan 24 15:31:25 +0000 2020,1220730832056463362,1220730832056463362,"@GoldenTent @SyracuseU @OSCE I am the victim of #Armenia’s ethnic cleansing from our ancestral lands within #Azerbaijan’s int’lly recognized borders. If you think the status quo will stay as it is, you are mistaken. We won’t allow a second Armenia to be established on our lands. All options are on the table.",False,"[29, 309]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207289926443745e+18,1220728992644374529,37068251.0,37068251,GoldenTent,,,,,False,0,1,False,False,en,"[{'text': 'Armenia', 'indices': [48, 56]}, {'text': 'Azerbaijan', 'indices': [108, 119]}]",[],"[{'screen_name': 'GoldenTent', 'name': 'Ani Wandaryan', 'id': 37068251, 'id_str': '37068251', 'indices': [0, 11]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [12, 22]}, {'screen_name': 'OSCE', 'name': 'OSCE', 'id': 20226248, 'id_str': '20226248', 'indices': [23, 28]}]",[],en,recent,55006134,55006134,Gulmammad Mammadov,gulmammad,"Baku, Azerbaijan",From Karabakh. Spent 10 years in a refugee camp after Armenia forced us out of our ancestral lands. University professor with a US PhD in Biophysics.,,[],False,266,346,0,Wed Jul 08 19:48:23 +0000 2009,1081,,,True,False,497,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1218948441554006017/CabYo3J5_normal.jpg,https://pbs.twimg.com/profile_images/1218948441554006017/CabYo3J5_normal.jpg,,2FC2EF,181A1E,252429,666666,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fri Jan 24 06:58:30 +0000 2020,1220601755655905280,1220601755655905280,@GoldenTent @SyracuseU @SyracuseU must feel proud that it’s graduate is advocating for the return of 1M 🇦🇿 refugees &amp; IDPs to their ancestral lands who have been massacred &amp; expelled by Armenia to create “Greater Armenia”. I no longer want to see the sadness on my refugee &amp; IDP students’ faces. @OSCE,False,"[23, 313]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205906119229153e+18,1220590611922915328,55006134.0,55006134,gulmammad,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GoldenTent', 'name': 'Ani Wandaryan', 'id': 37068251, 'id_str': '37068251', 'indices': [0, 11]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [12, 22]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [23, 33]}, {'screen_name': 'OSCE', 'name': 'OSCE', 'id': 20226248, 'id_str': '20226248', 'indices': [308, 313]}]",[],en,recent,55006134,55006134,Gulmammad Mammadov,gulmammad,"Baku, Azerbaijan",From Karabakh. Spent 10 years in a refugee camp after Armenia forced us out of our ancestral lands. University professor with a US PhD in Biophysics.,,[],False,266,346,0,Wed Jul 08 19:48:23 +0000 2009,1081,,,True,False,497,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1218948441554006017/CabYo3J5_normal.jpg,https://pbs.twimg.com/profile_images/1218948441554006017/CabYo3J5_normal.jpg,,2FC2EF,181A1E,252429,666666,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 06:14:14 +0000 2020,1220590611922915328,1220590611922915328,"@GoldenTent @SyracuseU @GoldenTent, if Armenia doesn’t withdraw its occupying forces from Azerbaijan’s internationally recognized territories, of course we will resort to military operations &amp; wipe clean our lands from the enemy. International law warrants that right to Azerbaijan &amp; @SyracuseU knows it",False,"[23, 311]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204678773519606e+18,1220467877351960578,37068251.0,37068251,GoldenTent,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GoldenTent', 'name': 'Ani Wandaryan', 'id': 37068251, 'id_str': '37068251', 'indices': [0, 11]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [12, 22]}, {'screen_name': 'GoldenTent', 'name': 'Ani Wandaryan', 'id': 37068251, 'id_str': '37068251', 'indices': [23, 34]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [292, 302]}]",[],en,recent,55006134,55006134,Gulmammad Mammadov,gulmammad,"Baku, Azerbaijan",From Karabakh. Spent 10 years in a refugee camp after Armenia forced us out of our ancestral lands. University professor with a US PhD in Biophysics.,,[],False,266,346,0,Wed Jul 08 19:48:23 +0000 2009,1081,,,True,False,497,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,True,http://pbs.twimg.com/profile_images/1218948441554006017/CabYo3J5_normal.jpg,https://pbs.twimg.com/profile_images/1218948441554006017/CabYo3J5_normal.jpg,,2FC2EF,181A1E,252429,666666,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Thu Jan 23 16:35:50 +0000 2020,1220384655012175878,1220384655012175878,@MaxwellSU Thanks for sharing! There are many more opportunities to learn about the legacy of #MLK this week at @SyracuseU 🍊 See you all on Friday at Sheroes of Poetry! #SyracuseU,False,"[11, 179]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203794002370888e+18,1220379400237088774,160915108.0,160915108,MaxwellSU,,,,,False,0,1,False,False,en,"[{'text': 'MLK', 'indices': [94, 98]}, {'text': 'SyracuseU', 'indices': [169, 179]}]",[],"[{'screen_name': 'MaxwellSU', 'name': 'Maxwell School', 'id': 160915108, 'id_str': '160915108', 'indices': [0, 10]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [112, 122]}]",[],en,recent,621069102,621069102,Hendricks Chapel,HendricksChapel,"Syracuse, NY","The diverse religious, spiritual, ethical and cultural heart of @SyracuseU, connecting students to SU campus and the Syracuse community #BeHomeAtHendricks",https://t.co/TdyFAykLgM,[],False,1129,320,21,Thu Jun 28 13:35:38 +0000 2012,4144,,,False,False,2804,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1067133947002396672/3rT0tXSy_normal.jpg,https://pbs.twimg.com/profile_images/1067133947002396672/3rT0tXSy_normal.jpg,https://pbs.twimg.com/profile_banners/621069102/1540580290,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/TdyFAykLgM', 'expanded_url': 'http://hendricks.syr.edu/', 'display_url': 'hendricks.syr.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Thu Jan 23 14:13:30 +0000 2020,1220348836805271553,1220348836805271553,Things like this are why I love @SyracuseU 🍊,False,"[0, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203461867895235e+18,1220346186789523456,9.172351517169992e+17,917235151716999169,MasonHorodyski,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [32, 42]}]",[],en,recent,917235151716999169,917235151716999169,Mason Horodyski,MasonHorodyski,🍊,"@SyracuseU Newhouse 2020. I’m Very Good at Twitter. Creator of “No Pulp”, Sports Reporter & Analyst for @CitrusTVSports. Retwteets ≠ Endorsements.",https://t.co/YM1truZ6rz,[],False,168,165,1,Mon Oct 09 03:47:56 +0000 2017,161,,,False,False,183,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1159759842720067584/_NiDibnL_normal.jpg,https://pbs.twimg.com/profile_images/1159759842720067584/_NiDibnL_normal.jpg,https://pbs.twimg.com/profile_banners/917235151716999169/1510369182,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/YM1truZ6rz', 'expanded_url': 'http://masonhorodyski.com', 'display_url': 'masonhorodyski.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Thu Jan 23 04:11:09 +0000 2020,1220197249650655232,1220197249650655232,RT @jonathannchau: just a reminder that only the perpetrators of 1/21+ hate crimes on @SyracuseU campus were caught. when the university co…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,26,0,False,False,en,[],[],"[{'screen_name': 'jonathannchau', 'name': 'j chau', 'id': 953851699722153984, 'id_str': '953851699722153984', 'indices': [3, 17]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [86, 96]}]",[],en,recent,2680023853,2680023853,Willy,rebelnpeace,,"Sociology PhD Student | Interests: Social Movements, Hip-Hop Pedagogy, Trauma Narratives, Queer & Feminist Theory",,[],False,111,194,2,Fri Jul 25 16:47:13 +0000 2014,9843,,,True,False,6790,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206393628022759424/1cl8F99q_normal.jpg,https://pbs.twimg.com/profile_images/1206393628022759424/1cl8F99q_normal.jpg,https://pbs.twimg.com/profile_banners/2680023853/1563665595,050505,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,,Thu Jan 23 03:14:23 +0000 2020,1.2201829632767304e+18,1220182963276730368,"just a reminder that only the perpetrators of 1/21+ hate crimes on @SyracuseU campus were caught. when the university continues to be dimissive of violence against people of color, more of these “bias incidents” will occur as no actions perpetuate racist behaviors.",False,"[0, 265]",[],[],"[{'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [67, 77]}]",[],,,en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,9.53851699722154e+17,953851699722153984,j chau,jonathannchau,"San Diego, CA",my mind is numb ♡ decolonial trans feminist ♡ they/them/theirs ♡ formerly @papermagazine,,,[],False,127.0,156.0,0.0,Thu Jan 18 04:49:01 +0000 2018,2203.0,,,False,False,719.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1210758534146621441/YJD5CWs-_normal.jpg,https://pbs.twimg.com/profile_images/1210758534146621441/YJD5CWs-_normal.jpg,https://pbs.twimg.com/profile_banners/953851699722153984/1577216368,F58EA8,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,26.0,64.0,False,False,,en,,,,,,,,,,
71,Wed Jan 22 20:36:00 +0000 2020,1220082709613219840,1220082709613219840,@DOsports @MitchBannon Awesome and @SyracuseU leading the way!,False,"[23, 62]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2199553688953528e+18,1219955368895352833,25877316.0,25877316,DOsports,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'DOsports', 'name': 'Daily Orange Sports', 'id': 25877316, 'id_str': '25877316', 'indices': [0, 9]}, {'screen_name': 'MitchBannon', 'name': 'Mitch Bannon', 'id': 4899143068, 'id_str': '4899143068', 'indices': [10, 22]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [35, 45]}]",[],en,recent,1101203512036331520,1101203512036331520,Chris Lencheski,CLencheski,New York - London - Palm Beach,"Husband, Father, CEO, Adjunct Professor at @Columbia. @SyracuseU and @HarvardHBS alumnus and grateful everyday.",https://t.co/jsIeRPzxco,[],False,269,1417,4,Thu Feb 28 19:32:31 +0000 2019,781,,,False,False,140,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1101204163680239616/dw0GW2Qi_normal.jpg,https://pbs.twimg.com/profile_images/1101204163680239616/dw0GW2Qi_normal.jpg,https://pbs.twimg.com/profile_banners/1101203512036331520/1551386048,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/jsIeRPzxco', 'expanded_url': 'http://linkedin.com/in/chrislencheski', 'display_url': 'linkedin.com/in/chrislenche…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Wed Jan 22 20:25:29 +0000 2020,1220080062013362176,1220080062013362176,@SUAlums @SyracuseU Thanks for sharing! We are so excited to come together with the #SyracuseU community this weekend 🧡🍊,False,"[20, 120]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200270348748513e+18,1220027034874851329,95932130.0,95932130,SUAlums,,,,,False,0,1,False,False,en,"[{'text': 'SyracuseU', 'indices': [84, 94]}]",[],"[{'screen_name': 'SUAlums', 'name': 'Syracuse Alumni🍊', 'id': 95932130, 'id_str': '95932130', 'indices': [0, 8]}, {'screen_name': 'SyracuseU', 'name': 'Syracuse University', 'id': 125688706, 'id_str': '125688706', 'indices': [9, 19]}]",[],en,recent,621069102,621069102,Hendricks Chapel,HendricksChapel,"Syracuse, NY","The diverse religious, spiritual, ethical and cultural heart of @SyracuseU, connecting students to SU campus and the Syracuse community #BeHomeAtHendricks",https://t.co/TdyFAykLgM,[],False,1129,320,21,Thu Jun 28 13:35:38 +0000 2012,4144,,,False,False,2804,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1067133947002396672/3rT0tXSy_normal.jpg,https://pbs.twimg.com/profile_images/1067133947002396672/3rT0tXSy_normal.jpg,https://pbs.twimg.com/profile_banners/621069102/1540580290,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/TdyFAykLgM', 'expanded_url': 'http://hendricks.syr.edu/', 'display_url': 'hendricks.syr.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
