,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
25,Sat Jan 25 13:48:00 +0000 2020,1221067194299297792,1221067194299297792,@lexingtonsuper @PhillyASAP @PhillyFutures @TempleUniv @KYWNewsradio @PhiladelphiaGov @PhilaReads You are sweet.  Means a lot,False,"[98, 125]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210621882548756e+18,1221062188254875648,713326983.0,713326983,lexingtonsuper,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'lexingtonsuper', 'name': 'Dr. Julie Hackett', 'id': 713326983, 'id_str': '713326983', 'indices': [0, 15]}, {'screen_name': 'PhillyASAP', 'name': 'ASAP', 'id': 85869588, 'id_str': '85869588', 'indices': [16, 27]}, {'screen_name': 'PhillyFutures', 'name': 'Philadelphia Futures', 'id': 53796406, 'id_str': '53796406', 'indices': [28, 42]}, {'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [43, 54]}, {'screen_name': 'KYWNewsradio', 'name': 'KYW Newsradio', 'id': 52293877, 'id_str': '52293877', 'indices': [55, 68]}, {'screen_name': 'PhiladelphiaGov', 'name': 'City of Philadelphia', 'id': 19358830, 'id_str': '19358830', 'indices': [69, 85]}, {'screen_name': 'PhilaReads', 'name': 'Philadelphia READS', 'id': 465346157, 'id_str': '465346157', 'indices': [86, 97]}]",[],en,recent,722533677859794945,722533677859794945,Jon Mattleman,jonmattleman,"Massachusetts, USA","Mental Health Counselor, Presenter, & Consultant. Creator of #SecretLivesOfTeens. Passionate about parenting & suicide prevention. Proud @ClarkUniversity alum.",https://t.co/zunCMXyTdX,"[{'url': 'https://t.co/zunCMXyTdX', 'expanded_url': 'http://jonmattleman.com', 'display_url': 'jonmattleman.com', 'indices': [0, 23]}]",[],False,1341,4939,21,Tue Apr 19 21:13:47 +0000 2016,12217,,,False,False,2680,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/724818772247347200/Iw4etMYN_normal.jpg,https://pbs.twimg.com/profile_images/724818772247347200/Iw4etMYN_normal.jpg,,0084B4,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sat Jan 25 00:13:19 +0000 2020,1220862174287073280,1220862174287073280,"@AMWeinnig @CordesLab @TempleUniv @OceanDeepSearch @CST_TempleU @JayLunden Congratulations to Erik, Alexis, Steve, and colleagues!  Well deserved recognition!",False,"[75, 158]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220723184288387e+18,1220723184288387075,2279629033.0,2279629033,AMWeinnig,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'AMWeinnig', 'name': 'Alexis Weinnig', 'id': 2279629033, 'id_str': '2279629033', 'indices': [0, 10]}, {'screen_name': 'CordesLab', 'name': 'Erik Cordes', 'id': 1098402578, 'id_str': '1098402578', 'indices': [11, 21]}, {'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [22, 33]}, {'screen_name': 'OceanDeepSearch', 'name': 'Exploring Atlantic Canyon & Cold Seep Habitats', 'id': 930475158233649154, 'id_str': '930475158233649154', 'indices': [34, 50]}, {'screen_name': 'CST_TempleU', 'name': 'CST Temple', 'id': 2396095374, 'id_str': '2396095374', 'indices': [51, 63]}, {'screen_name': 'JayLunden', 'name': 'Jay Lunden', 'id': 310029397, 'id_str': '310029397', 'indices': [64, 74]}]",[],en,recent,1281152636,1281152636,Emil Petruncio,EPviews,"Arnold, MD","Retired Naval Officer, Ocean Explorer, Science Educator, Digital Artist, Fencing Coach",,,[],False,82,137,1,Tue Mar 19 18:21:45 +0000 2013,275,,,False,False,160,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1170344523291136000/vFhxZfxC_normal.jpg,https://pbs.twimg.com/profile_images/1170344523291136000/vFhxZfxC_normal.jpg,https://pbs.twimg.com/profile_banners/1281152636/1579959181,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Fri Jan 24 19:31:52 +0000 2020,1220791345024925696,1220791345024925696,"college has changed my life. in the few months that i have been a college student, i have been blessed with so many opportunities, all of which have been nothing but positive. i'm so much happier now. thank you @TempleUniv",False,"[0, 222]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [211, 222]}]",[],en,recent,907415447976468480,907415447976468480,Olivia,livyy_anne511,,"UPHS '19
TU '23
TU Color Guard
Media Studies and Production Major",,,[],False,32,32,0,Tue Sep 12 01:27:56 +0000 2017,193,,,False,False,115,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1220924597765193735/jumau45H_normal.jpg,https://pbs.twimg.com/profile_images/1220924597765193735/jumau45H_normal.jpg,https://pbs.twimg.com/profile_banners/907415447976468480/1570294338,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fri Jan 24 19:17:34 +0000 2020,1220787745456476160,1220787745456476160,@TNMArnold @TempleUniv Thank you for visiting! We are glad you enjoyed it.,False,"[23, 74]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207643406111007e+18,1220764340611100672,1385008160.0,1385008160,TNMArnold,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'TNMArnold', 'name': 'Tim Arnold', 'id': 1385008160, 'id_str': '1385008160', 'indices': [0, 10]}, {'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [11, 22]}]",[],en,recent,30919650,30919650,Temple Libraries,TempleLibraries,"Philadelphia, PA",The Libraries @TempleUniv https://t.co/G2e5Bdiykm | #CharlesLibrary https://t.co/ce3tTPkqmK | #BeyondThePageTU https://t.co/Fsd8HJb2jd,https://t.co/G2e5BdA9IW,"[{'url': 'https://t.co/G2e5BdA9IW', 'expanded_url': 'http://library.temple.edu', 'display_url': 'library.temple.edu', 'indices': [0, 23]}]","[{'url': 'https://t.co/G2e5Bdiykm', 'expanded_url': 'http://library.temple.edu', 'display_url': 'library.temple.edu', 'indices': [26, 49]}, {'url': 'https://t.co/ce3tTPkqmK', 'expanded_url': 'http://library.temple.edu/explore-charles', 'display_url': 'library.temple.edu/explore-charles', 'indices': [68, 91]}, {'url': 'https://t.co/Fsd8HJb2jd', 'expanded_url': 'http://library.temple.edu/events', 'display_url': 'library.temple.edu/events', 'indices': [111, 134]}]",False,2704,556,104,Mon Apr 13 18:14:59 +0000 2009,955,,,True,False,4567,,False,False,False,FAFAFA,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1164171436656750592/nYCEtfZT_normal.jpg,https://pbs.twimg.com/profile_images/1164171436656750592/nYCEtfZT_normal.jpg,https://pbs.twimg.com/profile_banners/30919650/1566397799,990000,DFDFDF,E8CCD4,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Fri Jan 24 19:01:04 +0000 2020,1220783595284860928,1220783595284860928,@TempleUniv Check out this weeks top 3 PEX Offers from GenEd!,False,"[0, 61]","<a href=""https://gened.temple.edu"" rel=""nofollow"">PEX Passport twitterbot</a>",,,36445142.0,36445142,TempleUniv,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [0, 11]}]",[],en,recent,785813226571182080,785813226571182080,Temple GenEd,TempleGened,"Philadelphia, PA",Temple University's General Education Department,https://t.co/OtKpUFpWF6,"[{'url': 'https://t.co/OtKpUFpWF6', 'expanded_url': 'https://gened.temple.edu', 'display_url': 'gened.temple.edu', 'indices': [0, 23]}]",[],False,38,42,0,Tue Oct 11 12:04:07 +0000 2016,0,,,False,False,1734,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/789568598368976898/XHfhFPV0_normal.jpg,https://pbs.twimg.com/profile_images/789568598368976898/XHfhFPV0_normal.jpg,https://pbs.twimg.com/profile_banners/785813226571182080/1477083299,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fri Jan 24 13:00:18 +0000 2020,1220692805238083595,1220692805238083595,I get so many youtube ads for @TempleUniv like I've already been here for three and a half years chill...,False,"[0, 105]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [30, 41]}]",[],en,recent,939522086,939522086,Mixwell,MaxwellMikels,"England, United Kingdom","Temple University, Philly
Studying abroad this summer at the Royal Veterinary College in London",,,[],False,85,199,0,Sat Nov 10 17:23:19 +0000 2012,311,,,True,False,143,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/893318493520703488/5YgbCT6K_normal.jpg,https://pbs.twimg.com/profile_images/893318493520703488/5YgbCT6K_normal.jpg,https://pbs.twimg.com/profile_banners/939522086/1530870311,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Fri Jan 24 01:12:41 +0000 2020,1220514728491016193,1220514728491016193,@IrishBayley @jeffgibbard @TempleUniv All but meditation king. It’s hard and I forget to do it a lot… But I’m working on it.,False,"[38, 124]","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",1.2204843258602332e+18,1220484325860233216,1.2201398132627784e+18,1220139813262778370,IrishBayley,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'IrishBayley', 'name': 'Bayley Irish', 'id': 1220139813262778370, 'id_str': '1220139813262778370', 'indices': [0, 12]}, {'screen_name': 'jeffgibbard', 'name': 'Jeff Gibbard', 'id': 26380441, 'id_str': '26380441', 'indices': [13, 25]}, {'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [26, 37]}]",[],en,recent,17488520,17488520,Jeff Gibbard 😎,jgibbard,"Philadelphia, PA","Founder, Superhero Institute. Speaker. Trainer. Consultant. World's Most Handsome Social Media Strategist. Relentless Student of Leadership. Podcaster: Rogue",https://t.co/tIKzL1vE1P,"[{'url': 'https://t.co/tIKzL1vE1P', 'expanded_url': 'http://superheroinstitute.org', 'display_url': 'superheroinstitute.org', 'indices': [0, 23]}]",[],False,21749,716,1156,Wed Nov 19 15:58:45 +0000 2008,4419,,,True,True,41884,,False,False,False,939598,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1059582557308796929/jP4IKbr0_normal.jpg,https://pbs.twimg.com/profile_images/1059582557308796929/jP4IKbr0_normal.jpg,https://pbs.twimg.com/profile_banners/17488520/1579645349,00215E,FFFFFF,EFEFEF,333333,True,True,False,False,False,False,False,none,1fef246068c3d7a8,https://api.twitter.com/1.1/geo/id/1fef246068c3d7a8.json,neighborhood,Society Hill,"Society Hill, Philadelphia",US,United States,[],Polygon,"[[[-75.153925, 39.9345609], [-75.1389001, 39.9345609], [-75.1389001, 39.945524], [-75.153925, 39.945524]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Thu Jan 23 18:08:11 +0000 2020,1220407896942546944,1220407896942546944,@juneblazemusic @HenryBurris @TempleUniv @Temple_FB Oakleys were untouchable back then.,False,"[52, 87]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204021987120824e+18,1220402198712082434,635732934.0,635732934,juneblazemusic,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'juneblazemusic', 'name': 'j u n e 🌊', 'id': 635732934, 'id_str': '635732934', 'indices': [0, 15]}, {'screen_name': 'HenryBurris', 'name': 'Henry Burris', 'id': 731226920, 'id_str': '731226920', 'indices': [16, 28]}, {'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [29, 40]}, {'screen_name': 'Temple_FB', 'name': 'Temple Football', 'id': 714491436, 'id_str': '714491436', 'indices': [41, 51]}]",[],en,recent,41023170,41023170,Kevin Negandhi,KNegandhiESPN,,"living the dream on @SportsCenter at 6p, CFB on ABC.. @TempleUniv made, Philly diehard raised in the 700 level, wish they built @Wawa in CT, it’s “wooder” ice.",,,[],False,104610,1320,1094,Tue May 19 01:30:57 +0000 2009,2772,,,False,True,51356,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1082806809319096320/OEbQ0ar6_normal.jpg,https://pbs.twimg.com/profile_images/1082806809319096320/OEbQ0ar6_normal.jpg,https://pbs.twimg.com/profile_banners/41023170/1416612174,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Thu Jan 23 18:07:24 +0000 2020,1220407700611325960,1220407700611325960,@AnthonyDiGrazio @HenryBurris @TempleUniv @Temple_FB 😂 passed wearing the hoop that day.,False,"[53, 88]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220402137311654e+18,1220402137311653889,3290634088.0,3290634088,AnthonyDiGrazio,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AnthonyDiGrazio', 'name': '#OskarStrong', 'id': 3290634088, 'id_str': '3290634088', 'indices': [0, 16]}, {'screen_name': 'HenryBurris', 'name': 'Henry Burris', 'id': 731226920, 'id_str': '731226920', 'indices': [17, 29]}, {'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [30, 41]}, {'screen_name': 'Temple_FB', 'name': 'Temple Football', 'id': 714491436, 'id_str': '714491436', 'indices': [42, 52]}]",[],en,recent,41023170,41023170,Kevin Negandhi,KNegandhiESPN,,"living the dream on @SportsCenter at 6p, CFB on ABC.. @TempleUniv made, Philly diehard raised in the 700 level, wish they built @Wawa in CT, it’s “wooder” ice.",,,[],False,104610,1320,1094,Tue May 19 01:30:57 +0000 2009,2772,,,False,True,51356,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1082806809319096320/OEbQ0ar6_normal.jpg,https://pbs.twimg.com/profile_images/1082806809319096320/OEbQ0ar6_normal.jpg,https://pbs.twimg.com/profile_banners/41023170/1416612174,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Tue Jan 21 17:54:12 +0000 2020,1219679602169327619,1219679602169327619,Time to start preparing for your $2500 grant application. @TempleUniv @MasonGross @TempleUFMA @DrexelUniv are you getting ready? #college #performingarts #grants #money #singersongwriter #dancer #musician #writer #composer #singers,False,"[0, 231]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,"[{'text': 'college', 'indices': [129, 137]}, {'text': 'performingarts', 'indices': [138, 153]}, {'text': 'grants', 'indices': [154, 161]}, {'text': 'money', 'indices': [162, 168]}, {'text': 'singersongwriter', 'indices': [169, 186]}, {'text': 'dancer', 'indices': [187, 194]}, {'text': 'musician', 'indices': [195, 204]}, {'text': 'writer', 'indices': [205, 212]}, {'text': 'composer', 'indices': [213, 222]}, {'text': 'singers', 'indices': [223, 231]}]",[],"[{'screen_name': 'TempleUniv', 'name': 'Temple University', 'id': 36445142, 'id_str': '36445142', 'indices': [58, 69]}, {'screen_name': 'MasonGross', 'name': 'Mason Gross', 'id': 122093425, 'id_str': '122093425', 'indices': [70, 81]}, {'screen_name': 'TempleUFMA', 'name': 'Temple Film and Media Arts', 'id': 3084954676, 'id_str': '3084954676', 'indices': [82, 93]}, {'screen_name': 'DrexelUniv', 'name': 'Drexel University', 'id': 17809006, 'id_str': '17809006', 'indices': [94, 105]}]",[],en,recent,1142458175683272704,1142458175683272704,Bruce Montgomery Foundation for the Arts,bmonty4thearts,"Philadelphia, PA","We grant money to talented young musicians and theater art students, helping to springboard dreams.",https://t.co/5sZwQ1CHHH,"[{'url': 'https://t.co/5sZwQ1CHHH', 'expanded_url': 'http://brucemontgomery.org', 'display_url': 'brucemontgomery.org', 'indices': [0, 23]}]",[],False,11,32,0,Sat Jun 22 15:43:49 +0000 2019,62,,,False,False,149,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1142462369014145025/bQEFcBsM_normal.jpg,https://pbs.twimg.com/profile_images/1142462369014145025/bQEFcBsM_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
