,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
4,Sun Jan 26 06:20:01 +0000 2020,1221316845396992003,1221316845396992003,RT @PatrickMahomes: Man that game in Lubbock looks LITTTT!!! 🔥🔥 @TexasTechMBB,False,"[0, 77]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,505,0,False,False,en,[],[],"[{'screen_name': 'PatrickMahomes', 'name': 'Patrick Mahomes II', 'id': 353178677, 'id_str': '353178677', 'indices': [3, 18]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [64, 77]}]",[],en,recent,348583488,348583488,Kevin Flores,Kevin_HGA,"Odessa, Tx",UTPB Alum - 🇲🇽23🇺🇸 - Matthew 6:33 - Drummer #HGA IG & SC:Kevin_HGA,,[],False,189,295,2,Thu Aug 04 17:28:15 +0000 2011,57417,,,True,False,5282,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1221123659282243589/7SH4jJiP_normal.jpg,https://pbs.twimg.com/profile_images/1221123659282243589/7SH4jJiP_normal.jpg,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,Sat Jan 25 23:17:36 +0000 2020,1.2212105384888443e+18,1221210538488844288,Man that game in Lubbock looks LITTTT!!! 🔥🔥 @TexasTechMBB,False,"[0, 57]",[],[],"[{'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [44, 57]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,353178677.0,353178677,Patrick Mahomes II,PatrickMahomes,"Tyler, TX",,https://t.co/dk33wg3CmM,"[{'url': 'https://t.co/dk33wg3CmM', 'expanded_url': 'http://PatrickMahomes.com', 'display_url': 'PatrickMahomes.com', 'indices': [0, 23]}]",[],False,780840.0,406.0,960.0,Thu Aug 11 17:31:20 +0000 2011,13759.0,,,True,True,16098.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1102419763563773952/Xcf0IYlE_normal.jpg,https://pbs.twimg.com/profile_images/1102419763563773952/Xcf0IYlE_normal.jpg,https://pbs.twimg.com/profile_banners/353178677/1493533148,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,505.0,6994.0,False,False,en,,https://pbs.twimg.com/profile_banners/348583488/1512171637,,,,,,,,,,
26,Sun Jan 26 05:13:22 +0000 2020,1221300073704968192,1221300073704968192,@GP_Tre_Ball @BengalSadness @BrandonJoe11 @TexasTechMBB Ohio gave us Lynn Bowden. Tbh go Ohio,False,"[56, 93]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2212559719866614e+18,1221255971986661376,846173053.0,846173053,GP_Tre_Ball,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'GP_Tre_Ball', 'name': 'Grant Peters', 'id': 846173053, 'id_str': '846173053', 'indices': [0, 12]}, {'screen_name': 'BengalSadness', 'name': 'Deys of our Bengals 🐯', 'id': 1061686095480528898, 'id_str': '1061686095480528898', 'indices': [13, 27]}, {'screen_name': 'BrandonJoe11', 'name': 'Brandon Benefiel', 'id': 177460119, 'id_str': '177460119', 'indices': [28, 41]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [42, 55]}]",[],en,recent,1071898568343080960,1071898568343080960,Cat Guy,JamesCameronBu1,"Kentucky, USA","University of Kentucky Engineering student, Sophomore, class of 2022,
Tenor Sax player for the WMB, #GoCats",,[],False,3,18,0,Sun Dec 09 22:45:08 +0000 2018,55,,,False,False,393,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1212999191070433280/WNKGCna7_normal.jpg,https://pbs.twimg.com/profile_images/1212999191070433280/WNKGCna7_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1071898568343080960/1568042532,,,,,,,,,,
69,Sun Jan 26 04:04:02 +0000 2020,1221282624473309184,1221282624473309184,@PatrickMahomes @TexasTechMBB Crowd tonight was AWESOME!!!,False,"[30, 58]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212105384888443e+18,1221210538488844288,353178677.0,353178677,PatrickMahomes,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'PatrickMahomes', 'name': 'Patrick Mahomes II', 'id': 353178677, 'id_str': '353178677', 'indices': [0, 15]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [16, 29]}]",[],en,recent,1043180765616451584,1043180765616451584,Ricky Stone,RickySt16294439,"Lubbock, TX","COTTON, Tennis, Texas Tech Alumni 86. Past President of Texas Cotton ASSN & LCE, and six year BOD of RMHC of the SouthWest. Pancreatic Cancer Survivor.",,[],False,128,262,0,Fri Sep 21 16:50:50 +0000 2018,1609,,,False,False,231,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1044968413641297920/PjFqwsN7_normal.jpg,https://pbs.twimg.com/profile_images/1044968413641297920/PjFqwsN7_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sun Jan 26 04:01:14 +0000 2020,1221281918974660609,1221281918974660609,@ttupom @TexasTechMBB Did an awesome job tonight at the Tech - Kentucky game.,False,"[22, 77]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212581855893627e+18,1221258185589362690,229142545.0,229142545,ttupom,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ttupom', 'name': 'Texas Tech Pom Squad', 'id': 229142545, 'id_str': '229142545', 'indices': [0, 7]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [8, 21]}]",[],en,recent,1043180765616451584,1043180765616451584,Ricky Stone,RickySt16294439,"Lubbock, TX","COTTON, Tennis, Texas Tech Alumni 86. Past President of Texas Cotton ASSN & LCE, and six year BOD of RMHC of the SouthWest. Pancreatic Cancer Survivor.",,[],False,128,262,0,Fri Sep 21 16:50:50 +0000 2018,1609,,,False,False,231,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1044968413641297920/PjFqwsN7_normal.jpg,https://pbs.twimg.com/profile_images/1044968413641297920/PjFqwsN7_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sun Jan 26 03:59:56 +0000 2020,1221281592624271362,1221281592624271362,"@CSB087 @TexasTechMBB It was a great game, hope to see y’all in the tourney.",False,"[22, 76]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221279858896048e+18,1221279858896048128,146159450.0,146159450,CSB087,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CSB087', 'name': 'Charlie Bartlett', 'id': 146159450, 'id_str': '146159450', 'indices': [0, 7]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [8, 21]}]",[],en,recent,177460119,177460119,Brandon Benefiel,BrandonJoe11,"Aledo, TX","Texas Tech Alumni, Wreck Em!",,[],False,79,215,3,Thu Aug 12 05:17:17 +0000 2010,13303,,,True,False,4066,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/937435661560410112/c_fUMgq4_normal.jpg,https://pbs.twimg.com/profile_images/937435661560410112/c_fUMgq4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/177460119/1547830846,,,,,,,,,,
100,Sun Jan 26 03:46:28 +0000 2020,1221278204029276162,1221278204029276162,"@thomas4293v2 @TexasTechMBB So are kentucky fans just salty 24/7 no matter what? Cause that’s what I’m getting from yall storming our twitter... Like mate, its okay to enjoy the game you dont have to make yourselves miserable lol",False,"[28, 229]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221273706305069e+18,1221273706305069059,1.2175437274235904e+18,1217543727423590401,thomas4293v2,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'thomas4293v2', 'name': 'Thomas Backup IFB', 'id': 1217543727423590401, 'id_str': '1217543727423590401', 'indices': [0, 13]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [14, 27]}]",[],en,recent,2356641930,2356641930,Sam,HTXWX,"Lubbock, TX",“Storm chaser” • Technical Comms Major • I go out and take pictures a lot • Texas Tech • 🇻🇪🇲🇽,,[],False,406,120,21,Sat Feb 22 17:11:04 +0000 2014,1232,,,True,False,5146,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217853625105551367/2kK7viTE_normal.jpg,https://pbs.twimg.com/profile_images/1217853625105551367/2kK7viTE_normal.jpg,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/2356641930/1577757251,,,,,,,,,,
102,Sun Jan 26 03:42:46 +0000 2020,1221277269873831941,1221277269873831941,RT @PatrickMahomes: Man that game in Lubbock looks LITTTT!!! 🔥🔥 @TexasTechMBB,False,"[0, 77]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,505,0,False,False,en,[],[],"[{'screen_name': 'PatrickMahomes', 'name': 'Patrick Mahomes II', 'id': 353178677, 'id_str': '353178677', 'indices': [3, 18]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [64, 77]}]",[],en,recent,3448034472,3448034472,iam_aemfxiii,Ariel__freer___,,| TTU Undergraduate | wish she was mine @KendallJenner |,,[],False,105,254,0,Fri Sep 04 12:40:56 +0000 2015,5850,,,True,False,3949,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/932837996239433728/XPEhsz8r_normal.jpg,https://pbs.twimg.com/profile_images/932837996239433728/XPEhsz8r_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sat Jan 25 23:17:36 +0000 2020,1.2212105384888443e+18,1221210538488844288,Man that game in Lubbock looks LITTTT!!! 🔥🔥 @TexasTechMBB,False,"[0, 57]",[],[],"[{'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [44, 57]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,353178677.0,353178677,Patrick Mahomes II,PatrickMahomes,"Tyler, TX",,https://t.co/dk33wg3CmM,"[{'url': 'https://t.co/dk33wg3CmM', 'expanded_url': 'http://PatrickMahomes.com', 'display_url': 'PatrickMahomes.com', 'indices': [0, 23]}]",[],False,780840.0,406.0,960.0,Thu Aug 11 17:31:20 +0000 2011,13759.0,,,True,True,16098.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1102419763563773952/Xcf0IYlE_normal.jpg,https://pbs.twimg.com/profile_images/1102419763563773952/Xcf0IYlE_normal.jpg,https://pbs.twimg.com/profile_banners/353178677/1493533148,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,505.0,6994.0,False,False,en,,https://pbs.twimg.com/profile_banners/3448034472/1497017654,,,,,,,,,,
111,Sun Jan 26 03:34:12 +0000 2020,1221275116878823424,1221275116878823424,@Drakedabs @TexasTechMBB What game did you watch? The refs kept Texas Tech in the game.,False,"[25, 87]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212683720647393e+18,1221268372064739328,1049597100.0,1049597100,Drakedabs,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'Drakedabs', 'name': 'TheSmoothToad', 'id': 1049597100, 'id_str': '1049597100', 'indices': [0, 10]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [11, 24]}]",[],en,recent,4486571903,4486571903,Blake Preston,blpuky,"Lexington, KY ",University of Kentucky Alumnus|Amateur Cryptozoologist|Warrior|Egalitarian|Mother,,[],False,66,285,1,Tue Dec 15 00:37:47 +0000 2015,1235,,,True,False,833,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1041992594778140673/GBdQvMb5_normal.jpg,https://pbs.twimg.com/profile_images/1041992594778140673/GBdQvMb5_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/4486571903/1454709105,,,,,,,,,,
121,Sun Jan 26 03:26:12 +0000 2020,1221273103315226624,1221273103315226624,@MegaTroopLover @PatrickMahomes @NOT_K4 @TexasTechMBB No he should be watching whatever he wants.   College bb is fun,False,"[54, 117]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2212132671813059e+18,1221213267181305856,1.0737506991362212e+18,1073750699136221185,MegaTroopLover,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MegaTroopLover', 'name': 'Dr. Barry McCockiner', 'id': 1073750699136221185, 'id_str': '1073750699136221185', 'indices': [0, 15]}, {'screen_name': 'PatrickMahomes', 'name': 'Patrick Mahomes II', 'id': 353178677, 'id_str': '353178677', 'indices': [16, 31]}, {'screen_name': 'NOT_K4', 'name': 'k 4', 'id': 1563671575, 'id_str': '1563671575', 'indices': [32, 39]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [40, 53]}]",[],en,recent,63131132,63131132,Cyndie,cyndiehaviland,upstate NY,"My fun part time job:  traveling mutual clerk for major Thoroughbred Stakes Races.  You may see me at The Derby, Preakness, Belmont, Breeders'Cup, Pegasus, etc.",,[],False,3,53,0,Wed Aug 05 13:26:45 +0000 2009,214,,,False,False,114,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1214745309936521217/qgSgr4Pc_normal.jpg,https://pbs.twimg.com/profile_images/1214745309936521217/qgSgr4Pc_normal.jpg,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sun Jan 26 03:23:14 +0000 2020,1221272355852496896,1221272355852496896,RT @PatrickMahomes: Man that game in Lubbock looks LITTTT!!! 🔥🔥 @TexasTechMBB,False,"[0, 77]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,505,0,False,False,en,[],[],"[{'screen_name': 'PatrickMahomes', 'name': 'Patrick Mahomes II', 'id': 353178677, 'id_str': '353178677', 'indices': [3, 18]}, {'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [64, 77]}]",[],en,recent,483934659,483934659,Connor Marsh,connmarsh,Texas Tech ,Old Row Alumni,,[],False,305,416,1,Sun Feb 05 15:08:53 +0000 2012,4533,,,True,False,1403,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179265334760525824/DYf_Sgm9_normal.jpg,https://pbs.twimg.com/profile_images/1179265334760525824/DYf_Sgm9_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,Sat Jan 25 23:17:36 +0000 2020,1.2212105384888443e+18,1221210538488844288,Man that game in Lubbock looks LITTTT!!! 🔥🔥 @TexasTechMBB,False,"[0, 57]",[],[],"[{'screen_name': 'TexasTechMBB', 'name': 'Texas Tech Basketball', 'id': 2829783529, 'id_str': '2829783529', 'indices': [44, 57]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,353178677.0,353178677,Patrick Mahomes II,PatrickMahomes,"Tyler, TX",,https://t.co/dk33wg3CmM,"[{'url': 'https://t.co/dk33wg3CmM', 'expanded_url': 'http://PatrickMahomes.com', 'display_url': 'PatrickMahomes.com', 'indices': [0, 23]}]",[],False,780840.0,406.0,960.0,Thu Aug 11 17:31:20 +0000 2011,13759.0,,,True,True,16098.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1102419763563773952/Xcf0IYlE_normal.jpg,https://pbs.twimg.com/profile_images/1102419763563773952/Xcf0IYlE_normal.jpg,https://pbs.twimg.com/profile_banners/353178677/1493533148,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,505.0,6994.0,False,False,en,,https://pbs.twimg.com/profile_banners/483934659/1577059230,,,,,,,,,,
