,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,possibly_sensitive,entities.media,extended_entities.media,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
0,Sun Jan 26 01:35:26 +0000 2020,1221245228629229569,1221245228629229569,@OpIndia_com @ShashiTharoor is an unfortunate product of rather a great institution like @TuftsUniversity. These type of alumni bring disrepute to great institutions. Hope top universities do due diligence in admitting students based on political recos.,False,"[13, 253]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211230632043356e+18,1221123063204335616,74980737.0,74980737,OpIndia_com,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'OpIndia_com', 'name': 'OpIndia.com', 'id': 74980737, 'id_str': '74980737', 'indices': [0, 12]}, {'screen_name': 'ShashiTharoor', 'name': 'Shashi Tharoor', 'id': 24705126, 'id_str': '24705126', 'indices': [13, 27]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [89, 105]}]",[],en,recent,1212383057484730373,1212383057484730373,Dr.GV,DrGAcharya,"California, USA","Follower of sanatana dharma. Science, samskruta and shastras are my passion. Amerikannadigan. Believe communisim and commies are pure evil. Beware !",,[],False,2,21,0,Wed Jan 01 14:40:44 +0000 2020,6,,,False,False,120,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,True,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat Jan 25 20:29:08 +0000 2020,1221168143638376448,1221168143638376448,"#FletcherMaritime wishes our friends in China, Japan, ASEAN countries, and beyond a happy, healthy, and fruitful Year of the Rat! @FletchMaritime @FletcherSchool @TuftsUniversity 🎉🙌⚓️",False,"[0, 183]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,"[{'text': 'FletcherMaritime', 'indices': [0, 17]}]",[],"[{'screen_name': 'FletchMaritime', 'name': 'Fletcher Maritime', 'id': 771043169400197120, 'id_str': '771043169400197120', 'indices': [130, 145]}, {'screen_name': 'FletcherSchool', 'name': 'The Fletcher School', 'id': 18028551, 'id_str': '18028551', 'indices': [146, 161]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [162, 178]}]",[],en,recent,2457429986,2457429986,Rockford Weitz,rockfordw,"Boston, Massachusetts",Father. Serial Entrepreneur. Fletcher Professor. Entrepreneur Coach. Director of Maritime Studies @FletchMaritime @FletcherSchool @TuftsUniversity,https://t.co/D5D0r9HzPb,[],False,580,1040,69,Tue Apr 22 01:39:33 +0000 2014,5307,,,False,False,3020,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/471917174928322561/g7KoDFYv_normal.jpeg,https://pbs.twimg.com/profile_images/471917174928322561/g7KoDFYv_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/D5D0r9HzPb', 'expanded_url': 'http://fletcher.tufts.edu/maritime', 'display_url': 'fletcher.tufts.edu/maritime', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2457429986/1421165582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat Jan 25 06:34:43 +0000 2020,1220958157301616640,1220958157301616640,@GodandtheBear @ORRNChristina @TuftsUniversity That's wonderful to see! It's time to put the pedal to the metal!,False,"[47, 112]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207336008632812e+18,1220733600863281153,3230944180.0,3230944180,GodandtheBear,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'GodandtheBear', 'name': 'GodandtheBear', 'id': 3230944180, 'id_str': '3230944180', 'indices': [0, 14]}, {'screen_name': 'ORRNChristina', 'name': '#Bernie2020🌹🐦👩🏻\u200d⚕️🐾', 'id': 756948095422705664, 'id_str': '756948095422705664', 'indices': [15, 29]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [30, 46]}]",[],en,recent,1921010360,1921010360,CobiWan23🌹,CoderaThe1,"Irvine, CA.",#AntiNeoliberal #AntiDuopoly #AntiZionist #AntiImperialism #AntiOligarchy #AntiFascism #M4A #GreenNewDeal #BDS #EndTheWars #NoMiddleGround #Bernie2020 #NotMeUs,https://t.co/qQBCyrxjub,[],False,736,983,3,Mon Sep 30 19:04:00 +0000 2013,35422,,,False,False,4214,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1100265893999796225/o311PEA__normal.png,https://pbs.twimg.com/profile_images/1100265893999796225/o311PEA__normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/qQBCyrxjub', 'expanded_url': 'https://colbysthoughts.wordpress.com', 'display_url': 'colbysthoughts.wordpress.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1921010360/1551159296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fri Jan 24 20:58:26 +0000 2020,1220813128801431552,1220813128801431552,@PixScienceCo Pseudoscience in Archaeology @TuftsUniversity which influenced me far more than I could have anticipated.,False,"[14, 119]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220704892647592e+18,1220704892647591936,495343686.0,495343686,PixScienceCo,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'PixScienceCo', 'name': 'Syd 🔬🎨🧬', 'id': 495343686, 'id_str': '495343686', 'indices': [0, 13]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [43, 59]}]",[],en,recent,50778320,50778320,Sheril Kirshenbaum,Sheril_,"East Lansing, MI","Climate, food & politics @michiganstateu. Author. Former Hill staff. Dir of @SciDebate. Host of Serving Up Science on @PBSDS & @NPR.",https://t.co/FaVOYeIqHd,[],False,10342,508,747,Thu Jun 25 21:36:34 +0000 2009,15666,,,True,True,9205,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1206756656102727680/8VTFefY4_normal.jpg,https://pbs.twimg.com/profile_images/1206756656102727680/8VTFefY4_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/FaVOYeIqHd', 'expanded_url': 'http://sherilkirshenbaum.com', 'display_url': 'sherilkirshenbaum.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/50778320/1536939473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Thu Jan 23 04:45:06 +0000 2020,1220205796052520960,1220205796052520960,"@L_Setto @diannelibrarian Congrats, Leo!
(small world, my dad is a @TuftsUniversity alumni)",False,"[26, 91]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.219724771312554e+18,1219724771312553984,848710944.0,848710944,L_Setto,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'L_Setto', 'name': 'Leo Settoducato', 'id': 848710944, 'id_str': '848710944', 'indices': [0, 8]}, {'screen_name': 'diannelibrarian', 'name': 'Dianne', 'id': 472315474, 'id_str': '472315474', 'indices': [9, 25]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [67, 83]}]",[],en,recent,3266286745,3266286745,Atomic Zest - Ravin R Pierre,AtomicZest,"Seattle, WA","""I'm not an actor, but I portray one on the television."" -me
wikipedian, astropreneur, tennis player & data scientist         #NewSpace,#rstats,#datavis,#ML,#AI",https://t.co/VRPd79j6WV,[],False,90,859,5,Thu Jul 02 17:07:17 +0000 2015,1240,,,False,False,614,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1001000794378850305/2mbNRWBi_normal.jpg,https://pbs.twimg.com/profile_images/1001000794378850305/2mbNRWBi_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/VRPd79j6WV', 'expanded_url': 'https://www.linkedin.com/in/ravinpierre/', 'display_url': 'linkedin.com/in/ravinpierre/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Thu Jan 23 04:11:24 +0000 2020,1220197316109402112,1220197316109402112,@HaLachmaAnya @TuftsUniversity Tell your coworker the frames are suuuper cheap on  @EyeBuyDirect (and I got them before @tanfrance was doing sponcon campaigns for that place lol) 🤓,False,"[31, 180]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200886510711194e+18,1220088651071119361,22551119.0,22551119,HaLachmaAnya,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'HaLachmaAnya', 'name': '(((Anya Gelernt-Dunkle)))', 'id': 22551119, 'id_str': '22551119', 'indices': [0, 13]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [14, 30]}, {'screen_name': 'EyeBuyDirect', 'name': 'EyeBuyDirect', 'id': 17480524, 'id_str': '17480524', 'indices': [83, 96]}, {'screen_name': 'tanfrance', 'name': 'Tan France', 'id': 963631905878036482, 'id_str': '963631905878036482', 'indices': [120, 130]}]",[],en,recent,207243664,207243664,K Tully-McManus,ktullymcmanus,,"Reporting on Congress for @rollcall ktmcmanus(at)cqrollcall(dot)com
| Previously: @CQNow #NPFPaulMiller Always: @TuftsAlumni",https://t.co/WMbGo8EJqK,[],False,5569,2059,221,Sun Oct 24 21:44:53 +0000 2010,7027,,,False,True,21512,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/608347286314352640/2mxKofm0_normal.jpg,https://pbs.twimg.com/profile_images/608347286314352640/2mxKofm0_normal.jpg,FF3300,86A4A6,A0C5C7,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/WMbGo8EJqK', 'expanded_url': 'http://www.rollcall.com/author/ktmcmanuscqrollcall-com', 'display_url': 'rollcall.com/author/ktmcman…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/207243664/1401454577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tue Jan 21 09:19:01 +0000 2020,1219549953967689728,1219549953967689728,@NadiyaKostyuk @TuftsUniversity @FletcherSchool This is great! Just what I’ve been looking for,False,"[48, 94]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2194657529835397e+18,1219465752983539712,521597806.0,521597806,NadiyaKostyuk,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'NadiyaKostyuk', 'name': 'Nadiya Kostyuk', 'id': 521597806, 'id_str': '521597806', 'indices': [0, 14]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [15, 31]}, {'screen_name': 'FletcherSchool', 'name': 'The Fletcher School', 'id': 18028551, 'id_str': '18028551', 'indices': [32, 47]}]",[],en,recent,947500843263299584,947500843263299584,Adebisi Echezonam Adewusi 👩🏾‍💻,adewusi_adebisi,,"Applying for a Phd. Peacekeeping, cybersecurity,  foreign policy, and gender | Seen on BBC’s Why Factor @okayafrica @awid @Afrifeminists |Content lead @STEMHUB_",https://t.co/k4g8S82j8A,[],False,492,1442,3,Sun Dec 31 16:12:59 +0000 2017,4707,,,False,False,3279,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1181156261372579842/UqTSOhcM_normal.jpg,https://pbs.twimg.com/profile_images/1181156261372579842/UqTSOhcM_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/k4g8S82j8A', 'expanded_url': 'https://www.linkedin.com/in/adebisi-adewusi', 'display_url': 'linkedin.com/in/adebisi-ade…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/947500843263299584/1574646382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mon Jan 20 15:13:37 +0000 2020,1219276804327907328,1219276804327907328,"RT @rockfordw: Happy MLK Day from #FletcherMaritime @FletcherSchool @TuftsUniversity! Enjoy the following MLK quotes:

“We may have all com…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,3,0,False,False,en,"[{'text': 'FletcherMaritime', 'indices': [34, 51]}]",[],"[{'screen_name': 'rockfordw', 'name': 'Rockford Weitz', 'id': 2457429986, 'id_str': '2457429986', 'indices': [3, 13]}, {'screen_name': 'FletcherSchool', 'name': 'The Fletcher School', 'id': 18028551, 'id_str': '18028551', 'indices': [52, 67]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [68, 84]}]",[],en,recent,2995845715,2995845715,𝘼𝙞𝙨𝙝𝙖𝙩𝙝 𝙄𝙮𝙖𝙙𝙝,Aishath_Iyadh,Maldives,Law student| founder member @pilcmv | Organizing Secretary | passionate in public interest law| 🏛🇲🇻,,[],False,3266,2519,7,Sun Jan 25 12:12:34 +0000 2015,175300,,,True,False,53186,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1218152333646811138/K62IylTh_normal.jpg,https://pbs.twimg.com/profile_images/1218152333646811138/K62IylTh_normal.jpg,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/2995845715/1577779270,Mon Jan 20 12:00:14 +0000 2020,1.2192281351762616e+18,1219228135176261632,"Happy MLK Day from #FletcherMaritime @FletcherSchool @TuftsUniversity! Enjoy the following MLK quotes:

“We may have all come on different ships, but we’re in the same boat now.”

“Never succumb to the temptation of bitterness.”

“The time is always right to do what is right.”",False,"[0, 277]","[{'text': 'FletcherMaritime', 'indices': [19, 36]}]",[],"[{'screen_name': 'FletcherSchool', 'name': 'The Fletcher School', 'id': 18028551, 'id_str': '18028551', 'indices': [37, 52]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [53, 69]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2457429986.0,2457429986,Rockford Weitz,rockfordw,"Boston, Massachusetts",Father. Serial Entrepreneur. Fletcher Professor. Entrepreneur Coach. Director of Maritime Studies @FletchMaritime @FletcherSchool @TuftsUniversity,https://t.co/D5D0r9HzPb,"[{'url': 'https://t.co/D5D0r9HzPb', 'expanded_url': 'http://fletcher.tufts.edu/maritime', 'display_url': 'fletcher.tufts.edu/maritime', 'indices': [0, 23]}]",[],False,580.0,1040.0,69.0,Tue Apr 22 01:39:33 +0000 2014,5307.0,,,False,False,3020.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/471917174928322561/g7KoDFYv_normal.jpeg,https://pbs.twimg.com/profile_images/471917174928322561/g7KoDFYv_normal.jpeg,https://pbs.twimg.com/profile_banners/2457429986/1421165582,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,3.0,3.0,False,False,en,,,,,,
34,Mon Jan 20 14:46:06 +0000 2020,1219269879754260484,1219269879754260484,"Magnifique is an environmental health engineering student at @TuftsUniversity, and is pursuing sustainable water quality projects that empower communities in Rwanda and around the world.",False,"[0, 186]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.219269876705104e+18,1219269876705103872,54626500.0,54626500,Bridge2Rwanda,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [61, 77]}]",[],en,recent,54626500,54626500,Bridge2Rwanda,Bridge2Rwanda,Rwanda and U.S.,"We work to develop leadership and discipleship in our Scholars, help them get the best education possible, and prepare them for careers in Rwanda and Africa.",https://t.co/uG4L7Vsxjx,[],False,1508,293,24,Tue Jul 07 18:01:46 +0000 2009,208,,,False,False,299,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/798206580856655872/HKWO-AWM_normal.jpg,https://pbs.twimg.com/profile_images/798206580856655872/HKWO-AWM_normal.jpg,8CC63E,FFFFFF,C7C7C7,FFFFFF,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/uG4L7Vsxjx', 'expanded_url': 'http://www.bridge2rwanda.org', 'display_url': 'bridge2rwanda.org', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/54626500/1572449806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Mon Jan 20 14:32:57 +0000 2020,1219266570725265408,1219266570725265408,"RT @rockfordw: Happy MLK Day from #FletcherMaritime @FletcherSchool @TuftsUniversity! Enjoy the following MLK quotes:

“We may have all com…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,0,False,False,en,"[{'text': 'FletcherMaritime', 'indices': [34, 51]}]",[],"[{'screen_name': 'rockfordw', 'name': 'Rockford Weitz', 'id': 2457429986, 'id_str': '2457429986', 'indices': [3, 13]}, {'screen_name': 'FletcherSchool', 'name': 'The Fletcher School', 'id': 18028551, 'id_str': '18028551', 'indices': [52, 67]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [68, 84]}]",[],en,recent,1354787041,1354787041,Dunya Maumoon,dunyamaumoon,Maldives,"Proud mother, Wife, Former Foreign Minister, Maldives 🇲🇻 Advocate for human rights and gender equality, Fletcher-student",,[],False,27066,2217,37,Mon Apr 15 16:39:54 +0000 2013,22422,,,True,False,9384,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217449180194660352/Y1-v18-v_normal.jpg,https://pbs.twimg.com/profile_images/1217449180194660352/Y1-v18-v_normal.jpg,10789C,000000,000000,000000,False,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/1354787041/1556446735,Mon Jan 20 12:00:14 +0000 2020,1.2192281351762616e+18,1219228135176261632,"Happy MLK Day from #FletcherMaritime @FletcherSchool @TuftsUniversity! Enjoy the following MLK quotes:

“We may have all come on different ships, but we’re in the same boat now.”

“Never succumb to the temptation of bitterness.”

“The time is always right to do what is right.”",False,"[0, 277]","[{'text': 'FletcherMaritime', 'indices': [19, 36]}]",[],"[{'screen_name': 'FletcherSchool', 'name': 'The Fletcher School', 'id': 18028551, 'id_str': '18028551', 'indices': [37, 52]}, {'screen_name': 'TuftsUniversity', 'name': 'Tufts University', 'id': 15168790, 'id_str': '15168790', 'indices': [53, 69]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2457429986.0,2457429986,Rockford Weitz,rockfordw,"Boston, Massachusetts",Father. Serial Entrepreneur. Fletcher Professor. Entrepreneur Coach. Director of Maritime Studies @FletchMaritime @FletcherSchool @TuftsUniversity,https://t.co/D5D0r9HzPb,"[{'url': 'https://t.co/D5D0r9HzPb', 'expanded_url': 'http://fletcher.tufts.edu/maritime', 'display_url': 'fletcher.tufts.edu/maritime', 'indices': [0, 23]}]",[],False,580.0,1040.0,69.0,Tue Apr 22 01:39:33 +0000 2014,5307.0,,,False,False,3020.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/471917174928322561/g7KoDFYv_normal.jpeg,https://pbs.twimg.com/profile_images/471917174928322561/g7KoDFYv_normal.jpeg,https://pbs.twimg.com/profile_banners/2457429986/1421165582,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,3.0,3.0,False,False,en,,,,,,
