,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
0,Fri Jan 24 14:17:30 +0000 2020,1220712230192402432,1220712230192402432,"RT @bin__dhin: I really appreciate everyone who was supporting us to make our event successful especially our loyal sponsors, artists and p…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'bin__dhin', 'name': 'Èl Lamré', 'id': 727163234, 'id_str': '727163234', 'indices': [3, 13]}]",[],en,recent,528197070,528197070,دلال الشامسي,DalalShamsi,الامارات العربية المتحدة,The first PhD holder from the Geology Department in the UAE University. In love with teaching.,,[],False,1525,214,4,Sun Mar 18 05:53:02 +0000 2012,6799,,,True,False,9815,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1014904380347310080/3QAtOLGu_normal.jpg,https://pbs.twimg.com/profile_images/1014904380347310080/3QAtOLGu_normal.jpg,https://pbs.twimg.com/profile_banners/528197070/1509206236,BA0298,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,Thu Jan 23 19:04:04 +0000 2020,1.2204219602256527e+18,1220421960225652737,"I really appreciate everyone who was supporting us to make our event successful especially our loyal sponsors, artists and participants.(Actions speak louder than words)
@casa_elprofesor 
@EmbEspEAU 
@EtihadAirways 
@thriftycars 
@UAEU_NEWS 
@Lootah_perfumes
@oililies_ae",False,"[0, 271]",[],[],"[{'screen_name': 'casa_elprofesor', 'name': 'Casa del Profesor', 'id': 1198335510638448641, 'id_str': '1198335510638448641', 'indices': [170, 186]}, {'screen_name': 'EmbEspEAU', 'name': 'EmbajadaEspañaEAU', 'id': 3316813354, 'id_str': '3316813354', 'indices': [188, 198]}, {'screen_name': 'EtihadAirways', 'name': 'Etihad Airways', 'id': 45621423, 'id_str': '45621423', 'indices': [200, 214]}, {'screen_name': 'thriftycars', 'name': 'Thrifty Car Rental', 'id': 75382697, 'id_str': '75382697', 'indices': [216, 228]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [230, 240]}, {'screen_name': 'lootah_perfumes', 'name': 'LOOTAH', 'id': 756013895546961920, 'id_str': '756013895546961920', 'indices': [242, 258]}, {'screen_name': 'oililies_ae', 'name': 'Oililies', 'id': 1154710557909487616, 'id_str': '1154710557909487616', 'indices': [259, 271]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,727163234.0,727163234,Èl Lamré,bin__dhin,Al Ain,قادتي عزي واعتزازي و وطني لك حبي وولائي وانتمائي @casa_elprofesor Head of,https://t.co/NvOUAmVZBA,"[{'url': 'https://t.co/NvOUAmVZBA', 'expanded_url': 'https://www.instagram.com/6q_6q', 'display_url': 'instagram.com/6q_6q', 'indices': [0, 23]}]",[],False,13205.0,215.0,12.0,Tue Jul 31 00:24:31 +0000 2012,1636.0,,,True,False,14225.0,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1205260834638848000/6siCDGPt_normal.jpg,https://pbs.twimg.com/profile_images/1205260834638848000/6siCDGPt_normal.jpg,https://pbs.twimg.com/profile_banners/727163234/1449024823,949494,86A4A6,A0C5C7,333333,True,True,False,False,False,False,False,none,,,,,False,2.0,3.0,False,False,en,,,,,,,,,,,
2,Thu Jan 23 19:56:00 +0000 2020,1220435028779458563,1220435028779458563,@rexprem @UAEU_NEWS @PhD_Balance @AcademicChatter Thank you Rex,False,"[50, 63]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204119654677586e+18,1220411965467758595,205332121.0,205332121,rexprem,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'rexprem', 'name': 'Rex D A B', 'id': 205332121, 'id_str': '205332121', 'indices': [0, 8]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [9, 19]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [20, 32]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [33, 49]}]",[],en,recent,415706972,415706972,Mohammed Tarique,taarique94,"Al Ain, UAE","Graduate Research Assistant
College of Food and Agriculture Science, UAE University, Al Ain",https://t.co/x8rGbmkWew,[],False,410,399,1,Fri Nov 18 18:06:35 +0000 2011,3068,,,False,False,938,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_banners/415706972/1577824839,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/x8rGbmkWew', 'expanded_url': 'https://www.linkedin.com/in/mohammed-tarique-i29y08atr', 'display_url': 'linkedin.com/in/mohammed-ta…', 'indices': [0, 23]}]",,,,,,,,,,
4,Thu Jan 23 18:24:21 +0000 2020,1220411965467758595,1220411965467758595,@taarique94 @UAEU_NEWS @PhD_Balance @AcademicChatter Congratulations,False,"[53, 68]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.219329082850259e+18,1219329082850258945,415706972.0,415706972,taarique94,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'taarique94', 'name': 'Mohammed Tarique', 'id': 415706972, 'id_str': '415706972', 'indices': [0, 11]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [12, 22]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [23, 35]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [36, 52]}]",[],en,recent,205332121,205332121,Rex D A B,rexprem,,"Graduate student
                                       Area of interest- Proteomics and infectious disease",,[],False,206,2359,14,Wed Oct 20 16:49:54 +0000 2010,2554,,,False,False,1913,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1148616450392768513/0QinFOSp_normal.jpg,https://pbs.twimg.com/profile_images/1148616450392768513/0QinFOSp_normal.jpg,https://pbs.twimg.com/profile_banners/205332121/1555394697,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tue Jan 21 10:28:09 +0000 2020,1219567350653116416,1219567350653116416,@GarethLuTheryn @UAEU_NEWS @PhD_Balance @AcademicChatter Thank you so much @GarethLuTheryn,False,"[57, 90]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2195670415538053e+18,1219567041553805313,72109144.0,72109144,GarethLuTheryn,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'GarethLuTheryn', 'name': 'Gᴀʀᴇᴛʜ LᴜTʜᴇʀʏɴ', 'id': 72109144, 'id_str': '72109144', 'indices': [0, 15]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [16, 26]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [27, 39]}, {'screen_name': 'AcademicChatter', 'name': 'Amy Gaeta / Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [40, 56]}, {'screen_name': 'GarethLuTheryn', 'name': 'Gᴀʀᴇᴛʜ LᴜTʜᴇʀʏɴ', 'id': 72109144, 'id_str': '72109144', 'indices': [75, 90]}]",[],en,recent,415706972,415706972,Mohammed Tarique,taarique94,"Al Ain, UAE","Graduate Research Assistant
College of Food and Agriculture Science, UAE University, Al Ain",https://t.co/x8rGbmkWew,[],False,410,399,1,Fri Nov 18 18:06:35 +0000 2011,3068,,,False,False,938,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_banners/415706972/1577824839,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/x8rGbmkWew', 'expanded_url': 'https://www.linkedin.com/in/mohammed-tarique-i29y08atr', 'display_url': 'linkedin.com/in/mohammed-ta…', 'indices': [0, 23]}]",,,,,,,,,,
8,Tue Jan 21 10:24:33 +0000 2020,1219566444427599872,1219566444427599872,@Urmi69598521 @UAEU_NEWS @PhD_Balance @AcademicChatter Thank you,False,"[55, 64]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2195585177886188e+18,1219558517788618752,1.169650449655296e+18,1169650449655296001,Urmi69598521,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Urmi69598521', 'name': 'Urmi', 'id': 1169650449655296001, 'id_str': '1169650449655296001', 'indices': [0, 13]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [14, 24]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [25, 37]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [38, 54]}]",[],en,recent,415706972,415706972,Mohammed Tarique,taarique94,"Al Ain, UAE","Graduate Research Assistant
College of Food and Agriculture Science, UAE University, Al Ain",https://t.co/x8rGbmkWew,[],False,410,399,1,Fri Nov 18 18:06:35 +0000 2011,3068,,,False,False,938,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_banners/415706972/1577824839,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/x8rGbmkWew', 'expanded_url': 'https://www.linkedin.com/in/mohammed-tarique-i29y08atr', 'display_url': 'linkedin.com/in/mohammed-ta…', 'indices': [0, 23]}]",,,,,,,,,,
10,Tue Jan 21 09:35:50 +0000 2020,1219554183948402688,1219554183948402688,@FazalMehmoodKh9 @UAEU_NEWS @PhD_Balance @AcademicChatter Thank you so much,False,"[58, 75]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2195534425927107e+18,1219553442592710656,1.0065379292154307e+18,1006537929215430656,FazalMehmoodKh9,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'FazalMehmoodKh9', 'name': 'Fazal Mehmood Khan🦠🧬🧫💊', 'id': 1006537929215430656, 'id_str': '1006537929215430656', 'indices': [0, 16]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [17, 27]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [28, 40]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [41, 57]}]",[],en,recent,415706972,415706972,Mohammed Tarique,taarique94,"Al Ain, UAE","Graduate Research Assistant
College of Food and Agriculture Science, UAE University, Al Ain",https://t.co/x8rGbmkWew,[],False,410,399,1,Fri Nov 18 18:06:35 +0000 2011,3068,,,False,False,938,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_banners/415706972/1577824839,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/x8rGbmkWew', 'expanded_url': 'https://www.linkedin.com/in/mohammed-tarique-i29y08atr', 'display_url': 'linkedin.com/in/mohammed-ta…', 'indices': [0, 23]}]",,,,,,,,,,
11,Tue Jan 21 09:32:53 +0000 2020,1219553442592710656,1219553442592710656,@taarique94 @UAEU_NEWS @PhD_Balance @AcademicChatter Heartiest congratulations 🎉 dear and best wishes for your PhD study,False,"[53, 120]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219329082850259e+18,1219329082850258945,415706972.0,415706972,taarique94,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'taarique94', 'name': 'Mohammed Tarique', 'id': 415706972, 'id_str': '415706972', 'indices': [0, 11]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [12, 22]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [23, 35]}, {'screen_name': 'AcademicChatter', 'name': 'Amy Gaeta / Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [36, 52]}]",[],en,recent,1006537929215430656,1006537929215430656,Fazal Mehmood Khan🦠🧬🧫💊,FazalMehmoodKh9,Pakistan,"PhD TWAS Fellowship, Doing research on Phages endolysin against gram negative bacteria at Wuhan Institute of Virology Chinese Academy of Sciences China 🇨🇳.",https://t.co/lKHsDeLbaW,[],False,304,1611,2,Tue Jun 12 14:05:17 +0000 2018,1174,,,True,False,323,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1186549598283657216/KkG9Udz3_normal.jpg,https://pbs.twimg.com/profile_images/1186549598283657216/KkG9Udz3_normal.jpg,https://pbs.twimg.com/profile_banners/1006537929215430656/1565713933,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/lKHsDeLbaW', 'expanded_url': 'http://linkedin.com/in/fazal-mehmood-khan-42b6ba142', 'display_url': 'linkedin.com/in/fazal-mehmo…', 'indices': [0, 23]}]",014c362c217f8ff3,https://api.twitter.com/1.1/geo/id/014c362c217f8ff3.json,admin,Hubei,"Hubei, People's Republic of China",CN,People's Republic of China,[],Polygon,"[[[108.376083, 29.054997], [116.13472, 29.054997], [116.13472, 33.266266], [108.376083, 33.266266]]]"
12,Tue Jan 21 06:27:26 +0000 2020,1219506773574418432,1219506773574418432,@Drea_Drby @UAEU_NEWS @PhD_Balance @AcademicChatter Thank you so much.. You have been a great support,False,"[52, 101]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194981374604575e+18,1219498137460457472,2809691267.0,2809691267,Drea_Drby,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Drea_Drby', 'name': 'Andrea Mae', 'id': 2809691267, 'id_str': '2809691267', 'indices': [0, 10]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [11, 21]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [22, 34]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [35, 51]}]",[],en,recent,415706972,415706972,Mohammed Tarique,taarique94,"Al Ain, UAE","Graduate Research Assistant
College of Food and Agriculture Science, UAE University, Al Ain",https://t.co/x8rGbmkWew,[],False,410,399,1,Fri Nov 18 18:06:35 +0000 2011,3068,,,False,False,938,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_banners/415706972/1577824839,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/x8rGbmkWew', 'expanded_url': 'https://www.linkedin.com/in/mohammed-tarique-i29y08atr', 'display_url': 'linkedin.com/in/mohammed-ta…', 'indices': [0, 23]}]",,,,,,,,,,
13,Tue Jan 21 05:53:07 +0000 2020,1219498137460457472,1219498137460457472,@taarique94 @UAEU_NEWS @PhD_Balance @AcademicChatter Yay!!! Congrats! You deserve this! ❤❤❤,False,"[53, 91]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.219329082850259e+18,1219329082850258945,415706972.0,415706972,taarique94,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'taarique94', 'name': 'Mohammed Tarique', 'id': 415706972, 'id_str': '415706972', 'indices': [0, 11]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [12, 22]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [23, 35]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [36, 52]}]",[],en,recent,2809691267,2809691267,Andrea Mae,Drea_Drby,,"Entomology PhD student at @Cornell Interested in nutrition-host-microbe interactions in #Drosophila
|She/Her/Hers|
#firstgen | #BlackinStem |#Filipinx",,[],False,481,809,5,Mon Oct 06 08:04:17 +0000 2014,4725,,,True,False,994,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1118553308510281728/c_mO8wpl_normal.jpg,https://pbs.twimg.com/profile_images/1118553308510281728/c_mO8wpl_normal.jpg,https://pbs.twimg.com/profile_banners/2809691267/1484628542,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tue Jan 21 03:58:36 +0000 2020,1219469317915336704,1219469317915336704,@NanoYen @UAEU_NEWS @PhD_Balance @AcademicChatter Thank you Prasad😊,False,"[50, 67]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194513408641516e+18,1219451340864151553,1.1582182793132605e+18,1158218279313260544,NanoYen,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'NanoYen', 'name': 'Nano-Materials Research Laboratory', 'id': 1158218279313260544, 'id_str': '1158218279313260544', 'indices': [0, 8]}, {'screen_name': 'UAEU_NEWS', 'name': 'جامعة الإمارات العربية المتحدة', 'id': 496969590, 'id_str': '496969590', 'indices': [9, 19]}, {'screen_name': 'PhD_Balance', 'name': 'PhD Balance', 'id': 978671691965583361, 'id_str': '978671691965583361', 'indices': [20, 32]}, {'screen_name': 'AcademicChatter', 'name': 'Academic Chatter', 'id': 885953601067208705, 'id_str': '885953601067208705', 'indices': [33, 49]}]",[],en,recent,415706972,415706972,Mohammed Tarique,taarique94,"Al Ain, UAE","Graduate Research Assistant
College of Food and Agriculture Science, UAE University, Al Ain",https://t.co/x8rGbmkWew,[],False,410,399,1,Fri Nov 18 18:06:35 +0000 2011,3068,,,False,False,938,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_images/1179921715368878080/XWL29sPz_normal.jpg,https://pbs.twimg.com/profile_banners/415706972/1577824839,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/x8rGbmkWew', 'expanded_url': 'https://www.linkedin.com/in/mohammed-tarique-i29y08atr', 'display_url': 'linkedin.com/in/mohammed-ta…', 'indices': [0, 23]}]",,,,,,,,,,
