,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.profile_banner_url,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
4,Sat Jan 25 11:36:11 +0000 2020,1221034022115127299,1221034022115127299,@Embassy_of_AFG @RoyaRahmani @ashrafghani @FulbrightPrgrm @StateDept @UArkansas @State_SCA Excellence Amabassador we prour you.,False,"[91, 127]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.116857683666264e+18,1116857683666264065,304717600.0,304717600,Embassy_of_AFG,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Embassy_of_AFG', 'name': 'Afghan Embassy DC', 'id': 304717600, 'id_str': '304717600', 'indices': [0, 15]}, {'screen_name': 'RoyaRahmani', 'name': 'Roya Rahmani', 'id': 151875087, 'id_str': '151875087', 'indices': [16, 28]}, {'screen_name': 'ashrafghani', 'name': 'Ashraf Ghani', 'id': 46376581, 'id_str': '46376581', 'indices': [29, 41]}, {'screen_name': 'FulbrightPrgrm', 'name': 'The Fulbright Program', 'id': 48788647, 'id_str': '48788647', 'indices': [42, 57]}, {'screen_name': 'StateDept', 'name': 'Department of State', 'id': 9624742, 'id_str': '9624742', 'indices': [58, 68]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [69, 79]}, {'screen_name': 'State_SCA', 'name': 'State_SCA', 'id': 143568410, 'id_str': '143568410', 'indices': [80, 90]}]",[],en,recent,1218509388543078400,1218509388543078400,Hikmatullah,Hikmatu32308932,,"i am student in kardan university, LAW Degree Bacheloree programme, i have  31 years, iam single.",,[],False,0,37,0,Sat Jan 18 12:24:22 +0000 2020,6,,,False,False,13,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1218509474547281922/BZ3v2n-B_normal.jpg,https://pbs.twimg.com/profile_images/1218509474547281922/BZ3v2n-B_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Jan 25 03:09:48 +0000 2020,1220906585989566464,1220906585989566464,"RT @Jerryst86146937: @JeffFlanigan @UArkansas Congrats.. Dr.Flanigan, we still have a long way to go. we have 1 more in the home..",False,"[0, 130]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'Jerryst86146937', 'name': 'Jerrystewart', 'id': 1083854214424682496, 'id_str': '1083854214424682496', 'indices': [3, 19]}, {'screen_name': 'JeffFlanigan', 'name': 'Dr. Jeff Flanigan', 'id': 436729046, 'id_str': '436729046', 'indices': [21, 34]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [35, 45]}]",[],en,recent,436729046,436729046,Dr. Jeff Flanigan,JeffFlanigan,USA,"Pastor, Husband, Father, JHS STEM Academy Principal, UA Alum, Harding Alum, & Member of Alpha Phi Alpha Fraternity, Inc. #Team1906, #TeamDEUCEclub #OTR",,[],False,600,828,9,Wed Dec 14 14:07:10 +0000 2011,17709,,,False,False,13156,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/567094302967218176/CWT095JL_normal.jpeg,https://pbs.twimg.com/profile_images/567094302967218176/CWT095JL_normal.jpeg,https://pbs.twimg.com/profile_banners/436729046/1424041111,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Fri Jan 24 14:03:23 +0000 2020,1.220708678644437e+18,1220708678644436993,"@JeffFlanigan @UArkansas Congrats.. Dr.Flanigan, we still have a long way to go. we have 1 more in the home..",False,"[25, 109]",[],[],"[{'screen_name': 'JeffFlanigan', 'name': 'Dr. Jeff Flanigan', 'id': 436729046, 'id_str': '436729046', 'indices': [0, 13]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [14, 24]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220695273648816e+18,1220695273648816134,436729046.0,436729046,JeffFlanigan,1.0838542144246825e+18,1083854214424682496,Jerrystewart,Jerryst86146937,,,,[],False,53.0,112.0,0.0,Fri Jan 11 22:32:36 +0000 2019,845.0,,,False,False,145.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1092216167643664384/GGQTDft3_normal.jpg,https://pbs.twimg.com/profile_images/1092216167643664384/GGQTDft3_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,2.0,2.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 00:13:28 +0000 2020,1220862210362220545,1220862210362220545,"I have found my fun in watching girls flying and landing as sticks 😍😍 
Tonight watching @UArkansas vs @UniOfKentucky",False,"[0, 116]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208597974588252e+18,1220859797458825216,373278558.0,373278558,Sunkesharee,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [88, 98]}, {'screen_name': 'UniOfKentucky', 'name': 'Uni Of Kentucky', 'id': 4910656426, 'id_str': '4910656426', 'indices': [102, 116]}]",[],en,recent,373278558,373278558,Sweta Gyanu Baniya,Sunkesharee,"Kathmandu, Nepal","PhD Candidate RhetComp@Purdue! Researching on NepalEarthquake/HurricaneMaria. Fanatic about Non-western /Digital Rhetoric,& Crisis Communication.Tweets:PERSONAL",https://t.co/C3p7N0g59j,[],False,5648,1335,49,Wed Sep 14 09:17:34 +0000 2011,27310,,,True,False,51748,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1211977385320562688/sL1tSRpi_normal.jpg,https://pbs.twimg.com/profile_images/1211977385320562688/sL1tSRpi_normal.jpg,https://pbs.twimg.com/profile_banners/373278558/1543934386,EB12D2,FFFFFF,95E8EC,3C3940,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/C3p7N0g59j', 'expanded_url': 'https://sbaniya.com', 'display_url': 'sbaniya.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 18:01:26 +0000 2020,1220768587733925889,1220768587733925889,RT @MrsPikeChem: @JeffFlanigan @UArkansas Awww!! Today is Lily’s Birthday too!! Happy Birthday to both beautiful girls!!,False,"[0, 120]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'MrsPikeChem', 'name': 'Mrs. Christy Pike', 'id': 345185943, 'id_str': '345185943', 'indices': [3, 15]}, {'screen_name': 'JeffFlanigan', 'name': 'Dr. Jeff Flanigan', 'id': 436729046, 'id_str': '436729046', 'indices': [17, 30]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [31, 41]}]",[],en,recent,436729046,436729046,Dr. Jeff Flanigan,JeffFlanigan,USA,"Pastor, Husband, Father, JHS STEM Academy Principal, UA Alum, Harding Alum, & Member of Alpha Phi Alpha Fraternity, Inc. #Team1906, #TeamDEUCEclub #OTR",,[],False,600,828,9,Wed Dec 14 14:07:10 +0000 2011,17709,,,False,False,13156,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/567094302967218176/CWT095JL_normal.jpeg,https://pbs.twimg.com/profile_images/567094302967218176/CWT095JL_normal.jpeg,https://pbs.twimg.com/profile_banners/436729046/1424041111,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Fri Jan 24 13:36:09 +0000 2020,1.2207018253027615e+18,1220701825302761472,@JeffFlanigan @UArkansas Awww!! Today is Lily’s Birthday too!! Happy Birthday to both beautiful girls!!,False,"[25, 103]",[],[],"[{'screen_name': 'JeffFlanigan', 'name': 'Dr. Jeff Flanigan', 'id': 436729046, 'id_str': '436729046', 'indices': [0, 13]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [14, 24]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220695273648816e+18,1220695273648816134,436729046.0,436729046,JeffFlanigan,345185943.0,345185943,Mrs. Christy Pike,MrsPikeChem,"Jonesboro, AR","Mother of 5, Chemistry Teacher 👩🏻‍🏫, Lover of Learning, Eclectic Soul & Avid Runner 🏃🏽‍♀️!!!",,[],False,194.0,330.0,1.0,Sat Jul 30 05:33:59 +0000 2011,3738.0,,,True,False,1764.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211391491983196164/poHqiEIo_normal.jpg,https://pbs.twimg.com/profile_images/1211391491983196164/poHqiEIo_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/345185943/1495675613,,,,,,,,,,,,,,
13,Fri Jan 24 17:58:46 +0000 2020,1220767914074300419,1220767914074300419,RT @CedrickHarris11: @JeffFlanigan @UArkansas Young cousin got grown on me! Happy Birthday baby girl! 🎂😍,False,"[0, 104]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'CedrickHarris11', 'name': 'Cedrick Harris Sr.', 'id': 1049655602115477511, 'id_str': '1049655602115477511', 'indices': [3, 19]}, {'screen_name': 'JeffFlanigan', 'name': 'Dr. Jeff Flanigan', 'id': 436729046, 'id_str': '436729046', 'indices': [21, 34]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [35, 45]}]",[],en,recent,436729046,436729046,Dr. Jeff Flanigan,JeffFlanigan,USA,"Pastor, Husband, Father, JHS STEM Academy Principal, UA Alum, Harding Alum, & Member of Alpha Phi Alpha Fraternity, Inc. #Team1906, #TeamDEUCEclub #OTR",,[],False,600,828,9,Wed Dec 14 14:07:10 +0000 2011,17709,,,False,False,13156,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/567094302967218176/CWT095JL_normal.jpeg,https://pbs.twimg.com/profile_images/567094302967218176/CWT095JL_normal.jpeg,https://pbs.twimg.com/profile_banners/436729046/1424041111,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Fri Jan 24 15:49:09 +0000 2020,1.220735295739564e+18,1220735295739564032,@JeffFlanigan @UArkansas Young cousin got grown on me! Happy Birthday baby girl! 🎂😍,False,"[25, 83]",[],[],"[{'screen_name': 'JeffFlanigan', 'name': 'Dr. Jeff Flanigan', 'id': 436729046, 'id_str': '436729046', 'indices': [0, 13]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [14, 24]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220695273648816e+18,1220695273648816134,436729046.0,436729046,JeffFlanigan,1.0496556021154775e+18,1049655602115477511,Cedrick Harris Sr.,CedrickHarris11,"Ashdown, AR",Husband-Father of 3 | LSU 2 x National Champ | AZ Diamondback | MLB Associate Scout | Certified Speed Coach |Ark Sticks| Public Speaker|,https://t.co/8ItbuMkrjm,[],False,2744.0,2099.0,2.0,Tue Oct 09 13:39:31 +0000 2018,62544.0,,,True,False,2566.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1049658765518299147/FOND5VGS_normal.jpg,https://pbs.twimg.com/profile_images/1049658765518299147/FOND5VGS_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,,,,,,,,,,,,https://pbs.twimg.com/profile_banners/1049655602115477511/1555512723,"[{'url': 'https://t.co/8ItbuMkrjm', 'expanded_url': 'https://arsticksbaseball.myshopify.com', 'display_url': 'arsticksbaseball.myshopify.com', 'indices': [0, 23]}]",,,,,,,,,,,,,
32,Thu Jan 23 20:37:16 +0000 2020,1220445415264477185,1220445415264477185,@tracegirouard48 @UArkansas Wait are we in charge of IT now too? We’ll gladly replace all email communications with XBOX Live Chat.,False,"[28, 131]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220438584534229e+18,1220438584534229000,2606442018.0,2606442018,tracegirouard48,,,,,False,2,12,False,False,en,[],[],"[{'screen_name': 'tracegirouard48', 'name': 'Trace Girouard', 'id': 2606442018, 'id_str': '2606442018', 'indices': [0, 16]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [17, 27]}]",[],en,recent,305805755,305805755,Arkansas Union,ArkansasUnion,University of Arkansas,The center of campus life and activity on the @UArkansas campus.,https://t.co/dwHUwjvuGT,[],False,4856,281,43,Thu May 26 20:33:19 +0000 2011,3584,,,True,False,6968,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1080475095590686720/-_SGsBPB_normal.jpg,https://pbs.twimg.com/profile_images/1080475095590686720/-_SGsBPB_normal.jpg,https://pbs.twimg.com/profile_banners/305805755/1572614094,F00505,FFFFFF,25A6D9,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/dwHUwjvuGT', 'expanded_url': 'http://union.uark.edu', 'display_url': 'union.uark.edu', 'indices': [0, 23]}]",e8ad2641c1cb666c,https://api.twitter.com/1.1/geo/id/e8ad2641c1cb666c.json,admin,Arkansas,"Arkansas, USA",US,United States,[],Polygon,"[[[-94.61771, 33.004106], [-89.644838, 33.004106], [-89.644838, 36.499767], [-94.61771, 36.499767]]]",,,,,,,,,,,,,,,
49,Wed Jan 22 18:47:35 +0000 2020,1220055426059907075,1220055426059907075,"I’m so proud of all my @UArkansas alum! Like, we are really out here flourishing, creating, building and manifesting! I LOVE to see it! Congratulations to everyone making moves! ♥️",False,"[0, 180]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,5,10,False,False,en,[],[],"[{'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [23, 33]}]",[],en,recent,4848482099,4848482099,Lauren Symone,ProducerLauren_,"Memphis, TN",@3onyourside News Producer 📺🎥. Believer🙏🏾. God’s Plan: Jeremiah 29:11. All opinions are my own. Retweets are not endorsements. @uarkansas Grad. #WPS,https://t.co/JP28o2EeSG,[],False,570,556,5,Tue Jan 26 06:05:46 +0000 2016,3872,,,True,False,3890,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219054192763068416/hD4kVKtP_normal.jpg,https://pbs.twimg.com/profile_images/1219054192763068416/hD4kVKtP_normal.jpg,https://pbs.twimg.com/profile_banners/4848482099/1543894143,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/JP28o2EeSG', 'expanded_url': 'http://laurenhoskins.net', 'display_url': 'laurenhoskins.net', 'indices': [0, 23]}]",f995a9bd45d4a867,https://api.twitter.com/1.1/geo/id/f995a9bd45d4a867.json,city,Memphis,"Memphis, TN",US,United States,[],Polygon,"[[[-90.135782, 34.994192], [-89.708276, 34.994192], [-89.708276, 35.2728491], [-90.135782, 35.2728491]]]",,,,,,,,,,,,,,,
55,Tue Jan 21 14:42:48 +0000 2020,1219631435616788480,1219631435616788480,@johannabalke @UArkansas @UATandP Where at?,False,"[34, 43]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196191922378916e+18,1219619192237891585,268428540.0,268428540,johannabalke,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'johannabalke', 'name': 'johannabalke', 'id': 268428540, 'id_str': '268428540', 'indices': [0, 13]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [14, 24]}, {'screen_name': 'UATandP', 'name': 'UA Transit & Parking', 'id': 81017418, 'id_str': '81017418', 'indices': [25, 33]}]",[],en,recent,966416665218027520,966416665218027520,UARK Broke Things,UARKBrokeThings,"Fayettenam, AR",Parody account that provides a humorous spin on issues faced by students on the Hill.,,[],False,5636,249,5,Wed Feb 21 20:57:42 +0000 2018,12547,,,True,False,4167,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1193233479028367361/EXfrGLK7_normal.jpg,https://pbs.twimg.com/profile_images/1193233479028367361/EXfrGLK7_normal.jpg,https://pbs.twimg.com/profile_banners/966416665218027520/1573342053,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8ad2641c1cb666c,https://api.twitter.com/1.1/geo/id/e8ad2641c1cb666c.json,admin,Arkansas,"Arkansas, USA",US,United States,[],Polygon,"[[[-94.61771, 33.004106], [-89.644838, 33.004106], [-89.644838, 36.499767], [-94.61771, 36.499767]]]",,,,,,,,,,,,,,,
67,Sun Jan 19 22:25:31 +0000 2020,1219023107089932288,1219023107089932288,@DeaAmericana @drarubia @Jerm00ny @UArkansas Super glue it.,False,"[45, 59]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2190229051510538e+18,1219022905151053824,46290127.0,46290127,DeaAmericana,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DeaAmericana', 'name': '❄❄❄', 'id': 46290127, 'id_str': '46290127', 'indices': [0, 13]}, {'screen_name': 'drarubia', 'name': 'Queen Bee, MD👸🐝(she/her)', 'id': 46635932, 'id_str': '46635932', 'indices': [14, 23]}, {'screen_name': 'Jerm00ny', 'name': 'Jeremy Leonhardt', 'id': 704750611, 'id_str': '704750611', 'indices': [24, 33]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [34, 44]}]",[],en,recent,1244008994,1244008994,Lisa Darden,GrumpyMPAGrad,"Arkansas, USA",Public Administration is my jam. I work for COF Com. Resources. Considering a PhD JUST so I can say I’m a doctor not a bricklayer. Trekkie. Mom Friend. Her/She,,[],False,915,2323,17,Tue Mar 05 15:35:49 +0000 2013,19229,,,True,False,8216,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,True,http://pbs.twimg.com/profile_images/1210323944462569473/0GmmYKut_normal.jpg,https://pbs.twimg.com/profile_images/1210323944462569473/0GmmYKut_normal.jpg,https://pbs.twimg.com/profile_banners/1244008994/1553877799,FF0000,FFFFFF,FFF7CC,0C3E53,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Sun Jan 19 16:53:17 +0000 2020,1218939498429665281,1218939498429665281,RT @johnson_museum: Thank you Dr. Barbara Lofton @UArkansas for supporting John H. Johnson Day 2019!  We appreciate your commitment to dive…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'johnson_museum', 'name': 'John H. Johnson Museum', 'id': 1183569431185764352, 'id_str': '1183569431185764352', 'indices': [3, 18]}, {'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [49, 59]}]",[],en,recent,992255226,992255226,Alex Foundation,AlexFoundation1,United States,Alex Foundation mission is to engage + enlighten students to pursue careers/entrepreneurial opportunities in architecture/design + the built environment.,http://t.co/kGaCsMbT,[],False,210,446,9,Thu Dec 06 02:59:51 +0000 2012,3577,,,False,False,4051,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2937890769/82d3b3a7623477508d65f6695fa4eccf_normal.jpeg,https://pbs.twimg.com/profile_images/2937890769/82d3b3a7623477508d65f6695fa4eccf_normal.jpeg,https://pbs.twimg.com/profile_banners/992255226/1354764027,6FC22B,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,Fri Oct 25 01:12:54 +0000 2019,1.187537486286852e+18,1187537486286852096,Thank you Dr. Barbara Lofton @UArkansas for supporting John H. Johnson Day 2019!  We appreciate your commitment to diversity and inclusion! #JohnHJohnsonDay #DiversityandInclusion,False,"[0, 179]","[{'text': 'JohnHJohnsonDay', 'indices': [140, 156]}, {'text': 'DiversityandInclusion', 'indices': [157, 179]}]",[],"[{'screen_name': 'UArkansas', 'name': 'University of Arkansas', 'id': 59213971, 'id_str': '59213971', 'indices': [29, 39]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.1835694311857644e+18,1183569431185764352,John H. Johnson Museum,johnson_museum,"Arkansas City, Arkansas","John H. Johnson Museum honoring John H. Johnson, founder, CEO, chairman & publisher of Johnson Publishing Company and the iconic Ebony and Jet Magazines.",https://t.co/GsKcG4gX7w,[],False,3.0,53.0,0.0,Mon Oct 14 02:25:30 +0000 2019,34.0,,,False,False,43.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1186752310585761796/EThUv2NE_normal.jpg,https://pbs.twimg.com/profile_images/1186752310585761796/EThUv2NE_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,3.0,3.0,False,False,en,"[{'url': 'http://t.co/kGaCsMbT', 'expanded_url': 'http://www.alex-foundation.org', 'display_url': 'alex-foundation.org', 'indices': [0, 20]}]",,,,,,,,,,,https://pbs.twimg.com/profile_banners/1183569431185764352/1571418517,"[{'url': 'https://t.co/GsKcG4gX7w', 'expanded_url': 'http://www.johnhjohnsonmuseum.org', 'display_url': 'johnhjohnsonmuseum.org', 'indices': [0, 23]}]",,,,,,,,,,,,,
