,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
6,Fri Jan 24 18:30:59 +0000 2020,1220776021676310528,1220776021676310528,RT @JulieLMacArthur: Thanks so much to the @MarsdenFund for supporting this work - lots more to come with a 2nd NZ Community Energy forum p…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'JulieLMacArthur', 'name': 'Julie MacArthur', 'id': 2934373082, 'id_str': '2934373082', 'indices': [3, 19]}, {'screen_name': 'MarsdenFund', 'name': 'Marsden Fund', 'id': 2303740058, 'id_str': '2303740058', 'indices': [43, 55]}]",[],en,recent,2303740058,2303740058,Marsden Fund,MarsdenFund,New Zealand,"Supports excellence in science, engineering, maths, social sciences and the humanities in New Zealand by providing grants for investigator-initiated research.",http://t.co/e9N0S74nYf,"[{'url': 'http://t.co/e9N0S74nYf', 'expanded_url': 'http://www.royalsociety.org.nz/programmes/funds/marsden/', 'display_url': 'royalsociety.org.nz/programmes/fun…', 'indices': [0, 22]}]",[],False,2681,502,24,Tue Jan 21 21:31:36 +0000 2014,946,,,False,False,2828,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1111443454054166529/u7KeJo_L_normal.png,https://pbs.twimg.com/profile_images/1111443454054166529/u7KeJo_L_normal.png,https://pbs.twimg.com/profile_banners/2303740058/1553827606,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,Fri Jan 24 16:41:54 +0000 2020,1.2207485708668764e+18,1220748570866876423,Thanks so much to the @MarsdenFund for supporting this work - lots more to come with a 2nd NZ Community Energy forum planned for this November @AucklandUni.,False,"[0, 156]",[],[],"[{'screen_name': 'MarsdenFund', 'name': 'Marsden Fund', 'id': 2303740058, 'id_str': '2303740058', 'indices': [22, 34]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [143, 155]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207483419208294e+18,1220748341920829440,2934373082.0,2934373082,JulieLMacArthur,2934373082.0,2934373082,Julie MacArthur,JulieLMacArthur,"Auckland, New Zealand","Author, Empowering Electricity | Sr. Lecturer in environmental politics & public policy @AucklandUni | #Energy policy, #socent, academia | RT ≠ endorsement",https://t.co/k817wqsJMk,"[{'url': 'https://t.co/k817wqsJMk', 'expanded_url': 'http://www.arts.auckland.ac.nz/people/jmac574', 'display_url': 'arts.auckland.ac.nz/people/jmac574', 'indices': [0, 23]}]",[],False,921.0,975.0,65.0,Thu Dec 18 06:02:17 +0000 2014,5304.0,,,True,False,3893.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/757253422869516288/6jXDYaxZ_normal.jpg,https://pbs.twimg.com/profile_images/757253422869516288/6jXDYaxZ_normal.jpg,https://pbs.twimg.com/profile_banners/2934373082/1456343809,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en
7,Fri Jan 24 16:41:54 +0000 2020,1220748570866876423,1220748570866876423,Thanks so much to the @MarsdenFund for supporting this work - lots more to come with a 2nd NZ Community Energy forum planned for this November @AucklandUni.,False,"[0, 156]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207483419208294e+18,1220748341920829440,2934373082.0,2934373082,JulieLMacArthur,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'MarsdenFund', 'name': 'Marsden Fund', 'id': 2303740058, 'id_str': '2303740058', 'indices': [22, 34]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [143, 155]}]",[],en,recent,2934373082,2934373082,Julie MacArthur,JulieLMacArthur,"Auckland, New Zealand","Author, Empowering Electricity | Sr. Lecturer in environmental politics & public policy @AucklandUni | #Energy policy, #socent, academia | RT ≠ endorsement",https://t.co/k817wqsJMk,"[{'url': 'https://t.co/k817wqsJMk', 'expanded_url': 'http://www.arts.auckland.ac.nz/people/jmac574', 'display_url': 'arts.auckland.ac.nz/people/jmac574', 'indices': [0, 23]}]",[],False,921,975,65,Thu Dec 18 06:02:17 +0000 2014,5304,,,True,False,3893,,False,False,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/757253422869516288/6jXDYaxZ_normal.jpg,https://pbs.twimg.com/profile_images/757253422869516288/6jXDYaxZ_normal.jpg,https://pbs.twimg.com/profile_banners/2934373082/1456343809,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 04:00:03 +0000 2020,1220556844172599296,1220556844172599296,@RichieHardcore Awesome! You coming to us at @AucklandUni?,False,"[16, 58]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205362286525686e+18,1220536228652568576,251428027.0,251428027,RichieHardcore,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'RichieHardcore', 'name': 'Richie Hardcore', 'id': 251428027, 'id_str': '251428027', 'indices': [0, 15]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [45, 57]}]",[],en,recent,19525630,19525630,Dr Hirini Kaa,revhirini,,Kaiārahi at @ArtsAucklandUni | Historian - The Book coming with @BWB_NZ! | Anglican Priest | committed dilettante,,,[],False,3300,1328,32,Mon Jan 26 09:08:17 +0000 2009,24747,,,True,False,17740,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1217191674385821696/EJt9lclC_normal.jpg,https://pbs.twimg.com/profile_images/1217191674385821696/EJt9lclC_normal.jpg,https://pbs.twimg.com/profile_banners/19525630/1579036085,0084B4,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Thu Jan 23 21:43:26 +0000 2020,1220462065216819208,1220462065216819208,@Emerald_JEgg @Jaylene74 @EmeraldGlobal @JulieEBayley @AucklandUni I’ll pop up for a cuppa!! I’m the only one who appreciates proper Yorkshire tea anyway 🙄😂 Thanks Emerald gang!,False,"[67, 177]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204612205889372e+18,1220461220588937232,2793814869.0,2793814869,Emerald_JEgg,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Emerald_JEgg', 'name': 'John Eggleton', 'id': 2793814869, 'id_str': '2793814869', 'indices': [0, 13]}, {'screen_name': 'Jaylene74', 'name': 'Jaylene', 'id': 25051914, 'id_str': '25051914', 'indices': [14, 24]}, {'screen_name': 'EmeraldGlobal', 'name': 'Emerald Publishing', 'id': 28085576, 'id_str': '28085576', 'indices': [25, 39]}, {'screen_name': 'JulieEBayley', 'name': 'Julie Bayley', 'id': 1666048531, 'id_str': '1666048531', 'indices': [40, 53]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [54, 66]}]",[],en,recent,1466820308,1466820308,Faith Welch,FaithUOA,,"Research Impact Manager working for @AucklandUni. Interests: increasing impact literacy, playing roller derby, eating cheese (the stinkier the better).",https://t.co/bB7hpi6Oug,"[{'url': 'https://t.co/bB7hpi6Oug', 'expanded_url': 'https://www.linkedin.com/in/faith-welch-b6a11924/', 'display_url': 'linkedin.com/in/faith-welch…', 'indices': [0, 23]}]",[],False,562,484,11,Wed May 29 09:18:47 +0000 2013,1010,,,False,False,982,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1123410082937679874/eiRYQFtx_normal.png,https://pbs.twimg.com/profile_images/1123410082937679874/eiRYQFtx_normal.png,https://pbs.twimg.com/profile_banners/1466820308/1401805864,E32242,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Thu Jan 23 02:26:23 +0000 2020,1220170885887229953,1220170885887229953,"RT @ASHNZ2025: Emeritus Professor Robert Beaglehole  @Breakfaston1
 speaking with @JohnJCampbell  this morning:  ""There is no evidence to s…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'ASHNZ2025', 'name': 'ASH New Zealand', 'id': 67201179, 'id_str': '67201179', 'indices': [3, 13]}, {'screen_name': 'Breakfaston1', 'name': ""TVNZ's Breakfast"", 'id': 26127689, 'id_str': '26127689', 'indices': [53, 66]}, {'screen_name': 'JohnJCampbell', 'name': 'John Campbell', 'id': 25263074, 'id_str': '25263074', 'indices': [82, 96]}]",[],en,recent,2440751324,2440751324,Nia luxton,luxtons5,"Sydney, New South Wales","PhD (Macquarie), MAppSc (USYD),(Cardiopulmonary physiotherapy), BScHons (Ulster). Lecturer, researcher and clinician (APA titled member)",,,[],False,676,1856,8,Sun Apr 13 00:04:59 +0000 2014,7893,,,True,False,11625,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/927508984524808192/iQmAb9qY_normal.jpg,https://pbs.twimg.com/profile_images/927508984524808192/iQmAb9qY_normal.jpg,,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,Wed Jan 22 20:29:07 +0000 2020,1.2200809759268413e+18,1220080975926841344,"Emeritus Professor Robert Beaglehole  @Breakfaston1
 speaking with @JohnJCampbell  this morning:  ""There is no evidence to show vaping is a gateway to smoking.""  @AucklandUni #smokefree2025",False,"[0, 189]","[{'text': 'smokefree2025', 'indices': [175, 189]}]",[],"[{'screen_name': 'Breakfaston1', 'name': ""TVNZ's Breakfast"", 'id': 26127689, 'id_str': '26127689', 'indices': [38, 51]}, {'screen_name': 'JohnJCampbell', 'name': 'John Campbell', 'id': 25263074, 'id_str': '25263074', 'indices': [67, 81]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [162, 174]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,67201179.0,67201179,ASH New Zealand,ASHNZ2025,"Auckland, New Zealand",An NGO dedicated to eliminating the death and disease caused by tobacco. Committed to evidence and independence.,http://t.co/SPT6TFr1wJ,"[{'url': 'http://t.co/SPT6TFr1wJ', 'expanded_url': 'http://www.ash.org.nz', 'display_url': 'ash.org.nz', 'indices': [0, 22]}]",[],False,1327.0,1340.0,39.0,Thu Aug 20 02:25:28 +0000 2009,294.0,,,False,False,3622.0,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/371533531/ASH_icon_normal.jpg,https://pbs.twimg.com/profile_images/371533531/ASH_icon_normal.jpg,https://pbs.twimg.com/profile_banners/67201179/1505693557,990000,DFDFDF,F3F3F3,333333,True,False,False,False,False,False,False,none,,,,,False,6.0,9.0,False,False,en
40,Wed Jan 22 21:38:17 +0000 2020,1220098383202799616,1220098383202799616,"RT @ASHNZ2025: Emeritus Professor Robert Beaglehole  @Breakfaston1
 speaking with @JohnJCampbell  this morning:  ""There is no evidence to s…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'ASHNZ2025', 'name': 'ASH New Zealand', 'id': 67201179, 'id_str': '67201179', 'indices': [3, 13]}, {'screen_name': 'Breakfaston1', 'name': ""TVNZ's Breakfast"", 'id': 26127689, 'id_str': '26127689', 'indices': [53, 66]}, {'screen_name': 'JohnJCampbell', 'name': 'John Campbell', 'id': 25263074, 'id_str': '25263074', 'indices': [82, 96]}]",[],en,recent,772940448507629568,772940448507629568,Billie Bonevski,billie_bonevski,"Newcastle, New South Wales",UON Women in STEMM Chair. Health behaviour scientist. Professor @UON_research @HMRIAustralia. Soccer mum. Runner,https://t.co/7mpygzxrp8,"[{'url': 'https://t.co/7mpygzxrp8', 'expanded_url': 'https://www.newcastle.edu.au/profile/billie-bonevski', 'display_url': 'newcastle.edu.au/profile/billie…', 'indices': [0, 23]}]",[],False,1235,1529,22,Mon Sep 05 23:32:18 +0000 2016,15199,,,True,False,3701,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/799016480708771840/pL09Ziza_normal.jpg,https://pbs.twimg.com/profile_images/799016480708771840/pL09Ziza_normal.jpg,https://pbs.twimg.com/profile_banners/772940448507629568/1534836511,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,Wed Jan 22 20:29:07 +0000 2020,1.2200809759268413e+18,1220080975926841344,"Emeritus Professor Robert Beaglehole  @Breakfaston1
 speaking with @JohnJCampbell  this morning:  ""There is no evidence to show vaping is a gateway to smoking.""  @AucklandUni #smokefree2025",False,"[0, 189]","[{'text': 'smokefree2025', 'indices': [175, 189]}]",[],"[{'screen_name': 'Breakfaston1', 'name': ""TVNZ's Breakfast"", 'id': 26127689, 'id_str': '26127689', 'indices': [38, 51]}, {'screen_name': 'JohnJCampbell', 'name': 'John Campbell', 'id': 25263074, 'id_str': '25263074', 'indices': [67, 81]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [162, 174]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,67201179.0,67201179,ASH New Zealand,ASHNZ2025,"Auckland, New Zealand",An NGO dedicated to eliminating the death and disease caused by tobacco. Committed to evidence and independence.,http://t.co/SPT6TFr1wJ,"[{'url': 'http://t.co/SPT6TFr1wJ', 'expanded_url': 'http://www.ash.org.nz', 'display_url': 'ash.org.nz', 'indices': [0, 22]}]",[],False,1327.0,1340.0,39.0,Thu Aug 20 02:25:28 +0000 2009,294.0,,,False,False,3622.0,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/371533531/ASH_icon_normal.jpg,https://pbs.twimg.com/profile_images/371533531/ASH_icon_normal.jpg,https://pbs.twimg.com/profile_banners/67201179/1505693557,990000,DFDFDF,F3F3F3,333333,True,False,False,False,False,False,False,none,,,,,False,6.0,9.0,False,False,en
41,Wed Jan 22 21:37:49 +0000 2020,1220098264923627520,1220098264923627520,@LoraxCate @nicgaston @AucklandUni Time for a class action against New Zealand universities?,False,"[35, 92]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200871634941297e+18,1220087163494129664,1389134226.0,1389134226,LoraxCate,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'LoraxCate', 'name': 'Dr Cate Macinnis-Ng', 'id': 1389134226, 'id_str': '1389134226', 'indices': [0, 10]}, {'screen_name': 'nicgaston', 'name': '(Ni)(Co)(La) (Ga)ston', 'id': 263048486, 'id_str': '263048486', 'indices': [11, 21]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [22, 34]}]",[],en,recent,135065698,135065698,Shaun Hendy,hendysh,"Auckland, New Zealand","Physical sciences, complex systems, innovation, #scicomm, #KindnessInScience, #NoFly @punahamatatini",https://t.co/wQNIFqsUlE,"[{'url': 'https://t.co/wQNIFqsUlE', 'expanded_url': 'http://www.tepunahamatatini.ac.nz/', 'display_url': 'tepunahamatatini.ac.nz', 'indices': [0, 23]}]",[],False,4184,4363,112,Tue Apr 20 07:06:10 +0000 2010,18189,,,False,False,11783,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/845791171557281793/lLoZTMpl_normal.jpg,https://pbs.twimg.com/profile_images/845791171557281793/lLoZTMpl_normal.jpg,https://pbs.twimg.com/profile_banners/135065698/1431233175,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Wed Jan 22 20:53:42 +0000 2020,1220087163494129664,1220087163494129664,@nicgaston @AucklandUni I think we should all send this to our HR people.,False,"[24, 73]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2200833771241185e+18,1220083377124118533,263048486.0,263048486,nicgaston,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'nicgaston', 'name': '(Ni)(Co)(La) (Ga)ston', 'id': 263048486, 'id_str': '263048486', 'indices': [0, 10]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [11, 23]}]",[],en,recent,1389134226,1389134226,Dr Cate Macinnis-Ng,LoraxCate,Tāmaki Makaurau/Auckland,"Tree ecophysiologist, parent, ocean swimmer and brownie baker. I'm interested in forests, water, carbon and climate change. (she/her) Assoc Prof @ScienceUoA",https://t.co/uy3ONi0nsK,"[{'url': 'https://t.co/uy3ONi0nsK', 'expanded_url': 'https://unidirectory.auckland.ac.nz/people/profile/cng077', 'display_url': 'unidirectory.auckland.ac.nz/people/profile…', 'indices': [0, 23]}]",[],False,4774,4672,155,Mon Apr 29 10:05:03 +0000 2013,28260,,,True,False,15952,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/378800000858036143/frIOX_Lv_normal.jpeg,https://pbs.twimg.com/profile_images/378800000858036143/frIOX_Lv_normal.jpeg,https://pbs.twimg.com/profile_banners/1389134226/1561938369,19A83A,D3D2CF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Wed Jan 22 19:51:24 +0000 2020,1220071484984422400,1220071484984422400,"@nicgaston @AucklandUni Yes, @nicgaston, Auckland Uni is included.  We included all university staff with a discernible rank.  No uni stood out as better or worse than others.",False,"[24, 175]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200625360595395e+18,1220062536059539456,263048486.0,263048486,nicgaston,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'nicgaston', 'name': '(Ni)(Co)(La) (Ga)ston', 'id': 263048486, 'id_str': '263048486', 'indices': [0, 10]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [11, 23]}, {'screen_name': 'nicgaston', 'name': '(Ni)(Co)(La) (Ga)ston', 'id': 263048486, 'id_str': '263048486', 'indices': [29, 39]}]",[],en,recent,1219378804562395136,1219378804562395136,AnnBrowerUC,brower_uc,"Christchurch, New Zealand","I teach environmental science at University of Canterbury, New Zealand.",https://t.co/u45boN3v0j,"[{'url': 'https://t.co/u45boN3v0j', 'expanded_url': 'https://www.canterbury.ac.nz/science/contact-us/people/ann-brower.html', 'display_url': 'canterbury.ac.nz/science/contac…', 'indices': [0, 23]}]",[],False,114,31,0,Mon Jan 20 21:59:06 +0000 2020,75,,,False,False,164,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1219713362843467776/26k-TI3f_normal.jpg,https://pbs.twimg.com/profile_images/1219713362843467776/26k-TI3f_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Wed Jan 22 19:45:52 +0000 2020,1220070092790063104,1220070092790063104,"@nicgaston @AucklandUni Yes, it's a compounding effect alright! Even if you can keep publishing-I don't count for PBRF despite having nearly 20 publications and hundreds of citations 2 years post-phd so people like me just completely fall off the radar for things like this because we don't even show up!",False,"[24, 304]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200682979133809e+18,1220068297913380867,263048486.0,263048486,nicgaston,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'nicgaston', 'name': '(Ni)(Co)(La) (Ga)ston', 'id': 263048486, 'id_str': '263048486', 'indices': [0, 10]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [11, 23]}]",[],en,recent,2813630976,2813630976,Raven Cretney,RavenCretneyNZ,"Kirikiriroa-Hamilton, Aotearoa New Zealand","Researcher in geography & political science - environmental politics & participation, conservation, disaster politics. Bit of photography on the side.",http://t.co/B1D6QrwHZz,"[{'url': 'http://t.co/B1D6QrwHZz', 'expanded_url': 'http://www.ravencretney.wordpress.com', 'display_url': 'ravencretney.wordpress.com', 'indices': [0, 22]}]",[],False,1128,2205,14,Tue Sep 16 20:34:55 +0000 2014,7375,,,False,False,2704,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220553636888997888/ZdMs7Y-0_normal.jpg,https://pbs.twimg.com/profile_images/1220553636888997888/ZdMs7Y-0_normal.jpg,https://pbs.twimg.com/profile_banners/2813630976/1569045735,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
