,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
2,Sat Jan 25 23:42:10 +0000 2020,1221216723203813376,1221216723203813376,@everydaytourist @DowntownWestYYC @KerbyCentre @cityofcalgary @EWoolleyWard8 @ucalgarysapl @UCalgary I love those giant murals,False,"[101, 126]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2212158369391493e+18,1221215836939149316,247955666.0,247955666,everydaytourist,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'everydaytourist', 'name': 'richard white', 'id': 247955666, 'id_str': '247955666', 'indices': [0, 16]}, {'screen_name': 'DowntownWestYYC', 'name': 'Downtown West Community Association', 'id': 1142483943675060226, 'id_str': '1142483943675060226', 'indices': [17, 33]}, {'screen_name': 'KerbyCentre', 'name': 'Kerby Centre', 'id': 1090186730, 'id_str': '1090186730', 'indices': [34, 46]}, {'screen_name': 'cityofcalgary', 'name': 'City of Calgary', 'id': 15933148, 'id_str': '15933148', 'indices': [47, 61]}, {'screen_name': 'EWoolleyWard8', 'name': 'Evan Woolley', 'id': 23046363, 'id_str': '23046363', 'indices': [62, 76]}, {'screen_name': 'ucalgarysapl', 'name': 'School of Architecture, Planning and Landscape', 'id': 2436047454, 'id_str': '2436047454', 'indices': [77, 90]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [91, 100]}]",[],en,recent,304112247,304112247,Christopher W. Boyse,BadlandsBoyse,"Calgary, Canada",Startup founder | Volunteer | Reformed Bay Street banker now in #yyc | @RotmanSchool MBA | @UNB alum | Canadian,https://t.co/OTabPh71Ys,[],False,869,1426,71,Mon May 23 23:28:23 +0000 2011,35494,,,True,False,1496,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/858836299108671488/wmvRsXXe_normal.jpg,https://pbs.twimg.com/profile_images/858836299108671488/wmvRsXXe_normal.jpg,https://pbs.twimg.com/profile_banners/304112247/1451504883,DD2E44,181A1E,252429,666666,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/OTabPh71Ys', 'expanded_url': 'http://ca.linkedin.com/in/christopherboysemba', 'display_url': 'ca.linkedin.com/in/christopher…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 14:06:00 +0000 2020,1221071723748970496,1221071723748970496,"RT @MsLutzmann: @MichelleRempel I'm a teacher in Alberta, where @AdrianaLaGrange is slashing funds for things like second language educatio…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'MsLutzmann', 'name': 'Carly Lutzmann', 'id': 192414447, 'id_str': '192414447', 'indices': [3, 14]}, {'screen_name': 'MichelleRempel', 'name': 'Michelle Rempel Garner', 'id': 14538949, 'id_str': '14538949', 'indices': [16, 31]}, {'screen_name': 'AdrianaLaGrange', 'name': 'Adriana LaGrange', 'id': 508132071, 'id_str': '508132071', 'indices': [64, 80]}]",[],en,recent,1213547547551158272,1213547547551158272,CaffeineSocialist,CaffeineSociali,Treaty 7,"Over caffeinated champaign socialist calling out fascists, demagogues & bigots. If I call you out, change your ways. #ableg #cdnpoli",,[],False,26,185,0,Sat Jan 04 19:47:52 +0000 2020,114,,,False,False,794,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213548466737049602/5F24pMG4_normal.jpg,https://pbs.twimg.com/profile_images/1213548466737049602/5F24pMG4_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Sat Jan 25 13:58:23 +0000 2020,1.221069809527468e+18,1221069809527468037,"@MichelleRempel I'm a teacher in Alberta, where @AdrianaLaGrange is slashing funds for things like second language education. When I decided to be a teacher I went back to @UCalgary at night and took French classes to prepare. Someone in politics long enough to pursue leadership can do the same.",False,"[16, 296]",[],[],"[{'screen_name': 'MichelleRempel', 'name': 'Michelle Rempel Garner', 'id': 14538949, 'id_str': '14538949', 'indices': [0, 15]}, {'screen_name': 'AdrianaLaGrange', 'name': 'Adriana LaGrange', 'id': 508132071, 'id_str': '508132071', 'indices': [48, 64]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [172, 181]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208407262227702e+18,1220840726222770179,14538949.0,14538949,MichelleRempel,192414447.0,192414447,Carly Lutzmann,MsLutzmann,"Calgary, Alberta, Canada","Language Arts, Social Studies and ELL teacher in a 21st-century classroom. BA, BEd, MA.",,,[],False,354.0,432.0,12.0,Sun Sep 19 02:29:25 +0000 2010,3180.0,,,True,False,650.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/667131344636346368/kG7NRnDX_normal.jpg,https://pbs.twimg.com/profile_images/667131344636346368/kG7NRnDX_normal.jpg,https://pbs.twimg.com/profile_banners/192414447/1399584084,000000,000000,F5C9D8,91467E,True,False,False,False,False,False,False,none,,,,,False,1.0,7.0,False,False,en,,,,,,,,,,,,,,,,,,,,,
26,Fri Jan 24 17:06:25 +0000 2020,1220754741820420096,1220754741820420096,@SchulteFiona @UofCr4kids @CIHR_IRSC @UCalgary Congratulations!,False,"[47, 63]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220463734457602e+18,1220463734457602048,491617974.0,491617974,SchulteFiona,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SchulteFiona', 'name': 'Fiona Schulte, PhD', 'id': 491617974, 'id_str': '491617974', 'indices': [0, 13]}, {'screen_name': 'UofCr4kids', 'name': 'ACHRI', 'id': 987836174, 'id_str': '987836174', 'indices': [14, 25]}, {'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [26, 36]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [37, 46]}]",[],en,recent,789548483749347329,789548483749347329,Christina West,DrChristinaWest,"University of Manitoba, Canada","Assistant Professor, CHRIM, Family Systems-Expressive Arts Research Scientist, Research MB New Investigator Tweets my own 🐨 🦘 🇦🇺",https://t.co/1fNGwfbWZ9,[],False,1461,3932,22,Fri Oct 21 19:26:42 +0000 2016,3391,,,False,False,10010,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/789944700752965632/08_n1RlS_normal.jpg,https://pbs.twimg.com/profile_images/789944700752965632/08_n1RlS_normal.jpg,https://pbs.twimg.com/profile_banners/789548483749347329/1578695205,1B95E0,000000,000000,000000,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/1fNGwfbWZ9', 'expanded_url': 'https://orcid.org/0000-0001-8265-5737', 'display_url': 'orcid.org/0000-0001-8265…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,
27,Fri Jan 24 15:27:44 +0000 2020,1220729907489079297,1220729907489079297,@IMPACTT_Canada @ThaissLab @UCalgary So enjoyed your fantastic talk - and freaked out the rest of the week as I burned the midnight oil - disrupting my microbiome for love of the microbiome? 😬,False,"[37, 192]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204604440428462e+18,1220460444042846209,1.1417524387407749e+18,1141752438740774912,IMPACTT_Canada,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'IMPACTT_Canada', 'name': 'IMPACTT', 'id': 1141752438740774912, 'id_str': '1141752438740774912', 'indices': [0, 15]}, {'screen_name': 'ThaissLab', 'name': 'ThaissLab', 'id': 909746202060738561, 'id_str': '909746202060738561', 'indices': [16, 26]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [27, 36]}]",[],en,recent,554597648,554597648,Laura Sycuro,sycurol,"Calgary, Alberta","UCalgary Prof. dedicated to harnessing the microbiome for the health of women and their neonates. ASD mom and advocate. Living to wander, question, and love.",,[],False,268,259,6,Sun Apr 15 19:53:42 +0000 2012,808,,,True,False,502,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/934263043009101824/xU2kzxk3_normal.jpg,https://pbs.twimg.com/profile_images/934263043009101824/xU2kzxk3_normal.jpg,https://pbs.twimg.com/profile_banners/554597648/1511579999,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fri Jan 24 15:26:44 +0000 2020,1220729656686645248,1220729656686645248,@YEGlifer @UCalgary @SchulichENGG The UCP are only part of the problem. What this tells me is that the University of Calgary doesn’t understand why their students are successful. #abpse,False,"[34, 185]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2206019474948751e+18,1220601947494875137,548399832.0,548399832,YEGlifer,,,,,False,0,2,False,False,en,"[{'text': 'abpse', 'indices': [179, 185]}]",[],"[{'screen_name': 'YEGlifer', 'name': 'YEGlifer', 'id': 548399832, 'id_str': '548399832', 'indices': [0, 9]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [10, 19]}, {'screen_name': 'SchulichENGG', 'name': 'Schulich Engineering', 'id': 26613017, 'id_str': '26613017', 'indices': [20, 33]}]",[],en,recent,706511841346752512,706511841346752512,Shane Bostock,shanebostock,Canada,Computer Engineer. Schulich Engineering Alum.,,[],False,278,541,6,Sun Mar 06 16:08:44 +0000 2016,2855,,,False,False,1444,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/794552584937668608/Zk9-IDmI_normal.jpg,https://pbs.twimg.com/profile_images/794552584937668608/Zk9-IDmI_normal.jpg,https://pbs.twimg.com/profile_banners/706511841346752512/1559572491,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fri Jan 24 15:24:34 +0000 2020,1220729110533722113,1220729110533722113,@UCalgary disappointed that the link for the online application for a masters in biomedical engineering doesn’t work- who do I contact?,False,"[0, 135]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,16809022.0,16809022,UCalgary,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [0, 9]}]",[],en,recent,2818230258,2818230258,Anastasia,musicanonymaus,Settler on Treaty 16 land ,"21. Western Integrated Sciences and Physics '20. Resilient and a little mean, but with a heart of gold. All opinions are my own.",,[],False,95,183,0,Thu Sep 18 23:11:37 +0000 2014,3316,,,False,False,3742,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1208430346179665922/MlH8IV-n_normal.jpg,https://pbs.twimg.com/profile_images/1208430346179665922/MlH8IV-n_normal.jpg,https://pbs.twimg.com/profile_banners/2818230258/1516842993,9266CC,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fri Jan 24 15:00:36 +0000 2020,1220723077144875009,1220723077144875009,"RT @trevortombe: @UCalgary And thanks to all feedback we received from those who took the class this Fall, it will be even better the secon…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'trevortombe', 'name': 'Trevor Tombe', 'id': 23670746, 'id_str': '23670746', 'indices': [3, 15]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [17, 26]}]",[],en,recent,2228911879,2228911879,Rob Meekel,RobMeekel,Calgary,"#ClimateRealist, conscientious denier, temet nosce
#UNExit #BernierNation #HardHatSewerRatConservative #FoodSnob #ItsaSubieThing #GoodThingsStartWithBacon",,[],False,1820,5002,189,Tue Dec 03 21:59:37 +0000 2013,37560,,,True,False,135544,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/841503666565611520/koIYNiaJ_normal.jpg,https://pbs.twimg.com/profile_images/841503666565611520/koIYNiaJ_normal.jpg,https://pbs.twimg.com/profile_banners/2228911879/1495426761,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,Wed Oct 09 20:39:13 +0000 2019,1.1820327925713756e+18,1182032792571375616,"@UCalgary And thanks to all feedback we received from those who took the class this Fall, it will be even better the second time around!",False,"[10, 136]",[],[],"[{'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [0, 9]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.182032260922372e+18,1182032260922372096,23670746.0,23670746,trevortombe,23670746.0,23670746,Trevor Tombe,trevortombe,"Calgary, Alberta",Associate Professor @EconCalgary | Research Fellow @policy_school | Alumni @econuoft and @SFUBeedie | My days: 💻 📊 📝 🍻,https://t.co/QhYYXdSe5S,"[{'url': 'https://t.co/QhYYXdSe5S', 'expanded_url': 'https://www.trevortombe.com', 'display_url': 'trevortombe.com', 'indices': [0, 23]}]",[],False,17723.0,4934.0,298.0,Tue Mar 10 22:25:25 +0000 2009,52520.0,,,False,False,58905.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1151548756216569856/pahppqY2_normal.jpg,https://pbs.twimg.com/profile_images/1151548756216569856/pahppqY2_normal.jpg,https://pbs.twimg.com/profile_banners/23670746/1479856911,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,2.0,9.0,False,False,en,,,,,,,,,,,,,,,,,,,,,
32,Fri Jan 24 13:42:23 +0000 2020,1220703393225805829,1220703393225805829,"@R_Sigurdson @UCalgaryArts @UCalgary @UofCr4kids @CIHR_IRSC Thanks Richard, for your support of child pain psychology research and me.   I’m thrilled to have this funding to expand and innovate our research program within Vi Riddell, @UofCr4kids and @UCalgaryArts",False,"[60, 263]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205828348274893e+18,1220582834827489287,948016303.0,948016303,R_Sigurdson,,,,,False,0,5,False,False,en,[],[],"[{'screen_name': 'R_Sigurdson', 'name': 'Richard Sigurdson', 'id': 948016303, 'id_str': '948016303', 'indices': [0, 12]}, {'screen_name': 'UCalgaryArts', 'name': 'Faculty of Arts', 'id': 126379864, 'id_str': '126379864', 'indices': [13, 26]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [27, 36]}, {'screen_name': 'UofCr4kids', 'name': 'ACHRI', 'id': 987836174, 'id_str': '987836174', 'indices': [37, 48]}, {'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [49, 59]}, {'screen_name': 'UofCr4kids', 'name': 'ACHRI', 'id': 987836174, 'id_str': '987836174', 'indices': [234, 245]}, {'screen_name': 'UCalgaryArts', 'name': 'Faculty of Arts', 'id': 126379864, 'id_str': '126379864', 'indices': [250, 263]}]",[],en,recent,2911567273,2911567273,Dr. Melanie Noel,MelanieNoel,"Calgary, Alberta",Pediatric Pain Scientist. Pediatric Psychologist. Associate Professor of Clinical Psychology at the University of Calgary.,https://t.co/kBzsl7JE7H,[],False,3177,2189,48,Thu Nov 27 05:12:44 +0000 2014,8298,,,True,False,3101,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/985935318636421120/R5iX_6bk_normal.jpg,https://pbs.twimg.com/profile_images/985935318636421120/R5iX_6bk_normal.jpg,https://pbs.twimg.com/profile_banners/2911567273/1548718738,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/kBzsl7JE7H', 'expanded_url': 'http://www.abcpainresearch.com/', 'display_url': 'abcpainresearch.com', 'indices': [0, 23]}]",38d5974e82ed1a6c,https://api.twitter.com/1.1/geo/id/38d5974e82ed1a6c.json,city,Ottawa,"Ottawa, Ontario",CA,Canada,[],Polygon,"[[[-76.353876, 44.961937], [-75.246407, 44.961937], [-75.246407, 45.5356446], [-76.353876, 45.5356446]]]",,,,,,,,,,
33,Fri Jan 24 07:37:13 +0000 2020,1220611496968736768,1220611496968736768,@SchulteFiona @UofCr4kids @CIHR_IRSC @UCalgary Congrats @SchulteFiona and @painandpoppies! As multidisciplinary as it gets!,False,"[47, 123]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220463734457602e+18,1220463734457602048,491617974.0,491617974,SchulteFiona,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SchulteFiona', 'name': 'Fiona Schulte, PhD', 'id': 491617974, 'id_str': '491617974', 'indices': [0, 13]}, {'screen_name': 'UofCr4kids', 'name': 'ACHRI', 'id': 987836174, 'id_str': '987836174', 'indices': [14, 25]}, {'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [26, 36]}, {'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [37, 46]}, {'screen_name': 'SchulteFiona', 'name': 'Fiona Schulte, PhD', 'id': 491617974, 'id_str': '491617974', 'indices': [56, 69]}, {'screen_name': 'painandpoppies', 'name': 'Tuan Trang', 'id': 869786892795039744, 'id_str': '869786892795039744', 'indices': [74, 89]}]",[],en,recent,877455546,877455546,Sarthak Sinha,sarthak_s,"Calgary, Alberta","MD-PhD Candidate | Vanier & Killam Scholar @leadersinmed. @TEDx, @TED_Ed on wounds, scar, hair regeneration. Proud @UTSC '18 alum. Opinions mine, RT≠endorse.",,[],False,2868,4994,9,Sat Oct 13 09:50:09 +0000 2012,7907,,,True,False,1023,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/996309956092616704/LgEJO4Zk_normal.jpg,https://pbs.twimg.com/profile_images/996309956092616704/LgEJO4Zk_normal.jpg,https://pbs.twimg.com/profile_banners/877455546/1561854414,DD2E44,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fri Jan 24 06:52:20 +0000 2020,1220600201779408896,1220600201779408896,"I’ve seen you bragging in the media recently about the new provincial “performance based funding” model and how it will be no problem for @UCalgary. Keep laying off staff, and see student successes start to disappear. #uofc",False,"[0, 223]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205997624135066e+18,1220599762413506560,7.065118413467525e+17,706511841346752512,shanebostock,,,,,False,0,2,False,False,en,"[{'text': 'uofc', 'indices': [218, 223]}]",[],"[{'screen_name': 'UCalgary', 'name': 'U Calgary', 'id': 16809022, 'id_str': '16809022', 'indices': [138, 147]}]",[],en,recent,706511841346752512,706511841346752512,Shane Bostock,shanebostock,Canada,Computer Engineer. Schulich Engineering Alum.,,[],False,278,541,6,Sun Mar 06 16:08:44 +0000 2016,2855,,,False,False,1444,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/794552584937668608/Zk9-IDmI_normal.jpg,https://pbs.twimg.com/profile_images/794552584937668608/Zk9-IDmI_normal.jpg,https://pbs.twimg.com/profile_banners/706511841346752512/1559572491,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
