,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
9,Sun Jan 26 03:13:59 +0000 2020,1221270029200584714,1221270029200584714,"@MCalderonDeLaBS @sotufilm @ucdavis Awesome! If you are going to talk with them afterward, they will be in for a treat!",False,"[36, 119]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221243540455379e+18,1221243540455378944,1.0624178278214861e+18,1062417827821486086,MCalderonDeLaBS,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'MCalderonDeLaBS', 'name': 'Manuel Calderón de la Barca Sánchez', 'id': 1062417827821486086, 'id_str': '1062417827821486086', 'indices': [0, 16]}, {'screen_name': 'sotufilm', 'name': 'SecretsOfTheUniverse', 'id': 1901552401, 'id_str': '1901552401', 'indices': [17, 26]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [27, 35]}]",[],en,recent,26703751,26703751,"Renetta Garrison Tull, Ph.D.",Renetta_Tull,"Davis, CA","Vice Chancellor for DEI @UCDavis -- loving California! Frmr AVP & Professor of Prac. - Engineering/IT @UMBC, w/detail @Univ_System_MD. Motto: #ThinkBigDiversity",https://t.co/kqixDVgN8j,[],False,4299,2325,131,Thu Mar 26 06:48:04 +0000 2009,11112,,,True,False,7309,,False,False,False,68B5E3,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1148426112281665536/AhDvR79H_normal.png,https://pbs.twimg.com/profile_images/1148426112281665536/AhDvR79H_normal.png,6E00B4,BDDCAD,FFF0CC,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/kqixDVgN8j', 'expanded_url': 'http://www.renettatull.com/', 'display_url': 'renettatull.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/26703751/1504972020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sun Jan 26 02:43:34 +0000 2020,1221262372091789318,1221262372091789318,@RogersLabUCD @ucdavis @Renetta_Tull @DrDevinLHorton @UCD_Diversity Thank you for joining us!!!! It was such a great event!,False,"[68, 123]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209425234151383e+18,1220942523415138304,9.565729837068452e+17,956572983706845184,RogersLabUCD,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'RogersLabUCD', 'name': '𝘿𝙧. 𝘾𝙧𝙮𝙨𝙩𝙖𝙡 𝙍𝙤𝙜𝙚𝙧𝙨 ≽(◕ ᴗ ◕)≼ 🐥🐸', 'id': 956572983706845184, 'id_str': '956572983706845184', 'indices': [0, 13]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [14, 22]}, {'screen_name': 'Renetta_Tull', 'name': 'Renetta Garrison Tull, Ph.D.', 'id': 26703751, 'id_str': '26703751', 'indices': [23, 36]}, {'screen_name': 'DrDevinLHorton', 'name': 'Dr. Devin L. Horton', 'id': 1035176060189462528, 'id_str': '1035176060189462528', 'indices': [37, 52]}, {'screen_name': 'UCD_Diversity', 'name': 'UC Davis Office of Diversity, Equity & Inclusion', 'id': 927594069487902720, 'id_str': '927594069487902720', 'indices': [53, 67]}]",[],en,recent,596806360,596806360,Alexus Roberts,Alexuss_Symone,"Davis, CA","PhD student @UCDavis studying macroevolution and constraint w/in the morphological systems of 🐠 • Passionate about inclusion, equity, and diversity in STEM ✊🏾",https://t.co/0SLCgvbEvs,[],False,407,387,6,Fri Jun 01 21:07:28 +0000 2012,2037,,,False,False,1194,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1017485078530646016/W8F4vCb2_normal.jpg,https://pbs.twimg.com/profile_images/1017485078530646016/W8F4vCb2_normal.jpg,0099B9,5ED4DC,95E8EC,3C3940,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/0SLCgvbEvs', 'expanded_url': 'https://estemestemsquad.weebly.com', 'display_url': 'estemestemsquad.weebly.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/596806360/1410801054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sun Jan 26 02:28:15 +0000 2020,1221258520202375168,1221258520202375168,@CoachHawkinsUCD @ucdavis @UCDfootball Amazing! Is construction finished already?,False,"[39, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211387434043228e+18,1221138743404322816,8.106332115836887e+17,810633211583688704,CoachHawkinsUCD,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'CoachHawkinsUCD', 'name': 'Dan Hawkins', 'id': 810633211583688704, 'id_str': '810633211583688704', 'indices': [0, 16]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [17, 25]}, {'screen_name': 'UCDfootball', 'name': 'UC Davis Football', 'id': 2580542875, 'id_str': '2580542875', 'indices': [26, 38]}]",[],en,recent,768267722,768267722,"Jules Damey, CSCS",julesofenergy,UC Davis,Lift things🏋🏽‍♂️ drink coffee ☕️ be nice to people. Grad student at SJSU 🤓 Podcast: Eclectic Athlete Radio 🎙,https://t.co/7tjV7lY01t,[],False,188,438,1,Sun Aug 19 21:24:25 +0000 2012,7828,,,True,False,6620,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1105735341942530049/7oeq2THN_normal.jpg,https://pbs.twimg.com/profile_images/1105735341942530049/7oeq2THN_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/7tjV7lY01t', 'expanded_url': 'http://instagram.com/julesofenergy', 'display_url': 'instagram.com/julesofenergy', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/768267722/1519017627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sun Jan 26 02:16:06 +0000 2020,1221255459392196609,1221255459392196609,@WarmMonkey @ucdavis Thanks! It’s both a passion and endeavor to do better.,False,"[21, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212523306133996e+18,1221252330613399553,21067732.0,21067732,WarmMonkey,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'WarmMonkey', 'name': '🏳️\u200d🌈 Chris 🏳️\u200d🌈', 'id': 21067732, 'id_str': '21067732', 'indices': [0, 11]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [12, 20]}]",[],en,recent,2321475618,2321475618,Paul David Terry,PaulDavidTerry,"Davis, CA",Ginger beer brewing ginger | doctoral student | loose tea lovuh | #HigherEd | offspring of Rimsky and Korsakov | @ucdavis | mini origami crafter | 🏳️‍🌈 tio,https://t.co/6SdyzA6XTC,[],False,720,1983,15,Fri Jan 31 23:20:34 +0000 2014,4283,,,True,False,2269,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1130624933644476416/rEpG44RJ_normal.png,https://pbs.twimg.com/profile_images/1130624933644476416/rEpG44RJ_normal.png,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/6SdyzA6XTC', 'expanded_url': 'http://www.pauldavidterry.com', 'display_url': 'pauldavidterry.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/2321475618/1574375336,1994142e26ba7127,https://api.twitter.com/1.1/geo/id/1994142e26ba7127.json,city,Davis,"Davis, CA",US,United States,[],Polygon,"[[[-121.803252, 38.526843], [-121.675074, 38.526843], [-121.675074, 38.590264], [-121.803252, 38.590264]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sun Jan 26 01:57:33 +0000 2020,1221250791253499904,1221250791253499904,RT @aijunw: @LungMetabolism @ucdavis @CellAutophagy @AFMResearch Thank you Dr. Amir Zeki!,False,"[0, 89]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'aijunw', 'name': 'AijunWang,PhD', 'id': 2706092960, 'id_str': '2706092960', 'indices': [3, 10]}, {'screen_name': 'LungMetabolism', 'name': 'Amir A Zeki, MD, MAS', 'id': 483332134, 'id_str': '483332134', 'indices': [12, 27]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [28, 36]}, {'screen_name': 'CellAutophagy', 'name': 'Saeid Ghavami', 'id': 494279306, 'id_str': '494279306', 'indices': [37, 51]}, {'screen_name': 'AFMResearch', 'name': 'AFMR', 'id': 2170766442, 'id_str': '2170766442', 'indices': [52, 64]}]",[],en,recent,483332134,483332134,"Amir A Zeki, MD, MAS",LungMetabolism,,"Physician-Scientist at University of California, Davis. Principal Investigator, ZEKI LAB. Co-Director, U.C. Davis Asthma Network (UCAN) Clinic, and ROAD Center.",https://t.co/xTL2IQVDR1,[],False,137,308,9,Sat Feb 04 22:09:39 +0000 2012,467,,,False,False,368,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/744792516403179525/zXRAkaMN_normal.jpg,https://pbs.twimg.com/profile_images/744792516403179525/zXRAkaMN_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/xTL2IQVDR1', 'expanded_url': 'https://www.linkedin.com/in/amir-a-zeki-md-mas-19623a32', 'display_url': 'linkedin.com/in/amir-a-zeki…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/483332134/1524308385,,,,,,,,,,,Sun Jan 26 00:41:57 +0000 2020,1.2212317669894595e+18,1221231766989459456,@LungMetabolism @ucdavis @CellAutophagy @AFMResearch Thank you Dr. Amir Zeki!,False,"[53, 77]",[],[],"[{'screen_name': 'LungMetabolism', 'name': 'Amir A Zeki, MD, MAS', 'id': 483332134, 'id_str': '483332134', 'indices': [0, 15]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [16, 24]}, {'screen_name': 'CellAutophagy', 'name': 'Saeid Ghavami', 'id': 494279306, 'id_str': '494279306', 'indices': [25, 39]}, {'screen_name': 'AFMResearch', 'name': 'AFMR', 'id': 2170766442, 'id_str': '2170766442', 'indices': [40, 52]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211661506811863e+18,1221166150681186304,483332134.0,483332134,LungMetabolism,2706092960.0,2706092960,"AijunWang,PhD",aijunw,USA,"Chancellor’s fellow, Biomedical engineer, Co-Director of the Surgical Bioengineering Laboratory, SOM Dean’s Fellow, University of California, Davis",,[],False,229.0,341.0,3.0,Mon Aug 04 08:59:56 +0000 2014,117.0,,,True,False,44.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/990858248554135552/VzzNMEWo_normal.jpg,https://pbs.twimg.com/profile_images/990858248554135552/VzzNMEWo_normal.jpg,https://pbs.twimg.com/profile_banners/2706092960/1416410330,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,,,,,,,,,,,
19,Sun Jan 26 01:34:11 +0000 2020,1221244914408648704,1221244914408648704,@MCalderonDeLaBS @sotufilm @ucdavis I bet they are going to ❤️ it! It’s an amazing film!,False,"[36, 88]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.221243540455379e+18,1221243540455378944,1.0624178278214861e+18,1062417827821486086,MCalderonDeLaBS,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'MCalderonDeLaBS', 'name': 'Manuel Calderón de la Barca Sánchez', 'id': 1062417827821486086, 'id_str': '1062417827821486086', 'indices': [0, 16]}, {'screen_name': 'sotufilm', 'name': 'SecretsOfTheUniverse', 'id': 1901552401, 'id_str': '1901552401', 'indices': [17, 26]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [27, 35]}]",[],en,recent,956572983706845184,956572983706845184,𝘿𝙧. 𝘾𝙧𝙮𝙨𝙩𝙖𝙡 𝙍𝙤𝙜𝙚𝙧𝙨 ≽(◕ ᴗ ◕)≼ 🐥🐸,RogersLabUCD,"Davis, CA",We are a cell and developmental biology research lab at UC Davis School of Veterinary Medicine run by Dr. Crystal D. Rogers. We love science! #ThinkBigDiversity,https://t.co/8OfPlEgGZ2,[],False,990,1075,1,Thu Jan 25 17:02:26 +0000 2018,24531,,,True,False,1835,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1027910995883085830/KZKndR9i_normal.jpg,https://pbs.twimg.com/profile_images/1027910995883085830/KZKndR9i_normal.jpg,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/8OfPlEgGZ2', 'expanded_url': 'http://www.crystalrogersphd.com/', 'display_url': 'crystalrogersphd.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/956572983706845184/1567459734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sun Jan 26 01:15:26 +0000 2020,1221240192339795968,1221240192339795968,@EmilyMeineke @ucdavis Congrats!!,False,"[23, 33]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.22114618752648e+18,1221146187526479874,285400362.0,285400362,EmilyMeineke,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'EmilyMeineke', 'name': 'Emily Meineke', 'id': 285400362, 'id_str': '285400362', 'indices': [0, 13]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [14, 22]}]",[],en,recent,19563103,19563103,Gwen Pearson,bug_gwen,"Potawatomi land, IN",I'm a bug AND a feature! I do insect education & write about science. Founder of @ento_allies. Tweets personal/do not represent employers etc 🐝 she/her/PhD,https://t.co/UelIiOVCI1,[],False,23108,818,1065,Mon Jan 26 22:36:39 +0000 2009,578,,,False,True,48172,,False,False,True,5FCAE5,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/842443534779207681/BFGaXLCD_normal.jpg,https://pbs.twimg.com/profile_images/842443534779207681/BFGaXLCD_normal.jpg,1B95E0,FFFFFF,FFFFFF,333333,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/UelIiOVCI1', 'expanded_url': 'http://bit.ly/GwenPearson', 'display_url': 'bit.ly/GwenPearson', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/19563103/1497979770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sun Jan 26 00:41:57 +0000 2020,1221231766989459456,1221231766989459456,@LungMetabolism @ucdavis @CellAutophagy @AFMResearch Thank you Dr. Amir Zeki!,False,"[53, 77]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211661506811863e+18,1221166150681186304,483332134.0,483332134,LungMetabolism,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'LungMetabolism', 'name': 'Amir A Zeki, MD, MAS', 'id': 483332134, 'id_str': '483332134', 'indices': [0, 15]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [16, 24]}, {'screen_name': 'CellAutophagy', 'name': 'Saeid Ghavami', 'id': 494279306, 'id_str': '494279306', 'indices': [25, 39]}, {'screen_name': 'AFMResearch', 'name': 'AFMR', 'id': 2170766442, 'id_str': '2170766442', 'indices': [40, 52]}]",[],en,recent,2706092960,2706092960,"AijunWang,PhD",aijunw,USA,"Chancellor’s fellow, Biomedical engineer, Co-Director of the Surgical Bioengineering Laboratory, SOM Dean’s Fellow, University of California, Davis",,[],False,229,341,3,Mon Aug 04 08:59:56 +0000 2014,117,,,True,False,44,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/990858248554135552/VzzNMEWo_normal.jpg,https://pbs.twimg.com/profile_images/990858248554135552/VzzNMEWo_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/2706092960/1416410330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sun Jan 26 00:21:36 +0000 2020,1221226648575430657,1221226648575430657,@katethecurious @UCDavisCAESDean @ucdavis We tasted delicious cheese from local redwood cheeses!,False,"[42, 96]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212257143110246e+18,1221225714311024640,9.366789010314936e+17,936678901031493632,katethecurious,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'katethecurious', 'name': 'Kate Lane', 'id': 936678901031493632, 'id_str': '936678901031493632', 'indices': [0, 15]}, {'screen_name': 'UCDavisCAESDean', 'name': 'Helene Dillard', 'id': 1007353433177772032, 'id_str': '1007353433177772032', 'indices': [16, 32]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [33, 41]}]",[],en,recent,531349746,531349746,Gail Taylor lab,taylorlabsoton,"Davis, CA","Chair of the Department of Plant Sciences, University of California, Davis #1 globally for Plant Sciences @ucdavisPlants 20 y at Uni of Southampton, UK 🇬🇧🇺🇸",https://t.co/3Rv6fvUO0p,[],False,1056,1047,35,Tue Mar 20 13:57:29 +0000 2012,1560,,,True,False,1999,,False,False,False,46D689,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1139677348393996288/YoNdeCRi_normal.png,https://pbs.twimg.com/profile_images/1139677348393996288/YoNdeCRi_normal.png,577876,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/3Rv6fvUO0p', 'expanded_url': 'http://taylorlab.faculty.ucdavis.edu', 'display_url': 'taylorlab.faculty.ucdavis.edu', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/531349746/1494934948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sun Jan 26 00:17:54 +0000 2020,1221225714311024640,1221225714311024640,"@taylorlabsoton @UCDavisCAESDean @ucdavis Yes, where on campus?!",False,"[42, 64]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.221221380588368e+18,1221221380588367873,531349746.0,531349746,taylorlabsoton,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'taylorlabsoton', 'name': 'Gail Taylor lab', 'id': 531349746, 'id_str': '531349746', 'indices': [0, 15]}, {'screen_name': 'UCDavisCAESDean', 'name': 'Helene Dillard', 'id': 1007353433177772032, 'id_str': '1007353433177772032', 'indices': [16, 32]}, {'screen_name': 'ucdavis', 'name': 'UC Davis', 'id': 15987188, 'id_str': '15987188', 'indices': [33, 41]}]",[],en,recent,936678901031493632,936678901031493632,Kate Lane,katethecurious,"Davis, CA","Population Biology grad student @phylogenomics @UCDavis ~
microbial ecology and evolution, metagenomics, bioinformatics",,[],False,148,343,3,Fri Dec 01 19:30:27 +0000 2017,455,,,False,False,118,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1188649972398317568/-m2V79LX_normal.jpg,https://pbs.twimg.com/profile_images/1188649972398317568/-m2V79LX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/936678901031493632/1555362860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
