,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
3,Sat Jan 25 18:13:47 +0000 2020,1221134080558764032,1221134080558764032,@ghiliweld @UCBerkeley @ucsc sounds good 🤙🏽,False,"[29, 43]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2210642991682683e+18,1221064299168268289,3776163087.0,3776163087,ghiliweld,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ghiliweld', 'name': 'ghili 🇪🇷', 'id': 3776163087, 'id_str': '3776163087', 'indices': [0, 10]}, {'screen_name': 'UCBerkeley', 'name': 'UC Berkeley', 'id': 176932593, 'id_str': '176932593', 'indices': [11, 22]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [23, 28]}]",[],en,recent,713390547591802880,713390547591802880,cisco,vaowel,"Santa Cruz, CA",computational mathematics undergrad & renaissance scholar @ucsc,https://t.co/Z9AQIwJcy2,"[{'url': 'https://t.co/Z9AQIwJcy2', 'expanded_url': 'https://www.forumromanum.org/literature/seneca_younger/brev_e.html', 'display_url': 'forumromanum.org/literature/sen…', 'indices': [0, 23]}]",[],False,386,291,2,Fri Mar 25 15:42:15 +0000 2016,5091,,,True,False,4596,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220435069233291265/m68UJvyS_normal.jpg,https://pbs.twimg.com/profile_images/1220435069233291265/m68UJvyS_normal.jpg,0041C2,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/713390547591802880/1579342193,3c9e627dd6b55d9e,https://api.twitter.com/1.1/geo/id/3c9e627dd6b55d9e.json,city,Santa Cruz,"Santa Cruz, CA",US,United States,[],Polygon,"[[[-122.076144, 36.948098], [-121.986229, 36.948098], [-121.986229, 37.010652], [-122.076144, 37.010652]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 06:58:32 +0000 2020,1220964148873285632,1220964148873285632,@ghiliweld @UCBerkeley @ucsc Thank you brother ! When are you visiting cali again?,False,"[29, 82]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209605569722327e+18,1220960556972232704,3776163087.0,3776163087,ghiliweld,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ghiliweld', 'name': 'ghili 🇪🇷', 'id': 3776163087, 'id_str': '3776163087', 'indices': [0, 10]}, {'screen_name': 'UCBerkeley', 'name': 'UC Berkeley', 'id': 176932593, 'id_str': '176932593', 'indices': [11, 22]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [23, 28]}]",[],en,recent,713390547591802880,713390547591802880,cisco,vaowel,"Santa Cruz, CA",computational mathematics undergrad & renaissance scholar @ucsc,https://t.co/Z9AQIwJcy2,"[{'url': 'https://t.co/Z9AQIwJcy2', 'expanded_url': 'https://www.forumromanum.org/literature/seneca_younger/brev_e.html', 'display_url': 'forumromanum.org/literature/sen…', 'indices': [0, 23]}]",[],False,386,291,2,Fri Mar 25 15:42:15 +0000 2016,5091,,,True,False,4596,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220435069233291265/m68UJvyS_normal.jpg,https://pbs.twimg.com/profile_images/1220435069233291265/m68UJvyS_normal.jpg,0041C2,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/713390547591802880/1579342193,3c9e627dd6b55d9e,https://api.twitter.com/1.1/geo/id/3c9e627dd6b55d9e.json,city,Santa Cruz,"Santa Cruz, CA",US,United States,[],Polygon,"[[[-122.076144, 36.948098], [-121.986229, 36.948098], [-121.986229, 37.010652], [-122.076144, 37.010652]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 06:41:48 +0000 2020,1220959940149334017,1220959940149334017,"@ghiliweld @UCBerkeley @ucsc Thank you !!! it’s awesome because we will be building the foundation to petition our Governor to charter funds, (Literally Millions) of State funds for this program, it’s meant to help students formerly impacted by the Criminal justice system !",False,"[29, 274]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209593145270395e+18,1220959314527039489,3776163087.0,3776163087,ghiliweld,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'ghiliweld', 'name': 'ghili 🇪🇷', 'id': 3776163087, 'id_str': '3776163087', 'indices': [0, 10]}, {'screen_name': 'UCBerkeley', 'name': 'UC Berkeley', 'id': 176932593, 'id_str': '176932593', 'indices': [11, 22]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [23, 28]}]",[],en,recent,713390547591802880,713390547591802880,cisco,vaowel,"Santa Cruz, CA",computational mathematics undergrad & renaissance scholar @ucsc,https://t.co/Z9AQIwJcy2,"[{'url': 'https://t.co/Z9AQIwJcy2', 'expanded_url': 'https://www.forumromanum.org/literature/seneca_younger/brev_e.html', 'display_url': 'forumromanum.org/literature/sen…', 'indices': [0, 23]}]",[],False,386,291,2,Fri Mar 25 15:42:15 +0000 2016,5091,,,True,False,4596,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220435069233291265/m68UJvyS_normal.jpg,https://pbs.twimg.com/profile_images/1220435069233291265/m68UJvyS_normal.jpg,0041C2,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/713390547591802880/1579342193,3c9e627dd6b55d9e,https://api.twitter.com/1.1/geo/id/3c9e627dd6b55d9e.json,city,Santa Cruz,"Santa Cruz, CA",US,United States,[],Polygon,"[[[-122.076144, 36.948098], [-121.986229, 36.948098], [-121.986229, 37.010652], [-122.076144, 37.010652]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sat Jan 25 05:09:00 +0000 2020,1220936583609602049,1220936583609602049,@profcgarza @MBARI_News @ucsc @CSUMB_MSCI Hope you had fun here in Santa Cruz! (:,False,"[42, 81]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208999745541243e+18,1220899974554124289,221812686.0,221812686,profcgarza,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'profcgarza', 'name': 'Corey Garza', 'id': 221812686, 'id_str': '221812686', 'indices': [0, 11]}, {'screen_name': 'MBARI_News', 'name': 'MBARI', 'id': 249724351, 'id_str': '249724351', 'indices': [12, 23]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [24, 29]}, {'screen_name': 'CSUMB_MSCI', 'name': 'CSUMB, Department of Marine Science', 'id': 1177678372056420354, 'id_str': '1177678372056420354', 'indices': [30, 41]}]",[],en,recent,1081652308503494656,1081652308503494656,Flor Vanessa Maciel,florvmaciel,,"I'm an aspiring graduate student who is interested in research about the climate, clouds and aerosols! Ambassador for @Geolatinas.",https://t.co/ohppa36OC4,"[{'url': 'https://t.co/ohppa36OC4', 'expanded_url': 'https://www.linkedin.com/in/fvmaciel/', 'display_url': 'linkedin.com/in/fvmaciel/', 'indices': [0, 23]}]",[],False,107,122,0,Sat Jan 05 20:43:01 +0000 2019,1293,,,False,False,258,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1081652963473420288/J7CdNFSW_normal.jpg,https://pbs.twimg.com/profile_images/1081652963473420288/J7CdNFSW_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1081652308503494656/1546722963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 03:08:58 +0000 2020,1220543991571210240,1220543991571210240,"“No one is coming to save us. We must come together to save ourselves.” 
- @KeeangaYamahtta on the futures of #BlackLivesMatter at the #BeyondtheEndoftheWorld keynote at @ucsc.",False,"[0, 176]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,24,False,False,en,"[{'text': 'BlackLivesMatter', 'indices': [110, 127]}, {'text': 'BeyondtheEndoftheWorld', 'indices': [135, 158]}]",[],"[{'screen_name': 'KeeangaYamahtta', 'name': 'Keeanga-Yamahtta T.', 'id': 148192924, 'id_str': '148192924', 'indices': [75, 91]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [170, 175]}]",[],en,recent,1504618033,1504618033,Savannah Shange,savannahshange,Zamunda,Black queer feminist | Anthro faculty at @UCSC | Proud alumni of @BYP100 | Bout that life.  Author of Progressive Dystopia: https://t.co/Jnio6VWs7I,https://t.co/NL1ZkWS02E,"[{'url': 'https://t.co/NL1ZkWS02E', 'expanded_url': 'http://savannahshange.com', 'display_url': 'savannahshange.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/Jnio6VWs7I', 'expanded_url': 'https://tinyurl.com/friscobook', 'display_url': 'tinyurl.com/friscobook', 'indices': [124, 147]}]",False,1309,415,15,Tue Jun 11 16:16:14 +0000 2013,3056,,,False,False,473,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/765953116957085696/rG5sD_c6_normal.jpg,https://pbs.twimg.com/profile_images/765953116957085696/rG5sD_c6_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1504618033/1551914097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fri Jan 24 02:51:57 +0000 2020,1220539705864916997,1220539705864916997,"@KeeangaYamahtta bringing fire at @ucsc talmbout “Black politicians fatten themselves at the trough of Black votes” while doing nothing to transform the conditions of Black life. Her sermon-cum-keynote is met with polite, progressive silence; mine are the only snaps.",False,"[0, 267]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,148192924.0,148192924,KeeangaYamahtta,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'KeeangaYamahtta', 'name': 'Keeanga-Yamahtta T.', 'id': 148192924, 'id_str': '148192924', 'indices': [0, 16]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [34, 39]}]",[],en,recent,1504618033,1504618033,Savannah Shange,savannahshange,Zamunda,Black queer feminist | Anthro faculty at @UCSC | Proud alumni of @BYP100 | Bout that life.  Author of Progressive Dystopia: https://t.co/Jnio6VWs7I,https://t.co/NL1ZkWS02E,"[{'url': 'https://t.co/NL1ZkWS02E', 'expanded_url': 'http://savannahshange.com', 'display_url': 'savannahshange.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/Jnio6VWs7I', 'expanded_url': 'https://tinyurl.com/friscobook', 'display_url': 'tinyurl.com/friscobook', 'indices': [124, 147]}]",False,1309,415,15,Tue Jun 11 16:16:14 +0000 2013,3056,,,False,False,473,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/765953116957085696/rG5sD_c6_normal.jpg,https://pbs.twimg.com/profile_images/765953116957085696/rG5sD_c6_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1504618033/1551914097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thu Jan 23 18:29:33 +0000 2020,1220413272928804865,1220413272928804865,@mguthaus @UCSC_BSOE @ucsc I see one or two crossing Hagar pretty frequently ~8am,False,"[27, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220384110893359e+18,1220384110893359104,270063373.0,270063373,mguthaus,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'mguthaus', 'name': 'Matt Guthaus', 'id': 270063373, 'id_str': '270063373', 'indices': [0, 9]}, {'screen_name': 'UCSC_BSOE', 'name': 'Baskin Engineering', 'id': 75318278, 'id_str': '75318278', 'indices': [10, 20]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [21, 26]}]",[],en,recent,10347152,10347152,christy caldwell,christycaldwell," Univ of Calif, Santa Cruz","Librarian seeks science education, data literacy, preservation solutions. All ideas welcome. she/her",https://t.co/EWBKW0shax,"[{'url': 'https://t.co/EWBKW0shax', 'expanded_url': 'http://library.ucsc.edu', 'display_url': 'library.ucsc.edu', 'indices': [0, 23]}]",[],False,206,470,13,Sun Nov 18 03:56:09 +0000 2007,2354,,,False,False,1171,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/436197057238274049/i_bTCodD_normal.jpeg,https://pbs.twimg.com/profile_images/436197057238274049/i_bTCodD_normal.jpeg,008799,DFDFDF,F3F3F3,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/10347152/1401400546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thu Jan 23 16:48:59 +0000 2020,1220387965056114689,1220387965056114689,"@unsaturated @UCSC_BSOE @ucsc I've seen them way back at the remote parking before, but he looked like he was on a mission.",False,"[30, 123]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203873992025661e+18,1220387399202566144,9462162.0,9462162,unsaturated,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'unsaturated', 'name': 'Mark', 'id': 9462162, 'id_str': '9462162', 'indices': [0, 12]}, {'screen_name': 'UCSC_BSOE', 'name': 'Baskin Engineering', 'id': 75318278, 'id_str': '75318278', 'indices': [13, 23]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [24, 29]}]",[],en,recent,270063373,270063373,Matt Guthaus,mguthaus,"Bay Area, CA","Assoc. Dean of Grad. Studies & Prof. of CSE at @UCSC_BSOE. EDA, CAD, circuits, and ASIC/FPGA design. Creator of @UCSC_OpenRAM. Ultrarunner, KK6PEJ, he/him",https://t.co/n20ZFOjPqO,"[{'url': 'https://t.co/n20ZFOjPqO', 'expanded_url': 'https://www.soe.ucsc.edu/people/mrg', 'display_url': 'soe.ucsc.edu/people/mrg', 'indices': [0, 23]}]",[],False,578,419,15,Mon Mar 21 22:55:37 +0000 2011,2764,,,True,False,1937,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1171666232854089730/H-oqqPMr_normal.jpg,https://pbs.twimg.com/profile_images/1171666232854089730/H-oqqPMr_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/270063373/1550117507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wed Jan 22 06:35:59 +0000 2020,1219871310655868936,1219871310655868936,"@EuanRitchie1 @ucsc Humboldt State also has a redwood grove and Arcadia is an A+ town. But that and UCSC both pale in comparison to Creswick Campus, which is clearly the best and most beautiful campus in the galaxy.",False,"[20, 215]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.219860918516904e+18,1219860918516903937,581798418.0,581798418,EuanRitchie1,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'EuanRitchie1', 'name': 'A/Prof Euan Ritchie 🐺 😼 🐾 🦘 🔥 🌳 🌏 🎶', 'id': 581798418, 'id_str': '581798418', 'indices': [0, 13]}, {'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [14, 19]}]",[],en,recent,22869577,22869577,Dr Tom Fairman,itsnotfairman,"Victoria, Australia","Forest scientist. I like forestry & fire ecology but generally if there are trees in it you have my attention. Usual story: views my own, retweet ≠ endorsement",,,[],False,3686,3300,51,Thu Mar 05 02:56:05 +0000 2009,5433,,,True,False,8126,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/943038131703386113/lwwc1Cgw_normal.jpg,https://pbs.twimg.com/profile_images/943038131703386113/lwwc1Cgw_normal.jpg,1B95E0,FFFFFF,A0C5C7,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/22869577/1519293408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Wed Jan 22 06:08:53 +0000 2020,1219864492042928129,1219864492042928129,"@ucsc FYI @kyliesoanes, it has awesome mountain biking, on campus!",False,"[6, 66]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.219860918516904e+18,1219860918516903937,581798418.0,581798418,EuanRitchie1,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'ucsc', 'name': 'UC Santa Cruz', 'id': 10772102, 'id_str': '10772102', 'indices': [0, 5]}, {'screen_name': 'kyliesoanes', 'name': 'Kylie Soanes', 'id': 267116475, 'id_str': '267116475', 'indices': [10, 22]}]",[],en,recent,581798418,581798418,A/Prof Euan Ritchie 🐺 😼 🐾 🦘 🔥 🌳 🌏 🎶,EuanRitchie1,"Melbourne, Victoria",Dad and scientist. Love talking #biodiversity #conservation #ecology #highered #humanrights #music #auspol #scicomm. Important stuff. https://t.co/rUjfpCPiJ0,https://t.co/F4IxG3VSv0,"[{'url': 'https://t.co/F4IxG3VSv0', 'expanded_url': 'http://euanritchie.org/', 'display_url': 'euanritchie.org', 'indices': [0, 23]}]","[{'url': 'https://t.co/rUjfpCPiJ0', 'expanded_url': 'https://www.facebook.com/DrEuanRitchie', 'display_url': 'facebook.com/DrEuanRitchie', 'indices': [134, 157]}]",False,8550,3239,318,Wed May 16 10:26:14 +0000 2012,42679,,,True,False,48507,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1037564197469532160/S2XE1up3_normal.jpg,https://pbs.twimg.com/profile_images/1037564197469532160/S2XE1up3_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/581798418/1407737682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
