,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,retweeted_status.user.profile_banner_url
8,Sat Jan 25 01:26:08 +0000 2020,1220880500035706880,1220880500035706880,"Find a man with a similar research portfolio and ask for his pay band. Apply for that whether it is next or not. If we all do it and somehow reference this research, we should get promoted right @UCNZscience @UCNZ ??",False,"[0, 216]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208797787580498e+18,1220879778758049792,1126472564.0,1126472564,DombroskiKelly,,,,,False,0,13,False,False,en,[],[],"[{'screen_name': 'UCNZscience', 'name': 'UC Science | Te Rāngai Pūtaiao', 'id': 737875031599026176, 'id_str': '737875031599026176', 'indices': [195, 207]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [208, 213]}]",[],en,recent,1126472564,1126472564,Kelly Dombroski,DombroskiKelly,Christchurch NZ,"Academic mum with expertise in community economies, feminist geography, postdevelopment and science and technology studies. Pākehā. She/her.",https://t.co/cO0NqbdFrN,[],False,688,927,22,Sun Jan 27 23:14:49 +0000 2013,7862,,,False,False,4409,,False,False,False,000000,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,False,http://pbs.twimg.com/profile_images/1187202371035623426/hlQnQpPM_normal.jpg,https://pbs.twimg.com/profile_images/1187202371035623426/hlQnQpPM_normal.jpg,https://pbs.twimg.com/profile_banners/1126472564/1561335268,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/cO0NqbdFrN', 'expanded_url': 'http://throwntogetherness.com/', 'display_url': 'throwntogetherness.com', 'indices': [0, 23]}]",,,,,,,,,,,,
10,Sat Jan 25 00:08:18 +0000 2020,1220860912032075776,1220860912032075776,@BMHayward @UCNZ What a huge loss to you all. I am so sorry to hear she's gone.,False,"[17, 79]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220859829071143e+18,1220859829071142913,386184878.0,386184878,BMHayward,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'BMHayward', 'name': 'Bronwyn Hayward', 'id': 386184878, 'id_str': '386184878', 'indices': [0, 10]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [11, 16]}]",[],en,recent,54682341,54682341,Kathryn Dick,excellentwretch,,"Educator, mum, and fascinated with technology. Crazy about all the new techniques of e-learning that engage kids anywhere. My views are my own.",,[],False,262,624,15,Tue Jul 07 21:25:27 +0000 2009,11271,,,True,False,3181,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1133614111059693568/P9MCRrBy_normal.png,https://pbs.twimg.com/profile_images/1133614111059693568/P9MCRrBy_normal.png,https://pbs.twimg.com/profile_banners/54682341/1555393212,347B9B,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Thu Jan 23 00:43:24 +0000 2020,1220144967961591808,1220144967961591808,@UsmanAfzali @UCNZ Never too young to start!,False,"[19, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201421560162755e+18,1220142156016275457,147909307.0,147909307,UsmanAfzali,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UsmanAfzali', 'name': 'Usman Afzali', 'id': 147909307, 'id_str': '147909307', 'indices': [0, 12]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [13, 18]}]",[],en,recent,87030317,87030317,Josh Leota III,joshleota,"Edmonton, Alberta","Reactive risk-taking researcher, one part of the Nash Social Neuroscience Lab.",https://t.co/pRzrQMKEcN,[],False,111,281,3,Mon Nov 02 21:15:54 +0000 2009,345,,,False,False,43,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1204538499799535616/hU3xQcRy_normal.jpg,https://pbs.twimg.com/profile_images/1204538499799535616/hU3xQcRy_normal.jpg,https://pbs.twimg.com/profile_banners/87030317/1502234721,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/pRzrQMKEcN', 'expanded_url': 'http://nsnlab.com', 'display_url': 'nsnlab.com', 'indices': [0, 23]}]",,,,,,,,,,,,
29,Wed Jan 22 05:43:34 +0000 2020,1219858122065334272,1219858122065334272,"@LindseyConrow @UCNZ Hehe. Congrats, BTW! Ans I hope for some down-under collaboration!",False,"[21, 87]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2198266753172357e+18,1219826675317235712,127023688.0,127023688,LindseyConrow,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'LindseyConrow', 'name': 'Lindsey Conrow', 'id': 127023688, 'id_str': '127023688', 'indices': [0, 14]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [15, 20]}]",[],en,recent,108989193,108989193,Martin Tomko,dinomirMT,"Melbourne, Victoria","Spatial is special! Supporting people in their physical, cyber and social interactions. Spatial Information Scientist @ University of Melbourne, own views",http://t.co/FR6dRRgOIb,[],False,990,2345,29,Wed Jan 27 16:37:27 +0000 2010,7392,,,False,False,4431,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/971556883218616320/QgBf8RlB_normal.jpg,https://pbs.twimg.com/profile_images/971556883218616320/QgBf8RlB_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/FR6dRRgOIb', 'expanded_url': 'http://www.tomko.org', 'display_url': 'tomko.org', 'indices': [0, 22]}]",,,,,,,,,,,,
30,Wed Jan 22 05:16:57 +0000 2020,1219851421295579136,1219851421295579136,@UCNZ Awn thanks team! Excited for a fun year of projects ahead :-),False,"[6, 67]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2197831939408896e+18,1219783193940889602,55130863.0,55130863,UCNZ,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [0, 5]}]",[],en,recent,219606605,219606605,Sam Johnson SVA,SamJohnsonSVA,"New Zealand, USA, Asia ","Founder, Student Volunteer Army - an NZ charity that turned an earthquake response into a major social movement with great partners. Speaker in NZ/ USA/ Asia",https://t.co/pDFv1vaZOB,[],False,3720,2328,53,Thu Nov 25 10:16:56 +0000 2010,1698,,,True,False,4990,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1195372224028372992/f6uZ7Nzh_normal.jpg,https://pbs.twimg.com/profile_images/1195372224028372992/f6uZ7Nzh_normal.jpg,https://pbs.twimg.com/profile_banners/219606605/1573833922,038543,EEEEEE,F6F6F6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/pDFv1vaZOB', 'expanded_url': 'http://www.sva.org.nz', 'display_url': 'sva.org.nz', 'indices': [0, 23]}]",,,,,,,,,,,,
31,Wed Jan 22 03:57:18 +0000 2020,1219831376632934400,1219831376632934400,@LincolnUniNZ @UCNZ @MBIEsci @AucklandUni @UCNZ students Josh McCulloch and Oliver Batchelor are pictured.,False,"[42, 106]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2198308710976594e+18,1219830871097659394,996591997.0,996591997,LincolnAgritech,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LincolnUniNZ', 'name': 'Lincoln University', 'id': 19622734, 'id_str': '19622734', 'indices': [0, 13]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [14, 19]}, {'screen_name': 'MBIEsci', 'name': 'MBIE Science', 'id': 194354685, 'id_str': '194354685', 'indices': [20, 28]}, {'screen_name': 'AucklandUni', 'name': 'The University of Auckland', 'id': 21146176, 'id_str': '21146176', 'indices': [29, 41]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [42, 47]}]",[],en,recent,996591997,996591997,Lincoln Agritech,LincolnAgritech,New Zealand,"Leading edge R&D company with a track record in applying innovative engineering and science technologies in the primary, industrial & environmental sectors",http://t.co/pMfh1tYH,[],False,918,568,22,Sat Dec 08 06:52:58 +0000 2012,1167,,,False,False,403,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/2946701809/6d60a0f3637f88103f88948e3535d54e_normal.jpeg,https://pbs.twimg.com/profile_images/2946701809/6d60a0f3637f88103f88948e3535d54e_normal.jpeg,https://pbs.twimg.com/profile_banners/996591997/1531458093,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/pMfh1tYH', 'expanded_url': 'http://www.lincolnagritech.co.nz', 'display_url': 'lincolnagritech.co.nz', 'indices': [0, 20]}]",,,,,,,,,,,,
32,Wed Jan 22 03:38:37 +0000 2020,1219826675317235712,1219826675317235712,"@dinomirMT @UCNZ A quick hop, skip and a jump away!",False,"[17, 51]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2198000597111235e+18,1219800059711123456,108989193.0,108989193,dinomirMT,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'dinomirMT', 'name': 'Martin Tomko', 'id': 108989193, 'id_str': '108989193', 'indices': [0, 10]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [11, 16]}]",[],en,recent,127023688,127023688,Lindsey Conrow,LindseyConrow,,"Lecturer @ University of Canterbury, New Zealand \ PhD Geography \ mobility & movement, crowdsourced data, bikes, and burritos.",,[],False,191,160,6,Sat Mar 27 19:54:11 +0000 2010,360,,,False,False,351,,False,False,False,000000,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/793902761821638656/GkpUDbHz_normal.jpg,https://pbs.twimg.com/profile_images/793902761821638656/GkpUDbHz_normal.jpg,https://pbs.twimg.com/profile_banners/127023688/1416871083,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wed Jan 22 02:12:55 +0000 2020,1219805107803475968,1219805107803475968,@LindseyConrow @UCNZ Welcome!,False,"[21, 29]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194007724309217e+18,1219400772430921734,127023688.0,127023688,LindseyConrow,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LindseyConrow', 'name': 'Lindsey Conrow', 'id': 127023688, 'id_str': '127023688', 'indices': [0, 14]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [15, 20]}]",[],en,recent,932155345866076160,932155345866076160,Kate Pedley,KPedleyNZgeol,"Canterbury Region, New Zealand","Pūkenga/Lecturer School of Earth & Env @UCNZgeology. Tectonics and geomorph. Geoscience Ed, Outreach,  https://t.co/igxCRtkvFY, Photography, Mum. She/her",https://t.co/bJMDMiiEXf,"[{'url': 'https://t.co/igxCRtkvFY', 'expanded_url': 'http://geotrips.org.nz', 'display_url': 'geotrips.org.nz', 'indices': [103, 126]}]",False,475,550,11,Sun Nov 19 07:55:27 +0000 2017,3842,,,False,False,500,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/932691780411170816/qUGFwlW-_normal.jpg,https://pbs.twimg.com/profile_images/932691780411170816/qUGFwlW-_normal.jpg,https://pbs.twimg.com/profile_banners/932155345866076160/1511206368,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/bJMDMiiEXf', 'expanded_url': 'https://www.researchgate.net/profile/Katherine_Pedley', 'display_url': 'researchgate.net/profile/Kather…', 'indices': [0, 23]}]",,,,,,,,,,,,
35,Wed Jan 22 01:52:51 +0000 2020,1219800059711123456,1219800059711123456,"@LindseyConrow @UCNZ Pop by here,  not far!",False,"[21, 43]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194007724309217e+18,1219400772430921734,127023688.0,127023688,LindseyConrow,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LindseyConrow', 'name': 'Lindsey Conrow', 'id': 127023688, 'id_str': '127023688', 'indices': [0, 14]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [15, 20]}]",[],en,recent,108989193,108989193,Martin Tomko,dinomirMT,"Melbourne, Victoria","Spatial is special! Supporting people in their physical, cyber and social interactions. Spatial Information Scientist @ University of Melbourne, own views",http://t.co/FR6dRRgOIb,[],False,990,2345,29,Wed Jan 27 16:37:27 +0000 2010,7392,,,False,False,4431,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/971556883218616320/QgBf8RlB_normal.jpg,https://pbs.twimg.com/profile_images/971556883218616320/QgBf8RlB_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'http://t.co/FR6dRRgOIb', 'expanded_url': 'http://www.tomko.org', 'display_url': 'tomko.org', 'indices': [0, 22]}]",,,,,,,,,,,,
36,Wed Jan 22 01:34:17 +0000 2020,1219795384744071168,1219795384744071168,@LindseyConrow @UCNZ Brilliant! Welcome to NZ :),False,"[21, 48]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194007724309217e+18,1219400772430921734,127023688.0,127023688,LindseyConrow,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'LindseyConrow', 'name': 'Lindsey Conrow', 'id': 127023688, 'id_str': '127023688', 'indices': [0, 14]}, {'screen_name': 'UCNZ', 'name': 'University of Canterbury', 'id': 55130863, 'id_str': '55130863', 'indices': [15, 20]}]",[],en,recent,883236008,883236008,Katarzyna Sila-Nowicka,KatarzynaSila,New Zealand,Lecturer in GIScience at University of Auckland,https://t.co/1S1aov0sgH,[],False,308,680,12,Mon Oct 15 22:22:34 +0000 2012,805,,,True,False,268,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2729936418/b2338d6be8f80c85ba46054a6108c3e7_normal.png,https://pbs.twimg.com/profile_images/2729936418/b2338d6be8f80c85ba46054a6108c3e7_normal.png,https://pbs.twimg.com/profile_banners/883236008/1350340467,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/1S1aov0sgH', 'expanded_url': 'https://silanowicka.wordpress.com/curriculum-vitae/', 'display_url': 'silanowicka.wordpress.com/curriculum-vit…', 'indices': [0, 23]}]",,,,,,,,,,,,
