,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls,retweeted_status.place
0,Sat Jan 25 07:54:27 +0000 2020,1220978222726295557,1220978222726295557,@HIDOE808_DrK @uhmanoa That's actually super awesome!,False,"[23, 53]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220600895324377e+18,1220600895324377088,8.924662090687324e+17,892466209068732416,HIDOE808_DrK,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'HIDOE808_DrK', 'name': 'Christina Kishimoto', 'id': 892466209068732416, 'id_str': '892466209068732416', 'indices': [0, 13]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [14, 22]}]",[],en,recent,756264412441305088,756264412441305088,TeachTheRainbow,TeachTheRainbow,"Honolulu, HI",Aloha from Hawai'i and Farrington HS. #TeachTheRainbow is all about #ScienceEducation #LGBTQ #EquityInTheClassroom #EnvironmentalScience #LeadershipInEducation,,[],False,90,131,2,Thu Jul 21 23:07:41 +0000 2016,450,,,False,False,223,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1011969024253718528/JTxtsqqx_normal.jpg,https://pbs.twimg.com/profile_images/1011969024253718528/JTxtsqqx_normal.jpg,https://pbs.twimg.com/profile_banners/756264412441305088/1469143438,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fri Jan 24 19:42:08 +0000 2020,1220793926719655937,1220793926719655937,"@uhmanoa @buglover2 was so engaging I didn't get to tweet anything once she started, but I wanted to now. 2 of her big takeaways were that microbiome $ is going up and that Hawai`i is already a place known for microbial research thanks to @CMAIKI808 and Station Aloha among others!",False,"[9, 281]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205661695532278e+18,1220566169553227776,3958778295.0,3958778295,lauraomics,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [0, 8]}, {'screen_name': 'buglover2', 'name': 'Lita Proctor', 'id': 414232951, 'id_str': '414232951', 'indices': [9, 19]}, {'screen_name': 'CMAIKI808', 'name': 'C-Maiki', 'id': 925538222058356736, 'id_str': '925538222058356736', 'indices': [239, 249]}]",[],en,recent,3958778295,3958778295,Laura Tipton,lauraomics,"Honolulu, Hawaii, USA","The study of all things Laura or rather all the things Laura studies, mostly microbiomes and ALL their components
VAP of Data Science @chaminade_univ 
She/Her",https://t.co/hPCxehVfz4,[],False,193,234,4,Wed Oct 14 20:13:49 +0000 2015,2413,,,False,False,1219,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/859908813650001920/ArI9ISRn_normal.jpg,https://pbs.twimg.com/profile_images/859908813650001920/ArI9ISRn_normal.jpg,https://pbs.twimg.com/profile_banners/3958778295/1444857174,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/hPCxehVfz4', 'expanded_url': 'https://lauratipton.wordpress.com/', 'display_url': 'lauratipton.wordpress.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fri Jan 24 16:25:28 +0000 2020,1220744434972676096,1220744434972676096,@coraloha @lauraomics @uhmanoa She’s talking at bishop museum tonight if you want to catch her!,False,"[31, 95]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205752958554194e+18,1220575295855419392,7.355929570892227e+17,735592957089222656,coraloha,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'coraloha', 'name': 'Dr. Chris Wall', 'id': 735592957089222656, 'id_str': '735592957089222656', 'indices': [0, 9]}, {'screen_name': 'lauraomics', 'name': 'Laura Tipton', 'id': 3958778295, 'id_str': '3958778295', 'indices': [10, 21]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [22, 30]}]",[],en,recent,59038273,59038273,Rosie Alegado,algoriphagus,"Honolulu, HI",Associate Prof. Oceanography @uhmanoa | evolution of host-microbe interactions using #choanoflagellates | kanaka ʻōiwi + pinay scientist | #NativeSTEM | mom,https://t.co/KoCwgqbN5j,[],False,2124,1167,69,Wed Jul 22 04:42:45 +0000 2009,10482,,,True,False,6200,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,True,http://pbs.twimg.com/profile_images/1100679647262457856/nvYbrxLl_normal.png,https://pbs.twimg.com/profile_images/1100679647262457856/nvYbrxLl_normal.png,https://pbs.twimg.com/profile_banners/59038273/1382086961,FF0000,FFFFFF,020812,2280A9,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/KoCwgqbN5j', 'expanded_url': 'http://alegadolab.org', 'display_url': 'alegadolab.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Thu Jan 23 21:29:44 +0000 2020,1220458618857848832,1220458618857848832,@uhmanoa @ASUHManoa Put the word “free” in front of most things and college kids will be sure to show up.,False,"[20, 105]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220454919251157e+18,1220454919251156993,202350999.0,202350999,uhmanoa,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [0, 8]}, {'screen_name': 'ASUHManoa', 'name': 'ASUH', 'id': 143008574, 'id_str': '143008574', 'indices': [9, 19]}]",[],en,recent,743416735848595456,743416735848595456,Steve Hallock,thestevehallock,"Cambridge, NY",@UHManoa and @MaxwellSU alum. Member of the @NYDems Committee rep’ing the @WashCoNYDems from AD 107. Opinions are my own.,,[],False,82,573,1,Thu Jun 16 12:15:36 +0000 2016,491,,,False,False,1195,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1169325382228742145/uU6m0J9O_normal.jpg,https://pbs.twimg.com/profile_images/1169325382228742145/uU6m0J9O_normal.jpg,https://pbs.twimg.com/profile_banners/743416735848595456/1466081057,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Wed Jan 22 06:31:02 +0000 2020,1219870067581542400,1219870067581542400,"Welcome to @HawaiiFootball, @RealCoachGraham! We all wish you the best as you lead our great Warriors at the @uhmanoa! Let’s go! #GoWarriors #Believe #WelcomeCoachGraham",False,"[0, 169]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,,False,0,6,False,False,en,"[{'text': 'GoWarriors', 'indices': [129, 140]}, {'text': 'Believe', 'indices': [141, 149]}, {'text': 'WelcomeCoachGraham', 'indices': [150, 169]}]",[],"[{'screen_name': 'HawaiiFootball', 'name': 'Hawaii Football', 'id': 43450739, 'id_str': '43450739', 'indices': [11, 26]}, {'screen_name': 'RealCoachGraham', 'name': 'Todd Graham', 'id': 1337272446, 'id_str': '1337272446', 'indices': [28, 44]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [109, 117]}]",[],en,recent,61661499,61661499,Brian Kajiyama,briankajiyama,"ÜT: 21.381172,-157.751336",From Hawai'i - Instructor for @speduhm @UHManoa; @HawaiiFootball Grad Asst. in 2007. Hope to do good someday! #GoWarriors #Blessed,https://t.co/5uhzGLk7Lu,[],False,821,4024,22,Fri Jul 31 01:57:49 +0000 2009,9397,,,True,False,12181,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/620482086575603712/LYmy1fkS_normal.jpg,https://pbs.twimg.com/profile_images/620482086575603712/LYmy1fkS_normal.jpg,https://pbs.twimg.com/profile_banners/61661499/1496973370,19CF86,181A1E,252429,666666,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/5uhzGLk7Lu', 'expanded_url': 'http://bit.ly/bkwarrior', 'display_url': 'bit.ly/bkwarrior', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Wed Jan 22 02:51:15 +0000 2020,1219814757030514689,1219814757030514689,"@liseli_rose28 @uhmanoa CONGRATS LISELI, got dang! Quit being so successful so early 😂",False,"[24, 86]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197694526584914e+18,1219769452658491392,2391443886.0,2391443886,liseli_rose28,,,,,False,1,2,False,False,en,[],[],"[{'screen_name': 'liseli_rose28', 'name': 'liseli', 'id': 2391443886, 'id_str': '2391443886', 'indices': [0, 14]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [15, 23]}]",[],en,recent,955314933238923264,955314933238923264,Perry,Perry_49ers,"California, USA","Sports writing, video breakdowns, and sports talk! #49ers. Journalism/Comms Major. Check out the Red and Gold Standard Podcast! 10/4/16",,[],False,1124,1111,13,Mon Jan 22 05:43:23 +0000 2018,21151,,,True,False,7025,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1196885997180506119/7JtTojeV_normal.jpg,https://pbs.twimg.com/profile_images/1196885997180506119/7JtTojeV_normal.jpg,https://pbs.twimg.com/profile_banners/955314933238923264/1576264044,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Wed Jan 22 01:21:51 +0000 2020,1219792257441599488,1219792257441599488,"RT @subyroy: My best PRC grad students in economics at @uhmanoa c1986 were v good but came from science, engineering, not social sciences..…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'subyroy', 'name': 'Dr Subroto Roy', 'id': 137777900, 'id_str': '137777900', 'indices': [3, 11]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [55, 63]}]",[],en,recent,137777900,137777900,Dr Subroto Roy,subyroy,,Cambridge PhD under FHahn; LSE First. *Philosophy of Economics* 1989. USA 1980-96. Led UH perestroika-for-India project 1986-92. Advised Rajiv Gandhi 1990/1,https://t.co/TymxvoxqxN,[],False,2310,8,192,Tue Apr 27 18:49:13 +0000 2010,114038,,,False,False,165896,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162002232444768261/PNZZ5frk_normal.jpg,https://pbs.twimg.com/profile_images/1162002232444768261/PNZZ5frk_normal.jpg,https://pbs.twimg.com/profile_banners/137777900/1423451016,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,regular,"[{'url': 'https://t.co/TymxvoxqxN', 'expanded_url': 'http://www.independentindian.com', 'display_url': 'independentindian.com', 'indices': [0, 23]}]",Fri May 25 13:09:09 +0000 2018,1.000000822015443e+18,1000000822015442945,"My best PRC grad students in economics at @uhmanoa c1986 were v good but came from science, engineering, not social sciences... @Eva_Qiao",False,"[0, 137]",[],[],"[{'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [42, 50]}, {'screen_name': 'Eva_Qiao', 'name': 'Eva Qiao', 'id': 910164071336394753, 'id_str': '910164071336394753', 'indices': [128, 137]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.999969860519035e+17,999996986051903488,9.101640713363948e+17,910164071336394753,Eva_Qiao,137777900.0,137777900,Dr Subroto Roy,subyroy,,Cambridge PhD under FHahn; LSE First. *Philosophy of Economics* 1989. USA 1980-96. Led UH perestroika-for-India project 1986-92. Advised Rajiv Gandhi 1990/1,https://t.co/TymxvoxqxN,[],False,2310.0,8.0,192.0,Tue Apr 27 18:49:13 +0000 2010,114038.0,,,False,False,165896.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1162002232444768261/PNZZ5frk_normal.jpg,https://pbs.twimg.com/profile_images/1162002232444768261/PNZZ5frk_normal.jpg,https://pbs.twimg.com/profile_banners/137777900/1423451016,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,regular,,,,,,,,,,,,,,False,1.0,2.0,False,False,en,,,,,,,,,,,"[{'url': 'https://t.co/TymxvoxqxN', 'expanded_url': 'http://www.independentindian.com', 'display_url': 'independentindian.com', 'indices': [0, 23]}]",
50,Wed Jan 22 00:42:35 +0000 2020,1219782377448230912,1219782377448230912,"@luke_campillo @CivilBeat @uhmanoa @UHawaiiNews Is it possible they listed your pre tax pay rate? That sounds close to what my rate was when at UH, when my after tax check was about 13% less, which would account for the $3200. Agree that listing waiver as pay disingenuous",False,"[48, 272]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197067285492122e+18,1219706728549212160,9.443836734905385e+17,944383673490538496,luke_campillo,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'luke_campillo', 'name': 'Luke Campillo', 'id': 944383673490538496, 'id_str': '944383673490538496', 'indices': [0, 14]}, {'screen_name': 'CivilBeat', 'name': 'Honolulu Civil Beat', 'id': 104389564, 'id_str': '104389564', 'indices': [15, 25]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [26, 34]}, {'screen_name': 'UHawaiiNews', 'name': 'University of Hawaii System', 'id': 17851248, 'id_str': '17851248', 'indices': [35, 47]}]",[],en,recent,1050470337081569281,1050470337081569281,Maia Sosa Kapur,KapurMaia,,"PhD student at @UW_SAFS. Fisheries stock assessment, population modeling, statistics. Seattle x Hawaii🌧️🌺",,[],False,116,133,1,Thu Oct 11 19:36:59 +0000 2018,587,,,False,False,166,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1172125911333949440/U3odKvxm_normal.jpg,https://pbs.twimg.com/profile_images/1172125911333949440/U3odKvxm_normal.jpg,,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Tue Jan 21 20:35:52 +0000 2020,1219720286737588230,1219720286737588230,@fyoosha @uhmanoa Drip 💧,False,"[18, 24]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197202387337871e+18,1219720238733787136,27823889.0,27823889,fyoosha,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'fyoosha', 'name': 'Fuchsia', 'id': 27823889, 'id_str': '27823889', 'indices': [0, 8]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [9, 17]}]",[],en,recent,540253975,540253975,hiSEAN808🏴‍☠️,Oahu_Raider808,"OAHU Honolulu, HI",Married-Father  #RaiderNation #GoIrish☘️University of Hawaiʻi Alumni #GoBows 🌈 Host: @CNPN_BLACKOUT of The Crows Nest Podcast Network,,[],False,5141,5130,74,Thu Mar 29 20:25:34 +0000 2012,253617,,,True,False,101434,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1180568856298807296/HpGbLK6a_normal.jpg,https://pbs.twimg.com/profile_images/1180568856298807296/HpGbLK6a_normal.jpg,https://pbs.twimg.com/profile_banners/540253975/1490990766,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Tue Jan 21 20:02:13 +0000 2020,1219711817712164864,1219711817712164864,"@luke_campillo @CivilBeat @uhmanoa @UHawaiiNews So disappointed in the framing of this by @CivilBeat, really expected better.",False,"[48, 125]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197067285492122e+18,1219706728549212160,9.443836734905385e+17,944383673490538496,luke_campillo,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'luke_campillo', 'name': 'Luke Campillo', 'id': 944383673490538496, 'id_str': '944383673490538496', 'indices': [0, 14]}, {'screen_name': 'CivilBeat', 'name': 'Honolulu Civil Beat', 'id': 104389564, 'id_str': '104389564', 'indices': [15, 25]}, {'screen_name': 'uhmanoa', 'name': 'University of Hawaii at Manoa', 'id': 202350999, 'id_str': '202350999', 'indices': [26, 34]}, {'screen_name': 'UHawaiiNews', 'name': 'University of Hawaii System', 'id': 17851248, 'id_str': '17851248', 'indices': [35, 47]}, {'screen_name': 'CivilBeat', 'name': 'Honolulu Civil Beat', 'id': 104389564, 'id_str': '104389564', 'indices': [90, 100]}]",[],en,recent,1007100356105392128,1007100356105392128,Claire Lewis,PavonaDetective,"Hawaii, USA","PhD candidate at UH Manoa | Coral evolution is my jam, particularly Pavona | British Person | Wallpaper enthusiast | She/her",,[],False,256,592,1,Thu Jun 14 03:20:10 +0000 2018,3189,,,False,False,1140,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1007377661570703361/rlCBAMH3_normal.jpg,https://pbs.twimg.com/profile_images/1007377661570703361/rlCBAMH3_normal.jpg,https://pbs.twimg.com/profile_banners/1007100356105392128/1528948100,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
