,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
3,Sat Jan 25 03:07:54 +0000 2020,1220906111093616640,1220906111093616640,@lykanthea @cowgirlz3 @KAMillinois @amylu11 @spurlockmuseum Learning to curate this show under the mentorship of @amylu11 has been the most fulfilling of all my projects @Illinois_Alma. Writing the object labels in that authorless voice was esp. exhilarating &amp; terrifying. It’s my first real experience making something for a larger public,False,"[60, 343]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220905006259417e+18,1220905006259417093,486040844.0,486040844,thaumatic,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'lykanthea', 'name': 'lykanthea', 'id': 155085288, 'id_str': '155085288', 'indices': [0, 10]}, {'screen_name': 'cowgirlz3', 'name': 'Nancy Davidson', 'id': 247298466, 'id_str': '247298466', 'indices': [11, 21]}, {'screen_name': 'KAMillinois', 'name': 'Krannert Art Museum', 'id': 1561406257, 'id_str': '1561406257', 'indices': [22, 34]}, {'screen_name': 'amylu11', 'name': 'Amy Powell', 'id': 357665120, 'id_str': '357665120', 'indices': [35, 43]}, {'screen_name': 'spurlockmuseum', 'name': 'Spurlock Museum', 'id': 45857882, 'id_str': '45857882', 'indices': [44, 59]}, {'screen_name': 'amylu11', 'name': 'Amy Powell', 'id': 357665120, 'id_str': '357665120', 'indices': [113, 121]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [170, 184]}]",[],en,recent,486040844,486040844,Clara Bosak-Schroeder,thaumatic,"Urbana, IL","#Envhum-ancientist & lover of marvels, now working on ancient receptions in contemporary media. Assistant Prof @Illinois_Alma. she/they. Cf @cripantiquity",https://t.co/O5ijf2ZdVx,"[{'url': 'https://t.co/O5ijf2ZdVx', 'expanded_url': 'http://www.theburningboy.com', 'display_url': 'theburningboy.com', 'indices': [0, 23]}]",[],False,998,1304,13,Tue Feb 07 21:18:02 +0000 2012,892,,,False,False,4292,,False,False,False,000000,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1153671049919258626/GMsB5hXJ_normal.jpg,https://pbs.twimg.com/profile_images/1153671049919258626/GMsB5hXJ_normal.jpg,https://pbs.twimg.com/profile_banners/486040844/1562844541,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 19:07:52 +0000 2020,1220785304614862849,1220785304614862849,@LauraFrerichs @Illinois_Alma Human-centered research! So important for @uofigrainger 💪🦾,False,"[30, 88]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207816201202442e+18,1220781620120244224,52284598.0,52284598,LauraFrerichs,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'LauraFrerichs', 'name': 'Laura Frerichs', 'id': 52284598, 'id_str': '52284598', 'indices': [0, 14]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [15, 29]}, {'screen_name': 'uofigrainger', 'name': 'The Grainger College of Engineering', 'id': 28425476, 'id_str': '28425476', 'indices': [72, 85]}]",[],en,recent,58912160,58912160,Amy LaViers,alaviers,"Urbana, IL","dancer, choreographer, roboticist // director @The_RAD_Lab, asst professor @Illinois_Alma, co-founder @aemachines, CMA @LabanBartenieff",https://t.co/EhLkCFV6pQ,"[{'url': 'https://t.co/EhLkCFV6pQ', 'expanded_url': 'http://www.amylaviers.com', 'display_url': 'amylaviers.com', 'indices': [0, 23]}]",[],False,848,341,29,Tue Jul 21 20:34:23 +0000 2009,1882,,,True,False,1254,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000402439698/b92615eed26830be4af5268dc6843b89_normal.jpeg,https://pbs.twimg.com/profile_images/378800000402439698/b92615eed26830be4af5268dc6843b89_normal.jpeg,https://pbs.twimg.com/profile_banners/58912160/1359487603,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fri Jan 24 04:39:40 +0000 2020,1220566815845253121,1220566815845253121,"@sw4618 @Illinois_Alma That’s great to know! I have not met her, but I’ll keep my eyes out! Despite chambana being a small town, UIUC is a huge university, and I’ve loved the opportunities for collabs across departments and colleges (just another UIUC plug!)",False,"[23, 258]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220562506655191e+18,1220562506655191040,170917201.0,170917201,sw4618,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [0, 7]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [8, 22]}]",[],en,recent,1148637167733870593,1148637167733870593,Allyson M. Blackburn,A_M_Blackburn,"Champaign, IL",Clin-Comm Psych PhD student @Illinois_Alma. Alum @TuftsUniversity & @MGHPsychiatry. Researching trauma and help-seeking using quantitative methods 🌈. she/hers.,https://t.co/pQ8tYl5p1r,"[{'url': 'https://t.co/pQ8tYl5p1r', 'expanded_url': 'https://tinyurl.com/AM-Blackburn-Pubs', 'display_url': 'tinyurl.com/AM-Blackburn-P…', 'indices': [0, 23]}]",[],False,217,694,2,Tue Jul 09 16:56:56 +0000 2019,751,,,False,False,98,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203007675593875457/D864KcM__normal.jpg,https://pbs.twimg.com/profile_images/1203007675593875457/D864KcM__normal.jpg,https://pbs.twimg.com/profile_banners/1148637167733870593/1562801682,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Fri Jan 24 04:21:29 +0000 2020,1220562240522391554,1220562240522391554,"@sw4618 Depending on the prospective applicant’s interest, Dr Nicole Allen at @Illinois_Alma mentors grad students in the Clinical-Community Psych program! Her body of research focuses broadly on sexual &amp; gender-based violence and systems change — I’ve loved my time with her so far!",False,"[8, 287]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205302448698532e+18,1220530244869853184,170917201.0,170917201,sw4618,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [0, 7]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [78, 92]}]",[],en,recent,1148637167733870593,1148637167733870593,Allyson M. Blackburn,A_M_Blackburn,"Champaign, IL",Clin-Comm Psych PhD student @Illinois_Alma. Alum @TuftsUniversity & @MGHPsychiatry. Researching trauma and help-seeking using quantitative methods 🌈. she/hers.,https://t.co/pQ8tYl5p1r,"[{'url': 'https://t.co/pQ8tYl5p1r', 'expanded_url': 'https://tinyurl.com/AM-Blackburn-Pubs', 'display_url': 'tinyurl.com/AM-Blackburn-P…', 'indices': [0, 23]}]",[],False,217,694,2,Tue Jul 09 16:56:56 +0000 2019,751,,,False,False,98,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203007675593875457/D864KcM__normal.jpg,https://pbs.twimg.com/profile_images/1203007675593875457/D864KcM__normal.jpg,https://pbs.twimg.com/profile_banners/1148637167733870593/1562801682,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Thu Jan 23 23:53:40 +0000 2020,1220494839273250817,1220494839273250817,"@NSAGov @Illinois_Alma Hell ya, go Illini!",False,"[23, 42]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204939249025884e+18,1220493924902588417,2248872301.0,2248872301,NSAGov,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'NSAGov', 'name': 'NSA/CSS', 'id': 2248872301, 'id_str': '2248872301', 'indices': [0, 7]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [8, 22]}]",[],en,recent,1213302814702620673,1213302814702620673,Jason Parise,parise_jason,"San Diego, CA","Senior Research Associate in cellular and molecular biology: United Therapeutics. Love politics, history, space, science and tech. Proud to be an American nerd.",,,[],False,31,259,1,Sat Jan 04 03:35:20 +0000 2020,909,,,False,False,552,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1214297903994265600/8Ubpv-mL_normal.jpg,https://pbs.twimg.com/profile_images/1214297903994265600/8Ubpv-mL_normal.jpg,https://pbs.twimg.com/profile_banners/1213302814702620673/1578355403,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Thu Jan 23 20:22:50 +0000 2020,1220441782573584384,1220441782573584384,"@katiepbruner @Illinois_Alma @IllinoisComm @UTexasMoody @EngagingNews @Stanford_Cyber Thank you, Katie!!",False,"[86, 104]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2202093344219873e+18,1220209334421987328,26370780.0,26370780,katiepbruner,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'katiepbruner', 'name': 'Katie P. Bruner', 'id': 26370780, 'id_str': '26370780', 'indices': [0, 13]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [14, 28]}, {'screen_name': 'IllinoisComm', 'name': 'Communication @ Illinois', 'id': 373198965, 'id_str': '373198965', 'indices': [29, 42]}, {'screen_name': 'UTexasMoody', 'name': 'TEXAS Moody', 'id': 21015067, 'id_str': '21015067', 'indices': [43, 55]}, {'screen_name': 'EngagingNews', 'name': 'Center for Media Engagement', 'id': 1732894075, 'id_str': '1732894075', 'indices': [56, 69]}, {'screen_name': 'Stanford_Cyber', 'name': 'Cyber Policy Center', 'id': 3060238357, 'id_str': '3060238357', 'indices': [70, 85]}]",[],en,recent,25940532,25940532,Emily Van Duyn,emilyvanduyn,"Menlo Park, CA",Postdoctoral fellow @Stanford_Cyber / future @Illinois_Alma assistant professor / alum of @UTAustin / studying political communication & digital media,https://t.co/aTLfXfEPAw,"[{'url': 'https://t.co/aTLfXfEPAw', 'expanded_url': 'http://www.emilyvanduyn.com', 'display_url': 'emilyvanduyn.com', 'indices': [0, 23]}]",[],False,1003,707,26,Mon Mar 23 03:00:52 +0000 2009,1513,,,False,False,1088,,False,False,False,F7ED5E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_banners/25940532/1567036766,D10725,FFFFFF,DCFAFA,080808,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Thu Jan 23 20:21:58 +0000 2020,1220441567208624133,1220441567208624133,"@carafinnegan @Illinois_Alma @IllinoisComm @UTexasMoody @EngagingNews @Stanford_Cyber Thank you, Cara!! Can't wait!",False,"[86, 115]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204239945554125e+18,1220423994555412481,14921393.0,14921393,carafinnegan,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'carafinnegan', 'name': 'carafinnegan', 'id': 14921393, 'id_str': '14921393', 'indices': [0, 13]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [14, 28]}, {'screen_name': 'IllinoisComm', 'name': 'Communication @ Illinois', 'id': 373198965, 'id_str': '373198965', 'indices': [29, 42]}, {'screen_name': 'UTexasMoody', 'name': 'TEXAS Moody', 'id': 21015067, 'id_str': '21015067', 'indices': [43, 55]}, {'screen_name': 'EngagingNews', 'name': 'Center for Media Engagement', 'id': 1732894075, 'id_str': '1732894075', 'indices': [56, 69]}, {'screen_name': 'Stanford_Cyber', 'name': 'Cyber Policy Center', 'id': 3060238357, 'id_str': '3060238357', 'indices': [70, 85]}]",[],en,recent,25940532,25940532,Emily Van Duyn,emilyvanduyn,"Menlo Park, CA",Postdoctoral fellow @Stanford_Cyber / future @Illinois_Alma assistant professor / alum of @UTAustin / studying political communication & digital media,https://t.co/aTLfXfEPAw,"[{'url': 'https://t.co/aTLfXfEPAw', 'expanded_url': 'http://www.emilyvanduyn.com', 'display_url': 'emilyvanduyn.com', 'indices': [0, 23]}]",[],False,1003,707,26,Mon Mar 23 03:00:52 +0000 2009,1513,,,False,False,1088,,False,False,False,F7ED5E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_banners/25940532/1567036766,D10725,FFFFFF,DCFAFA,080808,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Thu Jan 23 18:33:47 +0000 2020,1220414339036995590,1220414339036995590,@JoeIzaguirre @Illinois_Alma @IllinoisComm @UTexasMoody @EngagingNews @Stanford_Cyber Thank you!,False,"[86, 96]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203802088192082e+18,1220380208819208194,19921139.0,19921139,JoeIzaguirre,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'JoeIzaguirre', 'name': 'Joe Izaguirre', 'id': 19921139, 'id_str': '19921139', 'indices': [0, 13]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [14, 28]}, {'screen_name': 'IllinoisComm', 'name': 'Communication @ Illinois', 'id': 373198965, 'id_str': '373198965', 'indices': [29, 42]}, {'screen_name': 'UTexasMoody', 'name': 'TEXAS Moody', 'id': 21015067, 'id_str': '21015067', 'indices': [43, 55]}, {'screen_name': 'EngagingNews', 'name': 'Center for Media Engagement', 'id': 1732894075, 'id_str': '1732894075', 'indices': [56, 69]}, {'screen_name': 'Stanford_Cyber', 'name': 'Cyber Policy Center', 'id': 3060238357, 'id_str': '3060238357', 'indices': [70, 85]}]",[],en,recent,25940532,25940532,Emily Van Duyn,emilyvanduyn,"Menlo Park, CA",Postdoctoral fellow @Stanford_Cyber / future @Illinois_Alma assistant professor / alum of @UTAustin / studying political communication & digital media,https://t.co/aTLfXfEPAw,"[{'url': 'https://t.co/aTLfXfEPAw', 'expanded_url': 'http://www.emilyvanduyn.com', 'display_url': 'emilyvanduyn.com', 'indices': [0, 23]}]",[],False,1003,707,26,Mon Mar 23 03:00:52 +0000 2009,1513,,,False,False,1088,,False,False,False,F7ED5E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_banners/25940532/1567036766,D10725,FFFFFF,DCFAFA,080808,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Thu Jan 23 16:05:30 +0000 2020,1220377022372823042,1220377022372823042,@Zoroaster8911 @Illinois_Alma @IllinoisComm @UTexasMoody @EngagingNews @Stanford_Cyber Thank you!,False,"[87, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220336459095429e+18,1220336459095429120,9.314879014724444e+17,931487901472444416,Zoroaster8911,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Zoroaster8911', 'name': 'She is Dr. Zoroaster', 'id': 931487901472444416, 'id_str': '931487901472444416', 'indices': [0, 14]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [15, 29]}, {'screen_name': 'IllinoisComm', 'name': 'Communication @ Illinois', 'id': 373198965, 'id_str': '373198965', 'indices': [30, 43]}, {'screen_name': 'UTexasMoody', 'name': 'TEXAS Moody', 'id': 21015067, 'id_str': '21015067', 'indices': [44, 56]}, {'screen_name': 'EngagingNews', 'name': 'Center for Media Engagement', 'id': 1732894075, 'id_str': '1732894075', 'indices': [57, 70]}, {'screen_name': 'Stanford_Cyber', 'name': 'Cyber Policy Center', 'id': 3060238357, 'id_str': '3060238357', 'indices': [71, 86]}]",[],en,recent,25940532,25940532,Emily Van Duyn,emilyvanduyn,"Menlo Park, CA",Postdoctoral fellow @Stanford_Cyber / future @Illinois_Alma assistant professor / alum of @UTAustin / studying political communication & digital media,https://t.co/aTLfXfEPAw,"[{'url': 'https://t.co/aTLfXfEPAw', 'expanded_url': 'http://www.emilyvanduyn.com', 'display_url': 'emilyvanduyn.com', 'indices': [0, 23]}]",[],False,1003,707,26,Mon Mar 23 03:00:52 +0000 2009,1513,,,False,False,1088,,False,False,False,F7ED5E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_banners/25940532/1567036766,D10725,FFFFFF,DCFAFA,080808,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Thu Jan 23 16:05:22 +0000 2020,1220376990034694144,1220376990034694144,"@elocheeze @Illinois_Alma @IllinoisComm @UTexasMoody @EngagingNews @Stanford_Cyber Thanks, Eloise! We miss you!",False,"[83, 111]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203244363451802e+18,1220324436345180160,879222500.0,879222500,elocheeze,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'elocheeze', 'name': 'Eloise D', 'id': 879222500, 'id_str': '879222500', 'indices': [0, 10]}, {'screen_name': 'Illinois_Alma', 'name': 'University of Illinois', 'id': 18165866, 'id_str': '18165866', 'indices': [11, 25]}, {'screen_name': 'IllinoisComm', 'name': 'Communication @ Illinois', 'id': 373198965, 'id_str': '373198965', 'indices': [26, 39]}, {'screen_name': 'UTexasMoody', 'name': 'TEXAS Moody', 'id': 21015067, 'id_str': '21015067', 'indices': [40, 52]}, {'screen_name': 'EngagingNews', 'name': 'Center for Media Engagement', 'id': 1732894075, 'id_str': '1732894075', 'indices': [53, 66]}, {'screen_name': 'Stanford_Cyber', 'name': 'Cyber Policy Center', 'id': 3060238357, 'id_str': '3060238357', 'indices': [67, 82]}]",[],en,recent,25940532,25940532,Emily Van Duyn,emilyvanduyn,"Menlo Park, CA",Postdoctoral fellow @Stanford_Cyber / future @Illinois_Alma assistant professor / alum of @UTAustin / studying political communication & digital media,https://t.co/aTLfXfEPAw,"[{'url': 'https://t.co/aTLfXfEPAw', 'expanded_url': 'http://www.emilyvanduyn.com', 'display_url': 'emilyvanduyn.com', 'indices': [0, 23]}]",[],False,1003,707,26,Mon Mar 23 03:00:52 +0000 2009,1513,,,False,False,1088,,False,False,False,F7ED5E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_images/709568219997057025/1a-P_BVA_normal.jpg,https://pbs.twimg.com/profile_banners/25940532/1567036766,D10725,FFFFFF,DCFAFA,080808,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
