,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
8,Fri Jan 24 23:36:51 +0000 2020,1220852996004814848,1220852996004814848,@MySjdillman @Jacque_Ann_ @UnivOfKansas TOTALLY normal. 😍,False,"[40, 57]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220851607593767e+18,1220851607593766914,2989166160.0,2989166160,MySjdillman,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'MySjdillman', 'name': 'Steve Dillman', 'id': 2989166160, 'id_str': '2989166160', 'indices': [0, 12]}, {'screen_name': 'Jacque_Ann_', 'name': 'Jacqueline Ann', 'id': 828802858409680898, 'id_str': '828802858409680898', 'indices': [13, 25]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [26, 39]}]",[],en,recent,18978448,18978448,KU Alumni Association,kualumni,"1266 Oread Ave., Lawrence, KS","Pride. Tradition. Legacy. Connection. 
❤️💙
These shared values unite our 44,000 members and nearly 350,000 #KUalumni around the world. Welcome!",https://t.co/hAeKoaFqy3,"[{'url': 'https://t.co/hAeKoaFqy3', 'expanded_url': 'http://www.kualumni.org', 'display_url': 'kualumni.org', 'indices': [0, 23]}]",[],False,15697,7281,283,Wed Jan 14 14:51:11 +0000 2009,4057,,,True,False,17583,,False,False,False,1643AC,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1098732322877247488/bWZongV7_normal.png,https://pbs.twimg.com/profile_images/1098732322877247488/bWZongV7_normal.png,https://pbs.twimg.com/profile_banners/18978448/1578326392,B4000C,FFFFFF,FFFACC,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 13:22:12 +0000 2020,1220698317321011200,1220698317321011200,"DUDE @UnivOfKansas I’ve called 100 times for you to stop, quit texting me GOD DAMN campus updates. I’m a Missouri state graduate and I think Kansas is the stupidest state in the world! Please for the love of god take me off the list.",False,"[0, 233]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,13,False,False,en,[],[],"[{'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [5, 18]}]",[],en,recent,272936276,272936276,Steve Biondo,Biondough,,"MO state and Alpha Kappa Lambda Alumni, Let’s Go Blues.",,,[],False,1067,812,3,Sun Mar 27 13:44:06 +0000 2011,7509,,,True,False,14204,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1221291558177320960/WdqBBXIx_normal.jpg,https://pbs.twimg.com/profile_images/1221291558177320960/WdqBBXIx_normal.jpg,https://pbs.twimg.com/profile_banners/272936276/1578950367,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Thu Jan 23 01:03:40 +0000 2020,1220150071393705989,1220150071393705989,@jonnybgood1 @KUHoops @UnivOfKansas DM me,False,"[36, 41]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201499205204623e+18,1220149920520462337,122964681.0,122964681,jonnybgood1,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jonnybgood1', 'name': 'Jonathan Hankin', 'id': 122964681, 'id_str': '122964681', 'indices': [0, 12]}, {'screen_name': 'KUHoops', 'name': 'Kansas Basketball', 'id': 132981804, 'id_str': '132981804', 'indices': [13, 21]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [22, 35]}]",[],en,recent,340314568,340314568,Kyle Umlang,kyleumlang,,Data Analyst | Graphic Designer | College Football Stats Expert | Longhorn | MS Data Science | Mr. Data | M.O.F. | #AggieFactThursday Ambassador | Stats 🐐,https://t.co/Y3BVect8C5,"[{'url': 'https://t.co/Y3BVect8C5', 'expanded_url': 'http://bit.ly/TableauKU', 'display_url': 'bit.ly/TableauKU', 'indices': [0, 23]}]",[],False,8761,482,63,Fri Jul 22 14:08:23 +0000 2011,37416,,,True,False,6487,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219338239430938625/G-kud-f3_normal.jpg,https://pbs.twimg.com/profile_images/1219338239430938625/G-kud-f3_normal.jpg,https://pbs.twimg.com/profile_banners/340314568/1575923433,BF5700,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Wed Jan 22 13:38:29 +0000 2020,1219977639294836741,1219977639294836741,@TitleistProV1 @KUHoops @UnivOfKansas Talking to me or KU?,False,"[38, 58]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2199766906566e+18,1219976690656600064,1.0587065546005176e+18,1058706554600517632,TitleistProV1,,,,,False,0,5,False,False,en,[],[],"[{'screen_name': 'TitleistProV1', 'name': 'TitleistProV1 CSI, CDT', 'id': 1058706554600517632, 'id_str': '1058706554600517632', 'indices': [0, 14]}, {'screen_name': 'KUHoops', 'name': 'Kansas Basketball', 'id': 132981804, 'id_str': '132981804', 'indices': [15, 23]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [24, 37]}]",[],en,recent,340314568,340314568,Kyle Umlang,kyleumlang,,Data Analyst | Graphic Designer | College Football Stats Expert | Longhorn | MS Data Science | Mr. Data | M.O.F. | #AggieFactThursday Ambassador | Stats 🐐,https://t.co/Y3BVect8C5,"[{'url': 'https://t.co/Y3BVect8C5', 'expanded_url': 'http://bit.ly/TableauKU', 'display_url': 'bit.ly/TableauKU', 'indices': [0, 23]}]",[],False,8761,482,63,Fri Jul 22 14:08:23 +0000 2011,37416,,,True,False,6487,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219338239430938625/G-kud-f3_normal.jpg,https://pbs.twimg.com/profile_images/1219338239430938625/G-kud-f3_normal.jpg,https://pbs.twimg.com/profile_banners/340314568/1575923433,BF5700,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Wed Jan 22 04:18:46 +0000 2020,1219836779353837569,1219836779353837569,@kyleumlang @KUHoops @UnivOfKansas So your team sucks and this is what you do to make up for it? Cool story.,False,"[35, 108]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2198278661348598e+18,1219827866134859776,340314568.0,340314568,kyleumlang,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'kyleumlang', 'name': 'Kyle Umlang', 'id': 340314568, 'id_str': '340314568', 'indices': [0, 11]}, {'screen_name': 'KUHoops', 'name': 'Kansas Basketball', 'id': 132981804, 'id_str': '132981804', 'indices': [12, 20]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [21, 34]}]",[],en,recent,819012625811980288,819012625811980288,"“Get your words straight, Jack!”",StaceyCKs1,"Kansas, USA","45 is terrible, so is Bernie. Fox ""News"" is propaganda, & science is real. If you disagree with any of that, we have nothing to say to each other. Biden2020",,,[],False,2576,3066,36,Wed Jan 11 02:46:41 +0000 2017,62476,,,True,False,40534,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1139715099202064384/tJx4VJBi_normal.jpg,https://pbs.twimg.com/profile_images/1139715099202064384/tJx4VJBi_normal.jpg,https://pbs.twimg.com/profile_banners/819012625811980288/1570192540,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Wed Jan 22 03:51:23 +0000 2020,1219829889253199877,1219829889253199877,@mbloomstein @ContentGraz Awesome job! I’m a content strategy grad student at @UnivOfKansas - it’s so interesting to see what peers in other programs are working on. Thanks for sharing 🤓,False,"[26, 186]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2178697398984172e+18,1217869739898417154,16800091.0,16800091,mbloomstein,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'mbloomstein', 'name': 'Margot Bloomstein', 'id': 16800091, 'id_str': '16800091', 'indices': [0, 12]}, {'screen_name': 'ContentGraz', 'name': 'Content Graz', 'id': 2881468173, 'id_str': '2881468173', 'indices': [13, 25]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [78, 91]}]",[],en,recent,3043395791,3043395791,Madeline Soleski,maddsoleski,Wisconsin,Content strategist by day. @UnivOfKansas grad student by night. @52hikechallenge hiker on weekends. @uwoshkosh alum. Let's connect: https://t.co/RXTrd0qXnG,https://t.co/RXTrd0qXnG,"[{'url': 'https://t.co/RXTrd0qXnG', 'expanded_url': 'http://linkd.in/PkzJeQ', 'display_url': 'linkd.in/PkzJeQ', 'indices': [0, 23]}]","[{'url': 'https://t.co/RXTrd0qXnG', 'expanded_url': 'http://linkd.in/PkzJeQ', 'display_url': 'linkd.in/PkzJeQ', 'indices': [132, 155]}]",False,133,152,25,Tue Feb 17 19:14:31 +0000 2015,261,,,False,False,336,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/666641935797383168/QqWDErtc_normal.jpg,https://pbs.twimg.com/profile_images/666641935797383168/QqWDErtc_normal.jpg,https://pbs.twimg.com/profile_banners/3043395791/1575149833,F58EA8,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Tue Jan 21 02:32:49 +0000 2020,1219447730055139328,1219447730055139328,"@roy18977 @KUBremner @KansanNews @UnivOfKansas And me on mine in the ‘80s. I don’t think a decade (or a moment, for that matter) went by when she wasn’t doing that for us fortunate KU kids of hers.",False,"[47, 197]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194010680329912e+18,1219401068032991234,1146192636.0,1146192636,roy18977,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'roy18977', 'name': 'roy clevenger', 'id': 1146192636, 'id_str': '1146192636', 'indices': [0, 9]}, {'screen_name': 'KUBremner', 'name': 'Bremner Editing Ctr.', 'id': 737508391, 'id_str': '737508391', 'indices': [10, 20]}, {'screen_name': 'KansanNews', 'name': 'University Daily Kansan', 'id': 15184327, 'id_str': '15184327', 'indices': [21, 32]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [33, 46]}]",[],en,recent,66683043,66683043,Rob Karwath,robkarwath,"Lawrence, KS, and Duluth, MN","@jayhawkgroup/@kansannews GM. @kujournalism faculty. @northcoastcomm CEO. @chicagotribune alum. #RCJH. #GoPackGo. Once a reporter, always a reporter.",https://t.co/TwqdVb77Du,"[{'url': 'https://t.co/TwqdVb77Du', 'expanded_url': 'http://kansan.com', 'display_url': 'kansan.com', 'indices': [0, 23]}]",[],False,780,1553,19,Tue Aug 18 13:42:22 +0000 2009,1228,,,True,False,2483,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/3418241464/c6d248325b9feddfddf6923377730b9a_normal.jpeg,https://pbs.twimg.com/profile_images/3418241464/c6d248325b9feddfddf6923377730b9a_normal.jpeg,https://pbs.twimg.com/profile_banners/66683043/1400120139,227777,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Tue Jan 21 02:31:36 +0000 2020,1219447420800643074,1219447420800643074,@Jayhawk96 @KansanNews @UnivOfKansas We can’t wait for you to come by Just give a shout when you can make it. I’ll have you speak to my classes! We are doing a public open house 2-4 p.m. Feb. 2. But I hear there’s a local team in the Super Bowl that day. KU opening is 3 p.m. Thursday. You are welcome always!,False,"[37, 309]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219430221671256e+18,1219430221671256064,19659126.0,19659126,Jayhawk96,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Jayhawk96', 'name': 'Jana Calkins', 'id': 19659126, 'id_str': '19659126', 'indices': [0, 10]}, {'screen_name': 'KansanNews', 'name': 'University Daily Kansan', 'id': 15184327, 'id_str': '15184327', 'indices': [11, 22]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [23, 36]}]",[],en,recent,66683043,66683043,Rob Karwath,robkarwath,"Lawrence, KS, and Duluth, MN","@jayhawkgroup/@kansannews GM. @kujournalism faculty. @northcoastcomm CEO. @chicagotribune alum. #RCJH. #GoPackGo. Once a reporter, always a reporter.",https://t.co/TwqdVb77Du,"[{'url': 'https://t.co/TwqdVb77Du', 'expanded_url': 'http://kansan.com', 'display_url': 'kansan.com', 'indices': [0, 23]}]",[],False,780,1553,19,Tue Aug 18 13:42:22 +0000 2009,1228,,,True,False,2483,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/3418241464/c6d248325b9feddfddf6923377730b9a_normal.jpeg,https://pbs.twimg.com/profile_images/3418241464/c6d248325b9feddfddf6923377730b9a_normal.jpeg,https://pbs.twimg.com/profile_banners/66683043/1400120139,227777,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Mon Jan 20 22:29:17 +0000 2020,1219386440238469120,1219386440238469120,@jcjray @UnivOfKansas Such a fun way to learn and great to co-teach with you @jcjray!!,False,"[22, 86]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219287352763474e+18,1219287352763473920,14228099.0,14228099,jcjray,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'jcjray', 'name': 'Christian Ray 🌎 🗺 📈', 'id': 14228099, 'id_str': '14228099', 'indices': [0, 7]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [8, 21]}, {'screen_name': 'jcjray', 'name': 'Christian Ray 🌎 🗺 📈', 'id': 14228099, 'id_str': '14228099', 'indices': [77, 84]}]",[],en,recent,2286027433,2286027433,Josephine Chandler,ChandlerLab,"Lawrence, Kansas",Research lab at the University of Kansas studying how bacteria interact in friendship and war. Views are my own.,,,[],False,621,463,22,Sat Jan 11 03:27:15 +0000 2014,483,,,False,False,1599,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/421848503514443776/PFpWktzo_normal.jpeg,https://pbs.twimg.com/profile_images/421848503514443776/PFpWktzo_normal.jpeg,https://pbs.twimg.com/profile_banners/2286027433/1413566481,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Mon Jan 20 18:34:14 +0000 2020,1219327287880974336,1219327287880974336,@jcjray @UnivOfKansas @ChandlerLab Great idea! I walked by your classroom during the presentations and students seemed really excited about their work.,False,"[35, 151]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219287352763474e+18,1219287352763473920,14228099.0,14228099,jcjray,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'jcjray', 'name': 'Christian Ray 🌎 🗺 📈', 'id': 14228099, 'id_str': '14228099', 'indices': [0, 7]}, {'screen_name': 'UnivOfKansas', 'name': 'The University of Kansas', 'id': 31947242, 'id_str': '31947242', 'indices': [8, 21]}, {'screen_name': 'ChandlerLab', 'name': 'Josephine Chandler', 'id': 2286027433, 'id_str': '2286027433', 'indices': [22, 34]}]",[],en,recent,551139337,551139337,Dyan Morgan,DyanMorgan,"Lawrence, Kansas",Kansan interested in helping students live their dreams. Did I mention I'm a data-driven optimist?,,,[],False,110,222,4,Wed Apr 11 16:46:37 +0000 2012,477,,,False,False,252,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2212753780/DSC02106_normal.jpg,https://pbs.twimg.com/profile_images/2212753780/DSC02106_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
