,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
6,Sat Jan 25 20:01:40 +0000 2020,1221161230741725184,1221161230741725184,@universityofky please put a @dunkindonuts back on campus,False,"[0, 57]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,34323121.0,34323121,universityofky,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [0, 15]}, {'screen_name': 'dunkindonuts', 'name': ""Dunkin'"", 'id': 8771022, 'id_str': '8771022', 'indices': [29, 42]}]",[],en,recent,214628183,214628183,evelyn,evelynlanae,"Kentucky, USA",22 : University of KY alum,,[],False,671,207,2,Thu Nov 11 21:21:40 +0000 2010,7969,,,False,False,16660,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,True,http://pbs.twimg.com/profile_images/1219732152172056579/SGghPN9y_normal.jpg,https://pbs.twimg.com/profile_images/1219732152172056579/SGghPN9y_normal.jpg,https://pbs.twimg.com/profile_banners/214628183/1579641813,F6D8CE,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 19:02:13 +0000 2020,1221146272993644544,1221146272993644544,@marcelo_H_ @universityofky Are you coming to L.A. or did I miss you?,False,"[28, 69]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2211031802530284e+18,1221103180253028352,2543996430.0,2543996430,marcelo_H_,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'marcelo_H_', 'name': 'Marcelo Hernandez Castillo', 'id': 2543996430, 'id_str': '2543996430', 'indices': [0, 11]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [12, 27]}]",[],en,recent,14252028,14252028,Gina Ruiz,ginaruiz,Los Angeles,"She/Her/Ella & Esa if you’re a homie. Chicana author, #pocha, English major, aspiring #medievalist, #bibliophile. @PENAmerican",https://t.co/ajdYXisK1C,[],False,4658,5103,369,Sat Mar 29 17:03:52 +0000 2008,23128,,,True,False,72638,,False,False,False,0A0A0A,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,True,http://pbs.twimg.com/profile_images/950962004264497152/CHpc6bfC_normal.jpg,https://pbs.twimg.com/profile_images/950962004264497152/CHpc6bfC_normal.jpg,https://pbs.twimg.com/profile_banners/14252028/1505407385,7FDBB6,FFFFFF,9DE0AD,547980,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/ajdYXisK1C', 'expanded_url': 'http://ginaruiz.com', 'display_url': 'ginaruiz.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Fri Jan 24 16:47:02 +0000 2020,1220749863270395909,1220749863270395909,"Partnering with @UniversityofKY, @SenateMajLdr McConnell delivered $1.7 million to help bring quality dental care with a focus on expectant mothers to Madisonville and other #Kentucky communities. That's something we can all smile about! #Bluegrass120",False,"[0, 251]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207498618149724e+18,1220749861814972417,339822881.0,339822881,McConnellPress,,,,,False,1,5,False,False,en,"[{'text': 'Kentucky', 'indices': [174, 183]}, {'text': 'Bluegrass120', 'indices': [238, 251]}]",[],"[{'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [16, 31]}, {'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [33, 46]}]",[],en,recent,339822881,339822881,Senator McConnell Press,McConnellPress,,The #Kentucky press office for U.S. Senate Majority Leader Mitch McConnell @senatemajldr. For more information please visit his website:,https://t.co/z3LTl4HcqS,[],False,91830,352,2227,Thu Jul 21 18:25:30 +0000 2011,17,,,True,True,12686,,False,False,False,022330,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1101167266757001217/oGvCjceB_normal.jpg,https://pbs.twimg.com/profile_images/1101167266757001217/oGvCjceB_normal.jpg,https://pbs.twimg.com/profile_banners/339822881/1445984145,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/z3LTl4HcqS', 'expanded_url': 'http://mcconnell.senate.gov', 'display_url': 'mcconnell.senate.gov', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Fri Jan 24 16:15:41 +0000 2020,1220741973210025986,1220741973210025986,@Lj_era8 @Mike_Hunter19 Someone else I’ve enjoy watching @benny_snell A UK alum.. They’ve made my football season... The best of both worlds @universityofky @uofl,False,"[24, 162]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205381058218476e+18,1220538105821847557,155304222.0,155304222,AmyTyler2014,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Lj_era8', 'name': 'Lamar Jackson', 'id': 2157497975, 'id_str': '2157497975', 'indices': [0, 8]}, {'screen_name': 'Mike_Hunter19', 'name': 'Michael Hunter', 'id': 872772193, 'id_str': '872772193', 'indices': [9, 23]}, {'screen_name': 'benny_snell', 'name': 'Mr SNELL YA LATER👋🏾', 'id': 767887356, 'id_str': '767887356', 'indices': [57, 69]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [141, 156]}, {'screen_name': 'uofl', 'name': 'University of Louisville', 'id': 39566272, 'id_str': '39566272', 'indices': [157, 162]}]",[],en,recent,155304222,155304222,A.J Tyler,AmyTyler2014,"Kentucky, USA","Fiber Artist, Mom, Wife, BA Special Ed & MA.ED Library Sciences, Advocate, Lover of BOOKS! #thecrazyyarnlady",,[],False,533,771,20,Sun Jun 13 19:16:48 +0000 2010,6183,,,True,False,7707,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1187869383500206082/WlFhm9Qy_normal.jpg,https://pbs.twimg.com/profile_images/1187869383500206082/WlFhm9Qy_normal.jpg,https://pbs.twimg.com/profile_banners/155304222/1544161610,0084B4,BDDCAD,DDFFCC,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fri Jan 24 10:49:20 +0000 2020,1220659846179172352,1220659846179172352,RT @AmyMcGrathKY: My mother was one of the first women to graduate from @UniversityofKY's College of Medicine. I saw her frustration as she…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1045,0,False,False,en,[],[],"[{'screen_name': 'AmyMcGrathKY', 'name': 'Amy McGrath', 'id': 2783231383, 'id_str': '2783231383', 'indices': [3, 16]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [72, 87]}]",[],en,recent,895371423920902145,895371423920902145,Michael Orndoff,MichaelOrndoff,"Kentucky,USA",@GUMedicine #Psychologist ⛳ @universityofky #USVeteran,,[],False,89226,64774,53,Wed Aug 09 19:49:17 +0000 2017,511525,,,True,False,403204,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221270397569654786/eOsoNlU9_normal.jpg,https://pbs.twimg.com/profile_images/1221270397569654786/eOsoNlU9_normal.jpg,https://pbs.twimg.com/profile_banners/895371423920902145/1580016339,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,Fri Aug 16 19:34:49 +0000 2019,1.162447642909184e+18,1162447642909184000,My mother was one of the first women to graduate from @UniversityofKY's College of Medicine. I saw her frustration as she and her patients struggled in the health care system—Kentuckians should never have to worry about affording necessary treatment.,False,"[0, 250]",[],[],"[{'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [54, 69]}]",[],en,recent,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,2783231383.0,2783231383,Amy McGrath,AmyMcGrathKY,"Georgetown, KY","Mother of 3, retired Marine, wife, F/A-18 pilot, Kentuckian. Running for Senate against Mitch McConnell to destroy the swamp he created. Join us 👇🏻",https://t.co/gXroy6eub1,"[{'url': 'https://t.co/gXroy6eub1', 'expanded_url': 'https://amymcgrath.com/', 'display_url': 'amymcgrath.com', 'indices': [0, 23]}]",[],False,357228.0,2615.0,1223.0,Mon Sep 01 00:58:43 +0000 2014,4949.0,,,False,True,4322.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1148537624572956672/d7rFwCky_normal.png,https://pbs.twimg.com/profile_images/1148537624572956672/d7rFwCky_normal.png,https://pbs.twimg.com/profile_banners/2783231383/1562667664,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1045.0,4878.0,False,False,en,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 00:30:23 +0000 2020,1220504081439035393,1220504081439035393,@at88dosochos @universityofky would never.,False,"[14, 42]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204624104584438e+18,1220462410458443776,231572113.0,231572113,at88dosochos,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'at88dosochos', 'name': 'Addison Thompson', 'id': 231572113, 'id_str': '231572113', 'indices': [0, 13]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [14, 29]}]",[],en,recent,121623455,121623455,Austin Hill,Austin14Hill,Kentucky,"UK Alum || Louisville, KY. || Financial Advisor.",,[],False,999,630,3,Wed Mar 10 02:36:41 +0000 2010,17156,,,True,False,8368,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1137734085286252544/OGybbYb5_normal.jpg,https://pbs.twimg.com/profile_images/1137734085286252544/OGybbYb5_normal.jpg,https://pbs.twimg.com/profile_banners/121623455/1555976847,009999,EEEEEE,EFEFEF,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fri Jan 24 00:27:44 +0000 2020,1220503413991059458,1220503413991059458,@refuturing @universityofky It absolutely will!!,False,"[28, 48]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2205021675320689e+18,1220502167532068864,9686792.0,9686792,refuturing,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'refuturing', 'name': 'Christopher S. Rice, Ph.D.', 'id': 9686792, 'id_str': '9686792', 'indices': [0, 11]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [12, 27]}]",[],en,recent,1164557132,1164557132,Nathan L. Vanderford,nlvanderford,"Lexington, KY",Assistant Professor @UniversityofKY | Assistant Director for Research @UKMarkey | Director of the Appalachian Career Training in Oncology Program,https://t.co/HVXjb9v2vk,[],False,633,4,27,Sun Feb 10 01:08:57 +0000 2013,980,,,False,False,3033,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/958340881655959552/D8XP_UQO_normal.jpg,https://pbs.twimg.com/profile_images/958340881655959552/D8XP_UQO_normal.jpg,https://pbs.twimg.com/profile_banners/1164557132/1523620753,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/HVXjb9v2vk', 'expanded_url': 'http://nathanvanderford.com', 'display_url': 'nathanvanderford.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 00:09:11 +0000 2020,1220498748096122880,1220498748096122880,"@refuturing @universityofky Outstanding presentation, Chris. As always! Thank you for speaking to the class!",False,"[28, 108]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203048862161674e+18,1220304886216167425,1164557132.0,1164557132,nlvanderford,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'refuturing', 'name': 'Christopher S. Rice, Ph.D.', 'id': 9686792, 'id_str': '9686792', 'indices': [0, 11]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [12, 27]}]",[],en,recent,1164557132,1164557132,Nathan L. Vanderford,nlvanderford,"Lexington, KY",Assistant Professor @UniversityofKY | Assistant Director for Research @UKMarkey | Director of the Appalachian Career Training in Oncology Program,https://t.co/HVXjb9v2vk,[],False,633,4,27,Sun Feb 10 01:08:57 +0000 2013,980,,,False,False,3033,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/958340881655959552/D8XP_UQO_normal.jpg,https://pbs.twimg.com/profile_images/958340881655959552/D8XP_UQO_normal.jpg,https://pbs.twimg.com/profile_banners/1164557132/1523620753,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/HVXjb9v2vk', 'expanded_url': 'http://nathanvanderford.com', 'display_url': 'nathanvanderford.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Thu Jan 23 15:12:42 +0000 2020,1220363736910790660,1220363736910790660,@stopthecrookedK @universityofky @UKAthletics @kentuckyalumni @UKYpres @UKMitchBarnhart @GoCatsDesign @UK_KFund @Nike @nikesupport A University typically knows their alphabet but UK is not typical!!!,False,"[131, 199]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203236139975025e+18,1220323613997502470,3436349327.0,3436349327,stopthecrookedK,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'stopthecrookedK', 'name': 'RETURN THE POWER K', 'id': 3436349327, 'id_str': '3436349327', 'indices': [0, 16]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [17, 32]}, {'screen_name': 'UKAthletics', 'name': 'Kentucky Athletics', 'id': 24929053, 'id_str': '24929053', 'indices': [33, 45]}, {'screen_name': 'kentuckyalumni', 'name': 'UK Alumni', 'id': 26575910, 'id_str': '26575910', 'indices': [46, 61]}, {'screen_name': 'UKYpres', 'name': 'Eli Capilouto', 'id': 292990275, 'id_str': '292990275', 'indices': [62, 70]}, {'screen_name': 'UKMitchBarnhart', 'name': 'Mitch Barnhart', 'id': 140244186, 'id_str': '140244186', 'indices': [71, 87]}, {'screen_name': 'GoCatsDesign', 'name': 'UK Creative Services', 'id': 4054232121, 'id_str': '4054232121', 'indices': [88, 101]}, {'screen_name': 'UK_KFund', 'name': 'K Fund- UK Athletics', 'id': 368986307, 'id_str': '368986307', 'indices': [102, 111]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [112, 117]}, {'screen_name': 'nikesupport', 'name': 'Nike Support', 'id': 1088108511739826178, 'id_str': '1088108511739826178', 'indices': [118, 130]}]",[],en,recent,802619328860475392,802619328860475392,necir,Blueladycat13,,"Love Trump, University of Kentucky & traditions. Southern & proud of it. Conservative not Republican. Fed up with PC.  2nd amendment supporter.",,[],False,1258,544,5,Sat Nov 26 21:05:34 +0000 2016,115736,,,False,False,127188,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/802910516733759488/epIPQSOc_normal.jpg,https://pbs.twimg.com/profile_images/802910516733759488/epIPQSOc_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Thu Jan 23 11:18:51 +0000 2020,1220304886216167425,1220304886216167425,Very excited to have Chris Rice (@refuturing) speaking to my career development class today here at the @UniversityofKY. Chris is packed with phenomenal insights! Always a great conversation to jumpstart the beginning of the semester.,False,"[0, 234]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'refuturing', 'name': 'Christopher S. Rice, Ph.D.', 'id': 9686792, 'id_str': '9686792', 'indices': [33, 44]}, {'screen_name': 'universityofky', 'name': 'University of Kentucky', 'id': 34323121, 'id_str': '34323121', 'indices': [104, 119]}]",[],en,recent,1164557132,1164557132,Nathan L. Vanderford,nlvanderford,"Lexington, KY",Assistant Professor @UniversityofKY | Assistant Director for Research @UKMarkey | Director of the Appalachian Career Training in Oncology Program,https://t.co/HVXjb9v2vk,[],False,633,4,27,Sun Feb 10 01:08:57 +0000 2013,980,,,False,False,3033,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/958340881655959552/D8XP_UQO_normal.jpg,https://pbs.twimg.com/profile_images/958340881655959552/D8XP_UQO_normal.jpg,https://pbs.twimg.com/profile_banners/1164557132/1523620753,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/HVXjb9v2vk', 'expanded_url': 'http://nathanvanderford.com', 'display_url': 'nathanvanderford.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
