,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls
4,Fri Jan 24 12:22:52 +0000 2020,1220683384751607808,1220683384751607808,"@FleurZeldenrust @YiotaPoirazi @JoniDambre @GjorJulijana @icouzin That's really cool, Fleur. Congrats!",False,"[66, 102]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1220071309675200514,1220071309675200514,1964693528,1964693528,FleurZeldenrust,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'FleurZeldenrust', 'name': 'Fleur Zeldenrust', 'id': 1964693528, 'id_str': '1964693528', 'indices': [0, 16]}, {'screen_name': 'YiotaPoirazi', 'name': 'Yiota Poirazi', 'id': 3233119557, 'id_str': '3233119557', 'indices': [17, 30]}, {'screen_name': 'JoniDambre', 'name': 'Joni Dambre', 'id': 766102602, 'id_str': '766102602', 'indices': [31, 42]}, {'screen_name': 'GjorJulijana', 'name': 'JulijanaGjor', 'id': 1046078437730004994, 'id_str': '1046078437730004994', 'indices': [43, 56]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [57, 65]}]",[],en,recent,1093257209658646530,1093257209658646530,Jorrit Montijn,JMontijn,"Amsterdam, The Netherlands","Neuroscientist with a love for the weird and remarkable, from art to science and politics",https://t.co/sZajwRx10l,[],False,37,76,0,Wed Feb 06 21:16:45 +0000 2019,69,,,False,False,26,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1093257788598480896/Q6j51o71_normal.jpg,https://pbs.twimg.com/profile_images/1093257788598480896/Q6j51o71_normal.jpg,https://pbs.twimg.com/profile_banners/1093257209658646530/1549489911,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/sZajwRx10l', 'expanded_url': 'https://jorritmontijn.wordpress.com/', 'display_url': 'jorritmontijn.wordpress.com', 'indices': [0, 23]}]"
5,Fri Jan 24 09:46:21 +0000 2020,1220643995593867265,1220643995593867265,"@FleurZeldenrust @YiotaPoirazi @JoniDambre @GjorJulijana @icouzin Wow, that's big, congrats!!",False,"[66, 93]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1220071309675200514,1220071309675200514,1964693528,1964693528,FleurZeldenrust,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'FleurZeldenrust', 'name': 'Fleur Zeldenrust', 'id': 1964693528, 'id_str': '1964693528', 'indices': [0, 16]}, {'screen_name': 'YiotaPoirazi', 'name': 'Yiota Poirazi', 'id': 3233119557, 'id_str': '3233119557', 'indices': [17, 30]}, {'screen_name': 'JoniDambre', 'name': 'Joni Dambre', 'id': 766102602, 'id_str': '766102602', 'indices': [31, 42]}, {'screen_name': 'GjorJulijana', 'name': 'JulijanaGjor', 'id': 1046078437730004994, 'id_str': '1046078437730004994', 'indices': [43, 56]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [57, 65]}]",[],en,recent,784820858179227648,784820858179227648,Jorge Mejias,jorgefmejias,"Amsterdam, The Netherlands",Computational neuroscientist working on large-scale brain models at the University of Amsterdam.,,[],False,126,78,2,Sat Oct 08 18:20:48 +0000 2016,109,,,False,False,171,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/784823908167979008/SU8BTnuB_normal.jpg,https://pbs.twimg.com/profile_images/784823908167979008/SU8BTnuB_normal.jpg,https://pbs.twimg.com/profile_banners/784820858179227648/1521398204,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,
7,Wed Jan 22 20:30:36 +0000 2020,1220081349383553028,1220081349383553028,@Soccermatics @icouzin @spratt888 What an epic photo.,False,"[34, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1219702144925949953,1219702144925949953,2993647767,2993647767,Soccermatics,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Soccermatics', 'name': 'David Sumpter', 'id': 2993647767, 'id_str': '2993647767', 'indices': [0, 13]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [14, 22]}, {'screen_name': 'spratt888', 'name': 'Stephen Pratt', 'id': 237038670, 'id_str': '237038670', 'indices': [23, 33]}]",[],en,recent,430851520,430851520,Albert Kao,albert_kao,"Santa Fe, NM","Baird & Omidyar postdoc fellow @sfiscience interested in information processing and decision-making in collectives, including animal groups and slime molds.",https://t.co/vUbqcM0RQI,[],False,730,543,12,Wed Dec 07 16:53:21 +0000 2011,1078,,,False,False,370,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1078825992221876226/hDVfg6fw_normal.jpg,https://pbs.twimg.com/profile_images/1078825992221876226/hDVfg6fw_normal.jpg,https://pbs.twimg.com/profile_banners/430851520/1573595478,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/vUbqcM0RQI', 'expanded_url': 'http://www.thekaolab.com', 'display_url': 'thekaolab.com', 'indices': [0, 23]}]"
9,Wed Jan 22 16:56:05 +0000 2020,1220027366858084352,1220027366858084352,@Soccermatics @icouzin @spratt888 Holy crap! Does my advisor have a BEARD in that photo?! Has my dream finally come true?!!!,False,"[34, 124]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1219702144925949953,1219702144925949953,2993647767,2993647767,Soccermatics,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'Soccermatics', 'name': 'David Sumpter', 'id': 2993647767, 'id_str': '2993647767', 'indices': [0, 13]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [14, 22]}, {'screen_name': 'spratt888', 'name': 'Stephen Pratt', 'id': 237038670, 'id_str': '237038670', 'indices': [23, 33]}]",[],en,recent,2581556744,2581556744,Andrew Burchill 🐜,AndrewBurchill,"Tempe, AZ","Myrmecologist and animal behavior PhD candidate with ASU's Social Insect Research Group.
Complex adaptive systems, evolution, phylogenetics, all that jazz",https://t.co/ddJJBnU87Z,[],False,633,412,18,Sun Jun 22 04:10:06 +0000 2014,5953,,,True,False,3805,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1023464394863198208/Zyi7790u_normal.jpg,https://pbs.twimg.com/profile_images/1023464394863198208/Zyi7790u_normal.jpg,https://pbs.twimg.com/profile_banners/2581556744/1550427026,FA743E,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/ddJJBnU87Z', 'expanded_url': 'http://andburch.github.io', 'display_url': 'andburch.github.io', 'indices': [0, 23]}]"
12,Mon Jan 20 19:26:31 +0000 2020,1219340446150905856,1219340446150905856,"Also three emails from my advisor, @icouzin",False,"[0, 43]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1219340374767960066,1219340374767960066,1419907861,1419907861,jbakcoleman,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [35, 43]}]",[],en,recent,1419907861,1419907861,Joe Bak-Coleman,jbakcoleman,"Princeton, New Jersey","I'm a PhD candidate in EEB at Princeton University, trying to understand how technology influences society. He/Him",https://t.co/pwWSXtTFWF,[],False,416,772,8,Sat May 11 06:03:39 +0000 2013,1079,,,False,False,1269,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1189713537553379328/AgjpMB_X_normal.jpg,https://pbs.twimg.com/profile_images/1189713537553379328/AgjpMB_X_normal.jpg,,424242,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/pwWSXtTFWF', 'expanded_url': 'http://www.joebakcoleman.com', 'display_url': 'joebakcoleman.com', 'indices': [0, 23]}]"
17,Sun Jan 19 18:05:27 +0000 2020,1218957656737636352,1218957656737636352,"@oliverbeige @jbakcoleman @KevinZollman @icouzin @jgraving I think the fishes are not competing between them. They are cooperating to avoid the risk of been eaten. So, they follow the strategy ""sometimes you, sometimes me"" (a reciprocity ryle) in order to coordinate and keep the community. They know that, alone, are an easy target",False,"[59, 332]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1218916569457332225,1218916569457332225,888022574688591872,888022574688591872,oliverbeige,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'oliverbeige', 'name': 'oliver beige', 'id': 888022574688591872, 'id_str': '888022574688591872', 'indices': [0, 12]}, {'screen_name': 'jbakcoleman', 'name': 'Joe Bak-Coleman', 'id': 1419907861, 'id_str': '1419907861', 'indices': [13, 25]}, {'screen_name': 'KevinZollman', 'name': 'Kevin J.S. Zollman', 'id': 3196161958, 'id_str': '3196161958', 'indices': [26, 39]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [40, 48]}, {'screen_name': 'jgraving', 'name': 'Jake Graving', 'id': 25728771, 'id_str': '25728771', 'indices': [49, 58]}]",[],en,recent,106981025,106981025,Josafat Hernández,JosafatHernndez,,Economista y filósofo. Marxista gramsciano. Behavioral Economics. Impulso el seminario de filosofía de la economía de la UNAM,https://t.co/Ub3v877QCq,[],False,914,1286,22,Thu Jan 21 07:24:46 +0000 2010,9448,,,False,False,8518,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1078177995611762688/oeexxEJx_normal.jpg,https://pbs.twimg.com/profile_images/1078177995611762688/oeexxEJx_normal.jpg,https://pbs.twimg.com/profile_banners/106981025/1545892881,3E63AD,829D5E,99CC33,3E4415,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/Ub3v877QCq', 'expanded_url': 'http://criticadenuestrotiempo.blogspot.com.es/', 'display_url': 'criticadenuestrotiempo.blogspot.com.es', 'indices': [0, 23]}]"
19,Sun Jan 19 15:54:08 +0000 2020,1218924610248478720,1218924610248478720,@KevinZollman @jbakcoleman @oliverbeige @icouzin While near the substrate it can be difficult to detect food at range via chemosensation (smell/taste). This is due to a phenomenon known as the boundary layer. Moving up the water column potentially allows you to detect food at longer distances.  Although that's just speculation.,False,"[49, 329]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1218920768945508352,1218920768945508352,3196161958,3196161958,KevinZollman,,,,,False,0,10,False,False,en,[],[],"[{'screen_name': 'KevinZollman', 'name': 'Kevin J.S. Zollman', 'id': 3196161958, 'id_str': '3196161958', 'indices': [0, 13]}, {'screen_name': 'jbakcoleman', 'name': 'Joe Bak-Coleman', 'id': 1419907861, 'id_str': '1419907861', 'indices': [14, 26]}, {'screen_name': 'oliverbeige', 'name': 'oliver beige', 'id': 888022574688591872, 'id_str': '888022574688591872', 'indices': [27, 39]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [40, 48]}]",[],en,recent,25728771,25728771,Jake Graving,jgraving,"Konstanz, Baden-Württemberg",Interested in behavior and computation. Currently studying how animals swarm with @icouzin @CollectiveBehav @CBehav https://t.co/PclSjGSM5t,https://t.co/xI3hSVUwp6,"[{'url': 'https://t.co/PclSjGSM5t', 'expanded_url': 'http://deepposekit.org', 'display_url': 'deepposekit.org', 'indices': [116, 139]}]",False,553,411,9,Sat Mar 21 21:06:35 +0000 2009,1055,,,False,False,249,,False,False,False,3F3F3F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103693503039721472/cI0EGm8A_normal.jpg,https://pbs.twimg.com/profile_images/1103693503039721472/cI0EGm8A_normal.jpg,https://pbs.twimg.com/profile_banners/25728771/1552123899,1023FA,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/xI3hSVUwp6', 'expanded_url': 'http://jakegraving.com', 'display_url': 'jakegraving.com', 'indices': [0, 23]}]"
22,Sun Jan 19 15:11:11 +0000 2020,1218913804370825217,1218913804370825217,"@oliverbeige @jbakcoleman @KevinZollman @icouzin The fishes are cooperating between them and they seem to assume social norms. Perhaps the norm is ""being rotative, sometimes at the top, sometimes at the bottom. If they were selfish, then none would follow the norm because all of them would be at the bottom",False,"[49, 307]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1218911248533856256,1218911248533856256,888022574688591872,888022574688591872,oliverbeige,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'oliverbeige', 'name': 'oliver beige', 'id': 888022574688591872, 'id_str': '888022574688591872', 'indices': [0, 12]}, {'screen_name': 'jbakcoleman', 'name': 'Joe Bak-Coleman', 'id': 1419907861, 'id_str': '1419907861', 'indices': [13, 25]}, {'screen_name': 'KevinZollman', 'name': 'Kevin J.S. Zollman', 'id': 3196161958, 'id_str': '3196161958', 'indices': [26, 39]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [40, 48]}]",[],en,recent,106981025,106981025,Josafat Hernández,JosafatHernndez,,Economista y filósofo. Marxista gramsciano. Behavioral Economics. Impulso el seminario de filosofía de la economía de la UNAM,https://t.co/Ub3v877QCq,[],False,914,1286,22,Thu Jan 21 07:24:46 +0000 2010,9448,,,False,False,8518,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1078177995611762688/oeexxEJx_normal.jpg,https://pbs.twimg.com/profile_images/1078177995611762688/oeexxEJx_normal.jpg,https://pbs.twimg.com/profile_banners/106981025/1545892881,3E63AD,829D5E,99CC33,3E4415,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/Ub3v877QCq', 'expanded_url': 'http://criticadenuestrotiempo.blogspot.com.es/', 'display_url': 'criticadenuestrotiempo.blogspot.com.es', 'indices': [0, 23]}]"
23,Sun Jan 19 15:11:09 +0000 2020,1218913793536929792,1218913793536929792,"@jbakcoleman @KevinZollman @oliverbeige @icouzin They have highly venomous dorsal and pectoral spines, so predation pressure is probably reduced. Their barbels are chemosensory organs, so could be less about predator avoidance and more about collectively sensing food. Especially with boundary layer effects near the substrate.",False,"[49, 327]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1218907451518529536,1218907451518529536,1419907861,1419907861,jbakcoleman,,,,,False,0,11,False,False,en,[],[],"[{'screen_name': 'jbakcoleman', 'name': 'Joe Bak-Coleman', 'id': 1419907861, 'id_str': '1419907861', 'indices': [0, 12]}, {'screen_name': 'KevinZollman', 'name': 'Kevin J.S. Zollman', 'id': 3196161958, 'id_str': '3196161958', 'indices': [13, 26]}, {'screen_name': 'oliverbeige', 'name': 'oliver beige', 'id': 888022574688591872, 'id_str': '888022574688591872', 'indices': [27, 39]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [40, 48]}]",[],en,recent,25728771,25728771,Jake Graving,jgraving,"Konstanz, Baden-Württemberg",Interested in behavior and computation. Currently studying how animals swarm with @icouzin @CollectiveBehav @CBehav https://t.co/PclSjGSM5t,https://t.co/xI3hSVUwp6,"[{'url': 'https://t.co/PclSjGSM5t', 'expanded_url': 'http://deepposekit.org', 'display_url': 'deepposekit.org', 'indices': [116, 139]}]",False,553,411,9,Sat Mar 21 21:06:35 +0000 2009,1055,,,False,False,249,,False,False,False,3F3F3F,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1103693503039721472/cI0EGm8A_normal.jpg,https://pbs.twimg.com/profile_images/1103693503039721472/cI0EGm8A_normal.jpg,https://pbs.twimg.com/profile_banners/25728771/1552123899,1023FA,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/xI3hSVUwp6', 'expanded_url': 'http://jakegraving.com', 'display_url': 'jakegraving.com', 'indices': [0, 23]}]"
26,Sun Jan 19 14:45:57 +0000 2020,1218907451518529536,1218907451518529536,"@KevinZollman @oliverbeige @icouzin, has anyone looked at this system particularly? A nightmare to pull data from...",False,"[27, 116]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1218902752404942849,1218902752404942849,3196161958,3196161958,KevinZollman,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'KevinZollman', 'name': 'Kevin J.S. Zollman', 'id': 3196161958, 'id_str': '3196161958', 'indices': [0, 13]}, {'screen_name': 'oliverbeige', 'name': 'oliver beige', 'id': 888022574688591872, 'id_str': '888022574688591872', 'indices': [14, 26]}, {'screen_name': 'icouzin', 'name': 'Iain Couzin', 'id': 32729442, 'id_str': '32729442', 'indices': [27, 35]}]",[],en,recent,1419907861,1419907861,Joe Bak-Coleman,jbakcoleman,"Princeton, New Jersey","I'm a PhD candidate in EEB at Princeton University, trying to understand how technology influences society. He/Him",https://t.co/pwWSXtTFWF,[],False,416,772,8,Sat May 11 06:03:39 +0000 2013,1079,,,False,False,1269,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1189713537553379328/AgjpMB_X_normal.jpg,https://pbs.twimg.com/profile_images/1189713537553379328/AgjpMB_X_normal.jpg,,424242,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/pwWSXtTFWF', 'expanded_url': 'http://www.joebakcoleman.com', 'display_url': 'joebakcoleman.com', 'indices': [0, 23]}]"
