,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
2,Sat Jan 25 01:10:18 +0000 2020,1220876514021060609,1220876514021060609,@drewmckevitt @UMassBoston not sure you would know how to spend that 500K in the proper fashion,False,"[27, 95]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2208759144913715e+18,1220875914491371520,234977061.0,234977061,drewmckevitt,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'drewmckevitt', 'name': 'Drew McKevitt', 'id': 234977061, 'id_str': '234977061', 'indices': [0, 13]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [14, 26]}]",[],en,recent,800533160488357889,800533160488357889,From Manson to Son of Man This Holiday Season!,melnickjeffrey1,"Boston, MA","Charles Manson's Creepy Crawl ('19)
@UMassBostonAMST  #twitterstorians @fsu_umb
“Able to disrespect you with the most educated of words”",https://t.co/UPMD3Z16Lz,[],False,1647,2577,17,Mon Nov 21 02:55:53 +0000 2016,39260,,,False,False,13287,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213310410008514562/uJMIDqVC_normal.jpg,https://pbs.twimg.com/profile_images/1213310410008514562/uJMIDqVC_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/UPMD3Z16Lz', 'expanded_url': 'https://bit.ly/2Mvoq57', 'display_url': 'bit.ly/2Mvoq57', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/800533160488357889/1480637319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fri Jan 24 16:26:19 +0000 2020,1220744651856121856,1220744651856121856,"@Cassie_Boness @sw4618 Here's a few more!

@UMassBoston Rhiana Wegner
@UW Cynthia Stappenbeck
[@]University of Wisconsin-Milwaukee Ryan Shorey",False,"[23, 142]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205351788603433e+18,1220535178860343297,7.798084981587395e+17,779808498158739456,Cassie_Boness,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [0, 14]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [15, 22]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [43, 55]}, {'screen_name': 'UW', 'name': 'University of Washington', 'id': 27103822, 'id_str': '27103822', 'indices': [70, 73]}]",[],en,recent,1355703662,1355703662,Liana Hone,LianaSEHone,"Buffalo, NY","@NIH Postdoc/Research Assistant Professor of Psychology @UB_RIA, formerly @Mizzou. Alumna of @UCSantaBarbara & @UnivMiami. Tweets are my own, typos are not.",http://t.co/Kp32KtpAex,[],False,253,485,2,Tue Apr 16 00:48:18 +0000 2013,1400,,,True,False,381,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'http://t.co/Kp32KtpAex', 'expanded_url': 'http://www.lianasehone.com', 'display_url': 'lianasehone.com', 'indices': [0, 22]}]",https://pbs.twimg.com/profile_banners/1355703662/1565655325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 13:56:52 +0000 2020,1220707040445829121,1220707040445829121,"@PixScienceCo Biology 111 and 112. Apart from meeting my husband, Brian White @UMassBoston is a fantastic teacher. He taught us the core principals of biology so beautifully.",False,"[14, 174]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220704892647592e+18,1220704892647591936,495343686.0,495343686,PixScienceCo,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'PixScienceCo', 'name': 'Syd 🔬🎨🧬', 'id': 495343686, 'id_str': '495343686', 'indices': [0, 13]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [78, 90]}]",[],en,recent,760787055936933889,760787055936933889,Scientist in Make-up,OliviakUmana,Nipmuc Land,"Ph.D candidate in Immunology

Merging 🔬💄
Salvadoreña & Bostonian!  🇸🇻 
She/Her Married 
#TeamPREP #TeamIMSD
@scientistinmakeup (IG)",,[],False,2220,1041,11,Wed Aug 03 10:39:03 +0000 2016,63515,,,True,False,22606,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1218017846225264640/SecdlEQJ_normal.jpg,https://pbs.twimg.com/profile_images/1218017846225264640/SecdlEQJ_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/760787055936933889/1569111169,28db2dbc4240f0b2,https://api.twitter.com/1.1/geo/id/28db2dbc4240f0b2.json,city,Worcester,"Worcester, MA",US,United States,[],Polygon,"[[[-71.893265, 42.210065], [-71.731611, 42.210065], [-71.731611, 42.341455], [-71.893265, 42.341455]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Thu Jan 23 18:01:43 +0000 2020,1220406268059422721,1220406268059422721,RT @PoliSciUMB: PoliSci @UMassBoston alum alert:  Jacob de Blecourt is now Director of Public Policy for City Councilor @juliaforboston.  I…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'PoliSciUMB', 'name': 'Polisci UMB', 'id': 876956929, 'id_str': '876956929', 'indices': [3, 14]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [24, 36]}, {'screen_name': 'juliaforboston', 'name': 'Julia Mejia', 'id': 1075095800827527168, 'id_str': '1075095800827527168', 'indices': [120, 135]}]",[],en,recent,404941821,404941821,Maurice Cunningham,MassPolProfMo,"Cambridge, MA","PolSci UMassBoston, contributor MassPoliticsProfs blog",,[],False,2513,2216,72,Fri Nov 04 16:37:21 +0000 2011,5901,,,True,False,17224,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1628909244/Cunningham_Maurice_20headshotCROP_normal.jpg,https://pbs.twimg.com/profile_images/1628909244/Cunningham_Maurice_20headshotCROP_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/404941821/1540656052,,,,,,,,,,,Thu Jan 23 17:56:37 +0000 2020,1.2204049881423913e+18,1220404988142391301,"PoliSci @UMassBoston alum alert:  Jacob de Blecourt is now Director of Public Policy for City Councilor @juliaforboston.  It all started from a classroom visit &amp; campaign internship.  Congrats Jacob and thanks Councilor! 

Let us help you get the foot in the door.",False,"[0, 268]",[],[],"[{'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [8, 20]}, {'screen_name': 'juliaforboston', 'name': 'Julia Mejia', 'id': 1075095800827527168, 'id_str': '1075095800827527168', 'indices': [104, 119]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,876956929.0,876956929,Polisci UMB,PoliSciUMB,"Boston, MA",,http://t.co/eoz6mYmUOk,"[{'url': 'http://t.co/eoz6mYmUOk', 'expanded_url': 'http://www.umb.edu/academics/cla/polisci', 'display_url': 'umb.edu/academics/cla/…', 'indices': [0, 22]}]",[],False,461.0,307.0,18.0,Sat Oct 13 03:13:13 +0000 2012,564.0,,,True,False,2118.0,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/2711069562/f751529e18d754e7a44572a006d1db3e_normal.jpeg,https://pbs.twimg.com/profile_images/2711069562/f751529e18d754e7a44572a006d1db3e_normal.jpeg,https://pbs.twimg.com/profile_banners/876956929/1350101635,1F98C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,,,,,False,2.0,10.0,False,False,en
21,Thu Jan 23 17:57:59 +0000 2020,1220405332108812288,1220405332108812288,RT @PoliSciUMB: PoliSci @UMassBoston alum alert:  Jacob de Blecourt is now Director of Public Policy for City Councilor @juliaforboston.  I…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'PoliSciUMB', 'name': 'Polisci UMB', 'id': 876956929, 'id_str': '876956929', 'indices': [3, 14]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [24, 36]}, {'screen_name': 'juliaforboston', 'name': 'Julia Mejia', 'id': 1075095800827527168, 'id_str': '1075095800827527168', 'indices': [120, 135]}]",[],en,recent,2914288013,2914288013,Luis Jiménez,UMBLuis,"Boston, MA","Associate Prof. of Political Science at @umassboston. -Latin American Politics/Immigration/Mexican Politics/US-Lat. Am. Relations - 
Tapatío and @chivas fan.",,[],False,583,908,18,Wed Dec 10 19:50:37 +0000 2014,7784,,,False,False,6114,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1023994921777123328/B9nqgjgz_normal.jpg,https://pbs.twimg.com/profile_images/1023994921777123328/B9nqgjgz_normal.jpg,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/2914288013/1568462033,,,,,,,,,,,Thu Jan 23 17:56:37 +0000 2020,1.2204049881423913e+18,1220404988142391301,"PoliSci @UMassBoston alum alert:  Jacob de Blecourt is now Director of Public Policy for City Councilor @juliaforboston.  It all started from a classroom visit &amp; campaign internship.  Congrats Jacob and thanks Councilor! 

Let us help you get the foot in the door.",False,"[0, 268]",[],[],"[{'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [8, 20]}, {'screen_name': 'juliaforboston', 'name': 'Julia Mejia', 'id': 1075095800827527168, 'id_str': '1075095800827527168', 'indices': [104, 119]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,876956929.0,876956929,Polisci UMB,PoliSciUMB,"Boston, MA",,http://t.co/eoz6mYmUOk,"[{'url': 'http://t.co/eoz6mYmUOk', 'expanded_url': 'http://www.umb.edu/academics/cla/polisci', 'display_url': 'umb.edu/academics/cla/…', 'indices': [0, 22]}]",[],False,461.0,307.0,18.0,Sat Oct 13 03:13:13 +0000 2012,564.0,,,True,False,2118.0,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/2711069562/f751529e18d754e7a44572a006d1db3e_normal.jpeg,https://pbs.twimg.com/profile_images/2711069562/f751529e18d754e7a44572a006d1db3e_normal.jpeg,https://pbs.twimg.com/profile_banners/876956929/1350101635,1F98C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,,,,,False,2.0,10.0,False,False,en
31,Thu Jan 23 03:16:12 +0000 2020,1220183423920173056,1220183423920173056,@GoalPeace @UMassBoston @McCormackGrad @FulbrightPrgrm Thank you very much Eben for reading and sharing it.,False,"[55, 107]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200873760489882e+18,1220087376048988170,431196036.0,431196036,GoalPeace,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'GoalPeace', 'name': 'Eben Weitzman', 'id': 431196036, 'id_str': '431196036', 'indices': [0, 10]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [11, 23]}, {'screen_name': 'McCormackGrad', 'name': 'McCormackGradSchool', 'id': 1595924671, 'id_str': '1595924671', 'indices': [24, 38]}, {'screen_name': 'FulbrightPrgrm', 'name': 'The Fulbright Program', 'id': 48788647, 'id_str': '48788647', 'indices': [39, 54]}]",[],en,recent,335124708,335124708,Jumakhan Rahyab,jumakhanrahyab,"Massachusetts, USA",#Fulbright Recipient @UMassBoston; co-trnsltd: China in the 21st Century; Frlns Trnsltr; ECSLs2017 @counterpartint; YLF 2017/18 @FESKabul,,[],False,452,723,3,Thu Jul 14 05:41:26 +0000 2011,1225,,,True,False,705,,False,False,False,B2DFDA,http://abs.twimg.com/images/themes/theme13/bg.gif,https://abs.twimg.com/images/themes/theme13/bg.gif,False,http://pbs.twimg.com/profile_images/1123595154596802560/nIMpvu0p_normal.jpg,https://pbs.twimg.com/profile_images/1123595154596802560/nIMpvu0p_normal.jpg,93A644,EEEEEE,FFFFFF,333333,True,True,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/335124708/1491969595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Wed Jan 22 03:07:54 +0000 2020,1219818944170774530,1219818944170774530,RT @PoliSciUMB: Looking for a superb internship experience with a new Councilor who visited @UMassBoston BEFORE she ran?  And has hired her…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'PoliSciUMB', 'name': 'Polisci UMB', 'id': 876956929, 'id_str': '876956929', 'indices': [3, 14]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [92, 104]}]",[],en,recent,2914288013,2914288013,Luis Jiménez,UMBLuis,"Boston, MA","Associate Prof. of Political Science at @umassboston. -Latin American Politics/Immigration/Mexican Politics/US-Lat. Am. Relations - 
Tapatío and @chivas fan.",,[],False,583,908,18,Wed Dec 10 19:50:37 +0000 2014,7784,,,False,False,6114,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1023994921777123328/B9nqgjgz_normal.jpg,https://pbs.twimg.com/profile_images/1023994921777123328/B9nqgjgz_normal.jpg,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,,https://pbs.twimg.com/profile_banners/2914288013/1568462033,,,,,,,,,,,Wed Jan 22 03:04:44 +0000 2020,1.2198181482554778e+18,1219818148255477760,Looking for a superb internship experience with a new Councilor who visited @UMassBoston BEFORE she ran?  And has hired her former UMB intern?  Apply w @juliaforboston.  See Dr. O'Brien for more info.,False,"[0, 200]",[],[],"[{'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [76, 88]}, {'screen_name': 'juliaforboston', 'name': 'Julia Mejia', 'id': 1075095800827527168, 'id_str': '1075095800827527168', 'indices': [152, 167]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,876956929.0,876956929,Polisci UMB,PoliSciUMB,"Boston, MA",,http://t.co/eoz6mYmUOk,"[{'url': 'http://t.co/eoz6mYmUOk', 'expanded_url': 'http://www.umb.edu/academics/cla/polisci', 'display_url': 'umb.edu/academics/cla/…', 'indices': [0, 22]}]",[],False,461.0,307.0,18.0,Sat Oct 13 03:13:13 +0000 2012,564.0,,,True,False,2118.0,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/2711069562/f751529e18d754e7a44572a006d1db3e_normal.jpeg,https://pbs.twimg.com/profile_images/2711069562/f751529e18d754e7a44572a006d1db3e_normal.jpeg,https://pbs.twimg.com/profile_banners/876956929/1350101635,1F98C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,,,,,False,3.0,11.0,False,False,en
83,Wed Jan 22 00:41:24 +0000 2020,1219782077161312256,1219782077161312256,@athay20m @JenniferNassour @UMassBoston Invited Julia Meija too.  She spoke last year.,False,"[40, 86]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197730684255314e+18,1219773068425531392,211637915.0,211637915,athay20m,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'athay20m', 'name': 'Maria', 'id': 211637915, 'id_str': '211637915', 'indices': [0, 9]}, {'screen_name': 'JenniferNassour', 'name': 'Jennifer Nassour', 'id': 19778061, 'id_str': '19778061', 'indices': [10, 26]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [27, 39]}]",[],en,recent,489979232,489979232,Erin O'Brien,Prof_EOB,"Boston, MA","Assoc Prof @PoliSciUMB, jack catholic, Bostonian w Buckeye flair, @MassPoliProfs, blue circle check, The View awaiting, two spaces after a period 4 life.",https://t.co/PXLNXhQd0M,[],False,1437,981,74,Sun Feb 12 03:17:27 +0000 2012,15650,,,True,False,17789,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221281947395280896/dsFmKKIa_normal.jpg,https://pbs.twimg.com/profile_images/1221281947395280896/dsFmKKIa_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/PXLNXhQd0M', 'expanded_url': 'http://www.umb.edu/academics/cla/faculty/erin_obrien', 'display_url': 'umb.edu/academics/cla/…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/489979232/1580011689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Wed Jan 22 00:40:51 +0000 2020,1219781939583946756,1219781939583946756,"@athay20m @JenniferNassour @UMassBoston You can definitely come.  If Jennifer can do it, I'll let you know the date.",False,"[40, 116]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197730684255314e+18,1219773068425531392,211637915.0,211637915,athay20m,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'athay20m', 'name': 'Maria', 'id': 211637915, 'id_str': '211637915', 'indices': [0, 9]}, {'screen_name': 'JenniferNassour', 'name': 'Jennifer Nassour', 'id': 19778061, 'id_str': '19778061', 'indices': [10, 26]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [27, 39]}]",[],en,recent,489979232,489979232,Erin O'Brien,Prof_EOB,"Boston, MA","Assoc Prof @PoliSciUMB, jack catholic, Bostonian w Buckeye flair, @MassPoliProfs, blue circle check, The View awaiting, two spaces after a period 4 life.",https://t.co/PXLNXhQd0M,[],False,1437,981,74,Sun Feb 12 03:17:27 +0000 2012,15650,,,True,False,17789,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221281947395280896/dsFmKKIa_normal.jpg,https://pbs.twimg.com/profile_images/1221281947395280896/dsFmKKIa_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/PXLNXhQd0M', 'expanded_url': 'http://www.umb.edu/academics/cla/faculty/erin_obrien', 'display_url': 'umb.edu/academics/cla/…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/489979232/1580011689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Wed Jan 22 00:05:36 +0000 2020,1219773068425531392,1219773068425531392,@Prof_EOB @JenniferNassour @UMassBoston Can I attend on March 3 please? Very in interested this topic.,False,"[40, 102]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197564808088494e+18,1219756480808849414,489979232.0,489979232,Prof_EOB,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Prof_EOB', 'name': ""Erin O'Brien"", 'id': 489979232, 'id_str': '489979232', 'indices': [0, 9]}, {'screen_name': 'JenniferNassour', 'name': 'Jennifer Nassour', 'id': 19778061, 'id_str': '19778061', 'indices': [10, 26]}, {'screen_name': 'UMassBoston', 'name': 'UMass Boston', 'id': 17194573, 'id_str': '17194573', 'indices': [27, 39]}]",[],en,recent,211637915,211637915,Maria,athay20m,"Boston, MA",Ph.D. candidate @UMass | @AU_SPA alum | @mtholyoke alum | Latina | I do research on climate change comms & policy | Love all things 🎬 & ⚽️ | retweets ≠ end.,https://t.co/DrdTxgGTzA,[],False,90,802,1,Wed Nov 03 20:45:18 +0000 2010,11899,,,True,False,166,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1086073915540045825/ool1AGc-_normal.jpg,https://pbs.twimg.com/profile_images/1086073915540045825/ool1AGc-_normal.jpg,19CF86,A8C7F7,C0DFEC,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/DrdTxgGTzA', 'expanded_url': 'https://linkkle.com/Athay20m', 'display_url': 'linkkle.com/Athay20m', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/211637915/1531875795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
