,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
7,Fri Jan 24 22:30:10 +0000 2020,1220836214791720963,1220836214791720963,Patiently Waiting On @uofmemphis To Accept Me😩,False,"[0, 46]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [21, 32]}]",[],en,recent,1080020945891409920,1080020945891409920,Khris🍃,_MikeyyyyD,"Memphis, TN 📍",21🥳 🔱 Trezevant High Alum 16’🐻 TSU Fall 16🐯 UofM 22💙,,[],False,56,158,0,Tue Jan 01 08:40:34 +0000 2019,775,,,True,False,1146,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1221049680458670083/GVVZJ3uA_normal.jpg,https://pbs.twimg.com/profile_images/1221049680458670083/GVVZJ3uA_normal.jpg,https://pbs.twimg.com/profile_banners/1080020945891409920/1577118412,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,f995a9bd45d4a867,https://api.twitter.com/1.1/geo/id/f995a9bd45d4a867.json,city,Memphis,"Memphis, TN",US,United States,[],Polygon,"[[[-90.135782, 34.994192], [-89.708276, 34.994192], [-89.708276, 35.2728491], [-90.135782, 35.2728491]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fri Jan 24 18:39:09 +0000 2020,1220778078886076416,1220778078886076416,@SCSSuptRay @clue901 @TheOrpheumTN @SCSK12Unified @uofmemphis My nephew was there last night! He was very excited to take part.,False,"[62, 127]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205842085376614e+18,1220584208537661441,1.0862807497440461e+18,1086280749744046080,SCSSuptRay,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'SCSSuptRay', 'name': 'Dr. Joris M. Ray', 'id': 1086280749744046080, 'id_str': '1086280749744046080', 'indices': [0, 11]}, {'screen_name': 'clue901', 'name': 'SCS CLUE', 'id': 1022889306686455808, 'id_str': '1022889306686455808', 'indices': [12, 20]}, {'screen_name': 'TheOrpheumTN', 'name': 'Orpheum Theatre', 'id': 26810777, 'id_str': '26810777', 'indices': [21, 34]}, {'screen_name': 'SCSK12Unified', 'name': 'Shelby Co. Schools', 'id': 1360307114, 'id_str': '1360307114', 'indices': [35, 49]}, {'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [50, 61]}]",[],en,recent,1007241003634393089,1007241003634393089,Keilani M. Goggins,keilanigoggins,,"Associate Director, @NCTR. 901 raised. UTK. TSU. @trevecca Ed.D student. #MosaicFellow. 1908. Optimist. She/Her. I like to know all the things. Views = mine.",,[],False,389,513,1,Thu Jun 14 12:39:03 +0000 2018,3947,,,False,False,715,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1007241754595155968/1UP1a8B0_normal.jpg,https://pbs.twimg.com/profile_images/1007241754595155968/1UP1a8B0_normal.jpg,https://pbs.twimg.com/profile_banners/1007241003634393089/1547216710,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fri Jan 24 01:22:15 +0000 2020,1220517135333699584,1220517135333699584,I enjoyed teaching DesignThinking for about 20 Shelby County educators for the Innovations in STEM Workshop Series  @WestTNSTEMHub @FedexInstitute @uofmemphis  @theTSIN today! It was great to help educators create the innovators of the future.,False,"[0, 243]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,6,False,False,en,[],[],"[{'screen_name': 'WestTNSTEMHub', 'name': 'West TN STEM Hub', 'id': 1173226759, 'id_str': '1173226759', 'indices': [116, 130]}, {'screen_name': 'FedexInstitute', 'name': 'FedEx Institute of Technology', 'id': 3122227685, 'id_str': '3122227685', 'indices': [131, 146]}, {'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [147, 158]}, {'screen_name': 'theTSIN', 'name': 'Tennessee STEM', 'id': 602905534, 'id_str': '602905534', 'indices': [160, 168]}]",[],en,recent,983798130373283840,983798130373283840,Nikki Wallace,nwallacecxh,"Memphis, TN","Educator, Researcher, Speaker, and Lover of all things Science!!! Innovating and Solving Local Problems in the Biological Classroom",,[],False,104,389,1,Tue Apr 10 20:05:27 +0000 2018,542,,,False,False,155,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1216203033094361088/7EGXcieV_normal.jpg,https://pbs.twimg.com/profile_images/1216203033094361088/7EGXcieV_normal.jpg,https://pbs.twimg.com/profile_banners/983798130373283840/1578182289,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Wed Jan 22 16:44:52 +0000 2020,1220024540786495488,1220024540786495488,"@reggiehoward Nah! You’re a professional! 

Amateurs tap out often &amp; early.
Professionals show up to play for the long haul. 

@uofmemphis is blessed to have you there for students! #AMAvPRo #HigherEd",False,"[14, 204]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197997003097743e+18,1219799700309774336,335116406.0,335116406,reggiehoward,,,,,False,0,0,False,False,en,"[{'text': 'AMAvPRo', 'indices': [186, 194]}, {'text': 'HigherEd', 'indices': [195, 204]}]",[],"[{'screen_name': 'reggiehoward', 'name': 'Reggie Howard', 'id': 335116406, 'id_str': '335116406', 'indices': [0, 13]}, {'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [131, 142]}]",[],en,recent,17346893,17346893,Anthony J. D'Angelo (Tony),TonyDAngelo,"College Hill, Easton, PA","https://t.co/QAbAItafIY Founder | Educational Producer & Publisher | Serving #HigherEd Since 1995 | +2M Students & 50K HE Pros from +2,800 #Colleges",https://t.co/9YbUOdKQaB,"[{'url': 'https://t.co/QAbAItafIY', 'expanded_url': 'http://Collegiate-Empowerment.org', 'display_url': 'Collegiate-Empowerment.org', 'indices': [0, 23]}]",False,850,2224,30,Wed Nov 12 19:48:40 +0000 2008,8649,,,False,False,3295,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/990617074866237440/RL180RCQ_normal.jpg,https://pbs.twimg.com/profile_images/990617074866237440/RL180RCQ_normal.jpg,https://pbs.twimg.com/profile_banners/17346893/1577787470,EB0E4C,FFFFFF,252429,666666,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/9YbUOdKQaB', 'expanded_url': 'http://ceshow.libsyn.com/', 'display_url': 'ceshow.libsyn.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Wed Jan 22 00:39:54 +0000 2020,1219781700487610369,1219781700487610369,"RT @uofmemphis: Welcome back Tigers! 🎉🐯💙

#GoTigersGo",False,"[0, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,8,0,False,False,en,"[{'text': 'GoTigersGo', 'indices': [42, 53]}]",[],"[{'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [3, 14]}]",[],en,recent,950147830815035392,950147830815035392,Shareese Woods,shareese_woods,"Memphis, TN","Assistant Track and Field Coach at the University of Memphis, USATF Level II Certified, NASM Certified, 6 USATF Teams, 2x WIC Bronze Medalist",https://t.co/urdGsieSkU,[],False,432,1514,0,Sun Jan 07 23:31:10 +0000 2018,289,,,True,False,493,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1166858943659827200/vWyaw_Dy_normal.jpg,https://pbs.twimg.com/profile_images/1166858943659827200/vWyaw_Dy_normal.jpg,https://pbs.twimg.com/profile_banners/950147830815035392/1569714881,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/urdGsieSkU', 'expanded_url': 'https://gotigersgo.com/archives.aspx?path=mtrack', 'display_url': 'gotigersgo.com/archives.aspx?…', 'indices': [0, 23]}]",,,,,,,,,,,Tue Jan 21 15:46:22 +0000 2020,1.2196474326545572e+18,1219647432654557185,"Welcome back Tigers! 🎉🐯💙

#GoTigersGo",False,"[0, 37]","[{'text': 'GoTigersGo', 'indices': [26, 37]}]",[],[],[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,44636875.0,44636875,University of Memphis,uofmemphis,"Memphis, TN",Official Twitter account of the University of Memphis. #DrivenByDoing #GoTigersGo #GTG,https://t.co/yTlnpSp5so,[],False,58513.0,4279.0,347.0,Thu Jun 04 15:13:27 +0000 2009,5404.0,,,True,True,6770.0,,False,False,False,00247E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1014233012043730944/5rNckQRL_normal.jpg,https://pbs.twimg.com/profile_images/1014233012043730944/5rNckQRL_normal.jpg,https://pbs.twimg.com/profile_banners/44636875/1570741249,004891,000000,9A9E98,383738,False,True,False,False,False,False,False,none,,,,,False,8.0,56.0,False,False,en,"[{'url': 'https://t.co/yTlnpSp5so', 'expanded_url': 'https://www.memphis.edu', 'display_url': 'memphis.edu', 'indices': [0, 23]}]",f995a9bd45d4a867,https://api.twitter.com/1.1/geo/id/f995a9bd45d4a867.json,city,Memphis,"Memphis, TN",US,United States,[],Polygon,"[[[-90.135782, 34.994192], [-89.708276, 34.994192], [-89.708276, 35.2728491], [-90.135782, 35.2728491]]]"
24,Tue Jan 21 19:58:56 +0000 2020,1219710992449527808,1219710992449527808,So... Just tried SMOKED the new BBQ place in the UC at @uofmemphis and I have to say it didn't disappoint the BBQ was tasty and the sides were great too. Gotta hand it to @UofMemphisPres for a great pick and risking a bit for a BBQ Place at the University.,False,"[0, 256]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,15,False,False,en,[],[],"[{'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [55, 66]}, {'screen_name': 'UofMemphisPres', 'name': 'Dr. M. David Rudd', 'id': 2617617793, 'id_str': '2617617793', 'indices': [171, 186]}]",[],en,recent,955840782,955840782,Brian👨‍🔬,Brian___LP,"Memphis, TN","Masters student at the University of Memphis, Tiger's football/basketball fan. Studying biochemistry.",,[],False,41,232,0,Sun Nov 18 17:04:13 +0000 2012,1737,,,False,False,488,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/665643760877854720/Xy__oZkJ_normal.jpg,https://pbs.twimg.com/profile_images/665643760877854720/Xy__oZkJ_normal.jpg,https://pbs.twimg.com/profile_banners/955840782/1447536834,4A913C,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tue Jan 21 19:08:58 +0000 2020,1219698418534232064,1219698418534232064,Debating whether or not I should offer scholarship stipend at the @uofmemphis to get with someone at the Fogelmane college to handle my digital marketing. Select 5 students only two can win to see who can run the best marketing campaign.,False,"[0, 237]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [66, 77]}]",[],en,recent,2508314172,2508314172,Clarence Dickson,Clayd28,,"The Best Realtor in The Mid-South. License in TN & MS ccdicksn@gmail.com U of M alumni, Multi Million Dollar Club Member",,[],False,393,496,16,Mon May 19 20:08:12 +0000 2014,66091,,,True,False,28912,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1158570964420124676/5VgUBNyn_normal.jpg,https://pbs.twimg.com/profile_images/1158570964420124676/5VgUBNyn_normal.jpg,https://pbs.twimg.com/profile_banners/2508314172/1546698988,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tue Jan 21 18:24:34 +0000 2020,1219687244161847297,1219687244161847297,"RT @uofmemphis: Welcome back Tigers! 🎉🐯💙

#GoTigersGo",False,"[0, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,8,0,False,False,en,"[{'text': 'GoTigersGo', 'indices': [42, 53]}]",[],"[{'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [3, 14]}]",[],en,recent,943164778675146754,943164778675146754,therealjordannnn🥀,thej_alexandra,"Memphis, TN",I. AM.HER •an unapologetic Christian Black Woman• University of Memphis broadcast journalism •I am a writer• Shumpert-Ray,https://t.co/31ZE5Awo6s,[],False,812,1032,1,Tue Dec 19 17:03:01 +0000 2017,11405,,,True,False,7708,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1211703555054342144/cHI6Y95E_normal.jpg,https://pbs.twimg.com/profile_images/1211703555054342144/cHI6Y95E_normal.jpg,https://pbs.twimg.com/profile_banners/943164778675146754/1571502633,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/31ZE5Awo6s', 'expanded_url': 'http://blogwithjai.com', 'display_url': 'blogwithjai.com', 'indices': [0, 23]}]",,,,,,,,,,,Tue Jan 21 15:46:22 +0000 2020,1.2196474326545572e+18,1219647432654557185,"Welcome back Tigers! 🎉🐯💙

#GoTigersGo",False,"[0, 37]","[{'text': 'GoTigersGo', 'indices': [26, 37]}]",[],[],[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,44636875.0,44636875,University of Memphis,uofmemphis,"Memphis, TN",Official Twitter account of the University of Memphis. #DrivenByDoing #GoTigersGo #GTG,https://t.co/yTlnpSp5so,[],False,58513.0,4279.0,347.0,Thu Jun 04 15:13:27 +0000 2009,5404.0,,,True,True,6770.0,,False,False,False,00247E,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1014233012043730944/5rNckQRL_normal.jpg,https://pbs.twimg.com/profile_images/1014233012043730944/5rNckQRL_normal.jpg,https://pbs.twimg.com/profile_banners/44636875/1570741249,004891,000000,9A9E98,383738,False,True,False,False,False,False,False,none,,,,,False,8.0,56.0,False,False,en,"[{'url': 'https://t.co/yTlnpSp5so', 'expanded_url': 'https://www.memphis.edu', 'display_url': 'memphis.edu', 'indices': [0, 23]}]",f995a9bd45d4a867,https://api.twitter.com/1.1/geo/id/f995a9bd45d4a867.json,city,Memphis,"Memphis, TN",US,United States,[],Polygon,"[[[-90.135782, 34.994192], [-89.708276, 34.994192], [-89.708276, 35.2728491], [-90.135782, 35.2728491]]]"
34,Tue Jan 21 02:30:37 +0000 2020,1219447177153564673,1219447177153564673,"@TSN_Memphis @uofmemphis I am way too old, but what is a “property assistant” position exactly? #curious",False,"[25, 104]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194277800075387e+18,1219427780007538689,199967288.0,199967288,TSN_Memphis,,,,,False,0,0,False,False,en,"[{'text': 'curious', 'indices': [96, 104]}]",[],"[{'screen_name': 'TSN_Memphis', 'name': 'Tiger Sports Network', 'id': 199967288, 'id_str': '199967288', 'indices': [0, 12]}, {'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [13, 24]}]",[],en,recent,115495908,115495908,Sandy Adams,sandyadams_co,"Houston, TX","Photographer, social media brand strategist, traveler, educator, podcaster, Tennessee born & bred, basketball obsessed #GoTigersGo #MemphisAlumX2 #grizzlies",https://t.co/4mk9rTV0ae,[],False,360,1460,22,Thu Feb 18 21:06:24 +0000 2010,8911,,,True,False,7203,,False,False,False,BADFCD,http://abs.twimg.com/images/themes/theme12/bg.gif,https://abs.twimg.com/images/themes/theme12/bg.gif,True,http://pbs.twimg.com/profile_images/1037832338070110208/7LBg56Tb_normal.jpg,https://pbs.twimg.com/profile_images/1037832338070110208/7LBg56Tb_normal.jpg,https://pbs.twimg.com/profile_banners/115495908/1536273532,1B95E0,F2E195,FFF7CC,0C3E53,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/4mk9rTV0ae', 'expanded_url': 'http://sandy-adams.com', 'display_url': 'sandy-adams.com', 'indices': [0, 23]}]",6dd590c61801b09c,https://api.twitter.com/1.1/geo/id/6dd590c61801b09c.json,city,Friendswood,"Friendswood, TX",US,United States,[],Polygon,"[[[-95.233093, 29.460644], [-95.145844, 29.460644], [-95.145844, 29.563312], [-95.233093, 29.563312]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mon Jan 20 16:18:37 +0000 2020,1219293160595165186,1219293160595165186,@uofmemphis Dr. Rudd and Dr. West are the best. 💙,False,"[12, 49]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2192877910681764e+18,1219287791068176393,44636875.0,44636875,uofmemphis,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'uofmemphis', 'name': 'University of Memphis', 'id': 44636875, 'id_str': '44636875', 'indices': [0, 11]}]",[],en,recent,3196802875,3196802875,The Oil Derrick,daoilderrick,"Memphis, TN",College/AAU hoops enthusiast. University of Memphis Tigers alumnus and Grizz fan. Memphis is the mecca of basketball. All 💙 in Hoop City. #GTG #GNG #WeBelieve,,[],False,699,104,9,Fri May 15 23:45:45 +0000 2015,39506,,,True,False,11675,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1068387765321170944/lu6QlCfR_normal.jpg,https://pbs.twimg.com/profile_images/1068387765321170944/lu6QlCfR_normal.jpg,https://pbs.twimg.com/profile_banners/3196802875/1570577361,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
