,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
36,Fri Jan 24 13:01:55 +0000 2020,1220693209942319109,1220693209942319109,"@lung_queen @WeRepSTEM @Hudson_Research @MonashUni @UniversitySA Keep doing what you're doing!

My 31 week 1.1kg firstborn is v happy to have secured #MCR tickets today. Thanks to massive medical help when I developed pre-eclampsia at 28 weeks, almost 19 years ago. 

#STEM saves lives 👩‍🔬😍",False,"[65, 290]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220572427974955e+18,1220572427974955008,804315596.0,804315596,lung_queen,,,,,False,1,2,False,False,en,"[{'text': 'MCR', 'indices': [150, 154]}, {'text': 'STEM', 'indices': [268, 273]}]",[],"[{'screen_name': 'lung_queen', 'name': 'Dr Erin McGillick', 'id': 804315596, 'id_str': '804315596', 'indices': [0, 11]}, {'screen_name': 'WeRepSTEM', 'name': 'WeRepSTEM', 'id': 1145407045002309633, 'id_str': '1145407045002309633', 'indices': [12, 22]}, {'screen_name': 'Hudson_Research', 'name': 'Hudson Institute', 'id': 2547280123, 'id_str': '2547280123', 'indices': [23, 39]}, {'screen_name': 'MonashUni', 'name': 'Monash University', 'id': 15926727, 'id_str': '15926727', 'indices': [40, 50]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [51, 64]}]",[],en,recent,776000743811715072,776000743811715072,Lisa Taylor,ScienceAmbass,Cambridge UK,"She/her. SciCommer, mum of 2 (an undergrad linguist & a teen LARPer), Brown Owl, Ally & environmentalist. Views are entirely my own. 👩‍🔬👅⚔️🦉🏳️‍🌈🌍",,[],False,401,668,7,Wed Sep 14 10:12:49 +0000 2016,5307,,,False,False,2275,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/776004918977101824/IFs0QdNg_normal.jpg,https://pbs.twimg.com/profile_images/776004918977101824/IFs0QdNg_normal.jpg,https://pbs.twimg.com/profile_banners/776000743811715072/1522148647,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Fri Jan 24 08:03:26 +0000 2020,1220618095149977601,1220618095149977601,@Daniel_Irambona @UniversitySA Well done!!,False,"[31, 42]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220616612929106e+18,1220616612929105921,7.122109857010115e+17,712210985701011457,Daniel_Irambona,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Daniel_Irambona', 'name': 'DANIEL IRAMBONA', 'id': 712210985701011457, 'id_str': '712210985701011457', 'indices': [0, 16]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [17, 30]}]",[],en,recent,894855212438913024,894855212438913024,Tania Hall,taniahallPhD,"Adelaide, Kaurna Country","Aboriginal Primary Health, PhD Candidate, Social Worker & Missionary, Academic & Educator, Nations, Researching #disability #grouphome #violence #socialmedia 🥳",https://t.co/DHR8ZS1tr1,[],False,127,292,2,Tue Aug 08 09:38:03 +0000 2017,980,,,False,False,407,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213444823895556096/xCZA8A3F_normal.jpg,https://pbs.twimg.com/profile_images/1213444823895556096/xCZA8A3F_normal.jpg,https://pbs.twimg.com/profile_banners/894855212438913024/1578138643,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/DHR8ZS1tr1', 'expanded_url': 'https://www.linkedin.com/in/tania-hall-5774849b/', 'display_url': 'linkedin.com/in/tania-hall-…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Thu Jan 23 10:37:17 +0000 2020,1220294423021375488,1220294423021375488,@SianWoolcock1 @UniversitySA @Informit_RMIT WHAT?!,False,"[44, 50]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2202942075851735e+18,1220294207585173506,3145726708.0,3145726708,SianWoolcock1,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SianWoolcock1', 'name': 'Sian Woolcock', 'id': 3145726708, 'id_str': '3145726708', 'indices': [0, 14]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [15, 28]}, {'screen_name': 'Informit_RMIT', 'name': 'Informit', 'id': 67248724, 'id_str': '67248724', 'indices': [29, 43]}]",[],en,recent,915873681783504897,915873681783504897,Holly Bowen-Salter🇦🇺🏳️‍🌈,HBSalts,"Adelaide, South Australia","Trauma, Psych, Art Therapy, SAR, Canines. Just a PhD candidate trying to put a lil good back into the world by helping to protect those who protect us. She/Her.",https://t.co/ANGpM0GR0S,[],False,193,421,4,Thu Oct 05 09:37:56 +0000 2017,2365,,,True,False,1177,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/915880894174396416/y0cGDzpj_normal.jpg,https://pbs.twimg.com/profile_images/915880894174396416/y0cGDzpj_normal.jpg,https://pbs.twimg.com/profile_banners/915873681783504897/1559981463,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/ANGpM0GR0S', 'expanded_url': 'http://people.unisa.edu.au/Holly.Bowen', 'display_url': 'people.unisa.edu.au/Holly.Bowen', 'indices': [0, 23]}]",01e8a1a140ccdc5c,https://api.twitter.com/1.1/geo/id/01e8a1a140ccdc5c.json,city,Adelaide,"Adelaide, South Australia",AU,Australia,[],Polygon,"[[[138.44212992, -35.348970061], [138.780189824, -35.348970061], [138.780189824, -34.652564053], [138.44212992, -34.652564053]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Thu Jan 23 08:02:05 +0000 2020,1220255366048407552,1220255366048407552,@tomgoerke @UniversitySA @Startup_WA Great catching you both too..! Interstate Innovation FTW,False,"[37, 93]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2202505726803354e+18,1220250572680335360,31380852.0,31380852,tomgoerke,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'tomgoerke', 'name': 'Tom Goerke', 'id': 31380852, 'id_str': '31380852', 'indices': [0, 10]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [11, 24]}, {'screen_name': 'Startup_WA', 'name': 'StartupWA', 'id': 3380114554, 'id_str': '3380114554', 'indices': [25, 36]}]",[],en,recent,626111072,626111072,Alan Duffy,astroduff,Melbourne,Professor in Astrophysics at @Swinburne and Lead Scientist of @RiAus https://t.co/thGgQtC7Th,https://t.co/Okp7h6kq8u,"[{'url': 'https://t.co/thGgQtC7Th', 'expanded_url': 'http://Instagram.com/profalanduffy', 'display_url': 'Instagram.com/profalanduffy', 'indices': [69, 92]}]",False,21837,3762,392,Wed Jul 04 03:15:58 +0000 2012,10968,,,True,True,19770,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/587479538470227968/TVEBrC8i_normal.jpg,https://pbs.twimg.com/profile_images/587479538470227968/TVEBrC8i_normal.jpg,https://pbs.twimg.com/profile_banners/626111072/1356663598,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/Okp7h6kq8u', 'expanded_url': 'https://riaus.org.au', 'display_url': 'riaus.org.au', 'indices': [0, 23]}]",01864a8a64df9dc4,https://api.twitter.com/1.1/geo/id/01864a8a64df9dc4.json,city,Melbourne,"Melbourne, Victoria",AU,Australia,[],Polygon,"[[[144.593741856, -38.433859306], [145.512528832, -38.433859306], [145.512528832, -37.5112737225], [144.593741856, -37.5112737225]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Thu Jan 23 04:54:59 +0000 2020,1220208282612092928,1220208282612092928,@micro_au @UniSAFII @UniversitySA @sachiefsci Great work by UniSA researchers!,False,"[46, 78]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2198469002259374e+18,1219846900225937408,1445142943.0,1445142943,micro_au,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'micro_au', 'name': 'Microscopy Australia', 'id': 1445142943, 'id_str': '1445142943', 'indices': [0, 9]}, {'screen_name': 'UniSAFII', 'name': 'UniSA FII', 'id': 751276031428878336, 'id_str': '751276031428878336', 'indices': [10, 19]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [20, 33]}, {'screen_name': 'sachiefsci', 'name': 'Chief Scientist for South Australia', 'id': 1068378295916355584, 'id_str': '1068378295916355584', 'indices': [34, 45]}]",[],en,recent,968675964925329408,968675964925329408,Mohammad Sharif Uddin,Uddin788415,"Adelaide, South Australia","Senior Lecturer, School of Engineering, University of South Australia, Adelaide",https://t.co/43hXYYnF2z,[],False,17,44,0,Wed Feb 28 02:35:21 +0000 2018,134,,,False,False,15,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1074565194590744577/seUYtsxt_normal.jpg,https://pbs.twimg.com/profile_images/1074565194590744577/seUYtsxt_normal.jpg,,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/43hXYYnF2z', 'expanded_url': 'http://people.unisa.edu.au/Mohammad.Uddin', 'display_url': 'people.unisa.edu.au/Mohammad.Uddin', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Thu Jan 23 04:41:54 +0000 2020,1220204991425605632,1220204991425605632,@marta_krasowska @SISM_at_UniSA @evilkillerabbit @UniSAFII @UniversitySA @RealTimeChem It looks like it's pretty close to UniSA blue!,False,"[87, 133]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2202046389865882e+18,1220204638986588161,3814682833.0,3814682833,marta_krasowska,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'marta_krasowska', 'name': 'Marta Krasowska', 'id': 3814682833, 'id_str': '3814682833', 'indices': [0, 16]}, {'screen_name': 'SISM_at_UniSA', 'name': 'SISM at UniSA', 'id': 2354719202, 'id_str': '2354719202', 'indices': [17, 31]}, {'screen_name': 'evilkillerabbit', 'name': 'Linda Rozenberga', 'id': 198268888, 'id_str': '198268888', 'indices': [32, 48]}, {'screen_name': 'UniSAFII', 'name': 'UniSA FII', 'id': 751276031428878336, 'id_str': '751276031428878336', 'indices': [49, 58]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [59, 72]}, {'screen_name': 'RealTimeChem', 'name': 'RealTimeChem', 'id': 896057234, 'id_str': '896057234', 'indices': [73, 86]}]",[],en,recent,2675340704,2675340704,Dr Carly,MicrobialMe,Kaurna Land,Grant developer. Radelaidean. Fulbright alumna. Inclusion advocate. Career sponsorship activist. #MentalHealth wrangler. Avid gardener and cook. She/her,,[],False,4588,5006,132,Wed Jul 23 22:42:55 +0000 2014,27082,,,False,False,20464,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220622853856358400/uJXhN3O3_normal.jpg,https://pbs.twimg.com/profile_images/1220622853856358400/uJXhN3O3_normal.jpg,https://pbs.twimg.com/profile_banners/2675340704/1579854480,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Thu Jan 23 01:42:07 +0000 2020,1220159744792391680,1220159744792391680,@harry_sweeny @ridemediaHQ @just_nickwhite @TeamBridgeLane @UniversitySA Great at making the simple things in life look difficult our Noodle,False,"[73, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201592039871652e+18,1220159203987165184,1284978001.0,1284978001,harry_sweeny,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'harry_sweeny', 'name': 'Harry Sweeny', 'id': 1284978001, 'id_str': '1284978001', 'indices': [0, 13]}, {'screen_name': 'ridemediaHQ', 'name': 'RIDE Cycling Media', 'id': 1896413814, 'id_str': '1896413814', 'indices': [14, 26]}, {'screen_name': 'just_nickwhite', 'name': 'Nick White', 'id': 707165029661937664, 'id_str': '707165029661937664', 'indices': [27, 42]}, {'screen_name': 'TeamBridgeLane', 'name': 'Team BridgeLane', 'id': 335847011, 'id_str': '335847011', 'indices': [43, 58]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [59, 72]}]",[],en,recent,555822641,555822641,Cyrus Monk,Cyrus_Monk,"Melbourne, Victoria",23. Cyclist. Coach. Scientist,https://t.co/3Ycd5V7Mef,[],False,647,354,16,Tue Apr 17 09:25:59 +0000 2012,2980,,,True,False,426,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1092767033224159232/HPzekzxN_normal.jpg,https://pbs.twimg.com/profile_images/1092767033224159232/HPzekzxN_normal.jpg,https://pbs.twimg.com/profile_banners/555822641/1519003240,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/3Ycd5V7Mef', 'expanded_url': 'http://cyclistscientist.com', 'display_url': 'cyclistscientist.com', 'indices': [0, 23]}]",01bf641f01d7b2bd,https://api.twitter.com/1.1/geo/id/01bf641f01d7b2bd.json,city,Drouin,"Drouin, Victoria",AU,Australia,[],Polygon,"[[[145.8103408, -38.1565230125], [145.884102112, -38.1565230125], [145.884102112, -38.094319001], [145.8103408, -38.094319001]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Thu Jan 23 00:58:03 +0000 2020,1220148657544024066,1220148657544024066,"@ridemediaHQ @just_nickwhite @TeamBridgeLane @UniversitySA Mechanics, the unsung heroes of cycling. Might want to Glen20 that. Thanks for the bunch POV Nick. 👍🏼",False,"[59, 160]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220144325050286e+18,1220144325050286080,1896413814.0,1896413814,ridemediaHQ,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'ridemediaHQ', 'name': 'RIDE Cycling Media', 'id': 1896413814, 'id_str': '1896413814', 'indices': [0, 12]}, {'screen_name': 'just_nickwhite', 'name': 'Nick White', 'id': 707165029661937664, 'id_str': '707165029661937664', 'indices': [13, 28]}, {'screen_name': 'TeamBridgeLane', 'name': 'Team BridgeLane', 'id': 335847011, 'id_str': '335847011', 'indices': [29, 44]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [45, 58]}]",[],en,recent,237992462,237992462,Belinda,reallyspoketome,🏡 QLD 💙 NSW,"Ex-Physio • Masters student • Bit of a busted spinal cord • All puns intended • 🙏🏼 • Easily entertained by sport, but it’s cycling that (username)•",,[],False,438,696,9,Fri Jan 14 03:23:04 +0000 2011,17484,,,True,False,7344,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/999520463926657025/RRiTovkj_normal.jpg,https://pbs.twimg.com/profile_images/999520463926657025/RRiTovkj_normal.jpg,https://pbs.twimg.com/profile_banners/237992462/1528816323,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Wed Jan 22 21:43:05 +0000 2020,1220099591128932360,1220099591128932360,@UniversitySA @myNSFAS @UNISAPress @unisa Oh my pardon me.,False,"[42, 58]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220099363818627e+18,1220099363818627072,22874758.0,22874758,UniversitySA,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [0, 13]}, {'screen_name': 'myNSFAS', 'name': 'NSFAS', 'id': 386396759, 'id_str': '386396759', 'indices': [14, 22]}, {'screen_name': 'UNISAPress', 'name': 'UNISA Press', 'id': 334222167, 'id_str': '334222167', 'indices': [23, 34]}, {'screen_name': 'unisa', 'name': 'Unisa', 'id': 57277057, 'id_str': '57277057', 'indices': [35, 41]}]",[],en,recent,1071745736247787521,1071745736247787521,Chubbie😍👑❤️🇿🇦,NobantuMadlopha,"Etwatwa, South Africa",UNISA student📚Teacher☺️Gemini♊,,[],False,474,1293,0,Sun Dec 09 12:37:50 +0000 2018,3428,,,False,False,214,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1163046960347197440/EDOWPiVi_normal.jpg,https://pbs.twimg.com/profile_images/1163046960347197440/EDOWPiVi_normal.jpg,https://pbs.twimg.com/profile_banners/1071745736247787521/1546645018,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Wed Jan 22 11:24:20 +0000 2020,1219943876443566087,1219943876443566087,"@Marnie_HW @SianWoolcock1 @beer4_beer @UniversitySA @unisaresearch @LawUniSA I am so excited to have a history/philosophy person on SMG. We have great scientists, but you will add great balance (not that I have any bias as a legal theorist... 😋)",False,"[77, 245]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2199425012067779e+18,1219942501206777858,1945995102.0,1945995102,Marnie_HW,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'Marnie_HW', 'name': 'MarnieHW', 'id': 1945995102, 'id_str': '1945995102', 'indices': [0, 10]}, {'screen_name': 'SianWoolcock1', 'name': 'Sian Woolcock', 'id': 3145726708, 'id_str': '3145726708', 'indices': [11, 25]}, {'screen_name': 'beer4_beer', 'name': 'Andrew Beer', 'id': 746810640, 'id_str': '746810640', 'indices': [26, 37]}, {'screen_name': 'UniversitySA', 'name': 'UniSA', 'id': 22874758, 'id_str': '22874758', 'indices': [38, 51]}, {'screen_name': 'unisaresearch', 'name': 'UniSA Research', 'id': 3233044663, 'id_str': '3233044663', 'indices': [52, 66]}, {'screen_name': 'LawUniSA', 'name': 'UniSA School of Law', 'id': 1169144487924457472, 'id_str': '1169144487924457472', 'indices': [67, 76]}]",[],en,recent,798710322299215872,798710322299215872,Joe McIntyre,Dr_Joe_McIntyre,"Adelaide, South Australia","Senior Lecturer, Law School @UniversitySA  -Judicial Theory | Judges | Courts | Legal Institutions",,[],False,766,628,7,Wed Nov 16 02:12:34 +0000 2016,3436,,,False,False,1587,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/803773879894163456/MKHDAlgX_normal.jpg,https://pbs.twimg.com/profile_images/803773879894163456/MKHDAlgX_normal.jpg,https://pbs.twimg.com/profile_banners/798710322299215872/1480469748,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
