,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
3,Sun Jan 26 01:32:33 +0000 2020,1221244499667509248,1221244499667509248,@MTeesson @TheMatilda_USyd @Sydney_Uni @DeadlyScience Proud ! And proud to come back to @TheMatilda_USyd and yarn with you all about the people I’ve met!.,False,"[54, 154]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212441671430554e+18,1221244167143055361,1177832942.0,1177832942,MTeesson,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'MTeesson', 'name': 'Prof Maree Teesson AC', 'id': 1177832942, 'id_str': '1177832942', 'indices': [0, 9]}, {'screen_name': 'TheMatilda_USyd', 'name': 'The Matilda Centre', 'id': 990035382, 'id_str': '990035382', 'indices': [10, 26]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [27, 38]}, {'screen_name': 'DeadlyScience', 'name': 'DeadlyScience', 'id': 1127358323051749378, 'id_str': '1127358323051749378', 'indices': [39, 53]}, {'screen_name': 'TheMatilda_USyd', 'name': 'The Matilda Centre', 'id': 990035382, 'id_str': '990035382', 'indices': [88, 104]}]",[],en,recent,44106240,44106240,Corey Tutt,corey_tutt,gadigal land,Proud kamilaroi man ❤️💛🖤💪🏽founder of @deadlyscience Research assistant @thematilda_Usyd 2020 young Australian of the year NSW,https://t.co/L6ibRNjtP8,"[{'url': 'https://t.co/L6ibRNjtP8', 'expanded_url': 'http://deadlyscience.icu', 'display_url': 'deadlyscience.icu', 'indices': [0, 23]}]",[],False,2209,2740,21,Tue Jun 02 12:08:15 +0000 2009,3471,,,True,False,10586,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1219205100922535936/LMW7VQpp_normal.jpg,https://pbs.twimg.com/profile_images/1219205100922535936/LMW7VQpp_normal.jpg,https://pbs.twimg.com/profile_banners/44106240/1537787968,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Jan 25 23:36:14 +0000 2020,1221215228379029504,1221215228379029504,@dyana_satya @Sydney_Uni @SBronitt Thank you @dyana_satya!! It’s has been a wonderful experience for all of us!! I wish you many successes!!,False,"[35, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212046487505674e+18,1221204648750567425,9.74425861410603e+17,974425861410603009,dyana_satya,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'dyana_satya', 'name': 'Dyana Freitas', 'id': 974425861410603009, 'id_str': '974425861410603009', 'indices': [0, 12]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [13, 24]}, {'screen_name': 'SBronitt', 'name': 'Simon Bronitt', 'id': 1037190420416147456, 'id_str': '1037190420416147456', 'indices': [25, 34]}, {'screen_name': 'dyana_satya', 'name': 'Dyana Freitas', 'id': 974425861410603009, 'id_str': '974425861410603009', 'indices': [45, 57]}]",[],en,recent,807109232554340352,807109232554340352,David MartinezMartin,David_MM_82,"Sydney, New South Wales",Senior Lecturer in Biomedical Engineering | Physicist | Innovator | Inventor at The University of Sydney,,,[],False,147,198,0,Fri Dec 09 06:26:51 +0000 2016,814,,,True,False,415,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1089144425324920832/9u3Wd8e-_normal.jpg,https://pbs.twimg.com/profile_images/1089144425324920832/9u3Wd8e-_normal.jpg,https://pbs.twimg.com/profile_banners/807109232554340352/1483831867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,01819c2138c4dbe5,https://api.twitter.com/1.1/geo/id/01819c2138c4dbe5.json,city,Bargara - Innes Park,"Bargara - Innes Park, Queensland",AU,Australia,[],Polygon,"[[[152.442292992, -24.8908650235], [152.489706848, -24.8908650235], [152.489706848, -24.8010660605], [152.442292992, -24.8010660605]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 09:24:31 +0000 2020,1221000887818014721,1221000887818014721,@simonahac @zalisteggall @drkerrynphelps @ScottMorrisonMP Cheating pays dividends doesn’t it @Sydney_Uni,False,"[58, 104]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209994932874732e+18,1220999493287473152,8.706292003482747e+17,870629200348274688,simonahac,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'simonahac', 'name': '💧simon holmes à court 🔥', 'id': 870629200348274688, 'id_str': '870629200348274688', 'indices': [0, 10]}, {'screen_name': 'zalisteggall', 'name': '🌏 Zali Steggall MP', 'id': 1089151295397621760, 'id_str': '1089151295397621760', 'indices': [11, 24]}, {'screen_name': 'drkerrynphelps', 'name': 'Prof Kerryn Phelps AM', 'id': 173672963, 'id_str': '173672963', 'indices': [25, 40]}, {'screen_name': 'ScottMorrisonMP', 'name': 'Scott Morrison', 'id': 34116377, 'id_str': '34116377', 'indices': [41, 57]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [93, 104]}]",[],en,recent,958842956,958842956,Miro Jurcevic,mirojurcevic,"Sydney, Australia","Studies @Sydney_Uni ... Cogitátio Scientiam, Researcher, Disability Advocate, Human Rights, Sustainable living, Patient safety, Blockchain, Open Medical API",,,[],False,555,726,7,Mon Nov 19 23:07:41 +0000 2012,547,,,True,False,11780,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2928867327/70b1dcf7f0bcbe8252d2f4a342e89b44_normal.jpeg,https://pbs.twimg.com/profile_images/2928867327/70b1dcf7f0bcbe8252d2f4a342e89b44_normal.jpeg,https://pbs.twimg.com/profile_banners/958842956/1363223027,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 01:22:47 +0000 2020,1220879655181287425,1220879655181287425,@David_MM_82 @SydneyLawSchool @hj_gallagher @zoe_brereton @Sydney_Uni @Eng_IT_Sydney We need to work on synchronization. Someone needs to invent an app!,False,"[85, 152]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220846629810344e+18,1220846629810343937,8.071092325543404e+17,807109232554340352,David_MM_82,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'David_MM_82', 'name': 'David MartinezMartin', 'id': 807109232554340352, 'id_str': '807109232554340352', 'indices': [0, 12]}, {'screen_name': 'SydneyLawSchool', 'name': 'Sydney Law School', 'id': 45711786, 'id_str': '45711786', 'indices': [13, 29]}, {'screen_name': 'hj_gallagher', 'name': 'Henry Gallagher', 'id': 4100687593, 'id_str': '4100687593', 'indices': [30, 43]}, {'screen_name': 'zoe_brereton', 'name': 'ZoeGBrereton', 'id': 1196268197634174979, 'id_str': '1196268197634174979', 'indices': [44, 57]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [58, 69]}, {'screen_name': 'Eng_IT_Sydney', 'name': 'Engineering Sydney Uni', 'id': 205167120, 'id_str': '205167120', 'indices': [70, 84]}]",[],en,recent,1037190420416147456,1037190420416147456,Simon Bronitt,SBronitt,"Sydney, New South Wales",Head and Dean of University of Sydney Law School,https://t.co/MW8CeHqYps,"[{'url': 'https://t.co/MW8CeHqYps', 'expanded_url': 'https://sydney.edu.au/law/about/people/profiles/simon.bronitt.php', 'display_url': 'sydney.edu.au/law/about/peop…', 'indices': [0, 23]}]",[],False,589,160,4,Wed Sep 05 04:07:21 +0000 2018,281,,,True,False,344,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1145465415788744704/RLjj6iZ9_normal.jpg,https://pbs.twimg.com/profile_images/1145465415788744704/RLjj6iZ9_normal.jpg,https://pbs.twimg.com/profile_banners/1037190420416147456/1540175175,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fri Jan 24 23:05:31 +0000 2020,1220845112000798720,1220845112000798720,@tricmc @SLPSDtalker @syd_health @Sydney_Uni Darn 🤣,False,"[45, 51]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208017671530947e+18,1220801767153094656,277877275.0,277877275,tricmc,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'tricmc', 'name': 'Dr Tricia McCabe', 'id': 277877275, 'id_str': '277877275', 'indices': [0, 7]}, {'screen_name': 'SLPSDtalker', 'name': 'Julie Malone', 'id': 850057214, 'id_str': '850057214', 'indices': [8, 20]}, {'screen_name': 'syd_health', 'name': 'Sydney_Health', 'id': 2751539635, 'id_str': '2751539635', 'indices': [21, 32]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [33, 44]}]",[],en,recent,2352489157,2352489157,Melissa Brunner,LissBEE_CPSP,Kuring-gai | Sydney Australia,#SLPhD student at UTS and researcher at USyd exploring #TwitterMind #TBI #BrainInjury #SocialMedia #eHealth. ☕️☕️☕️ #WeSpeechies 📢#SpeakUp4CommRights,https://t.co/Uhq8xew0bC,"[{'url': 'https://t.co/Uhq8xew0bC', 'expanded_url': 'http://melissabrunner.wordpress.com/', 'display_url': 'melissabrunner.wordpress.com', 'indices': [0, 23]}]",[],False,2527,3155,129,Thu Feb 20 01:08:55 +0000 2014,23562,,,True,False,25410,,False,False,False,34AD74,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205359436161642497/KriQB2Za_normal.jpg,https://pbs.twimg.com/profile_images/1205359436161642497/KriQB2Za_normal.jpg,https://pbs.twimg.com/profile_banners/2352489157/1557114227,32946B,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fri Jan 24 19:54:50 +0000 2020,1220797122640928768,1220797122640928768,@SLPSDtalker @tricmc @syd_health @Sydney_Uni All of Cumberland are moving!,False,"[45, 74]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2207614443517583e+18,1220761444351758336,850057214.0,850057214,SLPSDtalker,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SLPSDtalker', 'name': 'Julie Malone', 'id': 850057214, 'id_str': '850057214', 'indices': [0, 12]}, {'screen_name': 'tricmc', 'name': 'Dr Tricia McCabe', 'id': 277877275, 'id_str': '277877275', 'indices': [13, 20]}, {'screen_name': 'syd_health', 'name': 'Sydney_Health', 'id': 2751539635, 'id_str': '2751539635', 'indices': [21, 32]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [33, 44]}]",[],en,recent,12629372,12629372,Merrolee Penman,merrolee,"Sydney, Australia","An occupational therapy educator researching practice education - effective supervisory models and outcomes for students, educators and service users",https://t.co/WUim4n0DDp,"[{'url': 'https://t.co/WUim4n0DDp', 'expanded_url': 'http://www.sydney.edu.au', 'display_url': 'sydney.edu.au', 'indices': [0, 23]}]",[],False,1761,322,44,Thu Jan 24 06:46:58 +0000 2008,1950,,,True,False,8003,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1203844831/merrolee_penman_normal.gif,https://pbs.twimg.com/profile_images/1203844831/merrolee_penman_normal.gif,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,0073b76548e5984f,https://api.twitter.com/1.1/geo/id/0073b76548e5984f.json,city,Sydney,"Sydney, New South Wales",AU,Australia,[],Polygon,"[[[150.520928608, -34.1183470085], [151.343020992, -34.1183470085], [151.343020992, -33.578140996], [150.520928608, -33.578140996]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Fri Jan 24 07:13:08 +0000 2020,1220605435922829313,1220605435922829313,"@EstOdek I loved science as a kid. In a 1st year Chem course an assoc. professor remarked rather rudely that I should re-do high school Chem. I didn't. Instead, I graduated with a uni medal and received a PhD scholarship from @Sydney_Uni.. in Chem. Not all advice is worth following.",False,"[9, 283]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220061888425472e+18,1220061888425472001,410380828.0,410380828,EstOdek,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'EstOdek', 'name': 'Dr Esther', 'id': 410380828, 'id_str': '410380828', 'indices': [0, 8]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [226, 237]}]",[],en,recent,1170164448582963201,1170164448582963201,Huy Thien Nguyen,HuyThienNguyen,"København, Danmark","Eagerly awaiting the start of my PhD studies in Protein Chemistry |
#research #books #boxing",,,[],False,55,255,0,Sat Sep 07 02:38:54 +0000 2019,94,,,False,False,22,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1170167072107552768/MDkfovX__normal.jpg,https://pbs.twimg.com/profile_images/1170167072107552768/MDkfovX__normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 05:34:53 +0000 2020,1220580711586942978,1220580711586942978,@tricmc @syd_health @Sydney_Uni Looking nice,False,"[32, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205473994136904e+18,1220547399413690369,277877275.0,277877275,tricmc,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'tricmc', 'name': 'Dr Tricia McCabe', 'id': 277877275, 'id_str': '277877275', 'indices': [0, 7]}, {'screen_name': 'syd_health', 'name': 'Sydney_Health', 'id': 2751539635, 'id_str': '2751539635', 'indices': [8, 19]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [20, 31]}]",[],en,recent,482800020,482800020,Rae Cooper,Raecooper1,USyd Business (Gadigal land),"Professor of Gender, Work & Employment Relations, Co-Director Women, Work & Leadership Research Group, The University of Sydney. #work #equality #research",https://t.co/14Vr9TlClO,"[{'url': 'https://t.co/14Vr9TlClO', 'expanded_url': 'https://business.sydney.edu.au/staff/rae.cooper', 'display_url': 'business.sydney.edu.au/staff/rae.coop…', 'indices': [0, 23]}]",[],False,4222,2007,76,Sat Feb 04 09:51:08 +0000 2012,18070,,,True,False,13112,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1055782320727195648/_y9wl5Um_normal.jpg,https://pbs.twimg.com/profile_images/1055782320727195648/_y9wl5Um_normal.jpg,https://pbs.twimg.com/profile_banners/482800020/1443949577,FA743E,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fri Jan 24 05:20:22 +0000 2020,1220577059107295232,1220577059107295232,@sacarlin48 @delmaclifton @Sydney_Uni I had a quick read of this earlier and it just adds to my consensus that the woman is an idiot 😁,False,"[38, 134]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220575464520999e+18,1220575464520998912,1899124170.0,1899124170,sacarlin48,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'sacarlin48', 'name': '🔥 Anne Carlin', 'id': 1899124170, 'id_str': '1899124170', 'indices': [0, 11]}, {'screen_name': 'delmaclifton', 'name': '💧Delma Clifton', 'id': 756257159021596672, 'id_str': '756257159021596672', 'indices': [12, 25]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [26, 37]}]",[],en,recent,1006812573063368704,1006812573063368704,Nanny_is_not_pledging-allegiance,non_quiet_aus,"Sunshine Coast, Queensland","Science Student. Nanna to 7, love Australia but hate what it’s turning into.  Climate criminals will be blocked.",,,[],False,56,177,0,Wed Jun 13 08:16:37 +0000 2018,4748,,,False,False,457,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1220821443262341121/Os0C1QBz_normal.jpg,https://pbs.twimg.com/profile_images/1220821443262341121/Os0C1QBz_normal.jpg,https://pbs.twimg.com/profile_banners/1006812573063368704/1579901489,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 04:19:45 +0000 2020,1220561804885032960,1220561804885032960,@SydneyNano @ProfZdenka @Sydney_Uni @UCLA Very well-deserved @ProfZdenka,False,"[42, 72]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220495895738798e+18,1220495895738798081,3281043038.0,3281043038,SydneyNano,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'SydneyNano', 'name': 'Sydney Nano', 'id': 3281043038, 'id_str': '3281043038', 'indices': [0, 11]}, {'screen_name': 'ProfZdenka', 'name': 'Zdenka Kuncic', 'id': 3315004250, 'id_str': '3315004250', 'indices': [12, 23]}, {'screen_name': 'Sydney_Uni', 'name': 'University of Sydney', 'id': 20104025, 'id_str': '20104025', 'indices': [24, 35]}, {'screen_name': 'UCLA', 'name': 'UCLA', 'id': 18918483, 'id_str': '18918483', 'indices': [36, 41]}, {'screen_name': 'ProfZdenka', 'name': 'Zdenka Kuncic', 'id': 3315004250, 'id_str': '3315004250', 'indices': [61, 72]}]",[],en,recent,318530378,318530378,Omid Kavehei,OmidKavehei,"Sydney, New South Wales","Academic @Sydney_Uni, #SOARFellow | @SydneyNano: Dep. Director | @ School of Biomedical Engineering: Dep. Head of School (Research) | father of two 🍼",https://t.co/rKjw1pUzgj,"[{'url': 'https://t.co/rKjw1pUzgj', 'expanded_url': 'https://sydney.edu.au/engineering/people/omid.kavehei', 'display_url': 'sydney.edu.au/engineering/pe…', 'indices': [0, 23]}]",[],False,362,2353,2,Thu Jun 16 16:47:22 +0000 2011,2143,,,True,False,299,,False,False,False,000000,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/3727296022/2e80ce8537e1ea81c084d968a86b1c1c_normal.jpeg,https://pbs.twimg.com/profile_images/3727296022/2e80ce8537e1ea81c084d968a86b1c1c_normal.jpeg,https://pbs.twimg.com/profile_banners/318530378/1536881431,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
