,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
2,Sat Jan 25 06:15:30 +0000 2020,1220953321357357057,1220953321357357057,@EricTrump @bellagirlnola @ABC The @utarlington SHOULD REFUND MY GI BILL TO THE TAXPAYERS. They didn't teach me ANYTHING but BS.,False,"[31, 128]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208909556345733e+18,1220890955634573312,39349894.0,39349894,EricTrump,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'EricTrump', 'name': 'Eric Trump', 'id': 39349894, 'id_str': '39349894', 'indices': [0, 10]}, {'screen_name': 'bellagirlnola', 'name': 'BellaGirl', 'id': 791146925038927872, 'id_str': '791146925038927872', 'indices': [11, 25]}, {'screen_name': 'ABC', 'name': 'ABC News', 'id': 28785486, 'id_str': '28785486', 'indices': [26, 30]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [35, 47]}]",[],en,recent,1561882050,1561882050,Vaughan Pitts,vaughanpitts,,"Proud Father, USAF (Ret.), UT Alumni, Journalism/Poly Sci, Educated not Indoctrinated, Contractor, #MAGA",,[],False,1624,2070,9,Tue Jul 02 01:34:58 +0000 2013,59093,,,False,False,29495,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/505567592233185280/9RgBFopW_normal.jpeg,https://pbs.twimg.com/profile_images/505567592233185280/9RgBFopW_normal.jpeg,https://pbs.twimg.com/profile_banners/1561882050/1409371680,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Jan 25 04:39:56 +0000 2020,1220929269137924101,1220929269137924101,"@VistaspKarbhari @utarlington As an outside observer, thank you for helping students directly through their Twitter outreach!",False,"[30, 125]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204922058671186e+18,1220492205867118592,1868191141.0,1868191141,VistaspKarbhari,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'VistaspKarbhari', 'name': 'Vistasp Karbhari', 'id': 1868191141, 'id_str': '1868191141', 'indices': [0, 16]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [17, 29]}]",[],en,recent,378172137,378172137,Peggy Semingson,PeggySemingson,"Arlington, TX",Assoc. prof. at the University of Texas at Arlington. I teach online courses in Literacy Studies. Technology ambassador & futurist. Views are my own!,https://t.co/21Q6NdXpTG,[],False,1612,2768,101,Thu Sep 22 19:20:08 +0000 2011,3218,,,True,False,2654,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220940193156517889/UNYeJVOZ_normal.jpg,https://pbs.twimg.com/profile_images/1220940193156517889/UNYeJVOZ_normal.jpg,https://pbs.twimg.com/profile_banners/378172137/1502554776,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/21Q6NdXpTG', 'expanded_url': 'https://mentis.uta.edu/explore/profile/peggy-semingson', 'display_url': 'mentis.uta.edu/explore/profil…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Jan 25 00:54:53 +0000 2020,1220872636043071489,1220872636043071489,@utaprovost @utarlington Good work to everyone!,False,"[25, 47]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205146195691192e+18,1220514619569119232,8.768228974861148e+17,876822897486114816,utaprovost,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'utaprovost', 'name': 'Dr. Teik C. Lim', 'id': 876822897486114816, 'id_str': '876822897486114816', 'indices': [0, 11]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [12, 24]}]",[],en,recent,378172137,378172137,Peggy Semingson,PeggySemingson,"Arlington, TX",Assoc. prof. at the University of Texas at Arlington. I teach online courses in Literacy Studies. Technology ambassador & futurist. Views are my own!,https://t.co/21Q6NdXpTG,[],False,1612,2768,101,Thu Sep 22 19:20:08 +0000 2011,3218,,,True,False,2654,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220940193156517889/UNYeJVOZ_normal.jpg,https://pbs.twimg.com/profile_images/1220940193156517889/UNYeJVOZ_normal.jpg,https://pbs.twimg.com/profile_banners/378172137/1502554776,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/21Q6NdXpTG', 'expanded_url': 'https://mentis.uta.edu/explore/profile/peggy-semingson', 'display_url': 'mentis.uta.edu/explore/profil…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fri Jan 24 18:23:35 +0000 2020,1220774158973489152,1220774158973489152,"RT @aeroweld: @VistaspKarbhari @utarlington 1/First, thank you! It was addressed within a short time. Today I visited UTAParking Dept bc of…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'aeroweld', 'name': 'KHarris', 'id': 28908379, 'id_str': '28908379', 'indices': [3, 12]}, {'screen_name': 'VistaspKarbhari', 'name': 'Vistasp Karbhari', 'id': 1868191141, 'id_str': '1868191141', 'indices': [14, 30]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [31, 43]}]",[],en,recent,272746970,272746970,PaulRCruz,PaulRCruz,Maverick Country UTA,"Rookie tweeter, UTA Alum 2006, Software Programmer, Entrepreneur",,[],False,107,497,2,Sun Mar 27 03:21:09 +0000 2011,3571,,,False,False,1153,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/469449102191628288/fyh5QzUQ_normal.jpeg,https://pbs.twimg.com/profile_images/469449102191628288/fyh5QzUQ_normal.jpeg,https://pbs.twimg.com/profile_banners/272746970/1395978488,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,Fri Jan 24 17:34:37 +0000 2020,1.220761838935212e+18,1220761838935212034,"@VistaspKarbhari @utarlington 1/First, thank you! It was addressed within a short time. Today I visited UTAParking Dept bc of info on the citation which I wanted to clarify. As it turns out the LPR system &amp; MobileNow were not ""calibrated"" &amp; your call alerted them to check. ""And now for the rest of the story"".",False,"[30, 318]",[],[],"[{'screen_name': 'VistaspKarbhari', 'name': 'Vistasp Karbhari', 'id': 1868191141, 'id_str': '1868191141', 'indices': [0, 16]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [17, 29]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204922058671186e+18,1220492205867118592,1868191141.0,1868191141,VistaspKarbhari,28908379.0,28908379,KHarris,aeroweld,Texas,"Repair/Process Engineer Aviation Aftermarket Services (M.A.Economics) (Ph.D. in progress) Avocational Archaeologist, Race:Human, Citizen of The Chickasaw Nation",https://t.co/BNcwoZ9PJR,"[{'url': 'https://t.co/BNcwoZ9PJR', 'expanded_url': 'https://tftaeroinc.com', 'display_url': 'tftaeroinc.com', 'indices': [0, 23]}]",[],False,393.0,1232.0,50.0,Sun Apr 05 01:00:21 +0000 2009,33682.0,,,False,False,62048.0,,False,False,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/798146744672342016/U2oOT8So_normal.jpg,https://pbs.twimg.com/profile_images/798146744672342016/U2oOT8So_normal.jpg,https://pbs.twimg.com/profile_banners/28908379/1397658221,1F98C7,C6E2EE,DAECF4,663B12,True,False,False,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,,,,,,,,,,
15,Thu Jan 23 15:42:32 +0000 2020,1220371245151092737,1220371245151092737,"RT @UTARacing: We have been ranked #4 in the United States and #19 in the world by the mazur World Ranking List!

A big thank you to our sp…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'UTARacing', 'name': 'UTA Racing', 'id': 1442713332, 'id_str': '1442713332', 'indices': [3, 13]}]",[],en,recent,916181624,916181624,Jay Rosenberger,j_rosenbe,,"UTA IE Professor, HMC/Cal/GA Tech Alum, Father, SF Giants Fan, Steeler Fan",http://t.co/HQWA1FGB,[],False,129,302,2,Wed Oct 31 05:13:03 +0000 2012,22,,,True,False,141,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/3599866169/c7c00288a1e9afd04ab97c4aaabe5926_normal.jpeg,https://pbs.twimg.com/profile_images/3599866169/c7c00288a1e9afd04ab97c4aaabe5926_normal.jpeg,https://pbs.twimg.com/profile_banners/916181624/1423003888,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'http://t.co/HQWA1FGB', 'expanded_url': 'http://www.uta.edu/ie/faculty.staff/rosenberger.html', 'display_url': 'uta.edu/ie/faculty.sta…', 'indices': [0, 20]}]",Mon Jan 20 16:53:57 +0000 2020,1.2193020530691482e+18,1219302053069148160,"We have been ranked #4 in the United States and #19 in the world by the mazur World Ranking List!

A big thank you to our sponsors, @utarlington and to you for all your support!",False,"[0, 177]",[],[],"[{'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [132, 144]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1442713332.0,1442713332,UTA Racing,UTARacing,"Arlington, TX",UT Arlington Formula SAE Team,https://t.co/R3Xvh32qV3,"[{'url': 'https://t.co/R3Xvh32qV3', 'expanded_url': 'http://www.utaracing.com', 'display_url': 'utaracing.com', 'indices': [0, 23]}]",[],False,546.0,392.0,6.0,Mon May 20 03:16:07 +0000 2013,127.0,,,False,False,229.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1121851567693549568/78BAaYpm_normal.png,https://pbs.twimg.com/profile_images/1121851567693549568/78BAaYpm_normal.png,https://pbs.twimg.com/profile_banners/1442713332/1557032211,0068B3,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,6.0,14.0,False,False,en,,,,,,,,,,
24,Wed Jan 22 01:14:20 +0000 2020,1219790366179762176,1219790366179762176,@utaprovost @utarlington Thank you! I hope it’s the best year ever! 😊,False,"[25, 69]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.212492377040003e+18,1212492377040003082,8.768228974861148e+17,876822897486114816,utaprovost,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'utaprovost', 'name': 'Dr. Teik C. Lim', 'id': 876822897486114816, 'id_str': '876822897486114816', 'indices': [0, 11]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [12, 24]}]",[],en,recent,378172137,378172137,Peggy Semingson,PeggySemingson,"Arlington, TX",Assoc. prof. at the University of Texas at Arlington. I teach online courses in Literacy Studies. Technology ambassador & futurist. Views are my own!,https://t.co/21Q6NdXpTG,[],False,1612,2768,101,Thu Sep 22 19:20:08 +0000 2011,3218,,,True,False,2654,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220940193156517889/UNYeJVOZ_normal.jpg,https://pbs.twimg.com/profile_images/1220940193156517889/UNYeJVOZ_normal.jpg,https://pbs.twimg.com/profile_banners/378172137/1502554776,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/21Q6NdXpTG', 'expanded_url': 'https://mentis.uta.edu/explore/profile/peggy-semingson', 'display_url': 'mentis.uta.edu/explore/profil…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Wed Jan 22 00:41:59 +0000 2020,1219782226155638784,1219782226155638784,"@M_Aronczyk @SSNScholars @utarlington @david_arditi @dallasnews Love this, thanks for sharing! :)",False,"[64, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197264387163177e+18,1219726438716317696,264882599.0,264882599,M_Aronczyk,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'M_Aronczyk', 'name': 'Melissa Aronczyk', 'id': 264882599, 'id_str': '264882599', 'indices': [0, 11]}, {'screen_name': 'SSNScholars', 'name': 'Scholars Strategy Network', 'id': 593091020, 'id_str': '593091020', 'indices': [12, 24]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [25, 37]}, {'screen_name': 'david_arditi', 'name': 'David Arditi', 'id': 2607838986, 'id_str': '2607838986', 'indices': [38, 51]}, {'screen_name': 'dallasnews', 'name': 'Dallas Morning News', 'id': 15679641, 'id_str': '15679641', 'indices': [52, 63]}]",[],en,recent,980507136974295040,980507136974295040,Alison Allocco,alisonallocco,"New Jersey, USA","Journalism & Media Studies Major, DCIM Minor ▪️ RutgersU Class of 2020 ▪️ &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Cat Lover 😺 Guitar Player 🎸 Big Dreamer 💭",,[],False,17,48,0,Sun Apr 01 18:08:13 +0000 2018,60,,,False,False,58,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1172211834893586433/cOnZ0eD__normal.jpg,https://pbs.twimg.com/profile_images/1172211834893586433/cOnZ0eD__normal.jpg,https://pbs.twimg.com/profile_banners/980507136974295040/1568308420,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Wed Jan 22 00:21:10 +0000 2020,1219776984810651654,1219776984810651654,"@zenfortech Torres is enjoying the support of the Colleges of Engineering and Liberal Arts as he acts as the director of The Hybrid Atelier, an interdisciplinary creative technology research lab in collaboration with the Art + Art History Department.
@mavengineering @utarlington @UTA_ART",False,"[12, 288]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197765320271872e+18,1219776532027187200,2851426729.0,2851426729,cseuta,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'zenfortech', 'name': 'Cesar Torres', 'id': 1543937353, 'id_str': '1543937353', 'indices': [0, 11]}, {'screen_name': 'mavengineering', 'name': 'UTA Engineering', 'id': 37680590, 'id_str': '37680590', 'indices': [251, 266]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [267, 279]}, {'screen_name': 'UTA_ART', 'name': 'UTA_Art+ArtHistory', 'id': 472109719, 'id_str': '472109719', 'indices': [280, 288]}]",[],en,recent,2851426729,2851426729,UT Arlington CSE,cseuta,"Arlington, TX","This is the Twitter account of the CSE Department at the University of Texas at Arlington.
#CSEUTA",https://t.co/B4Wa6ZViyp,[],False,451,292,2,Sat Oct 11 02:06:40 +0000 2014,666,,,True,False,690,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1141353142531104768/t_Ma3WgH_normal.png,https://pbs.twimg.com/profile_images/1141353142531104768/t_Ma3WgH_normal.png,https://pbs.twimg.com/profile_banners/2851426729/1549666155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/B4Wa6ZViyp', 'expanded_url': 'https://cse.uta.edu', 'display_url': 'cse.uta.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tue Jan 21 18:06:05 +0000 2020,1219682593299320833,1219682593299320833,@david_arditi @utarlington Always a pleasure!,False,"[27, 45]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196408867718717e+18,1219640886771871745,2607838986.0,2607838986,david_arditi,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'david_arditi', 'name': 'David Arditi', 'id': 2607838986, 'id_str': '2607838986', 'indices': [0, 13]}, {'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [14, 26]}]",[],en,recent,431705067,431705067,Dana Jennings,danamcjenn,"Arlington, TX",#AggRaised | @TexasTech Red Raider | Assistant Director for Research Communications at @UTArlington | Devoted @dallascowboys fan | Follow  @MyDadCraig,,[],False,524,191,6,Thu Dec 08 16:02:50 +0000 2011,8183,,,False,False,58235,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1025161061849329669/B2Y3iTvA_normal.jpg,https://pbs.twimg.com/profile_images/1025161061849329669/B2Y3iTvA_normal.jpg,https://pbs.twimg.com/profile_banners/431705067/1437432925,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Mon Jan 20 17:25:07 +0000 2020,1219309897579474944,1219309897579474944,"RT @UTARacing: We have been ranked #4 in the United States and #19 in the world by the mazur World Ranking List!

A big thank you to our sp…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,[],[],"[{'screen_name': 'UTARacing', 'name': 'UTA Racing', 'id': 1442713332, 'id_str': '1442713332', 'indices': [3, 13]}]",[],en,recent,272746970,272746970,PaulRCruz,PaulRCruz,Maverick Country UTA,"Rookie tweeter, UTA Alum 2006, Software Programmer, Entrepreneur",,[],False,107,497,2,Sun Mar 27 03:21:09 +0000 2011,3571,,,False,False,1153,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/469449102191628288/fyh5QzUQ_normal.jpeg,https://pbs.twimg.com/profile_images/469449102191628288/fyh5QzUQ_normal.jpeg,https://pbs.twimg.com/profile_banners/272746970/1395978488,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,Mon Jan 20 16:53:57 +0000 2020,1.2193020530691482e+18,1219302053069148160,"We have been ranked #4 in the United States and #19 in the world by the mazur World Ranking List!

A big thank you to our sponsors, @utarlington and to you for all your support!",False,"[0, 177]",[],[],"[{'screen_name': 'utarlington', 'name': 'UT Arlington', 'id': 17908147, 'id_str': '17908147', 'indices': [132, 144]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1442713332.0,1442713332,UTA Racing,UTARacing,"Arlington, TX",UT Arlington Formula SAE Team,https://t.co/R3Xvh32qV3,"[{'url': 'https://t.co/R3Xvh32qV3', 'expanded_url': 'http://www.utaracing.com', 'display_url': 'utaracing.com', 'indices': [0, 23]}]",[],False,546.0,392.0,6.0,Mon May 20 03:16:07 +0000 2013,127.0,,,False,False,229.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1121851567693549568/78BAaYpm_normal.png,https://pbs.twimg.com/profile_images/1121851567693549568/78BAaYpm_normal.png,https://pbs.twimg.com/profile_banners/1442713332/1557032211,0068B3,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,6.0,14.0,False,False,en,,,,,,,,,,
