,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
7,Fri Jan 24 17:33:53 +0000 2020,1220761654432096256,1220761654432096256,RT @tracy_karin: @ulalaunch @torybruno @UTEP I have no doubt these students @UTEP were thrilled to present their research projects to Tory…,False,"[0, 139]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'tracy_karin', 'name': 'Tracy Prell', 'id': 232687998, 'id_str': '232687998', 'indices': [3, 15]}, {'screen_name': 'ulalaunch', 'name': 'ULA', 'id': 22845770, 'id_str': '22845770', 'indices': [17, 27]}, {'screen_name': 'torybruno', 'name': 'Tory Bruno', 'id': 2882413844, 'id_str': '2882413844', 'indices': [28, 38]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [39, 44]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [76, 81]}]",[],en,recent,232687998,232687998,Tracy Prell,tracy_karin,"41° 50′ 43″ N, 71° 35′ 28″ W","#NASASocial Alumna - Exec Board @SkyscrapersInc, @TheMarsGen @HigherOrbits @SpaceCampUSA @chandraxray @Socratica @IDADarkSky @exploreplanets #SpaceInspires omo",https://t.co/RQXd1kBzkz,"[{'url': 'https://t.co/RQXd1kBzkz', 'expanded_url': 'http://skyscrapersinc.org', 'display_url': 'skyscrapersinc.org', 'indices': [0, 23]}]",[],False,3522,5000,113,Fri Dec 31 23:29:23 +0000 2010,131169,,,True,False,70412,,False,False,False,000000,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/799680754192158720/193B5au3_normal.jpg,https://pbs.twimg.com/profile_images/799680754192158720/193B5au3_normal.jpg,https://pbs.twimg.com/profile_banners/232687998/1577137612,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,Thu Jan 23 22:38:54 +0000 2020,1.2204760235124244e+18,1220476023512424454,"@ulalaunch @torybruno @UTEP I have no doubt these students @UTEP were thrilled to present their research projects to Tory and certainly welcomed his comments and advice! 

#Leaders #Inspiring our #Students in #STEM #STEAM #Education 

#RoleModels for our #NextGeneration",False,"[28, 270]","[{'text': 'Leaders', 'indices': [172, 180]}, {'text': 'Inspiring', 'indices': [181, 191]}, {'text': 'Students', 'indices': [196, 205]}, {'text': 'STEM', 'indices': [209, 214]}, {'text': 'STEAM', 'indices': [215, 221]}, {'text': 'Education', 'indices': [222, 232]}, {'text': 'RoleModels', 'indices': [235, 246]}, {'text': 'NextGeneration', 'indices': [255, 270]}]",[],"[{'screen_name': 'ulalaunch', 'name': 'ULA', 'id': 22845770, 'id_str': '22845770', 'indices': [0, 10]}, {'screen_name': 'torybruno', 'name': 'Tory Bruno', 'id': 2882413844, 'id_str': '2882413844', 'indices': [11, 21]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [22, 27]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [59, 64]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204083610925998e+18,1220408361092599808,22845770.0,22845770,ulalaunch,232687998.0,232687998,Tracy Prell,tracy_karin,"41° 50′ 43″ N, 71° 35′ 28″ W","#NASASocial Alumna - Exec Board @SkyscrapersInc, @TheMarsGen @HigherOrbits @SpaceCampUSA @chandraxray @Socratica @IDADarkSky @exploreplanets #SpaceInspires omo",https://t.co/RQXd1kBzkz,"[{'url': 'https://t.co/RQXd1kBzkz', 'expanded_url': 'http://skyscrapersinc.org', 'display_url': 'skyscrapersinc.org', 'indices': [0, 23]}]",[],False,3522.0,5000.0,113.0,Fri Dec 31 23:29:23 +0000 2010,131169.0,,,True,False,70412.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/799680754192158720/193B5au3_normal.jpg,https://pbs.twimg.com/profile_images/799680754192158720/193B5au3_normal.jpg,https://pbs.twimg.com/profile_banners/232687998/1577137612,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,1.0,6.0,False,False,en,,,,,,,,,,,,,,,,,,,,
9,Fri Jan 24 01:39:10 +0000 2020,1220521390736072704,1220521390736072704,@SerafineLab @UTEP @UTEPPsychology Awesome! Congratulations!,False,"[35, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204415760963912e+18,1220441576096391174,1.108402641711915e+18,1108402641711915008,SerafineLab,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SerafineLab', 'name': 'Serafine Laboratory', 'id': 1108402641711915008, 'id_str': '1108402641711915008', 'indices': [0, 12]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [13, 18]}, {'screen_name': 'UTEPPsychology', 'name': 'UTEP Psychology', 'id': 1176957184531423233, 'id_str': '1176957184531423233', 'indices': [19, 34]}]",[],en,recent,711407910752878592,711407910752878592,Mariana X Byndloss,Mari_Byndloss,"Nashville, TN",🇧🇷 🇺🇸 DVM/PhD. Pathologist turned into Microbiologist/Immunologist. Microbiota. Gut inflammation. Assistant Professor. Mom. Dog lover. Views are my own.,https://t.co/ObE57TmiFn,"[{'url': 'https://t.co/ObE57TmiFn', 'expanded_url': 'https://www.vumc.org/byndloss-lab/', 'display_url': 'vumc.org/byndloss-lab/', 'indices': [0, 23]}]",[],False,1203,325,19,Sun Mar 20 04:23:58 +0000 2016,2906,,,False,False,1927,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1121562817545609216/78jKFqGn_normal.jpg,https://pbs.twimg.com/profile_images/1121562817545609216/78jKFqGn_normal.jpg,https://pbs.twimg.com/profile_banners/711407910752878592/1566834861,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 00:05:12 +0000 2020,1220497744193839104,1220497744193839104,@SerafineLab @UTEP @UTEPPsychology Congratulations!,False,"[35, 51]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204415760963912e+18,1220441576096391174,1.108402641711915e+18,1108402641711915008,SerafineLab,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SerafineLab', 'name': 'Serafine Laboratory', 'id': 1108402641711915008, 'id_str': '1108402641711915008', 'indices': [0, 12]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [13, 18]}, {'screen_name': 'UTEPPsychology', 'name': 'UTEP Psychology', 'id': 1176957184531423233, 'id_str': '1176957184531423233', 'indices': [19, 34]}]",[],en,recent,17739495,17739495,Aparna Shah 🧠 👩‍🔬,Neuro_musings,"Baltimore, MD","Music, food and science junkie. Grad school survivor. eLife Ambassador. @AWISBalt President. She/Her.",,,[],False,977,2044,33,Sat Nov 29 19:01:00 +0000 2008,16349,,,True,False,5390,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1163653039917547520/_2XMK_FS_normal.jpg,https://pbs.twimg.com/profile_images/1163653039917547520/_2XMK_FS_normal.jpg,https://pbs.twimg.com/profile_banners/17739495/1578063144,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thu Jan 23 22:38:54 +0000 2020,1220476023512424454,1220476023512424454,"@ulalaunch @torybruno @UTEP I have no doubt these students @UTEP were thrilled to present their research projects to Tory and certainly welcomed his comments and advice! 

#Leaders #Inspiring our #Students in #STEM #STEAM #Education 

#RoleModels for our #NextGeneration",False,"[28, 270]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204083610925998e+18,1220408361092599808,22845770.0,22845770,ulalaunch,,,,,False,1,6,False,False,en,"[{'text': 'Leaders', 'indices': [172, 180]}, {'text': 'Inspiring', 'indices': [181, 191]}, {'text': 'Students', 'indices': [196, 205]}, {'text': 'STEM', 'indices': [209, 214]}, {'text': 'STEAM', 'indices': [215, 221]}, {'text': 'Education', 'indices': [222, 232]}, {'text': 'RoleModels', 'indices': [235, 246]}, {'text': 'NextGeneration', 'indices': [255, 270]}]",[],"[{'screen_name': 'ulalaunch', 'name': 'ULA', 'id': 22845770, 'id_str': '22845770', 'indices': [0, 10]}, {'screen_name': 'torybruno', 'name': 'Tory Bruno', 'id': 2882413844, 'id_str': '2882413844', 'indices': [11, 21]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [22, 27]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [59, 64]}]",[],en,recent,232687998,232687998,Tracy Prell,tracy_karin,"41° 50′ 43″ N, 71° 35′ 28″ W","#NASASocial Alumna - Exec Board @SkyscrapersInc, @TheMarsGen @HigherOrbits @SpaceCampUSA @chandraxray @Socratica @IDADarkSky @exploreplanets #SpaceInspires omo",https://t.co/RQXd1kBzkz,"[{'url': 'https://t.co/RQXd1kBzkz', 'expanded_url': 'http://skyscrapersinc.org', 'display_url': 'skyscrapersinc.org', 'indices': [0, 23]}]",[],False,3522,5000,113,Fri Dec 31 23:29:23 +0000 2010,131169,,,True,False,70412,,False,False,False,000000,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/799680754192158720/193B5au3_normal.jpg,https://pbs.twimg.com/profile_images/799680754192158720/193B5au3_normal.jpg,https://pbs.twimg.com/profile_banners/232687998/1577137612,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Thu Jan 23 19:22:26 +0000 2020,1220426581736411144,1220426581736411144,"Congrats to graduate student, Alondra Avila, who won a competitive Diversity Travel Award to present her research on the role of acculturation and neighborhood characteristics on perceptions of police legitimacy at the upcoming @APLS41 conference! You've made @UTEP proud!",False,"[0, 272]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'APLS41', 'name': 'APLS41', 'id': 1267236512, 'id_str': '1267236512', 'indices': [228, 235]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [260, 265]}]",[],en,recent,1176957184531423233,1176957184531423233,UTEP Psychology,UTEPPsychology,"El Paso, TX","The official page of the Department of Psychology at the University of Texas at El Paso. #UTEP
https://t.co/ZmDPhCQpFp",https://t.co/66R9nBQ90E,"[{'url': 'https://t.co/66R9nBQ90E', 'expanded_url': 'https://www.utep.edu/liberalarts/psychology/index.html', 'display_url': 'utep.edu/liberalarts/ps…', 'indices': [0, 23]}]","[{'url': 'https://t.co/ZmDPhCQpFp', 'expanded_url': 'https://www.facebook.com/utep.psychdepartment', 'display_url': 'facebook.com/utep.psychdepa…', 'indices': [95, 118]}]",False,199,51,0,Wed Sep 25 20:30:40 +0000 2019,201,,,False,False,161,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1176996237826019328/_nqRoPsm_normal.jpg,https://pbs.twimg.com/profile_images/1176996237826019328/_nqRoPsm_normal.jpg,https://pbs.twimg.com/profile_banners/1176957184531423233/1569452746,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Thu Jan 23 19:14:56 +0000 2020,1220424693892755461,1220424693892755461,"Congratulations to Dr. Katherine Serafine (@SerafineLab) on the receipt of the University Research Institute Grant, which will fund her research project entitled, ""The interaction between sex hormones and diet on sensitivity of females to cocaine."" 👏👏👏 @UTEP #neuroscience",False,"[0, 272]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,14,False,False,en,"[{'text': 'neuroscience', 'indices': [259, 272]}]",[],"[{'screen_name': 'SerafineLab', 'name': 'Serafine Laboratory', 'id': 1108402641711915008, 'id_str': '1108402641711915008', 'indices': [43, 55]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [253, 258]}]",[],en,recent,1176957184531423233,1176957184531423233,UTEP Psychology,UTEPPsychology,"El Paso, TX","The official page of the Department of Psychology at the University of Texas at El Paso. #UTEP
https://t.co/ZmDPhCQpFp",https://t.co/66R9nBQ90E,"[{'url': 'https://t.co/66R9nBQ90E', 'expanded_url': 'https://www.utep.edu/liberalarts/psychology/index.html', 'display_url': 'utep.edu/liberalarts/ps…', 'indices': [0, 23]}]","[{'url': 'https://t.co/ZmDPhCQpFp', 'expanded_url': 'https://www.facebook.com/utep.psychdepartment', 'display_url': 'facebook.com/utep.psychdepa…', 'indices': [95, 118]}]",False,199,51,0,Wed Sep 25 20:30:40 +0000 2019,201,,,False,False,161,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1176996237826019328/_nqRoPsm_normal.jpg,https://pbs.twimg.com/profile_images/1176996237826019328/_nqRoPsm_normal.jpg,https://pbs.twimg.com/profile_banners/1176957184531423233/1569452746,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Wed Jan 22 15:10:33 +0000 2020,1220000807770296320,1220000807770296320,@SerafineLab @UTEP @UTEPPsychology Thanks for sharing!,False,"[35, 54]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2200002180805632e+18,1220000218080563200,1.108402641711915e+18,1108402641711915008,SerafineLab,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'SerafineLab', 'name': 'Serafine Laboratory', 'id': 1108402641711915008, 'id_str': '1108402641711915008', 'indices': [0, 12]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [13, 18]}, {'screen_name': 'UTEPPsychology', 'name': 'UTEP Psychology', 'id': 1176957184531423233, 'id_str': '1176957184531423233', 'indices': [19, 34]}]",[],en,recent,788385123423051776,788385123423051776,"April Gile Thomas, Ph.D.",AprilGileThomas,"El Paso, TX","Assistant Professor of Psychology @UTEP. I study adolescent development, juvenile delinquency, risk behavior, sleep, and social influence. Lab: @addlabutep",https://t.co/zf65M4Y3WN,"[{'url': 'https://t.co/zf65M4Y3WN', 'expanded_url': 'https://www.adolescentlab.com/', 'display_url': 'adolescentlab.com', 'indices': [0, 23]}]",[],False,231,325,5,Tue Oct 18 14:23:55 +0000 2016,1114,,,False,False,440,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1183012112920133633/pmwua49p_normal.jpg,https://pbs.twimg.com/profile_images/1183012112920133633/pmwua49p_normal.jpg,https://pbs.twimg.com/profile_banners/788385123423051776/1570887042,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tue Jan 21 19:44:39 +0000 2020,1219707399319248899,1219707399319248899,"Happy spring semester to students at @UTEP and @EPCCNews! Wherever you are in your academic journey, a new semester brings new opportunities and a step toward a wonderful and bright future!",False,"[0, 189]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,9,False,False,en,[],[],"[{'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [37, 42]}, {'screen_name': 'EPCCNews', 'name': 'EPCC', 'id': 236930787, 'id_str': '236930787', 'indices': [47, 56]}]",[],en,recent,3460124481,3460124481,CREEED El Paso,CREEEDorg,"El Paso, TX",Non-profit dedicated to improving #education and educational attainment for all El Paso students.,https://t.co/fLi5Vb3gbw,"[{'url': 'https://t.co/fLi5Vb3gbw', 'expanded_url': 'http://www.creeed.org/', 'display_url': 'creeed.org', 'indices': [0, 23]}]",[],False,508,166,7,Thu Aug 27 18:10:06 +0000 2015,163,,,False,False,691,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1199779294412779522/r4paw8Aa_normal.jpg,https://pbs.twimg.com/profile_images/1199779294412779522/r4paw8Aa_normal.jpg,https://pbs.twimg.com/profile_banners/3460124481/1574884651,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mon Jan 20 00:54:43 +0000 2020,1219060652179951622,1219060652179951622,@Mikeutsa2008 @UTEP @Showtyme_33 Fight me tweety!,False,"[33, 49]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2190591738680812e+18,1219059173868081157,7.102433057752351e+17,710243305775235073,Mikeutsa2008,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Mikeutsa2008', 'name': 'Michael G Martinez', 'id': 710243305775235073, 'id_str': '710243305775235073', 'indices': [0, 13]}, {'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [14, 19]}, {'screen_name': 'Showtyme_33', 'name': 'Aaron Jones 3️⃣3️⃣', 'id': 412032884, 'id_str': '412032884', 'indices': [20, 32]}]",[],en,recent,1679885797,1679885797,ojr83,ojr83,"Texas, USA",Political and sports junkie.  Views are my own 👍 #impeachtrump  #nevertrump #finsup🐬🏈 #gospursgo 🏀 #letsgorangers ⚾ #ibelieve 󾓦⚽ #utepminers #picksup ⛏️,,,[],False,101,290,0,Sun Aug 18 04:48:52 +0000 2013,14662,,,False,False,3047,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217290693170941953/LLU7dXer_normal.jpg,https://pbs.twimg.com/profile_images/1217290693170941953/LLU7dXer_normal.jpg,https://pbs.twimg.com/profile_banners/1679885797/1513193346,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sun Jan 19 17:08:52 +0000 2020,1218943417461415938,1218943417461415938,I want to wish @UTEP alumni @Showtyme_33 a great game!  Get your shine on bro!  #utepfootball #PicksUp #915,False,"[0, 107]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,en,"[{'text': 'utepfootball', 'indices': [80, 93]}, {'text': 'PicksUp', 'indices': [94, 102]}]",[],"[{'screen_name': 'UTEP', 'name': 'UTEP', 'id': 36201298, 'id_str': '36201298', 'indices': [15, 20]}, {'screen_name': 'Showtyme_33', 'name': 'Aaron Jones 3️⃣3️⃣', 'id': 412032884, 'id_str': '412032884', 'indices': [28, 40]}]",[],en,recent,1679885797,1679885797,ojr83,ojr83,"Texas, USA",Political and sports junkie.  Views are my own 👍 #impeachtrump  #nevertrump #finsup🐬🏈 #gospursgo 🏀 #letsgorangers ⚾ #ibelieve 󾓦⚽ #utepminers #picksup ⛏️,,,[],False,101,290,0,Sun Aug 18 04:48:52 +0000 2013,14662,,,False,False,3047,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217290693170941953/LLU7dXer_normal.jpg,https://pbs.twimg.com/profile_images/1217290693170941953/LLU7dXer_normal.jpg,https://pbs.twimg.com/profile_banners/1679885797/1513193346,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
