,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
0,Sun Jan 26 05:57:34 +0000 2020,1221311196772610048,1221311196772610048,@theJJPerez @UTSA @spurs So bummed I was out of town for work.,False,"[25, 62]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208717330219418e+18,1220871733021941761,25100344.0,25100344,theJJPerez,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'theJJPerez', 'name': 'JJ Perez', 'id': 25100344, 'id_str': '25100344', 'indices': [0, 11]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [12, 17]}, {'screen_name': 'spurs', 'name': 'San Antonio Spurs', 'id': 18371803, 'id_str': '18371803', 'indices': [18, 24]}]",[],en,recent,490994641,490994641,BigK,gottheswishies,,"I like to party bro....
Proud UTSA Roadrunner!!! Die Hard Spurs fan!!",,[],False,42,248,3,Mon Feb 13 04:16:18 +0000 2012,207,,,True,False,1657,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1082036814108602368/WGRtsM6H_normal.jpg,https://pbs.twimg.com/profile_images/1082036814108602368/WGRtsM6H_normal.jpg,https://pbs.twimg.com/profile_banners/490994641/1366174333,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Jan 25 22:00:45 +0000 2020,1221191199756820481,1221191199756820481,@UTSA why doesn't COLFA have a twitter account? They got two applications pending for months and I want to reach to someone 👀👀👀,False,"[0, 127]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,85362822.0,85362822,UTSA,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [0, 5]}]",[],en,recent,4680273140,4680273140,Juan Valdez,valdezcafe,"Notre Dame, IN",Poli Sci PhD Candidate at Notre Dame🍀 Writes about Mex-Am political development in TX (SA & DFW). Chicano from the RGV. Read our paper: https://t.co/diK6by7Vek,,"[{'url': 'https://t.co/diK6by7Vek', 'expanded_url': 'http://bit.ly/2QtmEAb', 'display_url': 'bit.ly/2QtmEAb', 'indices': [136, 159]}]",False,175,401,3,Wed Dec 30 23:12:50 +0000 2015,1443,,,False,False,279,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1206597084759183365/90LMRM35_normal.jpg,https://pbs.twimg.com/profile_images/1206597084759183365/90LMRM35_normal.jpg,https://pbs.twimg.com/profile_banners/4680273140/1524705809,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 04:53:13 +0000 2020,1220932613516468225,1220932613516468225,@JulissaMoreno_ @theJJPerez @UTSA @spurs @DejounteMurray Not my fault 😣,False,"[57, 71]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2209323300234609e+18,1220932330023460865,2992754161.0,2992754161,JulissaMoreno_,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JulissaMoreno_', 'name': '👑Jules👑', 'id': 2992754161, 'id_str': '2992754161', 'indices': [0, 15]}, {'screen_name': 'theJJPerez', 'name': 'JJ Perez', 'id': 25100344, 'id_str': '25100344', 'indices': [16, 27]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [28, 33]}, {'screen_name': 'spurs', 'name': 'San Antonio Spurs', 'id': 18371803, 'id_str': '18371803', 'indices': [34, 40]}, {'screen_name': 'DejounteMurray', 'name': 'Dejounte Murray', 'id': 1005789476, 'id_str': '1005789476', 'indices': [41, 56]}]",[],en,recent,716075168,716075168,Ceazar,CeazarFlores,"San Antonio, Texas",24 | UTSA | #JeepLife,,[],False,178,355,1,Wed Jul 25 13:34:59 +0000 2012,4631,,,True,False,1814,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217192077718708226/FABH4c4M_normal.jpg,https://pbs.twimg.com/profile_images/1217192077718708226/FABH4c4M_normal.jpg,https://pbs.twimg.com/profile_banners/716075168/1467069514,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,3df4f427b5a60fea,https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json,city,San Antonio,"San Antonio, TX",US,United States,[],Polygon,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 04:52:05 +0000 2020,1220932330023460865,1220932330023460865,@CeazarFlores @theJJPerez @UTSA @spurs I could have asked @DejounteMurray for one last night but y’all didn’t let me out of the booth in time 🙄😭😭,False,"[39, 145]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220894283206746e+18,1220894283206746116,716075168.0,716075168,CeazarFlores,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CeazarFlores', 'name': 'Ceazar', 'id': 716075168, 'id_str': '716075168', 'indices': [0, 13]}, {'screen_name': 'theJJPerez', 'name': 'JJ Perez', 'id': 25100344, 'id_str': '25100344', 'indices': [14, 25]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [26, 31]}, {'screen_name': 'spurs', 'name': 'San Antonio Spurs', 'id': 18371803, 'id_str': '18371803', 'indices': [32, 38]}, {'screen_name': 'DejounteMurray', 'name': 'Dejounte Murray', 'id': 1005789476, 'id_str': '1005789476', 'indices': [58, 73]}]",[],en,recent,2992754161,2992754161,👑Jules👑,JulissaMoreno_,,🧡UTSA ‘21💙,,[],False,340,242,1,Fri Jan 23 00:38:14 +0000 2015,5810,,,True,False,1470,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1193341579743965185/YGQwB4uF_normal.jpg,https://pbs.twimg.com/profile_images/1193341579743965185/YGQwB4uF_normal.jpg,https://pbs.twimg.com/profile_banners/2992754161/1569587217,F5ABB5,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 02:20:54 +0000 2020,1220894283206746116,1220894283206746116,@theJJPerez @UTSA @spurs Snag me one!?,False,"[25, 38]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208717330219418e+18,1220871733021941761,25100344.0,25100344,theJJPerez,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'theJJPerez', 'name': 'JJ Perez', 'id': 25100344, 'id_str': '25100344', 'indices': [0, 11]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [12, 17]}, {'screen_name': 'spurs', 'name': 'San Antonio Spurs', 'id': 18371803, 'id_str': '18371803', 'indices': [18, 24]}]",[],en,recent,716075168,716075168,Ceazar,CeazarFlores,"San Antonio, Texas",24 | UTSA | #JeepLife,,[],False,178,355,1,Wed Jul 25 13:34:59 +0000 2012,4631,,,True,False,1814,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1217192077718708226/FABH4c4M_normal.jpg,https://pbs.twimg.com/profile_images/1217192077718708226/FABH4c4M_normal.jpg,https://pbs.twimg.com/profile_banners/716075168/1467069514,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 02:10:51 +0000 2020,1220891752296517634,1220891752296517634,@Jofred98 And 2nd career tip trash all the Tx Logo helmet stickers!  @UTSA,False,"[10, 74]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207978891921203e+18,1220797889192120324,3315644630.0,3315644630,Jofred98,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Jofred98', 'name': 'Jawed Bensalah', 'id': 3315644630, 'id_str': '3315644630', 'indices': [0, 9]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [69, 74]}]",[],en,recent,979555518,979555518,Benn,Villagewolf3,Kansas,"UTSA alumn in Wichita KS.  New England Patriots, SPURS! and of course UTSA!  Run'em, Birds UP! #Runem  #Birdsup #Runwithus",,[],False,118,134,0,Fri Nov 30 02:10:07 +0000 2012,9705,,,True,False,13792,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/695064673834536962/EyheZmeh_normal.jpg,https://pbs.twimg.com/profile_images/695064673834536962/EyheZmeh_normal.jpg,https://pbs.twimg.com/profile_banners/979555518/1407075220,0099B9,5ED4DC,95E8EC,3C3940,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 01:00:26 +0000 2020,1220874032695910400,1220874032695910400,@theJJPerez @UTSA @spurs Sweet!!!!,False,"[25, 34]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208717330219418e+18,1220871733021941761,25100344.0,25100344,theJJPerez,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'theJJPerez', 'name': 'JJ Perez', 'id': 25100344, 'id_str': '25100344', 'indices': [0, 11]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [12, 17]}, {'screen_name': 'spurs', 'name': 'San Antonio Spurs', 'id': 18371803, 'id_str': '18371803', 'indices': [18, 24]}]",[],en,recent,3266251754,3266251754,Bryan Logan,blogan2010,,Teacher/Coach in CFISD | UTSA a#Alum #BirdsUp | HFBC CYPRESS | Chick Fil A is my weakness |,,[],False,497,1664,0,Thu Jul 02 17:14:40 +0000 2015,55476,,,True,False,5862,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1191412949178556416/VBp3cJQu_normal.jpg,https://pbs.twimg.com/profile_images/1191412949178556416/VBp3cJQu_normal.jpg,https://pbs.twimg.com/profile_banners/3266251754/1468267319,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 22:35:44 +0000 2020,1220837617731809280,1220837617731809280,RT @AKPSI_UTSA: Xi Omicron is back on Twitter! Stay tuned for more! Show us some love on the ‘Gram as well 💙💛@AKPSI_UTSA #UTSA @UTSA @akpsi,False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,"[{'text': 'UTSA', 'indices': [121, 126]}]",[],"[{'screen_name': 'AKPSI_UTSA', 'name': 'XO', 'id': 88570134, 'id_str': '88570134', 'indices': [3, 14]}, {'screen_name': 'AKPSI_UTSA', 'name': 'XO', 'id': 88570134, 'id_str': '88570134', 'indices': [109, 120]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [127, 132]}, {'screen_name': 'akpsi', 'name': 'Alpha Kappa Psi', 'id': 41660754, 'id_str': '41660754', 'indices': [133, 139]}]",[],en,recent,88570134,88570134,XO,AKPSI_UTSA,"San Antonio, TX","The official Twitter page of the Xi Omicron chapter of Alpha Kappa Psi. Professional business fraternity, open to all majors. Shaping People, Shaping Business!",,[],False,709,555,12,Mon Nov 09 02:22:58 +0000 2009,81,,,True,False,404,,False,False,False,022330,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1082437720729968640/5BMV21c0_normal.jpg,https://pbs.twimg.com/profile_images/1082437720729968640/5BMV21c0_normal.jpg,https://pbs.twimg.com/profile_banners/88570134/1546895423,0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,,Fri Jan 24 06:00:05 +0000 2020,1.220587053051777e+18,1220587053051777024,Xi Omicron is back on Twitter! Stay tuned for more! Show us some love on the ‘Gram as well 💙💛@AKPSI_UTSA #UTSA @UTSA @akpsi,False,"[0, 123]","[{'text': 'UTSA', 'indices': [105, 110]}]",[],"[{'screen_name': 'AKPSI_UTSA', 'name': 'XO', 'id': 88570134, 'id_str': '88570134', 'indices': [93, 104]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [111, 116]}, {'screen_name': 'akpsi', 'name': 'Alpha Kappa Psi', 'id': 41660754, 'id_str': '41660754', 'indices': [117, 123]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,88570134.0,88570134,XO,AKPSI_UTSA,"San Antonio, TX","The official Twitter page of the Xi Omicron chapter of Alpha Kappa Psi. Professional business fraternity, open to all majors. Shaping People, Shaping Business!",,[],False,709.0,555.0,12.0,Mon Nov 09 02:22:58 +0000 2009,81.0,,,True,False,404.0,,False,False,False,022330,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1082437720729968640/5BMV21c0_normal.jpg,https://pbs.twimg.com/profile_images/1082437720729968640/5BMV21c0_normal.jpg,https://pbs.twimg.com/profile_banners/88570134/1546895423,0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none,,,3df4f427b5a60fea,https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json,city,San Antonio,"San Antonio, TX",US,United States,[],Polygon,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",,False,2.0,2.0,False,False,en,,,,,
16,Fri Jan 24 21:35:55 +0000 2020,1220822564802650114,1220822564802650114,RT @AKPSI_UTSA: Xi Omicron is back on Twitter! Stay tuned for more! Show us some love on the ‘Gram as well 💙💛@AKPSI_UTSA #UTSA @UTSA @akpsi,False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,"[{'text': 'UTSA', 'indices': [121, 126]}]",[],"[{'screen_name': 'AKPSI_UTSA', 'name': 'XO', 'id': 88570134, 'id_str': '88570134', 'indices': [3, 14]}, {'screen_name': 'AKPSI_UTSA', 'name': 'XO', 'id': 88570134, 'id_str': '88570134', 'indices': [109, 120]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [127, 132]}, {'screen_name': 'akpsi', 'name': 'Alpha Kappa Psi', 'id': 41660754, 'id_str': '41660754', 'indices': [133, 139]}]",[],en,recent,724618886,724618886,Luk’ 🗿,AlmightyLukee,Houston,6’1”|🇳🇬| Muslim| RIP Fuad 3:24|RIP Coach Rome #LLS🕊|@utsamenofhonor Secretary|AKΨ|,https://t.co/Fal5lmw7VJ,[],False,3501,3340,12,Sun Jul 29 20:51:56 +0000 2012,27479,,,True,False,22713,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1150392988339757056/80Bm5Ily_normal.jpg,https://pbs.twimg.com/profile_images/1150392988339757056/80Bm5Ily_normal.jpg,https://pbs.twimg.com/profile_banners/724618886/1551635417,0051B3,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,"[{'url': 'https://t.co/Fal5lmw7VJ', 'expanded_url': 'http://m.youtube.com/watch?v=9S7wz9_i4vc', 'display_url': 'm.youtube.com/watch?v=9S7wz9…', 'indices': [0, 23]}]",,,,,,,,,,,Fri Jan 24 06:00:05 +0000 2020,1.220587053051777e+18,1220587053051777024,Xi Omicron is back on Twitter! Stay tuned for more! Show us some love on the ‘Gram as well 💙💛@AKPSI_UTSA #UTSA @UTSA @akpsi,False,"[0, 123]","[{'text': 'UTSA', 'indices': [105, 110]}]",[],"[{'screen_name': 'AKPSI_UTSA', 'name': 'XO', 'id': 88570134, 'id_str': '88570134', 'indices': [93, 104]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [111, 116]}, {'screen_name': 'akpsi', 'name': 'Alpha Kappa Psi', 'id': 41660754, 'id_str': '41660754', 'indices': [117, 123]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,88570134.0,88570134,XO,AKPSI_UTSA,"San Antonio, TX","The official Twitter page of the Xi Omicron chapter of Alpha Kappa Psi. Professional business fraternity, open to all majors. Shaping People, Shaping Business!",,[],False,709.0,555.0,12.0,Mon Nov 09 02:22:58 +0000 2009,81.0,,,True,False,404.0,,False,False,False,022330,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1082437720729968640/5BMV21c0_normal.jpg,https://pbs.twimg.com/profile_images/1082437720729968640/5BMV21c0_normal.jpg,https://pbs.twimg.com/profile_banners/88570134/1546895423,0084B4,A8C7F7,C0DFEC,333333,True,True,False,False,False,False,False,none,,,3df4f427b5a60fea,https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json,city,San Antonio,"San Antonio, TX",US,United States,[],Polygon,"[[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]]",,False,2.0,2.0,False,False,en,,,,,
18,Fri Jan 24 18:05:09 +0000 2020,1220769523499966467,1220769523499966467,@PearlandHS @UTSA @MissKriss29 Congratulations Kristin!! Welcome to the Roadrunner family!! 💙 🧡,False,"[31, 95]","<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",1.2207662670549197e+18,1220766267054919681,1659856194.0,1659856194,PearlandHS,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'PearlandHS', 'name': 'PHS Guidance', 'id': 1659856194, 'id_str': '1659856194', 'indices': [0, 11]}, {'screen_name': 'UTSA', 'name': 'UTSA', 'id': 85362822, 'id_str': '85362822', 'indices': [12, 17]}, {'screen_name': 'MissKriss29', 'name': 'kristin madden', 'id': 493604094, 'id_str': '493604094', 'indices': [18, 30]}]",[],en,recent,22163860,22163860,Future Roadrunner,UTSAFutureRR,"San Antonio, TX",Official Twitter account dedicated to helping #FutureRoadrunners in their journey to #UTSA! Tweet us your questions! #futureroadrunner #utsatour #utsa24,https://t.co/wFSeEXw5aY,[],False,3235,274,50,Fri Feb 27 17:27:38 +0000 2009,8631,,,True,False,9418,,False,False,False,002244,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/734789788658749440/lMndotnh_normal.jpg,https://pbs.twimg.com/profile_images/734789788658749440/lMndotnh_normal.jpg,https://pbs.twimg.com/profile_banners/22163860/1546468053,F47321,000000,E98420,333333,True,False,False,False,False,False,False,none,"[{'url': 'https://t.co/wFSeEXw5aY', 'expanded_url': 'http://future.utsa.edu', 'display_url': 'future.utsa.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
