,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,possibly_sensitive
1,Sun Jan 26 02:57:41 +0000 2020,1221265927943204864,1221265927943204864,"@luiseug28491195 @Benjohnson1112 @MDAndersonNews @ASCO Dear Luis, such a kindness. Not at all.",False,"[55, 94]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212426538132316e+18,1221242653813231617,1.1450892589208453e+18,1145089258920845312,luiseug28491195,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'luiseug28491195', 'name': 'luis eugenio', 'id': 1145089258920845312, 'id_str': '1145089258920845312', 'indices': [0, 16]}, {'screen_name': 'Benjohnson1112', 'name': 'Dr. Ben Johnson', 'id': 2355843617, 'id_str': '2355843617', 'indices': [17, 32]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [33, 48]}, {'screen_name': 'ASCO', 'name': 'ASCO', 'id': 20187065, 'id_str': '20187065', 'indices': [49, 54]}]",[],en,recent,782236296504827904,782236296504827904,Alexandre Jácome,AJacomeMD,"Belo Horizonte, Brasil","Gastrointestinal Oncologist, MD, PhD. Husband and Dad. PhD @USPonline and Postdoc Fellow @MDAndersonNews. #coloncancer #rectalcancer #pancreaticcancer",,,[],False,358,173,5,Sat Oct 01 15:10:41 +0000 2016,8056,,,True,False,696,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1192673642980753413/lze_ASFa_normal.jpg,https://pbs.twimg.com/profile_images/1192673642980753413/lze_ASFa_normal.jpg,https://pbs.twimg.com/profile_banners/782236296504827904/1573190600,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,1d9a5370a355ab0c,https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json,city,Chicago,"Chicago, IL",US,United States,[],Polygon,"[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sun Jan 26 01:23:33 +0000 2020,1221242234907119616,1221242234907119616,@MDAndersonNews If you guys had a few spare meal tickets or a free night in your hotel I’m sure that would help their stay a little bit while down there waiting for a care plan to be developed ♥️,False,"[16, 195]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211091038100316e+18,1221109103810031616,14062554.0,14062554,MDAndersonNews,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [0, 15]}]",[],en,recent,1141053269374132224,1141053269374132224,Courtney Shader,CourtneyShader,,#EndHomeFries AmeriCorps NCCC Alumni,,,[],False,79,96,0,Tue Jun 18 18:41:13 +0000 2019,2040,,,False,False,550,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1197309050469408768/l7ZV3XP0_normal.jpg,https://pbs.twimg.com/profile_images/1197309050469408768/l7ZV3XP0_normal.jpg,https://pbs.twimg.com/profile_banners/1141053269374132224/1574296483,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sun Jan 26 01:18:00 +0000 2020,1221240839579586562,1221240839579586562,@TGeorgeMD @NRGonc @SWOG @NCICTEP_ClinRes @TheCTSU @theNCI @skopetz @MDAndersonNews @HH_Oncodr @GregYothers @WakeCancer Interesting that atezo alone arm will be eliminated in upcoming amendment. Can anyone say why? Is it clearly inferior? Interesting development #CRCSM #gi20 #Immunotherapy,False,"[120, 290]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211896100903158e+18,1221189610090315776,1720827667.0,1720827667,TGeorgeMD,,,,,False,0,0,False,False,en,"[{'text': 'CRCSM', 'indices': [263, 269]}, {'text': 'gi20', 'indices': [270, 275]}, {'text': 'Immunotherapy', 'indices': [276, 290]}]",[],"[{'screen_name': 'TGeorgeMD', 'name': 'Thomas George MD', 'id': 1720827667, 'id_str': '1720827667', 'indices': [0, 10]}, {'screen_name': 'NRGonc', 'name': 'NRG Oncology', 'id': 2210559318, 'id_str': '2210559318', 'indices': [11, 18]}, {'screen_name': 'SWOG', 'name': 'SWOG Cancer Research Network', 'id': 459482914, 'id_str': '459482914', 'indices': [19, 24]}, {'screen_name': 'NCICTEP_ClinRes', 'name': 'NCI CTEP Clinical Research', 'id': 950369288141115394, 'id_str': '950369288141115394', 'indices': [25, 41]}, {'screen_name': 'TheCTSU', 'name': 'Cancer Trials Support Unit', 'id': 2361622956, 'id_str': '2361622956', 'indices': [42, 50]}, {'screen_name': 'theNCI', 'name': 'National Cancer Institute', 'id': 38530021, 'id_str': '38530021', 'indices': [51, 58]}, {'screen_name': 'skopetz', 'name': 'Scott Kopetz', 'id': 116343047, 'id_str': '116343047', 'indices': [59, 67]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [68, 83]}, {'screen_name': 'HH_Oncodr', 'name': 'Howard S Hochster MD', 'id': 3129806495, 'id_str': '3129806495', 'indices': [84, 94]}, {'screen_name': 'GregYothers', 'name': 'Greg Yothers', 'id': 2648867718, 'id_str': '2648867718', 'indices': [95, 107]}, {'screen_name': 'WakeCancer', 'name': 'Wake Forest Baptist - Comprehensive Cancer Center', 'id': 1185265220748566528, 'id_str': '1185265220748566528', 'indices': [108, 119]}]",[],en,recent,561083494,561083494,Richard Dunne,DrR_DUNNE,"Rochester, NY","GI Oncologist @wilmotcancer w/ research focus in #cachexia, weight loss, #pancreaticcancer and love of anything sport , @notredame alum, tweets my own",,,[],False,1360,416,26,Mon Apr 23 12:18:55 +0000 2012,5833,,,True,False,3837,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/2200653301/228568_662803330085_43404990_35043603_5441175_n_normal.jpg,https://pbs.twimg.com/profile_images/2200653301/228568_662803330085_43404990_35043603_5441175_n_normal.jpg,https://pbs.twimg.com/profile_banners/561083494/1500672298,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,01431a8402105db6,https://api.twitter.com/1.1/geo/id/01431a8402105db6.json,city,Pittsford,"Pittsford, NY",US,United States,[],Polygon,"[[[-77.580355, 43.026793], [-77.479304, 43.026793], [-77.479304, 43.124356], [-77.580355, 43.124356]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sun Jan 26 00:05:21 +0000 2020,1221222558051139589,1221222558051139589,@AJacomeMD @MDAndersonNews @ASCO @AJacomeMD it is a privilege to collaborate with you my friend!!,False,"[33, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211865350449275e+18,1221186535044927489,7.822362965048279e+17,782236296504827904,AJacomeMD,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'AJacomeMD', 'name': 'Alexandre Jácome', 'id': 782236296504827904, 'id_str': '782236296504827904', 'indices': [0, 10]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [11, 26]}, {'screen_name': 'ASCO', 'name': 'ASCO', 'id': 20187065, 'id_str': '20187065', 'indices': [27, 32]}, {'screen_name': 'AJacomeMD', 'name': 'Alexandre Jácome', 'id': 782236296504827904, 'id_str': '782236296504827904', 'indices': [33, 43]}]",[],en,recent,2355843617,2355843617,Dr. Ben Johnson,Benjohnson1112,"Houston, TX","⚓️ByGrace-Husband/Dad/Assistant Professor @MDAndersonNews focused on colorectal & anal cancer #crcsm #trials #aBRAF #BRAF #CMS4 #analca #precision // Prov 3:5,6",https://t.co/dgeyNGTcwa,"[{'url': 'https://t.co/dgeyNGTcwa', 'expanded_url': 'https://faculty.mdanderson.org/profiles/benny_johnson.html', 'display_url': 'faculty.mdanderson.org/profiles/benny…', 'indices': [0, 23]}]",[],False,431,427,6,Fri Feb 21 04:43:57 +0000 2014,419,,,True,False,166,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/749006791694921728/mk5wiECW_normal.jpg,https://pbs.twimg.com/profile_images/749006791694921728/mk5wiECW_normal.jpg,https://pbs.twimg.com/profile_banners/2355843617/1533019669,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,5a110d312052166f,https://api.twitter.com/1.1/geo/id/5a110d312052166f.json,city,San Francisco,"San Francisco, CA",US,United States,[],Polygon,"[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat Jan 25 18:57:46 +0000 2020,1221145150459645952,1221145150459645952,@MDAndersonNews @MoTjoviH chcek this out #HelpPapaRethabile,False,"[16, 59]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.218366901858001e+18,1218366901858000901,14062554.0,14062554,MDAndersonNews,,,,,False,1,1,False,False,en,"[{'text': 'HelpPapaRethabile', 'indices': [41, 59]}]",[],"[{'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [0, 15]}, {'screen_name': 'MoTjoviH', 'name': 'Lebo●', 'id': 926444440172056577, 'id_str': '926444440172056577', 'indices': [16, 25]}]",[],en,recent,2339394208,2339394208,Papa Rethabile ♥,mphomokola,johannesburg,Proudly Mosotho🇱🇸 Tho. | Son Of a Domestic Worker | Payroll Administrator | HR Student📚  | Certified PAPARETHABILE | ♤Influencer♤,https://t.co/l6sQMyTVHR,"[{'url': 'https://t.co/l6sQMyTVHR', 'expanded_url': 'https://webfluential.com/5d9300b6-c658-42fc-9cc4-6f0e81e8d32a', 'display_url': 'webfluential.com/5d9300b6-c658-…', 'indices': [0, 23]}]",[],False,23069,22176,7,Wed Feb 12 14:24:31 +0000 2014,59091,,,True,False,64353,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1215195709575700480/fgJUatz__normal.jpg,https://pbs.twimg.com/profile_images/1215195709575700480/fgJUatz__normal.jpg,https://pbs.twimg.com/profile_banners/2339394208/1532545628,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat Jan 25 14:02:08 +0000 2020,1221070751656267776,1221070751656267776,The TMA Winter Conference expo hours will end today at noon. Visit with @TMAIT @TMLT_TMIC @Humana @TMAPracticeEdge and @MDAndersonNews @HyattAustin on the 2nd floor. #tmamtg,False,"[0, 173]","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,,,,,False,1,2,False,False,en,"[{'text': 'tmamtg', 'indices': [166, 173]}]",[],"[{'screen_name': 'TMAIT', 'name': 'TMA Insurance Trust', 'id': 33519312, 'id_str': '33519312', 'indices': [72, 78]}, {'screen_name': 'TMLT_TMIC', 'name': 'TMLT', 'id': 41208939, 'id_str': '41208939', 'indices': [79, 89]}, {'screen_name': 'Humana', 'name': 'Humana', 'id': 24160942, 'id_str': '24160942', 'indices': [90, 97]}, {'screen_name': 'TMAPracticeEdge', 'name': 'TMA PracticeEdge', 'id': 3029057097, 'id_str': '3029057097', 'indices': [98, 114]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [119, 134]}, {'screen_name': 'HyattAustin', 'name': 'Hyatt Regency Austin', 'id': 21147473, 'id_str': '21147473', 'indices': [135, 147]}]",[],en,recent,12831902,12831902,Texas Medical Association,texmed,"Austin, TX","TMA is more than 53,000 physicians and medical students caring for Texans. We are experts on all things health care in Texas. (RT's don't equal endorsements)",https://t.co/ZvySIqh2v1,"[{'url': 'https://t.co/ZvySIqh2v1', 'expanded_url': 'https://www.texmed.org/', 'display_url': 'texmed.org', 'indices': [0, 23]}]",[],False,23536,8328,633,Tue Jan 29 15:18:01 +0000 2008,3593,,,True,True,39526,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/464134704766013441/TWsPbRdt_normal.jpeg,https://pbs.twimg.com/profile_images/464134704766013441/TWsPbRdt_normal.jpeg,https://pbs.twimg.com/profile_banners/12831902/1578499711,015E54,FFFFFF,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fri Jan 24 18:57:02 +0000 2020,1220782576962396160,1220782576962396160,"RT @LizCancerHealth: Eduardo Bruera @edubru @MDAndersonNews: he was among first to introduce morphine to Mexico. Worldwide, unavailability…",False,"[0, 139]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'LizCancerHealth', 'name': 'Liz Highleyman', 'id': 954687664095092736, 'id_str': '954687664095092736', 'indices': [3, 19]}, {'screen_name': 'edubru', 'name': 'Eduardo Bruera MD', 'id': 35890731, 'id_str': '35890731', 'indices': [36, 43]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [44, 59]}]",[],en,recent,745757563,745757563,Lola Rahib,LolaRahib,"Los Angeles, CA","Director, Scientific and Clinical Affairs @cancercommons |🏃‍♀️✈️ 🌎 🐶",,,[],False,953,946,32,Wed Aug 08 19:02:30 +0000 2012,21081,,,True,False,2127,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/562865203336212480/SmAPOo2r_normal.jpeg,https://pbs.twimg.com/profile_images/562865203336212480/SmAPOo2r_normal.jpeg,https://pbs.twimg.com/profile_banners/745757563/1428970096,89C9FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,Fri Jan 24 18:54:19 +0000 2020,1.2207818950566502e+18,1220781895056650241,"Eduardo Bruera @edubru @MDAndersonNews: he was among first to introduce morphine to Mexico. Worldwide, unavailability of opioids for pain relief is a major issue. #GI20",False,"[0, 168]","[{'text': 'GI20', 'indices': [163, 168]}]",[],"[{'screen_name': 'edubru', 'name': 'Eduardo Bruera MD', 'id': 35890731, 'id_str': '35890731', 'indices': [15, 22]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [23, 38]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,9.546876640950927e+17,954687664095092736,Liz Highleyman,LizCancerHealth,"San Francisco, CA","Medical journalist, Cancer Health (@CancerHealthmag) science editor, travel aficionado & research beagle adopter. lizh@cancerhealth.com https://t.co/N4Ljmll4aq",https://t.co/8885Af2kZF,"[{'url': 'https://t.co/8885Af2kZF', 'expanded_url': 'http://www.cancerhealth.com', 'display_url': 'cancerhealth.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/N4Ljmll4aq', 'expanded_url': 'http://CancerHealth.com', 'display_url': 'CancerHealth.com', 'indices': [136, 159]}]",False,1660.0,2864.0,18.0,Sat Jan 20 12:10:51 +0000 2018,7745.0,,,True,False,5532.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_banners/954687664095092736/1579560076,978BB8,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,2.0,4.0,False,False,en,,,,,,,,,,,
34,Fri Jan 24 18:56:50 +0000 2020,1220782528543387649,1220782528543387649,"RT @LizCancerHealth: Eduardo Bruera @edubru @MDAndersonNews: he was among first to introduce morphine to Mexico. Worldwide, unavailability…",False,"[0, 139]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'LizCancerHealth', 'name': 'Liz Highleyman', 'id': 954687664095092736, 'id_str': '954687664095092736', 'indices': [3, 19]}, {'screen_name': 'edubru', 'name': 'Eduardo Bruera MD', 'id': 35890731, 'id_str': '35890731', 'indices': [36, 43]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [44, 59]}]",[],en,recent,1170440187001933824,1170440187001933824,Dr Joseph McCollom DO,realbowtiedoc,Fort Wayne IN,"Foster care alum, GI med onc and pall onc doc @ParkviewHealth.  Uniting support and cancer care. #survonc #GIonc #supponc #hpm #hapc #pallonc Tweets are own.",,,[],False,285,302,4,Sat Sep 07 20:54:29 +0000 2019,2634,,,False,False,1088,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1170440694634352640/JmDMKw1t_normal.jpg,https://pbs.twimg.com/profile_images/1170440694634352640/JmDMKw1t_normal.jpg,https://pbs.twimg.com/profile_banners/1170440187001933824/1574282656,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,Fri Jan 24 18:54:19 +0000 2020,1.2207818950566502e+18,1220781895056650241,"Eduardo Bruera @edubru @MDAndersonNews: he was among first to introduce morphine to Mexico. Worldwide, unavailability of opioids for pain relief is a major issue. #GI20",False,"[0, 168]","[{'text': 'GI20', 'indices': [163, 168]}]",[],"[{'screen_name': 'edubru', 'name': 'Eduardo Bruera MD', 'id': 35890731, 'id_str': '35890731', 'indices': [15, 22]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [23, 38]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,9.546876640950927e+17,954687664095092736,Liz Highleyman,LizCancerHealth,"San Francisco, CA","Medical journalist, Cancer Health (@CancerHealthmag) science editor, travel aficionado & research beagle adopter. lizh@cancerhealth.com https://t.co/N4Ljmll4aq",https://t.co/8885Af2kZF,"[{'url': 'https://t.co/8885Af2kZF', 'expanded_url': 'http://www.cancerhealth.com', 'display_url': 'cancerhealth.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/N4Ljmll4aq', 'expanded_url': 'http://CancerHealth.com', 'display_url': 'CancerHealth.com', 'indices': [136, 159]}]",False,1660.0,2864.0,18.0,Sat Jan 20 12:10:51 +0000 2018,7745.0,,,True,False,5532.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_banners/954687664095092736/1579560076,978BB8,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,2.0,4.0,False,False,en,,,,,,,,,,,
35,Fri Jan 24 18:54:19 +0000 2020,1220781895056650241,1220781895056650241,"Eduardo Bruera @edubru @MDAndersonNews: he was among first to introduce morphine to Mexico. Worldwide, unavailability of opioids for pain relief is a major issue. #GI20",False,"[0, 168]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,4,False,False,en,"[{'text': 'GI20', 'indices': [163, 168]}]",[],"[{'screen_name': 'edubru', 'name': 'Eduardo Bruera MD', 'id': 35890731, 'id_str': '35890731', 'indices': [15, 22]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [23, 38]}]",[],en,recent,954687664095092736,954687664095092736,Liz Highleyman,LizCancerHealth,"San Francisco, CA","Medical journalist, Cancer Health (@CancerHealthmag) science editor, travel aficionado & research beagle adopter. lizh@cancerhealth.com https://t.co/N4Ljmll4aq",https://t.co/8885Af2kZF,"[{'url': 'https://t.co/8885Af2kZF', 'expanded_url': 'http://www.cancerhealth.com', 'display_url': 'cancerhealth.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/N4Ljmll4aq', 'expanded_url': 'http://CancerHealth.com', 'display_url': 'CancerHealth.com', 'indices': [136, 159]}]",False,1660,2864,18,Sat Jan 20 12:10:51 +0000 2018,7745,,,True,False,5532,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_banners/954687664095092736/1579560076,978BB8,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fri Jan 24 18:44:55 +0000 2020,1220779527896322048,1220779527896322048,"Eduardo Bruera @edubru @MDAndersonNews: Pain relievers are stupid drugs -- wherever they can find a receptor, they will bind. Can lead to people using opioids to manage distress as well as pain #GI20",False,"[0, 199]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,1,False,False,en,"[{'text': 'GI20', 'indices': [194, 199]}]",[],"[{'screen_name': 'edubru', 'name': 'Eduardo Bruera MD', 'id': 35890731, 'id_str': '35890731', 'indices': [15, 22]}, {'screen_name': 'MDAndersonNews', 'name': 'MD Anderson Cancer Center', 'id': 14062554, 'id_str': '14062554', 'indices': [23, 38]}]",[],en,recent,954687664095092736,954687664095092736,Liz Highleyman,LizCancerHealth,"San Francisco, CA","Medical journalist, Cancer Health (@CancerHealthmag) science editor, travel aficionado & research beagle adopter. lizh@cancerhealth.com https://t.co/N4Ljmll4aq",https://t.co/8885Af2kZF,"[{'url': 'https://t.co/8885Af2kZF', 'expanded_url': 'http://www.cancerhealth.com', 'display_url': 'cancerhealth.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/N4Ljmll4aq', 'expanded_url': 'http://CancerHealth.com', 'display_url': 'CancerHealth.com', 'indices': [136, 159]}]",False,1660,2864,18,Sat Jan 20 12:10:51 +0000 2018,7745,,,True,False,5532,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_images/954690767775150080/WAxdYvZ0_normal.jpg,https://pbs.twimg.com/profile_banners/954687664095092736/1579560076,978BB8,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
