,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.user.profile_banner_url,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.possibly_sensitive
2,Sat Jan 25 21:20:39 +0000 2020,1221181110048051200,1221181110048051200,@mrogers_utah @SwoopHawk @sjquinney @UUtah HOW DID I MISS THIS.,False,"[43, 63]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2211483666895954e+18,1221148366689595392,19277613.0,19277613,mrogers_utah,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'mrogers_utah', 'name': 'Melinda Rogers', 'id': 19277613, 'id_str': '19277613', 'indices': [0, 13]}, {'screen_name': 'SwoopHawk', 'name': 'Swoop', 'id': 14761927, 'id_str': '14761927', 'indices': [14, 24]}, {'screen_name': 'sjquinney', 'name': 'Utah Law', 'id': 9785942, 'id_str': '9785942', 'indices': [25, 35]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [36, 42]}]",[],en,recent,3195892692,3195892692,Cathy Hwang,cathyhwang47,"Salt Lake City, UT",Business law prof @UUtah @SJQuinney writing about M&A deals and contracts. My work is here: https://t.co/0f0SvTaU3j.,https://t.co/gtyqPeOCNL,"[{'url': 'https://t.co/0f0SvTaU3j', 'expanded_url': 'http://bit.ly/2kAqJD5', 'display_url': 'bit.ly/2kAqJD5', 'indices': [92, 115]}]",False,1000,546,15,Fri May 15 04:43:37 +0000 2015,3166,,,True,False,513,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/746544052141580289/R2kr8bNy_normal.jpg,https://pbs.twimg.com/profile_images/746544052141580289/R2kr8bNy_normal.jpg,https://pbs.twimg.com/profile_banners/3195892692/1486414198,DD2E44,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/gtyqPeOCNL', 'expanded_url': 'https://faculty.utah.edu/u6005912-Cathy_Hwang/biography/index.hml', 'display_url': 'faculty.utah.edu/u6005912-Cathy…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Jan 25 20:34:18 +0000 2020,1221169443016859648,1221169443016859648,RT @jasminebnorman: @UTPsyDiversity @sundancefest @UUtah Keep an eye out for free and midnight screenings all over Salt Lake City (includin…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'jasminebnorman', 'name': 'Jasmine B. Norman', 'id': 1169360372173656066, 'id_str': '1169360372173656066', 'indices': [3, 18]}, {'screen_name': 'UTPsyDiversity', 'name': 'UtahPsychDiversity', 'id': 1097651760636678144, 'id_str': '1097651760636678144', 'indices': [20, 35]}, {'screen_name': 'sundancefest', 'name': 'SundanceFilmFestival', 'id': 12369372, 'id_str': '12369372', 'indices': [36, 49]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [50, 56]}]",[],en,recent,1097651760636678144,1097651760636678144,UtahPsychDiversity,UTPsyDiversity,,University of Utah psychology department diversity committee. Connect. Engage. Thrive. Follow us on Instagram @utahpsychdiversity,,[],False,102,200,1,Tue Feb 19 00:19:07 +0000 2019,370,,,False,False,289,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1122700409359835137/oa3uhCkh_normal.jpg,https://pbs.twimg.com/profile_images/1122700409359835137/oa3uhCkh_normal.jpg,https://pbs.twimg.com/profile_banners/1097651760636678144/1550537355,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,Sat Jan 25 19:40:31 +0000 2020,1.2211559111016448e+18,1221155911101644805,"@UTPsyDiversity @sundancefest @UUtah Keep an eye out for free and midnight screenings all over Salt Lake City (including the Tower, Rose Wagner, and The Grand Theatre). Usually $25 per movie for SL locals!",False,"[37, 205]",[],[],"[{'screen_name': 'UTPsyDiversity', 'name': 'UtahPsychDiversity', 'id': 1097651760636678144, 'id_str': '1097651760636678144', 'indices': [0, 15]}, {'screen_name': 'sundancefest', 'name': 'SundanceFilmFestival', 'id': 12369372, 'id_str': '12369372', 'indices': [16, 29]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [30, 36]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220713363296133e+18,1220713363296133122,1.0976517606366781e+18,1097651760636678144,UTPsyDiversity,1.169360372173656e+18,1169360372173656066,Jasmine B. Norman,jasminebnorman,"Salt Lake City, Utah","Social Psychology PhD Candidate @UUtah | she/her
Research & Tweets: Identity | Diversity & Intergroup Relations | Person Perception",,[],False,120.0,225.0,0.0,Wed Sep 04 21:23:47 +0000 2019,70.0,,,False,False,62.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1169360516961067008/XsbpZjZI_normal.jpg,https://pbs.twimg.com/profile_images/1169360516961067008/XsbpZjZI_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 19:40:31 +0000 2020,1221155911101644805,1221155911101644805,"@UTPsyDiversity @sundancefest @UUtah Keep an eye out for free and midnight screenings all over Salt Lake City (including the Tower, Rose Wagner, and The Grand Theatre). Usually $25 per movie for SL locals!",False,"[37, 205]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220713363296133e+18,1220713363296133122,1.0976517606366781e+18,1097651760636678144,UTPsyDiversity,,,,,False,1,1,False,False,en,[],[],"[{'screen_name': 'UTPsyDiversity', 'name': 'UtahPsychDiversity', 'id': 1097651760636678144, 'id_str': '1097651760636678144', 'indices': [0, 15]}, {'screen_name': 'sundancefest', 'name': 'SundanceFilmFestival', 'id': 12369372, 'id_str': '12369372', 'indices': [16, 29]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [30, 36]}]",[],en,recent,1169360372173656066,1169360372173656066,Jasmine B. Norman,jasminebnorman,"Salt Lake City, Utah","Social Psychology PhD Candidate @UUtah | she/her
Research & Tweets: Identity | Diversity & Intergroup Relations | Person Perception",,[],False,120,225,0,Wed Sep 04 21:23:47 +0000 2019,70,,,False,False,62,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1169360516961067008/XsbpZjZI_normal.jpg,https://pbs.twimg.com/profile_images/1169360516961067008/XsbpZjZI_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sat Jan 25 08:22:16 +0000 2020,1220985222860279808,1220985222860279808,@Adam_L_Hughes @CellCellPress @casey_e_hughes @CoodyTroy @jordanberg0 @UUtah Very beautiful and elegant story! Congrats.,False,"[77, 120]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203757903170068e+18,1220375790317006853,1.0730169660953272e+18,1073016966095327232,Adam_L_Hughes,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Adam_L_Hughes', 'name': 'Adam Hughes', 'id': 1073016966095327232, 'id_str': '1073016966095327232', 'indices': [0, 14]}, {'screen_name': 'CellCellPress', 'name': 'Cell', 'id': 65134016, 'id_str': '65134016', 'indices': [15, 29]}, {'screen_name': 'casey_e_hughes', 'name': 'Casey Hughes', 'id': 1203348335551242243, 'id_str': '1203348335551242243', 'indices': [30, 45]}, {'screen_name': 'CoodyTroy', 'name': 'Troy Coody', 'id': 933013268171386880, 'id_str': '933013268171386880', 'indices': [46, 56]}, {'screen_name': 'jordanberg0', 'name': 'Jordan Berg', 'id': 822551391541542912, 'id_str': '822551391541542912', 'indices': [57, 69]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [70, 76]}]",[],en,recent,132451877,132451877,Matteo Bordi,MBordino,"Rome, italy","Senior postdoc working on mitophagy, autophagy and neurobiology. Science is my bread!",,[],False,192,457,6,Tue Apr 13 08:12:30 +0000 2010,1159,,,True,False,2445,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1163689057651703809/fHGHICcX_normal.jpg,https://pbs.twimg.com/profile_images/1163689057651703809/fHGHICcX_normal.jpg,https://pbs.twimg.com/profile_banners/132451877/1566280203,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sat Jan 25 01:20:09 +0000 2020,1220878991386525699,1220878991386525699,@courtmcbeth @territaylor @empam @aacu @lumina @UUtah Awesome group. Tell Pam hi!,False,"[54, 81]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208317267227853e+18,1220831726722785280,4241341214.0,4241341214,courtmcbeth,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'courtmcbeth', 'name': 'Dr. Courtney H. McBeth', 'id': 4241341214, 'id_str': '4241341214', 'indices': [0, 12]}, {'screen_name': 'territaylor', 'name': 'Terri Taylor', 'id': 18098004, 'id_str': '18098004', 'indices': [13, 25]}, {'screen_name': 'empam', 'name': 'Pam Horne', 'id': 35761529, 'id_str': '35761529', 'indices': [26, 32]}, {'screen_name': 'aacu', 'name': 'AAC&U', 'id': 74811700, 'id_str': '74811700', 'indices': [33, 38]}, {'screen_name': 'lumina', 'name': 'Lumina Motion Pics', 'id': 14666213, 'id_str': '14666213', 'indices': [39, 46]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [47, 53]}]",[],en,recent,363935086,363935086,Mike Martineau,Mike_Martineau,Utah,"Husband & father | PhD in Economics | I lead analytics for @UUtah | Demanding guacamole judge, pro pineapple on 🍕| tweets are my own, obv",https://t.co/jaNHTpdy7H,[],False,144,346,5,Sun Aug 28 23:09:35 +0000 2011,3142,,,False,False,815,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1189954832024641537/jncpqpTl_normal.jpg,https://pbs.twimg.com/profile_images/1189954832024641537/jncpqpTl_normal.jpg,https://pbs.twimg.com/profile_banners/363935086/1412217121,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/jaNHTpdy7H', 'expanded_url': 'http://MikeMartineau.com', 'display_url': 'MikeMartineau.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sat Jan 25 01:17:37 +0000 2020,1220878354347225090,1220878354347225090,@jjmccluskey @UUtah @RuthVWatkins So sorry for your loss and i appreciate all your efforts to keep campuses safer for all students everywhere.  I am sending our daughter off to college next year and hope whatever college she chooses they provides a safe environment so she can enjoy her experiences.,False,"[34, 299]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208280130901115e+18,1220828013090111488,2904583470.0,2904583470,jjmccluskey,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'jjmccluskey', 'name': 'Jill McCluskey', 'id': 2904583470, 'id_str': '2904583470', 'indices': [0, 12]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [13, 19]}, {'screen_name': 'RuthVWatkins', 'name': 'Ruth V. Watkins', 'id': 867129626627260416, 'id_str': '867129626627260416', 'indices': [20, 33]}]",[],en,recent,1108824143196123136,1108824143196123136,Dean Miller,dawgsmiller1,"Seattle, WA","UW Alum and Husky. Lifelong Seahawks, Mariners , Sonics & Seattle NHL fan.",,[],False,46,514,0,Thu Mar 21 20:14:11 +0000 2019,4149,,,True,False,1411,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1162687546008199168/L70im-gf_normal.jpg,https://pbs.twimg.com/profile_images/1162687546008199168/L70im-gf_normal.jpg,https://pbs.twimg.com/profile_banners/1108824143196123136/1565347485,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 23:45:59 +0000 2020,1220855293657042944,1220855293657042944,"@jdahlstrom765 @UtahAG @UUtah Julie, it was an honor to be there!",False,"[30, 65]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208543008065413e+18,1220854300806541312,1.0899202369738916e+18,1089920236973891584,jdahlstrom765,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jdahlstrom765', 'name': 'Julie Dahlstrom', 'id': 1089920236973891584, 'id_str': '1089920236973891584', 'indices': [0, 14]}, {'screen_name': 'UtahAG', 'name': 'Utah Attorney General', 'id': 2857392589, 'id_str': '2857392589', 'indices': [15, 22]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [23, 29]}]",[],en,recent,884165455287427072,884165455287427072,Philip Aces High,philipcase_usmc,Cedar Fort Utah ,"Marine Corps Vet, Father of 6, Pilot, CEH, Security Researcher, U of Washington alum, Christian, LDS, Proud American, KAG, BYU",,[],False,7777,5947,4,Sun Jul 09 21:40:46 +0000 2017,51558,,,False,False,48170,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221303864118239232/a_w0ZQfr_normal.jpg,https://pbs.twimg.com/profile_images/1221303864118239232/a_w0ZQfr_normal.jpg,https://pbs.twimg.com/profile_banners/884165455287427072/1579052303,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fri Jan 24 23:45:23 +0000 2020,1220855145291845632,1220855145291845632,RT @jdahlstrom765: @philipcase_usmc @UtahAG @UUtah Thanks @philipcase_usmc for your support!,False,"[0, 92]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'jdahlstrom765', 'name': 'Julie Dahlstrom', 'id': 1089920236973891584, 'id_str': '1089920236973891584', 'indices': [3, 17]}, {'screen_name': 'philipcase_usmc', 'name': 'Philip Aces High', 'id': 884165455287427072, 'id_str': '884165455287427072', 'indices': [19, 35]}, {'screen_name': 'UtahAG', 'name': 'Utah Attorney General', 'id': 2857392589, 'id_str': '2857392589', 'indices': [36, 43]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [44, 50]}, {'screen_name': 'philipcase_usmc', 'name': 'Philip Aces High', 'id': 884165455287427072, 'id_str': '884165455287427072', 'indices': [58, 74]}]",[],en,recent,884165455287427072,884165455287427072,Philip Aces High,philipcase_usmc,Cedar Fort Utah ,"Marine Corps Vet, Father of 6, Pilot, CEH, Security Researcher, U of Washington alum, Christian, LDS, Proud American, KAG, BYU",,[],False,7777,5947,4,Sun Jul 09 21:40:46 +0000 2017,51558,,,False,False,48170,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221303864118239232/a_w0ZQfr_normal.jpg,https://pbs.twimg.com/profile_images/1221303864118239232/a_w0ZQfr_normal.jpg,https://pbs.twimg.com/profile_banners/884165455287427072/1579052303,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,Fri Jan 24 23:42:02 +0000 2020,1.2208543008065413e+18,1220854300806541312,@philipcase_usmc @UtahAG @UUtah Thanks @philipcase_usmc for your support!,False,"[32, 73]",[],[],"[{'screen_name': 'philipcase_usmc', 'name': 'Philip Aces High', 'id': 884165455287427072, 'id_str': '884165455287427072', 'indices': [0, 16]}, {'screen_name': 'UtahAG', 'name': 'Utah Attorney General', 'id': 2857392589, 'id_str': '2857392589', 'indices': [17, 24]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [25, 31]}, {'screen_name': 'philipcase_usmc', 'name': 'Philip Aces High', 'id': 884165455287427072, 'id_str': '884165455287427072', 'indices': [39, 55]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208371577255895e+18,1220837157725589504,8.841654552874271e+17,884165455287427072,philipcase_usmc,1.0899202369738916e+18,1089920236973891584,Julie Dahlstrom,jdahlstrom765,"Boston, MA","Julie Dahlstrom is a Clinical Associate Professor @BU_Law, where she teaches in the areas of immigration, human trafficking, and gender-based violence.",https://t.co/QMR8FCJAFG,[],False,280.0,446.0,3.0,Mon Jan 28 16:16:49 +0000 2019,921.0,,,False,False,150.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1089920855658979334/Z8un6Swk_normal.jpg,https://pbs.twimg.com/profile_images/1089920855658979334/Z8un6Swk_normal.jpg,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,"[{'url': 'https://t.co/QMR8FCJAFG', 'expanded_url': 'http://www.bu.edu/law/profile/julie-a-dahlstrom/', 'display_url': 'bu.edu/law/profile/ju…', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/1089920236973891584/1548712360,,,,,,,,,,,,,,,,,,,,,
35,Fri Jan 24 21:10:12 +0000 2020,1220816092660039680,1220816092660039680,@rociohzz @RuthVWatkins I am disappointed in @RuthVWatkins' lack of integrity. She never recanted her discredited statement that Lauren's murder could not have been prevented.  Lauren was murdered under her watch. How can @UUtah improve campus safety if they don't face their failures?,False,"[24, 285]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.220776020757713e+18,1220776020757712896,1473004837.0,1473004837,rociohzz,,,,,False,3,16,False,False,en,[],[],"[{'screen_name': 'rociohzz', 'name': 'Rocio Hernandez Z.', 'id': 1473004837, 'id_str': '1473004837', 'indices': [0, 9]}, {'screen_name': 'RuthVWatkins', 'name': 'Ruth V. Watkins', 'id': 867129626627260416, 'id_str': '867129626627260416', 'indices': [10, 23]}, {'screen_name': 'RuthVWatkins', 'name': 'Ruth V. Watkins', 'id': 867129626627260416, 'id_str': '867129626627260416', 'indices': [45, 58]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [222, 228]}]",[],en,recent,2904583470,2904583470,Jill McCluskey,jjmccluskey,"Pullman, WA","Regents Prof. & Director, WSU School of Econ Sciences, Past Pres. AAEA, Matt's wife, mom to a Ute athlete in heaven & a Husky future engineer. Views are mine.",https://t.co/VpgbFmtTzb,[],False,3382,538,34,Wed Nov 19 15:21:18 +0000 2014,8251,,,False,False,1269,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/638715822890835968/5X-Pl6ua_normal.jpg,https://pbs.twimg.com/profile_images/638715822890835968/5X-Pl6ua_normal.jpg,https://pbs.twimg.com/profile_banners/2904583470/1573859316,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/VpgbFmtTzb', 'expanded_url': 'https://people.ses.wsu.edu/mccluskey/', 'display_url': 'people.ses.wsu.edu/mccluskey/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fri Jan 24 19:28:33 +0000 2020,1220790511553994752,1220790511553994752,RT @KappaSigmaWGM: Congrats to @Kappasigmautah at the @UUtah for another record breaking rush! On 🔥,False,"[0, 99]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'KappaSigmaWGM', 'name': 'Justin A. Hansen', 'id': 48047220, 'id_str': '48047220', 'indices': [3, 17]}, {'screen_name': 'Kappasigmautah', 'name': 'Kappa Sigma - Utah', 'id': 1089273434, 'id_str': '1089273434', 'indices': [31, 46]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [54, 60]}]",[],en,recent,48077625,48077625,Kappa Sigma,KappaSigmaHQ,"Charlottesville, VA","Founded in 1869, Kappa Sigma is represented on over 300 college & university campuses throughout North America by more than 20,000 undergraduate members.",https://t.co/zkCGgBCqAg,[],False,14677,488,104,Wed Jun 17 19:16:10 +0000 2009,11426,,,True,True,15731,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1103034771960221697/-ysQ2n0U_normal.jpg,https://pbs.twimg.com/profile_images/1103034771960221697/-ysQ2n0U_normal.jpg,https://pbs.twimg.com/profile_banners/48077625/1576081343,9D1939,FFFFFF,FFFFFF,333333,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/zkCGgBCqAg', 'expanded_url': 'https://kappasigma.org/social-media-submissions/', 'display_url': 'kappasigma.org/social-media-s…', 'indices': [0, 23]}]",Fri Jan 24 04:41:03 +0000 2020,1.2205671633686077e+18,1220567163368607744,Congrats to @Kappasigmautah at the @UUtah for another record breaking rush! On 🔥,False,"[0, 80]",[],[],"[{'screen_name': 'Kappasigmautah', 'name': 'Kappa Sigma - Utah', 'id': 1089273434, 'id_str': '1089273434', 'indices': [12, 27]}, {'screen_name': 'UUtah', 'name': 'University of Utah', 'id': 14748679, 'id_str': '14748679', 'indices': [35, 41]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,48047220.0,48047220,Justin A. Hansen,KappaSigmaWGM,"Boston, MA","Worthy Grand Master (President) of the Kappa Sigma Fraternity | Initiate of Xi-Beta, Northeastern University | Finance Career | 🇺🇸⛷🏉⛳️🚴🏼✈️🤘🏼🆎",https://t.co/izji7bceYc,[],False,2586.0,1692.0,29.0,Wed Jun 17 17:51:54 +0000 2009,5711.0,,,True,False,3781.0,,False,False,False,215C1B,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/846454801705713668/bbgs2-ae_normal.jpg,https://pbs.twimg.com/profile_images/846454801705713668/bbgs2-ae_normal.jpg,4C3FF5,86A4A6,78B386,4C4F4F,True,True,False,False,False,False,False,none,,,,,False,3.0,7.0,False,False,en,"[{'url': 'https://t.co/izji7bceYc', 'expanded_url': 'http://kappasigma.org', 'display_url': 'kappasigma.org', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/48047220/1469981930,,,,,,,,,,,67b98f17fdcf20be,https://api.twitter.com/1.1/geo/id/67b98f17fdcf20be.json,city,Boston,"Boston, MA",US,United States,[],Polygon,"[[[-71.191421, 42.227797], [-70.986004, 42.227797], [-70.986004, 42.399542], [-71.191421, 42.399542]]]",
