,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place
9,Thu Jan 23 08:59:47 +0000 2020,1220269889501483009,1220269889501483009,@DanielRicottaMD @ShaniHerzig @tony_breu @BIDMC_Medicine @uvmvermont @BIDMC_Education @SocietyHospMed This sounds really interesting! Good #physiology knowledge is so important for all clinicians. Many times we dont need to memorize algorithms if we understand the physiology behind what we are doing.,False,"[102, 301]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200931183194767e+18,1220093118319476736,3178383846.0,3178383846,DanielRicottaMD,,,,,False,0,3,False,False,en,"[{'text': 'physiology', 'indices': [139, 150]}]",[],"[{'screen_name': 'DanielRicottaMD', 'name': 'Daniel Ricotta, MD, FHM', 'id': 3178383846, 'id_str': '3178383846', 'indices': [0, 16]}, {'screen_name': 'ShaniHerzig', 'name': 'Shoshana Herzig', 'id': 313556244, 'id_str': '313556244', 'indices': [17, 29]}, {'screen_name': 'tony_breu', 'name': 'Tony Breu', 'id': 545674125, 'id_str': '545674125', 'indices': [30, 40]}, {'screen_name': 'BIDMC_Medicine', 'name': 'BIDMC Department of Medicine', 'id': 1212073494084636672, 'id_str': '1212073494084636672', 'indices': [41, 56]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [57, 68]}, {'screen_name': 'BIDMC_Education', 'name': 'BIDMC Shapiro Inst.', 'id': 3130677699, 'id_str': '3130677699', 'indices': [69, 85]}, {'screen_name': 'SocietyHospMed', 'name': 'Society of Hospital Medicine', 'id': 19715037, 'id_str': '19715037', 'indices': [86, 101]}]",[],en,recent,1114954040264286210,1114954040264286210,Fay P,FayP2020,Gainesville and Boston,"IM #Resident Pgy3, #Scientist, Pianist. I love both bench and bedside and try to connect them. Learner. Teacher. Life is short and art long",,[],False,27,142,0,Sun Apr 07 18:12:12 +0000 2019,75,,,False,False,27,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1215741814537367558/ukD-HvNE_normal.jpg,https://pbs.twimg.com/profile_images/1215741814537367558/ukD-HvNE_normal.jpg,https://pbs.twimg.com/profile_banners/1114954040264286210/1578689640,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Wed Jan 22 23:50:43 +0000 2020,1220131711343661056,1220131711343661056,@DanielRicottaMD @ShaniHerzig @tony_breu @BIDMC_Medicine @uvmvermont @BIDMC_Education @SocietyHospMed I’m assuming this course involves discussing physiology while fly-fishing? 🎣,False,"[102, 178]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200931183194767e+18,1220093118319476736,3178383846.0,3178383846,DanielRicottaMD,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'DanielRicottaMD', 'name': 'Daniel Ricotta, MD, FHM', 'id': 3178383846, 'id_str': '3178383846', 'indices': [0, 16]}, {'screen_name': 'ShaniHerzig', 'name': 'Shoshana Herzig', 'id': 313556244, 'id_str': '313556244', 'indices': [17, 29]}, {'screen_name': 'tony_breu', 'name': 'Tony Breu', 'id': 545674125, 'id_str': '545674125', 'indices': [30, 40]}, {'screen_name': 'BIDMC_Medicine', 'name': 'BIDMC Department of Medicine', 'id': 1212073494084636672, 'id_str': '1212073494084636672', 'indices': [41, 56]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [57, 68]}, {'screen_name': 'BIDMC_Education', 'name': 'BIDMC Shapiro Inst.', 'id': 3130677699, 'id_str': '3130677699', 'indices': [69, 85]}, {'screen_name': 'SocietyHospMed', 'name': 'Society of Hospital Medicine', 'id': 19715037, 'id_str': '19715037', 'indices': [86, 101]}]",[],en,recent,324968367,324968367,"Jordan Anderson, MD",JordanA_05,"Boston, MA",Internal Medicine Resident @BrighamandWomens Tweeting about Healthcare Innovation and Reform | Alum @HarvardMed @AuburnSwimDive @UniofOxford @AscensionCare,,[],False,402,1156,7,Mon Jun 27 14:30:38 +0000 2011,1447,,,False,False,1807,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/867433577105027078/c_AVKZkh_normal.jpg,https://pbs.twimg.com/profile_images/867433577105027078/c_AVKZkh_normal.jpg,https://pbs.twimg.com/profile_banners/324968367/1564071060,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Wed Jan 22 22:53:43 +0000 2020,1220117364773216257,1220117364773216257,"I traded in my parking pass and have been walking to work @uvmvermont for the past 6 mos. It’s been great. However I’ve been keeping track of how many near-misses I’ve had with cars, and today marks the 14th and 15th time I’ve almost been hit. @winooskivt @OneNorthAvenue",False,"[0, 271]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [58, 69]}, {'screen_name': 'winooskivt', 'name': 'City of Winooski', 'id': 257102337, 'id_str': '257102337', 'indices': [244, 255]}, {'screen_name': 'OneNorthAvenue', 'name': 'Burlington Police', 'id': 81120821, 'id_str': '81120821', 'indices': [256, 271]}]",[],en,recent,777812498636570625,777812498636570625,Michael Ruggiero,DrMikeRug,"Burlington, VT",Chemistry Professor at @UVMChemistry. Proud @GeneseoChem alum. 2019 Forbes 30 Under 30 Science. He/him.,https://t.co/OtqScs6ANs,[],False,619,1073,10,Mon Sep 19 10:12:05 +0000 2016,4652,,,True,False,1463,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1095173289570373633/-_lkxeKc_normal.jpg,https://pbs.twimg.com/profile_images/1095173289570373633/-_lkxeKc_normal.jpg,https://pbs.twimg.com/profile_banners/777812498636570625/1475061946,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/OtqScs6ANs', 'expanded_url': 'https://www.uvm.edu/cas/chemistry/profiles/michael-t-ruggiero', 'display_url': 'uvm.edu/cas/chemistry/…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mon Jan 20 17:03:04 +0000 2020,1219304348615872513,1219304348615872513,"@DustinTannerVT This is a national problem, not exclusive to @uvmvermont",False,"[16, 72]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.219302724665213e+18,1219302724665212937,1.0007716339199877e+18,1000771633919987713,DustinTannerVT,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'DustinTannerVT', 'name': 'Dustin “You don’t need to print that” Tanner', 'id': 1000771633919987713, 'id_str': '1000771633919987713', 'indices': [0, 15]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [61, 72]}]",[],en,recent,25186026,25186026,IndieGirlVT,NCTinVT,"Burlington, VT",@Vassar Alum. She/Her. Indie/Prog. Loyalty means something. #BTV #StillSanders #Truth2Power. #TitleIX #VAWA #CleryAct  Views r my own. RT≠ endorsement,,[],False,620,794,22,Wed Mar 18 23:40:53 +0000 2009,20438,,,False,False,8464,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1207658942568042496/omWU4Wve_normal.jpg,https://pbs.twimg.com/profile_images/1207658942568042496/omWU4Wve_normal.jpg,https://pbs.twimg.com/profile_banners/25186026/1522762592,4A913C,829D5E,829D5E,3E4415,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Mon Jan 20 11:59:18 +0000 2020,1219227901301862401,1219227901301862401,@jenleonard_ @CNN @uvmvermont Thanks Jen!,False,"[30, 41]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2191107730681405e+18,1219110773068140544,6202692.0,6202692,jenleonard_,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'jenleonard_', 'name': 'Jen Leonard', 'id': 6202692, 'id_str': '6202692', 'indices': [0, 12]}, {'screen_name': 'CNN', 'name': 'CNN', 'id': 759251, 'id_str': '759251', 'indices': [13, 17]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [18, 29]}]",[],en,recent,14283504,14283504,Josh Bongard,DoctorJosh,,"Robotics professor at the University of Vermont. Also into crowdsourcing, evolution, machine learning, artificial intelligence, complex systems, and big data.",https://t.co/zVAE5BsM7O,[],False,4371,1960,301,Wed Apr 02 14:44:36 +0000 2008,1672,,,True,False,1799,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000118825073/f63d15ca05cd01f7c265b824f055a0df_normal.jpeg,https://pbs.twimg.com/profile_images/378800000118825073/f63d15ca05cd01f7c265b824f055a0df_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/zVAE5BsM7O', 'expanded_url': 'http://www.meclab.org', 'display_url': 'meclab.org', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sat Jan 18 17:30:08 +0000 2020,1218586380554702852,1218586380554702852,RT @UVMPattyPrelock: Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athle…,False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,11,0,False,False,en,[],[],"[{'screen_name': 'UVMPattyPrelock', 'name': 'Patricia A. Prelock', 'id': 931637821181440009, 'id_str': '931637821181440009', 'indices': [3, 19]}, {'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [54, 67]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [68, 79]}]",[],en,recent,4595120995,4595120995,Adam Virgile,AdamVirgile,"Burlington, VT",Sports Science Consultant | Founder @AVSportSci | Advisor @RockDaisyAMS | PhD student @uvmvermont | Writer | Infographics | Views are my own,https://t.co/bJYS62cu0L,[],False,2112,194,10,Fri Dec 18 16:03:38 +0000 2015,7838,,,True,False,2042,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/826448551706230785/mxZos8pZ_normal.jpg,https://pbs.twimg.com/profile_images/826448551706230785/mxZos8pZ_normal.jpg,https://pbs.twimg.com/profile_banners/4595120995/1485876077,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/bJYS62cu0L', 'expanded_url': 'https://adamvirgile.com', 'display_url': 'adamvirgile.com', 'indices': [0, 23]}]",Sat Jan 18 06:23:42 +0000 2020,1.218418669358895e+18,1218418669358895104,Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athletic team had a GPA of over 3.0. So proud of our high-performing #scholar-#athletes. Thank you to #coaches and #staff who supported their success. #ThisisVermont,False,"[0, 278]","[{'text': 'athletic', 'indices': [112, 121]}, {'text': 'scholar', 'indices': [182, 190]}, {'text': 'athletes', 'indices': [191, 200]}, {'text': 'coaches', 'indices': [215, 223]}, {'text': 'staff', 'indices': [228, 234]}, {'text': 'ThisisVermont', 'indices': [264, 278]}]",[],"[{'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [33, 46]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [47, 58]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,9.3163782118144e+17,931637821181440009,Patricia A. Prelock,UVMPattyPrelock,"Burlington, VT","Provost Patty Prelock @UVMVermont. Autism expert, Amateur magician, grandma.",,,[],False,479.0,50.0,9.0,Fri Nov 17 21:39:00 +0000 2017,1902.0,,,True,False,738.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_banners/931637821181440009/1510955692,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,False,11.0,83.0,False,False,en,,,,,,,,,,,
33,Sat Jan 18 17:29:26 +0000 2020,1218586205492850688,1218586205492850688,RT @UVMPattyPrelock: Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athle…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,11,0,False,False,en,[],[],"[{'screen_name': 'UVMPattyPrelock', 'name': 'Patricia A. Prelock', 'id': 931637821181440009, 'id_str': '931637821181440009', 'indices': [3, 19]}, {'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [54, 67]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [68, 79]}]",[],en,recent,1169594208824516619,1169594208824516619,Jeff Hill,JeffHillUVM,"Burlington, VT",Assistant Coach - University of Vermont Men’s Hockey | Proud alum of @UVMmhockey and @UVMmlax,https://t.co/JgQwArH65f,[],False,113,154,1,Thu Sep 05 12:54:13 +0000 2019,222,,,False,False,88,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1169598243300401152/_z8vclNH_normal.jpg,https://pbs.twimg.com/profile_images/1169598243300401152/_z8vclNH_normal.jpg,https://pbs.twimg.com/profile_banners/1169594208824516619/1567689065,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/JgQwArH65f', 'expanded_url': 'https://uvmathletics.com/index.aspx?path=MHOCKEY', 'display_url': 'uvmathletics.com/index.aspx?pat…', 'indices': [0, 23]}]",Sat Jan 18 06:23:42 +0000 2020,1.218418669358895e+18,1218418669358895104,Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athletic team had a GPA of over 3.0. So proud of our high-performing #scholar-#athletes. Thank you to #coaches and #staff who supported their success. #ThisisVermont,False,"[0, 278]","[{'text': 'athletic', 'indices': [112, 121]}, {'text': 'scholar', 'indices': [182, 190]}, {'text': 'athletes', 'indices': [191, 200]}, {'text': 'coaches', 'indices': [215, 223]}, {'text': 'staff', 'indices': [228, 234]}, {'text': 'ThisisVermont', 'indices': [264, 278]}]",[],"[{'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [33, 46]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [47, 58]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,9.3163782118144e+17,931637821181440009,Patricia A. Prelock,UVMPattyPrelock,"Burlington, VT","Provost Patty Prelock @UVMVermont. Autism expert, Amateur magician, grandma.",,,[],False,479.0,50.0,9.0,Fri Nov 17 21:39:00 +0000 2017,1902.0,,,True,False,738.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_banners/931637821181440009/1510955692,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,False,11.0,83.0,False,False,en,,,,,,,,,,,
36,Sat Jan 18 14:05:40 +0000 2020,1218534925860790273,1218534925860790273,RT @UVMPattyPrelock: Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athle…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,11,0,False,False,en,[],[],"[{'screen_name': 'UVMPattyPrelock', 'name': 'Patricia A. Prelock', 'id': 931637821181440009, 'id_str': '931637821181440009', 'indices': [3, 19]}, {'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [54, 67]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [68, 79]}]",[],en,recent,844918179231096832,844918179231096832,Samantha Williams,sdwilliams0,"Burlington, VT","She/Her, Mom, Wife, Ed.D. Student, Center for Student Success GSB/UVM, VT Transplant - BOS to BTV || UML ‘10 NEC ‘11",,[],False,100,211,3,Thu Mar 23 14:26:06 +0000 2017,719,,,False,False,516,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211103540757848065/8XWQereq_normal.jpg,https://pbs.twimg.com/profile_images/1211103540757848065/8XWQereq_normal.jpg,,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,Sat Jan 18 06:23:42 +0000 2020,1.218418669358895e+18,1218418669358895104,Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athletic team had a GPA of over 3.0. So proud of our high-performing #scholar-#athletes. Thank you to #coaches and #staff who supported their success. #ThisisVermont,False,"[0, 278]","[{'text': 'athletic', 'indices': [112, 121]}, {'text': 'scholar', 'indices': [182, 190]}, {'text': 'athletes', 'indices': [191, 200]}, {'text': 'coaches', 'indices': [215, 223]}, {'text': 'staff', 'indices': [228, 234]}, {'text': 'ThisisVermont', 'indices': [264, 278]}]",[],"[{'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [33, 46]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [47, 58]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,9.3163782118144e+17,931637821181440009,Patricia A. Prelock,UVMPattyPrelock,"Burlington, VT","Provost Patty Prelock @UVMVermont. Autism expert, Amateur magician, grandma.",,,[],False,479.0,50.0,9.0,Fri Nov 17 21:39:00 +0000 2017,1902.0,,,True,False,738.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_banners/931637821181440009/1510955692,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,False,11.0,83.0,False,False,en,,,,,,,,,,,
37,Sat Jan 18 13:13:15 +0000 2020,1218521737123520514,1218521737123520514,RT @UVMPattyPrelock: Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athle…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,11,0,False,False,en,[],[],"[{'screen_name': 'UVMPattyPrelock', 'name': 'Patricia A. Prelock', 'id': 931637821181440009, 'id_str': '931637821181440009', 'indices': [3, 19]}, {'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [54, 67]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [68, 79]}]",[],en,recent,747269592234364928,747269592234364928,Sarah Dalton Graddock,UVMcoachdalton,Gutterson Field House,University of Vermont Head Women's Lacrosse Coach #gocatsgo,,[],False,401,293,5,Mon Jun 27 03:25:29 +0000 2016,4676,,,False,False,1022,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/747640551877517314/Zo1z4Wbm_normal.jpg,https://pbs.twimg.com/profile_images/747640551877517314/Zo1z4Wbm_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,Sat Jan 18 06:23:42 +0000 2020,1.218418669358895e+18,1218418669358895104,Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athletic team had a GPA of over 3.0. So proud of our high-performing #scholar-#athletes. Thank you to #coaches and #staff who supported their success. #ThisisVermont,False,"[0, 278]","[{'text': 'athletic', 'indices': [112, 121]}, {'text': 'scholar', 'indices': [182, 190]}, {'text': 'athletes', 'indices': [191, 200]}, {'text': 'coaches', 'indices': [215, 223]}, {'text': 'staff', 'indices': [228, 234]}, {'text': 'ThisisVermont', 'indices': [264, 278]}]",[],"[{'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [33, 46]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [47, 58]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,9.3163782118144e+17,931637821181440009,Patricia A. Prelock,UVMPattyPrelock,"Burlington, VT","Provost Patty Prelock @UVMVermont. Autism expert, Amateur magician, grandma.",,,[],False,479.0,50.0,9.0,Fri Nov 17 21:39:00 +0000 2017,1902.0,,,True,False,738.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_banners/931637821181440009/1510955692,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,False,11.0,83.0,False,False,en,,,,,,,,,,,
40,Sat Jan 18 06:23:42 +0000 2020,1218418669358895104,1218418669358895104,Just heard some great news about @UVMathletics @uvmvermont . Fall’19 was the best academic semester ever; every #athletic team had a GPA of over 3.0. So proud of our high-performing #scholar-#athletes. Thank you to #coaches and #staff who supported their success. #ThisisVermont,False,"[0, 278]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,11,83,False,False,en,"[{'text': 'athletic', 'indices': [112, 121]}, {'text': 'scholar', 'indices': [182, 190]}, {'text': 'athletes', 'indices': [191, 200]}, {'text': 'coaches', 'indices': [215, 223]}, {'text': 'staff', 'indices': [228, 234]}, {'text': 'ThisisVermont', 'indices': [264, 278]}]",[],"[{'screen_name': 'UVMathletics', 'name': 'UVM Athletics', 'id': 47674043, 'id_str': '47674043', 'indices': [33, 46]}, {'screen_name': 'uvmvermont', 'name': 'UVM', 'id': 29447794, 'id_str': '29447794', 'indices': [47, 58]}]",[],en,recent,931637821181440009,931637821181440009,Patricia A. Prelock,UVMPattyPrelock,"Burlington, VT","Provost Patty Prelock @UVMVermont. Autism expert, Amateur magician, grandma.",,[],False,479,50,9,Fri Nov 17 21:39:00 +0000 2017,1902,,,True,False,738,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_images/931640929949282304/h-1Sw4kM_normal.jpg,https://pbs.twimg.com/profile_banners/931637821181440009/1510955692,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
