,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
5,Sat Jan 25 08:19:03 +0000 2020,1220984413024071681,1220984413024071681,RT @Cheriewoolmer: @UVicLib @UVicDSCommons @uvic @UVicEducation @UVicHumanities @DocWithTheSocs of interest to our discussions!,False,"[0, 127]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'Cheriewoolmer', 'name': 'Cherie Woolmer', 'id': 19421463, 'id_str': '19421463', 'indices': [3, 17]}, {'screen_name': 'UVicLib', 'name': 'UVic Libraries', 'id': 17201942, 'id_str': '17201942', 'indices': [19, 27]}, {'screen_name': 'UVicDSCommons', 'name': 'UVic Digital Scholarship Commons', 'id': 850028539097235456, 'id_str': '850028539097235456', 'indices': [28, 42]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [43, 48]}, {'screen_name': 'UVicEducation', 'name': 'UVic Education', 'id': 38290244, 'id_str': '38290244', 'indices': [49, 63]}, {'screen_name': 'UVicHumanities', 'name': 'UVic Humanities', 'id': 237894143, 'id_str': '237894143', 'indices': [64, 79]}, {'screen_name': 'DocWithTheSocs', 'name': 'Ian Turner', 'id': 36704148, 'id_str': '36704148', 'indices': [80, 95]}]",[],en,recent,36704148,36704148,Ian Turner,DocWithTheSocs,"Derby, UK",Geeky scientist @derbyuni who wears bright coloured socks. Tweets #gamification #gamebasedlearning and #geek science stuff @LEGOSERIOUSPLAY academic,http://t.co/UufiTOxKGE,"[{'url': 'http://t.co/UufiTOxKGE', 'expanded_url': 'http://www.derby.ac.uk/staff-search/dr-ian-turner', 'display_url': 'derby.ac.uk/staff-search/d…', 'indices': [0, 22]}]",[],False,1293,579,23,Thu Apr 30 16:28:47 +0000 2009,1341,,,False,False,4043,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1128250625895088128/zw9-Ol60_normal.png,https://pbs.twimg.com/profile_images/1128250625895088128/zw9-Ol60_normal.png,https://pbs.twimg.com/profile_banners/36704148/1548623909,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,Sat Jan 25 01:20:18 +0000 2020,1.2208790312157184e+18,1220879031215718400,@UVicLib @UVicDSCommons @uvic @UVicEducation @UVicHumanities @DocWithTheSocs of interest to our discussions!,False,"[61, 108]",[],[],"[{'screen_name': 'UVicLib', 'name': 'UVic Libraries', 'id': 17201942, 'id_str': '17201942', 'indices': [0, 8]}, {'screen_name': 'UVicDSCommons', 'name': 'UVic Digital Scholarship Commons', 'id': 850028539097235456, 'id_str': '850028539097235456', 'indices': [9, 23]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [24, 29]}, {'screen_name': 'UVicEducation', 'name': 'UVic Education', 'id': 38290244, 'id_str': '38290244', 'indices': [30, 44]}, {'screen_name': 'UVicHumanities', 'name': 'UVic Humanities', 'id': 237894143, 'id_str': '237894143', 'indices': [45, 60]}, {'screen_name': 'DocWithTheSocs', 'name': 'Ian Turner', 'id': 36704148, 'id_str': '36704148', 'indices': [61, 76]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208386021727805e+18,1220838602172780547,17201942.0,17201942,UVicLib,19421463.0,19421463,Cherie Woolmer,Cheriewoolmer,"Hamilton, Ontario",Postdoc researcher of student voice and partnerships in HE. Academic Developer. McMaster University. ISSOTL Fellow. Views my own.,,[],False,874.0,937.0,15.0,Fri Jan 23 23:18:05 +0000 2009,4047.0,,,True,False,1957.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1005431202772332545/NZqG9krx_normal.jpg,https://pbs.twimg.com/profile_images/1005431202772332545/NZqG9krx_normal.jpg,https://pbs.twimg.com/profile_banners/19421463/1528549487,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,
9,Sat Jan 25 01:20:18 +0000 2020,1220879031215718400,1220879031215718400,@UVicLib @UVicDSCommons @uvic @UVicEducation @UVicHumanities @DocWithTheSocs of interest to our discussions!,False,"[61, 108]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2208386021727805e+18,1220838602172780547,17201942.0,17201942,UVicLib,,,,,False,1,2,False,False,en,[],[],"[{'screen_name': 'UVicLib', 'name': 'UVic Libraries', 'id': 17201942, 'id_str': '17201942', 'indices': [0, 8]}, {'screen_name': 'UVicDSCommons', 'name': 'UVic Digital Scholarship Commons', 'id': 850028539097235456, 'id_str': '850028539097235456', 'indices': [9, 23]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [24, 29]}, {'screen_name': 'UVicEducation', 'name': 'UVic Education', 'id': 38290244, 'id_str': '38290244', 'indices': [30, 44]}, {'screen_name': 'UVicHumanities', 'name': 'UVic Humanities', 'id': 237894143, 'id_str': '237894143', 'indices': [45, 60]}, {'screen_name': 'DocWithTheSocs', 'name': 'Ian Turner', 'id': 36704148, 'id_str': '36704148', 'indices': [61, 76]}]",[],en,recent,19421463,19421463,Cherie Woolmer,Cheriewoolmer,"Hamilton, Ontario",Postdoc researcher of student voice and partnerships in HE. Academic Developer. McMaster University. ISSOTL Fellow. Views my own.,,,[],False,874,937,15,Fri Jan 23 23:18:05 +0000 2009,4047,,,True,False,1957,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1005431202772332545/NZqG9krx_normal.jpg,https://pbs.twimg.com/profile_images/1005431202772332545/NZqG9krx_normal.jpg,https://pbs.twimg.com/profile_banners/19421463/1528549487,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 19:59:57 +0000 2020,1220798411378585601,1220798411378585601,@uvic @UVicSC (The third image above was taken on an iPhone with the macro lens recommended by @ercb2c—works like the proverbial charm 🤩),False,"[14, 137]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207954129713152e+18,1220795412971315200,287935399.0,287935399,StephanieLahey,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [0, 5]}, {'screen_name': 'UVicSC', 'name': 'Special Collections', 'id': 2715217825, 'id_str': '2715217825', 'indices': [6, 13]}, {'screen_name': 'ercb2c', 'name': 'ercb2c', 'id': 984710786479280128, 'id_str': '984710786479280128', 'indices': [95, 102]}]",[],en,recent,287935399,287935399,Stephanie Lahey,StephanieLahey,YYJ. Erstwhile of Leiden & YOW,"@SSHRC_CRSH funded @UVic #PhD cand, recent @LeidenHum guest researcher, @uOttawa MA alumna, 1st gen uni, @CanMedievalists PR. #Manuscripts #Parchment",https://t.co/5obPy0Qi0a,"[{'url': 'https://t.co/5obPy0Qi0a', 'expanded_url': 'https://hcommons.org/members/sjlahey/', 'display_url': 'hcommons.org/members/sjlahe…', 'indices': [0, 23]}]",[],False,3160,790,88,Mon Apr 25 23:29:48 +0000 2011,436877,,,True,False,85356,,False,False,False,020501,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/1325568171/avatar-reading_2_normal.jpg,https://pbs.twimg.com/profile_images/1325568171/avatar-reading_2_normal.jpg,https://pbs.twimg.com/profile_banners/287935399/1569953788,46B9BD,46A82D,1F1F1F,BDBBBD,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Fri Jan 24 19:08:35 +0000 2020,1220785484252749825,1220785484252749825,@CIC_ChemInst @uvic Congratulations @agbrolo !,False,"[20, 46]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203450409056707e+18,1220345040905670657,191522167.0,191522167,CIC_ChemInst,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'CIC_ChemInst', 'name': 'Chemical Institute of Canada', 'id': 191522167, 'id_str': '191522167', 'indices': [0, 13]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [14, 19]}, {'screen_name': 'agbrolo', 'name': 'Dr. Alexandre Brolo', 'id': 70565865, 'id_str': '70565865', 'indices': [36, 44]}]",[],en,recent,1691687808,1691687808,Dr. Sunil Rajput,Dr_SunilRajput,Canada,"PhD Scientist, Chemist and Microbiologist. Senior Business Partner with Alberta Innovates. Dad. New Yogi. Passionate about Health Innovation. My views.",,,[],False,79,247,0,Thu Aug 22 18:01:16 +0000 2013,143,,,False,False,116,,False,False,False,000000,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,False,http://pbs.twimg.com/profile_images/378800000345731716/f812b0b1e43c79de204ccbc15e7411b7_normal.jpeg,https://pbs.twimg.com/profile_images/378800000345731716/f812b0b1e43c79de204ccbc15e7411b7_normal.jpeg,https://pbs.twimg.com/profile_banners/1691687808/1575920261,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fri Jan 24 14:26:20 +0000 2020,1220714455840980994,1220714455840980994,"@DrSamLiu @uvic @UVicEPHE Congrats, Sam! Fantastic news.",False,"[26, 56]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205019201392312e+18,1220501920139231232,276051444.0,276051444,DrSamLiu,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DrSamLiu', 'name': 'Sam Liu', 'id': 276051444, 'id_str': '276051444', 'indices': [0, 9]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [10, 15]}, {'screen_name': 'UVicEPHE', 'name': 'UVic EPHE', 'id': 881045203, 'id_str': '881045203', 'indices': [16, 25]}]",[],en,recent,33407072,33407072,Marina B Wasilewski,mbastaw,"Toronto,ON, Canada",Scientist at St. John’s Rehab @sunnybrook. Science geek; Tech lover. Research: #rehabilitation #caregiving #PeerSupport #ehealth #aging. Tweets my own.,,,[],False,1118,962,85,Mon Apr 20 03:31:20 +0000 2009,2474,,,True,False,6900,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/487674814417489920/6MJ31OlX_normal.jpeg,https://pbs.twimg.com/profile_images/487674814417489920/6MJ31OlX_normal.jpeg,https://pbs.twimg.com/profile_banners/33407072/1394057684,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fri Jan 24 05:15:50 +0000 2020,1220575919133249539,1220575919133249539,@CIC_ChemInst @uvic Congrats @agbrolo . Well deserved.,False,"[20, 54]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2203450409056707e+18,1220345040905670657,191522167.0,191522167,CIC_ChemInst,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CIC_ChemInst', 'name': 'Chemical Institute of Canada', 'id': 191522167, 'id_str': '191522167', 'indices': [0, 13]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [14, 19]}, {'screen_name': 'agbrolo', 'name': 'Dr. Alexandre Brolo', 'id': 70565865, 'id_str': '70565865', 'indices': [29, 37]}]",[],en,recent,756692103414026240,756692103414026240,Mohsen Akbari,LiME_Akbari,"Victoria, British Columbia","Assistant Professor, UVic, Teacher, Father",https://t.co/Q1Qpcn2ywf,"[{'url': 'https://t.co/Q1Qpcn2ywf', 'expanded_url': 'https://makbari-lime.weebly.com', 'display_url': 'makbari-lime.weebly.com', 'indices': [0, 23]}]",[],False,461,410,5,Sat Jul 23 03:27:11 +0000 2016,3613,,,False,False,404,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1138458397605412864/MAc0dYhg_normal.png,https://pbs.twimg.com/profile_images/1138458397605412864/MAc0dYhg_normal.png,https://pbs.twimg.com/profile_banners/756692103414026240/1532143973,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Fri Jan 24 03:36:22 +0000 2020,1220550886189096969,1220550886189096969,RT @DrKateShannon: Excited #CIHR funded our @CGSHEquity 5yr grant &amp; working w the brilliant @uvic Dr Charlotte Loppie as joint PI -building…,False,"[0, 144]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,6,0,False,False,en,"[{'text': 'CIHR', 'indices': [27, 32]}]",[],"[{'screen_name': 'DrKateShannon', 'name': 'Kate Shannon', 'id': 1131413414260092931, 'id_str': '1131413414260092931', 'indices': [3, 17]}, {'screen_name': 'CGSHEquity', 'name': 'Centre for Gender and Sexual Health Equity (CGSHE)', 'id': 576365948, 'id_str': '576365948', 'indices': [44, 55]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [96, 101]}]",[],en,recent,1182761232,1182761232,Dr. Christine Chambers,DrCChambers,"Halifax, Nova Scotia","Busy mom of 4, PhD Psychologist, Scientific Director @CIHR_IHDCYH,  Scientific Director @KidsInPain, Professor & Tier 1 @CRC_CRC in Children's Pain @DalhousieU.",https://t.co/Tzp28pIaGy,"[{'url': 'https://t.co/Tzp28pIaGy', 'expanded_url': 'http://drcchambers.ca', 'display_url': 'drcchambers.ca', 'indices': [0, 23]}]",[],False,11461,7101,386,Fri Feb 15 14:18:30 +0000 2013,103856,,,True,False,51777,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1214370646949539840/B9d40EdL_normal.jpg,https://pbs.twimg.com/profile_images/1214370646949539840/B9d40EdL_normal.jpg,https://pbs.twimg.com/profile_banners/1182761232/1578363397,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,Thu Jan 23 19:36:25 +0000 2020,1.2204301013111194e+18,1220430101311119363,Excited #CIHR funded our @CGSHEquity 5yr grant &amp; working w the brilliant @uvic Dr Charlotte Loppie as joint PI -building equitable sexual health &amp; reproductive justice with youth &amp; young women #BC @UBCmedicine @UBCDoM @ubcspph @optbc @YouthCO @CIHR_IRSC @PHCResearch #genderequity,False,"[0, 292]","[{'text': 'CIHR', 'indices': [8, 13]}, {'text': 'BC', 'indices': [205, 208]}, {'text': 'genderequity', 'indices': [279, 292]}]",[],"[{'screen_name': 'CGSHEquity', 'name': 'Centre for Gender and Sexual Health Equity (CGSHE)', 'id': 576365948, 'id_str': '576365948', 'indices': [25, 36]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [77, 82]}, {'screen_name': 'UBCmedicine', 'name': 'UBC Medicine', 'id': 75133920, 'id_str': '75133920', 'indices': [209, 221]}, {'screen_name': 'UBCDoM', 'name': 'UBC Department of Medicine', 'id': 4832302105, 'id_str': '4832302105', 'indices': [222, 229]}, {'screen_name': 'ubcspph', 'name': 'SPPH @ UBC', 'id': 429298797, 'id_str': '429298797', 'indices': [230, 238]}, {'screen_name': 'optbc', 'name': 'Options for Sexual Health', 'id': 137426780, 'id_str': '137426780', 'indices': [239, 245]}, {'screen_name': 'YouthCO', 'name': 'YouthCO', 'id': 165919543, 'id_str': '165919543', 'indices': [246, 254]}, {'screen_name': 'CIHR_IRSC', 'name': 'CIHR', 'id': 76332033, 'id_str': '76332033', 'indices': [255, 265]}, {'screen_name': 'PHCResearch', 'name': 'Providence Health Care Research', 'id': 1167181908989472769, 'id_str': '1167181908989472769', 'indices': [266, 278]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.1314134142600929e+18,1131413414260092931,Kate Shannon,DrKateShannon,"Vancouver, BC, Canada","Prof & CRC @UBC; Exec Director @CGSHEquity; Feminist; Mother; Settler; Passionate about sexual health, reproductive justice, global health policy. She/Her/Hers",https://t.co/rsD7HmVlBo,[],False,685.0,803.0,0.0,Thu May 23 04:15:53 +0000 2019,291.0,,,False,False,338.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1131421636522008578/TiXPPDQW_normal.jpg,https://pbs.twimg.com/profile_images/1131421636522008578/TiXPPDQW_normal.jpg,https://pbs.twimg.com/profile_banners/1131413414260092931/1562440001,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,6.0,52.0,False,False,en,"[{'url': 'https://t.co/rsD7HmVlBo', 'expanded_url': 'http://cgshe.ca', 'display_url': 'cgshe.ca', 'indices': [0, 23]}]"
24,Fri Jan 24 00:53:53 +0000 2020,1220509995269328896,1220509995269328896,@DrSamLiu @uvic @UVicEPHE Congrats @DrSamLiu !,False,"[26, 46]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205019201392312e+18,1220501920139231232,276051444.0,276051444,DrSamLiu,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DrSamLiu', 'name': 'Sam Liu', 'id': 276051444, 'id_str': '276051444', 'indices': [0, 9]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [10, 15]}, {'screen_name': 'UVicEPHE', 'name': 'UVic EPHE', 'id': 881045203, 'id_str': '881045203', 'indices': [16, 25]}, {'screen_name': 'DrSamLiu', 'name': 'Sam Liu', 'id': 276051444, 'id_str': '276051444', 'indices': [35, 44]}]",[],en,recent,2465361470,2465361470,Nick Reed,DrNickReed,"Toronto, Canada","Associate Professor - Dept of Occupational Science & Occupational Therapy - University of Toronto
nick.reed@utoronto.ca
@OAKConcussion",,,[],False,1981,1670,49,Sun Apr 27 01:40:29 +0000 2014,12848,,,False,False,4659,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/680902462535012352/1fgyQ0u6_normal.jpg,https://pbs.twimg.com/profile_images/680902462535012352/1fgyQ0u6_normal.jpg,https://pbs.twimg.com/profile_banners/2465361470/1568834292,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 00:41:48 +0000 2020,1220506953505562626,1220506953505562626,@DrSamLiu @uvic @UVicEPHE Awesome! Congrats Sam !!,False,"[26, 50]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205019201392312e+18,1220501920139231232,276051444.0,276051444,DrSamLiu,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'DrSamLiu', 'name': 'Sam Liu', 'id': 276051444, 'id_str': '276051444', 'indices': [0, 9]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [10, 15]}, {'screen_name': 'UVicEPHE', 'name': 'UVic EPHE', 'id': 881045203, 'id_str': '881045203', 'indices': [16, 25]}]",[],en,recent,385776075,385776075,Sarah Wellman,s_wellman,"Ancaster, Ontario","CSEP-CEP, Physical Activity Advocate. UofT PHE & uOttawa Alumni. @INCHLab",,,[],False,388,487,11,Thu Oct 06 03:19:25 +0000 2011,836,,,False,False,1388,,False,False,False,709397,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1581039709/summer_jump_normal.jpg,https://pbs.twimg.com/profile_images/1581039709/summer_jump_normal.jpg,,89C9FA,86A4A6,A0C5C7,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Thu Jan 23 15:01:31 +0000 2020,1220360919332675584,1220360919332675584,@CIC_ChemInst @uvic Congrats @agbrolo!,False,"[20, 38]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203450409056707e+18,1220345040905670657,191522167.0,191522167,CIC_ChemInst,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'CIC_ChemInst', 'name': 'Chemical Institute of Canada', 'id': 191522167, 'id_str': '191522167', 'indices': [0, 13]}, {'screen_name': 'uvic', 'name': 'UniversityOfVictoria', 'id': 256735205, 'id_str': '256735205', 'indices': [14, 19]}, {'screen_name': 'agbrolo', 'name': 'Dr. Alexandre Brolo', 'id': 70565865, 'id_str': '70565865', 'indices': [29, 37]}]",[],en,recent,3809568015,3809568015,Stefania Impellizzeri,SfnImpellizzeri,"Toronto, Ontario","Twitter account of the Laboratory for Nanomaterials & Molecular Plasmonics of Dr. Stefania Impellizzeri - Scientist, Professor & Mom 🇨🇦🇮🇹 She/Her",https://t.co/cHhYueUrQb,"[{'url': 'https://t.co/cHhYueUrQb', 'expanded_url': 'https://www.ryerson.ca/cab/nanomaterials/', 'display_url': 'ryerson.ca/cab/nanomateri…', 'indices': [0, 23]}]",[],False,223,234,8,Tue Sep 29 01:38:17 +0000 2015,1029,,,True,False,418,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/981006036982222848/zpPx-QlB_normal.jpg,https://pbs.twimg.com/profile_images/981006036982222848/zpPx-QlB_normal.jpg,https://pbs.twimg.com/profile_banners/3809568015/1515436310,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
