,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
8,Sat Jan 25 08:37:13 +0000 2020,1220988986027458561,1220988986027458561,"It's time! New Zealand for the next 5 weeks within the @eumetsat #Copernicus Collaborative Exchange program - lake sampling across both islands, remote sensing and research collaborations! Happy to join @m_z_magic &amp; team at @waikato for the visit. #EarthObservation #lakes",False,"[0, 276]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,7,False,False,en,"[{'text': 'Copernicus', 'indices': [65, 76]}, {'text': 'EarthObservation', 'indices': [252, 269]}, {'text': 'lakes', 'indices': [270, 276]}]",[],"[{'screen_name': 'eumetsat', 'name': 'EUMETSAT', 'id': 277375017, 'id_str': '277375017', 'indices': [55, 64]}, {'screen_name': 'm_z_magic', 'name': 'Moritz Lehmann', 'id': 234206875, 'id_str': '234206875', 'indices': [203, 213]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [228, 236]}]",[],en,recent,1034142652508393473,1034142652508393473,Mortimer Werther,MortimerWerther,,"Lake and ocean optics, remote sensing and computer science.
PhD researcher at University of Stirling, Scotland.",,[],False,115,170,0,Mon Aug 27 18:16:36 +0000 2018,393,,,False,False,103,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1034145668288446464/iir44bMO_normal.jpg,https://pbs.twimg.com/profile_images/1034145668288446464/iir44bMO_normal.jpg,https://pbs.twimg.com/profile_banners/1034142652508393473/1550500386,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Thu Jan 23 20:53:30 +0000 2020,1220449499975507970,1220449499975507970,"@alice_tps @waikato Wonderful to see you and your fantastic researchers, Alice!",False,"[20, 79]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204461323268833e+18,1220446132326883330,1530203348.0,1530203348,alice_tps,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'alice_tps', 'name': 'A TePungaSomerville', 'id': 1530203348, 'id_str': '1530203348', 'indices': [0, 10]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [11, 19]}]",[],en,recent,2545380553,2545380553,Maebh Long,MaebhLong,"University of Waikato, NZ","Senior Lecturer Modernism and Contemporary Lit, Uni of Waikato. Editor of The Collected Letters of Flann O’Brien. Co-Investigator Oceanian Modernism Project.",,[],False,817,1088,8,Wed Jun 04 06:10:57 +0000 2014,2202,,,True,False,615,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1151584319548399618/aDc8xi4N_normal.jpg,https://pbs.twimg.com/profile_images/1151584319548399618/aDc8xi4N_normal.jpg,https://pbs.twimg.com/profile_banners/2545380553/1473251686,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Thu Jan 23 18:54:12 +0000 2020,1220419477604573189,1220419477604573189,"@AWecking @waikato @nzagrc @WaikatoEri @louisschipper @LiyinLiang Love it, Anne!",False,"[66, 80]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2201990969436897e+18,1220199096943689728,1.0397855433941115e+18,1039785543394111488,AWecking,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'AWecking', 'name': 'Anne Wecking', 'id': 1039785543394111488, 'id_str': '1039785543394111488', 'indices': [0, 9]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [10, 18]}, {'screen_name': 'nzagrc', 'name': 'NZAGRC', 'id': 897609636215312384, 'id_str': '897609636215312384', 'indices': [19, 26]}, {'screen_name': 'WaikatoEri', 'name': 'Environmental Research Institute', 'id': 1183893989667135491, 'id_str': '1183893989667135491', 'indices': [27, 38]}, {'screen_name': 'louisschipper', 'name': 'louis schipper', 'id': 396325085, 'id_str': '396325085', 'indices': [39, 53]}, {'screen_name': 'LiyinLiang', 'name': 'Liyin', 'id': 179532921, 'id_str': '179532921', 'indices': [54, 65]}]",[],en,recent,1008560954173296640,1008560954173296640,Michele Melchior,Mussel_Michele,New Zealand,PhD candidate focussing on reproductive & ecological resource partitioning in NZ #Kākahi (freshwater mussel) species| @waikato | @niwa_nz |,,[],False,334,436,6,Mon Jun 18 04:04:04 +0000 2018,1906,,,True,False,459,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1199370127600320513/rjduv2zm_normal.jpg,https://pbs.twimg.com/profile_images/1199370127600320513/rjduv2zm_normal.jpg,https://pbs.twimg.com/profile_banners/1008560954173296640/1560202736,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Wed Jan 22 20:24:32 +0000 2020,1220079824875720704,1220079824875720704,@BMarieWard @wegeochem @SpeleoQuest @SFMBreitenbach @Caves_Rocks @waikato As soon as I can! NZ stole the only part of my heart that was not taken by @SFMBreitenbach,False,"[74, 164]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2200652632335933e+18,1220065263233593344,8.675821720135393e+17,867582172013539328,BMarieWard,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'BMarieWard', 'name': 'Brittany Marie Ward', 'id': 867582172013539328, 'id_str': '867582172013539328', 'indices': [0, 11]}, {'screen_name': 'wegeochem', 'name': 'Adam Hartland', 'id': 2481626346, 'id_str': '2481626346', 'indices': [12, 22]}, {'screen_name': 'SpeleoQuest', 'name': 'Speleo QUEST', 'id': 845300111194378240, 'id_str': '845300111194378240', 'indices': [23, 35]}, {'screen_name': 'SFMBreitenbach', 'name': 'Seb Breitenbach', 'id': 854418965405335552, 'id_str': '854418965405335552', 'indices': [36, 51]}, {'screen_name': 'Caves_Rocks', 'name': 'Cinthya Nava', 'id': 1154827517854912512, 'id_str': '1154827517854912512', 'indices': [52, 64]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [65, 73]}, {'screen_name': 'SFMBreitenbach', 'name': 'Seb Breitenbach', 'id': 854418965405335552, 'id_str': '854418965405335552', 'indices': [149, 164]}]",[],en,recent,1087782876836478977,1087782876836478977,Ola Kwiecien,OlaKwiecien3,,"Natural scientist passionate about carbonates and lakes. And isotopes! Enjoying life in general, and good coffee and prosecco in particular.",,[],False,158,120,1,Tue Jan 22 18:43:42 +0000 2019,2915,,,False,False,394,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1092884882064396288/fJFufm_z_normal.jpg,https://pbs.twimg.com/profile_images/1092884882064396288/fJFufm_z_normal.jpg,https://pbs.twimg.com/profile_banners/1087782876836478977/1549400697,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Wed Jan 22 19:26:41 +0000 2020,1220065263233593344,1220065263233593344,@OlaKwiecien3 @wegeochem @SpeleoQuest @SFMBreitenbach @Caves_Rocks @waikato Come back soon! 🥝,False,"[76, 93]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.219942493199962e+18,1219942493199962113,1.087782876836479e+18,1087782876836478977,OlaKwiecien3,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'OlaKwiecien3', 'name': 'Ola Kwiecien', 'id': 1087782876836478977, 'id_str': '1087782876836478977', 'indices': [0, 13]}, {'screen_name': 'wegeochem', 'name': 'Adam Hartland', 'id': 2481626346, 'id_str': '2481626346', 'indices': [14, 24]}, {'screen_name': 'SpeleoQuest', 'name': 'Speleo QUEST', 'id': 845300111194378240, 'id_str': '845300111194378240', 'indices': [25, 37]}, {'screen_name': 'SFMBreitenbach', 'name': 'Seb Breitenbach', 'id': 854418965405335552, 'id_str': '854418965405335552', 'indices': [38, 53]}, {'screen_name': 'Caves_Rocks', 'name': 'Cinthya Nava', 'id': 1154827517854912512, 'id_str': '1154827517854912512', 'indices': [54, 66]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [67, 75]}]",[],en,recent,867582172013539328,867582172013539328,Brittany Marie Ward,BMarieWard,"Waikato, New Zealand",💧 PhD candidate @Waikato | MSc @BostonCollege | BSc @GVSU | caves and climate | #firstgen | she/her | #McNair Fellow,,[],False,400,559,9,Thu May 25 03:24:43 +0000 2017,3025,,,True,False,354,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1068276510165880832/u7s7Tijw_normal.jpg,https://pbs.twimg.com/profile_images/1068276510165880832/u7s7Tijw_normal.jpg,https://pbs.twimg.com/profile_banners/867582172013539328/1495759918,19CF86,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Wed Jan 22 00:41:10 +0000 2020,1219782018688372736,1219782018688372736,@DeepSouth_NZ @CubaRaglanGuy @jess_vandy @smcnz @waikato [waves]!,False,"[57, 65]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197413441233715e+18,1219741344123371520,3054258463.0,3054258463,DeepSouth_NZ,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'DeepSouth_NZ', 'name': 'Deep South Challenge', 'id': 3054258463, 'id_str': '3054258463', 'indices': [0, 13]}, {'screen_name': 'CubaRaglanGuy', 'name': 'James Renwick', 'id': 380220780, 'id_str': '380220780', 'indices': [14, 28]}, {'screen_name': 'jess_vandy', 'name': 'Jess Vandy', 'id': 175947857, 'id_str': '175947857', 'indices': [29, 40]}, {'screen_name': 'smcnz', 'name': 'Science Media Centre NZ', 'id': 47318212, 'id_str': '47318212', 'indices': [41, 47]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [48, 56]}]",[],en,recent,375953150,375953150,Eloise Gibson,eloise_gibson,New Zealand,"Science, environment journalist @NewsroomNZ Bylines: @BBC_Future @BW @notednz @hakaimagazine @ColumbiaJournMA alum.      Climate Editor @NZStuff starting Feb 17",,[],False,2717,1047,60,Mon Sep 19 01:34:15 +0000 2011,9143,,,False,False,8430,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/715649578012450819/LAV8A6lD_normal.jpg,https://pbs.twimg.com/profile_images/715649578012450819/LAV8A6lD_normal.jpg,https://pbs.twimg.com/profile_banners/375953150/1375935547,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tue Jan 21 03:42:30 +0000 2020,1219465266221875201,1219465266221875201,"@BryanAlexander @ITES2014 Back @waikato after 4 years, the 8 #NZ #universities seem more #ClimateChange aware: the 2 largest have #GHGemissions as KPIs &amp; 2 have published #ClimateAction plans. #Internationalisation &amp; #AcademicFlying are the biggest issues imo.",False,"[26, 268]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.2194598352862454e+18,1219459835286245378,755991.0,755991,BryanAlexander,,,,,False,0,1,False,False,en,"[{'text': 'NZ', 'indices': [61, 64]}, {'text': 'universities', 'indices': [65, 78]}, {'text': 'ClimateChange', 'indices': [89, 103]}, {'text': 'GHGemissions', 'indices': [130, 143]}, {'text': 'ClimateAction', 'indices': [175, 189]}, {'text': 'Internationalisation', 'indices': [197, 218]}, {'text': 'AcademicFlying', 'indices': [225, 240]}]",[],"[{'screen_name': 'BryanAlexander', 'name': 'Bryan Alexander', 'id': 755991, 'id_str': '755991', 'indices': [0, 15]}, {'screen_name': 'ITES2014', 'name': 'ITES2014', 'id': 2413299384, 'id_str': '2413299384', 'indices': [16, 25]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [31, 39]}]",[],en,recent,10168132,10168132,Stephen Harlow,stephenharlow,"Hamilton, New Zealand/Aotearoa","Back @Waikato helping to design learning (Beer, brewing, baking & gardening tweets @BeerGardeNZ).",,[],False,1338,2522,129,Mon Nov 12 01:52:03 +0000 2007,2398,,,False,False,4774,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/689907328313733121/fB47jdtA_normal.jpg,https://pbs.twimg.com/profile_images/689907328313733121/fB47jdtA_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sun Jan 19 00:18:49 +0000 2020,1218689232748679169,1218689232748679169,"@JessMolina @waikato It's amazing what a supportive city can do to a person. I feel like 'growing up' in Hamilton gave me such a safe space to be me. But the best part is the people. Some of the most spectacular people I've ever met, I met through the #lovethetron tag on Twitter.",False,"[21, 280]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.218687482931204e+18,1218687482931204096,9.796549373270344e+17,979654937327034368,hamilton_humans,,,,,False,0,10,False,False,en,"[{'text': 'lovethetron', 'indices': [252, 264]}]",[],"[{'screen_name': 'JessMolina', 'name': 'Jess Molina', 'id': 33988461, 'id_str': '33988461', 'indices': [0, 11]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [12, 20]}]",[],en,recent,979654937327034368,979654937327034368,#HamiltonHumans/@dileepa_fonseka,hamilton_humans,"Kirikiriroa, Aotearoa","Hamilton/Kirikiriroa's first shared Twitter account! #lovethetron Current takeover by @dileepa_fonseka sharing the true, mad, deep love for @hamiltonwaikato",,[],False,691,782,7,Fri Mar 30 09:41:52 +0000 2018,7507,,,True,False,7423,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221218269610164225/IlYsvqrg_normal.jpg,https://pbs.twimg.com/profile_images/1221218269610164225/IlYsvqrg_normal.jpg,https://pbs.twimg.com/profile_banners/979654937327034368/1579996744,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sun Jan 19 00:15:05 +0000 2020,1218688290468978689,1218688290468978689,"@JessMolina @waikato Hamilton feels more like home now than Manila was. I think it's because I feel like I grew into the person who I wanted to be in Hamilton. I started dressing how I've always wanted to, grew my blog, became a magazine editor, organised @PechaKuchaHtown, did a lot of acting.",False,"[21, 294]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2186869301764956e+18,1218686930176495617,9.796549373270344e+17,979654937327034368,hamilton_humans,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'JessMolina', 'name': 'Jess Molina', 'id': 33988461, 'id_str': '33988461', 'indices': [0, 11]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [12, 20]}, {'screen_name': 'PechaKuchaHtown', 'name': 'PechaKucha Hamilton', 'id': 1407336523, 'id_str': '1407336523', 'indices': [256, 272]}]",[],en,recent,979654937327034368,979654937327034368,#HamiltonHumans/@dileepa_fonseka,hamilton_humans,"Kirikiriroa, Aotearoa","Hamilton/Kirikiriroa's first shared Twitter account! #lovethetron Current takeover by @dileepa_fonseka sharing the true, mad, deep love for @hamiltonwaikato",,[],False,691,782,7,Fri Mar 30 09:41:52 +0000 2018,7507,,,True,False,7423,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221218269610164225/IlYsvqrg_normal.jpg,https://pbs.twimg.com/profile_images/1221218269610164225/IlYsvqrg_normal.jpg,https://pbs.twimg.com/profile_banners/979654937327034368/1579996744,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sun Jan 19 00:11:52 +0000 2020,1218687482931204096,1218687482931204096,"@JessMolina @waikato I got used to it. Started loving the quiet. At 18, I wasn't sure what or who I wanted to be yet but it felt liberating to feel in control. I never used to take public transport or go to public places by myself so the first time I took the bus to town was such an experience!",False,"[21, 295]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2186869301764956e+18,1218686930176495617,9.796549373270344e+17,979654937327034368,hamilton_humans,,,,,False,0,5,False,False,en,[],[],"[{'screen_name': 'JessMolina', 'name': 'Jess Molina', 'id': 33988461, 'id_str': '33988461', 'indices': [0, 11]}, {'screen_name': 'waikato', 'name': 'University of Waikato', 'id': 16880920, 'id_str': '16880920', 'indices': [12, 20]}]",[],en,recent,979654937327034368,979654937327034368,#HamiltonHumans/@dileepa_fonseka,hamilton_humans,"Kirikiriroa, Aotearoa","Hamilton/Kirikiriroa's first shared Twitter account! #lovethetron Current takeover by @dileepa_fonseka sharing the true, mad, deep love for @hamiltonwaikato",,[],False,691,782,7,Fri Mar 30 09:41:52 +0000 2018,7507,,,True,False,7423,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221218269610164225/IlYsvqrg_normal.jpg,https://pbs.twimg.com/profile_images/1221218269610164225/IlYsvqrg_normal.jpg,https://pbs.twimg.com/profile_banners/979654937327034368/1579996744,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
