,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
0,Sun Jan 26 05:26:18 +0000 2020,1221303328023465984,1221303328023465984,@CLB_Biology @USUAggies That’s awesome! We should connect once we’re both in Logan!,False,"[24, 83]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2212608598020506e+18,1221260859802050561,3035492539.0,3035492539,CLB_Biology,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'CLB_Biology', 'name': 'Cody Barnes, PhD', 'id': 3035492539, 'id_str': '3035492539', 'indices': [0, 12]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [13, 23]}]",[],en,recent,971969539784110080,971969539784110080,Simona Picardi,simopicardi,"Utah, USA",Wildlife Ecologist • Postdoc at @USUAggies • Sage-Grouse Habitat Assessment Framework Coordinator • PhD @UFWildlife Class of 2019,,[],False,499,443,6,Fri Mar 09 04:42:51 +0000 2018,2172,,,False,False,318,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_banners/971969539784110080/1575086014,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun Jan 26 02:37:33 +0000 2020,1221260859802050561,1221260859802050561,@simopicardi @USUAggies Congrats! Super cool! I’m also starting as a postdoc in February at USU (with the Bio Dept/extension) and will have to keep an eye out for your research.,False,"[24, 177]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204972062114898e+18,1220497206211489792,9.719695397841101e+17,971969539784110080,simopicardi,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'simopicardi', 'name': 'Simona Picardi', 'id': 971969539784110080, 'id_str': '971969539784110080', 'indices': [0, 12]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [13, 23]}]",[],en,recent,3035492539,3035492539,"Cody Barnes, PhD",CLB_Biology,,"Postdoc at Oklahoma State University. Ecology, nutrition, physiology, & thermal biology. Advocate for interdisciplinary education & inclusion in science.",https://t.co/F7mw8v0mtt,[],False,69,127,0,Sun Feb 22 03:20:27 +0000 2015,502,,,False,False,95,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/569338118424104960/fgw-qU2j_normal.jpeg,https://pbs.twimg.com/profile_images/569338118424104960/fgw-qU2j_normal.jpeg,https://pbs.twimg.com/profile_banners/3035492539/1535379886,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/F7mw8v0mtt', 'expanded_url': 'http://codylbarnes.wix.com/utahstate', 'display_url': 'codylbarnes.wix.com/utahstate', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat Jan 25 01:28:41 +0000 2020,1220881139147014144,1220881139147014144,"Stoked to have been invited to join colleagues across @USUAggies to read and discuss @ProfCAnderson’s *One Person, No Vote: How Voter Suppression is Destroying our Democracy.* Look forward to learning, reflecting, and taking action to disrupt the current paradigm.",False,"[0, 264]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,7,False,False,en,[],[],"[{'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [54, 64]}, {'screen_name': 'ProfCAnderson', 'name': 'Carol Anderson', 'id': 2497449176, 'id_str': '2497449176', 'indices': [85, 99]}]",[],en,recent,350529617,350529617,kortney sherbine,sherbstweets,"Logan, UT","assistant professor @USUAggies and @penn_state alum researching contemporary childhoods, #literacies, + popular culture. also, I dig theory a lot. #academicmama",,[],False,685,624,5,Sun Aug 07 22:48:50 +0000 2011,7370,,,True,False,5636,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1212090368054874113/F3466AE9_normal.jpg,https://pbs.twimg.com/profile_images/1212090368054874113/F3466AE9_normal.jpg,https://pbs.twimg.com/profile_banners/350529617/1577819699,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 01:25:43 +0000 2020,1220880393097961472,1220880393097961472,@clarkrushing @USUAggies Thanks Clark! So excited to work with you!,False,"[25, 67]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207286800471368e+18,1220728680047136768,52730969.0,52730969,clarkrushing,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'clarkrushing', 'name': 'clark rushing', 'id': 52730969, 'id_str': '52730969', 'indices': [0, 13]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [14, 24]}]",[],en,recent,971969539784110080,971969539784110080,Simona Picardi,simopicardi,"Utah, USA",Wildlife Ecologist • Postdoc at @USUAggies • Sage-Grouse Habitat Assessment Framework Coordinator • PhD @UFWildlife Class of 2019,,[],False,499,443,6,Fri Mar 09 04:42:51 +0000 2018,2172,,,False,False,318,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_banners/971969539784110080/1575086014,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Jan 25 01:25:16 +0000 2020,1220880282607345665,1220880282607345665,@MabLabUF @USUAggies I’ll miss you too! 🤗,False,"[21, 41]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207207807004754e+18,1220720780700475394,9.875552745370337e+17,987555274537033728,MabLabUF,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'MabLabUF', 'name': 'Mathieu Basille', 'id': 987555274537033728, 'id_str': '987555274537033728', 'indices': [0, 9]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [10, 20]}]",[],en,recent,971969539784110080,971969539784110080,Simona Picardi,simopicardi,"Utah, USA",Wildlife Ecologist • Postdoc at @USUAggies • Sage-Grouse Habitat Assessment Framework Coordinator • PhD @UFWildlife Class of 2019,,[],False,499,443,6,Fri Mar 09 04:42:51 +0000 2018,2172,,,False,False,318,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_banners/971969539784110080/1575086014,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat Jan 25 01:25:00 +0000 2020,1220880215876034561,1220880215876034561,@RallidaeRule @USUAggies Thanks Auriel!,False,"[25, 39]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207205484493414e+18,1220720548449341443,70784139.0,70784139,RallidaeRule,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'RallidaeRule', 'name': 'Auriel Fournier', 'id': 70784139, 'id_str': '70784139', 'indices': [0, 13]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [14, 24]}]",[],en,recent,971969539784110080,971969539784110080,Simona Picardi,simopicardi,"Utah, USA",Wildlife Ecologist • Postdoc at @USUAggies • Sage-Grouse Habitat Assessment Framework Coordinator • PhD @UFWildlife Class of 2019,,[],False,499,443,6,Fri Mar 09 04:42:51 +0000 2018,2172,,,False,False,318,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_banners/971969539784110080/1575086014,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat Jan 25 01:24:36 +0000 2020,1220880114302554112,1220880114302554112,@birdphys @USUAggies Oh I actually was bad and downloaded it from the internet... it is not mine! I should look up who took it so I can give credit.,False,"[21, 148]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207769963402854e+18,1220776996340285440,1330035655.0,1330035655,birdphys,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'birdphys', 'name': 'Goddess Cloacina, PhD', 'id': 1330035655, 'id_str': '1330035655', 'indices': [0, 9]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [10, 20]}]",[],en,recent,971969539784110080,971969539784110080,Simona Picardi,simopicardi,"Utah, USA",Wildlife Ecologist • Postdoc at @USUAggies • Sage-Grouse Habitat Assessment Framework Coordinator • PhD @UFWildlife Class of 2019,,[],False,499,443,6,Fri Mar 09 04:42:51 +0000 2018,2172,,,False,False,318,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_images/1205602167677227008/0bwFe-v-_normal.jpg,https://pbs.twimg.com/profile_banners/971969539784110080/1575086014,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 23:48:32 +0000 2020,1220855936249516032,1220855936249516032,@USUAggies Not entertained,False,"[11, 26]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205529014262129e+18,1220552901426212870,17631378.0,17631378,USUAggies,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [0, 10]}]",[],en,recent,1654332498,1654332498,Brett Reges,brettreges,"Logan, UT",Utah State University - Just a 616 in the 435,https://t.co/UsFRLD6Hlq,[],False,126,141,0,Thu Aug 08 02:21:33 +0000 2013,3628,,,True,False,610,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/990819246576885760/PUkejUgH_normal.jpg,https://pbs.twimg.com/profile_images/990819246576885760/PUkejUgH_normal.jpg,https://pbs.twimg.com/profile_banners/1654332498/1521825613,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/UsFRLD6Hlq', 'expanded_url': 'https://www.youtube.com/channel/UCkng58LHoT4TaeBp0t1hjgg', 'display_url': 'youtube.com/channel/UCkng5…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fri Jan 24 20:56:57 +0000 2020,1220812758469373952,1220812758469373952,@hi_im_glen @USUAggies Uhhh... we’re telling IACUC. 👀,False,"[23, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2205166629248532e+18,1220516662924853248,549478617.0,549478617,hi_im_glen,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'hi_im_glen', 'name': 'christian death metal', 'id': 549478617, 'id_str': '549478617', 'indices': [0, 11]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [12, 22]}]",[],en,recent,761664740972081152,761664740972081152,USU IRB,USUIRB,"Logan, UT",the official twitter feed for Utah State University's Institutional Review Board,https://t.co/HxXKz3OvGd,[],False,104,138,0,Fri Aug 05 20:46:40 +0000 2016,68,,,False,False,125,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1158441069865889792/zZKZQMUw_normal.jpg,https://pbs.twimg.com/profile_images/1158441069865889792/zZKZQMUw_normal.jpg,https://pbs.twimg.com/profile_banners/761664740972081152/1511303473,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/HxXKz3OvGd', 'expanded_url': 'http://irb.usu.edu', 'display_url': 'irb.usu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fri Jan 24 18:34:51 +0000 2020,1220776996340285440,1220776996340285440,@simopicardi @USUAggies Congrats on the new position! Could I use this photo for a ridiculous meme I'm making? With credit of course,False,"[24, 132]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204972062114898e+18,1220497206211489792,9.719695397841101e+17,971969539784110080,simopicardi,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'simopicardi', 'name': 'Simona Picardi', 'id': 971969539784110080, 'id_str': '971969539784110080', 'indices': [0, 12]}, {'screen_name': 'USUAggies', 'name': 'Utah State University', 'id': 17631378, 'id_str': '17631378', 'indices': [13, 23]}]",[],en,recent,1330035655,1330035655,"Goddess Cloacina, PhD",birdphys,"Livermore, CA","Reproductive neuroendocrinologist, #academicmama of 3. Prof at Las Positas College. Tweeting science, birds, diversity, equity, inclusion in STEM.",https://t.co/wV3e2cOqIC,[],False,1267,1724,33,Fri Apr 05 20:28:47 +0000 2013,15218,,,False,False,3627,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1154095103495024642/eowlXq3a_normal.png,https://pbs.twimg.com/profile_images/1154095103495024642/eowlXq3a_normal.png,https://pbs.twimg.com/profile_banners/1330035655/1533526025,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,"[{'url': 'https://t.co/wV3e2cOqIC', 'expanded_url': 'http://ib.berkeley.edu/labs/bentley/Darcy_Kato_Ernst.html', 'display_url': 'ib.berkeley.edu/labs/bentley/D…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
