,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
13,Fri Jan 24 18:57:13 +0000 2020,1220782623997358080,1220782623997358080,"@trinewbrey @KatieCKelly @AubreyBergauer @VanderbiltU Very cool, Trianne! Thanks for spreading the word, and don't be a stranger once you arrive.",False,"[54, 145]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207801064587715e+18,1220780106458771456,2759358971.0,2759358971,trinewbrey,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'trinewbrey', 'name': 'Trianne', 'id': 2759358971, 'id_str': '2759358971', 'indices': [0, 11]}, {'screen_name': 'KatieCKelly', 'name': 'lonestarkatie', 'id': 332979701, 'id_str': '332979701', 'indices': [12, 24]}, {'screen_name': 'AubreyBergauer', 'name': 'Aubrey Bergauer', 'id': 18281326, 'id_str': '18281326', 'indices': [25, 40]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [41, 53]}]",[],en,recent,2332103624,2332103624,Doug-Shadle,DougShadle,,"Chair, Musicology @VanderbiltU (ops my own) -- Florence Price, Dvorak's New World Sym. | Orchestrating the Nation (2016) | A Portrait in Four Movements (2019)",https://t.co/URPY6mAc99,[],False,2329,797,34,Fri Feb 07 16:28:13 +0000 2014,51522,,,False,False,7816,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1109874446247096320/JrZSrxSm_normal.jpg,https://pbs.twimg.com/profile_images/1109874446247096320/JrZSrxSm_normal.jpg,https://pbs.twimg.com/profile_banners/2332103624/1562819429,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/URPY6mAc99', 'expanded_url': 'https://blair.vanderbilt.edu/bio/douglas-shadle', 'display_url': 'blair.vanderbilt.edu/bio/douglas-sh…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fri Jan 24 11:30:22 +0000 2020,1220670173595619329,1220670173595619329,@UscCis @EmilyHRitter @VanderbiltU @VandyPoliSci @vurocca It was great hosting Prof @EmilyHRitter for breakfast. Very useful and inspirational.,False,"[58, 143]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220496652089213e+18,1220496652089212930,7.641595467261133e+17,764159546726113280,UscCis,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'UscCis', 'name': 'USC CIS', 'id': 764159546726113280, 'id_str': '764159546726113280', 'indices': [0, 7]}, {'screen_name': 'EmilyHRitter', 'name': 'Emily Hencken Ritter', 'id': 1106562905103843328, 'id_str': '1106562905103843328', 'indices': [8, 21]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [22, 34]}, {'screen_name': 'VandyPoliSci', 'name': 'Vanderbilt University Political Science', 'id': 1040254547460075522, 'id_str': '1040254547460075522', 'indices': [35, 48]}, {'screen_name': 'vurocca', 'name': 'Research on Conflict and Collective Action (ROCCA)', 'id': 1115823954487390211, 'id_str': '1115823954487390211', 'indices': [49, 57]}, {'screen_name': 'EmilyHRitter', 'name': 'Emily Hencken Ritter', 'id': 1106562905103843328, 'id_str': '1106562905103843328', 'indices': [84, 97]}]",[],en,recent,3218189220,3218189220,Nola Haynes,nolahtheveil,"Hollywood, Los Angeles","Sometimes I tweet abt #phdlife, or my talk show #NHTV or abt Blk culture & politics.  Receipts from: UCLA, Harvard, USC booking info: info@nolahaynestv.com",https://t.co/Zb3wXeW9Du,[],False,1068,1221,170,Sun May 17 23:20:05 +0000 2015,11702,,,True,False,8774,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1195746832573317120/GBoQD2WD_normal.jpg,https://pbs.twimg.com/profile_images/1195746832573317120/GBoQD2WD_normal.jpg,https://pbs.twimg.com/profile_banners/3218189220/1512271939,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/Zb3wXeW9Du', 'expanded_url': 'https://www.youtube.com/channel/UC3t8nj9x_tvS6hGa6sUXVog', 'display_url': 'youtube.com/channel/UC3t8n…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b77caf94bfc81fe,https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json,city,Los Angeles,"Los Angeles, CA",US,United States,[],Polygon,"[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]",,,,,,,,,,
24,Thu Jan 23 21:13:26 +0000 2020,1220454515243192320,1220454515243192320,"@IshmailSaboor @FISK1866 @VanderbiltU That’s fair. I’m still impressed that Fisk is older than my institution, Vanderbilt. Great history and tradition.",False,"[38, 151]","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",1.2204000964892221e+18,1220400096489222144,7.258695177217188e+17,725869517721718784,IshmailSaboor,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'IshmailSaboor', 'name': '𝙸𝚜𝚑𝚖𝚊𝚒𝚕 𝙰𝚋𝚍𝚞𝚜-𝚂𝚊𝚋𝚘𝚘𝚛', 'id': 725869517721718784, 'id_str': '725869517721718784', 'indices': [0, 14]}, {'screen_name': 'FISK1866', 'name': 'Fisk University', 'id': 381520279, 'id_str': '381520279', 'indices': [15, 24]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [25, 37]}]",[],en,recent,95555250,95555250,Michael King,profmikeking,"Nashville, TN","J. Lawrence Wilson Professor and Department Chair of Biomedical Engineering at Vanderbilt University.  Music City, USA!",,[],False,1489,634,23,Wed Dec 09 02:22:12 +0000 2009,8848,,,False,False,5946,,False,False,False,000000,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1012736740140965888/5UPnXWJa_normal.jpg,https://pbs.twimg.com/profile_images/1012736740140965888/5UPnXWJa_normal.jpg,https://pbs.twimg.com/profile_banners/95555250/1483246538,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Thu Jan 23 16:31:24 +0000 2020,1220383539201372161,1220383539201372161,"Funding provided by the @NIH, @VanderbiltU, and the Vanderbilt Diabetes and Research Training Center.",False,"[0, 101]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203835382827786e+18,1220383538282778626,7.855396924900065e+17,785539692490006529,VUBasicSciences,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'NIH', 'name': 'NIH', 'id': 15134240, 'id_str': '15134240', 'indices': [24, 28]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [30, 42]}]",[],en,recent,785539692490006529,785539692490006529,VUSM Basic Sciences,VUBasicSciences,"Nashville, TN",We do basic biomedical research @VanderbiltU School of Medicine. Basic Sciences drives discovery in medicine. Follows/RTs are not endorsements.,https://t.co/EfLw8uFPHi,[],False,936,798,10,Mon Oct 10 17:57:12 +0000 2016,1495,,,False,False,3500,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1145587477400342528/WRVSpSnS_normal.png,https://pbs.twimg.com/profile_images/1145587477400342528/WRVSpSnS_normal.png,https://pbs.twimg.com/profile_banners/785539692490006529/1579904689,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,"[{'url': 'https://t.co/EfLw8uFPHi', 'expanded_url': 'https://medschool.vanderbilt.edu/basic-sciences/', 'display_url': 'medschool.vanderbilt.edu/basic-sciences/', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Thu Jan 23 14:11:40 +0000 2020,1220348375519940608,1220348375519940608,@schanmalik @VanderbiltU Thank you! We all loved having you here,False,"[25, 64]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2201806818898657e+18,1220180681889865729,436907092.0,436907092,schanmalik,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'schanmalik', 'name': 'Sylvia Chan-Malik', 'id': 436907092, 'id_str': '436907092', 'indices': [0, 11]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [12, 24]}]",[],en,recent,1058593363,1058593363,Adeana McNicholl,AdeanaMcN,,She/her. Asst. Prof. of Religious Studies @VanderbiltU. Historian of South Asian Buddhism and American Buddhism. Canadian 🇨🇦,,[],False,397,254,13,Thu Jan 03 19:25:11 +0000 2013,705,,,False,False,353,,False,False,False,000000,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/839712063790338049/VWJy4JVf_normal.jpg,https://pbs.twimg.com/profile_images/839712063790338049/VWJy4JVf_normal.jpg,https://pbs.twimg.com/profile_banners/1058593363/1357241764,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Wed Jan 22 23:53:27 +0000 2020,1220132400304476160,1220132400304476160,"Learned so much from @schanmalik's talk at @VanderbiltU, ""How to Talk about Race, Gender, and Islam in America"" (Answer: together).",False,"[0, 131]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,2,8,False,False,en,[],[],"[{'screen_name': 'schanmalik', 'name': 'Sylvia Chan-Malik', 'id': 436907092, 'id_str': '436907092', 'indices': [21, 32]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [43, 55]}]",[],en,recent,1058593363,1058593363,Adeana McNicholl,AdeanaMcN,,She/her. Asst. Prof. of Religious Studies @VanderbiltU. Historian of South Asian Buddhism and American Buddhism. Canadian 🇨🇦,,[],False,397,254,13,Thu Jan 03 19:25:11 +0000 2013,705,,,False,False,353,,False,False,False,000000,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/839712063790338049/VWJy4JVf_normal.jpg,https://pbs.twimg.com/profile_images/839712063790338049/VWJy4JVf_normal.jpg,https://pbs.twimg.com/profile_banners/1058593363/1357241764,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Wed Jan 22 21:26:14 +0000 2020,1220095351861972998,1220095351861972998,"@FridayDog13 @Ironspot1975 @clayphillips27 @VandyAD @VanderbiltU @SEC Ok, if Vanderbilt matched the donation that is awesome.",False,"[70, 125]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220092170994094e+18,1220092170994094081,591110829.0,591110829,FridayDog13,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'FridayDog13', 'name': 'Friday Dog', 'id': 591110829, 'id_str': '591110829', 'indices': [0, 12]}, {'screen_name': 'Ironspot1975', 'name': 'Sports fan for life', 'id': 23430035, 'id_str': '23430035', 'indices': [13, 26]}, {'screen_name': 'clayphillips27', 'name': 'clay phillips', 'id': 222857041, 'id_str': '222857041', 'indices': [27, 42]}, {'screen_name': 'VandyAD', 'name': 'Malcolm Turner', 'id': 1059516671566733313, 'id_str': '1059516671566733313', 'indices': [43, 51]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [52, 64]}, {'screen_name': 'SEC', 'name': 'Southeastern Conference', 'id': 16807883, 'id_str': '16807883', 'indices': [65, 69]}]",[],en,recent,487776157,487776157,Vandy_62⚓⬇,vandy_62,"Nashville, TN","Vanderbilt University Alum.
Follow me for all Vanderbilt Athletics related news and information.

#RTI
#MemorialMagic
#VandyBoys
#AnchorDown",,[],False,5050,3584,106,Thu Feb 09 18:40:59 +0000 2012,395173,,,True,False,217862,,False,False,False,ABB8C2,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1152743196348301313/rHjo8lqy_normal.jpg,https://pbs.twimg.com/profile_images/1152743196348301313/rHjo8lqy_normal.jpg,https://pbs.twimg.com/profile_banners/487776157/1571369610,191970,000000,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Wed Jan 22 20:15:50 +0000 2020,1220077631930085379,1220077631930085379,@FridayDog13 @Ironspot1975 @clayphillips27 @VandyAD @VanderbiltU @SEC Where did you see that news?,False,"[70, 98]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220076910555943e+18,1220076910555942915,591110829.0,591110829,FridayDog13,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'FridayDog13', 'name': 'Friday Dog', 'id': 591110829, 'id_str': '591110829', 'indices': [0, 12]}, {'screen_name': 'Ironspot1975', 'name': 'Sports fan for life', 'id': 23430035, 'id_str': '23430035', 'indices': [13, 26]}, {'screen_name': 'clayphillips27', 'name': 'clay phillips', 'id': 222857041, 'id_str': '222857041', 'indices': [27, 42]}, {'screen_name': 'VandyAD', 'name': 'Malcolm Turner', 'id': 1059516671566733313, 'id_str': '1059516671566733313', 'indices': [43, 51]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [52, 64]}, {'screen_name': 'SEC', 'name': 'Southeastern Conference', 'id': 16807883, 'id_str': '16807883', 'indices': [65, 69]}]",[],en,recent,487776157,487776157,Vandy_62⚓⬇,vandy_62,"Nashville, TN","Vanderbilt University Alum.
Follow me for all Vanderbilt Athletics related news and information.

#RTI
#MemorialMagic
#VandyBoys
#AnchorDown",,[],False,5050,3584,106,Thu Feb 09 18:40:59 +0000 2012,395173,,,True,False,217862,,False,False,False,ABB8C2,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1152743196348301313/rHjo8lqy_normal.jpg,https://pbs.twimg.com/profile_images/1152743196348301313/rHjo8lqy_normal.jpg,https://pbs.twimg.com/profile_banners/487776157/1571369610,191970,000000,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Wed Jan 22 20:02:50 +0000 2020,1220074361396301824,1220074361396301824,@FridayDog13 @Ironspot1975 @clayphillips27 @VandyAD @VanderbiltU @SEC No bashing AD. We want Vanderbilt Administration to give him more money so he can improve facilities.,False,"[70, 171]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2200690333677363e+18,1220069033367736320,591110829.0,591110829,FridayDog13,,,,,False,1,3,False,False,en,[],[],"[{'screen_name': 'FridayDog13', 'name': 'Friday Dog', 'id': 591110829, 'id_str': '591110829', 'indices': [0, 12]}, {'screen_name': 'Ironspot1975', 'name': 'Sports fan for life', 'id': 23430035, 'id_str': '23430035', 'indices': [13, 26]}, {'screen_name': 'clayphillips27', 'name': 'clay phillips', 'id': 222857041, 'id_str': '222857041', 'indices': [27, 42]}, {'screen_name': 'VandyAD', 'name': 'Malcolm Turner', 'id': 1059516671566733313, 'id_str': '1059516671566733313', 'indices': [43, 51]}, {'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [52, 64]}, {'screen_name': 'SEC', 'name': 'Southeastern Conference', 'id': 16807883, 'id_str': '16807883', 'indices': [65, 69]}]",[],en,recent,487776157,487776157,Vandy_62⚓⬇,vandy_62,"Nashville, TN","Vanderbilt University Alum.
Follow me for all Vanderbilt Athletics related news and information.

#RTI
#MemorialMagic
#VandyBoys
#AnchorDown",,[],False,5050,3584,106,Thu Feb 09 18:40:59 +0000 2012,395173,,,True,False,217862,,False,False,False,ABB8C2,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1152743196348301313/rHjo8lqy_normal.jpg,https://pbs.twimg.com/profile_images/1152743196348301313/rHjo8lqy_normal.jpg,https://pbs.twimg.com/profile_banners/487776157/1571369610,191970,000000,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Wed Jan 22 16:22:35 +0000 2020,1220018933572481025,1220018933572481025,"Yo, @VanderbiltU’s Interlibrary Loan Service? A1.",False,"[0, 49]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'VanderbiltU', 'name': 'Vanderbilt University', 'id': 14775752, 'id_str': '14775752', 'indices': [4, 16]}]",[],en,recent,1053653750269788161,1053653750269788161,MYH,MYHstory2Tell,"Houston, TX","The OG @BigM33k. Forever Math Teacher. Founder of #STEMelanin. @vuPeabody Doc student. @SpelmanCollege, @SmithCollege, & @TuftsUniversity grad. 👩🏾‍🏫💕💚",,[],False,166,412,0,Sat Oct 20 14:26:44 +0000 2018,165,,,False,False,44,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1053668030146842626/sKUcgYy5_normal.jpg,https://pbs.twimg.com/profile_images/1053668030146842626/sKUcgYy5_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
