,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,user.entities.url.urls,retweeted_status.user.profile_banner_url,retweeted_status.user.entities.url.urls,possibly_sensitive,entities.media,extended_entities.media,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates
1,Sun Jan 26 04:29:41 +0000 2020,1221289079007956992,1221289079007956992,"Our academic coaching team @wsuascc will soon be launching our Don’t Cancel Class Program for faculty @WSUPullman! Gone for a conference or other obligation and need to cancel a class? Rather than canceling, you will soon be able to request workshops with our coaches!",False,"[0, 268]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'wsuascc', 'name': 'ASCC at WSU', 'id': 1115838038, 'id_str': '1115838038', 'indices': [27, 35]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [102, 113]}]",[],en,recent,1153119821870931968,1153119821870931968,Katie Reilly,wsukatiereilly,"Pullman, WA","#EdPsych PhD Student 👩‍🎓 | #AcademicSuccessCoach 📚 | Academic Probation to Academic Success, Learning Strategies |🐴 🐢 Mom | Wife of a 👨‍🏫 | #GoCougs",,[],False,21,85,1,Mon Jul 22 01:49:24 +0000 2019,77,,,False,False,26,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1153121307828994049/zcqhQRZZ_normal.jpg,https://pbs.twimg.com/profile_images/1153121307828994049/zcqhQRZZ_normal.jpg,https://pbs.twimg.com/profile_banners/1153119821870931968/1563762057,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat Jan 25 20:37:40 +0000 2020,1221170293583990784,1221170293583990784,Out here representing @WSUPullman at the #wavetcorps Mid Year Conference. Thank you @EvergreenStCol for hosting us.  It is great to get together and hear what we are doing throughout the state.  Good things are comming...#GoCougs,False,"[0, 229]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,2,False,False,en,"[{'text': 'wavetcorps', 'indices': [41, 52]}, {'text': 'GoCougs', 'indices': [221, 229]}]",[],"[{'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [22, 33]}, {'screen_name': 'EvergreenStCol', 'name': 'Evergreen', 'id': 53126857, 'id_str': '53126857', 'indices': [84, 99]}]",[],en,recent,1098294281800888320,1098294281800888320,James Dalton,jameskdalton,"Pullman, WA","Vet Corps Navigator at WSU Pullman.
Graduate Student studying Political Science at WSU.  GO COUGS!",,[],False,33,125,1,Wed Feb 20 18:52:16 +0000 2019,188,,,False,False,74,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1098294428278476801/QwrCUPI4_normal.jpg,https://pbs.twimg.com/profile_images/1098294428278476801/QwrCUPI4_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat Jan 25 15:02:23 +0000 2020,1221085914446749696,1221085914446749696,@LisSchauer @WSUPullman @UW @JohannaMaeP Loved meeting you and your colleagues! What a night!,False,"[41, 93]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.22093926100582e+18,1220939261005819905,2183100998.0,2183100998,LisSchauer,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'LisSchauer', 'name': 'Lisa Keohokalole Schauer', 'id': 2183100998, 'id_str': '2183100998', 'indices': [0, 11]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [12, 23]}, {'screen_name': 'UW', 'name': 'University of Washington', 'id': 27103822, 'id_str': '27103822', 'indices': [24, 27]}, {'screen_name': 'JohannaMaeP', 'name': 'Johanna Mae', 'id': 465223030, 'id_str': '465223030', 'indices': [28, 40]}]",[],en,recent,904910331562024960,904910331562024960,Daniela Suarez,daniesrz,"Seattle, WA",Higher Education Advocate|@UWJSIS Student| UW is where the heART is 💜,,[],False,141,333,1,Tue Sep 05 03:33:30 +0000 2017,2218,,,True,False,470,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1148682896565252096/rE4lWTuO_normal.jpg,https://pbs.twimg.com/profile_images/1148682896565252096/rE4lWTuO_normal.jpg,https://pbs.twimg.com/profile_banners/904910331562024960/1517879633,E81C4F,000000,000000,000000,False,False,False,False,False,False,False,none,300bcc6e23a88361,https://api.twitter.com/1.1/geo/id/300bcc6e23a88361.json,city,Seattle,"Seattle, WA",US,United States,[],Polygon,"[[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fri Jan 24 23:46:56 +0000 2020,1220855535282446336,1220855535282446336,RT @lkvarner: Congratulations @CougsRise for leading the way in student engagement and retention @WSUPullman!,False,"[0, 109]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'lkvarner', 'name': 'Lynne  Varner', 'id': 16480721, 'id_str': '16480721', 'indices': [3, 12]}, {'screen_name': 'CougsRise', 'name': 'Cougs Rise', 'id': 931299401900875776, 'id_str': '931299401900875776', 'indices': [30, 40]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [97, 108]}]",[],en,recent,931299401900875776,931299401900875776,Cougs Rise,CougsRise,"Pullman, WA",Supporting high school students who are low-income and/or potential first-generation accessing higher education. Engage. Thrive. Rise.,https://t.co/kRxwduVRof,[],False,312,466,6,Thu Nov 16 23:14:14 +0000 2017,679,,,True,False,469,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931303032007954432/ORjf6BNg_normal.jpg,https://pbs.twimg.com/profile_images/931303032007954432/ORjf6BNg_normal.jpg,https://pbs.twimg.com/profile_banners/931299401900875776/1566928074,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,Fri Jan 24 03:03:07 +0000 2020,1.2205425192445174e+18,1220542519244517376,Congratulations @CougsRise for leading the way in student engagement and retention @WSUPullman!,False,"[0, 95]",[],[],"[{'screen_name': 'CougsRise', 'name': 'Cougs Rise', 'id': 931299401900875776, 'id_str': '931299401900875776', 'indices': [16, 26]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [83, 94]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,16480721.0,16480721,Lynne  Varner,lkvarner,Seattle,"College isn't about preparing for a job, it's about preparing for a fully realized life. Associate Vice Chancellor, Washington State University Everett.",,[],False,1457.0,555.0,99.0,Sat Sep 27 02:34:03 +0000 2008,1695.0,,,True,False,11077.0,,False,False,False,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/654526863365115904/iFhq36Xa_normal.jpg,https://pbs.twimg.com/profile_images/654526863365115904/iFhq36Xa_normal.jpg,D02B55,829D5E,99CC33,3E4415,True,False,False,False,False,False,False,none,,,,,False,1.0,10.0,False,False,en,"[{'url': 'https://t.co/kRxwduVRof', 'expanded_url': 'http://cougsrise.wsu.edu', 'display_url': 'cougsrise.wsu.edu', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/16480721/1537212259,,,,,,,,,,,,,,
10,Fri Jan 24 23:46:53 +0000 2020,1220855520652750849,1220855520652750849,@lkvarner @WSUPullman We appreciate your support! It is a pleasure to be among such committed individuals!,False,"[22, 106]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205425192445174e+18,1220542519244517376,16480721.0,16480721,lkvarner,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'lkvarner', 'name': 'Lynne  Varner', 'id': 16480721, 'id_str': '16480721', 'indices': [0, 9]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [10, 21]}]",[],en,recent,931299401900875776,931299401900875776,Cougs Rise,CougsRise,"Pullman, WA",Supporting high school students who are low-income and/or potential first-generation accessing higher education. Engage. Thrive. Rise.,https://t.co/kRxwduVRof,[],False,312,466,6,Thu Nov 16 23:14:14 +0000 2017,679,,,True,False,469,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/931303032007954432/ORjf6BNg_normal.jpg,https://pbs.twimg.com/profile_images/931303032007954432/ORjf6BNg_normal.jpg,https://pbs.twimg.com/profile_banners/931299401900875776/1566928074,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/kRxwduVRof', 'expanded_url': 'http://cougsrise.wsu.edu', 'display_url': 'cougsrise.wsu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,
18,Fri Jan 24 19:39:19 +0000 2020,1220793219442671617,1220793219442671617,"Awesome seminar on curricula for the public good, led by Kathryn Temple (director of @GeorgetownMAEPH) and Todd Butler, director of the Publicly Engaged Fellows program at @WSUPullman). #AACU20",False,"[0, 193]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,2,False,False,en,"[{'text': 'AACU20', 'indices': [186, 193]}]",[],"[{'screen_name': 'GeorgetownMAEPH', 'name': 'Master’s in the Engaged & Public Humanities', 'id': 956004511776235520, 'id_str': '956004511776235520', 'indices': [85, 101]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [172, 183]}]",[],en,recent,155662435,155662435,Susan Ferrari,srferrar,"Grinnell, IA","SPO/CFR/research dev at @GrinnellCollege. Humanities fan (but former scientist). I love reading, cooking, crosswords, and eavesdropping while traveling.",,[],False,128,698,2,Mon Jun 14 19:20:48 +0000 2010,1493,,,False,False,282,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1178054034516656128/NoK01qii_normal.jpg,https://pbs.twimg.com/profile_images/1178054034516656128/NoK01qii_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fri Jan 24 18:42:17 +0000 2020,1220778868476219392,1220778868476219392,@wsuanthropology @WSUPullman @CASatWSU So cool!,False,"[39, 47]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207380312602952e+18,1220738031260295168,1.0323776569504522e+18,1032377656950452224,wsuanthropology,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'wsuanthropology', 'name': 'WSU Anthropology Department', 'id': 1032377656950452224, 'id_str': '1032377656950452224', 'indices': [0, 16]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [17, 28]}, {'screen_name': 'CASatWSU', 'name': 'WSU Arts & Sciences', 'id': 725363954587824128, 'id_str': '725363954587824128', 'indices': [29, 38]}]",[],en,recent,1016003856482750464,1016003856482750464,Kristen Syme,kristensyme,"Vancouver, WA","Biocultural/Evolutionary Anthropologist, PhDc",,[],False,205,275,3,Sun Jul 08 16:59:30 +0000 2018,783,,,True,False,274,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1185392494403440640/Txa5AXJh_normal.jpg,https://pbs.twimg.com/profile_images/1185392494403440640/Txa5AXJh_normal.jpg,https://pbs.twimg.com/profile_banners/1016003856482750464/1571454654,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Fri Jan 24 16:40:41 +0000 2020,1220748266536456192,1220748266536456192,"@JRF253 @WSUPullman @wkamaubell He gave a great talk last night. Funny, informative, &amp; impactful.",False,"[32, 101]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205418521363087e+18,1220541852136308736,423133376.0,423133376,JRF253,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JRF253', 'name': 'Jim Froembling', 'id': 423133376, 'id_str': '423133376', 'indices': [0, 7]}, {'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [8, 19]}, {'screen_name': 'wkamaubell', 'name': 'W. Kamau Bell', 'id': 19119809, 'id_str': '19119809', 'indices': [20, 31]}]",[],en,recent,21702010,21702010,WSU CAHNRS,wsucahnrs,"Pullman, Washington","WSU College of Agricultural, Human, & Natural Resource Sciences- food, family, fuel, fiber, form. Agriculture, wine science, robotics, apparel design & more.",https://t.co/noS0nHYbY4,[],False,5123,3867,265,Mon Feb 23 22:30:13 +0000 2009,10436,,,True,False,15184,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/593161884125171712/fyrwokYq_normal.png,https://pbs.twimg.com/profile_images/593161884125171712/fyrwokYq_normal.png,https://pbs.twimg.com/profile_banners/21702010/1555019309,088253,D3D2CF,E3E2DE,634047,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/noS0nHYbY4', 'expanded_url': 'http://cahnrs.wsu.edu/', 'display_url': 'cahnrs.wsu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,
31,Fri Jan 24 03:30:45 +0000 2020,1220549471882211329,1220549471882211329,Hey @WSUPullman for the MLK event May we please ask the speaker to speak at the podium so people at a distance may hear.,False,"[0, 120]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [4, 15]}]",[],en,recent,2573661686,2573661686,Jordyn Creighton,JordynCreighton,"Kennewick, WA",Director of Campus Student Support Services at WSU Tri-Cities. SApro. Vandal alumna. dog mom.,,[],False,95,232,3,Tue Jun 17 22:24:25 +0000 2014,365,,,False,False,598,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1150571562015186945/iD5_dXDq_normal.jpg,https://pbs.twimg.com/profile_images/1150571562015186945/iD5_dXDq_normal.jpg,https://pbs.twimg.com/profile_banners/2573661686/1557712981,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fri Jan 24 02:52:08 +0000 2020,1220539755902861313,1220539755902861313,"#InvestInCougs presents the first ever #InspirationalQuotesThursdays &amp; our first quote is by Earl Nightingale - “All you need is the plan, the road map, and the courage to press on to your destination.” And remember Cougs, make everyday a great day here @WSUPullman 🐾💕@WSUOAE",False,"[0, 279]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,,False,0,2,False,False,en,"[{'text': 'InvestInCougs', 'indices': [0, 14]}, {'text': 'InspirationalQuotesThursdays', 'indices': [39, 68]}]",[],"[{'screen_name': 'WSUPullman', 'name': 'WSU Pullman', 'id': 22080148, 'id_str': '22080148', 'indices': [258, 269]}, {'screen_name': 'WSUOAE', 'name': 'WSU Office of Academic Engagement', 'id': 1093197370244837376, 'id_str': '1093197370244837376', 'indices': [272, 279]}]",[],en,recent,850966589478363137,850966589478363137,WSU Invest In Cougs,InvestWSU,"Pullman, WA",Supports low income students in persistence toward graduation by providing matched savings & financial wellness advising.,https://t.co/mqaqTnBqym,[],False,161,347,2,Sun Apr 09 07:00:19 +0000 2017,129,,,False,False,165,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1119003421430800384/STJrw232_normal.jpg,https://pbs.twimg.com/profile_images/1119003421430800384/STJrw232_normal.jpg,https://pbs.twimg.com/profile_banners/850966589478363137/1555616747,ABB8C2,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://t.co/mqaqTnBqym', 'expanded_url': 'https://provost.wsu.edu/investincougs', 'display_url': 'provost.wsu.edu/investincougs', 'indices': [0, 23]}]",,,,,,,,,,,,,,,
