,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
30,Sat Jan 25 16:31:15 +0000 2020,1221108278035468288,1221108278035468288,As a graduate and former student-athlete here at @WestVirginiaU I love coming back to Morgantown.,False,"[0, 97]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [49, 63]}]",[],en,recent,465257804,465257804,WVTurkeyThug 🦃,DavidYeater,"Almost Heaven, West Virginia","Handle Business /
Team Yeater / Proud to Have Kids at PCHS and WLU / Family, Friends and Hunting / My daughter and I are WVU Alumni",,[],False,8449,6405,37,Mon Jan 16 04:34:27 +0000 2012,86354,,,True,False,34255,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1000099929950445571/jdeu0uTu_normal.jpg,https://pbs.twimg.com/profile_images/1000099929950445571/jdeu0uTu_normal.jpg,4A913C,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/465257804/1579216888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sat Jan 25 04:27:57 +0000 2020,1220926255547277312,1220926255547277312,@WestVirginiaU Give. It. To. ME. 😭😭,False,"[15, 35]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207790508112527e+18,1220779050811252736,17962391.0,17962391,WestVirginiaU,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [0, 14]}]",[],en,recent,40516755,40516755,Nicole Curtin,NicoleCurtin_,"Germantown, MD",@westvirginiau BSJ & MSSM | @towsontigers Asst. Dir. Media Relations | HP ⚡️& Friends | opinions are mine | #womeninsports,,[],False,1716,994,18,Sat May 16 18:37:11 +0000 2009,18165,,,True,False,50595,,False,False,False,D68711,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1207017775266324480/ZNk_IhtS_normal.jpg,https://pbs.twimg.com/profile_images/1207017775266324480/ZNk_IhtS_normal.jpg,7F11D9,FFFFFF,EFEBED,333333,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/40516755/1576610438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0b8f86488a6ebab7,https://api.twitter.com/1.1/geo/id/0b8f86488a6ebab7.json,city,Germantown,"Germantown, MD",US,United States,[],Polygon,"[[[-77.31732, 39.12466], [-77.21136, 39.12466], [-77.21136, 39.215563], [-77.31732, 39.215563]]]"
36,Sat Jan 25 02:28:36 +0000 2020,1220896220908085248,1220896220908085248,RT @PonziniG: Kicked off the first day of interview weekend for clinical applicants at @WestVirginiaU today! This weekend is a great remind…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'PonziniG', 'name': 'Gabriella Ponzini, MS', 'id': 1052026671971360768, 'id_str': '1052026671971360768', 'indices': [3, 12]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [87, 101]}]",[],en,recent,1084891227907149824,1084891227907149824,"Cecelia I. Nelson, MS",ThatDocStudent,,"Pain & Anxiety Researcher | Peds Gastropsych | @WestVirginiaU | Doctoral Student | She, Her, Hers | Obsessed with coffee, TED talks, cats, and gaming 😻",,[],False,85,177,1,Mon Jan 14 19:13:19 +0000 2019,668,,,False,False,242,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1217810630054502400/52zihY0G_normal.jpg,https://pbs.twimg.com/profile_images/1217810630054502400/52zihY0G_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1084891227907149824/1547572531,,Sat Jan 25 02:24:43 +0000 2020,1.2208952436267786e+18,1220895243626778626,Kicked off the first day of interview weekend for clinical applicants at @WestVirginiaU today! This weekend is a great reminder of how lucky I am to be here (and how badly I wanted to be here 2 years ago). Looking forward to a weekend full of science + fun with faculty/peers!,False,"[0, 276]",[],[],"[{'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [73, 87]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.0520266719713608e+18,1052026671971360768,"Gabriella Ponzini, MS",PonziniG,"Morgantown, WV",Clinical Psych PhD Student @ WVU. Stroke T32 trainee. Studying ways to reduce barriers to evidence-based therapies for anxiety and OCD🧠,,,[],False,248.0,299.0,0.0,Tue Oct 16 02:41:19 +0000 2018,474.0,,,False,False,203.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1215094058059739136/dkER9S8u_normal.jpg,https://pbs.twimg.com/profile_images/1215094058059739136/dkER9S8u_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,1.0,8.0,False,False,en,,,,,,,,,,
37,Sat Jan 25 02:24:43 +0000 2020,1220895243626778626,1220895243626778626,Kicked off the first day of interview weekend for clinical applicants at @WestVirginiaU today! This weekend is a great reminder of how lucky I am to be here (and how badly I wanted to be here 2 years ago). Looking forward to a weekend full of science + fun with faculty/peers!,False,"[0, 276]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,8,False,False,en,[],[],"[{'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [73, 87]}]",[],en,recent,1052026671971360768,1052026671971360768,"Gabriella Ponzini, MS",PonziniG,"Morgantown, WV",Clinical Psych PhD Student @ WVU. Stroke T32 trainee. Studying ways to reduce barriers to evidence-based therapies for anxiety and OCD🧠,,[],False,248,299,0,Tue Oct 16 02:41:19 +0000 2018,474,,,False,False,203,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1215094058059739136/dkER9S8u_normal.jpg,https://pbs.twimg.com/profile_images/1215094058059739136/dkER9S8u_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Fri Jan 24 23:46:40 +0000 2020,1220855469486505990,1220855469486505990,@KylieChristinee @WestVirginiaU ily girl!!!😍,False,"[32, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208464934453699e+18,1220846493445369860,321673662.0,321673662,KylieChristinee,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'KylieChristinee', 'name': 'Kylie Wolford', 'id': 321673662, 'id_str': '321673662', 'indices': [0, 16]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [17, 31]}]",[],en,recent,308675785,308675785,Morgan Moss,MorganFaithe,"West Virginia, USA",WVU | KKΓ alum | psalm 63:3 ❤️,https://t.co/CMxhWRkvVZ,[],False,1057,526,0,Tue May 31 20:19:47 +0000 2011,5234,,,True,False,5190,,False,False,False,ACDED6,http://abs.twimg.com/images/themes/theme18/bg.gif,https://abs.twimg.com/images/themes/theme18/bg.gif,False,http://pbs.twimg.com/profile_images/1209579010616942592/MOzEg_ip_normal.jpg,https://pbs.twimg.com/profile_images/1209579010616942592/MOzEg_ip_normal.jpg,08F7E3,FFFFFF,ED0782,00FFEA,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/308675785/1574716917,"[{'url': 'https://t.co/CMxhWRkvVZ', 'expanded_url': 'http://vsco.com/morganfaithe', 'display_url': 'vsco.com/morganfaithe', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bad356f8cba08b76,https://api.twitter.com/1.1/geo/id/bad356f8cba08b76.json,city,Morgantown,"Morgantown, WV",US,United States,[],Polygon,"[[[-79.987463, 39.584088], [-79.9002117, 39.584088], [-79.9002117, 39.6745412], [-79.987463, 39.6745412]]]"
41,Fri Jan 24 21:03:24 +0000 2020,1220814378607554563,1220814378607554563,"Very excited to be speaking with @WDTV5News on the @WVUGreekLife membership intake process, and our ongoing efforts as one @WestVirginiaU to eradicate hazing in all facets of the student experience!",False,"[0, 198]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'WDTV5News', 'name': 'WDTV 5 News', 'id': 469479557, 'id_str': '469479557', 'indices': [33, 43]}, {'screen_name': 'WVUGreekLife', 'name': 'WVU Fraternity & Sorority Life', 'id': 113439371, 'id_str': '113439371', 'indices': [51, 64]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [123, 137]}]",[],en,recent,4213735155,4213735155,Matthew Richardson,DocMRichardson,"Morgantown, WV",ΔΧ • Uncle • Catholic • Ed.D. • Duquesne & Pitt Alum • Sinfonian • /G\,https://t.co/R20XNJa3KB,[],False,765,122,3,Tue Nov 17 23:59:18 +0000 2015,9804,,,True,False,5472,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211107712534220800/FlARoR64_normal.jpg,https://pbs.twimg.com/profile_images/1211107712534220800/FlARoR64_normal.jpg,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/4213735155/1503689256,"[{'url': 'https://t.co/R20XNJa3KB', 'expanded_url': 'http://www.greeklife.wvu.edu', 'display_url': 'greeklife.wvu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Thu Jan 23 20:53:41 +0000 2020,1220449546834235393,1220449546834235393,@WestVirginiaU is and always will be my love,False,"[0, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,17962391.0,17962391,WestVirginiaU,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [0, 14]}]",[],en,recent,49430989,49430989,David Cullinan,ACDCullinan,"Weirton, WV",🎒 Grad Student 🎒                🏦 loan operations 🏦,,[],False,668,683,3,Sun Jun 21 21:18:42 +0000 2009,11961,,,True,False,29639,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1108541127391617024/qvyfmllo_normal.jpg,https://pbs.twimg.com/profile_images/1108541127391617024/qvyfmllo_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/49430989/1553131776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Thu Jan 23 16:57:02 +0000 2020,1220389993966899200,1220389993966899200,@WestVirginiaU @GinnyThrasher Well said @GinnyThrasher !!! Can’t wait to see where the path to success takes you!!,False,"[30, 114]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203591720694333e+18,1220359172069433351,17962391.0,17962391,WestVirginiaU,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [0, 14]}, {'screen_name': 'GinnyThrasher', 'name': 'Ginny Thrasher', 'id': 764104427867365376, 'id_str': '764104427867365376', 'indices': [15, 29]}, {'screen_name': 'GinnyThrasher', 'name': 'Ginny Thrasher', 'id': 764104427867365376, 'id_str': '764104427867365376', 'indices': [40, 54]}]",[],en,recent,2480911968,2480911968,D E ! O N T E,deionte_17,PA ➡️ WV,West Virginia University ‘21 | Pride Of WV CG,https://t.co/oTs0vjktrR,[],False,672,1611,5,Wed May 07 01:01:55 +0000 2014,14989,,,True,False,12164,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1209697906825027584/pNMl4drY_normal.jpg,https://pbs.twimg.com/profile_images/1209697906825027584/pNMl4drY_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2480911968/1577649037,"[{'url': 'https://t.co/oTs0vjktrR', 'expanded_url': 'https://youtu.be/YgvKDMpq-I0', 'display_url': 'youtu.be/YgvKDMpq-I0', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Wed Jan 22 20:19:12 +0000 2020,1220078479007457281,1220078479007457281,@lizardwitch13 @WestVirginiaU @WVUfootball Employees are not eligible 😭 Ripperoni Pepperoni,False,"[43, 91]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200774042548756e+18,1220077404254875649,976939640.0,976939640,lizardwitch13,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'lizardwitch13', 'name': 'drama del rey', 'id': 976939640, 'id_str': '976939640', 'indices': [0, 14]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [15, 29]}, {'screen_name': 'WVUfootball', 'name': 'West Virginia Football', 'id': 28397181, 'id_str': '28397181', 'indices': [30, 42]}]",[],en,recent,457987918,457987918,Chris Morlock,RealTalkMorlock,"Almost Heaven, WV",WVU Grad x2 • HiEd Professional • IMC Grad Student • WVU & Pittsburgh Penguins • #ScootAndRecruit • In a way these people are buying you ~Tommy Boy,https://t.co/5l0ct9pQA3,[],False,633,563,8,Sun Jan 08 01:57:00 +0000 2012,11106,,,True,False,6382,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1164554706070441984/adDio3v9_normal.jpg,https://pbs.twimg.com/profile_images/1164554706070441984/adDio3v9_normal.jpg,0101DF,F1F2E8,F1F2E8,96B949,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/457987918/1576563603,"[{'url': 'https://t.co/5l0ct9pQA3', 'expanded_url': 'http://www.facebook.com/christopher.morlock', 'display_url': 'facebook.com/christopher.mo…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Wed Jan 22 19:30:06 +0000 2020,1220066125557456896,1220066125557456896,@HGoetzWOWK @WestVirginiaU @gordongee @wvumediacollege @wvlegislature That bow tie 👌🏼,False,"[70, 85]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200536628878172e+18,1220053662887817218,7.659222531292856e+17,765922253129285636,HGoetzWOWK,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'HGoetzWOWK', 'name': 'Hannah Goetz', 'id': 765922253129285636, 'id_str': '765922253129285636', 'indices': [0, 11]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [12, 26]}, {'screen_name': 'gordongee', 'name': 'E. Gordon Gee', 'id': 24164958, 'id_str': '24164958', 'indices': [27, 37]}, {'screen_name': 'wvumediacollege', 'name': 'WVU College of Media', 'id': 139810125, 'id_str': '139810125', 'indices': [38, 54]}, {'screen_name': 'wvlegislature', 'name': 'WV Legislature', 'id': 21461625, 'id_str': '21461625', 'indices': [55, 69]}]",[],en,recent,1001582302537764864,1001582302537764864,Kelsey Souto,KelseySouto,"Huntington, WV",Reporter @ WSAZ🎤 Animal lover 🐶 USF alum 💚💛 Adventure enthusiast ⛰ Sports queen 🏐 Naturally curious ❓FL✈️ID✈️WV,https://t.co/bq2wUpburW,[],False,397,383,8,Tue May 29 21:53:24 +0000 2018,162,,,True,True,406,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1083929701431701505/VZCZKVtk_normal.jpg,https://pbs.twimg.com/profile_images/1083929701431701505/VZCZKVtk_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1001582302537764864/1575910440,"[{'url': 'https://t.co/bq2wUpburW', 'expanded_url': 'http://www.wsaz.com', 'display_url': 'wsaz.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
