,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang
2,Fri Jan 24 17:54:40 +0000 2020,1220766882074189825,1220766882074189825,@LaurierResearch @Lauriergrad @Laurier @WLUChemBiochem @LaurierGeogEnv @LaurierSci Sigh. *welcome* not *welecome* #TheExtra_E_IsBecauseTheyAreExcellent_,False,"[83, 152]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2207665780752097e+18,1220766578075209728,623226593.0,623226593,LaurierBiology,,,,,False,0,2,False,False,en,"[{'text': 'TheExtra_E_IsBecauseTheyAreExcellent_', 'indices': [114, 152]}]",[],"[{'screen_name': 'LaurierResearch', 'name': 'Laurier Research', 'id': 906436104, 'id_str': '906436104', 'indices': [0, 16]}, {'screen_name': 'Lauriergrad', 'name': 'Laurier FGPS', 'id': 487689226, 'id_str': '487689226', 'indices': [17, 29]}, {'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [30, 38]}, {'screen_name': 'WLUChemBiochem', 'name': 'Laurier ChemBiochem', 'id': 2788151894, 'id_str': '2788151894', 'indices': [39, 54]}, {'screen_name': 'LaurierGeogEnv', 'name': 'Laurier Geog & ES', 'id': 3302280165, 'id_str': '3302280165', 'indices': [55, 70]}, {'screen_name': 'LaurierSci', 'name': 'Laurier Science', 'id': 2740937502, 'id_str': '2740937502', 'indices': [71, 82]}]",[],en,recent,623226593,623226593,Laurier Biology 💜💛,LaurierBiology,"Waterloo, Ontario, Canada","This is an official Wilfrid Laurier University site, operated by the Department of Biology! Accept no (base) substitutes! @Laurier",https://t.co/bNaTcwnEkX,"[{'url': 'https://t.co/bNaTcwnEkX', 'expanded_url': 'https://students.wlu.ca/programs/science/biology/index.html', 'display_url': 'students.wlu.ca/programs/scien…', 'indices': [0, 23]}]",[],False,1792,2299,57,Sat Jun 30 23:27:16 +0000 2012,13124,,,True,False,12273,,False,False,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://pbs.twimg.com/profile_images/2391927363/zyz3k969h8ij58in83c9_normal.gif,https://pbs.twimg.com/profile_images/2391927363/zyz3k969h8ij58in83c9_normal.gif,https://pbs.twimg.com/profile_banners/623226593/1409251239,333333,FFFFFF,C0DFEC,0084B4,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thu Jan 23 21:00:25 +0000 2020,1220451240728985601,1220451240728985601,"Getting a treat from #Byte75 tomorrow between 10 a.m. and 1 p.m.? Drop in to LH1019 for a visit with a Career Consultant tomorrow.
#didyouknow career consultants can help with resumés, cover letters, job search, interview coaching or further education options.
@LazSoc @Laurier",False,"[0, 277]","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,,,,,False,1,4,False,False,en,"[{'text': 'Byte75', 'indices': [21, 28]}, {'text': 'didyouknow', 'indices': [131, 142]}]",[],"[{'screen_name': 'LazSoc', 'name': ""Lazaridis Students' Society"", 'id': 47184490, 'id_str': '47184490', 'indices': [261, 268]}, {'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [269, 277]}]",[],en,recent,2752760881,2752760881,WLU Career Centre,WLUCareerCentre,"Waterloo, Ontario",The official Laurier Twitter account for the Career Centre (Waterloo campus).,https://t.co/GlPksbm2ow,"[{'url': 'https://t.co/GlPksbm2ow', 'expanded_url': 'http://students.wlu.ca/career', 'display_url': 'students.wlu.ca/career', 'indices': [0, 23]}]",[],False,1018,209,13,Thu Aug 21 18:04:00 +0000 2014,368,,,False,False,1406,,False,False,False,330072,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/588755370446749696/Ajv8OCj4_normal.png,https://pbs.twimg.com/profile_images/588755370446749696/Ajv8OCj4_normal.png,https://pbs.twimg.com/profile_banners/2752760881/1470171136,330072,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Wed Jan 22 15:07:23 +0000 2020,1220000008382177280,1220000008382177280,"@Laurier My scores were higher than department and institutional means but what really matters is seeing the ""AHA""moment in my student's face when I successfully deliver a complex concept. #AcademicTwitter #AcademicChatter #StudentSuccess",False,"[9, 238]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2199992899272622e+18,1219999289927262210,3373274937.0,3373274937,Ahmadfiraskhali,,,,,False,0,3,False,False,en,"[{'text': 'AcademicTwitter', 'indices': [189, 205]}, {'text': 'AcademicChatter', 'indices': [206, 222]}, {'text': 'StudentSuccess', 'indices': [223, 238]}]",[],"[{'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [0, 8]}]",[],en,recent,3373274937,3373274937,Firas Khalid,Ahmadfiraskhali,"Toronto, Ontario","MD, Health Policy PhD. Queen Elizabeth Scholar, Dalley Fellow, Ontario Graduate Scholar, Emerging Voices Fellow, McMaster University Health Forum",https://t.co/UNVJG2WVTN,"[{'url': 'https://t.co/UNVJG2WVTN', 'expanded_url': 'https://www.mcmasterhealthforum.org/about-us/our-people/details/ahmad-firas-khalid', 'display_url': 'mcmasterhealthforum.org/about-us/our-p…', 'indices': [0, 23]}]",[],False,654,476,9,Mon Jul 13 02:49:50 +0000 2015,3844,,,True,False,865,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/983792823282651136/89JK4Ma5_normal.jpg,https://pbs.twimg.com/profile_images/983792823282651136/89JK4Ma5_normal.jpg,https://pbs.twimg.com/profile_banners/3373274937/1518983590,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Wed Jan 22 03:21:42 +0000 2020,1219822419818569733,1219822419818569733,@Lapinbun @Laurier @LinkedIn @VPDRecruiting @VancouverPD This sounds like a decent REALLY longform investigative dive.,False,"[57, 118]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2197651871311913e+18,1219765187131191297,39834805.0,39834805,Lapinbun,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'Lapinbun', 'name': 'Erica Bulman', 'id': 39834805, 'id_str': '39834805', 'indices': [0, 9]}, {'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [10, 18]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [19, 28]}, {'screen_name': 'VPDRecruiting', 'name': 'VPD Recruiting', 'id': 715279452578578432, 'id_str': '715279452578578432', 'indices': [29, 43]}, {'screen_name': 'VancouverPD', 'name': 'Vancouver Police', 'id': 197360155, 'id_str': '197360155', 'indices': [44, 56]}]",[],en,recent,2795243706,2795243706,Stuart Neatby,stu_neatby,"Charlottetown, Prince Edward I",Political hack @PEIGuardian . @lj50th alum. Have opinions but RT's =/= them.,,,[],False,1406,1555,42,Sun Sep 07 04:03:57 +0000 2014,1420,,,True,False,5772,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/807129668746809344/r6o8EVBh_normal.jpg,https://pbs.twimg.com/profile_images/807129668746809344/r6o8EVBh_normal.jpg,https://pbs.twimg.com/profile_banners/2795243706/1569874392,91D2FA,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tue Jan 21 23:39:10 +0000 2020,1219766415542177795,1219766415542177795,@Lapinbun @Laurier @LinkedIn @VPDRecruiting @VancouverPD I can see it,False,"[57, 69]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197651871311913e+18,1219765187131191297,39834805.0,39834805,Lapinbun,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Lapinbun', 'name': 'Erica Bulman', 'id': 39834805, 'id_str': '39834805', 'indices': [0, 9]}, {'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [10, 18]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [19, 28]}, {'screen_name': 'VPDRecruiting', 'name': 'VPD Recruiting', 'id': 715279452578578432, 'id_str': '715279452578578432', 'indices': [29, 43]}, {'screen_name': 'VancouverPD', 'name': 'Vancouver Police', 'id': 197360155, 'id_str': '197360155', 'indices': [44, 56]}]",[],en,recent,1171196179645964288,1171196179645964288,Lauren Gargiulo,LGargiuloWrites,North Vancouver ,"They/Them
Journalism student at Langara, EIC for Goat's Milk Magazine, literature enthusiast. Tell me your story no matter the genre.",,,[],False,58,125,1,Mon Sep 09 22:58:32 +0000 2019,277,,,False,False,330,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1171637954315354112/QTc5V7hM_normal.jpg,https://pbs.twimg.com/profile_images/1171637954315354112/QTc5V7hM_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tue Jan 21 15:54:30 +0000 2020,1219649479487500295,1219649479487500295,@LaurierResearch @MitchKay_ @jelle_faber @UWaterloo @Laurier Still thinking about this: We have 4 recent papers in this thread and a general desire by universities (&amp; funders) to share research stories more widely. We need to make it easier to toot our own horns.,False,"[61, 267]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2196179098000998e+18,1219617909800099840,906436104.0,906436104,LaurierResearch,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'LaurierResearch', 'name': 'Laurier Research', 'id': 906436104, 'id_str': '906436104', 'indices': [0, 16]}, {'screen_name': 'MitchKay_', 'name': 'Mitchell Kay', 'id': 549694590, 'id_str': '549694590', 'indices': [17, 27]}, {'screen_name': 'jelle_faber', 'name': 'Jelle Faber', 'id': 382828624, 'id_str': '382828624', 'indices': [28, 40]}, {'screen_name': 'UWaterloo', 'name': 'University of Waterloo', 'id': 84321709, 'id_str': '84321709', 'indices': [41, 51]}, {'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [52, 60]}]",[],en,recent,163298152,163298152,Jason,JJVenky,orcid 0000-0002-6574-7071,Freshwater biogeochemist. Assistant professor in Wilfrid Laurier University's Department of Geography and Environmental Studies.,https://t.co/18owZNTyKB,"[{'url': 'https://t.co/18owZNTyKB', 'expanded_url': 'http://jjvenky.github.io', 'display_url': 'jjvenky.github.io', 'indices': [0, 23]}]",[],False,831,1788,51,Tue Jul 06 02:01:21 +0000 2010,12407,,,True,False,19103,,False,False,False,000000,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/614907262155517952/vEt0p5Co_normal.jpg,https://pbs.twimg.com/profile_images/614907262155517952/vEt0p5Co_normal.jpg,https://pbs.twimg.com/profile_banners/163298152/1435586306,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sat Jan 18 19:51:27 +0000 2020,1218621946373591041,1218621946373591041,"@Laurier @WilfsPub is also open today 
💜💛",False,"[9, 41]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.218595095508869e+18,1218595095508869120,57121973.0,57121973,Laurier,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [0, 8]}, {'screen_name': 'WilfsPub', 'name': 'Wilf’s Restaurant & Bar', 'id': 404359100, 'id_str': '404359100', 'indices': [9, 18]}]",[],en,recent,46735409,46735409,WLU Students' Union,students_union,"Brantford & Waterloo, ON","Tag @students_union if you think Laurier Students need to know. 
Official Twitter of Laurier Students' Union. #SUDoesThat",https://t.co/aJ2CjRttXa,"[{'url': 'https://t.co/aJ2CjRttXa', 'expanded_url': 'http://yourstudentsunion.ca', 'display_url': 'yourstudentsunion.ca', 'indices': [0, 23]}]",[],False,7264,859,83,Fri Jun 12 20:03:32 +0000 2009,3515,,,True,False,8495,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1146847692959756298/0xsdM23M_normal.jpg,https://pbs.twimg.com/profile_images/1146847692959756298/0xsdM23M_normal.jpg,,25358E,0D3D8F,CFCFCF,0D3D8F,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sat Jan 18 18:42:21 +0000 2020,1218604556550053889,1218604556550053889,RT @Laurier: Laurier’s Waterloo &amp; Brantford campuses &amp; Kitchener &amp; Waterloo locations CLOSED at noon today Jan. 18 due to severe weather. W…,False,"[0, 152]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,15,0,False,False,en,[],[],"[{'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [3, 11]}]",[],en,recent,30950693,30950693,Laurier Alumni,LaurierAlumni,,"Official account for Wilfrid Laurier University alumni
Inspiring lives of leadership and purpose. #LaurierForLife #LaurierAlumni 💜💛",https://t.co/xAbrnkaQuf,"[{'url': 'https://t.co/xAbrnkaQuf', 'expanded_url': 'http://laurieralumni.ca', 'display_url': 'laurieralumni.ca', 'indices': [0, 23]}]",[],False,3855,2004,46,Mon Apr 13 20:26:05 +0000 2009,3518,,,True,False,5039,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1179400868652822529/btXE9Qv1_normal.png,https://pbs.twimg.com/profile_images/1179400868652822529/btXE9Qv1_normal.png,https://pbs.twimg.com/profile_banners/30950693/1579210834,F2A900,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none,,,,,,,,,,,Sat Jan 18 15:45:45 +0000 2020,1.2185601123752714e+18,1218560112375271429,Laurier’s Waterloo &amp; Brantford campuses &amp; Kitchener &amp; Waterloo locations CLOSED at noon today Jan. 18 due to severe weather. Website details coming shortly.,False,"[0, 168]",[],[],[],[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,57121973.0,57121973,Wilfrid Laurier University,Laurier,"Waterloo,Brantford,Milton",Inspiring lives of leadership & purpose. No. 1 in student satisfaction & volunteerism. Official Twitter of Wilfrid Laurier University. Share your #LaurierLove,https://t.co/koclcZor4M,"[{'url': 'https://t.co/koclcZor4M', 'expanded_url': 'http://www.wlu.ca', 'display_url': 'wlu.ca', 'indices': [0, 23]}]",[],False,27632.0,454.0,383.0,Wed Jul 15 20:08:49 +0000 2009,12634.0,,,False,True,19261.0,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/1015920174619332608/WIRBvaZ7_normal.jpg,https://pbs.twimg.com/profile_images/1015920174619332608/WIRBvaZ7_normal.jpg,https://pbs.twimg.com/profile_banners/57121973/1574794156,330072,FFFFFF,EDECF3,1C1C1C,True,False,False,False,False,False,False,none,,,,,False,15.0,32.0,False,False,en
34,Sat Jan 18 18:25:25 +0000 2020,1218600293270740997,1218600293270740997,RT @PadreFreitas: We look forward tonite to welcoming @SrHelenaBurns to @StMikesWaterloo and @jp2_sc to speak to our Student Family Dinner…,False,"[0, 139]","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'PadreFreitas', 'name': 'Father F. Freitas', 'id': 328060280, 'id_str': '328060280', 'indices': [3, 16]}, {'screen_name': 'SrHelenaBurns', 'name': 'Sr. Helena Burns, fsp', 'id': 40924082, 'id_str': '40924082', 'indices': [54, 68]}, {'screen_name': 'StMikesWaterloo', 'name': 'St. Michael Parish', 'id': 778643604046618629, 'id_str': '778643604046618629', 'indices': [72, 88]}, {'screen_name': 'jp2_sc', 'name': 'JP2 Student Centre', 'id': 813957073226629120, 'id_str': '813957073226629120', 'indices': [93, 100]}]",[],en,recent,813957073226629120,813957073226629120,JP2 Student Centre,jp2_sc,"Waterloo, Ontario","A Catholic Chaplaincy serving the campuses of Wilfrid Laurier University, the University of Waterloo, and Conestoga College.",https://t.co/gr4HFtI59r,"[{'url': 'https://t.co/gr4HFtI59r', 'expanded_url': 'http://jp2waterloo.ca', 'display_url': 'jp2waterloo.ca', 'indices': [0, 23]}]",[],False,76,43,0,Wed Dec 28 03:57:43 +0000 2016,531,,,False,False,199,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/813959479402364928/9kk4rr1Z_normal.jpg,https://pbs.twimg.com/profile_images/813959479402364928/9kk4rr1Z_normal.jpg,https://pbs.twimg.com/profile_banners/813957073226629120/1483462222,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,Wed Oct 30 19:38:59 +0000 2019,1.1896277814806364e+18,1189627781480636416,"We look forward tonite to welcoming @SrHelenaBurns to @StMikesWaterloo and @jp2_sc to speak to our Student Family Dinner on Theology of the Body. Family dinner begins at 5:30pm (her talk begins at 6:15pm)  -all @jp2_sc , @Laurier @UWaterloo &amp; @StJeromesUni students welcome!",False,"[0, 278]",[],[],"[{'screen_name': 'SrHelenaBurns', 'name': 'Sr. Helena Burns, fsp', 'id': 40924082, 'id_str': '40924082', 'indices': [36, 50]}, {'screen_name': 'StMikesWaterloo', 'name': 'St. Michael Parish', 'id': 778643604046618629, 'id_str': '778643604046618629', 'indices': [54, 70]}, {'screen_name': 'jp2_sc', 'name': 'JP2 Student Centre', 'id': 813957073226629120, 'id_str': '813957073226629120', 'indices': [75, 82]}, {'screen_name': 'jp2_sc', 'name': 'JP2 Student Centre', 'id': 813957073226629120, 'id_str': '813957073226629120', 'indices': [211, 218]}, {'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [221, 229]}, {'screen_name': 'UWaterloo', 'name': 'University of Waterloo', 'id': 84321709, 'id_str': '84321709', 'indices': [230, 240]}, {'screen_name': 'StJeromesUni', 'name': 'StJeromesUniversity', 'id': 176934076, 'id_str': '176934076', 'indices': [247, 260]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,328060280.0,328060280,Father F. Freitas,PadreFreitas,,"Pastor of St Michael Parish, Waterloo & University Chaplain. https://t.co/40TTVdZMZa.  Author. Priest in Diocese of Hamilton.",https://t.co/s3jg0LPLJg,"[{'url': 'https://t.co/s3jg0LPLJg', 'expanded_url': 'http://padresposts.blogspot.com/', 'display_url': 'padresposts.blogspot.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/40TTVdZMZa', 'expanded_url': 'http://www.stmichaelw.ca', 'display_url': 'stmichaelw.ca', 'indices': [61, 84]}]",False,1213.0,322.0,27.0,Sat Jul 02 17:15:53 +0000 2011,2764.0,,,False,False,5896.0,,False,False,False,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,https://abs.twimg.com/images/themes/theme4/bg.gif,False,http://pbs.twimg.com/profile_images/1167542206724542464/rWZWlA3l_normal.jpg,https://pbs.twimg.com/profile_images/1167542206724542464/rWZWlA3l_normal.jpg,https://pbs.twimg.com/profile_banners/328060280/1547752391,0099B9,5ED4DC,95E8EC,3C3940,True,False,False,False,False,False,False,none,,,,,False,3.0,6.0,False,False,en
46,Sat Jan 18 16:05:11 +0000 2020,1218565005832048641,1218565005832048641,@itsevanc @Laurier Wilf's will also be open :),False,"[19, 46]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2185612125874217e+18,1218561212587421696,1077506024.0,1077506024,itsevanc,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'itsevanc', 'name': 'Evan Cameron', 'id': 1077506024, 'id_str': '1077506024', 'indices': [0, 9]}, {'screen_name': 'Laurier', 'name': 'Wilfrid Laurier University', 'id': 57121973, 'id_str': '57121973', 'indices': [10, 18]}]",[],en,recent,404359100,404359100,Wilf’s Restaurant & Bar,WilfsPub,"Waterloo, Ontario",Laurier's On-Campus Restaurant & Bar,https://t.co/v5b8JoprJi,"[{'url': 'https://t.co/v5b8JoprJi', 'expanded_url': 'https://yourstudentsunion.ca/business/wilfs-restaurant-bar/', 'display_url': 'yourstudentsunion.ca/business/wilfs…', 'indices': [0, 23]}]",[],False,5150,271,25,Thu Nov 03 20:22:28 +0000 2011,1681,,,False,False,3881,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1080666410051928064/GU4-tIKQ_normal.jpg,https://pbs.twimg.com/profile_images/1080666410051928064/GU4-tIKQ_normal.jpg,https://pbs.twimg.com/profile_banners/404359100/1545093813,FF0000,FFFFFF,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
