,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
0,Sat Jan 25 22:39:13 +0000 2020,1221200880667713536,1221200880667713536,"WOW, that game! Thank you to all who stopped by last night and joined us for the fun. HUGE thanks to @WrightStAlumni!! 
#raiderup @WSU_MBB @wrightstate",False,"[0, 151]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,en,"[{'text': 'raiderup', 'indices': [120, 129]}]",[],"[{'screen_name': 'WrightStAlumni', 'name': 'Wright State Alumni', 'id': 70482707, 'id_str': '70482707', 'indices': [101, 116]}, {'screen_name': 'WSU_MBB', 'name': 'Wright State MBB', 'id': 3980760136, 'id_str': '3980760136', 'indices': [130, 138]}, {'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [139, 151]}]",[],en,recent,1178013137204895744,1178013137204895744,Wright State VMAS,WrightStateVMAS,"Dayton, Ohio",The Veteran and Military Alumni Society at Wright State University provides a network of personal and professional support systems to Wright State graduates.,https://t.co/NYB0RJFBzn,"[{'url': 'https://t.co/NYB0RJFBzn', 'expanded_url': 'http://www.wrightstatevmas.com', 'display_url': 'wrightstatevmas.com', 'indices': [0, 23]}]",[],False,20,285,0,Sat Sep 28 18:26:44 +0000 2019,48,,,False,False,63,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213357786186289153/TYVII14g_normal.jpg,https://pbs.twimg.com/profile_images/1213357786186289153/TYVII14g_normal.jpg,https://pbs.twimg.com/profile_banners/1178013137204895744/1578122015,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Jan 25 03:04:37 +0000 2020,1220905284484435975,1220905284484435975,@WSU_MBB @wsurowdyraiders @wrightstate @WSURaiders Let's goooo,False,"[51, 62]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2209048385752187e+18,1220904838575218688,3980760136.0,3980760136,WSU_MBB,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'WSU_MBB', 'name': 'Wright State MBB', 'id': 3980760136, 'id_str': '3980760136', 'indices': [0, 8]}, {'screen_name': 'wsurowdyraiders', 'name': 'Rowdy Raiders', 'id': 1086695591885893632, 'id_str': '1086695591885893632', 'indices': [9, 25]}, {'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [26, 38]}, {'screen_name': 'WSURaiders', 'name': 'Wright State Raiders', 'id': 36383145, 'id_str': '36383145', 'indices': [39, 50]}]",[],en,recent,1178013137204895744,1178013137204895744,Wright State VMAS,WrightStateVMAS,"Dayton, Ohio",The Veteran and Military Alumni Society at Wright State University provides a network of personal and professional support systems to Wright State graduates.,https://t.co/NYB0RJFBzn,"[{'url': 'https://t.co/NYB0RJFBzn', 'expanded_url': 'http://www.wrightstatevmas.com', 'display_url': 'wrightstatevmas.com', 'indices': [0, 23]}]",[],False,20,285,0,Sat Sep 28 18:26:44 +0000 2019,48,,,False,False,63,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213357786186289153/TYVII14g_normal.jpg,https://pbs.twimg.com/profile_images/1213357786186289153/TYVII14g_normal.jpg,https://pbs.twimg.com/profile_banners/1178013137204895744/1578122015,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sat Jan 25 03:03:33 +0000 2020,1220905012739608579,1220905012739608579,@WSU_MBB @wsurowdyraiders @wrightstate @WSURaiders Looking great on ESPN. Keep up the good work students. And keep it going the rest of the season. #RaiderUp,False,"[51, 157]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2209048385752187e+18,1220904838575218688,3980760136.0,3980760136,WSU_MBB,,,,,False,0,5,False,False,en,"[{'text': 'RaiderUp', 'indices': [148, 157]}]",[],"[{'screen_name': 'WSU_MBB', 'name': 'Wright State MBB', 'id': 3980760136, 'id_str': '3980760136', 'indices': [0, 8]}, {'screen_name': 'wsurowdyraiders', 'name': 'Rowdy Raiders', 'id': 1086695591885893632, 'id_str': '1086695591885893632', 'indices': [9, 25]}, {'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [26, 38]}, {'screen_name': 'WSURaiders', 'name': 'Wright State Raiders', 'id': 36383145, 'id_str': '36383145', 'indices': [39, 50]}]",[],en,recent,1382865955,1382865955,Mike MacGregor,mikeymac0908,"Grand Rapids, MI","Accountant, Geocacher, All things @UMichAthletics, @WrightState and @HorizonLeague",,,[],False,106,81,5,Fri Apr 26 20:53:04 +0000 2013,8877,,,False,False,4545,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1211779346995826688/n-pgmoVJ_normal.jpg,https://pbs.twimg.com/profile_images/1211779346995826688/n-pgmoVJ_normal.jpg,,4A913C,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thu Jan 23 18:48:58 +0000 2020,1220418159280304130,1220418159280304130,RT @DBJnews: .@wrightstate College of Business Dean Thomas Traynor says in 2019 the Dayton and Ohio economy saw continued positive growth -…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'DBJnews', 'name': 'Dayton Biz Journal', 'id': 29209295, 'id_str': '29209295', 'indices': [3, 11]}, {'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [14, 26]}]",[],en,recent,27929117,27929117,Seth Bauguess,SethBauguess,"Cincinnati, Ohio","#WrightState comms guy, former TV news guy, proud husband, father, fantasy sports addict",http://t.co/bB0PdCVD1e,"[{'url': 'http://t.co/bB0PdCVD1e', 'expanded_url': 'http://wright.edu/news', 'display_url': 'wright.edu/news', 'indices': [0, 22]}]",[],False,303,250,11,Tue Mar 31 18:23:46 +0000 2009,7335,,,True,False,8498,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/892843254374203396/ssRjnyXk_normal.jpg,https://pbs.twimg.com/profile_images/892843254374203396/ssRjnyXk_normal.jpg,https://pbs.twimg.com/profile_banners/27929117/1501705902,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,Thu Jan 23 13:55:22 +0000 2020,1.2203442724378952e+18,1220344272437895168,".@wrightstate College of Business Dean Thomas Traynor says in 2019 the Dayton and Ohio economy saw continued positive growth - but it has been slow, increasing wages &amp; cost of living is still low #DBJEconomicForum",False,"[0, 217]","[{'text': 'DBJEconomicForum', 'indices': [200, 217]}]",[],"[{'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [1, 13]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,29209295.0,29209295,Dayton Biz Journal,DBJnews,Dayton OH USA,Dayton Region's Best Source for Local Business News,http://t.co/blXXIv1LFK,"[{'url': 'http://t.co/blXXIv1LFK', 'expanded_url': 'http://bizjournals.com/dayton', 'display_url': 'bizjournals.com/dayton', 'indices': [0, 22]}]",[],False,11604.0,706.0,371.0,Mon Apr 06 14:26:31 +0000 2009,379.0,,,False,False,37682.0,,False,False,False,781020,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/431531496461963264/xJ-A6UQj_normal.png,https://pbs.twimg.com/profile_images/431531496461963264/xJ-A6UQj_normal.png,https://pbs.twimg.com/profile_banners/29209295/1553014128,781020,FFFFFF,E3E3E3,292929,True,False,False,False,False,False,False,none,,,,,False,3.0,2.0,False,False,en,,,,,,,,,,,,,,,,,,,,
11,Thu Jan 23 14:09:57 +0000 2020,1220347943787606021,1220347943787606021,"A solution to combating Dayton’s workforce issue: young professionals. @wrightstate dean Thomas Traynor said retaining graduates from the region’s colleges is key, especially if they’re from out of state #DBJEconomicForum",False,"[0, 221]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,3,4,False,False,en,"[{'text': 'DBJEconomicForum', 'indices': [204, 221]}]",[],"[{'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [71, 83]}]",[],en,recent,38076400,38076400,Elizabeth Kyle,DBJLists,"Dayton, Ohio","Data reporter covering list content, arts, startups, residential real estate and more. Chicago native, @univofdayton alum ✈️ News tips: ekyle@bizjournals.com",https://t.co/1gwLQOZ6t7,"[{'url': 'https://t.co/1gwLQOZ6t7', 'expanded_url': 'http://www.bizjournals.com/dayton/', 'display_url': 'bizjournals.com/dayton/', 'indices': [0, 23]}]",[],False,637,351,17,Wed May 06 01:20:33 +0000 2009,535,,,True,False,7408,,False,False,False,781020,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181573085998276610/m7eBYdPp_normal.jpg,https://pbs.twimg.com/profile_images/1181573085998276610/m7eBYdPp_normal.jpg,https://pbs.twimg.com/profile_banners/38076400/1398270662,1D6DA3,FFFFFF,3D4FDB,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d742fb555fbff21,https://api.twitter.com/1.1/geo/id/8d742fb555fbff21.json,city,Dayton,"Dayton, OH",US,United States,[],Polygon,"[[[-84.307688, 39.695193], [-84.093044, 39.695193], [-84.093044, 39.865523], [-84.307688, 39.865523]]]"
13,Thu Jan 23 14:05:06 +0000 2020,1220346722280493057,1220346722280493057,RT @DBJnews: Thomas Traynor of @wrightstate says the May tornadoes impacted businesses tremendously. The recovery will be measured in years…,False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'DBJnews', 'name': 'Dayton Biz Journal', 'id': 29209295, 'id_str': '29209295', 'indices': [3, 11]}, {'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [31, 43]}]",[],en,recent,38076400,38076400,Elizabeth Kyle,DBJLists,"Dayton, Ohio","Data reporter covering list content, arts, startups, residential real estate and more. Chicago native, @univofdayton alum ✈️ News tips: ekyle@bizjournals.com",https://t.co/1gwLQOZ6t7,"[{'url': 'https://t.co/1gwLQOZ6t7', 'expanded_url': 'http://www.bizjournals.com/dayton/', 'display_url': 'bizjournals.com/dayton/', 'indices': [0, 23]}]",[],False,637,351,17,Wed May 06 01:20:33 +0000 2009,535,,,True,False,7408,,False,False,False,781020,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1181573085998276610/m7eBYdPp_normal.jpg,https://pbs.twimg.com/profile_images/1181573085998276610/m7eBYdPp_normal.jpg,https://pbs.twimg.com/profile_banners/38076400/1398270662,1D6DA3,FFFFFF,3D4FDB,333333,True,False,False,False,False,False,False,none,Thu Jan 23 14:04:46 +0000 2020,1.2203466396149146e+18,1220346639614914561,Thomas Traynor of @wrightstate says the May tornadoes impacted businesses tremendously. The recovery will be measured in years rather than months. Only one industry benefitted from tornadoes: construction #DBJEconomicForum,False,"[0, 222]","[{'text': 'DBJEconomicForum', 'indices': [205, 222]}]",[],"[{'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [18, 30]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,29209295.0,29209295,Dayton Biz Journal,DBJnews,Dayton OH USA,Dayton Region's Best Source for Local Business News,http://t.co/blXXIv1LFK,"[{'url': 'http://t.co/blXXIv1LFK', 'expanded_url': 'http://bizjournals.com/dayton', 'display_url': 'bizjournals.com/dayton', 'indices': [0, 22]}]",[],False,11604.0,706.0,371.0,Mon Apr 06 14:26:31 +0000 2009,379.0,,,False,False,37682.0,,False,False,False,781020,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/431531496461963264/xJ-A6UQj_normal.png,https://pbs.twimg.com/profile_images/431531496461963264/xJ-A6UQj_normal.png,https://pbs.twimg.com/profile_banners/29209295/1553014128,781020,FFFFFF,E3E3E3,292929,True,False,False,False,False,False,False,none,,,,,False,2.0,5.0,False,False,en,,,,,,,,,,,,,,,,,,,,
21,Wed Jan 22 01:11:11 +0000 2020,1219789571333992450,1219789571333992450,@wrightstate Very cool. Great video!,False,"[13, 36]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2197735335989658e+18,1219773533598965762,276989862.0,276989862,wrightstate,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [0, 12]}]",[],en,recent,1178013137204895744,1178013137204895744,Wright State VMAS,WrightStateVMAS,"Dayton, Ohio",The Veteran and Military Alumni Society at Wright State University provides a network of personal and professional support systems to Wright State graduates.,https://t.co/NYB0RJFBzn,"[{'url': 'https://t.co/NYB0RJFBzn', 'expanded_url': 'http://www.wrightstatevmas.com', 'display_url': 'wrightstatevmas.com', 'indices': [0, 23]}]",[],False,20,285,0,Sat Sep 28 18:26:44 +0000 2019,48,,,False,False,63,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1213357786186289153/TYVII14g_normal.jpg,https://pbs.twimg.com/profile_images/1213357786186289153/TYVII14g_normal.jpg,https://pbs.twimg.com/profile_banners/1178013137204895744/1578122015,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tue Jan 21 21:01:23 +0000 2020,1219726710184132608,1219726710184132608,"RT @wrightstate: Just some of the people we have been honored to host at #WrightState:
Tom Hanks
Maya Angelou
Dan Rather
Danny Glover
Templ…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,"[{'text': 'WrightState', 'indices': [73, 85]}]",[],"[{'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [3, 15]}]",[],en,recent,70482707,70482707,Wright State Alumni,WrightStAlumni,"Dayton, Ohio",This is the official Wright State University Twitter account for all alumni.  Follow us on Facebook as well http://t.co/ROrRot7Haf,http://t.co/AbpPhNaB46,"[{'url': 'http://t.co/AbpPhNaB46', 'expanded_url': 'http://www.wrightstatealumni.com/', 'display_url': 'wrightstatealumni.com', 'indices': [0, 22]}]","[{'url': 'http://t.co/ROrRot7Haf', 'expanded_url': 'http://www.facebook.com/WrightStateAlumni', 'display_url': 'facebook.com/WrightStateAlu…', 'indices': [108, 130]}]",False,2311,453,34,Mon Aug 31 19:52:05 +0000 2009,1895,,,True,False,10453,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/783746303700369408/UX6CRc2S_normal.jpg,https://pbs.twimg.com/profile_images/783746303700369408/UX6CRc2S_normal.jpg,https://pbs.twimg.com/profile_banners/70482707/1569338066,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,Sat Jan 18 18:26:00 +0000 2020,1.2186004432465347e+18,1218600443246534656,"Just some of the people we have been honored to host at #WrightState:
Tom Hanks
Maya Angelou
Dan Rather
Danny Glover
Temple Grandin
Laverne Cox
Steve Woziak
Michio Kaku
Neil DeGrasse Tyson
Kate Bornstein
Angela Davis
Jim Hightower
Barack Obama
Elton John
#WrightStateRightSchool",False,"[0, 278]","[{'text': 'WrightState', 'indices': [56, 68]}, {'text': 'WrightStateRightSchool', 'indices': [255, 278]}]",[],[],[],en,recent,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,276989862.0,276989862,"Wright State University (Dayton, OH)",wrightstate,"Dayton, Ohio & Celina, Ohio","Named for Ohio's famous Wright brothers, we offer an exceptional, inclusive education that puts pioneering students on the path to success. #braggingWrights",https://t.co/SxRYVDKBHJ,"[{'url': 'https://t.co/SxRYVDKBHJ', 'expanded_url': 'http://www.wright.edu', 'display_url': 'wright.edu', 'indices': [0, 23]}]",[],False,15061.0,715.0,198.0,Mon Apr 04 13:47:58 +0000 2011,32683.0,,,False,True,50976.0,,False,False,False,416150,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/878332209115140096/-YM_hGZh_normal.jpg,https://pbs.twimg.com/profile_images/878332209115140096/-YM_hGZh_normal.jpg,https://pbs.twimg.com/profile_banners/276989862/1530462429,359538,DBE9ED,E6F6F9,333333,False,True,False,False,False,False,False,none,,,,,False,1.0,14.0,False,False,en,,,,,,,,,,,,,,,,,,,,
29,Mon Jan 20 13:46:05 +0000 2020,1219254774941519872,1219254774941519872,"RT @wrightstate: Wright State University's Dayton and @LakeCampus are both closed today, Monday, Jan. 20, 2020, for Martin Luther King Jr D…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [3, 15]}, {'screen_name': 'LakeCampus', 'name': 'Lake Campus', 'id': 1469579916, 'id_str': '1469579916', 'indices': [54, 65]}]",[],en,recent,3525496755,3525496755,Wright State EE,WrightStateEE,"Fairborn, OH",The official account of the Electrical Engineering Dept. @WrightState /Follows are not endorsements.,https://t.co/4nkiLe746g,"[{'url': 'https://t.co/4nkiLe746g', 'expanded_url': 'http://wright.edu/ee', 'display_url': 'wright.edu/ee', 'indices': [0, 23]}]",[],False,197,260,7,Wed Sep 02 17:44:18 +0000 2015,324,,,False,False,1321,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/804717336322338820/NEyU67KS_normal.jpg,https://pbs.twimg.com/profile_images/804717336322338820/NEyU67KS_normal.jpg,https://pbs.twimg.com/profile_banners/3525496755/1480694531,4A913C,000000,000000,000000,False,True,False,False,False,False,False,none,Mon Jan 20 12:27:00 +0000 2020,1.21923487361912e+18,1219234873619120128,"Wright State University's Dayton and @LakeCampus are both closed today, Monday, Jan. 20, 2020, for Martin Luther King Jr Day.",False,"[0, 125]",[],[],"[{'screen_name': 'LakeCampus', 'name': 'Lake Campus', 'id': 1469579916, 'id_str': '1469579916', 'indices': [37, 48]}]",[],en,recent,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,276989862.0,276989862,"Wright State University (Dayton, OH)",wrightstate,"Dayton, Ohio & Celina, Ohio","Named for Ohio's famous Wright brothers, we offer an exceptional, inclusive education that puts pioneering students on the path to success. #braggingWrights",https://t.co/SxRYVDKBHJ,"[{'url': 'https://t.co/SxRYVDKBHJ', 'expanded_url': 'http://www.wright.edu', 'display_url': 'wright.edu', 'indices': [0, 23]}]",[],False,15061.0,715.0,198.0,Mon Apr 04 13:47:58 +0000 2011,32683.0,,,False,True,50976.0,,False,False,False,416150,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/878332209115140096/-YM_hGZh_normal.jpg,https://pbs.twimg.com/profile_images/878332209115140096/-YM_hGZh_normal.jpg,https://pbs.twimg.com/profile_banners/276989862/1530462429,359538,DBE9ED,E6F6F9,333333,False,True,False,False,False,False,False,none,,,,,False,2.0,4.0,False,False,en,,,,,,,,,,,,,,,,,,,,
31,Mon Jan 20 01:35:48 +0000 2020,1219070991021871105,1219070991021871105,"RT @wrightstate: Reminder: Wright State University's Dayton and @LakeCampus will both be closed on Monday, Jan. 20, 2020, for Martin Luther…",False,"[0, 140]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,0,False,False,en,[],[],"[{'screen_name': 'wrightstate', 'name': 'Wright State University (Dayton, OH)', 'id': 276989862, 'id_str': '276989862', 'indices': [3, 15]}, {'screen_name': 'LakeCampus', 'name': 'Lake Campus', 'id': 1469579916, 'id_str': '1469579916', 'indices': [64, 75]}]",[],en,recent,3525496755,3525496755,Wright State EE,WrightStateEE,"Fairborn, OH",The official account of the Electrical Engineering Dept. @WrightState /Follows are not endorsements.,https://t.co/4nkiLe746g,"[{'url': 'https://t.co/4nkiLe746g', 'expanded_url': 'http://wright.edu/ee', 'display_url': 'wright.edu/ee', 'indices': [0, 23]}]",[],False,197,260,7,Wed Sep 02 17:44:18 +0000 2015,324,,,False,False,1321,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/804717336322338820/NEyU67KS_normal.jpg,https://pbs.twimg.com/profile_images/804717336322338820/NEyU67KS_normal.jpg,https://pbs.twimg.com/profile_banners/3525496755/1480694531,4A913C,000000,000000,000000,False,True,False,False,False,False,False,none,Sun Jan 19 17:30:03 +0000 2020,1.2189487497514557e+18,1218948749751455744,"Reminder: Wright State University's Dayton and @LakeCampus will both be closed on Monday, Jan. 20, 2020, for Martin Luther King Jr Day.",False,"[0, 135]",[],[],"[{'screen_name': 'LakeCampus', 'name': 'Lake Campus', 'id': 1469579916, 'id_str': '1469579916', 'indices': [47, 58]}]",[],en,recent,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,,,276989862.0,276989862,"Wright State University (Dayton, OH)",wrightstate,"Dayton, Ohio & Celina, Ohio","Named for Ohio's famous Wright brothers, we offer an exceptional, inclusive education that puts pioneering students on the path to success. #braggingWrights",https://t.co/SxRYVDKBHJ,"[{'url': 'https://t.co/SxRYVDKBHJ', 'expanded_url': 'http://www.wright.edu', 'display_url': 'wright.edu', 'indices': [0, 23]}]",[],False,15061.0,715.0,198.0,Mon Apr 04 13:47:58 +0000 2011,32683.0,,,False,True,50976.0,,False,False,False,416150,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/878332209115140096/-YM_hGZh_normal.jpg,https://pbs.twimg.com/profile_images/878332209115140096/-YM_hGZh_normal.jpg,https://pbs.twimg.com/profile_banners/276989862/1530462429,359538,DBE9ED,E6F6F9,333333,False,True,False,False,False,False,False,none,,,,,False,2.0,3.0,False,False,en,,,,,,,,,,,,,,,,,,,,
