,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.user.entities.url.urls
5,Fri Jan 24 23:49:47 +0000 2020,1220856252563148800,1220856252563148800,@xavier2bgranell @UNLincoln @thediatomist She also had a lot of great former students who don’t Twitter (like Jasmine).,False,"[42, 119]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2208525632030433e+18,1220852563203043328,335856524.0,335856524,xavier2bgranell,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'xavier2bgranell', 'name': 'Xavier Benito', 'id': 335856524, 'id_str': '335856524', 'indices': [0, 16]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [17, 27]}, {'screen_name': 'thediatomist', 'name': 'Trisha Spanbauer', 'id': 263309441, 'id_str': '263309441', 'indices': [28, 41]}]",[],en,recent,838047298345140224,838047298345140224,Jeffery Stone,DiatomsATTACK,"Terre Haute, Indiana",I am amassing my diatom army as you read this. Associate Professor of Environmental Geosciences at Indiana State. https://t.co/fU1BO4ZGeA,https://t.co/OF0SxaCPiA,"[{'url': 'https://t.co/OF0SxaCPiA', 'expanded_url': 'http://faculty.indstate.edu/jstone/', 'display_url': 'faculty.indstate.edu/jstone/', 'indices': [0, 23]}]","[{'url': 'https://t.co/fU1BO4ZGeA', 'expanded_url': 'https://jrsb-photo.smugmug.com/', 'display_url': 'jrsb-photo.smugmug.com', 'indices': [114, 137]}]",False,436,468,2,Sat Mar 04 15:23:40 +0000 2017,2042,,,True,False,2311,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1079574741269262336/xnpQ5MHE_normal.jpg,https://pbs.twimg.com/profile_images/1079574741269262336/xnpQ5MHE_normal.jpg,https://pbs.twimg.com/profile_banners/838047298345140224/1502037784,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a61588aff8b0577,https://api.twitter.com/1.1/geo/id/8a61588aff8b0577.json,city,Terre Haute,"Terre Haute, IN",US,United States,[],Polygon,"[[[-87.460551, 39.394564], [-87.303557, 39.394564], [-87.303557, 39.520714], [-87.460551, 39.520714]]]",
7,Fri Jan 24 23:32:32 +0000 2020,1220851911445884928,1220851911445884928,@xavier2bgranell @UNLincoln @thediatomist Are you sure I am entirely human? :),False,"[42, 78]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207887022695956e+18,1220788702269595650,335856524.0,335856524,xavier2bgranell,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'xavier2bgranell', 'name': 'Xavier Benito', 'id': 335856524, 'id_str': '335856524', 'indices': [0, 16]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [17, 27]}, {'screen_name': 'thediatomist', 'name': 'Trisha Spanbauer', 'id': 263309441, 'id_str': '263309441', 'indices': [28, 41]}]",[],en,recent,838047298345140224,838047298345140224,Jeffery Stone,DiatomsATTACK,"Terre Haute, Indiana",I am amassing my diatom army as you read this. Associate Professor of Environmental Geosciences at Indiana State. https://t.co/fU1BO4ZGeA,https://t.co/OF0SxaCPiA,"[{'url': 'https://t.co/OF0SxaCPiA', 'expanded_url': 'http://faculty.indstate.edu/jstone/', 'display_url': 'faculty.indstate.edu/jstone/', 'indices': [0, 23]}]","[{'url': 'https://t.co/fU1BO4ZGeA', 'expanded_url': 'https://jrsb-photo.smugmug.com/', 'display_url': 'jrsb-photo.smugmug.com', 'indices': [114, 137]}]",False,436,468,2,Sat Mar 04 15:23:40 +0000 2017,2042,,,True,False,2311,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1079574741269262336/xnpQ5MHE_normal.jpg,https://pbs.twimg.com/profile_images/1079574741269262336/xnpQ5MHE_normal.jpg,https://pbs.twimg.com/profile_banners/838047298345140224/1502037784,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a61588aff8b0577,https://api.twitter.com/1.1/geo/id/8a61588aff8b0577.json,city,Terre Haute,"Terre Haute, IN",US,United States,[],Polygon,"[[[-87.460551, 39.394564], [-87.303557, 39.394564], [-87.303557, 39.520714], [-87.460551, 39.520714]]]",
8,Fri Jan 24 23:02:09 +0000 2020,1220844264222932992,1220844264222932992,"@CourtneyDuMonde @NebraskaBizHA @NebraskaBiz @UNLincoln So thankful for you and your willingness to jump with both feet into the Academy adventure, even when you least expected it! Proud to have you as an alum and, more importantly, a friend!",False,"[56, 242]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220712094502228e+18,1220712094502227970,3243836312.0,3243836312,CourtneyDuMonde,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'CourtneyDuMonde', 'name': 'Courtney Van Hoosen', 'id': 3243836312, 'id_str': '3243836312', 'indices': [0, 16]}, {'screen_name': 'NebraskaBizHA', 'name': 'Nebraska Business HA', 'id': 727369576414064640, 'id_str': '727369576414064640', 'indices': [17, 31]}, {'screen_name': 'NebraskaBiz', 'name': 'Nebraska Business', 'id': 1161217747, 'id_str': '1161217747', 'indices': [32, 44]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [45, 55]}]",[],en,recent,29449259,29449259,Erin Burnette,ErinBurnette,"Lincoln, NE",Learner. Motivator. Change Agent. Foodie. Fueled by coffee and books on leadership.  @TrumanState and @UofSC Alum.,,,[],False,632,558,19,Tue Apr 07 13:41:18 +0000 2009,1908,,,True,False,3484,,False,False,False,E2DCD8,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/425636517772414976/80rPbpFT_normal.jpeg,https://pbs.twimg.com/profile_images/425636517772414976/80rPbpFT_normal.jpeg,https://pbs.twimg.com/profile_banners/29449259/1403557580,5D54E3,87837E,201770,38DE7D,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fri Jan 24 16:48:40 +0000 2020,1220750274727301121,1220750274727301121,"RT @LianaSEHone: @Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David Di…",False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'LianaSEHone', 'name': 'Liana Hone', 'id': 1355703662, 'id_str': '1355703662', 'indices': [3, 15]}, {'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [17, 31]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [32, 39]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [74, 83]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [120, 130]}]",[],en,recent,2945536038,2945536038,Sonalee Joshi,sonalee_joshi,,"M.S., Doctoral Candidate, Clinical Science @umich
Indian American Photographer & Artist. (She/her)",,,[],False,189,207,3,Sat Dec 27 23:38:10 +0000 2014,16443,,,True,False,2749,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1125176690827776001/mumUes-Z_normal.jpg,https://pbs.twimg.com/profile_images/1125176690827776001/mumUes-Z_normal.jpg,https://pbs.twimg.com/profile_banners/2945536038/1550523023,FFCC4D,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,Fri Jan 24 16:17:01 +0000 2020,1.2207423076847657e+18,1220742307684765697,"@Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David DiLillo Sarah Gervais
@ASU  Kelly Cue Davis Will Corbin
@UNM Elizabeth Yeater
@uiowa Teresa Treat
@GeorgiaStateU Dominic Parrott
@BrownUniversity Lindsay Orchowski",False,"[23, 283]",[],[],"[{'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [0, 14]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [15, 22]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [57, 66]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [103, 113]}, {'screen_name': 'ASU', 'name': 'Arizona State University', 'id': 18783501, 'id_str': '18783501', 'indices': [142, 146]}, {'screen_name': 'UNM', 'name': 'Univ. of New Mexico', 'id': 17358507, 'id_str': '17358507', 'indices': [176, 180]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [198, 204]}, {'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [218, 232]}, {'screen_name': 'BrownUniversity', 'name': 'Brown University', 'id': 14884486, 'id_str': '14884486', 'indices': [249, 265]}]",[],en,recent,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205351788603433e+18,1220535178860343297,7.798084981587395e+17,779808498158739456,Cassie_Boness,1355703662.0,1355703662,Liana Hone,LianaSEHone,"Buffalo, NY","@NIH Postdoc/Research Assistant Professor of Psychology @UB_RIA, formerly @Mizzou. Alumna of @UCSantaBarbara & @UnivMiami. Tweets are my own, typos are not.",http://t.co/Kp32KtpAex,[],False,253.0,485.0,2.0,Tue Apr 16 00:48:18 +0000 2013,1400.0,,,True,False,381.0,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_banners/1355703662/1565655325,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,False,1.0,4.0,False,False,en,,,,,,,,,,,"[{'url': 'http://t.co/Kp32KtpAex', 'expanded_url': 'http://www.lianasehone.com', 'display_url': 'lianasehone.com', 'indices': [0, 22]}]"
13,Fri Jan 24 16:39:32 +0000 2020,1220747977192550401,1220747977192550401,"..focusing on studying. As an international student, Marco encourages others to use their international experiences in their favor and not be afraid to apply to jobs on Handshake. Bonjour!
#FeatureFriday #internationalstudent #multilingualism #unl #library #Handshake
@unlincoln",False,"[0, 278]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2207479761481646e+18,1220747976148164609,36404046.0,36404046,UNLCareers,,,,,False,0,2,False,False,en,"[{'text': 'FeatureFriday', 'indices': [189, 203]}, {'text': 'internationalstudent', 'indices': [204, 225]}, {'text': 'multilingualism', 'indices': [226, 242]}, {'text': 'unl', 'indices': [243, 247]}, {'text': 'library', 'indices': [248, 256]}, {'text': 'Handshake', 'indices': [257, 267]}]",[],"[{'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [268, 278]}]",[],en,recent,36404046,36404046,UNL Career Services,UNLCareers,"Lincoln, Nebraska",Helping #UNL students take the next step on their career path. Find a major or career. Get a job or internship. Apply to grad school.,https://t.co/XIVlNq4Oyd,"[{'url': 'https://t.co/XIVlNq4Oyd', 'expanded_url': 'http://www.unl.edu/careers', 'display_url': 'unl.edu/careers', 'indices': [0, 23]}]",[],False,2172,160,91,Wed Apr 29 16:45:28 +0000 2009,1500,,,True,False,5932,,False,False,False,C60202,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/755410736583540741/aBsr25UC_normal.jpg,https://pbs.twimg.com/profile_images/755410736583540741/aBsr25UC_normal.jpg,https://pbs.twimg.com/profile_banners/36404046/1566509042,C60202,FFFFFF,EADEAA,333333,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3af2a75dbeb10500,https://api.twitter.com/1.1/geo/id/3af2a75dbeb10500.json,city,Lincoln,"Lincoln, NE",US,United States,[],Polygon,"[[[-96.806031, 40.710053], [-96.5870939, 40.710053], [-96.5870939, 40.896417], [-96.806031, 40.896417]]]",
15,Fri Jan 24 16:17:01 +0000 2020,1220742307684765697,1220742307684765697,"@Cassie_Boness @sw4618 Yes! Here are just a few I love!

@UBuffalo Maria Testa Jen Livingston Jen Read
@UNLincoln David DiLillo Sarah Gervais
@ASU  Kelly Cue Davis Will Corbin
@UNM Elizabeth Yeater
@uiowa Teresa Treat
@GeorgiaStateU Dominic Parrott
@BrownUniversity Lindsay Orchowski",False,"[23, 283]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2205351788603433e+18,1220535178860343297,7.798084981587395e+17,779808498158739456,Cassie_Boness,,,,,False,1,4,False,False,en,[],[],"[{'screen_name': 'Cassie_Boness', 'name': 'Cassie Boness', 'id': 779808498158739456, 'id_str': '779808498158739456', 'indices': [0, 14]}, {'screen_name': 'sw4618', 'name': 'Steph Wells, Ph.D.', 'id': 170917201, 'id_str': '170917201', 'indices': [15, 22]}, {'screen_name': 'UBuffalo', 'name': 'UBuffalo', 'id': 2326061460, 'id_str': '2326061460', 'indices': [57, 66]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [103, 113]}, {'screen_name': 'ASU', 'name': 'Arizona State University', 'id': 18783501, 'id_str': '18783501', 'indices': [142, 146]}, {'screen_name': 'UNM', 'name': 'Univ. of New Mexico', 'id': 17358507, 'id_str': '17358507', 'indices': [176, 180]}, {'screen_name': 'uiowa', 'name': 'University of Iowa', 'id': 14534931, 'id_str': '14534931', 'indices': [198, 204]}, {'screen_name': 'GeorgiaStateU', 'name': 'Georgia State University', 'id': 26524127, 'id_str': '26524127', 'indices': [218, 232]}, {'screen_name': 'BrownUniversity', 'name': 'Brown University', 'id': 14884486, 'id_str': '14884486', 'indices': [249, 265]}]",[],en,recent,1355703662,1355703662,Liana Hone,LianaSEHone,"Buffalo, NY","@NIH Postdoc/Research Assistant Professor of Psychology @UB_RIA, formerly @Mizzou. Alumna of @UCSantaBarbara & @UnivMiami. Tweets are my own, typos are not.",http://t.co/Kp32KtpAex,"[{'url': 'http://t.co/Kp32KtpAex', 'expanded_url': 'http://www.lianasehone.com', 'display_url': 'lianasehone.com', 'indices': [0, 22]}]",[],False,253,485,2,Tue Apr 16 00:48:18 +0000 2013,1400,,,True,False,381,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_images/573556815704666112/OSKarzbD_normal.jpeg,https://pbs.twimg.com/profile_banners/1355703662/1565655325,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fri Jan 24 01:35:25 +0000 2020,1220520445633536000,1220520445633536000,@UNLincoln @UNLarchives Great memories sitting on the Fountain chatting with friends.  It was the hub of city campus. ♥️♥️♥️,False,"[24, 124]","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1.2204135476430684e+18,1220413547643068418,762288787.0,762288787,UNLincoln,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [0, 10]}, {'screen_name': 'UNLarchives', 'name': 'UNL Archives', 'id': 1465141166, 'id_str': '1465141166', 'indices': [11, 23]}]",[],en,recent,41248758,41248758,Shelley Schwarz,GammaBetaRho,Texabraska,"Counselor in Ed. UNL alumna. At the end of the day, the only questions I will ask myself are: Did I love enough? Did I laugh enough? Did I make a difference?",,,[],False,608,1528,43,Wed May 20 00:12:44 +0000 2009,87386,,,False,False,19393,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/924365385784348674/1B94tDNB_normal.jpg,https://pbs.twimg.com/profile_images/924365385784348674/1B94tDNB_normal.jpg,https://pbs.twimg.com/profile_banners/41248758/1511054085,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Fri Jan 24 01:03:36 +0000 2020,1220512442352054277,1220512442352054277,"@Hunter_Ameritas @unlprssa @PRSANebraska @Unl_CoJMC @UNLincoln Thank you for your kind words, @Hunter_Ameritas! We couldn’t do what we do without professional mentors like YOU. Thankful for your support (and the newsletters look beautiful 😻)!",False,"[63, 242]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203522494840095e+18,1220352249484009473,1.1338049161815368e+18,1133804916181536770,Hunter_Ameritas,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'Hunter_Ameritas', 'name': 'Hunter Reeves', 'id': 1133804916181536770, 'id_str': '1133804916181536770', 'indices': [0, 16]}, {'screen_name': 'unlprssa', 'name': 'UNL PRSSA', 'id': 81937888, 'id_str': '81937888', 'indices': [17, 26]}, {'screen_name': 'PRSANebraska', 'name': 'PRSA Nebraska', 'id': 21789346, 'id_str': '21789346', 'indices': [27, 40]}, {'screen_name': 'Unl_CoJMC', 'name': 'UNL CoJMC', 'id': 27697092, 'id_str': '27697092', 'indices': [41, 51]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [52, 62]}, {'screen_name': 'Hunter_Ameritas', 'name': 'Hunter Reeves', 'id': 1133804916181536770, 'id_str': '1133804916181536770', 'indices': [94, 110]}]",[],en,recent,22191676,22191676,Jemalyn Griffin,Jemalyn,"Lincoln, NE",#ADPR Asst. Professor of Practice at @UNL_CoJMC. Director of @JachtAgency and @UNLPRSSA Advisor. @Harvard Lecturer 👩🏻‍🏫. Proud alumna of @SDSU & @UNLincoln.,https://t.co/FepHBXXjWd,"[{'url': 'https://t.co/FepHBXXjWd', 'expanded_url': 'https://www.behance.net/jgriffin', 'display_url': 'behance.net/jgriffin', 'indices': [0, 23]}]",[],False,832,810,97,Fri Feb 27 21:18:58 +0000 2009,1983,,,True,False,2007,,False,False,False,000000,http://abs.twimg.com/images/themes/theme6/bg.gif,https://abs.twimg.com/images/themes/theme6/bg.gif,False,http://pbs.twimg.com/profile_images/1174300564382998532/8KOiLwy1_normal.jpg,https://pbs.twimg.com/profile_images/1174300564382998532/8KOiLwy1_normal.jpg,https://pbs.twimg.com/profile_banners/22191676/1553272247,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3af2a75dbeb10500,https://api.twitter.com/1.1/geo/id/3af2a75dbeb10500.json,city,Lincoln,"Lincoln, NE",US,United States,[],Polygon,"[[[-96.806031, 40.710053], [-96.5870939, 40.710053], [-96.5870939, 40.896417], [-96.806031, 40.896417]]]",
43,Thu Jan 23 19:13:29 +0000 2020,1220424329747410945,1220424329747410945,@UNLincoln Fuck squirrels,False,"[11, 25]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196737375340257e+18,1219673737534025728,762288787.0,762288787,UNLincoln,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [0, 10]}]",[],en,recent,1160734904277245952,1160734904277245952,Willy Stroker,WillySt96728777,"Chalco, NE",Chadron State Alum 82’ | Opinions are mine | Theta Xi | RIP Eleanor 1/23/2017,,,[],False,18,64,0,Mon Aug 12 02:09:01 +0000 2019,33,,,False,False,213,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1160735801573031937/MsbrGuHm_normal.jpg,https://pbs.twimg.com/profile_images/1160735801573031937/MsbrGuHm_normal.jpg,https://pbs.twimg.com/profile_banners/1160734904277245952/1569435326,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Thu Jan 23 14:48:37 +0000 2020,1220357674274938880,1220357674274938880,@wayneriekhof @darth @UNLincoln Happy Chipsurday!,False,"[32, 49]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2202134037231903e+18,1220213403723190275,15249076.0,15249076,wayneriekhof,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'wayneriekhof', 'name': 'Wayne Riekhof', 'id': 15249076, 'id_str': '15249076', 'indices': [0, 13]}, {'screen_name': 'darth', 'name': 'darth™', 'id': 1337271, 'id_str': '1337271', 'indices': [14, 20]}, {'screen_name': 'UNLincoln', 'name': 'University of Nebraska-Lincoln', 'id': 762288787, 'id_str': '762288787', 'indices': [21, 31]}]",[],en,recent,262807160,262807160,Paul Twigg,UNKBiol106,,Educator. Researcher. Biofuels. Molecular biologist. Plants and students.,,,[],False,2497,2123,25,Tue Mar 08 20:11:49 +0000 2011,282166,,,True,False,8735,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/634398046143451136/ike-R0HE_normal.jpg,https://pbs.twimg.com/profile_images/634398046143451136/ike-R0HE_normal.jpg,https://pbs.twimg.com/profile_banners/262807160/1452527762,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
